 ProbeID  	 t-statistic  	 pvalue  	 qvalue  	 log2(Fold Change)  	 UNQ  	 UNQ_Shor HUGO Symbol  	 Description  
 227211_at  	 9.655  	 0  	 0  	 1.022 UNQ11148 PHF19  	 PHF19  	 PHD finger protein 19  	
 219494_at  	 9.775  	 0  	 0  	 1.38 UNQ16399 RAD54B  	 RAD54B  	 RAD54 homolog B (S. cerevisiae)  	
 203968_s_  	 14.117  	 0  	 0  	 1.779 UNQ14546 CDC6  	 CDC6  	 cell division cycle 6 homolog (S. cerevisiae)  	
 202411_at  	 9.446  	 0  	 0  	 3.95 UNQ5393 IFI27  	 IFI27|FAM14A  	" interferon, alpha-inducible protein 27|family with sequence similarity 14, member A  "	
 204734_at  	 -9.46  	 0  	 0  	 -2.46 UNQ7983 KRT19  	 KRT15|KRT19  	 keratin 15|keratin 19  	
 213906_at  	 16.874  	 0  	 0  	 1.787 UNQ5673 MYBL1  	 MYBL1  	 v-myb myeloblastosis viral oncogene homolog (avian)-like 1  	
 230356_at  	 13.106  	 0  	 0  	 1.643 UNQ10354 Sax1  	 NKX1-2  	 NK1 homeobox 2  	
 218644_at  	 9.993  	 0  	 0  	 1.702 UNQ20788 PLEK2  	 PLEK2  	 pleckstrin 2  	
 204285_s_  	 13.816  	 0  	 0  	 1.253 UNQ14985 PMAIP1  	 PMAIP1  	 phorbol-12-myristate-13-acetate-induced protein 1  	
 217272_s_  	 -9.096  	 0  	 0  	 -2.241 UNQ12083 SERPINB1 SERPINB13  	" serpin peptidase inhibitor, clade B (ovalbumin), member 13  "		
 231856_at  	 12.945  	 0  	 0  	 4.543 UNQ12147 SPQR1214 KIAA1244  	 KIAA1244  		
 204798_at  	 9.311  	 0  	 0  	 2.027 UNQ2058 MYB  	 MYB  	 v-myb myeloblastosis viral oncogene homolog (avian)  	
 235144_at  	 16.406  	 0  	 0  	 1.957 UNQ19471RASEF  	 RASEF  	 RAS and EF-hand domain containing  	
 225912_at  	 -9.259  	 0  	 0  	 -1.617 UNQ21166 TP53INP1 TP53INP1  	 tumor protein p53 inducible nuclear protein 1  		
 218807_at  	 -9.498  	 0  	 0  	 -1.125 UNQ14258 VAV3  	 VAV3  	 vav 3 guanine nucleotide exchange factor  	
 202095_s_  	 10.425  	 0  	 0  	 1.59 UNQ6162 BIRC5  	 BIRC5  	 baculoviral IAP repeat-containing 5 (survivin)  	
