Biological processes	Gene name	Gene description	Fold change In vitro; 300 microM	Fold change In vivo; 2 mg/kg	Fold change In vivo; 10 mg/kg
Peroxisomal beta-oxidation	Ech1	Enoyl Coenzyme A hydratase 1, peroxisomal	5.9	2.3	2.4
Peroxisomal beta-oxidation	Hsd17b4	Hydroxysteroid (17-beta) dehydrogenase 4	2.3	1.6	1.7
Peroxisomal beta-oxidation	Ehhadh	Enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	61.9	7.3	8
Peroxisomal beta-oxidation	Crot	Carnitine O-octanoyltransferase	4.5	2.3	2.8
Peroxisomal beta-oxidation	Peci	Peroxisomal D3,D2-enoyl-CoA isomerase	2.3	2.1	2.1
Peroxisomal beta-oxidation	Pex11a	Peroxisomal biogenesis factor 11A	8.8	7.5	8.3
Microsomal omega-hydroxylation	Aldh3a2	Aldehyde dehydrogenase 3 family, member A2	1.7	1.7	1.9
Lipogenesis	Acacb	Acetyl-Coenzyme A carboxylase beta	1	2	2.4
Lipogenesis	Elovl6	ELOVL family member 6, elongation of long chain fatty acids	2.2	10.3	13.4
Lipogenesis	Fads1	Fatty acid desaturase 1	-1.1	1.1	1.1
Lipogenesis	Gpam	Glycerol-3-phosphate acyltransferase, mitochondrial	1.4	1.6	1.8
Lipogenesis	Hsd17b2	Hydroxysteroid (17-beta) dehydrogenase 2	1.2	1	1.2
Lipogenesis	Mlycd	Malonyl-CoA decarboxylase	1.9	1.9	1.9
Lipogenesis	Srebf1	Sterol regulatory element binding transcription factor 1	1	-1	-1.1
Lipogenesis	G0s2	G0/G1switch 2	3.9	1.3	1.2
Lipogenesis	Mgll	Monoglyceride lipase	2.3	2.6	3.1
Lipogenesis	Lipe	Lipase, hormone-sensitive	2.3	1.1	1.3
Lipogenesis	Plin	Perilipin	-1	-1.8	-1.7
Lipoprotein uptake and metabolism	Angptl4	Angiopoietin-like 4	3.1	3.5	3.4
Lipoprotein uptake and metabolism	Apoa2	Apolipoprotein A-II	-1.1	-1.4	-1.3
Lipoprotein uptake and metabolism	Apoa5	Apolipoprotein A-V	-1.5	-1.4	-1.7
Lipoprotein uptake and metabolism	Lpl	Lipoprotein lipase	1.2	-1	-1
Lipoprotein uptake and metabolism	Pctp	Phosphatidylcholine transfer protein	1.6	1.9	2
Lipoprotein uptake and metabolism	Mttp	Microsomal triglyceride transfer protein	2.2	1.4	1.4
Lipoprotein uptake and metabolism	Vldlr	Very low density lipoprotein receptor	2.7	2.8	3.2
Cholesterol tansport and metabolism	Abcg5	ATP-binding cassette, sub-family G (WHITE), member 5 (sterolin 1)	4.6	1.2	1
Cholesterol tansport and metabolism	Abcg8	ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)	1.1	1.3	1.5
Cholesterol tansport and metabolism	Cyp27a1	Cytochrome P450, family 27, subfamily A, polypeptide 1	-1.5	-1.7	-2
Cholesterol tansport and metabolism	Cyp7a1	Cytochrome P450, family 7, subfamily A, polypeptide 1	1.1	-5.4	-6
Cholesterol tansport and metabolism	Cyp8b1	Cytochrome P450, family 8, subfamily B, polypeptide 1	4.6	-1.1	-1.4
Cholesterol tansport and metabolism	Slc10a1	Solute carrier family 10 (sodium/bile acid cotransporter family), member 1	-1	-1.7	-1.7
Cholesterol tansport and metabolism	Slc10a2	Solute carrier family 10 (sodium/bile acid cotransporter family), member 2	-1.3	-2.1	-2.1
Cholesterol tansport and metabolism	Nr1h4	Nuclear receptor subfamily 1, group H, member 4	-1.1	-1.1	-1
Glucose/glycerol tranport and metabolism	Cav1	Caveolin 1, caveolae protein, 22 kDa	-1.2	1.1	1.2
Glucose/glycerol tranport and metabolism	Aqp3	aquaporin 3 (Gill blood group)	20.2	60.2	92.1
Glucose/glycerol tranport and metabolism	Aqp7	Aquaporin 7	4.7	4.8	11.4
Glucose/glycerol tranport and metabolism	Aqp9	Aquaporin 9	-1.3	-1.7	-1.7
Glucose/glycerol tranport and metabolism	Gpd1	Glycerol-3-phosphate dehydrogenase 1 (soluble)	1.3	2	2
Glucose/glycerol tranport and metabolism	Gpd2	Glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	2.1	6.7	8.9
Glucose/glycerol tranport and metabolism	Gys2	Glycogen synthase 2 (liver)	2.1	1.6	1.7
Glucose/glycerol tranport and metabolism	Fbp2	Fructose-1,6-bisphosphatase 2	5.8	6	8.1
Glucose/glycerol tranport and metabolism	G6pc	Glucose-6-phosphatase, catalytic subunit	1.3	-1	-1.1
Glucose/glycerol tranport and metabolism	Pck1	Phosphoenolpyruvate carboxykinase 1 (soluble)	1	-2	-2.2
Glucose/glycerol tranport and metabolism	Pdk4	Pyruvate dehydrogenase kinase, isozyme 4	3.2	7.3	7.6
Biotransformation	Cyp1a1	Cytochrome P450, family 1, subfamily A, polypeptide 1	1.1	-3.9	-2
Biotransformation	Cyp1a2	Cytochrome P450, family 1, subfamily A, polypeptide 2	-1.1	-2	-2.1
Biotransformation	Cyp2e1	Cytochrome P450, family 2, subfamily E, polypeptide 1	1	-1.3	-1.4
Biotransformation	Ephx2	Epoxide hydrolase 2, cytoplasmic	4.8	1.8	1.9
Amino acid metabolism	Agxt2	Alanine-glyoxylate aminotransferase 2	1.4	-1.1	-1.1
Amino acid metabolism	Acmsd	Aminocarboxymuconate semialdehyde decarboxylase	-1.9	-5.4	?5.0
Amino acid metabolism	Cbs	Cystathionine-beta-synthase	2.3	-1	-1
Amino acid metabolism	Cth	Cystathionase (cystathionine gamma-lyase)	-1.1	-1.6	-1.5
Amino acid metabolism	Tat	Tyrosine aminotransferase	-1.2	-1.3	-1.3
Amino acid metabolism	Psat1	Phosphoserine aminotransferase 1	1.6	-1.1	1.1
Amino acid metabolism	Pah	Phenylalanine hydroxylase	-1.2	-1.4	-1.5
Amino acid metabolism	Oat	Ornithine aminotransferase (gyrate atrophy)	1.9	-1.1	1
Amino acid metabolism	Odc1	Ornithine decarboxylase 1	1.2	1.7	1.4
Amino acid metabolism	Otc	Ornithine carbamoyltransferase	1.1	-1.6	-1.6
Amino acid metabolism	Cxcl10	Chemokine (C-X-C motif) ligand 10	-1.4	-1.2	-1.6
Inflammation	Cd68	CD68 molecule	-1	-1.2	-1.4
Inflammation	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta	1	1.3	1.2
Inflammation	Emr1	Egf-like module containing, mucin-like, hormone receptor-like 1	-2.3	-1.1	-1.3
Inflammation	Crp	C-reactive protein, pentraxin-related	-1.1	-1	-1.1
Inflammation	Icam1	Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	-1.3	-1.1	-1.2
Inflammation	Il1b	Interleukin 1, beta	-1.9	-1.1	-1
Inflammation	Il1r1	Interleukin 1 receptor, type I	-1.9	-1.6	-1.9
Inflammation	Il1rap	Interleukin 1 receptor accessory protein	-1.1	-1.4	-1.3
Inflammation	Il1rn	Interleukin 1 receptor antagonist	-1.4	1	-1
Inflammation	Il6	Interleukin 6 (interferon, beta 2)	-1.2	1.3	1.5
Inflammation	Nfkb1	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1)	-1.3	1	1
Inflammation	Nfkb2	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2	-1.1	-1.2	-1.3
Inflammation	Vcam1	Vascular cell adhesion molecule 1	1.2	1.1	1
Inflammation	Vnn1	Vanin 1	4.7	3.3	4.2
Inflammation	Lifr	Leukemia inhibitory factor receptor alpha	-1	1.2	1.4
Inflammation	Lcn2	Lipocalin 2	-1.1	1.2	1.1
Inflammation	Ptgs2	Prostaglandin-endoperoxide synthase 2	1.1	-1	-1.1
Miscellanous	Hmox1	Heme oxygenase (decycling) 1	1.5	-1.1	-1.4
Miscellanous	Irf7	Interferon regulatory factor 7	-1.1	-1.6	-2.1
Miscellanous	Mbl2	Mannose-binding lectin (protein C) 2, soluble (opsonic defect)	-1	-1.4	-1.3
Miscellanous	Por	P450 (cytochrome) oxidoreductase	2	1.4	1.2
