Accession No.	Gene Symbol	Exon.ID	logFC	t	P.Value	adj.P.Val	B	Transcript.ID	gene_assignment
NM_173555	TYSND1	3293238	0.430625127	6.598499849	5.90472E-06	0.1273882	-0.447935235	3293215	NM_173555 // TYSND1 // trypsin domain containing 1 // 10q22.1 // 219743 /// NM_001040273 // TYSND1 // trypsin domain containing 1 // 10q22.1 // 219743 /// ENST00000287078 // TYSND1 // trypsin domain containing 1 // 10q22.1 // 219743 /// ENST00000335494 // TYSND1 // trypsin domain containing 1 // 10q22.1 // 219743 /// BC111501 // TYSND1 // trypsin domain containing 1 // 10q22.1 // 219743
NM_002392	MDM2	3421323	0.392863307	6.594807044	5.9445E-06	0.1273882	-0.449759756	3421300	NM_002392 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006878 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006881 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006882 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006879 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393417 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311440 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// AK290341 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258149 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000350057 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258148 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393416 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311420 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000358483 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393415 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000356290 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393413 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393412 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000299252 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393410 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000360430 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000348801 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// BC065505 // MGC5370 // hypothetical protein MGC5370 // 12q14.3 // 84825
NM_024808	C13orf34	3493429	-0.4757573	-6.443304148	7.84228E-06	0.155129444	-0.525982273	3493391	NM_024808 // C13orf34 // chromosome 13 open reading frame 34 // 13q22.1 // 79866 /// ENST00000377815 // C13orf34 // chromosome 13 open reading frame 34 // 13q22.1 // 79866 /// ENST00000390667 // C13orf34 // chromosome 13 open reading frame 34 // 13q22.1 // 79866 /// BX648605 // C13orf34 // chromosome 13 open reading frame 34 // 13q22.1 // 79866
NM_014454	SESN1	2968677	-0.989276815	-6.342574037	9.44497E-06	0.170409873	-0.578165533	2968652	NM_014454 // SESN1 // sestrin 1 // 6q21 // 27244 /// ENST00000302071 // SESN1 // sestrin 1 // 6q21 // 27244 /// AF033120 // SESN1 // sestrin 1 // 6q21 // 27244 /// ENST00000356644 // SESN1 // sestrin 1 // 6q21 // 27244 /// ENST00000368971 // SESN1 // sestrin 1 // 6q21 // 27244
NM_001809	CENPA	2473995	0.767329414	6.282730572	1.05551E-05	0.170409873	-0.609748521	2473991	NM_001809 // CENPA // centromere protein A // 2p24-p21 // 1058 /// NM_001042426 // CENPA // centromere protein A // 2p24-p21 // 1058 /// ENST00000335756 // CENPA // centromere protein A // 2p24-p21 // 1058 /// ENST00000233505 // CENPA // centromere protein A // 2p24-p21 // 1058 /// U14518 // CENPA // centromere protein A // 2p24-p21 // 1058
NM_033632	FBXW7	2790010	-0.772040999	-6.278032854	1.06479E-05	0.170409873	-0.612246319	2789957	NM_033632 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// NM_018315 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// NM_001013415 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// ENST00000281708 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// ENST00000393956 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// ENST00000263981 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// ENST00000296555 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// BC117244 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294
NM_004073	PLK3	2334194	-0.487287378	-6.224420486	1.17678E-05	0.170409873	-0.640944749	2334191	NM_004073 // PLK3 // polo-like kinase 3 (Drosophila) // 1p34.1 // 1263 /// ENST00000372201 // PLK3 // polo-like kinase 3 (Drosophila) // 1p34.1 // 1263 /// AJ293866 // PLK3 // polo-like kinase 3 (Drosophila) // 1p34.1 // 1263
NM_002266	KPNA2	4041140	-0.771029496	-6.217182872	1.19281E-05	0.170409873	-0.644846237	4041113	NM_002266 // KPNA2 // karyopherin alpha 2 (RAG cohort 1, importin alpha 1) // 17q24.2 // 3838 /// U28386 // KPNA2 // karyopherin alpha 2 (RAG cohort 1, importin alpha 1) // 17q24.2 // 3838 /// ENST00000330459 // KPNA2 // karyopherin alpha 2 (RAG cohort 1, importin alpha 1) // 17q24.2 // 3838 /// ENST00000330459 // LOC728860 // karyopherin alpha-2 subunit like // --- // 728860 /// ENST00000400873 // KPNA2 // karyopherin alpha 2 (RAG cohort 1, importin alpha 1) // 17q24.2 // 3838 /// ENST00000400873 // LOC728860 // karyopherin alpha-2 subunit like // --- // 728860
NM_182706	SCRIB	3157777	0.427369228	6.086490038	1.52483E-05	0.206377462	-0.716424892	3157751	NM_182706 // SCRIB // scribbled homolog (Drosophila) // 8q24.3 // 23513 /// NM_015356 // SCRIB // scribbled homolog (Drosophila) // 8q24.3 // 23513 /// ENST00000356994 // SCRIB // scribbled homolog (Drosophila) // 8q24.3 // 23513 /// ENST00000320476 // SCRIB // scribbled homolog (Drosophila) // 8q24.3 // 23513 /// AF271734 // SCRIB // scribbled homolog (Drosophila) // 8q24.3 // 23513 /// ENST00000377539 // SCRIB // scribbled homolog (Drosophila) // 8q24.3 // 23513 /// ENST00000377533 // SCRIB // scribbled homolog (Drosophila) // 8q24.3 // 23513
NM_004864	GDF15	3825012	1.018404335	5.94651546	1.98865E-05	0.255696001	-0.79549663	3824993	NM_004864 // GDF15 // growth differentiation factor 15 // 19p13.11 // 9518 /// ENST00000252809 // GDF15 // growth differentiation factor 15 // 19p13.11 // 9518 /// BC008962 // GDF15 // growth differentiation factor 15 // 19p13.11 // 9518
NM_030919	FAM83D	3884893	0.980442261	5.900622371	2.17082E-05	0.265827415	-0.821974052	3884892	NM_030919 // FAM83D // family with sequence similarity 83, member D // 20q11.22-q12 // 81610 /// ENST00000217429 // FAM83D // family with sequence similarity 83, member D // 20q11.22-q12 // 81610 /// AK095660 // FAM83D // family with sequence similarity 83, member D // 20q11.22-q12 // 81610
NM_032539	SLITRK2	3993869	-0.501579645	-5.875252925	2.27887E-05	0.26637361	-0.836729053	3993853	NM_032539 // SLITRK2 // SLIT and NTRK-like family, member 2 // Xq27.3 // 84631 /// ENST00000370490 // SLITRK2 // SLIT and NTRK-like family, member 2 // Xq27.3 // 84631 /// ENST00000394024 // SLITRK2 // SLIT and NTRK-like family, member 2 // Xq27.3 // 84631 /// ENST00000335565 // SLITRK2 // SLIT and NTRK-like family, member 2 // Xq27.3 // 84631 /// AB058757 // SLITRK2 // SLIT and NTRK-like family, member 2 // Xq27.3 // 84631 /// ENST00000391439 // LOC100129095 // similar to CXorf2 protein // Xq27.3 // 100129095 /// ENST00000391439 // SLITRK2 // SLIT and NTRK-like family, member 2 // Xq27.3 // 84631
NM_014454	SESN1	2968668	0.336862115	5.673376881	3.36437E-05	0.361332798	-0.957188796	2968652	NM_014454 // SESN1 // sestrin 1 // 6q21 // 27244 /// ENST00000302071 // SESN1 // sestrin 1 // 6q21 // 27244 /// AF033120 // SESN1 // sestrin 1 // 6q21 // 27244 /// ENST00000356644 // SESN1 // sestrin 1 // 6q21 // 27244 /// ENST00000368971 // SESN1 // sestrin 1 // 6q21 // 27244
NM_017541	CRYGS	2709407	0.445791272	5.672168743	3.37228E-05	0.361332798	-0.957926176	2709402	NM_017541 // CRYGS // crystallin, gamma S // 3q25-qter // 1427 /// ENST00000307944 // CRYGS // crystallin, gamma S // 3q25-qter // 1427 /// BC070241 // CRYGS // crystallin, gamma S // 3q25-qter // 1427 /// ENST00000392499 // CRYGS // crystallin, gamma S // 3q25-qter // 1427
NM_032727	INA	3262138	0.470308265	5.607703823	3.82335E-05	0.393277723	-0.997559919	3262129	NM_032727 // INA // internexin neuronal intermediate filament protein, alpha // 10q24.33 // 9118 /// ENST00000369849 // INA // internexin neuronal intermediate filament protein, alpha // 10q24.33 // 9118 /// BC006359 // INA // internexin neuronal intermediate filament protein, alpha // 10q24.33 // 9118
NM_003620	PPM1D	3729538	-0.736118125	-5.569646268	4.11852E-05	0.395015402	-1.021224693	3729528	NM_003620 // PPM1D // protein phosphatase 1D magnesium-dependent, delta isoform // 17q23.2 // 8493 /// ENST00000305921 // PPM1D // protein phosphatase 1D magnesium-dependent, delta isoform // 17q23.2 // 8493 /// BC042418 // PPM1D // protein phosphatase 1D magnesium-dependent, delta isoform // 17q23.2 // 8493 /// ENST00000392995 // PPM1D // protein phosphatase 1D magnesium-dependent, delta isoform // 17q23.2 // 8493
NM_174942	GAS2L3	3428286	1.034264451	5.566067224	4.14747E-05	0.395015402	-1.023460424	3428268	NM_174942 // GAS2L3 // growth arrest-specific 2 like 3 // 12q23.1 // 283431 /// ENST00000266754 // GAS2L3 // growth arrest-specific 2 like 3 // 12q23.1 // 283431 /// AK095594 // GAS2L3 // growth arrest-specific 2 like 3 // 12q23.1 // 283431
NM_004073	PLK3	2334193	-0.481790181	-5.546805352	4.30689E-05	0.39554953	-1.035523061	2334191	NM_004073 // PLK3 // polo-like kinase 3 (Drosophila) // 1p34.1 // 1263 /// ENST00000372201 // PLK3 // polo-like kinase 3 (Drosophila) // 1p34.1 // 1263 /// AJ293866 // PLK3 // polo-like kinase 3 (Drosophila) // 1p34.1 // 1263
NM_016529	ATP8A2	3482313	0.569362089	5.520730327	4.53286E-05	0.401947383	-1.051933886	3482274	NM_016529 // ATP8A2 // ATPase, aminophospholipid transporter-like, class I, type 8A, member 2 // 13q12 // 51761 /// ENST00000381655 // ATP8A2 // ATPase, aminophospholipid transporter-like, class I, type 8A, member 2 // 13q12 // 51761 /// ENST00000281620 // ATP8A2 // ATPase, aminophospholipid transporter-like, class I, type 8A, member 2 // 13q12 // 51761 /// AF236871 // ATP8A2 // ATPase, aminophospholipid transporter-like, class I, type 8A, member 2 // 13q12 // 51761 /// ENST00000255283 // ATP8A2 // ATPase, aminophospholipid transporter-like, class I, type 8A, member 2 // 13q12 // 51761 /// ENST00000381648 // ATP8A2 // ATPase, aminophospholipid transporter-like, class I, type 8A, member 2 // 13q12 // 51761
NM_001827	CKS2	3178596	0.939645138	5.497607112	4.74349E-05	0.40660415	-1.066565563	3178583	NM_001827 // CKS2 // CDC28 protein kinase regulatory subunit 2 // 9q22 // 1164 /// ENST00000314355 // CKS2 // CDC28 protein kinase regulatory subunit 2 // 9q22 // 1164 /// BC006458 // CKS2 // CDC28 protein kinase regulatory subunit 2 // 9q22 // 1164
NM_017938	FAM70A	4019804	0.544916027	5.467602401	5.03198E-05	0.417418608	-1.085662162	4019784	NM_017938 // FAM70A // family with sequence similarity 70, member A // Xq24 // 55026 /// NM_001104544 // FAM70A // family with sequence similarity 70, member A // Xq24 // 55026 /// NM_001104545 // FAM70A // family with sequence similarity 70, member A // Xq24 // 55026 /// ENST00000309720 // FAM70A // family with sequence similarity 70, member A // Xq24 // 55026 /// ENST00000371369 // FAM70A // family with sequence similarity 70, member A // Xq24 // 55026 /// BC047054 // FAM70A // family with sequence similarity 70, member A // Xq24 // 55026 /// ENST00000371352 // FAM70A // family with sequence similarity 70, member A // Xq24 // 55026
NM_021034	IFITM3	3357853	0.587624188	5.429536075	5.42425E-05	0.435897481	-1.110069855	3357840	NM_021034 // IFITM3 // interferon induced transmembrane protein 3 (1-8U) // 11p15.5 // 10410 /// ENST00000399808 // IFITM3 // interferon induced transmembrane protein 3 (1-8U) // 11p15.5 // 10410 /// CR541874 // IFITM2 // interferon induced transmembrane protein 2 (1-8D) // 11p15.5 // 10581 /// X57352 // IFITM3 // interferon induced transmembrane protein 3 (1-8U) // 11p15.5 // 10410
NM_001809	CENPA	2474010	0.676193583	5.367692818	6.13016E-05	0.46682206	-1.15015482	2473991	NM_001809 // CENPA // centromere protein A // 2p24-p21 // 1058 /// NM_001042426 // CENPA // centromere protein A // 2p24-p21 // 1058 /// ENST00000335756 // CENPA // centromere protein A // 2p24-p21 // 1058 /// ENST00000233505 // CENPA // centromere protein A // 2p24-p21 // 1058 /// U14518 // CENPA // centromere protein A // 2p24-p21 // 1058
NM_152718	VWCE	3375221	0.454852817	5.359552953	6.2299E-05	0.46682206	-1.155470791	3375192	NM_152718 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000335613 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// BC077719 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000301770 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001
NM_004864	GDF15	3825001	-0.536438512	-5.331170465	6.59094E-05	0.46682206	-1.174079713	3824993	NM_004864 // GDF15 // growth differentiation factor 15 // 19p13.11 // 9518 /// ENST00000252809 // GDF15 // growth differentiation factor 15 // 19p13.11 // 9518 /// BC008962 // GDF15 // growth differentiation factor 15 // 19p13.11 // 9518
NM_024417	FDXR	3770461	-0.38177169	-5.317751468	6.76909E-05	0.46682206	-1.182917375	3770457	NM_024417 // FDXR // ferredoxin reductase // 17q24-q25 // 2232 /// NM_004110 // FDXR // ferredoxin reductase // 17q24-q25 // 2232 /// ENST00000293195 // FDXR // ferredoxin reductase // 17q24-q25 // 2232 /// BC034763 // FDXR // ferredoxin reductase // 17q24-q25 // 2232
NM_014926	SLITRK3	2703842	-0.552592424	-5.313572117	6.82558E-05	0.46682206	-1.185675057	2703836	NM_014926 // SLITRK3 // SLIT and NTRK-like family, member 3 // 3q26.1 // 22865 /// ENST00000241274 // SLITRK3 // SLIT and NTRK-like family, member 3 // 3q26.1 // 22865 /// AK290024 // SLITRK3 // SLIT and NTRK-like family, member 3 // 3q26.1 // 22865
NM_001098482	CRTC1	3825366	0.348180861	5.299771447	7.0156E-05	0.46682206	-1.194798747	3825292	NM_001098482 // CRTC1 // CREB regulated transcription coactivator 1 // 19p13.11 // 23373 /// NM_015321 // CRTC1 // CREB regulated transcription coactivator 1 // 19p13.11 // 23373 /// ENST00000338797 // CRTC1 // CREB regulated transcription coactivator 1 // 19p13.11 // 23373 /// ENST00000321949 // CRTC1 // CREB regulated transcription coactivator 1 // 19p13.11 // 23373 /// AY360171 // CRTC1 // CREB regulated transcription coactivator 1 // 19p13.11 // 23373 /// ENST00000262813 // CRTC1 // CREB regulated transcription coactivator 1 // 19p13.11 // 23373
NM_173637	SLC25A41	3847862	-0.448708537	-5.295196032	7.0798E-05	0.46682206	-1.197829517	3847858	NM_173637 // SLC25A41 // solute carrier family 25, member 41 // 19p13.3 // 284427 /// ENST00000398139 // SLC25A41 // solute carrier family 25, member 41 // 19p13.3 // 284427 /// AK097761 // SLC25A41 // solute carrier family 25, member 41 // 19p13.3 // 284427
NM_198850	PHLDB3	3864418	0.35738027	5.254092472	7.68438E-05	0.494019322	-1.225189552	3864414	NM_198850 // PHLDB3 // pleckstrin homology-like domain, family B, member 3 // 19q13.31 // 653583 /// BC070094 // PHLDB3 // pleckstrin homology-like domain, family B, member 3 // 19q13.31 // 653583 /// ENST00000314735 // PHLDB3 // pleckstrin homology-like domain, family B, member 3 // 19q13.31 // 653583
NM_002599	PDE2A	3381197	-0.324668607	-5.230270938	8.05888E-05	0.498023432	-1.241155711	3381150	NM_002599 // PDE2A // phosphodiesterase 2A, cGMP-stimulated // 11q13.4 // 5138 /// ENST00000334456 // PDE2A // phosphodiesterase 2A, cGMP-stimulated // 11q13.4 // 5138 /// BC040974 // PDE2A // phosphodiesterase 2A, cGMP-stimulated // 11q13.4 // 5138 /// ENST00000376450 // PDE2A // phosphodiesterase 2A, cGMP-stimulated // 11q13.4 // 5138
NM_014349	APOL3	3959362	0.398015197	5.225630283	8.134E-05	0.498023432	-1.244275449	3959350	NM_014349 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// NM_030644 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// NM_145639 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// NM_145640 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// NM_145641 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// NM_145642 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// ENST00000397293 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// ENST00000397285 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// ENST00000349314 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// ENST00000397287 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// ENST00000361710 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// ENST00000397289 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// AY014905 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// ENST00000337769 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833 /// ENST00000397295 // APOL3 // apolipoprotein L, 3 // 22q13.1 // 80833
NM_153690	FAM43A	2658789	-0.416056291	-5.181744213	8.88106E-05	0.519154885	-1.273929953	2658785	NM_153690 // FAM43A // family with sequence similarity 43, member A // 3q29 // 131583 /// ENST00000329759 // FAM43A // family with sequence similarity 43, member A // 3q29 // 131583 /// BC064989 // FAM43A // family with sequence similarity 43, member A // 3q29 // 131583
NM_152596	EXDL1	3619888	-0.389479162	-5.181640915	8.8829E-05	0.519154885	-1.274000077	3619887	NM_152596 // EXDL1 // exonuclease 3-5 domain-like 1 // 15q15.1 // 161829 /// ENST00000314992 // EXDL1 // exonuclease 3-5 domain-like 1 // 15q15.1 // 161829 /// BC030628 // EXDL1 // exonuclease 3-5 domain-like 1 // 15q15.1 // 161829
NM_018494	LRDD	3358453	0.355750983	5.147028424	9.52187E-05	0.534375388	-1.297582491	3358425	NM_018494 // LRDD // leucine-rich repeats and death domain containing // 11p15.5 // 55367 /// NM_145886 // LRDD // leucine-rich repeats and death domain containing // 11p15.5 // 55367 /// NM_145887 // LRDD // leucine-rich repeats and death domain containing // 11p15.5 // 55367 /// ENST00000347755 // LRDD // leucine-rich repeats and death domain containing // 11p15.5 // 55367 /// AB209529 // LRDD // leucine-rich repeats and death domain containing // 11p15.5 // 55367 /// AB208832 // LRDD // leucine-rich repeats and death domain containing // 11p15.5 // 55367 /// AB208949 // LRDD // leucine-rich repeats and death domain containing // 11p15.5 // 55367
