Direction	Entrez Gene ID	Gene Symbol	Gene Description
Down	5631	PRPS1	phosphoribosyl pyrophosphate synthetase 1
Down	7042	TGFB2	transforming growth factor, beta 2
Down	4430	MYO1B	myosin IB
Down	2346	FOLH1	folate hydrolase (prostate-specific membrane antigen) 1
Down	652	BMP4	bone morphogenetic protein 4
Down	10769	PLK2	polo-like kinase 2 (Drosophila)
Down	1514	CTSL1	cathepsin L1
Down	4151	MB	myoglobin
Down	6781	STC1	stanniocalcin 1
Down	9619	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1
Down	23531	MMD	monocyte to macrophage differentiation-associated
Down	54541	DDIT4	DNA-damage-inducible transcript 4
Down	3554	IL1R1	interleukin 1 receptor, type I
Down	638	BIK	BCL2-interacting killer (apoptosis-inducing)
Down	23240	KIAA0922	KIAA0922
Down	1843	DUSP1	dual specificity phosphatase 1
Down	1846	DUSP4	dual specificity phosphatase 4
Down	5909	RAP1GAP	RAP1 GTPase activating protein
Down	29760	BLNK	B-cell linker
Down	3897	L1CAM	L1 cell adhesion molecule
Down	3887	KRT81	keratin 81
Down	5816	PVALB	parvalbumin
Down	4071	TM4SF1	transmembrane 4 L six family member 1
Down	3912	LAMB1	laminin, beta 1
Down	3855	KRT7	keratin 7
Down	9052	GPRC5A	G protein-coupled receptor, family C, group 5, member A
Down	4147	MATN2	matrilin 2
Down	4088	SMAD3	SMAD family member 3
Down	1191	CLU	clusterin
Down	8942	KYNU	kynureninase (L-kynurenine hydrolase)
Down	9353	SLIT2	slit homolog 2 (Drosophila)
Down	306	ANXA3	annexin A3
Down	2330	FMO5	flavin containing monooxygenase 5
Down	10974	C10orf116	chromosome 10 open reading frame 116
Down	1891	ECH1	enoyl Coenzyme A hydratase 1, peroxisomal
Down	7837	PXDN	peroxidasin homolog (Drosophila)
Down	23466	CBX6	chromobox homolog 6
Down	1316	KLF6	Kruppel-like factor 6
Down	5507	PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C
Down	8349	HIST2H2BE	histone cluster 2, H2be
Down	2799	GNS	glucosamine (N-acetyl)-6-sulfatase
Down	1512	CTSH	cathepsin H
Down	10397	NDRG1	N-myc downstream regulated 1
Down	10437	IFI30	interferon, gamma-inducible protein 30
Down	8537	BCAS1	breast carcinoma amplified sequence 1
Down	1627	DBN1	drebrin 1
Down	10608	MXD4	MAX dimerization protein 4
Down	8991	SELENBP1	selenium binding protein 1
Down	8659	ALDH4A1	aldehyde dehydrogenase 4 family, member A1
Down	3913	LAMB2	laminin, beta 2 (laminin S)
Down	9516	LITAF	lipopolysaccharide-induced TNF factor
Down	27124	INPP5J	inositol polyphosphate-5-phosphatase J
Down	2064	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
Down	7043	TGFB3	transforming growth factor, beta 3
Down	10020	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
Down	4753	NELL2	NEL-like 2 (chicken)
Down	10057	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5
Down	140462	ASB9	ankyrin repeat and SOCS box-containing 9
Down	8507	ENC1	ectodermal-neural cortex (with BTB-like domain)
Down	1942	EFNA1	ephrin-A1
Down	51141	INSIG2	insulin induced gene 2
Down	6812	STXBP1	syntaxin binding protein 1
Down	4798	NFRKB	nuclear factor related to kappaB binding protein
Down	9915	ARNT2	aryl-hydrocarbon receptor nuclear translocator 2
Down	1287	COL4A5	collagen, type IV, alpha 5
Down	10184	LHFPL2	lipoma HMGIC fusion partner-like 2
Down	390	RND3	Rho family GTPase 3
Down	23508	TTC9	tetratricopeptide repeat domain 9
Down	9121	SLC16A5	solute carrier family 16, member 5 (monocarboxylic acid transporter 6)
Down	5934	RBL2	retinoblastoma-like 2 (p130)
Down	6623	SNCG	synuclein, gamma (breast cancer-specific protein 1)
Down	6609	SMPD1	sphingomyelin phosphodiesterase 1, acid lysosomal
Down	4582	MUC1	mucin 1, cell surface associated
Down	2065	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)
