P-value	FDR	Fold-change (Slug/Neo Control)	Probe set	Gene symbol	Description
3.00E-06	6.40E-05	7.403	210869_s_at	MCAM	melanoma cell adhesion molecule
5.45E-05	0.0002265	7.253	215743_at	NMT2	N-myristoyltransferase 2
0.00012	0.0003667	7.142	238447_at	RBMS3	RNA binding motif, single stranded interacting protein
0.0001378	0.0003977	7.131	205525_at	CALD1	caldesmon 1
0.0007644	0.0013652	7.113	226136_at	GLIPR1	GLI pathogenesis-related 1
0.0001117	0.0003517	7.105	213325_at	PVRL3	poliovirus receptor-related 3
0.0001951	0.0005038	7.094	237411_at	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif, 6
4.89E-05	0.0002114	7.033	1555579_s_at	PTPRM	protein tyrosine phosphatase, receptor type, M
3.60E-06	6.75E-05	7.003	244503_at	NA	NA
1.51E-05	0.0001177	7.003	209118_s_at	TUBA1A	tubulin, alpha 1a
1.16E-05	0.0001021	6.813	227828_s_at	FAM176A	family with sequence similarity 176, member A
2.18E-05	0.0001396	6.812	200644_at	MARCKSL1	MARCKS-like 1
0.0001251	0.0003722	6.787	219937_at	TRHDE	thyrotropin-releasing hormone degrading enzyme
1.91E-05	0.0001292	6.763	226751_at	CNRIP1	cannabinoid receptor interacting protein 1
9.05E-05	0.0003099	6.697	223614_at	MMP16	matrix metallopeptidase 16 (membrane-inserted)
1.50E-06	5.65E-05	6.672	205006_s_at	NMT2	N-myristoyltransferase 2
5.80E-05	0.0002346	6.662	226834_at	NA	NA
2.60E-06	6.21E-05	6.579	203895_at	PLCB4	phospholipase C, beta 4
5.67E-05	0.0002314	6.551	232458_at	COL3A1	collagen, type III, alpha 1
1.59E-05	0.000119	6.486	218380_at	NLRP1	NLR family, pyrin domain containing 1
0.0001014	0.0003289	6.472	205003_at	DOCK4	dedicator of cytokinesis 4
2.80E-06	6.21E-05	6.462	210517_s_at	AKAP12	A kinase (PRKA) anchor protein 12
9.14E-05	0.0003106	6.461	205547_s_at	TAGLN	transgelin
2.00E-07	3.57E-05	6.439	227846_at	GPR176	G protein-coupled receptor 176
2.35E-05	0.0001452	6.418	219427_at	FAT4	FAT tumor suppressor homolog 4 (Drosophila)
0.0003268	0.0007258	6.361	210762_s_at	DLC1	deleted in liver cancer 1
6.86E-05	0.0002607	6.342	210105_s_at	FYN	FYN oncogene related to SRC, FGR, YES
0.0002669	0.0006302	6.32	206382_s_at	BDNF	brain-derived neurotrophic factor
6.72E-05	0.0002584	6.301	209031_at	CADM1	cell adhesion molecule 1
4.60E-06	7.04E-05	6.275	228551_at	DENND5B	DENN/MADD domain containing 5B
0.0002058	0.0005234	6.27	219179_at	DACT1	dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)
3.98E-05	0.0001887	6.23	205005_s_at	NMT2	N-myristoyltransferase 2
1.86E-05	0.0001286	6.204	227503_at	NA	NA
4.48E-05	0.0001978	6.161	225275_at	EDIL3	EGF-like repeats and discoidin I-like domains 3
9.60E-05	0.0003192	6.143	227529_s_at	AKAP12	A kinase (PRKA) anchor protein 12
4.43E-05	0.000196	6.123	202952_s_at	ADAM12	ADAM metallopeptidase domain 12
1.70E-05	0.000122	6.114	219140_s_at	RBP4	retinol binding protein 4, plasma
2.35E-05	0.0001452	5.998	211343_s_at	COL13A1	collagen, type XIII, alpha 1
0.0008583	0.0014882	5.954	226142_at	GLIPR1	GLI pathogenesis-related 1
0.0002515	0.0006096	5.886	205083_at	AOX1	aldehyde oxidase 1
6.54E-05	0.0002549	5.833	239367_at	BDNF	brain-derived neurotrophic factor
8.80E-06	9.21E-05	5.832	206924_at	IL11	interleukin 11
0.0007948	0.0014039	5.832	237435_at	NA	NA
0.0001974	0.000506	5.803	205924_at	RAB3B	RAB3B, member RAS oncogene family
6.00E-07	4.84E-05	5.794	203139_at	DAPK1	death-associated protein kinase 1
4.27E-05	0.0001945	5.792	225496_s_at	SYTL2	synaptotagmin-like 2
9.67E-05	0.0003206	5.78	212158_at	SDC2	syndecan 2
4.40E-06	6.91E-05	5.764	227530_at	AKAP12	A kinase (PRKA) anchor protein 12
1.89E-05	0.0001291	5.757	219308_s_at	AK5	adenylate kinase 5
3.29E-05	0.000171	5.736	210764_s_at	CYR61	cysteine-rich, angiogenic inducer, 61
2.45E-05	0.0001487	5.679	229566_at	LOC645638	similar to WDNM1-like protein
0.0002105	0.0005336	5.59	227458_at	NA	NA
8.77E-05	0.0003051	5.567	229641_at	NA	NA
1.61E-05	0.0001197	5.548	235570_at	NA	NA
0.0008001	0.0014089	5.526	229437_at	MIRHG2	microRNA host gene 2 (non-protein coding)
8.00E-07	5.36E-05	5.521	202555_s_at	MYLK	myosin light chain kinase
4.64E-05	0.0002025	5.463	210220_at	FZD2	frizzled homolog 2 (Drosophila)
7.60E-06	8.38E-05	5.413	1558280_s_at	ARHGAP29	Rho GTPase activating protein 29
1.26E-05	0.0001063	5.386	235696_at	NA	NA
4.31E-05	0.0001945	5.358	236824_at	TMEM132B	transmembrane protein 132B
1.69E-05	0.000122	5.308	204537_s_at	GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon
2.61E-05	0.0001529	5.277	230560_at	STXBP6	syntaxin binding protein 6 (amisyn)
3.19E-05	0.0001701	5.233	224822_at	DLC1	deleted in liver cancer 1
1.10E-05	9.99E-05	5.196	201289_at	CYR61	cysteine-rich, angiogenic inducer, 61
2.10E-06	5.78E-05	5.181	202957_at	HCLS1	hematopoietic cell-specific Lyn substrate 1
0.0002039	0.0005197	5.181	215143_at	DPY19L2P2	dpy-19-like 2 pseudogene 2 (C. elegans)
6.62E-05	0.0002563	5.127	201058_s_at	MYL9	myosin, light chain 9, regulatory
0.0002705	0.0006364	5.085	1560573_at	LOC387895	hypothetical gene supported by BC040060
1.36E-05	0.000111	5.061	204955_at	SRPX	sushi-repeat-containing protein, X-linked
2.61E-05	0.0001529	5.035	222162_s_at	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1
0.0008332	0.0014547	5.005	226051_at	SELM	selenoprotein M
0.0002277	0.0005651	4.969	229580_at	NA	NA
2.00E-07	3.57E-05	4.917	212256_at	GALNT10	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)
9.65E-05	0.0003204	4.916	205931_s_at	CREB5	cAMP responsive element binding protein 5
8.43E-05	0.0002992	4.869	226756_at	NA	NA
6.70E-05	0.0002581	4.848	201312_s_at	SH3BGRL	SH3 domain binding glutamic acid-rich protein like
1.03E-05	9.66E-05	4.841	203562_at	FEZ1	fasciculation and elongation protein zeta 1 (zygin I)
0.0002412	0.0005928	4.839	209909_s_at	TGFB2	transforming growth factor, beta 2
0.0001323	0.0003881	4.828	216005_at	TNC	tenascin C
2.95E-05	0.0001655	4.827	232268_at	NA	NA
7.50E-06	8.35E-05	4.825	203329_at	PTPRM	protein tyrosine phosphatase, receptor type, M
1.45E-05	0.0001142	4.823	212419_at	ZCCHC24	zinc finger, CCHC domain containing 24
6.70E-06	8.10E-05	4.81	203434_s_at	MME	membrane metallo-endopeptidase
0.000378	0.0008052	4.808	241970_at	NA	NA
0.0002811	0.0006545	4.807	232231_at	RUNX2	runt-related transcription factor 2
6.60E-06	8.10E-05	4.802	216033_s_at	FYN	FYN oncogene related to SRC, FGR, YES
1.16E-05	0.0001021	4.727	239108_at	FAR2	fatty acyl CoA reductase 2
5.00E-06	7.16E-05	4.723	212488_at	COL5A1	collagen, type V, alpha 1
0.0001628	0.0004398	4.72	225288_at	COL27A1	collagen, type XXVII, alpha 1
1.40E-06	5.65E-05	4.716	201540_at	FHL1	four and a half LIM domains 1
0.0006946	0.0012675	4.701	235342_at	SPOCK3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3
8.00E-05	0.0002894	4.701	209946_at	VEGFC	vascular endothelial growth factor C
0.0005452	0.0010527	4.692	212609_s_at	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)
0.0004284	0.0008774	4.686	202202_s_at	LAMA4	laminin, alpha 4
0.0002472	0.0006047	4.665	205579_at	HRH1	histamine receptor H1
< 1e-07	< 1e-07	4.646	208782_at	FSTL1	follistatin-like 1
0.0007327	0.001319	4.622	218678_at	NES	nestin
0.0002754	0.0006435	4.612	213429_at	NA	NA
0.0001148	0.000358	4.589	210299_s_at	FHL1	four and a half LIM domains 1
0.0001067	0.0003393	4.569	229307_at	ANKRD28	ankyrin repeat domain 28
2.50E-06	6.21E-05	4.501	205207_at	IL6	interleukin 6 (interferon, beta 2)
2.20E-05	0.0001401	4.498	203570_at	LOXL1	lysyl oxidase-like 1
0.0003879	0.0008195	4.497	1552487_a_at	BNC1	basonuclin 1
3.52E-05	0.0001774	4.486	204083_s_at	TPM2	tropomyosin 2 (beta)
0.0005285	0.001031	4.469	220615_s_at	FAR2	fatty acyl CoA reductase 2
0.0008766	0.001513	4.415	223395_at	ABI3BP	ABI family, member 3 (NESH) binding protein
7.16E-05	0.0002685	4.373	225664_at	COL12A1	collagen, type XII, alpha 1
0.0007751	0.0013794	4.319	235367_at	MYPN	myopalladin
3.11E-05	0.0001676	4.312	212843_at	NCAM1	neural cell adhesion molecule 1
9.46E-05	0.0003168	4.291	1560698_a_at	LOC283392	hypothetical LOC283392
1.92E-05	0.0001292	4.282	203910_at	ARHGAP29	Rho GTPase activating protein 29
3.22E-05	0.0001702	4.272	228438_at	LOC100132891	hypothetical protein LOC100132891
0.000413	0.0008551	4.249	204236_at	FLI1	Friend leukemia virus integration 1
1.64E-05	0.0001203	4.249	220994_s_at	STXBP6	syntaxin binding protein 6 (amisyn)
6.45E-05	0.0002523	4.242	209348_s_at	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
0.0001553	0.0004308	4.221	203963_at	CA12	carbonic anhydrase XII
3.90E-06	6.75E-05	4.199	212489_at	COL5A1	collagen, type V, alpha 1
0.0002471	0.0006047	4.187	213603_s_at	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
1.74E-05	0.0001233	4.18	230418_s_at	GALNTL1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 1
0.0005247	0.0010272	4.176	203980_at	FABP4	fatty acid binding protein 4, adipocyte
0.0002122	0.0005366	4.176	213397_x_at	ANG	angiogenin, ribonuclease, RNase A family, 5
5.01E-05	0.0002149	4.16	219737_s_at	PCDH9	protocadherin 9
8.19E-05	0.0002949	4.159	223723_at	MFI2	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5
3.53E-05	0.0001774	4.148	226932_at	SSPN	sarcospan (Kras oncogene-associated gene)
0.0005252	0.0010272	4.128	225241_at	CCDC80	coiled-coil domain containing 80
3.34E-05	0.0001724	4.122	225524_at	ANTXR2	anthrax toxin receptor 2
0.0001064	0.0003388	4.111	207303_at	PDE1C	phosphodiesterase 1C, calmodulin-dependent 70kDa
0.0002519	0.0006096	4.083	230883_at	NA	NA
5.30E-05	0.0002223	4.079	212423_at	ZCCHC24	zinc finger, CCHC domain containing 24
0.0001031	0.0003321	4.066	1562415_a_at	SPOCD1	SPOC domain containing 1
8.37E-05	0.0002992	4.014	224964_s_at	GNG2	guanine nucleotide binding protein (G protein), gamma 2
1.09E-05	9.98E-05	3.978	205019_s_at	VIPR1	vasoactive intestinal peptide receptor 1
2.61E-05	0.0001529	3.973	219702_at	PLAC1	placenta-specific 1
9.00E-07	5.36E-05	3.964	209357_at	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
2.00E-06	5.72E-05	3.964	226066_at	MITF	microphthalmia-associated transcription factor
1.82E-05	0.0001274	3.963	226614_s_at	FAM167A	family with sequence similarity 167, member A
0.0002766	0.0006454	3.948	230968_at	NA	NA
4.00E-06	6.75E-05	3.93	218717_s_at	LEPREL1	leprecan-like 1
0.0009165	0.0015651	3.917	220407_s_at	TGFB2	transforming growth factor, beta 2
9.23E-05	0.0003122	3.912	206363_at	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
0.000116	0.0003595	3.91	229273_at	SALL1	sal-like 1 (Drosophila)
6.29E-05	0.0002469	3.902	207876_s_at	FLNC	filamin C, gamma (actin binding protein 280)
4.43E-05	0.000196	3.879	230425_at	EPHB1	EPH receptor B1
6.58E-05	0.0002561	3.823	236656_s_at	LOC100130506	hypothetical protein LOC100130506
2.00E-05	0.0001322	3.816	202686_s_at	AXL	AXL receptor tyrosine kinase
1.86E-05	0.0001286	3.8	1556138_a_at	NA	NA
9.48E-05	0.0003168	3.793	1555724_s_at	TAGLN	transgelin
0.0008734	0.0015086	3.768	223618_at	FMN2	formin 2
3.55E-05	0.0001776	3.754	230183_at	EXT1	exostoses (multiple) 1
0.0008325	0.0014547	3.749	225381_at	LOC399959	hypothetical gene supported by BX647608
0.0002584	0.0006182	3.744	1556499_s_at	COL1A1	collagen, type I, alpha 1
0.0005686	0.001084	3.737	226358_at	NA	NA
0.0001539	0.0004291	3.732	206290_s_at	RGS7	regulator of G-protein signaling 7
0.000193	0.0004999	3.729	215867_x_at	CA12	carbonic anhydrase XII
3.60E-06	6.75E-05	3.725	201041_s_at	DUSP1	dual specificity phosphatase 1
3.90E-06	6.75E-05	3.724	211071_s_at	MLLT11	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11
2.40E-06	6.21E-05	3.716	226905_at	FAM101B	family with sequence similarity 101, member B
1.19E-05	0.0001035	3.714	218820_at	C14orf132	chromosome 14 open reading frame 132
9.70E-06	9.41E-05	3.707	219295_s_at	PCOLCE2	procollagen C-endopeptidase enhancer 2
3.00E-07	3.57E-05	3.707	209949_at	NCF2	neutrophil cytosolic factor 2
6.75E-05	0.0002591	3.702	204748_at	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
2.28E-05	0.0001416	3.7	226633_at	RAB8B	RAB8B, member RAS oncogene family
2.96E-05	0.0001657	3.698	228121_at	TGFB2	transforming growth factor, beta 2
0.0008303	0.001453	3.697	202765_s_at	FBN1	fibrillin 1
7.51E-05	0.000277	3.696	221031_s_at	APOLD1	apolipoprotein L domain containing 1
2.49E-05	0.0001493	3.692	225975_at	PCDH18	protocadherin 18
1.61E-05	0.0001197	3.678	225989_at	HERC4	hect domain and RLD 4
7.50E-06	8.35E-05	3.671	224925_at	PREX1	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1
4.62E-05	0.000202	3.663	229092_at	NR2F2	nuclear receptor subfamily 2, group F, member 2
0.000909	0.0015558	3.661	203153_at	IFIT1	interferon-induced protein with tetratricopeptide repeats 1
1.38E-05	0.000111	3.652	219304_s_at	PDGFD	platelet derived growth factor D
0.000156	0.0004313	3.642	1558692_at	C1orf85	chromosome 1 open reading frame 85
0.0006406	0.0011843	3.623	231067_s_at	NA	NA
0.0002714	0.0006379	3.623	221016_s_at	TCF7L1	transcription factor 7-like 1 (T-cell specific, HMG-box)
0.0001595	0.0004361	3.606	227646_at	EBF1	early B-cell factor 1
4.80E-06	7.05E-05	3.599	204417_at	GALC	galactosylceramidase
0.0003917	0.0008246	3.585	227140_at	NA	NA
6.60E-05	0.0002563	3.581	203665_at	HMOX1	heme oxygenase (decycling) 1
0.0003573	0.000773	3.566	239227_at	NA	NA
0.0006936	0.0012667	3.553	202936_s_at	SOX9	SRY (sex determining region Y)-box 9
1.47E-05	0.000115	3.541	223218_s_at	NFKBIZ	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta
0.0001023	0.0003309	3.538	203423_at	RBP1	retinol binding protein 1, cellular
1.80E-06	5.65E-05	3.533	227386_s_at	TMEM200B	transmembrane protein 200B
4.00E-07	3.77E-05	3.501	210095_s_at	IGFBP3	insulin-like growth factor binding protein 3
0.0003795	0.0008063	3.501	202310_s_at	COL1A1	collagen, type I, alpha 1
0.00061	0.0011432	3.501	219855_at	NUDT11	nudix (nucleoside diphosphate linked moiety X)-type motif 11
3.23E-05	0.0001702	3.454	203325_s_at	COL5A1	collagen, type V, alpha 1
7.72E-05	0.0002824	3.454	204529_s_at	TOX	thymocyte selection-associated high mobility group box
0.0001847	0.0004847	3.441	206375_s_at	HSPB3	heat shock 27kDa protein 3
1.43E-05	0.000113	3.425	202037_s_at	SFRP1	secreted frizzled-related protein 1
2.20E-06	5.78E-05	3.417	214612_x_at	MAGEA6	melanoma antigen family A, 6
1.80E-06	5.65E-05	3.407	225681_at	CTHRC1	collagen triple helix repeat containing 1
0.0001544	0.0004297	3.402	202859_x_at	IL8	interleukin 8
1.77E-05	0.0001251	3.396	206117_at	TPM1	tropomyosin 1 (alpha)
1.42E-05	0.000113	3.394	229019_at	ZNF385B	zinc finger protein 385B
4.20E-06	6.83E-05	3.384	202252_at	RAB13	RAB13, member RAS oncogene family
3.30E-06	6.60E-05	3.381	204984_at	GPC4	glypican 4
0.0001057	0.0003374	3.374	44702_at	SYDE1	synapse defective 1, Rho GTPase, homolog 1 (C. elegans)
7.84E-05	0.0002845	3.372	204963_at	SSPN	sarcospan (Kras oncogene-associated gene)
0.0006748	0.0012361	3.372	204422_s_at	FGF2	fibroblast growth factor 2 (basic)
0.0004995	0.0009907	3.368	203821_at	HBEGF	heparin-binding EGF-like growth factor
0.000548	0.0010572	3.357	230130_at	NA	NA
9.30E-06	9.40E-05	3.356	201069_at	MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)
8.43E-05	0.0002992	3.351	235548_at	APCDD1L	adenomatosis polyposis coli down-regulated 1-like
0.0002841	0.0006593	3.347	233002_at	PPP4R4	protein phosphatase 4, regulatory subunit 4
8.31E-05	0.0002982	3.334	228007_at	C6orf204	chromosome 6 open reading frame 204
0.0005206	0.0010218	3.329	213712_at	ELOVL2	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2
0.0001325	0.0003881	3.318	236115_at	NA	NA
6.96E-05	0.0002627	3.317	221530_s_at	BHLHE41	basic helix-loop-helix family, member e41
0.0001048	0.0003356	3.295	208998_at	UCP2	uncoupling protein 2 (mitochondrial, proton carrier)
0.0001565	0.0004313	3.292	206825_at	OXTR	oxytocin receptor
2.90E-06	6.30E-05	3.289	209942_x_at	MAGEA3	melanoma antigen family A, 3
0.0009593	0.0016209	3.281	202158_s_at	CUGBP2	CUG triplet repeat, RNA binding protein 2
0.0001201	0.0003667	3.279	209598_at	PNMA2	paraneoplastic antigen MA2
7.16E-05	0.0002685	3.277	203729_at	EMP3	epithelial membrane protein 3
0.000628	0.0011667	3.27	224909_s_at	PREX1	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1
2.36E-05	0.0001452	3.269	228171_s_at	PLEKHG4	pleckstrin homology domain containing, family G (with RhoGef domain) member 4
2.60E-06	6.21E-05	3.267	226342_at	SPTBN1	spectrin, beta, non-erythrocytic 1
2.70E-06	6.21E-05	3.259	215388_s_at	CFHR1	complement factor H-related 1
4.02E-05	0.0001895	3.256	214930_at	SLITRK5	SLIT and NTRK-like family, member 5
1.38E-05	0.000111	3.2	213438_at	NFASC	neurofascin homolog (chicken)
9.08E-05	0.0003101	3.199	212143_s_at	IGFBP3	insulin-like growth factor binding protein 3
3.06E-05	0.0001676	3.193	231175_at	BEND6	BEN domain containing 6
8.80E-05	0.0003056	3.193	201508_at	IGFBP4	insulin-like growth factor binding protein 4
2.44E-05	0.0001487	3.185	232080_at	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2
0.0009599	0.0016209	3.184	207980_s_at	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
0.0005053	0.0009995	3.182	229065_at	SLC35F3	solute carrier family 35, member F3
0.0003002	0.0006877	3.165	213262_at	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin)
7.29E-05	0.0002715	3.16	229256_at	PGM2L1	phosphoglucomutase 2-like 1
2.80E-06	6.21E-05	3.159	229354_at	AHRR	aryl-hydrocarbon receptor repressor
0.0008507	0.0014793	3.156	239519_at	NA	NA
0.0008184	0.0014355	3.144	202935_s_at	SOX9	SRY (sex determining region Y)-box 9
0.0001215	0.0003678	3.144	218720_x_at	SEZ6L2	seizure related 6 homolog (mouse)-like 2
7.64E-05	0.0002808	3.132	214913_at	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif, 3
1.00E-06	5.51E-05	3.13	212771_at	FAM171A1	family with sequence similarity 171, member A1
0.0009635	0.0016233	3.124	223622_s_at	HYI	hydroxypyruvate isomerase homolog (E. coli)
3.90E-06	6.75E-05	3.112	227279_at	TCEAL3	transcription elongation factor A (SII)-like 3
