Gene Symbol	Probeset ID	p-value	Fold-Change
ACTG2	202274_at	2.65E-05	2.52009
PCM1	228905_at	0.000118257	2.5125
LOC730631	238529_at	0.00054703	2.49673
GAS7	202191_s_at	0.000371912	2.49223
	230570_at	9.77E-05	2.47823
CNNM2	1554522_at	4.31E-07	2.47425
	214110_s_at	5.77E-05	2.4715
ZNRF1	225962_at	8.36E-05	2.46848
LOC100270804	229722_at	2.54E-08	2.44827
IL17RB	219255_x_at	2.50E-07	2.43102
LOC728903 /// MGC21881	1555872_a_at	1.27E-06	2.42036
C12orf39	229778_at	1.37E-05	2.41582
C5orf26	225698_at	0.000893014	2.39263
SCARA3	223842_s_at	7.59E-08	2.37988
	242769_at	0.000163465	2.37429
NR4A2	204622_x_at	2.68E-05	2.37134
ADAMTS1	222162_s_at	0.000134649	2.35836
CHDH	1559590_at	5.79E-11	2.35448
DPP7	238012_at	0.000305949	2.35443
WWP2	204022_at	5.95E-06	2.33354
YPEL1	228788_at	9.54E-05	2.32421
LOC203107	1556613_s_at	0.000110184	2.32291
TSPYL4	212928_at	0.0006989	2.31846
C1orf133	230121_at	0.000603724	2.31643
	228560_at	1.76E-07	2.31583
	235109_at	5.44E-05	2.31249
AMH	206516_at	4.37E-05	2.309
C2orf68	221878_at	8.77E-05	2.30847
TGFB2	209909_s_at	0.000511918	2.29879
KLK6	204733_at	1.82E-06	2.29488
NFIB	230291_s_at	4.01E-06	2.26881
FOXF1	205935_at	0.000275888	2.2646
RPS17P5	216348_at	7.03E-05	2.25127
MGC21881	1555874_x_at	4.68E-05	2.25107
ALG1	236626_at	4.74E-08	2.24859
SFRS5	203380_x_at	3.67E-06	2.24565
LOC645249	236967_at	0.000146252	2.23826
RBBP6	232044_at	0.000104163	2.23595
PRRT2	227192_at	0.0001057	2.23354
CSNK2A2	224922_at	6.46E-05	2.22455
hCG_2008140	227593_at	2.38E-05	2.22407
	235337_at	0.000230108	2.21586
VAT1L	226415_at	0.000659284	2.21473
NR4A2	204621_s_at	0.000131658	2.2139
IL17RB	224156_x_at	1.22E-05	2.21227
	237081_at	7.77E-07	2.20604
C7orf13	236340_at	2.57E-05	2.20115
RDH5	236291_at	0.000763071	2.19784
	240910_at	0.000277455	2.19594
	244045_at	8.52E-12	2.19503
ZBED3	228402_at	0.000163926	2.19276
	236174_at	2.46E-05	2.19197
RBMX	225310_at	0.000647285	2.17513
	1559535_s_at	2.09E-09	2.17373
HNRNPA0	229083_at	0.000109595	2.16869
	239113_at	4.04E-08	2.16513
MGAT4A	1569136_at	7.75E-11	2.16263
VAPA	228480_at	0.000512857	2.15443
SMARCE1	211988_at	0.000162116	2.14408
	238041_at	0.000108015	2.14027
	242766_at	9.93E-06	2.12647
VPRBP	204376_at	3.09E-05	2.12617
CHCHD7	218642_s_at	0.000534767	2.12529
WNT3	229103_at	0.000280851	2.12437
WWP2	1552737_s_at	5.49E-06	2.12277
MARCKS	201669_s_at	0.000842096	2.11531
MAP4K4	218181_s_at	0.000840062	2.10804
	236795_at	1.26E-06	2.10713
	235611_at	0.000104744	2.10577
COL18A1	209082_s_at	0.000467296	2.10407
GPER	211829_s_at	1.71E-05	2.10093
LOC100129289 /// PFTK1	243761_at	1.02E-05	2.09639
TGFB2	220407_s_at	0.00078986	2.08544
	239344_at	8.45E-11	2.0799
GP1BB /// SEPT5	206655_s_at	0.000243553	2.07181
IL17RB	224361_s_at	1.92E-07	2.06635
VPS37B	221704_s_at	9.33E-06	2.06306
NAP1L1	204528_s_at	0.00011109	2.06118
	1559861_at	5.33E-05	2.05917
LRP6	225745_at	0.000356185	2.05159
C22orf36	228064_at	1.63E-06	2.04853
NEO1	225270_at	0.000679612	2.03216
LOC286272	232182_at	2.38E-05	2.02755
	235846_at	8.46E-05	2.02623
RPL7AP68	234875_at	0.000445507	2.02512
ANO3	215241_at	1.36E-07	2.02341
ST13	208667_s_at	0.000472961	2.02155
AGPAT5	232007_at	0.000463393	2.01325
	230177_at	0.000334814	2.01266
PLS3	201215_at	9.77E-07	2.0058
	230450_at	2.63E-05	2.00489
HDAC1	201209_at	2.65E-05	-2.01231
CDK2AP2	203252_at	8.00E-06	-2.01962
NEU1	208926_at	0.000368501	-2.02013
C8orf79	1558541_at	9.47E-08	-2.02386
	227115_at	5.39E-05	-2.02765
PC	204476_s_at	3.96E-05	-2.03283
APOOL	222269_at	3.86E-05	-2.0339
EMX2	221950_at	3.29E-05	-2.04086
GNG12	212294_at	0.000106208	-2.04557
C1QTNF2	223749_at	9.30E-05	-2.04795
PPID	204185_x_at	7.07E-05	-2.05963
MRS2	228542_at	1.06E-05	-2.06271
STYXL1	232353_s_at	1.30E-07	-2.06961
POLR2L	211730_s_at	1.79E-06	-2.07368
	238573_at	0.000882497	-2.07773
IRF2	203275_at	4.89E-05	-2.07927
KCNJ12	207110_at	5.31E-07	-2.07992
ADAMTS17	1552726_at	2.86E-06	-2.08582
TRIP11	209778_at	4.51E-06	-2.08858
ZMYM4	202049_s_at	8.05E-06	-2.09046
STK38	1553117_a_at	0.000655757	-2.10399
	228661_s_at	2.87E-06	-2.10596
MOBKL1B	201298_s_at	0.00032993	-2.10745
RAB23	223463_at	5.62E-05	-2.13095
CARD8	1554479_a_at	0.000713015	-2.13274
MRPL35	218890_x_at	2.17E-06	-2.1426
DLL3	230568_x_at	0.000109659	-2.14364
MERTK	211913_s_at	0.000214516	-2.1629
HEXIM1	202814_s_at	9.07E-05	-2.16503
SUGT1	223330_s_at	2.31E-05	-2.17936
DTX3L	225415_at	7.20E-06	-2.20642
MAD2L1BP	203094_at	4.12E-05	-2.21057
STYXL1	218321_x_at	2.69E-06	-2.21272
STYXL1	233982_x_at	4.80E-06	-2.21279
LOC100131509	208566_at	2.65E-09	-2.22065
SYNJ1	212990_at	0.000593879	-2.22614
EYA3	226170_at	2.53E-06	-2.25285
CLCC1	207855_s_at	0.000382925	-2.26084
CC2D1B	225323_at	1.08E-05	-2.26138
PHTF1	210191_s_at	1.84E-06	-2.27133
UBXN10	238657_at	0.000721158	-2.27498
STYXL1	230370_x_at	2.47E-06	-2.28647
AGFG2	222126_at	0.000708528	-2.33158
PPID	204186_s_at	2.59E-05	-2.33272
ATP10D	213238_at	0.000435878	-2.3331
GALE	202528_at	0.000445867	-2.33426
SPCS3	222753_s_at	5.72E-08	-2.33738
DNAJB1	200666_s_at	6.65E-06	-2.34353
PARP9	223220_s_at	8.28E-09	-2.36205
EPAS1	200878_at	1.31E-05	-2.39088
	240233_at	2.45E-09	-2.39585
LOC401022	242042_s_at	3.57E-06	-2.39684
ANKRD45	236421_at	2.77E-05	-2.40339
OGDH	201282_at	3.93E-06	-2.41567
CXorf39	227133_at	0.000165103	-2.43355
MSI2	1552364_s_at	7.60E-06	-2.43671
STAM2	215044_s_at	0.000105935	-2.45207
SLC46A1	1552278_a_at	0.000648428	-2.45809
VAMP4	211760_s_at	1.33E-05	-2.46016
HAPLN1	205523_at	1.79E-05	-2.46952
HAPLN1	230204_at	5.31E-05	-2.47297
FGFR1OP2	1556283_s_at	0.000219109	-2.47578
ARHGAP18	225171_at	7.61E-05	-2.51631
SERPINB9	209722_s_at	6.46E-06	-2.55191
IFI35	209417_s_at	4.47E-05	-2.56917
HERC4	225988_at	1.45E-05	-2.57318
DNAJB1	200664_s_at	1.80E-05	-2.5738
ETNK1	222262_s_at	2.21E-06	-2.57882
LOC729678	1556180_at	0.000402969	-2.59245
SERPINB1	212268_at	2.73E-05	-2.6252
EGF	206254_at	0.000228609	-2.64117
GLRX2	219933_at	6.92E-06	-2.6507
MUC19	1553436_at	4.98E-14	-2.68437
SMPX	219772_s_at	3.91E-10	-2.68736
SPSB1	219677_at	0.000325197	-2.69224
LRP2	205710_at	7.69E-06	-2.7176
MYOC	210155_at	4.30E-06	-2.74079
EIF2C3	219426_at	2.41E-05	-2.76582
ETNK1	219017_at	1.20E-08	-2.76589
CHORDC1	218566_s_at	0.000654167	-3.05443
C8orf79	239297_at	2.28E-05	-3.07222
LOC221710	235707_at	0.000265052	-3.07923
ADAMTS17	1552727_s_at	4.50E-07	-3.08058
NQO2	203814_s_at	1.44E-07	-3.08216
INPP5F	230362_at	6.11E-05	-3.10714
LIMS3-LOC440895 /// LOC440895	229095_s_at	1.40E-09	-3.10743
KCNG3	1552897_a_at	9.99E-05	-3.15522
MAMDC2	228885_at	0.000567215	-3.20102
PSCA	205319_at	1.09E-06	-3.22888
NPL	223405_at	8.65E-06	-3.37006
ATOH8	228890_at	1.61E-05	-3.54801
PRDM7	224228_s_at	1.80E-05	-3.76668
ARHGAP29	203910_at	0.000264489	-3.82858
LRP2	230863_at	8.23E-06	-3.88189
HERV-FRD	1555880_at	6.28E-06	-3.98238
HBE1	217683_at	0.0006998	-4.24488
HSPA1A /// HSPA1B	202581_at	8.85E-05	-4.28041
SLC5A9	232378_at	6.49E-09	-4.51392
LOC387763	227099_s_at	1.46E-05	-4.83646
MICB	206247_at	4.64E-05	-4.84439
NPL	221210_s_at	1.89E-06	-5.07126
HSPA1A /// HSPA1B	200800_s_at	9.27E-06	-6.38544
ARMET	202655_at	3.74E-08	-6.3958
TAF7L	220325_at	3.28E-14	-6.87552
TAF7L	224380_s_at	1.42E-14	-6.94551
ADM	202912_at	0.000242132	-11.1367
HSPA1A	200799_at	1.69E-10	-25.115
