Fold Change	unadjusted p-value	ID	Symbol	Gene Description	Location	Type(s)
-2.131	4.21E-02	T94626	FGG	fibrinogen gamma chain	Extracellular Space	other
-1.562	1.21E-02	AA135289	GPX2	glutathione peroxidase 2 (gastrointestinal)	Cytoplasm	enzyme
-2.063	1.80E-02	T73468	GSTA2	glutathione S-transferase alpha 2	Cytoplasm	enzyme
-1.728	1.19E-02	N30096	GSTA3	glutathione S-transferase alpha 3	Cytoplasm	enzyme
-1.75	3.47E-02	R84981	GSTM2	glutathione S-transferase mu 2 (muscle)	Cytoplasm	enzyme
-1.501	3.80E-02	AA456321	IGF1	insulin-like growth factor 1 (somatomedin C)	Extracellular Space	growth factor
-2.53	1.06E-02	AA598601	IGFBP3	insulin-like growth factor binding protein 3	Extracellular Space	other
-1.517	5.91E-03	AI381503	IL5RA	interleukin 5 receptor, alpha	Plasma Membrane	transmembrane receptor
-1.72	5.11E-03	AA406546	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	Plasma Membrane	transmembrane receptor
-1.525	4.59E-02	AA478279	IDO1	indoleamine 2,3-dioxygenase 1	Cytoplasm	enzyme
-1.624	1.12E-02	N62269	IRF8	interferon regulatory factor 8	Nucleus	transcription regulator
-1.603	1.65E-02	H44722	ITGA10	integrin, alpha 10	Plasma Membrane	other
-1.565	1.98E-03	AA909473	JUB	jub, ajuba homolog (Xenopus laevis)	Plasma Membrane	other
1.528	2.06E-02	AA995784	KPNA4	karyopherin alpha 4 (importin alpha 3)	Nucleus	transporter
-1.86	2.53E-02	AA489569	KRT7	keratin 7	Cytoplasm	other
-1.656	5.95E-03	R61289	L3MBTL	l(3)mbt-like (Drosophila)	Nucleus	other
-1.654	2.43E-02	W74254	LAT	linker for activation of T cells	Plasma Membrane	other
-1.93	3.59E-02	AA489611	LDHA	lactate dehydrogenase A	Cytoplasm	enzyme
-1.54	3.29E-02	AA291715	LIG1	ligase I, DNA, ATP-dependent	Nucleus	enzyme
-3.56	2.22E-02	AI278088	MASP1	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	Extracellular Space	peptidase
-1.546	1.37E-02	W16832	MBNL2	muscleblind-like 2 (Drosophila)	Unknown	other
-1.507	3.39E-02	AA490614	MED27	mediator complex subunit 27	Nucleus	transcription regulator
2.155	3.90E-02	AA129089	MST1R	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	Plasma Membrane	kinase
1.618	1.35E-02	AI349935	MYO10	myosin X	Cytoplasm	other
1.563	3.63E-02	AA489666	NCF1C	neutrophil cytosolic factor 1C pseudogene	Cytoplasm	enzyme
-1.576	4.50E-02	AI686498	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	Nucleus	other
-1.593	1.80E-02	AA045574	NFE2L3	nuclear factor (erythroid-derived 2)-like 3	Nucleus	transcription regulator
-1.6	2.68E-03	H09567	PAG1	phosphoprotein associated with glycosphingolipid microdomains 1	Plasma Membrane	other
-2.002	3.35E-02	AA164439	PCM1	pericentriolar material 1	Cytoplasm	other
-1.667	2.34E-02	AA429661	POLD1	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	Nucleus	enzyme
1.673	3.19E-02	H85015	POLE2	polymerase (DNA directed), epsilon 2 (p59 subunit)	Nucleus	enzyme
-1.515	1.75E-02	AA424807	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	Cytoplasm	enzyme
1.605	6.74E-03	AA280411	PTPRC	protein tyrosine phosphatase, receptor type, C	Plasma Membrane	phosphatase
-1.807	2.51E-02	T56948	PUM1	pumilio homolog 1 (Drosophila)	Cytoplasm	other
-1.544	2.46E-02	AA504128	RAE1	RAE1 RNA export 1 homolog (S. pombe)	Nucleus	other
-1.644	1.88E-02	AA629900	RPA1	replication protein A1, 70kDa	Nucleus	other
-1.577	2.13E-02	W72669	SATB1	SATB homeobox 1	Nucleus	transcription regulator
-1.798	4.36E-03	AA459197	SCNN1A	sodium channel, nonvoltage-gated 1 alpha	Plasma Membrane	ion channel
1.886	4.07E-02	AI042180	SEMA4D	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	Plasma Membrane	other
-1.587	3.76E-02	AI280930	SGTB	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta	Unknown	other
-1.55	5.07E-03	W86728	SH3RF2	SH3 domain containing ring finger 2	Unknown	other
1.818	4.32E-02	AI363143	SIRPA	signal-regulatory protein alpha	Plasma Membrane	phosphatase
-1.716	2.64E-02	T68109	SMARCC2 (includes EG:6601)	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	Nucleus	transcription regulator
-2.32	2.57E-02	H05577	SMNDC1	survival motor neuron domain containing 1	Nucleus	other
-1.784	6.59E-03	AA703147	SREBF2	sterol regulatory element binding transcription factor 2	Nucleus	transcription regulator
1.625	1.50E-02	AA455248	STK4	serine/threonine kinase 4	Cytoplasm	kinase
1.85	2.73E-02	AA450024	TFB1M	transcription factor B1, mitochondrial	Cytoplasm	transcription regulator
-1.9	1.55E-03	AA099153	TIMP3	TIMP metallopeptidase inhibitor 3	Extracellular Space	other
-1.712	2.27E-02	AA453410	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b	Plasma Membrane	transmembrane receptor
-1.801	4.50E-02	AA101875	VCAN	versican	Extracellular Space	other
2.02	1.79E-02	H72625	WTAP	Wilms tumor 1 associated protein	Nucleus	other
1.549	2.53E-02	T62072	YEATS4	YEATS domain containing 4	Nucleus	transcription regulator
1.643	1.36E-02	AA878739	ZNF516	zinc finger protein 516	Nucleus	other
