Affymetrix ID	Gene name	Gene symbol	Public transcript ID	0X	0.3X	0.6X	Fold change in 0.6X
1397173_at	Similar to Serine/threonine-protein kinase WNK3 (predicted)	RGD1563131_predicted	XR_008488	0.962	0.827	1.711	1.78
1372297_at	Glutathione S-transferase, alpha 4	Gsta4	XM_001059683	0.855	0.892	1.533	1.79
1374142_at	Similar to RIKEN cDNA E130201N16 (predicted)	RGD1311589_predicted	XM_001060381	0.905	1.02	1.631	1.8
1368243_at	Anti-Mullerian hormone type 2 receptor	Amhr2	NM_030998	0.847	0.984	1.554	1.83
1369939_at	Cytochrome c, somatic	Cycs	NM_012839	0.792	0.938	1.455	1.84
1371899_at	Protein kinase, interferon inducible double stranded RNA dependent activator	Prkra	NM_001024780	0.908	0.927	1.68	1.85
1371871_at	RAB12, member RAS oncogene family	Rab12	XM_343639	0.794	0.895	1.472	1.85
1388448_at	Hypothetical protein	LOC691031	XM_001076592	0.789	0.858	1.466	1.86
1372069_at	Ankyrin repeat domain 15	Ankrd15	XM_001055725	0.836	0.965	1.558	1.86
1388102_at	Leukotriene B4 12-hydroxydehydrogenase	Ltb4dh	NM_138863	0.784	0.941	1.47	1.88
1371375_at	Destrin	Dstn	NM_001033666	0.786	0.876	1.475	1.88
1382751_at	WAP four-disulfide core domain 10	Wfdc10	XM_001071823	0.845	0.932	1.589	1.88
1371441_at	Phosphoprotein enriched in astrocytes 15	Pea15	NM_001013231	0.876	0.941	1.651	1.88
1367602_at	Cbp/p300-interacting transactivator, Glu/Asp-rich carboxy-terminal domain, 2	Cited2	NM_053698	0.819	0.946	1.551	1.89
1377223_at	Wilms tumor 1	Wt1	NM_031534	0.838	0.995	1.588	1.89
1368736_at	Testis specific X-linked gene	Tsx	NM_019203	0.834	0.952	1.583	1.9
1388725_at	Leptin receptor overlapping transcript	Leprot	NM_020099	0.765	0.902	1.455	1.9
1392780_at	Nuclear RNA export factor 7	Nfx7	NM_001037216	0.772	0.92	1.475	1.91
1386186_s_at		-	H31802	0.89	0.939	1.705	1.92
1381973_at	Solute carrier family 25, member 30	Slc25a30	NM_001013187	0.845	0.979	1.619	1.92
1370236_at	Palmitoyl-protein thioesterase 1	Ppt1	NM_022502	0.796	0.878	1.528	1.92
1375428_at	Cellular repressor of E1A-stimulated genes	Creg1	XM_001075616	0.822	0.941	1.582	1.92
1371694_at	Dihydropyrimidinase-like 2	Dpysl2	XM_001067745	0.846	0.985	1.632	1.93
1370245_at	Cathepsin L	Ctsl	NM_013156	0.851	0.913	1.645	1.93
1388445_at	Annexin A11	Anxa11	NM_001011918	0.823	0.985	1.598	1.94
1371363_at	Glycerol-3-phosphate dehydrogenase 1 (soluble)	Gpd1	NM_022215	0.92	1.005	1.789	1.94
1372444_at	Transcribed locus	-	AW918352	0.842	0.98	1.658	1.97
1387015_at	Profilin 2	Pfn2	NM_030873	0.901	0.853	1.778	1.97
1370805_at	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1	Cited1	NM_172055	0.765	0.915	1.512	1.98
1373432_at	Similar to Myristoylated alanine-rich C-kinase substrate (MARCKS) (ACAMP-81)	LOC294446 / LOC681252	XM_001060954	0.795	0.933	1.577	1.98
1377968_at	Transcribed locus	-	AI069912	0.8	0.969	1.592	1.99
1367929_at	CD59 antigen	Cd59	NM_012925	0.753	0.883	1.503	2
1376765_at	Maestro	Mro	XM_001053368	0.835	0.952	1.694	2.03
1372131_at	Ubiquilin 2	Ubqln2	XM_001061090	0.833	0.876	1.703	2.04
1375881_at	Destrin	Dstn	NM_001033666	0.717	0.868	1.47	2.05
1367698_a_at	Septin 9	Sept9	NM_031837	0.784	0.94	1.62	2.07
1369268_at	Activating transcription factor 3	Atf3	NM_012912	0.808	1.018	1.687	2.09
1367734_at	Aldo-keto reductase family 1, member B4	Akr1b4	NM_012498	0.739	0.839	1.543	2.09
1388122_at	Glutathione-S-transferase, pi 1 / pi 2	Gstp1 / Gstp2	NM_012577	0.791	0.983	1.669	2.11
1388339_at	Phosphoprotein enriched in astrocytes 15	Pea15	NM_001013231	0.812	0.967	1.714	2.11
1389528_s_at	Jun oncogene	Jun	NM_021835	0.797	0.927	1.692	2.12
1383765_at	DMRT-like family C1a	Dmrtc1a	NM_001025288	0.839	0.858	1.789	2.13
1370963_at	Growth arrest specific 7	Gas7	NM_053484	0.833	0.994	1.781	2.14
1367668_a_at	Stearoyl-Coenzyme A desaturase 2	Scd2	NM_031841	0.765	0.926	1.646	2.15
1398578_at	Transcribed locus	-	AI102019	0.758	0.908	1.662	2.19
1390416_at	Solute carrier family 25, member 30	Slc25a30	NM_001013187	0.816	0.921	1.793	2.2
1367612_at	Microsomal glutathione S-transferase 1	Mgst1	NM_134349	0.686	0.86	1.513	2.21
1398333_at	Transcribed locus	-	AI598434	0.772	0.904	1.709	2.21
1388587_at	Immediate early response 3	Ier3	NM_212505	0.823	0.963	1.91	2.32
1387023_at	Glutathione S-transferase, mu type 3	Gstm3	NM_031154	0.763	0.927	1.796	2.35
1388163_at	Solute carrier family 25, member 5	Slc25a5	NM_057102	0.771	0.868	1.828	2.37
1388112_at	Solute carrier family 25, member 4	Slc25a4	NM_053515	0.685	0.879	1.63	2.38
1370218_at	Lactate dehydrogenase B	Ldhb	NM_012595	0.714	0.902	1.714	2.4
1368059_at	Crystallin, mu	Crym	NM_053955	0.904	1.077	2.209	2.44
1367627_at	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	Gatm	NM_031031	0.75	0.89	1.852	2.47
1374966_at	Doublecortin	Dcx	NM_053379	0.835	0.946	2.111	2.53
1370287_a_at	Tropomyosin 1, alpha	Tpm1	M23764	0.786	0.957	2.014	2.56
1367628_at	Lectin, galactose binding, soluble 1	Lgals1	NM_019904	0.72	0.901	1.85	2.57
1372002_at	Gap junction membrane channel protein alpha 1	Gja1	NM_012567	0.654	0.854	1.689	2.58
1398350_at	Brain abundant, membrane attached signal protein 1	Basp1	NM_022300	0.789	0.917	2.134	2.7
1375856_at	Transcribed locus	-	AI102258	0.764	0.864	2.088	2.73
1371583_at	RNA binding motif protein 3	Rbm3	XM_001063211	0.668	0.839	1.935	2.9
1370459_at	Alanine and arginine rich domain containing protein	Aard	NM_145093	0.689	0.819	1.999	2.9
1368617_at	Serine (or cysteine) peptidase inhibitor, clade A, member 5	Serpina5	NM_022957	0.75	0.933	2.225	2.97
1373433_at	Nucleosome binding protein 1	Nsbp1	XM_001061077	0.74	0.908	2.27	3.07
1367816_at	Homeobox only domain	Hod	NM_133621	0.661	0.916	2.495	3.77
