Gene Symbol	Gene Name	CNTF-SM fold change	FBS-SM fold change	Function
IL7R	Interleukin 7 receptor	3.91	5.69	Cell Signaling
IL8	Interleukin 8	46.89	200.66	Cell Signaling
IL13RA1	Interleukin 13 Receptor alpha 1	3.62	2.09	Cell Signaling
IL16	Interleukin 16	2.81	1.8	Cell Signaling
RXRG	Retinoid X receptor, gamma	12.38	3.65	Cell Signaling
TLR2	Toll-like receptor 2	8.08	4.91	Cell Signaling
APC	Adenomatous polyposis coli protein	2.05	1.1	Wnt Pathway
DIXDC1	DIX domain containing 1	-3.31	-1.25	Wnt Pathway
DKK1	Dickkopf-related protein 1	-16.54	-8.93	Wnt Pathway
DKK2	Dickkopf-related protein 2	1.45	3.94	Wnt Pathway
FRZB	Frizzled-related protein	2.25	3.56	Wnt Pathway
FZD5	Frizzled 5	1.98	3.08	Wnt Pathway
FZD6	Frizzled 6	1.94	2.16	Wnt Pathway
FZD8	Frizzled 8	2.75	1.69	Wnt Pathway
LEF1	Lymphoid enhancer binding factor 1	-6.65	-2.84	Wnt Pathway
TCF7L1	Transcription factor 7-like 1	3.5	2.33	Wnt Pathway
WIF1	Wnt inhibitory factor 1	2.51	3.69	Wnt Pathway
WNT2B	Wnt 2B	2.38	3.81	Wnt Pathway
WNT4	Wnt 4	4.32	2.26	Wnt Pathway
WNT5B	Wnt 5B	2.45	2.58	Wnt Pathway
AQP4	Aquaporin 4	15.27	14.57	Astrocyte Markers
GFAP	Glial fibrillary acidic protein	5.05	7.13	Astrocyte Markers
MAG	Myelin-associated glycoprotein	13.36	-1.03	Oligodendrocyte Markers
MBP	Myelin basic protein	8.81	1.26	Oligodendrocyte Markers
MOBP	Myelin-associated oligodendrocyte basic protein	24.21	12.08	Oligodendrocyte Markers
TYROBP	TYRO protein tyrosine kinase binding protein	97.51	32.7	Oligodendrocyte Markers
DCX	Doublecortin	5.16	2.77	Neuron Markers
INA	Internexin alpha	12.17	4.58	Neuron Markers
L1CAM	Neural cell adhesion molecule L1	3.8	1.74	Neuron Markers
MAPT	Microtubule-associated protein tau	5.34	3.04	Neuron Markers
NEFL	Neurofilament light peptide	1.71	2.74	Neuron Markers
NEFM	Neurofilament medium peptide	-2.35	6.56	Neuron Markers
RELN	Reelin	1.47	2.97	Neuron Markers
STMN2	Stathmin 2	6.36	3.13	Neuron Markers
TUBB3	Tubulin, beta 3	2.08	2.07	Neuron Markers
EPHA4	EPH receptor A4	2.52	1.38	Axon/Neurite Projection Markers
NDRG2	NDRG2 protein	2.7	2.24	Axon/Neurite Projection Markers
NRN1	Neuritin	2.89	1.75	Axon/Neurite Projection Markers
NRSN1	Neurensin 1	2.72	1.48	Axon/Neurite Projection Markers
ROBO1	Roundabout homolog 1	2.66	1.99	Axon/Neurite Projection Markers
SCG2	Secretogranin II	4.5	4.3	Synapse
SH3GL3	SH3-containing GRB2-like protein 3	17.34	2.12	Synapse
SVOP	Senaptic Vesicle-2 related protein	9.66	5.79	Synapse
SYNPO2	Synaptopodin-2	2.38	3.55	Synapse
SYNPR	Synaptoporin	3.44	2.6	Synapse
SYT1	Synaptotagmin-1	7.45	3.05	Synapse
