Affymetrix ID	log2_FC	log2_AveExpr	t	P-value	Adjusted p-value	logOdds_diffExpressed	FC	Symbol	Name
205133_s_at	-0.580001617	11.30022073	-7.446017149	7.18442E-06	0.001060202	4.165503933	-1.494850924	HSPE1	heat shock 10kDa protein 1 (chaperonin 10)
220892_s_at	-0.576688591	10.15698541	-7.305343804	8.70977E-06	0.001137391	3.9776886	-1.491422065	PSAT1	phosphoserine aminotransferase 1
201923_at	-0.576509616	10.20675433	-5.693521628	9.50761E-05	0.004306058	1.620037748	-1.491237057	PRDX4	peroxiredoxin 4
212175_s_at	-0.568204399	10.42731295	-10.24222901	2.45427E-07	0.000260421	7.378082019	-1.482677059	AK2	adenylate kinase 2
219031_s_at	-0.560279997	8.370440829	-6.466728924	2.89191E-05	0.002156141	2.799144603	-1.47455537	NIP7	nuclear import 7 homolog (S. cerevisiae)
201138_s_at	-0.558729487	9.658447403	-7.653130635	5.43492E-06	0.000939687	4.437028295	-1.47297147	SSB	Sjogren syndrome antigen B (autoantigen La)
204999_s_at	-0.553130062	8.84731508	-3.532993989	0.004042713	0.048432134	-2.106940453	-1.467265615	ATF5	activating transcription factor 5
211951_at	-0.552643741	11.25446324	-6.675032227	2.12815E-05	0.001789121	3.101477773	-1.466771095	NOLC1	nucleolar and coiled-body phosphoprotein 1
202934_at	-0.544285507	9.296558912	-5.598712564	0.000110647	0.004768963	1.469269233	-1.458297945	HK2	hexokinase 2
205895_s_at	-0.54392866	9.662284168	-10.37369098	2.13297E-07	0.000250153	7.507432026	-1.457937284	NOLC1	nucleolar and coiled-body phosphoprotein 1
213097_s_at	-0.539068583	10.55140369	-6.874319521	1.59559E-05	0.001588536	3.384732288	-1.453034123	DNAJC2	DnaJ (Hsp40) homolog, subfamily C, member 2
212110_at	-0.534848854	9.487671886	-6.243302206	4.0445E-05	0.002553077	2.467668497	-1.448790362	SLC39A14	solute carrier family 39 (zinc transporter), member 14
203405_at	-0.533953344	10.36492831	-7.705634706	5.06785E-06	0.000918423	4.504927212	-1.447891348	PSMG1	proteasome (prosome, macropain) assembly chaperone 1
200662_s_at	-0.53309052	10.55475932	-6.945173426	1.44209E-05	0.001522947	3.484041332	-1.447025675	TOMM20	translocase of outer mitochondrial membrane 20 homolog (yeast)
218145_at	-0.532376874	9.873592725	-5.392525414	0.000154556	0.005702707	1.13676508	-1.446310063	TRIB3	tribbles homolog 3 (Drosophila)
218001_at	-0.531987754	9.656587361	-7.604967166	5.79665E-06	0.000966775	4.374412345	-1.445920021	MRPS2	mitochondrial ribosomal protein S2
205324_s_at	-0.531840468	9.605007099	-8.982138657	1.0185E-06	0.000432207	6.045539104	-1.445772414	FTSJ1	FtsJ homolog 1 (E. coli)
213133_s_at	-0.531612763	10.2457724	-9.744714436	4.23043E-07	0.00031669	6.872535604	-1.445544241	GCSH	glycine cleavage system protein H (aminomethyl carrier)
217850_at	-0.5296851	10.31544317	-6.176314983	4.47837E-05	0.002749077	2.366826434	-1.44361406	GNL3	guanine nucleotide binding protein-like 3 (nucleolar)
212846_at	-0.529099883	10.55846337	-6.482305217	2.82578E-05	0.002141731	2.821975232	-1.44302859	RRP1B	ribosomal RNA processing 1 homolog B (S. cerevisiae)
218105_s_at	-0.527782985	11.01814363	-9.629072941	4.81635E-07	0.000325221	6.751283457	-1.441711988	MRPL4	mitochondrial ribosomal protein L4
214214_s_at	-0.526155249	10.53295881	-5.069853659	0.000263889	0.008003425	0.603946431	-1.440086279	C1QBP	complement component 1, q subcomponent binding protein
200924_s_at	-0.523415753	10.00747671	-5.911371802	6.74207E-05	0.00347763	1.961358389	-1.437354331	SLC3A2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2
203712_at	-0.520328315	10.02554365	-8.709588331	1.4137E-06	0.000484638	5.733689409	-1.434281612	KIAA0020	KIAA0020
210512_s_at	-0.519003133	8.44429016	-6.018775159	5.70503E-05	0.003120327	2.127003603	-1.432964762	VEGFA	vascular endothelial growth factor A
205135_s_at	-0.518825509	8.537180623	-9.155991727	8.29523E-07	0.000431494	6.239877903	-1.432788347	NUFIP1	nuclear fragile X mental retardation protein interacting protein 1
204033_at	-0.516863834	10.12613246	-6.558093699	2.52615E-05	0.002024824	2.932545106	-1.430841467	TRIP13	thyroid hormone receptor interactor 13
208910_s_at	-0.515693558	11.24049459	-5.583293692	0.000113424	0.00481842	1.444622646	-1.429681276	C1QBP	complement component 1, q subcomponent binding protein
221434_s_at	-0.515369292	11.02105028	-6.193146666	4.36491E-05	0.002694271	2.392228229	-1.429359971	C14orf156	chromosome 14 open reading frame 156
209340_at	-0.512997711	9.486704381	-8.629277219	1.55938E-06	0.000489404	5.640089901	-1.427012241	UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1
203622_s_at	-0.512714871	9.991776481	-8.456248257	1.93076E-06	0.000581393	5.435734551	-1.426732503	PNO1	partner of NOB1 homolog (S. cerevisiae)
211949_s_at	-0.512182265	9.344454161	-8.991323536	1.00744E-06	0.000432207	6.055894578	-1.426205888	NOLC1	nucleolar and coiled-body phosphoprotein 1
215780_s_at	-0.509519764	10.28073201	-6.929416824	1.47482E-05	0.001529693	3.462019885	-1.423576245	NA	NA
203150_at	-0.508891941	9.435891661	-9.571357612	5.14083E-07	0.000336921	6.690225012	-1.422956877	RABEPK	Rab9 effector protein with kelch motifs
204175_at	-0.507386506	9.628517816	-6.461051326	2.91642E-05	0.002156141	2.790813784	-1.421472813	ZNF593	zinc finger protein 593
212174_at	-0.506692731	10.36627931	-7.747594575	4.79353E-06	0.000908581	4.55892144	-1.420789407	AK2	adenylate kinase 2
203119_at	-0.506538073	9.811190297	-5.872945384	7.16003E-05	0.003616524	1.901671976	-1.420637106	CCDC86	coiled-coil domain containing 86
212290_at	-0.505755824	9.680507265	-8.122739578	2.94123E-06	0.000712385	5.031217352	-1.419867026	SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1
213189_at	-0.505413863	9.062670574	-5.669546309	9.87817E-05	0.004411128	1.582038471	-1.419530515	NA	NA
209274_s_at	-0.503433794	9.026926345	-8.826391323	1.22724E-06	0.000448303	5.868422518	-1.417583576	ISCA1	iron-sulfur cluster assembly 1 homolog (S. cerevisiae)
218336_at	-0.502294585	10.66830994	-9.737710454	4.26365E-07	0.00031669	6.865232813	-1.416464638	PFDN2	prefoldin subunit 2
206653_at	-0.501513904	8.569057895	-7.641993936	5.51636E-06	0.000945547	4.422577945	-1.415698358	POLR3G	polymerase (RNA) III (DNA directed) polypeptide G (32kD)
202591_s_at	-0.499377641	11.54400163	-6.794990495	1.7883E-05	0.001681378	3.272676465	-1.413603622	SSBP1	single-stranded DNA binding protein 1
205996_s_at	-0.499195798	9.672888766	-8.913343967	1.10559E-06	0.000432207	5.967660415	-1.413425457	AK2	adenylate kinase 2
205353_s_at	-0.497075045	10.81878688	-5.655973498	0.000100947	0.004471964	1.560488308	-1.411349256	PEBP1	phosphatidylethanolamine binding protein 1
218936_s_at	-0.496112935	8.766342983	-4.922742519	0.000338395	0.009299283	0.356127557	-1.410408363	CCDC59	coiled-coil domain containing 59
212563_at	-0.493134359	9.844171619	-9.798999236	3.9822E-07	0.00031669	6.928958273	-1.407499451	NA	NA
203701_s_at	-0.490626896	8.932828151	-8.779789211	1.29827E-06	0.000453671	5.814863882	-1.405055283	TRMT1	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)
213320_at	-0.489427055	8.548477395	-6.321221695	3.59521E-05	0.002363187	2.584119417	-1.403887232	PRMT3	protein arginine methyltransferase 3
201519_at	-0.488052835	10.37788043	-5.779012982	8.30129E-05	0.003978014	1.754833792	-1.402550614	TOMM70A	translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae)
212434_at	-0.486710065	9.521088633	-6.537693797	2.60333E-05	0.002058459	2.902867164	-1.401245815	GRPEL1	GrpE-like 1, mitochondrial (E. coli)
208972_s_at	-0.486168636	10.72639701	-7.190380883	1.02125E-05	0.001257263	3.822132383	-1.400720041	ATP5G1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)
204905_s_at	-0.485054742	10.45273891	-4.768792864	0.000440367	0.011188939	0.093635426	-1.399638973	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1
218932_at	-0.484401939	9.16825136	-5.042247693	0.000276433	0.008213002	0.557671396	-1.399005795	ZNHIT6	zinc finger, HIT type 6
209433_s_at	-0.484009557	9.236813928	-9.114972037	8.70446E-07	0.000431494	6.19434129	-1.398625348	PPAT	phosphoribosyl pyrophosphate amidotransferase
201139_s_at	-0.483905838	9.902019147	-6.718696697	1.99711E-05	0.001749905	3.164038592	-1.3985248	SSB	Sjogren syndrome antigen B (autoantigen La)
203095_at	-0.483289953	9.872120894	-6.254085349	3.97893E-05	0.002525997	2.483838304	-1.397927899	MTIF2	mitochondrial translational initiation factor 2
200995_at	-0.483136535	9.128445828	-6.720627118	1.99152E-05	0.001749905	3.166797944	-1.39777925	IPO7	importin 7
204616_at	-0.480451131	10.44373254	-8.456300859	1.93063E-06	0.000581393	5.435797241	-1.395179871	UCHL3	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)
218882_s_at	-0.47886087	9.333297971	-6.419139772	3.10433E-05	0.002195991	2.729167526	-1.393642833	WDR3	WD repeat domain 3
212501_at	-0.475280146	9.718618761	-5.128829928	0.000239048	0.007470847	0.702447157	-1.390188144	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta
219200_at	-0.473728723	9.25536911	-5.249532571	0.000195554	0.00653304	0.902497571	-1.388693989	FASTKD3	FAST kinase domains 3
214794_at	-0.473711219	9.719877191	-5.091018046	0.000254676	0.007850815	0.639351163	-1.388677139	PA2G4	proliferation-associated 2G4, 38kDa
205129_at	-0.473641471	9.8168246	-7.465990092	6.99207E-06	0.00105603	4.191946291	-1.388610005	NPM3	nucleophosmin/nucleoplasmin 3
208264_s_at	-0.47332804	8.679341534	-5.39244328	0.000154577	0.005702707	1.136631375	-1.388308357	EIF3J	eukaryotic translation initiation factor 3, subunit J
218238_at	-0.472841805	9.593147793	-6.927559286	1.47873E-05	0.001529693	3.459421414	-1.387840531	GTPBP4	GTP binding protein 4
200843_s_at	-0.470800161	10.26757769	-9.091588569	8.94737E-07	0.000431494	6.168295814	-1.385877904	EPRS	glutamyl-prolyl-tRNA synthetase
209825_s_at	-0.470672756	10.12180009	-7.939938039	3.72405E-06	0.000782858	4.803403493	-1.385755521	UCK2	uridine-cytidine kinase 2
204331_s_at	-0.470550216	10.11226764	-7.397676624	7.67371E-06	0.001091542	4.101275736	-1.385637823	MRPS12	mitochondrial ribosomal protein S12
213302_at	-0.469079359	9.500444406	-5.97180504	6.13611E-05	0.003286804	2.054776913	-1.384225857	PFAS	phosphoribosylformylglycinamidine synthase
214484_s_at	-0.468924508	9.331464354	-8.15565521	2.82E-06	0.000693281	5.071774709	-1.38407729	SIGMAR1	sigma non-opioid intracellular receptor 1
217791_s_at	-0.466691164	10.78190957	-11.25538971	8.62764E-08	0.000213611	8.331969846	-1.381936345	ALDH18A1	aldehyde dehydrogenase 18 family, member A1
218187_s_at	-0.466249297	9.365592838	-5.997037236	5.90041E-05	0.003191234	2.093618214	-1.381513152	C8orf33	chromosome 8 open reading frame 33
212432_at	-0.466223937	10.29010237	-6.508833223	2.71682E-05	0.002087549	2.860774885	-1.381488868	GRPEL1	GrpE-like 1, mitochondrial (E. coli)
218605_at	-0.466023248	9.417618506	-4.763748954	0.000444208	0.01126084	0.084982143	-1.381296706	TFB2M	transcription factor B2, mitochondrial
219158_s_at	-0.465855839	9.091010019	-7.758147346	4.72706E-06	0.000908581	4.572463367	-1.381136431	NAA15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit
209024_s_at	-0.464714203	10.39193067	-8.081269539	3.10195E-06	0.000735326	4.979919337	-1.38004394	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein
205047_s_at	-0.464663567	10.73652998	-6.79011706	1.80092E-05	0.001686128	3.265762516	-1.379995505	ASNS	asparagine synthetase (glutamine-hydrolyzing)
201478_s_at	-0.464332277	11.16416866	-5.294476773	0.000181559	0.006230261	0.976451253	-1.379678648	DKC1	dyskeratosis congenita 1, dyskerin
208985_s_at	-0.464279756	10.40297513	-6.237935449	4.07756E-05	0.002566676	2.459614289	-1.379628423	EIF3J	eukaryotic translation initiation factor 3, subunit J
210154_at	-0.463224713	9.761449818	-6.390131131	3.24188E-05	0.002250429	2.686346023	-1.378619869	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial
213113_s_at	-0.463167265	10.48182841	-6.829422004	1.70178E-05	0.001620545	3.321425452	-1.378564973	SLC43A3	solute carrier family 43, member 3
218156_s_at	-0.462837505	9.72318629	-8.405326872	2.05729E-06	0.000595359	5.37488421	-1.378249907	TSR1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)
205229_s_at	-0.461756625	8.897084795	-4.8647992	0.000373521	0.009920355	0.257703378	-1.377217697	COCH	coagulation factor C homolog, cochlin (Limulus polyphemus)
212512_s_at	-0.461419605	9.335070343	-8.66467442	1.49328E-06	0.000489404	5.681440999	-1.376896011	CARM1	coactivator-associated arginine methyltransferase 1
203462_x_at	-0.460548991	11.64502596	-8.682371613	1.46137E-06	0.000489404	5.7020575	-1.376065355	EIF3B	eukaryotic translation initiation factor 3, subunit B
220547_s_at	-0.460231168	10.13695699	-10.01330026	3.14457E-07	0.000280282	7.148652947	-1.375762243	FAM35A	family with sequence similarity 35, member A
219110_at	-0.459978621	9.527144403	-6.316933946	3.6185E-05	0.002371503	2.577735058	-1.375521435	GAR1	GAR1 ribonucleoprotein homolog (yeast)
213262_at	-0.459912512	7.62819398	-5.900530476	6.85731E-05	0.003512679	1.944541471	-1.375458405	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin)
212378_at	-0.459611293	9.849430029	-7.543904042	6.2926E-06	0.001008762	4.294569071	-1.375171254	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
202200_s_at	-0.459561369	10.40264821	-6.525744147	2.6497E-05	0.002078985	2.885453989	-1.375123667	SRPK1	SRSF protein kinase 1
200768_s_at	-0.459266436	11.34765117	-6.202378634	4.30397E-05	0.002671458	2.406142691	-1.374842578	MAT2A	methionine adenosyltransferase II, alpha
209100_at	-0.458388908	10.05008152	-10.8425753	1.30812E-07	0.000224222	7.95500605	-1.374006576	IFRD2	interferon-related developmental regulator 2
221570_s_at	-0.458386942	10.45246725	-6.837867164	1.68125E-05	0.001614793	3.333355846	-1.374004703	METTL5	methyltransferase like 5
202236_s_at	-0.458133369	10.52177967	-6.071661625	5.2577E-05	0.00298871	2.207929769	-1.373763225	SLC16A1	solute carrier family 16, member 1 (monocarboxylic acid transporter 1)
212333_at	-0.457477923	10.02828292	-9.077129301	9.1012E-07	0.000431494	6.152158731	-1.373139237	FAM98A	family with sequence similarity 98, member A
209017_s_at	-0.456270159	10.58047858	-5.295048796	0.000181387	0.006230261	0.977390603	-1.371990183	LONP1	lon peptidase 1, mitochondrial
200894_s_at	-0.455799341	9.398463055	-11.09685995	1.01075E-07	0.000224222	8.189044271	-1.371542512	FKBP4	FK506 binding protein 4, 59kDa
204610_s_at	-0.454779563	9.349666569	-10.60690249	1.66883E-07	0.000250153	7.732694122	-1.370573372	CCDC85B	coiled-coil domain containing 85B
220942_x_at	-0.453418401	10.8510924	-6.464467654	2.90165E-05	0.002156141	2.795827186	-1.369280865	FAM162A	family with sequence similarity 162, member A
218886_at	-0.45297228	8.401778824	-4.432388921	0.000791558	0.01613749	-0.490496163	-1.368857511	PAK1IP1	PAK1 interacting protein 1
202364_at	-0.451910518	9.325140597	-7.034168843	1.27121E-05	0.001452845	3.607746975	-1.367850462	MXI1	MAX interactor 1
218590_at	-0.450223927	9.187115212	-6.617043788	2.31646E-05	0.001904712	3.017959086	-1.366252303	C10orf2	chromosome 10 open reading frame 2
201912_s_at	-0.450101143	9.962648848	-7.597226568	5.85714E-06	0.000966775	4.364319425	-1.366136029	GSPT1	G1 to S phase transition 1
217786_at	-0.449925181	10.68374699	-8.38244728	2.11701E-06	0.00060254	5.347437335	-1.365969415	PRMT5	protein arginine methyltransferase 5
218597_s_at	-0.449129049	9.504512933	-6.911057022	1.51394E-05	0.001540476	3.436314749	-1.365215831	CISD1	CDGSH iron sulfur domain 1
209397_at	-0.448295724	10.83899001	-7.356132605	8.12262E-06	0.001114698	4.045817133	-1.364427487	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial
219212_at	-0.448208142	9.954216297	-9.046736577	9.43387E-07	0.000432207	6.118159994	-1.364344659	HSPA14	heat shock 70kDa protein 14
210949_s_at	-0.446108852	12.06817438	-5.50269288	0.000129185	0.005146346	1.315208634	-1.362360822	NA	NA
214662_at	-0.445703449	8.593585223	-6.638860868	2.24361E-05	0.001872451	3.049439779	-1.361978047	WDR43	WD repeat domain 43
220865_s_at	-0.445644063	8.878183483	-6.419734296	3.10157E-05	0.002195991	2.730043825	-1.361921985	PDSS1	prenyl (decaprenyl) diphosphate synthase, subunit 1
215416_s_at	-0.445327653	10.08040361	-9.948761786	3.37492E-07	0.000289243	7.082997373	-1.361623322	STOML2	stomatin (EPB72)-like 2
208693_s_at	-0.444953938	12.01256228	-7.573818283	6.04421E-06	0.000983088	4.333747516	-1.361270654	GARS	glycyl-tRNA synthetase
212218_s_at	-0.444631449	10.62941551	-10.06168943	2.98295E-07	0.000280282	7.197595987	-1.360966399	FASN	fatty acid synthase
200806_s_at	-0.444393092	12.74902798	-5.859464369	7.31308E-05	0.003645577	1.880679666	-1.360741564	HSPD1	heat shock 60kDa protein 1 (chaperonin)
221931_s_at	-0.443736839	10.05695516	-6.09943685	5.03779E-05	0.00292529	2.25026216	-1.360122731	SEH1L	SEH1-like (S. cerevisiae)
201574_at	-0.441798084	10.69914123	-6.430020707	3.05434E-05	0.002181304	2.745197129	-1.358296167	ETF1	eukaryotic translation termination factor 1
203177_x_at	-0.441689747	9.902648518	-3.777513214	0.002575387	0.036032517	-1.661862725	-1.358194172	TFAM	transcription factor A, mitochondrial
204744_s_at	-0.441246806	11.62030173	-6.742361743	1.9297E-05	0.001749905	3.197827685	-1.357777239	IARS	isoleucyl-tRNA synthetase
212693_at	-0.439351398	9.444197264	-7.800784584	4.46836E-06	0.000889004	4.627025168	-1.355994566	MDN1	MDN1, midasin homolog (yeast)
212627_s_at	-0.439157791	10.01222204	-8.441132801	1.96743E-06	0.000584535	5.417705721	-1.355812607	EXOSC7	exosome component 7
218594_at	-0.438950021	9.61114654	-7.298205848	8.79584E-06	0.001139522	3.968084614	-1.355617364	HEATR1	HEAT repeat containing 1
221514_at	-0.437814926	9.126223338	-5.098267721	0.000251599	0.007775842	0.651464228	-1.3545512	UTP14A	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)
212449_s_at	-0.437389407	10.36421963	-5.441487538	0.000142687	0.005444337	1.21629255	-1.354151738	LYPLA1	lysophospholipase I
202475_at	-0.436539281	10.66717962	-10.42108152	2.02849E-07	0.000250153	7.553639157	-1.353354022	TMEM147	transmembrane protein 147
204461_x_at	-0.436331563	9.257594938	-4.652553478	0.000538386	0.012717251	-0.106617454	-1.353159181	RAD1	RAD1 homolog (S. pombe)
208676_s_at	-0.436167431	11.05225246	-8.776776348	1.30301E-06	0.000453671	5.811392286	-1.353005244	PA2G4	proliferation-associated 2G4, 38kDa
202776_at	-0.436150435	10.19511875	-7.459923564	7.04991E-06	0.00105603	4.183920618	-1.352989305	DNTTIP2	deoxynucleotidyltransferase, terminal, interacting protein 2
212297_at	-0.434920147	9.145149948	-6.443522383	2.9935E-05	0.002158711	2.765062974	-1.351836007	ATP13A3	ATPase type 13A3
217848_s_at	-0.434894005	12.7425707	-8.014997103	3.37858E-06	0.000761226	4.897475128	-1.351811512	PPA1	pyrophosphatase (inorganic) 1
219006_at	-0.434391227	10.17880554	-4.421872431	0.000806388	0.016335228	-0.508975727	-1.351340488	NDUFAF4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4
201692_at	-0.434189411	9.361957197	-8.849373088	1.19375E-06	0.000443339	5.894738994	-1.351151465	SIGMAR1	sigma non-opioid intracellular receptor 1
200690_at	-0.434101612	9.091575261	-5.15799247	0.000227684	0.007268601	0.750971598	-1.35106924	HSPA9	heat shock 70kDa protein 9 (mortalin)
210463_x_at	-0.433561088	9.009898656	-5.740981233	8.81666E-05	0.004110078	1.695003841	-1.350563139	TRMT1	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)
203790_s_at	-0.433248798	9.245585108	-9.172576997	8.13567E-07	0.000431494	6.258234389	-1.350270824	HRSP12	heat-responsive protein 12
218512_at	-0.432294605	10.28887446	-7.220117166	9.79902E-06	0.001226694	3.862547967	-1.349378055	WDR12	WD repeat domain 12
209971_x_at	-0.431749121	10.88539208	-5.225621212	0.000203458	0.006756576	0.86303342	-1.348867951	AIMP2	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
217983_s_at	-0.430502743	8.998045481	-7.705373882	5.06961E-06	0.000918423	4.504590837	-1.347703136	RNASET2	ribonuclease T2
215171_s_at	-0.430316267	10.43067201	-4.579816182	0.000611081	0.013630349	-0.232794531	-1.347528949	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)
214427_at	-0.429526644	9.908592787	-4.589434274	0.000600909	0.013525301	-0.216072581	-1.346791615	NOP2	NOP2 nucleolar protein homolog (yeast)
209143_s_at	-0.429459385	10.57380127	-5.204675324	0.000210658	0.006886499	0.828395907	-1.346728828	CLNS1A	chloride channel, nucleotide-sensitive, 1A
212137_at	-0.42856027	10.45252166	-5.722174753	9.0839E-05	0.004166181	1.665337993	-1.345889783	LARP1	La ribonucleoprotein domain family, member 1
204559_s_at	-0.428380906	10.78766272	-6.681255825	2.10892E-05	0.0017859	3.110411886	-1.345722465	LSM7	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)
221987_s_at	-0.428219212	8.625169289	-6.451414863	2.95853E-05	0.002156141	2.776663058	-1.345571647	TSR1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)
218239_s_at	-0.427403064	10.04451556	-5.502373993	0.000129251	0.005146346	1.314694708	-1.344810659	GTPBP4	GTP binding protein 4
