Probe Set ID	Gene Title	Gene Symbol	p-value	FC Absolute	Function
223138_s_at	DEAH (Asp-Glu-Ala-His) box polypeptide 36	DHX36	0.016	-2.43	Transcription
201478_s_at	dyskeratosis congenita 1, dyskerin	DKC1	0.035	1.53	Transcription
202776_at	deoxynucleotidyltransferase, terminal, interacting protein 2	DNTTIP2	0.015	-1.68	Transcription
208091_s_at	EGFR-coamplified and overexpressed protein	ECOP	0.043	-1.65	Transcription
227404_s_at	Early growth response 1	EGR1	0.041	-1.94	Transcription
222576_s_at	eukaryotic translation initiation factor 2C, 1	EIF2C1	0.009	-1.51	Transcription
235296_at	eukaryotic translation initiation factor 5A2	EIF5A2	0.028	-1.98	Transcription
225051_at	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	EPB41	0.047	-1.99	Transcription
218859_s_at	ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)	ESF1	0.045	-1.7	Transcription
201328_at	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	ETS2	0.031	-1.88	Transcription
221007_s_at	FIP1 like 1 (S. cerevisiae)	FIP1L1	0.012	-1.84	Transcription
1555913_at	gon-4-like (C. elegans)	GON4L	0.026	-1.8	Transcription
218839_at	hairy/enhancer-of-split related with YRPW motif 1	HEY1	0.015	-1.61	Transcription
209786_at	high mobility group nucleosomal binding domain 4	HMGN4	0.034	-1.67	Transcription
211597_s_at	HOP homeobox	HOPX	0.01	-2	Transcription
205981_s_at	inhibitor of growth family, member 2	ING2	0.013	-1.67	Transcription
208975_s_at	karyopherin (importin) beta 1	KPNB1	0.046	-1.62	Transcription
219042_at	leucine zipper, putative tumor suppressor 1	LZTS1	0.017	-2.05	Transcription
209348_s_at	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	MAF	0.014	-1.67	Transcription
218559_s_at	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	MAFB	0.022	-1.94	Transcription
226066_at	microphthalmia-associated transcription factor	MITF	0.038	1.54	Transcription
225346_at	MTERF domain containing 3	MTERFD3	0.047	-1.61	Transcription
219418_at	nonhomologous end-joining factor 1	NHEJ1	0.036	1.72	Transcription
225470_at	nucleoporin 35kDa	NUP35	0.025	-1.57	Transcription
225761_at	PAP associated domain containing 4	PAPD4	0.036	-1.81	Transcription
203905_at	poly(A)-specific ribonuclease (deadenylation nuclease)	PARN	0.03	-1.54	Transcription
233080_s_at	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae)	PRPF40A	0.019	-1.92	Transcription
224914_s_at	SAP domain containing ribonucleoprotein	SARNP	0.036	-1.7	Transcription
228408_s_at	SDA1 domain containing 1	SDAD1	0.008	-1.56	Transcription
227478_at	SET binding protein 1	SETBP1	0.024	-1.82	Transcription
206052_s_at	stem-loop binding protein	SLBP	0.047	-2.36	Transcription
206055_s_at	small nuclear ribonucleoprotein polypeptide A	SNRPA1	0.035	-2.02	Transcription
242146_at	Small nuclear ribonucleoprotein polypeptide A	SNRPA1	0.047	-1.58	Transcription
237472_at	SRY (sex determining region Y)-box 1	SOX1	0.039	-1.52	Transcription
201139_s_at	Sjogren syndrome antigen B (autoantigen La)	SSB	0.029	-1.93	Transcription
212287_at	suppressor of zeste 12 homolog (Drosophila)	SUZ12	0.05	-1.5	Transcription
222728_s_at	TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa	TAF1D	0.038	-2.48	Transcription
202823_at	transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)	TCEB1	0.028	-2.01	Transcription
212762_s_at	transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2	0.028	-1.77	Transcription
228284_at	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	TLE1	0.018	-1.52	Transcription
208900_s_at	topoisomerase (DNA) I	TOP1	0.046	-1.91	Transcription
222989_s_at	ubiquilin 1	UBQLN1	0.027	-1.66	Transcription
225982_at	upstream binding transcription factor, RNA polymerase I	UBTF	0.042	-1.55	Transcription
229235_at	zinc finger, CCHC domain containing 11	ZCCHC11	0.038	-1.88	Transcription
213934_s_at	zinc finger protein 23 (KOX 16)	ZNF23	0.045	-1.7	Transcription
213269_at	zinc finger protein 248	ZNF248	0.025	-1.68	Transcription
229019_at	zinc finger protein 385B	ZNF385B	0.047	-1.86	Transcription
1553193_at	zinc finger protein 441	ZNF441	0.04	-1.84	Transcription
238454_at	zinc finger protein 540	ZNF540	0.033	-1.66	Transcription
230164_at	zinc finger protein 621	ZNF621	0.012	1.55	Transcription
223016_x_at	zinc finger, RAN-binding domain containing 2	ZRANB2	0.019	-1.84	Transcription
1556432_at			0.004	-1.71	Transcription
1557326_at			0.02	-1.91	Transcription
230178_s_at			0.039	-1.81	Transcription
232431_at			0.013	-2.12	Transcription
232711_at			0.015	-1.91	Transcription
232852_at			0.049	-1.7	Transcription
237937_x_at			0.05	-1.87	Transcription
239123_at			0.022	-1.56	Transcription
239571_at			0.037	-1.68	Transcription
239716_at			0.05	-1.55	Transcription
241726_at			0.026	1.64	Transcription
209247_s_at	ATP-binding cassette, sub-family F (GCN20), member 2	ABCF2	0.05	-1.51	Miscellaneous
201630_s_at	acid phosphatase 1, soluble	ACP1	0.048	-2.09	Miscellaneous
239711_at	adenosine deaminase-like	ADAL	0.005	-1.61	Miscellaneous
231202_at	Aldehyde dehydrogenase 1 family, member L2	ALDH1L2	0.004	-1.64	Miscellaneous
1558076_at	ankyrin repeat domain 32	ANKRD32	0.008	-1.84	Miscellaneous
216073_at	ankyrin repeat domain 34C	ANKRD34C	0.019	-1.75	Miscellaneous
219335_at	armadillo repeat containing, X-linked 5	ARMCX5	0.038	-1.68	Miscellaneous
220359_s_at	cyclic AMP-regulated phosphoprotein, 21 kD	ARPP-21	0.044	-2.45	Miscellaneous
224796_at	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	ASAP1	0.026	-1.76	Miscellaneous
207284_s_at	aspartate beta-hydroxylase	ASPH	0.023	-1.6	Miscellaneous
219660_s_at	ATPase, aminophospholipid transporter-like, class I, type 8A, member 2	ATP8A2	0.027	-1.61	Miscellaneous
230038_at	ataxin 7-like 2	ATXN7L2	0.009	-1.53	Miscellaneous
239144_at	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	B3GAT2	0.018	1.8	Miscellaneous
205084_at	B-cell receptor-associated protein 29	BCAP29	0.024	-1.68	Miscellaneous
231175_at	BEN domain containing 6	BEND6	0.037	-2.28	Miscellaneous
242524_at	cerebellin 4 precursor	CBLN4	0.013	-2.23	Miscellaneous
227280_s_at	cyclin Y-like 1	CCNYL1	0.042	-1.5	Miscellaneous
209395_at	chitinase 3-like 1 (cartilage glycoprotein-39)	CHI3L1	0.01	-1.74	Miscellaneous
209396_s_at	chitinase 3-like 1 (cartilage glycoprotein-39)	CHI3L1	0.029	-1.66	Miscellaneous
242100_at	chondroitin sulfate synthase 3	CHSY3	0.028	-1.61	Miscellaneous
201653_at	cornichon homolog (Drosophila)	CNIH	0.041	-2.34	Miscellaneous
209797_at	canopy 2 homolog (zebrafish)	CNPY2	0.028	-1.83	Miscellaneous
224829_at	cytoplasmic polyadenylation element binding protein 4	CPEB4	0.02	-2.26	Miscellaneous
202437_s_at	cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1	0.012	-1.5	Miscellaneous
218547_at	dehydrodolichyl diphosphate synthase	DHDDS	0.035	-1.72	Miscellaneous
213092_x_at	DnaJ (Hsp40) homolog, subfamily C, member 9	DNAJC9	0.024	-1.65	Miscellaneous
214844_s_at	docking protein 5	DOK5	0.025	-1.65	Miscellaneous
212611_at	deltex homolog 4 (Drosophila)	DTX4	0.046	-1.73	Miscellaneous
208708_x_at	eukaryotic translation initiation factor 5	EIF5	0.036	-1.72	Miscellaneous
219017_at	ethanolamine kinase 1	ETNK1	0.012	-1.71	Miscellaneous
231131_at	family with sequence similarity 133, member A	FAM133A	0.044	-1.71	Miscellaneous
239108_at	Fatty acyl CoA reductase 2	FAR2	0.018	-1.61	Miscellaneous
1568618_a_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	GALNT1	0.049	-1.58	Miscellaneous
225706_at	glucocorticoid induced transcript 1	GLCCI1	0.023	-1.78	Miscellaneous
210425_x_at	golgi autoantigen, golgin subfamily a, 8B	GOLGA8B	0.013	-1.84	Miscellaneous
224839_s_at	glutamic pyruvate transaminase (alanine aminotransferase) 2	GPT2	0.009	-1.53	Miscellaneous
228263_at	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein	GRASP	0.017	-1.95	Miscellaneous
222751_at	HERPUD family member 2	HERPUD2	0.037	-2.14	Miscellaneous
206375_s_at	heat shock 27kDa protein 3	HSPB3	0.01	-1.51	Miscellaneous
230510_at	heat shock protein, alpha-crystallin-related, B9	HSPB9	0.02	1.52	Miscellaneous
219284_at	HSPB (heat shock 27kDa) associated protein 1	HSPBAP1	0.03	-1.65	Miscellaneous
220116_at	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	KCNN2	0.023	-1.65	Miscellaneous
213340_s_at	KIAA0495	KIAA0495	0.047	-1.7	Miscellaneous
212942_s_at	KIAA1199	KIAA1199	0.045	-1.55	Miscellaneous
213261_at	lupus brain antigen 1	LBA1	0.035	-1.88	Miscellaneous
204012_s_at	leucine carboxyl methyltransferase 2	LCMT2	0.029	-1.64	Miscellaneous
236837_x_at	Similar to FRAS1 related extracellular matrix protein 2	LOC650794	0.02	-1.98	Miscellaneous
226802_s_at	BMS1 homolog, ribosome assembly protein (yeast) pseudogene	LOC96610	0.036	-1.66	Miscellaneous
233132_at	BMS1 homolog, ribosome assembly protein (yeast) pseudogene	LOC96610	0.033	-1.51	Miscellaneous
235374_at	Malate dehydrogenase 1, NAD (soluble)	MDH1	0.007	-1.84	Miscellaneous
228764_s_at	magnesium-dependent phosphatase 1	MDP-1	0.048	-1.57	Miscellaneous
222328_x_at	Maternally expressed 3 (non-protein coding)	MEG3	0.014	-1.62	Miscellaneous
226210_s_at	maternally expressed 3 (non-protein coding)	MEG3	0.042	-1.92	Miscellaneous
219065_s_at	mediator of cell motility 1	MEMO1	0.017	-1.54	Miscellaneous
207098_s_at	mitofusin 1	MFN1	0.024	-1.81	Miscellaneous
218071_s_at	makorin ring finger protein 2	MKRN2	0.037	-1.77	Miscellaneous
228077_at	methylthioribose-1-phosphate isomerase homolog (S. cerevisiae)	MRI1	0.046	-1.88	Miscellaneous
225260_s_at	mitochondrial ribosomal protein L32	MRPL32	0.025	-1.95	Miscellaneous
213629_x_at	metallothionein 1F	MT1F	0.027	2.53	Miscellaneous
218139_s_at	MU-2/AP1M2 domain containing, death-inducing	MUDENG	0.046	-2.01	Miscellaneous
203245_s_at	non-protein coding RNA 94	NCRNA00094	0.019	-1.6	Miscellaneous
227001_at	NIPA-like domain containing 2	NIPAL2	0.022	-2.22	Miscellaneous
203675_at	nucleobindin 2	NUCB2	0.021	-1.63	Miscellaneous
225439_at	NudC domain containing 1	NUDCD1	0.028	-1.54	Miscellaneous
219347_at	nudix (nucleoside diphosphate linked moiety X)-type motif 15	NUDT15	0.027	-1.58	Miscellaneous
207545_s_at	numb homolog (Drosophila)	NUMB	0.039	-1.59	Miscellaneous
232377_at	neurexophilin 1	NXPH1	0.012	-1.66	Miscellaneous
231867_at	odz, odd Oz/ten-m homolog 2 (Drosophila)	ODZ2	0.03	-1.78	Miscellaneous
226452_at	pyruvate dehydrogenase kinase, isozyme 1	PDK1	0.032	-1.54	Miscellaneous
209803_s_at	pleckstrin homology-like domain, family A, member 2	PHLDA2	0.039	-1.89	Miscellaneous
203335_at	phytanoyl-CoA 2-hydroxylase	PHYH	0.027	-1.76	Miscellaneous
224364_s_at	peptidylprolyl isomerase (cyclophilin)-like 3	PPIL3	0.043	-1.65	Miscellaneous
202165_at	protein phosphatase 1, regulatory (inhibitor) subunit 2	PPP1R2	0.042	-1.99	Miscellaneous
235085_at	homolog of rat pragma of Rnd2	PRAGMIN	0.018	-2.12	Miscellaneous
207808_s_at	protein S (alpha)	PROS1	0.002	-1.51	Miscellaneous
206772_at	parathyroid hormone 2 receptor	PTH2R	0.046	-1.9	Miscellaneous
208121_s_at	protein tyrosine phosphatase, receptor type, O	PTPRO	0.036	-1.78	Miscellaneous
229465_s_at	Protein tyrosine phosphatase, receptor type, S	PTPRS	0.045	-1.72	Miscellaneous
213878_at	pyridine nucleotide-disulphide oxidoreductase domain 1	PYROXD1	0.045	-1.52	Miscellaneous
212646_at	raftlin, lipid raft linker 1	RFTN1	0.039	-2.5	Miscellaneous
201453_x_at	Ras homolog enriched in brain	RHEB	0.041	-2.03	Miscellaneous
213404_s_at	Ras homolog enriched in brain	RHEB	0.04	-2.46	Miscellaneous
242033_at	ring finger protein 180	RNF180	0.041	-1.51	Miscellaneous
218737_at	strawberry notch homolog 1 (Drosophila)	SBNO1	0.042	-1.66	Miscellaneous
219196_at	secretogranin III	SCG3	0.043	-1.94	Miscellaneous
202061_s_at	sel-1 suppressor of lin-12-like (C. elegans)	SEL1L	0.049	-1.53	Miscellaneous
230748_at	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)	SLC16A6	0.036	-2.26	Miscellaneous
225212_at	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25	SLC25A25	0.024	-1.73	Miscellaneous
215011_at	small nucleolar RNA host gene 3 (non-protein coding)	SNHG3	0.045	1.5	Miscellaneous
227031_at	sorting nexin 13	SNX13	0.049	-2.23	Miscellaneous
219793_at	sorting nexin 16	SNX16	0.017	-1.55	Miscellaneous
205573_s_at	sorting nexin 7	SNX7	0.029	-1.68	Miscellaneous
229594_at	SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)	SPTY2D1	0.022	-1.76	Miscellaneous
211056_s_at	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)	SRD5A1	0.044	-1.51	Miscellaneous
219443_at	taspase, threonine aspartase, 1	TASP1	0.029	-1.7	Miscellaneous
201078_at	transmembrane 9 superfamily member 2	TM9SF2	0.031	-1.61	Miscellaneous
224496_s_at	transmembrane protein 107	TMEM107	0.004	-1.55	Miscellaneous
225588_s_at	transmembrane protein 129	TMEM129	0.048	-2.47	Miscellaneous
222642_s_at	transmembrane protein 33	TMEM33	0.027	-1.73	Miscellaneous
230779_at	trinucleotide repeat containing 6B	TNRC6B	0.019	-1.74	Miscellaneous
202264_s_at	translocase of outer mitochondrial membrane 40 homolog (yeast)	TOMM40	0.023	-1.53	Miscellaneous
231978_at	two pore segment channel 2	TPCN2	0.006	-1.8	Miscellaneous
238147_at	tripartite motif-containing 46	TRIM46	0.048	-1.81	Miscellaneous
209859_at	tripartite motif-containing 9	TRIM9	0.045	-3.1	Miscellaneous
220968_s_at	tetraspanin 9	TSPAN9	0.042	-1.74	Miscellaneous
226135_at	UHRF1 binding protein 1	UHRF1BP1	0.022	-1.74	Miscellaneous
224858_at	zinc finger, DHHC-type containing 5	ZDHHC5	0.033	-1.54	Miscellaneous
240859_at	zinc finger, FYVE domain containing 16	ZFYVE16	0.004	-1.85	Miscellaneous
225218_at	zinc finger, FYVE domain containing 27	ZFYVE27	0.035	-1.91	Miscellaneous
1557180_at	chromosome 11 open reading frame 87	C11orf87	0.026	-1.93	Unknown
236532_at	chromosome 11 open reading frame 87	C11orf87	0.029	-2.42	Unknown
225675_at	chromosome 14 open reading frame 101	C14orf101	0.035	-1.69	Unknown
213246_at	chromosome 14 open reading frame 109	C14orf109	0.011	-1.58	Unknown
226901_at	chromosome 17 open reading frame 58	C17orf58	0.041	-1.53	Unknown
218712_at	chromosome 1 open reading frame 109	C1orf109	0.042	-1.93	Unknown
230379_x_at	chromosome 2 open reading frame 56	C2orf56	0.037	-1.75	Unknown
221878_at	chromosome 2 open reading frame 68	C2orf68	0.001	-1.57	Unknown
238702_at	chromosome 3 open reading frame 57 /// hypothetical protein LOC100129285	C3orf57 /// LOC100129285	0.035	-2.26	Unknown
224602_at	chromosome 4 open reading frame 3	C4orf3	0.027	-1.51	Unknown
218674_at	chromosome 5 open reading frame 44	C5orf44	0.045	-1.86	Unknown
222309_at	Chromosome 6 open reading frame 62	C6orf62	0.025	-1.57	Unknown
209569_x_at	DNA segment on chromosome 4 (unique) 234 expressed sequence	D4S234E	0.001	-1.69	Unknown
212979_s_at	family with sequence similarity 115, member A	FAM115A	0.047	-1.59	Unknown
214822_at	family with sequence similarity 5, member B	FAM5B	0.03	-1.63	Unknown
215268_at	hypothetical LOC643314	KIAA0754	0.002	-1.78	Unknown
224036_s_at	limb region 1 homolog (mouse)	LMBR1	0.022	-1.53	Unknown
235174_s_at	hypothetical LOC100128822	LOC100128822	0.008	-1.74	Unknown
238771_at	hypothetical protein LOC100129899	LOC100129899	0.024	-1.5	Unknown
236841_at	hypothetical protein LOC100133859	LOC100133859	0.023	-2.13	Unknown
1560522_at	hypothetical protein LOC201477	LOC201477	0.029	-1.53	Unknown
225458_at	hypothetical LOC25845	LOC25845	0.026	-1.57	Unknown
1568249_at	hypothetical LOC388796 /// small nucleolar RNA, H/ACA box 71B	LOC388796 /// SNORA71B	0.046	1.52	Unknown
229870_at	Hypothetical protein LOC644656	LOC644656	0	-1.9	Unknown
229546_at	hypothetical LOC653602	LOC653602	0.008	-2.19	Unknown
242835_s_at	Hypothetical LOC728730	LOC728730	0.014	-1.72	Unknown
233819_s_at	ring finger protein 160	RNF160	0.047	-1.62	Unknown
230143_at	ring finger protein 165	RNF165	0.048	-1.56	Unknown
224826_at	hypothetical protein KIAA1434	RP5-1022P6.2	0.001	-2.35	Unknown
235747_at	Solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16	SLC25A16	0.009	-1.68	Unknown
223698_at	solute carrier family 25, member 36	SLC25A36	0.004	-1.83	Unknown
224696_s_at	WD repeat domain 22	WDR22	0.006	-1.57	Unknown
215156_at	WD repeat domain 61	WDR61	0.046	-1.51	Unknown
214061_at	WD repeat domain 67	WDR67	0.009	-1.62	Unknown
1556211_a_at			0.048	-1.73	Unknown
1556685_at			0.032	-1.58	Unknown
1556904_at			0.019	-1.73	Unknown
1557475_at			0.001	-2.85	Unknown
1560131_at			0.028	1.56	Unknown
1560661_x_at			0.041	-1.73	Unknown
1562828_at			0.017	-1.84	Unknown
1566111_at			0.015	1.78	Unknown
210524_x_at			0.019	2.62	Unknown
215736_at			0.028	-1.66	Unknown
224216_at			0.03	-1.64	Unknown
227630_at			0.031	-1.69	Unknown
228156_at			0.021	-1.55	Unknown
230130_at			0.045	-1.55	Unknown
231519_at			0.003	-1.69	Unknown
232538_at			0.03	-1.54	Unknown
233225_at			0.032	-1.52	Unknown
233442_at			0.018	-1.61	Unknown
234104_at			0.04	1.59	Unknown
235685_at			0.014	-1.51	Unknown
236322_at			0.042	-1.65	Unknown
237026_at			0.031	-1.73	Unknown
237224_at			0.033	1.52	Unknown
238212_at			0.04	-2.24	Unknown
238344_at			0.019	-1.88	Unknown
238501_at			0.012	-1.53	Unknown
238914_at			0.013	-1.63	Unknown
239033_at			0.025	1.81	Unknown
239227_at			0.028	-1.54	Unknown
239872_at			0.045	-1.73	Unknown
240690_at			0.026	-1.59	Unknown
241838_at			0.009	-1.63	Unknown
242024_at			0.025	-1.62	Unknown
242246_x_at			0.042	-3.61	Unknown
242551_at			0.041	-1.51	Unknown
243742_at			0.033	-1.71	Unknown
244117_at			0.012	-1.57	Unknown
244487_at			0.032	-1.54	Unknown
