Probeset ID	Gene	Description	Fold Change
AGI_MM_OLIGO_A_51_P511899	BC052066	cDNA sequence BC052066	1.963171
AGI_MM_OLIGO_A_51_P244586	LOC621811	similar to zinc finger protein 618	1.95599
AGI_MM_OLIGO_A_51_P463548	Wdr78	WD repeat domain 78	1.92905
AGI_MM_OLIGO_A_51_P459402	Slc35e3	solute carrier family 35, member E3	1.923262
AGI_MM_OLIGO_A_51_P294550	Stx5a	syntaxin 5A	1.922338
AGI_MM_OLIGO_A_51_P161131	5730507C01Rik	RIKEN cDNA 5730507C01 gene	1.91307
AGI_MM_OLIGO_A_51_P275915	Edd1	E3 ubiquitin protein ligase, HECT domain containing, 1	1.903384
AGI_MM_OLIGO_A_51_P489178	Tor1b	torsin family 1, member B	1.900779
AGI_MM_OLIGO_A_51_P427264	Lphn1	latrophilin 1	1.876243
AGI_MM_OLIGO_A_51_P254954	Atxn2	ataxin 2	1.875328
AGI_MM_OLIGO_A_51_P292516	Fbxl3	F-box and leucine-rich repeat protein 3	1.867449
AGI_MM_OLIGO_A_51_P327963	Sfrs8	splicing factor, arginine/serine-rich 8	1.864385
AGI_MM_OLIGO_A_51_P332100	Rb1cc1	RB1-inducible coiled-coil 1	1.861158
AGI_MM_OLIGO_A_51_P195963	Pfn4	profilin family, member 4	1.85398
AGI_MM_OLIGO_A_51_P292943	Ell	elongation factor RNA polymerase II	1.823952
AGI_MM_OLIGO_A_51_P279038	Ppargc1a	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha	1.822589
AGI_MM_OLIGO_A_51_P521040	Bet1l	blocked early in transport 1 homolog (S. cerevisiae)-like	1.818512
AGI_MM_OLIGO_A_51_P283754	5730453I16Rik	RIKEN cDNA 5730453I16 gene	1.806065
AGI_MM_OLIGO_A_51_P376623	Trip11	thyroid hormone receptor interactor 11	1.777841
AGI_MM_OLIGO_A_51_P112932	Entpd2	ectonucleoside triphosphate diphosphohydrolase 2	1.77195
AGI_MM_OLIGO_A_51_P444005	1300007L22Rik	RIKEN cDNA 1300007L22 gene	1.755217
AGI_MM_OLIGO_A_51_P367323	Sh2bpsm1	SH2-B PH domain containing signaling mediator 1	1.676699
AGI_MM_OLIGO_A_51_P510764	A530016O06Rik	RIKEN cDNA A530016O06 gene	1.675238
AGI_MM_OLIGO_A_51_P497039	Mpp3	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	1.659971
AGI_MM_OLIGO_A_51_P346523	Zcchc7	zinc finger, CCHC domain containing 7	1.63709
AGI_MM_OLIGO_A_51_P204630	Atp2c1	ATPase, Ca++-sequestering	1.632626
AGI_MM_OLIGO_A_51_P442359			1.621928
AGI_MM_OLIGO_A_51_P218833	AA673488	expressed sequence AA673488	1.615118
AGI_MM_OLIGO_A_51_P286172	Lzts2	leucine zipper, putative tumor suppressor 2	1.612435
AGI_MM_OLIGO_A_51_P271803	Nsun2	NOL1/NOP2/Sun domain family 2	1.573688
AGI_MM_OLIGO_A_51_P461040	2300002G24Rik	RIKEN cDNA 2300002G24 gene	1.572945
AGI_MM_OLIGO_A_51_P224046	Ppil6	peptidylprolyl isomerase (cyclophilin)-like 6	1.550315
AGI_MM_OLIGO_A_51_P304111	Cyp2c39	cytochrome P450, family 2, subfamily c, polypeptide 39	1.530831
AGI_MM_OLIGO_A_51_P141071	Cand2	cullin-associated and neddylation-dissociated 2 (putative)	1.511236
AGI_MM_OLIGO_A_51_P258817	Ttpa	tocopherol (alpha) transfer protein	1.496558
AGI_MM_OLIGO_A_51_P378967	Cntf	ciliary neurotrophic factor	1.486282
AGI_MM_OLIGO_A_51_P385598	Slc37a4	solute carrier family 37 (glycerol-6-phosphate transporter), member 4	1.396726
