ENTREZGENEID	DESCRIPTION	Symbol	logFOLDCHANGE	FOLDCHANGE	P.Value
23295	Mahogunin, ring finger 1	MGRN1	1.77	3.4	0.000287
259173	ALS2 C-terminal like	ALS2CL	1.69	3.24	0.00174
197370	Non-SMC element 1 homolog (S. cerevisiae)	NSMCE1	1.69	3.23	0.00136
857	Caveolin 1, caveolae protein, 22kDa	CAV1	1.68	3.2	0.00436
857	Caveolin 1, caveolae protein, 22kDa	CAV1	1.67	3.19	0.00715
1514	Cathepsin L-like 3	CTSL1	1.67	3.18	0.000429
25970	SH2B adaptor protein 1	SH2B1	1.65	3.15	0.00135
379	ADP-ribosylation factor-like 4D	ARL4D	1.64	3.12	0.0196
1831	TSC22 domain family, member 3	TSC22D3	1.63	3.1	0.0273
5327	Plasminogen activator, tissue	PLAT	1.62	3.08	0.019
57124	CD248 molecule, endosialin	CD248	1.61	3.06	0.00183
6523	Solute carrier family 5 (sodium/glucose cotransporter), member 1	SLC5A1	1.6	3.04	0.0245
6281	S100 calcium binding protein A10	S100A10	1.6	3.03	0.000994
1514	Cathepsin L-like 3	CTSL1	1.6	3.03	0.0000105
84231	TNF receptor-associated factor 7	TRAF7	1.59	3.01	0.00363
90576	Zinc finger protein 799	ZNF799	1.58	3	0.0000247
54517	Pseudouridylate synthase 7 homolog (S. cerevisiae)	PUS7	1.57	2.96	0.0000117
90019	Synaptotagmin VIII	SYT8	1.54	2.92	0.00307
84302	Chromosome 9 open reading frame 125	C9orf125	1.53	2.88	0.000123
8078	Ubiquitin specific peptidase 5 (isopeptidase T)	USP5	1.52	2.86	0.0231
90203	Sorting nexin family member 21	SNX21	1.52	2.86	0.00614
29103	DnaJ (Hsp40) homolog, subfamily C, member 15	DNAJC15	1.51	2.85	0.0089
29978	Ubiquilin 2	UBQLN2	1.51	2.85	0.00445
2214	Fc fragment of IgG, low affinity IIIa, receptor (CD16a)	FCGR3A	1.5	2.84	0.00543
4741	In multiple clusters		1.5	2.83	0.000224
9675	KIAA0406	KIAA0406	1.5	2.83	0.000597
7528	YY1 transcription factor	YY1	1.5	2.83	0.0000704
7070	Thy-1 cell surface antigen	THY1	1.5	2.82	0.0265
9741	Lysosomal-associated protein transmembrane 4 alpha	LAPTM4A	1.48	2.79	0.0262
1514	Cathepsin L-like 3	CTSL1	1.48	2.78	0.000171
9122	Solute carrier family 16, member 4 (monocarboxylic acid transporter 5)	SLC16A4	1.47	2.77	0.000429
8449	DEAH (Asp-Glu-Ala-His) box polypeptide 16	DHX16	1.47	2.76	0.0000735
4853	Notch homolog 2 (Drosophila)	NOTCH2	1.46	2.76	0.000202
10457	Glycoprotein (transmembrane) nmb	GPNMB	1.45	2.74	0.000409
2264	Fibroblast growth factor receptor 4	FGFR4	1.45	2.74	0.0185
1551	Cytochrome P450, family 3, subfamily A, polypeptide 7	CYP3A7	1.45	2.73	0.0249
10607	Transducin (beta)-like 3	TBL3	1.42	2.68	0.00101
213	Albumin	ALB	1.42	2.67	0.000648
3303	Heat shock 70kDa protein 1A	HSPA1A	1.42	2.67	0.0232
6674	Sperm associated antigen 1	SPAG1	1.41	2.66	0.0331
7070	Thy-1 cell surface antigen	THY1	1.41	2.65	0.00458
23164	Myosin phosphatase-Rho interacting protein	MPRIP	1.41	2.65	0.000222
3398	Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	ID2	1.4	2.65	0.0567
60	Actin, beta	ACTB	1.4	2.64	0.00652
2252	Fibroblast growth factor 7 (keratinocyte growth factor)	FGF7	1.39	2.62	0.00135
1487	C-terminal binding protein 1	CTBP1	1.39	2.61	0.0334
55922	NFKB repressing factor	NKRF	1.38	2.6	0.0293
8535	Chromobox homolog 4 (Pc class homolog, Drosophila)	CBX4	1.37	2.58	0.00566
5327	Plasminogen activator, tissue	PLAT	1.35	2.55	0.0227
5528	Protein phosphatase 2, regulatory subunit B, delta isoform	PPP2R5D	1.34	2.53	0.0438
94107	Transmembrane protein 203	TMEM203	1.34	2.53	0.0000915
8862	Apelin	APLN	1.33	2.52	0.000704
5740	Prostaglandin I2 (prostacyclin) synthase	PTGIS	1.33	2.51	0.00704
2199	Fibulin 2	FBLN2	1.33	2.51	0.0159
1191	Clusterin	CLU	1.32	2.49	0.0311
5118	Procollagen C-endopeptidase enhancer	PCOLCE	1.31	2.49	0.00467
1674	Desmin	DES	1.31	2.48	0.000504
29126	CD274 molecule	CD274	1.31	2.47	0.00815
337867	UBA domain containing 2	UBAC2	1.3	2.47	0.0392
8517	Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	IKBKG	1.29	2.45	0.00448
9590	A kinase (PRKA) anchor protein (gravin) 12	AKAP12	1.29	2.45	0.0454
27173	Solute carrier family 39 (zinc transporter), member 1	SLC39A1	1.29	2.44	0.000233
221937	Forkhead box K1	FOXK1	1.28	2.43	0.000967
1525	Coxsackie virus and adenovirus receptor	CXADR	1.28	2.43	0.000535
10773	Zinc finger and BTB domain containing 6	ZBTB6	1.28	2.43	0.0129
8717	TNFRSF1A-associated via death domain	TRADD	1.28	2.43	0.0291
9053	Microtubule-associated protein 7	MAP7	1.28	2.42	0.0277
10522	Deformed epidermal autoregulatory factor 1 (Drosophila)	DEAF1	1.27	2.41	0.0000747
6202	Ribosomal protein S8	RPS8	1.27	2.4	0.0216
125	Alcohol dehydrogenase 1B (class I), beta polypeptide	ADH1B	1.25	2.38	0.0278
4835	NAD(P)H dehydrogenase, quinone 2	NQO2	1.25	2.38	0.000408
2335	Fibronectin 1	FN1	1.24	2.36	0.0375
254122	Sorting nexin 32	SNX32	1.24	2.36	0.00134
10668	Cell growth regulator with ring finger domain 1	CGRRF1	1.24	2.36	0.028
991	Cell division cycle 20 homolog (S. cerevisiae)	CDC20	1.24	2.36	0.00709
6455	SH3-domain GRB2-like 1	SH3GL1	1.23	2.35	0.000555
9140	ATG12 autophagy related 12 homolog (S. cerevisiae)	ATG12	1.23	2.35	0.000725
8660	Insulin receptor substrate 2	IRS2	1.23	2.35	0.00637
2315	Melan-A	MLANA	1.23	2.35	0.0000796
4060	Lumican	LUM	1.23	2.35	0.00853
6152	In multiple clusters		1.23	2.34	0.0127
8284	Jumonji, AT rich interactive domain 1D	JARID1D	1.23	2.34	0.0491
1635	DCMP deaminase	DCTD	1.23	2.34	0.00558
84445	Leucine zipper, putative tumor suppressor 2	LZTS2	1.22	2.34	0.00185
1436	Colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog	CSF1R	1.22	2.33	0.0363
5763	Parathymosin	PTMS	1.22	2.32	0.0153
27005	Ubiquitin specific peptidase 21	USP21	1.22	2.32	0.00371
3779	potassium large conductance calcium-activated channel, subfamily M, beta member 1	KCNMB1	1.22	2.32	0.0435
2896	Granulin	GRN	1.21	2.32	0.0255
10208	Ubiquitin specific peptidase like 1	USPL1	1.21	2.32	0.0383
4779	Nuclear factor (erythroid-derived 2)-like 1	NFE2L1	1.21	2.31	0.0211
23395	Leucyl-tRNA synthetase 2, mitochondrial	LARS2	1.21	2.31	0.00207
23048	Formin binding protein 1	FNBP1	1.2	2.3	0.0428
5333	Phospholipase C, delta 1	PLCD1	1.2	2.3	0.000208
8532	Carboxypeptidase Z	CPZ	1.2	2.3	0.0000367
9673	Solute carrier family 25, member 44	SLC25A44	1.19	2.29	0.00951
57599	WD repeat domain 48	WDR48	1.19	2.29	0.00525
51703	Acyl-CoA synthetase long-chain family member 5	ACSL5	1.19	2.28	0.00111
5644	In multiple clusters		1.19	2.28	0.0306
2593	Guanidinoacetate N-methyltransferase	GAMT	1.18	2.27	0.109
5118	Procollagen C-endopeptidase enhancer	PCOLCE	1.18	2.27	0.00231
28960	Decapping enzyme, scavenger	DCPS	1.18	2.27	0.0001
9821	RB1-inducible coiled-coil 1	RB1CC1	1.18	2.26	0.0796
57178	Zinc finger, MIZ-type containing 1	ZMIZ1	1.18	2.26	0.0000466
2289	FK506 binding protein 5	FKBP5	1.17	2.26	0.00614
287	Ankyrin 2, neuronal	ANK2	1.17	2.26	0.019
79600	In multiple clusters		1.17	2.25	0.0582
80005	Dedicator of cytokinesis 5	DOCK5	1.17	2.25	0.00525
27345	potassium large conductance calcium-activated channel, subfamily M, beta member 4	KCNMB4	1.17	2.25	0.018
1979	Eukaryotic translation initiation factor 4E binding protein 2	EIF4EBP2	1.16	2.24	0.000921
7107	G protein-coupled receptor 137B	GPR137B	1.16	2.24	0.00014
2321	Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	FLT1	1.16	2.24	0.0433
3757	potassium voltage-gated channel, subfamily H (eag-related), member 2	KCNH2	1.16	2.23	0.101
29915	Host cell factor C2	HCFC2	1.16	2.23	0.0511
55111	Pleckstrin homology domain containing, family J member 1	PLEKHJ1	1.16	2.23	0.0052
100130531	Hypothetical protein LOC100130531	LOC100130531	1.15	2.23	0.000213
5270	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	SERPINE2	1.15	2.23	0.00309
5168	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	ENPP2	1.15	2.22	0.0124
51592	Tripartite motif-containing 33	TRIM33	1.15	2.21	0.00867
2063	Nuclear receptor subfamily 2, group F, member 6	NR2F6	1.15	2.21	0.0307
84034	Elastin microfibril interfacer 2	EMILIN2	1.14	2.21	0.00165
26227	Phosphoglycerate dehydrogenase	PHGDH	1.14	2.21	0.000352
10513	Amyloid beta precursor protein (cytoplasmic tail) binding protein 2	APPBP2	1.14	2.21	0.00725
56925	Latexin	LXN	1.14	2.2	0.0277
3606	Interleukin 18 (interferon-gamma-inducing factor)	IL18	1.14	2.2	0.00182
9584	RNA binding motif protein 39	RBM39	1.14	2.2	0.0304
10095	Actin related protein 2/3 complex, subunit 1B, 41kDa	ARPC1B	1.14	2.2	0.00235
10518	Calcium and integrin binding family member 2	CIB2	1.13	2.19	0.00588
2882	Glutathione peroxidase 7	GPX7	1.13	2.19	0.0102
3105	In multiple clusters		1.13	2.19	0.00456
2551	GA binding protein transcription factor, alpha subunit 60kDa	GABPA	1.13	2.19	0.014
10370	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	CITED2	1.13	2.19	0.000525
3978	Ligase I, DNA, ATP-dependent	LIG1	1.12	2.18	0.000917
10914	Poly(A) polymerase alpha	PAPOLA	1.12	2.18	0.0143
8189	Symplekin	SYMPK	1.12	2.18	0.00246
1364	In multiple clusters		1.12	2.17	0.00733
116138	Kelch domain containing 3	KLHDC3	1.12	2.17	0.00154
7052	Transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	TGM2	1.12	2.17	0.000341
23032	Ubiquitin specific peptidase 33	USP33	1.12	2.17	0.00103
934	CD24 molecule	CD24	1.12	2.17	0.000979
10105	Peptidylprolyl isomerase F (cyclophilin F)	PPIF	1.11	2.16	0.0243
90379	Hypothetical protein BC002926	LOC90379	1.11	2.16	0.00392
1645	Aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	AKR1C1	1.11	2.16	0.00164
27316	RNA binding motif protein, X-linked	RBMX	1.11	2.16	0.0304
29959	Nuclear receptor binding protein 1	NRBP1	1.1	2.15	0.00353
549	AU RNA binding protein/enoyl-Coenzyme A hydratase	AUH	1.1	2.15	0.00617
5700	Proteasome (prosome, macropain) 26S subunit, ATPase, 1	PSMC1	1.1	2.15	0.0321
3985	LIM domain kinase 2	LIMK2	1.1	2.15	0.0254
1601	Disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	DAB2	1.1	2.15	0.000296
1915	In multiple clusters		1.1	2.14	0.000757
27285	Tektin 2 (testicular)	TEKT2	1.1	2.14	0.0474
221037	Jumonji domain containing 1C	JMJD1C	1.1	2.14	0.0444
375	ADP-ribosylation factor 1	ARF1	1.1	2.14	0.0349
6228	Ribosomal protein S23	RPS23	1.1	2.14	0.0331
5879	Ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	RAC1	1.1	2.14	0.02
1959	Early growth response 2 (Krox-20 homolog, Drosophila)	EGR2	1.09	2.14	0.00125
9747	Family with sequence similarity 115, member A	FAM115A	1.09	2.13	0.02
728340	General transcription factor IIH, polypeptide 2, 44kDa-like	LOC728340	1.09	2.13	0.0366
4779	Nuclear factor (erythroid-derived 2)-like 1	NFE2L1	1.09	2.13	0.00153
996	Cell division cycle 27 homolog (S. cerevisiae)	CDC27	1.09	2.13	0.00364
10127	Zinc finger protein 263	ZNF263	1.09	2.13	0.0404
10518	Calcium and integrin binding family member 2	CIB2	1.09	2.13	0.000478
126393	Heat shock protein, alpha-crystallin-related, B6	HSPB6	1.09	2.13	0.000979
28965	Solute carrier family 27 (fatty acid transporter), member 6	SLC27A6	1.09	2.13	0.023
57017	Coenzyme Q9 homolog (S. cerevisiae)	COQ9	1.09	2.13	0.00661
4681	Neuroblastoma, suppression of tumorigenicity 1	NBL1	1.09	2.13	0.000673
51061	Thioredoxin domain containing 11	TXNDC11	1.09	2.12	0.0168
4665	NGFI-A binding protein 2 (EGR1 binding protein 2)	NAB2	1.09	2.12	0.0177
51148	Cerebral endothelial cell adhesion molecule	CERCAM	1.08	2.11	0.0292
64005	Myosin IG	MYO1G	1.08	2.11	0.000267
4784	Nuclear factor I/X (CCAAT-binding transcription factor)	NFIX	1.08	2.11	0.000829
8608	Retinol dehydrogenase 16 (all-trans)	RDH16	1.08	2.11	0.0381
2947	Glutathione S-transferase M3 (brain)	GSTM3	1.07	2.1	0.00154
187	Apelin receptor	APLNR	1.07	2.09	0.00322
7341	SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae)	SUMO1	1.06	2.09	0.00269
3691	Integrin, beta 4	ITGB4	1.06	2.09	0.0000917
23647	ADP-ribosylation factor interacting protein 2 (arfaptin 2)	ARFIP2	1.06	2.09	0.00193
9214	Fas apoptotic inhibitory molecule 3	FAIM3	1.06	2.09	0.00146
91689	Chromosome 22 open reading frame 32	C22orf32	1.06	2.08	0.0221
59286	Ubiquitin-like 5	UBL5	1.06	2.08	0.073
4528	Mitochondrial translational initiation factor 2	MTIF2	1.06	2.08	0.00334
203	Adenylate kinase 1	AK1	1.06	2.08	0.0253
7512	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound	XPNPEP2	1.05	2.08	0.00129
23549	Aspartyl aminopeptidase	DNPEP	1.05	2.07	0.00152
4948	Oculocutaneous albinism II	OCA2	1.05	2.07	0.00267
54681	Hypoxia-inducible factor prolyl 4-hydroxylase	PH-4	1.05	2.07	0.000302
405	Aryl hydrocarbon receptor nuclear translocator	ARNT	1.05	2.07	0.0323
252839	Transmembrane protein 9	TMEM9	1.05	2.06	0.0213
146	adrenoceptor alpha 1D	ADRA1D	1.05	2.06	0.0485
63877	Chromosome 10 open reading frame 84	C10orf84	1.04	2.06	0.0103
163059	Zinc finger protein 433	ZNF433	1.04	2.06	0.0107
1298	Collagen, type IX, alpha 2	COL9A2	1.04	2.06	0.000109
3785	In multiple clusters		1.04	2.06	0.00997
3669	Interferon stimulated exonuclease gene 20kDa	ISG20	1.04	2.06	0.0236
9123	Solute carrier family 16, member 3 (monocarboxylic acid transporter 4)	SLC16A3	1.04	2.06	0.00193
2213	In multiple clusters		1.04	2.05	0.0248
23640	Hsp70-interacting protein	HSPBP1	1.04	2.05	0.00719
100	Adenosine deaminase	ADA	1.04	2.05	0.0302
1277	In multiple clusters		1.03	2.05	0.000133
1503	CTP synthase	CTPS	1.03	2.04	0.0425
6015	Ring finger protein 1	RING1	1.03	2.04	0.00502
51604	Phosphatidylinositol glycan anchor biosynthesis, class T	PIGT	1.03	2.04	0.00119
27237	Rho guanine exchange factor (GEF) 16	ARHGEF16	1.03	2.04	0.000423
51230	PHD finger protein 20	PHF20	1.03	2.04	0.0509
11328	FK506 binding protein 9, 63 kDa	FKBP9	1.03	2.04	0.191
54913	Ribonuclease P/MRP 25kDa subunit	RPP25	1.02	2.03	0.00992
10440	Translocase of inner mitochondrial membrane 17 homolog A (yeast)	TIMM17A	1.02	2.03	0.0423
23175	Lipin 1	LPIN1	1.02	2.03	0.000343
29960	FtsJ homolog 2 (E. coli)	FTSJ2	1.02	2.03	0.00179
7409	Vav 1 guanine nucleotide exchange factor	VAV1	1.02	2.02	0.0145
26608	Transducin (beta)-like 2	TBL2	1.02	2.02	0.0327
3155	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	HMGCL	1.02	2.02	0.0143
2992	Glycogenin 1	GYG1	1.02	2.02	0.00016
6470	In multiple clusters		1.02	2.02	0.0093
200316	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F	APOBEC3F	1.02	2.02	0.003
805	Calmodulin 2 (phosphorylase kinase, delta)	CALM2	1.02	2.02	0.0157
126129	Carnitine palmitoyltransferase 1C	CPT1C	1.01	2.02	0.00206
1290	Collagen, type V, alpha 2	COL5A2	1.01	2.02	0.0146
5630	Peripherin	PRPH	1.01	2.01	0.0324
1123	Chimerin (chimaerin) 1	CHN1	1.01	2.01	0.00199
1781	Dynein, cytoplasmic 1, intermediate chain 2	DYNC1I2	1	2	0.000803
65010	In multiple clusters		1	2	0.00183
390	Rho family GTPase 3	RND3	1	2	0.0475
84259	DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)	DCUN1D5	1	2	0.0344
2335	Fibronectin 1	FN1	1	2	0.0262
8446	Dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)	DUSP11	1	2	0.0152
10398	Myosin, light chain 9, regulatory	MYL9	1	2	0.0104
85315	Progestin and adipoQ receptor family member VIII	PAQR8	1	1.99	0.0222
27289	Rho family GTPase 1	RND1	1	1.99	0.0376
23511	Nucleoporin 188kDa	NUP188	1	1.99	0.0348
90990	Kinesin family member C2	KIFC2	1	1.99	0.00715
427	N-acylsphingosine amidohydrolase (acid ceramidase) 1	ASAH1	1	1.99	0.0153
84256	FLYWCH-type zinc finger 1	FLYWCH1	0.99	1.99	0.00386
10026	Phosphatidylinositol glycan anchor biosynthesis, class K	PIGK	0.99	1.99	0.0154
5927	Jumonji, AT rich interactive domain 1A	JARID1A	0.99	1.99	0.0356
291	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	SLC25A4	0.99	1.99	0.0224
390	Rho family GTPase 3	RND3	0.99	1.99	0.0234
7431	Vimentin	VIM	0.99	1.98	0.00833
23024	PDZ domain containing RING finger 3	PDZRN3	0.99	1.98	0.000337
10079	ATPase, class II, type 9A	ATP9A	0.99	1.98	0.00124
2035	Erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	EPB41	0.99	1.98	0.00926
6346	Chemokine (C-C motif) ligand 1	CCL1	0.99	1.98	0.0406
5295	Phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	PIK3R1	0.99	1.98	0.059
5045	Furin (paired basic amino acid cleaving enzyme)	FURIN	0.98	1.98	0.0138
2339	Farnesyltransferase, CAAX box, alpha	FNTA	0.98	1.98	0.0151
10284	Sin3A-associated protein, 18kDa	SAP18	0.98	1.97	0.0383
320	Amyloid beta (A4) precursor protein-binding, family A, member 1 (X11)	APBA1	0.98	1.97	0.00844
80256	KIAA1539	KIAA1539	0.98	1.97	0.00126
2170	Fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	FABP3	0.98	1.97	0.00286
26354	Guanine nucleotide binding protein-like 3 (nucleolar)	GNL3	0.97	1.96	0.113
11235	Programmed cell death 10	PDCD10	0.97	1.96	0.000498
1020	Cyclin-dependent kinase 5	CDK5	0.97	1.96	0.0259
23207	Pleckstrin homology domain containing, family M (with RUN domain) member 2	PLEKHM2	0.97	1.96	0.00534
10232	Mesothelin	MSLN	0.97	1.96	0.0537
847	Catalase	CAT	0.97	1.96	0.0364
9747	Family with sequence similarity 115, member A	FAM115A	0.97	1.96	0.00134
84861	Kelch-like 22 (Drosophila)	KLHL22	0.97	1.95	0.00133
113263	Glucocorticoid induced transcript 1	GLCCI1	0.97	1.95	0.0705
56270	WDR45-like	WDR45L	0.97	1.95	0.00127
124402	Family with sequence similarity 100, member A	FAM100A	0.96	1.95	0.0123
1901	Sphingosine-1-phosphate receptor 1	S1PR1	0.96	1.95	0.0026
79096	Chromosome 11 open reading frame 49	C11orf49	0.96	1.95	0.00513
9276	Coatomer protein complex, subunit beta 2 (beta prime)	COPB2	0.96	1.95	0.0164
1915	In multiple clusters		0.96	1.94	0.0018
4697	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa	NDUFA4	0.96	1.94	0.000452
10728	Prostaglandin E synthase 3 (cytosolic)	PTGES3	0.96	1.94	0.00741
84894	Leucine rich repeat and Ig domain containing 1	LINGO1	0.96	1.94	0.00598
2173	Fatty acid binding protein 7, brain	FABP7	0.95	1.94	0.000126
6595	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	SMARCA2	0.95	1.94	0.00038
1066	Carboxylesterase 1 (monocyte/macrophage serine esterase 1)	CES1	0.95	1.94	0.0149
7416	Voltage-dependent anion channel 1	VDAC1	0.95	1.93	0.000363
5055	Serpin peptidase inhibitor, clade B (ovalbumin), member 2	SERPINB2	0.95	1.93	0.00095
51592	Tripartite motif-containing 33	TRIM33	0.95	1.93	0.0243
26086	G-protein signaling modulator 1 (AGS3-like, C. elegans)	GPSM1	0.95	1.93	0.00809
9002	Coagulation factor II (thrombin) receptor-like 3	F2RL3	0.95	1.93	0.000425
442578	Stromal antigen 3-like 3	STAG3L3	0.95	1.93	0.00896
131583	Family with sequence similarity 43, member A	FAM43A	0.95	1.93	0.0147
54498	Spermine oxidase	SMOX	0.94	1.93	0.00187
55929	DNA methyltransferase 1 associated protein 1	DMAP1	0.94	1.92	0.0019
6415	Selenoprotein W, 1	SEPW1	0.94	1.92	0.0175
7005	TEA domain family member 3	TEAD3	0.94	1.92	0.0175
84939	Melanoma associated antigen (mutated) 1	MUM1	0.94	1.92	0.0167
64219	Praja 1	PJA1	0.94	1.92	0.0209
9526	Mannose-P-dolichol utilization defect 1	MPDU1	0.94	1.92	0.00182
148304	Chromosome 1 open reading frame 74	C1orf74	0.94	1.92	0.000744
23162	Mitogen-activated protein kinase 8 interacting protein 3	MAPK8IP3	0.94	1.92	0.00101
6443	Sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	SGCB	0.94	1.92	0.00207
800	Caldesmon 1	CALD1	0.94	1.92	0.00208
51529	APC11 anaphase promoting complex subunit 11 homolog (yeast)	ANAPC11	0.94	1.91	0.0257
4724	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)	NDUFS4	0.94	1.91	0.00013
64112	Modulator of apoptosis 1	MOAP1	0.94	1.91	0.00157
51700	Cytochrome b5 reductase 2	CYB5R2	0.94	1.91	0.0506
3005	H1 histone family, member 0	H1F0	0.93	1.91	0.000657
64432	Mitochondrial ribosomal protein S25	MRPS25	0.93	1.91	0.00744
998	Cell division cycle 42 (GTP binding protein, 25kDa)	CDC42	0.93	1.91	0.00316
65258	Metallophosphoesterase 1	MPPE1	0.93	1.91	0.0138
6895	TAR (HIV-1) RNA binding protein 2	TARBP2	0.93	1.91	0.0025
55379	Leucine rich repeat containing 59	LRRC59	0.93	1.91	0.00327
3242	4-hydroxyphenylpyruvate dioxygenase	HPD	0.93	1.9	0.00987
3486	In multiple clusters		0.93	1.9	0.00112
4172	Minichromosome maintenance complex component 3	MCM3	0.93	1.9	0.000487
9404	Leupaxin	LPXN	0.92	1.9	0.016
3620	Indoleamine-pyrrole 2,3 dioxygenase	INDO	0.92	1.9	0.000193
2766	Guanosine monophosphate reductase	GMPR	0.92	1.9	0.0614
2170	Fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	FABP3	0.92	1.9	0.000907
23209	Megalencephalic leukoencephalopathy with subcortical cysts 1	MLC1	0.92	1.89	0.0151
4843	Nitric oxide synthase 2A (inducible, hepatocytes)	NOS2A	0.92	1.89	0.0308
153527	Zinc finger, matrin type 2	ZMAT2	0.92	1.89	0.00125
390	Rho family GTPase 3	RND3	0.92	1.89	0.0172
6134	Ribosomal protein L10	RPL10	0.92	1.89	0.000655
4947	Ornithine decarboxylase antizyme 2	OAZ2	0.92	1.89	0.000687
10534	Sjogren syndrome/scleroderma autoantigen 1	SSSCA1	0.92	1.89	0.0333
4673	In multiple clusters		0.91	1.88	0.00718
60676	Pappalysin 2	PAPPA2	0.91	1.88	0.000144
55658	Ring finger protein 126	RNF126	0.91	1.88	0.0289
3840	Karyopherin alpha 4 (importin alpha 3)	KPNA4	0.91	1.88	0.0105
567	Beta-2-microglobulin	B2M	0.91	1.88	0.027
10634	Growth arrest-specific 2 like 1	GAS2L1	0.91	1.87	0.00184
7072	TIA1 cytotoxic granule-associated RNA binding protein	TIA1	0.91	1.87	0.00388
829	Capping protein (actin filament) muscle Z-line, alpha 1	CAPZA1	0.91	1.87	0.037
4957	Outer dense fiber of sperm tails 2	ODF2	0.9	1.87	0.0473
383	Arginase, liver	ARG1	0.9	1.87	0.00316
4784	Nuclear factor I/X (CCAAT-binding transcription factor)	NFIX	0.9	1.87	0.000533
1488	C-terminal binding protein 2	CTBP2	0.9	1.87	0.00217
3554	Interleukin 1 receptor, type I	IL1R1	0.9	1.87	0.000167
2180	Acyl-CoA synthetase long-chain family member 1	ACSL1	0.9	1.87	0.0131
