Probe Set ID	Gene Symbol	Gene Title	Change in Average Signal Intensity
212009_s_at	STIP1	stress-induced-phosphoprotein 1	1.302
212259_s_at	PBXIP1	pre-B-cell leukemia homeobox interacting protein 1	0.177
212501_at	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	0.64
212830_at	MEGF9	multiple EGF-like-domains 9	0.137
213490_s_at	MAP2K2	mitogen-activated protein kinase kinase 2	0.485
213620_s_at	ICAM2	intercellular adhesion molecule 2	0.049
215569_at	GTF2IRD2 /// GTF2IRD2B	GTF2I repeat domain containing 2 /// GTF2I repeat domain containing 2B	0.211
215984_s_at	ARFRP1	ADP-ribosylation factor related protein 1	0.623
217028_at	CXCR4	chemokine (C-X-C motif) receptor 4	0.11
217445_s_at	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	0.508
217489_s_at	IL6R	interleukin 6 receptor	0.242
217822_at	WBP11	WW domain binding protein 11	0.2
218881_s_at	FOSL2	FOS-like antigen 2	0.267
218936_s_at	CCDC59	coiled-coil domain containing 59	0.052
219382_at	SERTAD3	SERTA domain containing 3	0.674
219810_at	VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1	0.246
220589_s_at	ITFG2	integrin alpha FG-GAP repeat containing 2	0.281
221060_s_at	TLR4	toll-like receptor 4	1.278
221563_at	DUSP10	dual specificity phosphatase 10	0.361
222263_at	SLC35E1	solute carrier family 35, member E1	0.286
222617_s_at	C10orf84	chromosome 10 open reading frame 84	0.147
222815_at	RLIM	ring finger protein, LIM domain interacting	0.425
223464_at	OSBPL5	oxysterol binding protein-like 5	0.025
224414_s_at	CARD6	caspase recruitment domain family, member 6	0.269
225198_at	VAPA	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa	0.33
226952_at	EAF1	ELL associated factor 1	0.242
227392_at	NISCH	nischarin	0.121
227624_at	TET2	tet oncogene family member 2	0.212
228181_at	SLC30A1	solute carrier family 30 (zinc transporter), member 1	0.291
228497_at	SLC22A15	solute carrier family 22, member 15	0.224
228785_at	ZNF281	Zinc finger protein 281	0.144
228830_s_at	ATF7	activating transcription factor 7	0.086
230652_at	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog	0.134
238509_at	CUL1	Cullin 1	0.191
240126_x_at	---	---	0.061
242288_s_at	EMILIN2	elastin microfibril interfacer 2	0.715
244103_at	C1orf55	chromosome 1 open reading frame 55	0.22
37028_at	PPP1R15A	protein phosphatase 1, regulatory (inhibitor) subunit 15A	0.446
