Probe ID	Gene ID	Definition	Control	Ino-C2-PAF	Glc-PAF	Edelfosine
A_32_P83845	HEY1	Hairy/enhancer-of-split related with YRPW motif 1	40	152	117	162
A_23_P42306	HLA-DMA	MHC, class II, DM alpha	826	370	524	505
A_24_P50245	HLA-DMA	MHC, class II, DM alpha	767	339	471	456
A_32_P351968	HLA-DMB	MHC, class II, DM beta	516	103	217	311
A_24_P354800	HLA-DOA	MHC, class II, DO alpha	584	273	362	380
A_23_P30913	HLA-DPA1	MHC, class II, DP alpha 1	399	136	233	271
A_23_P258769	HLA-DPB1	MHC, class II, DP beta 1	186	50	100	138
A_24_P166443	HLA-DPB1	MHC, class II, DP beta 1	396	169	252	300
A_24_P196827	HLA-DQA1	MHC, class II, DQ alpha 1	24	8	13	19
A_24_P326084	HLA-DQA1	MHC, class II, DQ alpha 1	148	39	82	100
A_32_P87697	HLA-DRA	MHC, class II, DR alpha	809	241	421	510
A_24_P343233	HLA-DRB1	MHC, class II, DR beta 1	2811	1000	1534	1866
A_23_P145336	HLA-DRB3	MHC, class II, DR beta 3	462	146	251	299
A_24_P402222	HLA-DRB3	MHC, class II, DR beta 3	841	305	477	624
A_24_P370472	HLA-DRB4	MHC, class II, DR beta 4	611	218	343	414
A_23_P31006	HLA-DRB5	MHC, class II, DR beta 5	2251	699	1220	1531
A_23_P45099	HLA-DRB5	MHC, class II, DR beta 5	1295	400	660	809
A_23_P215634	IGFBP3	Insulin-like growth factor binding protein 3	7795	1360	2307	3212
A_24_P320699	IGFBP3	Insulin-like growth factor binding protein 3	720	148	227	341
A_23_P79518	IL1B	Interleukin 1, beta	876	1712	1341	3248
A_24_P227927	IL21R	Interleukin 21 receptor	183	2257	1710	902
A_23_P15146	IL32	Interleukin 32	310	144	185	263
A_32_P87013	IL8	Interleukin 8	29	9	12	27
A_24_P228149	KRT13	Keratin 13	20 139	5920	9565	9361
A_23_P27133	KRT15	Keratin 15	263 272	124 896	179 153	149 286
A_23_P101054	KRT34	Keratin 34	3	22	10	25
A_23_P2674	KRT4	Keratin 4	4300	476	863	1021
A_24_P666035	KRT77	Keratin 77	54	13	20	33
A_23_P38876	LIPE	Lipase, hormone-sensitive	1240	2874	2648	2130
A_24_P162211	LSS	Lanosterol synthase	197	617	549	259
A_24_P384839	LSS	Lanosterol synthase	11 522	23 109	20 082	13 584
A_23_P211252	LSS	Lanosterol synthase	285	897	770	389
A_24_P110799	LSS	Lanosterol synthase	5802	11 856	10 348	6670
A_23_P1691	MMP1	Matrix metallopeptidase 1 (interstitial collagenase)	1567	521	700	1324
A_23_P13094	MMP10	Matrix metallopeptidase 10 (stromelysin 2)	947	411	460	569
A_23_P340698	MMP12	Matrix metallopeptidase 12 (macrophage elastase)	274	52	86	118
A_23_P52761	MMP7	Matrix metallopeptidase 7 (matrilysin, uterine)	3052	978	1291	1911
A_23_P40174	MMP9	Matrix metallopeptidase 9 (gelatinase B)	188	193	165	675
A_23_P160920	PDZK1IP1	PDZK1 interacting protein 1	1415	299	558	888
A_23_P394304	PDZK1IP1	PDZK1 interacting protein 1	665	145	261	428
A_23_P210465	PI3	Peptidase inhibitor 3, skin-derived	1091	261	325	925
A_23_P140807	PSMB10	Proteasome (prosome, macropain) subunit, beta type, 10	27 000	12 109	15 680	15 517
A_23_P111000	PSMB9	Proteasome (prosome, macropain) subunit, beta type, 9	16 315	7273	9437	9821
A_23_P54709	RAB26	RAB26, member RAS oncogene family	1029	468	669	371
A_23_P103310	S100A7	S100 calcium binding protein A7	831	178	320	551
A_23_P434809	S100A8	S100 calcium binding protein A8	1813	527	1097	1545
A_23_P23048	S100A9	S100 calcium binding protein A9	354	99	178	297
A_23_P63618	SCD	Stearoyl-CoA desaturase (d-9-desaturase)	3354	11 857	8642	6791
A_24_P626920	SCD	Stearoyl-CoA desaturase (d-9-desaturase)	410	936	794	614
A_23_P162918	SERPINA3	Serpin peptidase inhibitor, clade A member 3	636	239	289	547
A_23_P2920	SERPINA3	Serpin peptidase inhibitor, clade A member 3	2103	807	983	1790
A_23_P214330	SERPINB1	Serpin peptidase inhibitor, clade B (ovalbumin), member 1	11 890	5410	5997	9900
A_24_P158089	SERPINE1	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	16	29	19	61
A_23_P50919	SERPINE2	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	16	55	58	75
A_23_P348208	SPRR1A	Small proline-rich protein 1A	2231	3368	2560	3655
A_23_P74012	SPRR1A	Small proline-rich protein 1A	1709	7114	3821	7400
A_23_P11644	SPRR2D	Small proline-rich protein 2D	84	207	66	191
A_23_P65618	TGM1	Transglutaminase 1	4950	2234	2726	3985
A_23_P29922	TLR3	Toll-like receptor 3	335	147	192	166
A_23_P85903	TLR5	Toll-like receptor 5	48	19	30	35
A_23_P18751	TMPRSS11E	Transmembrane protease, serine 11E	48	11	17	19
A_23_P421423	TNFAIP2	Tumor necrosis factor, a-induced protein 2	76 186	16 723	28 433	31 759
A_23_P93973	TRPV5	Transient receptor potential cation channel, subfamily V, member 5	227	84	100	105
A_23_P36531	TSPAN8	Tetraspanin 8	58	15	21	12
A_23_P70398	VEGFA	Vascular endothelial growth factor A	240	550	484	571
A_24_P12401	VEGFA	Vascular endothelial growth factor A	223	500	412	466
A_24_P179400	VEGFA	Vascular endothelial growth factor A	69	163	141	174
