Symbol	Name	ProbeId	Pup:Log2FC	Pup:adj_p-value
Gal3st4	galactose-3-O-sulfotransferase 4	A_52_P1174	Pup:2.5572681942537	Pup:0.034929092127232
Cpe	carboxypeptidase E	A_51_P246001	Pup:2.5361722894856	Pup:0.000118648075764508
Cysltr2	cysteinyl leukotriene receptor 2	A_51_P132013	Pup:2.51624448119433	Pup:2.03935175101719e-07
Rnf180	ring finger protein 180	A_51_P215530	Pup:2.50946064705765	Pup:0.0212833274622299
Ntm	neurotrimin	A_51_P272993	Pup:2.48855414732452	Pup:0.0160907473653089
Hrh1	histamine receptor H1	A_52_P295712	Pup:2.47704189858146	Pup:0.0137435287333524
Gabra4	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4	A_51_P393124	Pup:2.46525293379691	Pup:0.00995196858177814
Ppapdc1a	phosphatidic acid phosphatase type 2 domain containing 1A	A_52_P58814	Pup:2.46381659777483	Pup:3.90475774300943e-05
Meig1	meiosis expressed gene 1	A_51_P480390	Pup:2.45499090550826	Pup:0.0429518733613953
Gm2824	predicted gene 2824	A_52_P241834	Pup:2.45003310396329	Pup:9.59729164103947e-06
Mro	maestro	A_52_P186686	Pup:2.43983935642104	Pup:0.0216015704308047
Spdef	SAM pointed domain containing ets transcription factor	A_51_P421790	Pup:2.43531484276915	Pup:1.09967671183819e-06
Fth1	ferritin heavy chain 1	A_52_P49601	Pup:2.42604704083972	Pup:3.02831026412266e-06
Mylk4	myosin light chain kinase family, member 4	A_52_P1011632	Pup:2.40856871364104	Pup:0.00388930771083567
Slc30a10	solute carrier family 30, member 10	A_51_P173445	Pup:2.39895807695548	Pup:0.0033058520204739
Atp13a4	ATPase type 13A4	A_51_P323195	Pup:2.3562733887094	Pup:0.00141346433840556
Madcam1	mucosal vascular addressin cell adhesion molecule 1	A_51_P517745	Pup:2.33005148952013	Pup:4.83007587416634e-11
Cacng5	calcium channel, voltage-dependent, gamma subunit 5	A_52_P86353	Pup:2.31053629590101	Pup:0.000607863348374603
Fap	fibroblast activation protein	A_51_P394210	Pup:2.28947612090172	Pup:0.0286481430366307
Nkx2-2	NK2 transcription factor related, locus 2 (Drosophila)	A_51_P197718	Pup:2.26747199095688	Pup:2.22939733316178e-05
Dscam	Down syndrome cell adhesion molecule	A_51_P189943	Pup:2.26336103515258	Pup:0.0195198762722318
Slc39a12	solute carrier family 39 (zinc transporter), member 12	A_52_P432963	Pup:2.19258975981194	Pup:0.00973074104773847
Tepp	testis, prostate and placenta expressed	A_51_P450682	Pup:2.18089939978744	Pup:3.15778763809991e-08
Mlph	melanophilin	A_51_P272323	Pup:2.18035132421409	Pup:0.0012331896275728
3300002I08Rik	RIKEN cDNA 3300002I08 gene	A_51_P147215	Pup:2.1639305503832	Pup:0.0111421762899476
Arhgef4	Rho guanine nucleotide exchange factor (GEF) 4	A_51_P260504	Pup:2.15546550696231	Pup:0.00115027013420869
Tm7sf2	transmembrane 7 superfamily member 2	A_52_P35064	Pup:2.15294984331982	Pup:1.43321668228605e-05
Abhd3	abhydrolase domain containing 3	A_51_P265465	Pup:2.15192541696876	Pup:0.00472187970715535
Rpap3	RNA polymerase II associated protein 3	A_51_P354154	Pup:2.14419643673918	Pup:3.5945126479033e-13
Mfsd9	major facilitator superfamily domain containing 9	A_52_P90507	Pup:2.14326955089577	Pup:5.14515065419151e-05
Cngb1	cyclic nucleotide gated channel beta 1	A_52_P359026	Pup:2.14028085256327	Pup:0.0211765950787115
Cgnl1	cingulin-like 1	A_51_P179523	Pup:2.12981984487755	Pup:0.0349960254536507
Nrxn1	neurexin I	A_52_P121342	Pup:2.12046021521624	Pup:0.0153065210634755
Lipc	lipase, hepatic	A_51_P263993	Pup:2.11038364015201	Pup:0.00170230675048067
Entpd2	ectonucleoside triphosphate diphosphohydrolase 2	A_51_P112932	Pup:2.1069046361044	Pup:0.00674589260875222
Col4a3	collagen, type IV, alpha 3	A_51_P296535	Pup:2.0987704780901	Pup:0.00215867451548973
Aqp4	aquaporin 4	A_52_P25710	Pup:2.08891035100259	Pup:5.81742519744224e-05
S1pr3	sphingosine-1-phosphate receptor 3	A_52_P502577	Pup:2.07611213920575	Pup:4.54387716019062e-08
Galc	galactosylceramidase	A_52_P174421	Pup:2.05888482529651	Pup:0.002551731318338
Cdh11	cadherin 11	A_52_P437795	Pup:2.03460152347243	Pup:0.0117323009889548
Crybb1	crystallin, beta B1	A_51_P334063	Pup:1.96532885539278	Pup:0.00012053343543021
Dlgap1	discs, large (Drosophila) homolog-associated protein 1	A_51_P520650	Pup:1.94181548385224	Pup:0.0141028801979075
Arhgap42	Rho GTPase activating protein 42	A_51_P267904	Pup:1.94117147375019	Pup:0.00112491232812241
Trove2	TROVE domain family, member 2	A_51_P226184	Pup:1.93497274948758	Pup:0.00634173186141455
Omd	osteomodulin	A_51_P342926	Pup:1.93496939301031	Pup:0.000866405767142096
Cxcl14	chemokine (C-X-C motif) ligand 14	A_51_P209183	Pup:1.93461904669311	Pup:0.00248823729625311
Rnd1	Rho family GTPase 1	A_52_P947137	Pup:1.91568469774722	Pup:0.0250603741399468
Inca1	inhibitor of CDK, cyclin A1 interacting protein 1	A_52_P320279	Pup:1.91295814930416	Pup:0.00402213746980314
Slc13a4	solute carrier family 13 (sodium/sulfate symporters), member 4	A_51_P514319	Pup:1.9115251924769	Pup:0.00417291017401356
Alx4	aristaless-like homeobox 4	A_52_P522640	Pup:1.89949791305939	Pup:0.00393247547126815
Cep97	centrosomal protein 97	A_52_P357181	Pup:1.89835015679627	Pup:0.000164245172484722
Tmod4	tropomodulin 4	A_51_P258829	Pup:1.89295250013816	Pup:0.00196881655436196
Dnajc10	DnaJ (Hsp40) homolog, subfamily C, member 10	A_52_P402577	Pup:1.88603203281713	Pup:0.0305789247997167
Spata19	spermatogenesis associated 19	A_51_P301007	Pup:1.87741302781189	Pup:5.39446068376353e-06
Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	A_51_P328850	Pup:1.86152053940195	Pup:0.011189599473702
Atl2	atlastin GTPase 2	A_51_P316993	Pup:1.85299158061285	Pup:1.20954988034493e-06
Polr3g	polymerase (RNA) III (DNA directed) polypeptide G	A_51_P410949	Pup:1.84617305074302	Pup:0.000838297749550224
Prr5	proline rich 5 (renal)	A_52_P145482	Pup:1.83281254390245	Pup:0.00861074680755225
Olfr1176	olfactory receptor 1176	A_51_P134785	Pup:1.82914294051892	Pup:0.000532269472737568
Trpc3	transient receptor potential cation channel, subfamily C, member 3	A_51_P317695	Pup:1.82714757093204	Pup:0.000222685536107506
Mapkbp1	mitogen-activated protein kinase binding protein 1	A_52_P424000	Pup:1.81765614750313	Pup:0.0122726784717053
Gm15506	predicted gene 15506	A_51_P247385	Pup:1.81709367531126	Pup:0.0157057457003726
6030419C18Rik	RIKEN cDNA 6030419C18 gene	A_52_P622244	Pup:1.81172900249207	Pup:0.0151018476057139
Ereg	epiregulin	A_51_P171215	Pup:1.81148267527045	Pup:0.0026541921109699
Abhd6	abhydrolase domain containing 6	A_52_P496497	Pup:1.80499026880884	Pup:1.62456092150068e-06
Fam154b	family with sequence similarity 154, member B	A_52_P539343	Pup:1.79842178032684	Pup:0.00952536017765145
Rab12	RAB12, member RAS oncogene family	A_51_P318012	Pup:1.7959812725488	Pup:0.00384906093746299
Lrig1	leucine-rich repeats and immunoglobulin-like domains 1	A_51_P116137	Pup:1.79487254982552	Pup:3.15666844303855e-05
Slc16a6	solute carrier family 16 (monocarboxylic acid transporters), member 6	A_51_P432180	Pup:1.79178069287277	Pup:0.000236230882346077
Ammecr1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1 homolog (human)	A_52_P995985	Pup:1.783269769013	Pup:0.0134901888462519
Defb11	defensin beta 11	A_51_P317254	Pup:1.77931371100003	Pup:0.0049669874192345
Slc16a12	solute carrier family 16 (monocarboxylic acid transporters), member 12	A_51_P221031	Pup:1.77478997841149	Pup:0.0134901888462519
Nudt12	nudix (nucleoside diphosphate linked moiety X)-type motif 12	A_51_P136441	Pup:1.77394206968764	Pup:0.0432154568612289
Fam115c	family with sequence similarity 115, member C	A_51_P432794	Pup:1.76020425230496	Pup:0.014849917381638
Igsf1	immunoglobulin superfamily, member 1	A_51_P366157	Pup:1.75266944365811	Pup:0.00339674215711373
Sfxn5	sideroflexin 5	A_51_P234864	Pup:1.73325158667144	Pup:0.00293712183330196
Pla2g12a	phospholipase A2, group XIIA	A_52_P87964	Pup:1.72673710821663	Pup:6.29311683929678e-05
Catsper2	cation channel, sperm associated 2	A_51_P471830	Pup:1.72565019282034	Pup:0.0105920225914745
Atpaf2	ATP synthase mitochondrial F1 complex assembly factor 2	A_52_P336268	Pup:1.71863769330696	Pup:5.66118237997227e-09
Mmab	methylmalonic aciduria (cobalamin deficiency) type B homolog (human)	A_51_P157976	Pup:1.71260207599209	Pup:5.49038649525185e-06
Zfp661	zinc finger protein 661	A_51_P105869	Pup:1.71047182178476	Pup:0.0044645948697824
Olfr283	olfactory receptor 283	A_52_P192369	Pup:1.70098858524919	Pup:0.00298861357199339
Ormdl3	ORM1-like 3 (S. cerevisiae)	A_51_P221460	Pup:1.69370107830358	Pup:0.000716648099142831
Scd2	stearoyl-Coenzyme A desaturase 2	A_51_P129464	Pup:1.69284144095175	Pup:2.73072790388443e-06
Smoc2	SPARC related modular calcium binding 2	A_52_P646762	Pup:1.67193017889614	Pup:0.00813124961897905
Sh3glb1	SH3-domain GRB2-like B1 (endophilin)	A_51_P223315	Pup:1.65773559787103	Pup:0.045441683754566
Cabp1	calcium binding protein 1	A_51_P386142	Pup:1.65730219003876	Pup:1.42349968967551e-07
AU021034	expressed sequence AU021034	A_51_P282940	Pup:1.65409218792631	Pup:0.00769445952417144
Bche	butyrylcholinesterase	A_52_P639223	Pup:1.65325034284899	Pup:0.0121493274125173
Pik3cg	phosphoinositide-3-kinase, catalytic, gamma polypeptide	A_51_P507832	Pup:1.64352162794666	Pup:7.07280337544508e-06
Myo1e	myosin IE	A_52_P149766	Pup:1.64304806451663	Pup:0.0117233042978687
Eya1	eyes absent 1 homolog (Drosophila)	A_52_P36315	Pup:1.63948080492356	Pup:0.0382956691296204
Egfr	epidermal growth factor receptor	A_52_P175190	Pup:1.63835904719146	Pup:0.039743057470365
Npas1	neuronal PAS domain protein 1	A_51_P442993	Pup:1.63755268102857	Pup:0.000685572493899845
Psmd11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	A_52_P447834	Pup:1.6248875575141	Pup:0.00554383595615124
Snrpn	small nuclear ribonucleoprotein N	A_52_P354390	Pup:1.6160879023169	Pup:0.00420216439658934
Slc6a11	solute carrier family 6 (neurotransmitter transporter, GABA), member 11	A_51_P271311	Pup:1.61175333725387	Pup:0.006010265758813
Clcn5	chloride channel 5	A_51_P506236	Pup:1.60919168616842	Pup:0.00582187024308236
Gtpbp4	GTP binding protein 4	A_52_P670725	Pup:1.60783206395272	Pup:0.0264890478435582
Pdyn	prodynorphin	A_52_P586928	Pup:1.60735533176558	Pup:0.000112455312706786
Lrtm2	leucine-rich repeats and transmembrane domains 2	A_51_P129694	Pup:1.60671785550494	Pup:2.03551204463898e-05
Slc22a17	solute carrier family 22 (organic cation transporter), member 17	A_51_P111907	Pup:1.59776674844992	Pup:7.64379645756675e-05
Slc11a2	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	A_51_P388737	Pup:1.58344166217507	Pup:6.99378120141766e-06
Tbc1d4	TBC1 domain family, member 4	A_52_P480519	Pup:1.57279292758287	Pup:0.0483012542272129
Zfp3	zinc finger protein 3	A_52_P613643	Pup:1.56920880141443	Pup:6.84546972001708e-05
Cst6	cystatin E/M	A_52_P59206	Pup:1.56148291013872	Pup:0.000875725795140366
Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	A_51_P312175	Pup:1.55938751213719	Pup:0.00276641655047105
A830005F24Rik	RIKEN cDNA A830005F24 gene	A_52_P295755	Pup:1.55775960314693	Pup:0.00232418069876692
Mdga2	MAM domain containing glycosylphosphatidylinositol anchor 2	A_52_P498690	Pup:1.55229622641983	Pup:0.00243655685184399
Baiap3	BAI1-associated protein 3	A_51_P356045	Pup:1.55110717247022	Pup:0.033448809786815
Ldhb	lactate dehydrogenase B	A_51_P409173	Pup:1.55015979586519	Pup:0.00882086739306929
Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	A_51_P463440	Pup:1.54378714105263	Pup:0.000676604608819263
Col9a2	collagen, type IX, alpha 2	A_51_P401504	Pup:1.53504082080988	Pup:1.39940782127295e-08
Fjx1	four jointed box 1 (Drosophila)	A_51_P355589	Pup:1.53452061427986	Pup:0.0242313926148679
1700026D08Rik	RIKEN cDNA 1700026D08 gene	A_51_P160536	Pup:1.52660869780739	Pup:0.0484949163319196
Srsf13b	serine/arginine-rich splicing factor 13B	A_51_P230347	Pup:1.52598552566337	Pup:0.00279604930890842
Macrod2	MACRO domain containing 2	A_52_P195955	Pup:1.52132764936712	Pup:0.0105247984997094
Rdh10	retinol dehydrogenase 10 (all-trans)	A_52_P421234	Pup:1.50821481777876	Pup:3.39248539628341e-05
A430035B10Rik	RIKEN cDNA A430035B10 gene	A_52_P467519	Pup:1.50520780833893	Pup:0.0240874557953613
Ctla2a	cytotoxic T lymphocyte-associated protein 2 alpha	A_51_P180747	Pup:1.50376748167312	Pup:3.795325904665e-07
Cyp2d22	cytochrome P450, family 2, subfamily d, polypeptide 22	A_52_P49391	Pup:1.49132047703316	Pup:0.0217280277308952
Hspa2	heat shock protein 2	A_52_P176391	Pup:1.47094916951598	Pup:0.00103122495712996
Tnfaip8l1	tumor necrosis factor, alpha-induced protein 8-like 1	A_52_P151320	Pup:1.4689147142535	Pup:2.26995703181344e-06
Myoc	myocilin	A_51_P375558	Pup:1.46859046877343	Pup:0.00060764455862891
Gigyf2	GRB10 interacting GYF protein 2	A_52_P662036	Pup:1.46725658470186	Pup:0.0367373047160488
Mfsd6l	major facilitator superfamily domain containing 6-like	A_51_P475938	Pup:1.45676700716702	Pup:0.0444447422262932
1700034H15Rik	RIKEN cDNA 1700034H15 gene	A_52_P582318	Pup:1.45566865095565	Pup:0.00371465046421316
4933439F18Rik	RIKEN cDNA 4933439F18 gene	A_51_P511745	Pup:1.45372306062611	Pup:1.4847037152407e-05
Ppm1f	protein phosphatase 1F (PP2C domain containing)	A_51_P179828	Pup:1.45319525241496	Pup:0.00210071076758145
Lcp2	lymphocyte cytosolic protein 2	A_51_P352875	Pup:1.44996436563376	Pup:0.0222227971526111
Dcst1	DC-STAMP domain containing 1	A_51_P470793	Pup:1.44760744599301	Pup:2.34032584356712e-07
Rora	RAR-related orphan receptor alpha	A_52_P652442	Pup:1.43565891625414	Pup:0.00778489010758319
5033406O09Rik	RIKEN cDNA 5033406O09 gene	A_52_P365948	Pup:1.43321751091477	Pup:0.000134889772872109
Uggt2	UDP-glucose glycoprotein glucosyltransferase 2	A_52_P27003	Pup:1.4285445576046	Pup:0.0109151618398584
1700031C06Rik	RIKEN cDNA 1700031C06 gene	A_52_P142327	Pup:1.42792252918875	Pup:0.0182023922908967
Mapk6	mitogen-activated protein kinase 6	A_51_P479808	Pup:1.42246239446583	Pup:0.0108072950146091
Mars2	methionine-tRNA synthetase 2 (mitochondrial)	A_51_P396385	Pup:1.42131032985098	Pup:0.000729260661263117
Zmat4	zinc finger, matrin type 4	A_51_P422685	Pup:1.4190561613637	Pup:0.0165220724145271
Mff	mitochondrial fission factor	A_51_P287931	Pup:1.41586552472441	Pup:5.87848912260981e-09
Pmel	premelanosome protein	A_51_P208145	Pup:1.40625296321924	Pup:0.00967774285389799
Peci	peroxisomal delta3, delta2-enoyl-Coenzyme A isomerase	A_51_P394665	Pup:1.39906492493638	Pup:1.06034132503412e-08
Tubb6	tubulin, beta 6	A_51_P421140	Pup:1.39651564878598	Pup:5.72181983391441e-06
Acot5	acyl-CoA thioesterase 5	A_51_P355996	Pup:1.39208991646242	Pup:0.0002092300782932
Hdhd3	haloacid dehalogenase-like hydrolase domain containing 3	A_51_P465582	Pup:1.39207620450261	Pup:3.51203893969573e-06
Casp6	caspase 6	A_51_P215922	Pup:1.38010772902605	Pup:1.48930431554711e-07
Afap1	actin filament associated protein 1	A_51_P291210	Pup:1.3785858365047	Pup:0.0463461721567674
Arhgap18	Rho GTPase activating protein 18	A_52_P671769	Pup:1.37096107835602	Pup:5.14683645277946e-06
1700047E10Rik	RIKEN cDNA 1700047E10 gene	A_51_P122100	Pup:1.36997680156613	Pup:0.0429917163167823
Smyd2	SET and MYND domain containing 2	A_51_P320105	Pup:1.36819592153566	Pup:3.42782945809079e-08
Pcp2	Purkinje cell protein 2 (L7)	A_51_P448677	Pup:1.36576468846323	Pup:4.99671393839224e-08
Ppp6r2	protein phosphatase 6, regulatory subunit 2	A_52_P429265	Pup:1.36316166008294	Pup:0.000100783888919566
Retsat	retinol saturase (all trans retinol 13,14 reductase)	A_51_P319070	Pup:1.35719298476227	Pup:2.29747580957219e-07
Lhfpl2	lipoma HMGIC fusion partner-like 2	A_51_P302453	Pup:1.35669631196543	Pup:0.0012601664341894
Cep68	centrosomal protein 68	A_52_P371666	Pup:1.35634964828285	Pup:0.0275157909969777
Gm3893	predicted gene 3893	A_52_P311999	Pup:1.34943498691959	Pup:2.41381764271032e-06
Dbi	diazepam binding inhibitor	A_51_P399697	Pup:1.34829476835118	Pup:0.000141381257807574
Morn3	MORN repeat containing 3	A_51_P273823	Pup:1.34821289511795	Pup:0.00518775126195488
Kcp	kielin/chordin-like protein	A_52_P360652	Pup:1.34435129815183	Pup:1.0070941632991e-08
Swap70	SWA-70 protein	A_52_P69160	Pup:1.34073853474019	Pup:8.8342479703372e-07
Gm11818	predicted gene 11818	A_51_P296878	Pup:1.33769080733414	Pup:5.23158634735094e-06
Mvk	mevalonate kinase	A_52_P569067	Pup:1.33358256688225	Pup:2.19007544117421e-05
Jmy	junction-mediating and regulatory protein	A_51_P441469	Pup:1.32859608692876	Pup:0.000512457649053157
Itpr1	inositol 1,4,5-triphosphate receptor 1	A_51_P269663	Pup:1.32472745454328	Pup:1.09746361714236e-05
Ubxn2a	UBX domain protein 2A	A_51_P400040	Pup:1.31296954899414	Pup:0.000224298517038964
Fbxl6	F-box and leucine-rich repeat protein 6	A_51_P429246	Pup:1.31123136998203	Pup:7.27046325594855e-05
Dgkd	diacylglycerol kinase, delta	A_51_P314929	Pup:1.30477011028383	Pup:0.0026815662915248
Chrdl1	chordin-like 1	A_52_P600975	Pup:1.30381093636442	Pup:0.0286582819634969
Lmo2	LIM domain only 2	A_51_P223686	Pup:1.3016162020403	Pup:0.00134292686906887
Mfge8	milk fat globule-EGF factor 8 protein	A_51_P255682	Pup:1.29771260050752	Pup:0.0027106706623186
Myl10	myosin, light chain 10, regulatory	A_52_P205710	Pup:1.29714420619035	Pup:0.0173100567839284
Rab30	RAB30, member RAS oncogene family	A_52_P319361	Pup:1.29606847634926	Pup:0.000297538573302736
Pla2g7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	A_51_P447835	Pup:1.29566719401907	Pup:0.0186897998917508
Wdfy1	WD repeat and FYVE domain containing 1	A_52_P511821	Pup:1.28863966004488	Pup:0.0152051683504109
Rbp1	retinol binding protein 1, cellular	A_51_P423484	Pup:1.28706539182403	Pup:0.0127994392720754
Qk	quaking	A_51_P434670	Pup:1.28489435182231	Pup:1.32099884892345e-06
Bmp7	bone morphogenetic protein 7	A_52_P278354	Pup:1.27882269365233	Pup:0.0355752287145514
Raph1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	A_52_P551476	Pup:1.27854474423046	Pup:0.000259232281783166
Speer5-ps1	spermatogenesis associated glutamate (E)-rich protein 5, pseudogene 1	A_51_P184508	Pup:1.27784844014497	Pup:0.000372689085215622
Lims1	LIM and senescent cell antigen-like domains 1	A_51_P200027	Pup:1.27782408626027	Pup:0.0390639296867698
Lmbrd1	LMBR1 domain containing 1	A_51_P336910	Pup:1.27660445495514	Pup:2.11120463110684e-06
Fbxo2	F-box protein 2	A_51_P114472	Pup:1.27624284233321	Pup:3.68069489785049e-07
Rps6ka3	ribosomal protein S6 kinase polypeptide 3	A_52_P283628	Pup:1.27186712397101	Pup:7.43871392998271e-08
Olfr242	olfactory receptor 242	A_51_P201490	Pup:1.27165165671138	Pup:8.5233404332618e-05
Setmar	SET domain and mariner transposase fusion gene	A_51_P339380	Pup:1.27143845858305	Pup:4.17544929940427e-05
Fam82a1	family with sequence similarity 82, member A1	A_51_P120137	Pup:1.26389114083865	Pup:0.000761558911495018
9330188P03Rik	RIKEN cDNA 9330188P03 gene	A_52_P562040	Pup:1.26321259215294	Pup:0.0234867101151324
Laptm4b	lysosomal-associated protein transmembrane 4B	A_52_P470316	Pup:1.26242206135459	Pup:5.94300977659972e-08
Disc1	disrupted in schizophrenia 1	A_52_P592177	Pup:1.26233111229368	Pup:0.0315735626231823
Ubtd1	ubiquitin domain containing 1	A_51_P369371	Pup:1.25314949284875	Pup:1.3782473909772e-06
Exoc1	exocyst complex component 1	A_52_P437916	Pup:1.25075907022387	Pup:0.0311462974217996
M6pr	mannose-6-phosphate receptor, cation dependent	A_51_P439170	Pup:1.24756017404351	Pup:4.09065140312351e-05
Nrarp	Notch-regulated ankyrin repeat protein	A_51_P504354	Pup:1.2470873033955	Pup:0.0149842035468279
Piwil4	piwi-like homolog 4 (Drosophila)	A_52_P14778	Pup:1.24288072712437	Pup:0.00270692498231695
Bmp2k	BMP2 inducible kinase	A_51_P337944	Pup:1.24077194399452	Pup:0.0123504869092478
Gnptab	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	A_52_P114185	Pup:1.23542035064458	Pup:0.0106513106356529
Abcb9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	A_51_P202801	Pup:1.23364184948187	Pup:0.0018318007864061
Peo1	progressive external ophthalmoplegia 1 (human)	A_51_P261585	Pup:1.23155924176703	Pup:0.0439505081834127
Clcn2	chloride channel 2	A_51_P332140	Pup:1.23138926318163	Pup:5.56667958042835e-05
Dhcr7	7-dehydrocholesterol reductase	A_51_P290986	Pup:1.22846527402846	Pup:7.40667062315926e-05
Ate1	arginyltransferase 1	A_52_P60760	Pup:1.22796167974101	Pup:0.0198736032495195
Exoc5	exocyst complex component 5	A_52_P379889	Pup:1.22465295380292	Pup:1.30350945232031e-05
Tspan6	tetraspanin 6	A_51_P473272	Pup:1.22386240988797	Pup:2.60523692282595e-05
2410091C18Rik	RIKEN cDNA 2410091C18 gene	A_52_P406459	Pup:1.22222511971641	Pup:0.00190660199592048
Olfr672	olfactory receptor 672	A_51_P332839	Pup:1.21999743132828	Pup:0.000971219555474821
Nid1	nidogen 1	A_51_P339943	Pup:1.21887077403243	Pup:0.00165645614724089
Klhl6	kelch-like 6 (Drosophila)	A_51_P433615	Pup:1.21832766938023	Pup:0.0136475268601277
Fbxl22	F-box and leucine-rich repeat protein 22	A_51_P466685	Pup:1.21733518067108	Pup:0.0483710817512248
Cerk	ceramide kinase	A_52_P480872	Pup:1.21444364593823	Pup:0.00895914479543893
Hand1	heart and neural crest derivatives expressed transcript 1	A_51_P342549	Pup:1.21295681737382	Pup:0.0369963028246948
Sat2	spermidine/spermine N1-acetyl transferase 2	A_51_P498152	Pup:1.21218825220136	Pup:1.8377924354494e-07
Lsmd1	LSM domain containing 1	A_51_P314323	Pup:1.21031292012387	Pup:0.00132656684499782
Tnfrsf17	tumor necrosis factor receptor superfamily, member 17	A_51_P270807	Pup:1.20886227252623	Pup:0.0161959633803464
Pla2g6	phospholipase A2, group VI	A_51_P464860	Pup:1.20770407436064	Pup:0.000172934816563374
Fam86	family with sequence similarity 86	A_51_P221972	Pup:1.20663277386723	Pup:0.000807250480665865
Sparc	secreted acidic cysteine rich glycoprotein	A_52_P101852	Pup:1.20559484040669	Pup:0.0105920225914745
Timp1	tissue inhibitor of metalloproteinase 1	A_51_P512384	Pup:1.20333243352709	Pup:0.000425416813149572
Acad10	acyl-Coenzyme A dehydrogenase family, member 10	A_51_P187507	Pup:1.2023988519486	Pup:0.00115682664510627
Kdm4c	lysine (K)-specific demethylase 4C	A_52_P320170	Pup:1.20198591876534	Pup:0.0198645876131612
Mip	major intrinsic protein of eye lens fiber	A_52_P660422	Pup:1.20173299106894	Pup:0.0259695892297476
Tmem218	transmembrane protein 218	A_51_P331207	Pup:1.20140101967053	Pup:2.38673769396793e-07
2010204K13Rik	RIKEN cDNA 2010204K13 gene	A_51_P179565	Pup:1.20052934071776	Pup:0.000127456395275631
Gng11	guanine nucleotide binding protein (G protein), gamma 11	A_51_P136355	Pup:1.19486334371395	Pup:0.00188250208046884
Dctd	dCMP deaminase	A_52_P301085	Pup:1.18990372473975	Pup:0.000490023862804934
Epo	erythropoietin	A_52_P444815	Pup:1.18942380264591	Pup:0.00528938839178042
