Accession no	Gene	Gene Symbol	log ratios	Category 1	Category 2
NM_013869	tumor necrosis factor receptor superfamily, member 19	Tnfrsf19	4.36; 2.01	Regulatory proteins	Receptors
NM_016847	arginine vasopressin receptor 1A	Avpr1a	3.55; 2.21	Regulatory proteins	Receptors
AF435926	monogenic, audiogenic seizure susceptibility 1	Mass1	3.37	Regulatory proteins	Receptors
NM_013464	aryl-hydrocarbon receptor	Ahr	2.4	Regulatory proteins	Receptors
AW558468	natriuretic peptide receptor 2	Npr2	2.13	Regulatory proteins	Receptors
BB751088	G protein-coupled receptor 49	Gpr49	2.07	Regulatory proteins	Receptors
AF321301	fibroblast growth factor receptor-like 1	Fgfrl1	2.02	Regulatory proteins	Receptors
AK018789	neurotrophic tyrosine kinase, receptor, type 2	Ntrk2	-2.82	Regulatory proteins	Receptors
NM_011082	polymeric immunoglobulin receptor	Pigr	-5.87	Regulatory proteins	Receptors
BC020038	endothelial cell-specific molecule 1	Esm1	3.89	Regulatory proteins	Cell signalling
NM_018884	semaF cytoplasmic domain associated protein 3		3.58	Regulatory proteins	Cell signalling
AF068182	B-cell linker	Blnk	3.02	Regulatory proteins	Cell signalling
AW986246	monoamine oxidase A	Maoa	2.9	Regulatory proteins	Cell signalling
NM_008587	c-mer proto-oncogene tyrosine kinase	Mertk	2.69	Regulatory proteins	Cell signalling
BC003487	phospholipase A2, group VI	Pla2g6	2.36	Regulatory proteins	Cell signalling
NM_019671	neuroepithelial cell transforming gene 1	Net1	2.35	Regulatory proteins	Cell signalling
NM_019688	cAMP-regulated guanine nucleotide exchange factor II	Cgef2-pending	2.23	Regulatory proteins	Cell signalling
NM_026268	dual specificity phosphatase 6	Dusp6	2	Regulatory proteins	Cell signalling
BC019491	angiopoietin-like 3	Angptl3	-2.54	Regulatory proteins	Cell signalling
NM_013655	chemokine (C-X-C motif) ligand 12	Cxcl12	-2.63; -2.34	Regulatory proteins	Cell signalling
NM_025658	membrane-spanning 4-domains A 4D	Ms4a4d	-2.8	Regulatory proteins	Cell signalling
AF128196	chemokine (C-C motif) ligand 9	Ccl9	-2.93	Regulatory proteins	Cell signalling
AF440694	insulin-like growth factor 1	Igf1	-3.71	Regulatory proteins	Cell signalling
NM_008176	chemokine (C-X-C motif) ligand 1	Cxcl1	-4.03	Regulatory proteins	Cell signalling
NM_009016	retinoic acid early transcript 1, alpha	Raet1a	-4.03	Regulatory proteins	Cell signalling
NM_009263	secreted phosphoprotein 1	Spp1	-4.75	Regulatory proteins	Cell signalling
NM_027280	naked cuticle 1 homolog (Drosophila)	Nkd1	6.43	Regulatory proteins	Wnt- signalling
BC004048	Wnt inhibitory factor 1	Wif1	5.27	Regulatory proteins	Wnt- signalling
BB398993	axin2	Axin2	3.69	Regulatory proteins	Wnt- signalling
AU035920	nemo like kinase	Nlk	3.39; 2.87	Regulatory proteins	Wnt- signalling
AY061807	calmodulin-like 4	Calml4	6.7	Regulatory proteins	Calcium metabolism, calcium signalling
AB061524	Down syndrome critical region gene 1-like 1	Dscr1l1	3.9	Regulatory proteins	Calcium metabolism, calcium signalling
BC021916	S100 calcium binding protein A11 (calizzarin)	S100a11	2.11	Regulatory proteins	Calcium metabolism, calcium signalling
Transcriptional regulators				Regulatory proteins	Calcium metabolism, calcium signalling
AV025472	core promoter element binding protein	Copeb	2.48	Regulatory proteins	Calcium metabolism, calcium signalling
Cell division, differentiation, apoptosis				Regulatory proteins	Calcium metabolism, calcium signalling
NM_009052	reduced expression 3	Rex3	4.59	Regulatory proteins	Calcium metabolism, calcium signalling
NM_009770	B-cell translocation gene 3	Btg3	2.1	Regulatory proteins	Calcium metabolism, calcium signalling
BC010403	presenilin 2	Psen2	-2.06	Regulatory proteins	Calcium metabolism, calcium signalling
NM_008059	G0/G1 switch gene 2	G0s2	-2.41	Regulatory proteins	Calcium metabolism, calcium signalling
BC003475	tubulin, beta 2	Tubb2	2.57	Structural proteins	Cytosceleton
BC010581	stathmin 1	Stmn1	2.55	Structural proteins	Cytosceleton
AV224521	gelsolin	Gsn	-2.13	Structural proteins	Cytosceleton
BC027056	microtubule-associated protein, RP/EB family, member 2	Mapre2	-2.82	Structural proteins	Cytosceleton
BC007140	fibulin 1	Fbln1	2.9	Structural proteins	Extracellular matrix, cell adhesion
BC023060	EGF-containing fibulin-like extracellular matrix protein 1	Efemp1	-2.12	Structural proteins	Extracellular matrix, cell adhesion
BC021946	fibrinogen-like protein 1	Fgl1	-2.2	Structural proteins	Extracellular matrix, cell adhesion
NM_023160	camello-like 1	Cml1	-2.65	Structural proteins	Extracellular matrix, cell adhesion
NM_007833	decorin	Dcn	-3.6	Structural proteins	Extracellular matrix, cell adhesion
NM_021319	peptidoglycan recognition protein-like	Pglyrpl-pending	-3.75	Structural proteins	Extracellular matrix, cell adhesion
NM_007423	alpha fetoprotein	Afp	8.20; 7.42; 3.94	Others	Transport
NM_021375	Rhesus blood group-associated B glycoprotein	Rhbg	6.63	Others	Transport
U75372	solute carrier family 1, member 2	Slc1a2	5.86	Others	Transport
AI152800	neuronal pentraxin 1	Nptx1	5.58	Others	Transport
NM_011395	solute carrier family 22a3	Slc22a3	5.4	Others	Transport
NM_054055	solute carrier family 13a3	Slc13a3	4.47; 3.84	Others	Transport
NM_011391	solute carrier family 16a7	Slc16a7	2.19	Others	Transport
BB277461	solute carrier family 1a4	Slc1a4	2.14	Others	Transport
NM_009205	solute carrier family 3a1	Slc3a1	-3.58	Others	Transport
AK004616	solute carrier family 21a2	Slc21a2	-4.23	Others	Transport
BC005743	sideroflexin 1 (iron ion transport)	Sfxn1	-5.45; -2.74	Others	Transport
NM_010742	lymphocyte antigen 6 complex, locus D	Ly6d	7.52	Others	Complement activation, Immune system
NM_010740	complement component 1, q subcomponent, receptor 1	C1qr1	2.91	Others	Complement activation, Immune system
BC026782	complement component factor h	Cfh	-2.5	Others	Complement activation, Immune system
M29881	histocompatibility 2, Q region locus 7	H2-Q7	-3.32	Others	Complement activation, Immune system
NM_013485	complement component 9	C9	-6.94	Others	Complement activation, Immune system
NM_008935	prominin 1	Prom1	3.4	Others	Miscellaneous
NM_007792	cysteine and glycine-rich protein 2	Csrp2	3.2	Others	Miscellaneous
BC016215	thrombospondin repeat containing 1	Tsrc1	2.93	Others	Miscellaneous
NM_019686	kinase interacting protein 2	Kip2-pending	2.75	Others	Miscellaneous
AV174022	kidney androgen regulated protein	Kap	2.67	Others	Miscellaneous
NM_026768	mitochondrial ribosomal protein S18A	Mrps18a	2.08	Others	Miscellaneous
NM_019999	brain protein 17	Brp17	-2.29	Others	Miscellaneous
NM_032541	hepcidin antimicrobial peptide	Hamp	-4.12	Others	Miscellaneous
AF442824	olfactomedin 3	Olfm3	-4.15	Others	Miscellaneous
BM119226	GTL2, imprinted maternally expressed untranslated mRNA	Gtl2	7.25	Others	Unknown
BB271021	cDNA sequence AB023957	AB023957	5.65	Others	Unknown
BC023470	RIKEN cDNA C230093N12 gene	C230093N12Rik	4.71; 3.78	Others	Unknown
AK009207	RIKEN cDNA 2310007H09 gene	2310007H09Rik	4.26	Others	Unknown
BB093563	GTL2, imprinted maternally expressed untranslated mRNA	Gtl2	3.85	Others	Unknown
AA543734	DNA segment, Chr 5, ERATO Doi 189, expressed	D5Ertd189e	3.73	Others	Unknown
BG063148	Mus musculus transcribed sequence	---	3.13	Others	Unknown
BC027159	expressed sequence AW319517	AW319517	3.03	Others	Unknown
BG963358	RIKEN cDNA 5730445F03 gene	5730445F03Rik	2.96	Others	Unknown
BC018484	RIKEN cDNA B830002A16 gene	B830002A16Rik	2.93	Others	Unknown
AV291259	RIKEN cDNA 2310032D16 gene	2310032D16Rik	2.87	Others	Unknown
BC004781	RIKEN cDNA 4732452J19 gene	4732452J19Rik	2.51	Others	Unknown
BC011325	RIKEN cDNA 1700127B04 gene	1700127B04Rik	2.38	Others	Unknown
AK008856	RIKEN cDNA 2210408F11 gene	2210408F11Rik	2.31	Others	Unknown
NM_025703	RIKEN cDNA 3930402F23 gene	3930402F23Rik	2.31	Others	Unknown
BB514333	Mus musculus 10 day old male pancreas cDNA	---	2.31	Others	Unknown
AI845177	Mus musculus, clone IMAGE:1365759, mRNA	---	2.28	Others	Unknown
NM_133237	cDNA sequence AB023957	AB023957	2.23	Others	Unknown
AK014408	RIKEN cDNA 3732413I11 gene	3732413I11Rik	2.21	Others	Unknown
BB178770	RIKEN cDNA 6330583M11 gene	6330583M11Rik	2.2	Others	Unknown
BQ174328	DNA segment, Chr 6, ERATO Doi 253, expressed	D6Ertd253e	2.13	Others	Unknown
BC021951	RIKEN cDNA 2010003K11 gene	2010003K11Rik	2.12	Others	Unknown
AW536702	RIKEN cDNA 1700058O05 gene	1700058O05Rik	2.02	Others	Unknown
BC016562	RIKEN cDNA 1810011O10 gene	1810011O10Rik	-2.13	Others	Unknown
BF531708	expressed sequence AI876593	AI876593	-2.23	Others	Unknown
BG070689	DNA segment, Chr 7, Roswell Park 2 complex, expressed	D7Rp2e	-2.3	Others	Unknown
AF000969	RIKEN cDNA A230044C21 gene	A230044C21Rik	-2.43	Others	Unknown
BC021842	RIKEN cDNA E430021N18 gene	E430021N18Rik	-2.64	Others	Unknown
AV059397	RIKEN cDNA 6330406P08 gene	6330406P08Rik	-2.79; -2.17	Others	Unknown
BC022133	cDNA sequence BC022133	BC022133	-3.15	Others	Unknown
AV006463	RIKEN cDNA 1100001G20 gene	1100001G20Rik	-3.19	Others	Unknown
AV027632	Mus musculus transcribed sequences	---	-4.76	Others	Unknown
AV239350	hypothetical protein 4732433M03	4732433M03	-5.37	Others	Unknown
AK005066	RIKEN cDNA 1300019J08 gene	1300019J08Rik	-6.3	Others	Unknown
AW111083	Mus musculus transcribed sequence	---	-6.38	Others	Unknown
