Gene symbol	Accession number	Gene name	P-value	Fold change	Domain
PRRG3	NM_024082	Proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)	0.049	2.838	Cell-cell signaling (cytokine/chemokine)
PRRG3	NM_024082	Proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)	0.049	2.838	Cell-cell signaling (cytokine/chemokine)
NTNG1	NM_014917	Netrin G1	0.008	2.815	Cell-cell signaling (cytokine/chemokine)
RSPO3	NM_032784	R-spondin 3 homolog (Xenopus laevis)	0.023	2.348	Cell-cell signaling (cytokine/chemokine)
INHBB	NM_002193	Inhibin, betaB	0.022	2.181	Cell-cell signaling (cytokine/chemokine)
DKK1	NM_012242	Dickkopf homolog 1 (Xenopus laevis)	0.003	11.313	Signal transduction
RICH2	NM_014859	Rho-type GTPase-activating protein RICH2	0.003	11.012	Signal transduction
IL7R	NM_002185	Interleukin 7 receptor	0.009	7.874	Signal transduction
PDGFRA	NM_006206	Platelet-derived growth factor receptor, alpha polypeptide	0.003	5.941	Signal transduction
CDC42EP3	AK055915	CDC42 effector protein (Rho GTPase binding) 3	0.003	5.133	Signal transduction
CDC42EP3	NM_006449	CDC42 effector protein (Rho GTPase binding) 3	0.003	4.854	Signal transduction
GRIA3	NM_000828	Glutamate receptor, ionotrophic, AMPA 3	0.023	4.328	Signal transduction
AFAP1L2	NM_001001936	Actin filament associated protein 1-like 2	0.014	4.202	Signal transduction
TGFB2	NM_001135599	Transforming growth factor, beta2	0.008	4.098	Signal transduction
DPYSL5	NM_020134	Dihydropyrimidinase-like 5	0.007	3.537	Signal transduction
MX1	NM_002462	Myxovirus (influenza virus) resistance 1,interferon-inducible protein p78 (mouse)	0.036	3.304	Signal transduction
STMN2	S82024	Stathmin-like 2	0.023	3.237	Signal transduction
CFI	NM_000204	Complement factor I	0.008	3.036	Signal transduction
PTPRB	NM_002837	Protein tyrosine phosphatase, receptor type, B	0.016	2.919	Signal transduction
SEMA7A	NM_003612	Semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group)	0.034	2.825	Signal transduction
SOCS2	NM_003877	Suppressor of cytokine signaling 2	0.026	2.712	Signal transduction
CFI	NM_000204	Complement factor I	0.042	2.603	Signal transduction
IRS1	NM_005544	Insulin receptor substrate 1	0.016	2.403	Signal transduction
LTBP1	NM_206943	Latent transforming growth factor beta binding protein 1	0.041	2.393	Signal transduction
PRKG1	NM_006258	Protein kinase, cGMP-dependent, type I	0.016	2.334	Signal transduction
RTKN2	NM_145307	Rhotekin 2	0.022	2.287	Signal transduction
AKAP12	NM_005100	A kinase (PRKA) anchor protein 12	0.023	2.28	Signal transduction
RASGRP2	NM_153819	RAS guanyl releasing protein 2 (calcium and DAG-regulated)	0.044	2.228	Signal transduction
GPR124	NM_032777	G protein-coupled receptor 124	0.041	2.202	Signal transduction
IL17RD	NM_017563	Interleukin 17 receptor D	0.016	2.162	Signal transduction
RTKN2	BC025765	Rhotekin 2	0.038	2.158	Signal transduction
QKI	NM_206855	Quaking homolog, KH domain RNA binding (mouse)	0.003	2.054	Signal transduction
THBD	NM_000361	Thrombomodulin	0.022	2.013	Signal transduction
PBX1	NM_002585	Pre-B-cell leukemia homeobox 1	0.013	3.229	Immune response
NCF2	NM_000433	Neutrophil cytosolic factor 2	0.044	3.151	Immune response
TLR4	NM_138554	Toll-like receptor 4	0.038	2.518	Immune response
ANXA3	NM_005139	Annexin A3	0.024	2.217	Immune response
B2M	NM_004048	beta-2-microglobulin	0.022	2.217	Immune response
JAG2	NM_002226	Jagged 2	0.016	2.049	Immune response
ALDH1A2	NM_170697	Aldehyde dehydrogenase 1 family, member A2	0.005	6.147	Metabolism
CYP24A1	NM_000782	Cytochrome P450, family 24, subfamily A, polypeptide 1	0.009	5.172	Metabolism
LIPG	NM_006033	Lipase, endothelial	0.016	3.961	Metabolism
CYP24A1	NM_000782	Cytochrome P450, family 24, subfamily A, polypeptide 1	0.003	3.48	Metabolism
MGAT3	NM_002409	Mannosyl (beta-1,4-)-glycoprotein beta-1, 4-N-acetylglucosaminyltransferase	0.019	3.42	Metabolism
ME1	L34035	Malic enzyme 1, NADP(+)-dependent, cytosolic	0.022	3.344	Metabolism
GDA	NM_004293	Guanine deaminase	0.022	2.956	Metabolism
MGAT5B	NM_144677	Mannosyl (alpha-1,6-)-glycoprotein beta-1, 6-N-acetyl-glucosaminyltransferase, isozyme B	0.033	2.783	Metabolism
ADAM19	NM_033274	ADAM metallopeptidase domain 19 (meltrin beta)	0.005	2.212	Metabolism
ALPK2	NM_052947	alpha-kinase 2	0.028	2.181	Metabolism
PLTP	NM_006227	Phospholipid transfer protein	0.005	2.04	Metabolism
ARG2	NM_001172	Arginase, type II	0.033	2.007	Metabolism
CHST8	NM_022467	Carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8	0.038	2.006	Metabolism
SULF1	NM_015170	Sulfatase 1	0.034	4.318	Cell cycle, apoptosis
LCN2	NM_005564	Lipocalin 2	0.013	3.799	Cell cycle, apoptosis
LYZ	NM_000239	Lysozyme (renal amyloidosis)	0.003	2.94	Cell cycle, apoptosis
SGK1	NM_005627	Serum/glucocorticoid regulated kinase 1	0.027	2.329	Cell cycle, apoptosis
CCND2	NM_001759	Cyclin D2	0.005	2.088	Cell cycle, apoptosis
IRX2	NM_033267	Iroquois homeobox 2	0.005	33.528	Transcription
BHLHE22	NM_152414	Basic helix-loop-helix family, member e22	0.003	6.219	Transcription
HOPX	NM_139211	HOP homeobox	0.003	4.453	Transcription
NFE4	BC036938	Transcription factor NF-E4	0.023	3.86	Transcription
NKX2-1	NM_003317	NK2 homeobox 1	0.013	3.341	Transcription
HIC1	NM_006497	Hypermethylated in cancer 1	0.003	2.818	Transcription
IKZF2	NM_001079526	IKAROS family zinc finger 2 (Helios)	0.014	2.441	Transcription
KLF2	NM_016270	Kruppel-like factor 2 (lung)	0.003	2.199	Transcription
ETS2	NM_005239	V-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	0.005	2.183	Transcription
BACH2	NM_021813	BTB and CNC homology 1, basic leucine zipper transcription factor 2	0.005	2.159	Transcription
MEIS1	NM_002398	Meis homeobox 1	0.033	2.005	Transcription
SLC35F3	NM_173508	Solute carrier family 35, member F3	0.003	5.06	Transporter activity
MAL2	NM_052886	Mal, T-cell differentiation protein 2	0.041	3.569	Transporter activity
RBP1	NM_002899	Retinol binding protein 1, cellular	0.017	2.765	Transporter activity
SLC16A2	NM_006517	Solute carrier family 16, member 2 (monocarboxylic acid transporter 8)	0.005	2.763	Transporter activity
RHCG	NM_016321	Rh family, C glycoprotein	0.007	2.35	Transporter activity
UCP2	NM_003355	Uncoupling protein 2 (mitochondrial, proton carrier)	0.003	2.074	Transporter activity
LIMCH1	NM_014988	LIM and calponin homology domains 1	0.003	23.809	Others
BICC1	AK130049	Bicaudal C homolog 1 (Drosophila)	0.013	6.773	Others
SHISA9	NM_001145205	Shisa homolog 9 (Xenopus laevis)	0.003	6.281	Others
VSIG2	NM_014312	V-set and immunoglobulin domain containing 2	0.015	4.631	Others
CELF4	NM_020180	CUGBP, Elav-like family member 4	0.008	4.248	Others
ZNF365	NM_014951	Zinc finger protein 365	0.024	3.504	Others
SETBP1	NM_015559	SET binding protein 1	0.013	3.469	Others
C11orf41	NM_012194	Chromosome 11 open reading frame 41	0.003	3.278	Others
ZNF608	NM_020747	Zinc finger protein 608	0.009	3.272	Others
SERTAD4	NM_019605	SERTA domain containing 4	0.008	3.104	Others
SUSD4	NM_017982	Sushi domain containing 4	0.034	3.044	Others
LYPD1	NM_144586	LY6/PLAUR domain containing 1	0.043	3.033	Others
FRMD5	NM_032892	FERM domain containing 5	0.013	3.007	Others
HBA1	NM_000558	Hemoglobin, ?1	0.044	3	Others
HBA2	NM_000517	Hemoglobin, ?2	0.043	2.993	Others
MAP1LC3A	NM_032514	Microtubule-associated protein 1 light chain 3?	0.035	2.495	Others
CELF2	NM_001025077	CUGBP, Elav-like family member 2	0.005	2.458	Others
SPANXA1	NM_013453	Sperm protein associated with the nucleus, X-linked, family member A1	0.023	2.445	Others
SPANXD	NM_032417	SPANX family, member D	0.03	2.37	Others
SUSD4	NM_001037175	Sushi domain containing 4	0.022	2.206	Others
MAN1A1	NM_005907	Mannosidase, alpha, class 1A, member 1	0.019	2.2	Others
MTUS2	NM_001033602	Microtubule associated tumor suppressor candidate 2	0.023	2.2	Others
ATAD3B	AB033099	ATPase family, AAA domain containing 3B	0.013	2.178	Others
PMEPA1	NM_020182	Prostate transmembrane protein, androgen induced 1	0.003	2.163	Others
FILIP1L	NM_182909	Filamin A interacting protein 1-like	0.023	2.08	Others
FAM20A	NM_017565	Family with sequence similarity 20, member A	0.009	2.043	Others
C1QL1	NM_006688	Complement component 1, q subcomponent-like 1	0.045	2.027	Others
N/A	AK054921		0.013	10.114	Others
N/A	AB025028		0.041	6.451	Others
N/A	BC040881		0.007	5.805	Others
N/A	AK125437		0.008	5.127	Others
N/A	CA314451		0.017	4.233	Others
N/A	AK023954		0.019	3.543	Others
H19	NR_002196	H19, imprinted maternally expressed transcript (non-protein coding)	0.049	3.263	Others
C1orf133	NR_024337	Chromosome 1 open reading frame 133	0.016	2.819	Others
PIK3IP1	NM_052880	Phosphoinositide-3-kinase interacting protein 1	0.046	2.776	Others
FAM117A	NM_030802	Family with sequence similarity 117, member A	0.003	2.669	Others
KIAA1199	NM_018689	KIAA1199	0.013	2.643	Others
N/A	AI754733		0.01	2.606	Others
N/A	BX097190		0.016	2.54	Others
C12orf53	NM_153685	Chromosome 12 open reading frame 53	0.017	2.53	Others
N/A	AK098514		0.047	2.346	Others
N/A	BC041955		0.014	2.34	Others
N/A	AK024680		0.005	2.329	Others
CCDC79	NM_001136505	Coiled-coil domain containing 79	0.044	2.324	Others
N/A	R78584		0.015	2.254	Others
HLA-L	NR_027822	Major histocompatibility complex, class I, L, pseudogene	0.012	2.171	Others
N/A	AK025975		0.012	2.131	Others
N/A	AI161396		0.007	2.12	Others
HCG26	NR_002812	HLA complex group 26 (non-protein coding)	0.046	2.115	Others
N/A	BY798802		0.037	2.109	Others
SPOCD1	NM_144569	SPOC domain containing 1	0.008	2.091	Others
N/A	AA731781		0.023	2.087	Others
PANX2	NM_052839	Pannexin 2	0.024	2.062	Others
N/A	AK296148		0.047	2.039	Others
