Symbol	Name	ProbeId	Embryo:Log2FC	Embryo:adj_p-value	Adult:Log2FC	Adult:adj_p-value
Gch1	GTP cyclohydrolase 1	A_52_P298002	Embryo:2.35544412187119	Embryo:1.19866736696596e-08	Adult:1.56517749449158	Adult:1.51861677325613e-05
Aplp1	amyloid beta (A4) precursor-like protein 1	A_51_P432380	Embryo:2.15201168958917	Embryo:3.91902942066892e-08	Adult:1.72562539014986	Adult:2.69070411113154e-06
Zfp536	zinc finger protein 536	A_51_P218953	Embryo:2.75583402793131	Embryo:1.10558694648166e-07	Adult:1.0470312804303	Adult:0.0163531414438234
Arnt2	aryl hydrocarbon receptor nuclear translocator 2	A_52_P260696	Embryo:2.24521511711001	Embryo:0.00155889909982098	Adult:1.42207743611421	Adult:0.0480810901801334
C130022M03Rik	RIKEN cDNA C130022M03 gene	A_52_P182391	Embryo:1.74848977802006	Embryo:0.0198668999624062	Adult:1.88431448867988	Adult:0.0145380638590202
Neo1	neogenin	A_52_P907073	Embryo:1.7996574722268	Embryo:0.0181408902503851	Adult:1.80473386178587	Adult:0.0209877731548475
Atp2b2	ATPase, Ca++ transporting, plasma membrane 2	A_51_P256384	Embryo:2.16360793029529	Embryo:0.000253786711540391	Adult:1.41868640297571	Adult:0.0153630051745762
C130074G19Rik	RIKEN cDNA C130074G19 gene	A_51_P157033	Embryo:1.6523064763245	Embryo:1.23656093647805e-07	Adult:1.84169884472395	Adult:3.78030818381091e-08
Parp6	poly (ADP-ribose) polymerase family, member 6	A_51_P197773	Embryo:2.1523154868085	Embryo:7.38408088980808e-08	Adult:1.27953405695482	Adult:0.000252200393375995
Cys1	cystin 1	A_51_P109258	Embryo:1.71322863323351	Embryo:0.0238433782813033	Adult:1.69684163725953	Adult:0.0291111361402423
Nhsl1	NHS-like 1	A_51_P332169	Embryo:1.20063830113463	Embryo:9.8378535079809e-06	Adult:2.16557775797264	Adult:1.03756131167757e-09
Fam116b	family with sequence similarity 116, member B	A_52_P223524	Embryo:1.61656018835263	Embryo:0.00217921166293521	Adult:1.74235065755696	Adult:0.0015132598959871
Limch1	LIM and calponin homology domains 1	A_52_P456392	Embryo:1.74720620130566	Embryo:0.0218125694462883	Adult:1.60058268949308	Adult:0.040495815431265
C1qtnf4	C1q and tumor necrosis factor related protein 4	A_52_P633489	Embryo:1.1852764231928	Embryo:0.00270389768047558	Adult:2.07367699715318	Adult:5.61518024594511e-06
Spata1	spermatogenesis associated 1	A_51_P374549	Embryo:1.0207746524063	Embryo:0.0400179149865077	Adult:2.23307948351798	Adult:4.98944447016416e-05
B4galnt4	beta-1,4-N-acetyl-galactosaminyl transferase 4	A_52_P97889	Embryo:2.07108806348188	Embryo:1.07231100491364e-07	Adult:1.15530450793185	Adult:0.000648837170437243
Grin2b	glutamate receptor, ionotropic, NMDA2B (epsilon 2)	A_51_P229869	Embryo:1.96106459852116	Embryo:0.000333691828596632	Adult:1.26267177337903	Adult:0.0200494013618193
5033430I15Rik	RIKEN cDNA 5033430I15 gene	A_51_P286106	Embryo:1.51650667417902	Embryo:0.00175203177977036	Adult:1.61206030789627	Adult:0.00137687756226141
Ccl27a	chemokine (C-C motif) ligand 27A	A_52_P618693	Embryo:1.66138524123901	Embryo:8.56191086070991e-08	Adult:1.42374763436265	Adult:2.0101983411244e-06
Mllt3	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	A_52_P1066847	Embryo:1.0019273753956	Embryo:0.00121136563225889	Adult:2.06458379750617	Adult:1.03166912307978e-07
2410066E13Rik	RIKEN cDNA 2410066E13 gene	A_51_P218910	Embryo:1.57103766054213	Embryo:2.439243242025e-06	Adult:1.40145504801039	Adult:2.45461503673318e-05
Fam101b	family with sequence similarity 101, member B	A_51_P275697	Embryo:1.66123369458487	Embryo:0.00107396889820316	Adult:1.30416601066765	Adult:0.0110109090847415
Ank2	ankyrin 2, brain	A_52_P137678	Embryo:1.5653045923506	Embryo:0.0129721581985245	Adult:1.38474270209638	Adult:0.032203642939615
C230098O21Rik	RIKEN cDNA C230098O21 gene	A_51_P453818	Embryo:1.40747543224693	Embryo:1.85328218042441e-06	Adult:1.47436452224698	Adult:1.79896579985825e-06
Srms	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	A_52_P534235	Embryo:1.34844528222785	Embryo:0.00073785440176121	Adult:1.45959285827021	Adult:0.00047925005352435
Ptprd	protein tyrosine phosphatase, receptor type, D	A_52_P605266	Embryo:1.52958111263651	Embryo:0.00184705501219436	Adult:1.22469801628897	Adult:0.014201033028309
St6galnac2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	A_51_P112627	Embryo:1.391564594185	Embryo:3.20547969516076e-06	Adult:1.36163691279251	Adult:8.66367676999446e-06
Kank3	KN motif and ankyrin repeat domains 3	A_51_P314517	Embryo:1.37928480102396	Embryo:1.97321499169807e-06	Adult:1.36828492631609	Adult:4.41659678582153e-06
Pomc	pro-opiomelanocortin-alpha	A_52_P671543	Embryo:1.23321549085427	Embryo:0.000710250871810115	Adult:1.51339300811715	Adult:0.000107778344385511
Slc29a4	solute carrier family 29 (nucleoside transporters), member 4	A_52_P1959	Embryo:1.21813255982938	Embryo:4.32592189234436e-05	Adult:1.51131462511754	Adult:3.80479541078046e-06
Cthrc1	collagen triple helix repeat containing 1	A_52_P453785	Embryo:1.42135724602139	Embryo:1.10817964377258e-05	Adult:1.2839219575036	Adult:7.80823327760982e-05
B3galnt1	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 1	A_52_P504268	Embryo:1.59199719748761	Embryo:1.62885237425496e-05	Adult:1.09158940226353	Adult:0.00210341976500998
Plxna2	plexin A2	A_51_P110529	Embryo:1.59455846199962	Embryo:4.63362670137134e-05	Adult:1.08567561532112	Adult:0.00434110376862782
Fmnl3	formin-like 3	A_52_P104769	Embryo:1.26381468719755	Embryo:0.000708913799756832	Adult:1.37709774598275	Adult:0.000427229424649433
Crem	cAMP responsive element modulator	A_52_P460957	Embryo:1.06125635153255	Embryo:0.000109289302552811	Adult:1.5742390018143	Adult:7.19189637959304e-07
Nphp4	nephronophthisis 4 (juvenile) homolog (human)	A_51_P490148	Embryo:1.42540235612435	Embryo:0.00727742804999663	Adult:1.18764075546242	Adult:0.0293580933397994
Mtmr11	myotubularin related protein 11	A_52_P350537	Embryo:1.37772507580793	Embryo:2.54189685533211e-06	Adult:1.21872802784381	Adult:2.84590539888485e-05
Dok7	docking protein 7	A_51_P155458	Embryo:1.46883861801689	Embryo:1.85333901465326e-05	Adult:1.09048568892728	Adult:0.00107946646957411
Sult5a1	sulfotransferase family 5A, member 1	A_51_P471458	Embryo:1.08536543096923	Embryo:0.00128858017008421	Adult:1.46669072210359	Adult:6.59911168173484e-05
Plekhm1	pleckstrin homology domain containing, family M (with RUN domain) member 1	A_52_P133436	Embryo:1.06871694499366	Embryo:0.000102722518117521	Adult:1.47922479244582	Adult:2.0101983411244e-06
Vangl2	vang-like 2 (van gogh, Drosophila)	A_52_P496775	Embryo:1.19432469462753	Embryo:0.00032510273921132	Adult:1.33604186913647	Adult:0.000141242185123208
Magix	MAGI family member, X-linked	A_51_P504214	Embryo:1.37497800248887	Embryo:0.00990709633542624	Adult:1.11691562341286	Adult:0.0414091447194462
Maff	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)	A_52_P608322	Embryo:1.20165229445574	Embryo:3.82979215815376e-05	Adult:1.23279550876595	Adult:4.84667607160789e-05
Batf	basic leucine zipper transcription factor, ATF-like	A_51_P114616	Embryo:1.13324762543249	Embryo:0.000768355012152605	Adult:1.28202747232616	Adult:0.000306155483372329
Adcy9	adenylate cyclase 9	A_51_P501538	Embryo:1.17327814282223	Embryo:0.00432195185242874	Adult:1.19310023787505	Adult:0.00497530386605106
Ahi1	Abelson helper integration site 1	A_52_P476602	Embryo:1.13676020393437	Embryo:0.00111254200594294	Adult:1.22350798165924	Adult:0.000770516186330315
Mtap6	microtubule-associated protein 6	A_51_P497263	Embryo:1.18241096541706	Embryo:0.000128522365359515	Adult:1.16570040149129	Adult:0.000251923992314858
Adam11	a disintegrin and metallopeptidase domain 11	A_51_P130773	Embryo:1.08233302081918	Embryo:0.0343564559969393	Adult:1.26235421774854	Adult:0.0159135796666991
Zfp184	zinc finger protein 184 (Kruppel-like)	A_51_P143528	Embryo:1.19858557667071	Embryo:0.0120692586337002	Adult:1.09709753236294	Adult:0.0252330238102711
Ccdc102a	coiled-coil domain containing 102A	A_51_P138895	Embryo:1.16900436966443	Embryo:0.000923323623260705	Adult:1.0876680651628	Adult:0.00258151455709427
Iqcc	IQ motif containing C	A_52_P371063	Embryo:1.00109464887257	Embryo:0.00519362130569774	Adult:1.25371853866229	Adult:0.000935309895272388
Mical1	microtubule associated monoxygenase, calponin and LIM domain containing 1	A_51_P356760	Embryo:1.22754919631998	Embryo:7.87873743608458e-07	Adult:1.02662884687833	Adult:2.08525019404617e-05
Sidt2	SID1 transmembrane family, member 2	A_51_P385961	Embryo:1.21034449459342	Embryo:3.55753430418186e-05	Adult:1.03104822737972	Adult:0.00042618638208216
Grk4	G protein-coupled receptor kinase 4	A_52_P323914	Embryo:1.03653307684264	Embryo:0.0285931561231524	Adult:1.15027906773146	Adult:0.0177964731107253
Sigirr	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain	A_51_P145520	Embryo:1.12341548623838	Embryo:7.37618420341099e-05	Adult:1.05601397486671	Adult:0.000260562915845472
4930526I15Rik	RIKEN cDNA 4930526I15 gene	A_52_P100293	Embryo:1.1494294504832	Embryo:1.4154539703334e-05	Adult:1.02287956697804	Adult:0.000118439207888912
