Gene name	Accession no.	Symbol	Ratio (mean ± SD, or range)	Function
    KIAA0030 (minichromosome maintenance 2, mitotin)2	AA45472	MCM2	1.8 ± 0.1	Cell cycle and DNA replication/repair/metabolism
    CDC28 protein kinase 11	AA459292	CKS1	1.8 ± 0.3	Cell cycle and DNA replication/repair/metabolism
    Nucleoside diphosphate kinase A (NME1)12	AA644092	NM23A	1.7 ± 0.1	Cell cycle and DNA replication/repair/metabolism
    Ligase I, DNA, ATP-dependent1	AA291715	LIG1	1.7 ± 0.1	Cell cycle and DNA replication/repair/metabolism
    Low-Mr GTP-binding protein (RAB31)12	T96083	RAB31	2.8 ± 0.3	Signal transduction
    PSSALRE for serine/threonine protein kinase	AA401479	LOC377698	2.4 ± 0.6	Signal transduction
    Hemopoietic cell kinase	AA149096	HCK	2.1 ± 0.4	Signal transduction
    Platelet activating factor acetylhydrolase IB gamma-subunit	AA464346	PAFAH1B3	1.9 ± 0.3	Signal transduction
    Pim-1 oncogene (protein kinase over-expressed in prostate cancer)1	AA453663	PIM1	1.9 ± 0.3	Signal transduction
    Protein phosphatase 1, catalytic subunit, alpha isoform	AA443982	PPP1CA	1.9 ± 0.3	Signal transduction
    Caveolin 1 (22 kDa)12	CAV1	AA055835	1.9 ± 0.1	Signal transduction
    GTP binding protein (ARF-like 3)	AA644191	ARL3	1.8 ± 0.1	Signal transduction
    Protein tyrosine kinase t-Ror1 (Ror1)	AA056148	ROR1	1.8 ± 0.0	Signal transduction
    Phosphatidylinositol (4,5) bisphosphate 5-phosphatase homolog2	AA449154	PIB5PA	1.8 ± 0.2	Signal transduction
    Lactate dehydrogenase A12	AA489611	LDHA	2.6 ± 0.8	Biosynthesis and metabolism
    Aldolase C (fructose bisphosphate)	T77281	ALDOC	2.2 ± 0.2	Biosynthesis and metabolism
    Testis-specific lactate dehydrogenase (LDHX)	AA453969	LDHC4	2.2 ± 0.6	Biosynthesis and metabolism
    UDP-galactose 4 epimerase (GALE)	AA281003	GALE	2.1 ± 0.2	Biosynthesis and metabolism
    S-adenosylhomocydteine hydrolase	AA485626	AHCY	2.1 ± 0.2	Biosynthesis and metabolism
    Spermine synthase (SPMSY, SpS)	AA136125	SMS	1.9 ± 0.4	Biosynthesis and metabolism
    Ketohexokinase, clone pHKHK3a	T61308	KHK	1.9 ± 0.0	Biosynthesis and metabolism
    Branched chain Acyl-CoA oxidase (BCOX)	AA399334	ACOX2	1.9 ± 0.3	Biosynthesis and metabolism
    Carnitine acetyltransferase1	AA621218	CRAT	1.8 ± 0.1	Biosynthesis and metabolism
    Farnesyl-diphosphate farnesyl transferase 12	AA679352	FDFT1	1.5 ± 0.0	Biosynthesis and metabolism
    GRO2 oncogene (CXCXL2, C-X-C motif chemokine ligand 2)2	R50407	GRO2	2.1 ± 0.2	Ligands and receptors
    IL-1 receptor antagonist (IL1ra)12	T72877	IL1RN	1.9 ± 0.0	Ligands and receptors
    Neurotrophic tyrosine kinase, receptor, type 1	R11490	NTRK1	1.9 ± 0.3	Ligands and receptors
    Neuropeptide Y receptor Y112	R19478	NPY1R	1.8 ± 0.2	Ligands and receptors
    KIAA0279 gene (Flamingo homolog, cadherin superfamily)	H39187	CELSR2	2.4 ± 0.3	Cell adhesion/cytoskeleton/cell structure/organelles
    Gelsolin precursor, plasma (actin capping/severing)	H72027	GSN	1.9 ± 0.3	Cell adhesion/cytoskeleton/cell structure/organelles
    Plectin (PLEC1) (intermediate filament binding protein 500 kDa)	AA448400	PLEC1	1.9 ± 0.1	Cell adhesion/cytoskeleton/cell structure/organelles
    Arp2/3 protein, subunit p41-Arc (ARC41)	AA188155	ARPC1B	1.8 ± 0.3	Cell adhesion/cytoskeleton/cell structure/organelles
    Tubulin, gamma polypeptide1	T77733	TUBG	1.8 ± 0.0	Cell adhesion/cytoskeleton/cell structure/organelles
    XMP (epithelial membrane protein 2)	T88721	EMP2	2.2 ± 0.4	Membrane proteins/transport/ion channels
    Bet1p homolog (Golgi vesicular membrane trafficking protein p18)	H54367	BET1	2.1 ± 0.3	Membrane proteins/transport/ion channels
    Adaptin, ß 1 (ß prime) [vesicle trafficking]	H41489	ADTB1	2.0 ± 0.1	Membrane proteins/transport/ion channels
    Ezrin-radixin-moesin binding phosphoprotein-50 (SLC9A3R1)1	AA425299	EBP50	2.1 ± 0.0	Membrane proteins/transport/ion channels
    Integral membrane protein E16 (solute carrier family 7, member 5)12	AA419177	SLC7A5	1.9 ± 0.3	Membrane proteins/transport/ion channels
    Keratin 17	AA488336	KRT17	2.8 ± 0.5	Differentiation/development/tissue-specific expression
Keratin 1912	AA464250	KRT19	2.5 ± 0.1	Differentiation/development/tissue-specific expression
    Keratin 151	AA878048	KRT15	2.1 ± 0.3	Differentiation/development/tissue-specific expression
    Keratin 82	H95673	KRT8	1.9 ± 0.1	Differentiation/development/tissue-specific expression
    Keratin 132	W23757	KRT13	1.9 ± 0.1	Differentiation/development/tissue-specific expression
    Kallmann syndrome 1 sequence (neural adhesion and development)1	H17882	KAL1	1.7 ± 0.2	Differentiation/development/tissue-specific expression
    MHC Class II transactivator CIITA	AA490920	MHC2TA	3.5 ± 1.6	Immune response/inflammation/antiviral responses
    LU gene for Lutheran blood group glycoprotein	H24954	LU	1.8 ± 0.1	Immune response/inflammation/antiviral responses
    Eukaryotic translation initiation factor 3 subunit (p42)12	AA668703	EIF3S4	2.2 ± 0.2	RNA and protein processing/metabolism
    Tissue inhibitor of metalloproteinase 1	H80215	TIMP1	1.9 ± 0.3	RNA and protein processing/metabolism
    Clone 23876 neuronal olfactomedin-related ER localized protein1	H23124	OLFM1	1.9 ± 0.1	RNA and protein processing/metabolism
    9G8 splicing factor (HSSG1)	H54020	SFRS7	1.9 ± 0.0	RNA and protein processing/metabolism
    MDC protein (a disintegrin and metalloproteinase)	H43854	ADAM11	1.8 ± 0.1	RNA and protein processing/metabolism
    Calpain-like protease (CANPX, calpain 6)	AA457330	CAPN6	1.8 ± 0.2	RNA and protein processing/metabolism
    Translation initiation factor eIF-3 p110 subunit	AA598863	EIF3S9	1.7 ± 0.1	RNA and protein processing/metabolism
    mRNA in region near the btk gene involved in agammaglobulinemia1	AA485442		1.7 ± 0.1	Other: miscellaneous and unknown function
    Human clone 23798 (from female infant brain)	W41996		1.7 ± 0.2	Other: miscellaneous and unknown function
    KIAA0393 (protein with unknown function)	N58136	MGC57820	1.7 ± 0.2	Other: miscellaneous and unknown function
