P_SET	TITLE	SYMBLE	UPFOLD
212062_at	ATPase, Class II, type 9A	ATP9A	2.24
212154_at	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	SDC2	3.74
212158_at	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	SDC2	2.69
212235_at	KIAA0620 protein	KIAA0620	2
212314_at	KIAA0746 protein	KIAA0746	2.08
212344_at	sulfatase 1	SULF1	5
212353_at	sulfatase 1	SULF1	4.42
212354_at	sulfatase 1	SULF1	7.03
212400_at	---, 212400_at, Homo sapiens mRNA; cDNA DKFZp586A0618 (from clone DKFZp586A0618)	Homo sapiens mRNA; cDNA DKFZp586A0618 (from clone DKFZp586A0618)	3.12
212464_s_at	fibronectin 1	FN1	4.34
212488_at	collagen, type V, alpha 1	COL5A1	3.11
212489_at	collagen, type V, alpha 1	COL5A1	2.6
212687_at	Homo sapiens mRNA; cDNA DKFZp586I0324 (from clone DKFZp586I0324)	Homo sapiens mRNA; cDNA DKFZp586I0324 (from clone DKFZp586I0324)	2.02
212770_at	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)	TLE3,	2.81
212812_at	Homo sapiens cDNA: FLJ22642 fis, clone HSI06970.	Homo sapiens cDNA: FLJ22642 fis, clone HSI06970.	2
212822_at	KIAA1237 protein	KIAA1237	2.12
213069_at	KIAA1237 protein	KIAA1237	2.67
213222_at	phospholipase C, beta 1 (phosphoinositide-specific)	PLCB1	2.1
213238_at	ATPase, Class V, type 10D	ATP10D	2.04
213397_x_at	ribonuclease, RNase A family, 4	RNASE4	2.86
213764_s_at	paternally expressed 3	PEG3	3.66
213800_at	H factor 1 (complement)	HF1	2.74
214020_x_at	integrin, beta 5	ITGB5	2.4
214040_s_at	gelsolin (amyloidosis, Finnish type)	GSN	3.59
214164_x_at	hypothetical protein FLJ20151	FLJ20151	3.35
214390_s_at	branched chain aminotransferase 1, cytosolic	BCAT1	2.29
214452_at	branched chain aminotransferase 1, cytosolic	BCAT1	2.26
214587_at	collagen, type VIII, alpha 1	COL8A1	2.05
214701_s_at	fibronectin 1	FN1	4
214725_at	hypothetical protein FLJ40021	FLJ40021	3.45
215076_s_at	alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	COL3A1	2.27
215112_x_at	Rho family guanine-nucleotide exchange factor	KIAA0861	2.96
215388_s_at	H factor (complement)-like 2	HFL2	9.1
215646_s_at	chondroitin sulfate proteoglycan 2 (versican)	CSPG2	4.67
215843_s_at	tolloid-like 2	TLL2	2.14
215867_x_at	adaptor-related protein complex 1, gamma 1 subunit	AP1G1	3.53
215913_s_at	CED-6 protein	CED-6	2.01
216039_at	---, 216039_at, ---	---, 216039_at, ---	3.99
216268_s_at	jagged 1 (Alagille syndrome)	JAG1	2.34
216379_x_at	KIAA1919 protein	KIAA1919	2.61
216442_x_at	fibronectin 1	FN1	4.19
216973_s_at	homeo box B7	HOXB7	2.45
216974_at	---, 216974_at, ---	---, 216974_at, ---	2.09
217077_s_at	G protein-coupled receptor 51	GPR51	4.62
217161_x_at	aggrecan 1 (chondroitin sulfate proteoglycan 1, large aggregating proteoglycan, antigen identified by monoclonal antibody A0122)	AGC1	2.85
217430_x_at	collagen, type I, alpha 1	COL1A1	2.35
217867_x_at	beta-site APP-cleaving enzyme 2	BACE2	2.28
217892_s_at	epithelial protein lost in neoplasm beta	EPLIN	3.42
217901_at	Homo sapiens, clone IMAGE:4047062, mRNA	Homo sapiens, clone IMAGE:4047062, mRNA	2.31
217963_s_at	nerve growth factor receptor (TNFRSF16) associated protein 1	NGFRAP1	11.04
217975_at	pp21 homolog	LOC51186	7.98
218113_at	transmembrane protein 2	TMEM2	2.82
218541_s_at	chromosome 8 open reading frame 4	C8orf4	3.66
218559_s_at	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	MAFB	3.69
218574_s_at	LIM and cysteine-rich domains 1	LMCD1	3.68
218675_at	potent brain type organic ion transporter	BOCT	2.64
218885_s_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)	GALNT12	2.33
218901_at	phospholipid scramblase 4	PLSCR4	3.14
218918_at	mannosidase, alpha, class 1C, member 1	MAN1C1	2.57
219054_at	hypothetical protein FLJ14054	FLJ14054	2.94
219179_at	antagonist of beta-catenin (xenopus)	DACT1	2.45
219383_at	hypothetical protein FLJ14213	FLJ14213	3.11
219563_at	chromosome 14 open reading frame 139	C14orf139	2.4
219729_at	paired related homeobox protein	PRX2	2.14
219874_at	solute carrier family 12 (potassium/chloride transporters), member 8	SLC12A8	3.08
220092_s_at	tumor endothelial marker 8	TEM8	2.56
220213_at	chromosome 20 open reading frame 17	C20orf17	2.07
220787_at	hypothetical protein PRO2533	PRO2533	2.34
221011_s_at	likely ortholog of mouse limb-bud and heart gene	LBH	3.05
221590_s_at	---, 221590_s_at, Homo sapiens clone FLB9440 PRO2550 mRNA, complete cds	Homo sapiens clone FLB9440 PRO2550 mRNA, complete cds	2.06
221731_x_at	chondroitin sulfate proteoglycan 2 (versican)	CSPG2	3.92
221796_at	neurotrophic tyrosine kinase, receptor, type 2	NTRK2	2.49
221872_at	retinoic acid receptor responder (tazarotene induced) 1	RARRES1	2.7
221933_at	neuroligin	NLGN	2.23
222108_at	---, 222108_at, Homo sapiens, clone IMAGE:3625286, mRNA, partial cds	Homo sapiens, clone IMAGE:3625286, mRNA, partial cds	3.07
266_s_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	2.42
40093_at	Lutheran blood group (Auberger b antigen included)	LU	2.61
60084_at	cylindromatosis (turban tumor syndrome)	CYLD	2.01
222392_x_at	p53-induced protein PIGPC1	PIGPC1	3.03
222453_at	duodenal cytochrome b	FLJ23462	2.13
222455_s_at	parvin, alpha	PARVA	2.27
222457_s_at	epithelial protein lost in neoplasm beta	EPLIN	3.79
222662_at	hypothetical protein LOC286044	LOC286044,	5.51
222670_s_at	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	MAFB	2.09
222760_at	hypothetical protein FLJ14299	FLJ14299	3.36
222833_at	Homo sapiens cDNA FLJ13209 fis, clone NT2RP4000424.	Homo sapiens cDNA FLJ13209 fis, clone NT2RP4000424.	3.83
222853_at	fibronectin leucine rich transmembrane protein 3	FLRT3	2.2
223091_x_at	GL004 protein	GL004	2.01
223143_s_at	hypothetical protein FLJ10342	FLJ10342	2.19
223278_at	gap junction protein, beta 2, 26kDa (connexin 26)	GJB2	2.4
223354_x_at	GL004 protein	GL004	2.18
223492_s_at	leucine rich repeat (in FLII) interacting protein 1	LRRFIP1	2.04
223523_at	hypothetical protein MGC3040	MGC3040	2.05
223524_s_at	hypothetical protein MGC3040	MGC3040	3.66
223854_at	protocadherin beta 10	PCDHB10	2.22
224002_s_at	FK506 binding protein 7	FKBP	2.33
224173_s_at	mitochondrial ribosomal protein L30	MRPL30	2.16
224215_s_at	delta-like 1 (Drosophila)	DLL1,	2.4
224436_s_at	DKFZp564D177 protein	DKFZp564D177	2.11
224560_at	tissue inhibitor of metalloproteinase 2	TIMP2	2.51
224595_at	Dw92 antigen	CDW92	6.05
224596_at	CDw92 antigen	CDW92	4.81
224694_at	tumor endothelial marker 8	TEM8	2.14
224724_at	similar to glucosamine-6-sulfatases	SULF2	2
224741_x_at	Homo sapiens mRNA; cDNA DKFZp564D0164 (from clone DKFZp564D0164)	Homo sapiens mRNA; cDNA DKFZp564D0164 (from clone DKFZp564D0164)	2.03
224766_at	Homo sapiens mRNA; cDNA DKFZp434J0428 (from clone DKFZp434J0428)	Homo sapiens mRNA; cDNA DKFZp434J0428 (from clone DKFZp434J0428)	2
224793_s_at	Homo sapiens mRNA; cDNA DKFZp564G2463 (from clone DKFZp564G2463)	Homo sapiens mRNA; cDNA DKFZp564G2463 (from clone DKFZp564G2463)	2.54
224811_at	Homo sapiens, clone IMAGE:5286019, mRNA	Homo sapiens, clone IMAGE:5286019, mRNA	2.3
224819_at	hypothetical protein MGC45400	MGC45400	4.27
224823_at	Homo sapiens cDNA: FLJ22300 fis, clone HRC04759.	Homo sapiens cDNA: FLJ22300 fis, clone HRC04759.	3.03
224872_at	KIAA1463 protein	KIAA1463	2.16
224893_at	hypothetical protein LOC283241	LOC283241	2.06
224937_at	prostaglandin F2 receptor negative regulator	PTGFRN	2.7
224950_at	prostaglandin F2 receptor negative regulator	PTGFRN	2.85
224964_s_at	guanine nucleotide binding protein (G protein), gamma 2	GNG2	3.25
224989_at	hypothetical protein LOC201895	LOC201895	2.31
224990_at	hypothetical protein LOC201895	LOC201895	2
225056_at	Homo sapiens cDNA FLJ12790 fis, clone NT2RP2001985, weakly similar to Homo sapiens high-risk human papilloma viruses E6 oncoproteins targeted protein E6TP1 alpha mRNA.	---, 225056_at, Homo sapiens cDNA FLJ12790 fis, clone NT2RP2001985, weakly similar to Homo sapiens high-risk human papilloma viruses E6 oncoproteins targeted protein E6TP1 alpha mRNA.	2.75
225144_at	Homo sapiens, clone IMAGE:5277612, mRNA	Homo sapiens, clone IMAGE:5277612, mRNA	2.47
225202_at	Rho-related BTB domain containing 3	RHOBTB3	2.32
225258_at	225258_at, hypothetical protein DKFZp434G171	DKFZp434G171	2.13
225265_at	RNA binding motif, single stranded interacting protein 1	RBMS1tranded interacting protein 1	2.13
225274_at	Moderately similar to  cytokine receptor-like factor 2; cytokine receptor CRL2 precusor [Homo sapiens] [H.sapiens]	Moderately similar to  cytokine receptor-like factor 2; cytokine receptor CRL2 precusor [Homo sapiens] [H.sapiens]	2.02
225275_at	EGF-like repeats and discoidin I-like domains 3	EDIL3	2.24
225285_at	Homo sapiens cDNA: FLJ21962 fis, clone HEP05564.	Homo sapiens cDNA: FLJ21962 fis, clone HEP05564	3.17
225345_s_at	Homo sapiens cDNA FLJ13329 fis, clone OVARC1001795.	Homo sapiens cDNA FLJ13329 fis, clone OVARC1001795.	2.04
225571_at	ESTs, Weakly similar to  cisplatin resistance-associated overexpressed protein [Homo sapiens] [H.sapiens]	ESTs, Weakly similar to  cisplatin resistance-associated overexpressed protein [Homo sapiens] [H.sapiens]	2.83
225575_at	Weakly similar to  cisplatin resistance-associated overexpressed protein [Homo sapiens] [H.sapiens]	ESTs, Weakly similar to  cisplatin resistance-associated overexpressed protein [Homo sapiens] [H.sapiens]	3.06
225602_at	chromosome 9 open reading frame 19	C9orf19	3.34
225604_s_at	chromosome 9 open reading frame 19	C9orf19	2.58
225664_at	collagen, type XII, alpha 1	COL12A1	2.59
225681_at	collagen triple helix repeat containing 1	CTHRC1	4.23
225801_at	Homo sapiens cDNA FLJ13329 fis, clone OVARC1001795.	Homo sapiens cDNA FLJ13329 fis, clone OVARC1001795.	2.22
225817_at	hypothetical protein FLJ14957	FLJ14957	2.62
225897_at	Homo sapiens mRNA, 3UTR, up-regulated by BCG-CWS.	Homo sapiens mRNA, 3UTR, up-regulated by BCG-CWS.	2.95
225990_at	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	ACTR1A	2.76
226084_at	microtubule-associated protein 1B	MAP1B	2.01
226103_at	likely ortholog of rat F-actin binding protein nexilin	nexilin	2.42
226145_s_at	KIAA1500 protein	KIAA1500	2.93
226158_at	Homo sapiens cDNA FLJ14208 fis, clone NT2RP3003264.	Homo sapiens cDNA FLJ14208 fis, clone NT2RP3003264.	2.46
226189_at	Homo sapiens, clone IMAGE:4794726, mRNA	Homo sapiens, clone IMAGE:4794726, mRNA	3.05
226223_at	---, 226223_at, ESTs	---, 226223_at, ESTs	2.26
226225_at	Homo sapiens, clone IMAGE:5294728, mRNA	Homo sapiens, clone IMAGE:5294728, mRNA	3.89
226231_at	PRKC, apoptosis, WT1, regulator	PAWR	2.34
226237_at	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1913076.	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1913076	5.14
226267_at	jun dimerization protein 2	JDP2	3.03
226297_at	Homo sapiens, clone IMAGE:4799578, mRNA	Homo sapiens, clone IMAGE:4799578, mRNA	2.1
226302_at	ESTs, Weakly similar to  hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	ESTs, Weakly similar to  hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	2.48
226415_at	KIAA1576 protein	KIAA1576	2.49
226416_at	hypothetical protein MGC35395	MGC35395	2.24
226517_at	branched chain aminotransferase 1, cytosolic	BCAT1	3.36
226538_at	Homo sapiens mRNA; cDNA DKFZp686H1529 (from clone DKFZp686H1529)	Homo sapiens mRNA; cDNA DKFZp686H1529 (from clone DKFZp686H1529)	2.3
226545_at	Homo sapiens mRNA; cDNA DKFZp586E1624 (from clone DKFZp586E1624)	Homo sapiens mRNA; cDNA DKFZp586E1624 (from clone DKFZp586E1624)	2.25
226552_at	---, 226552_at, ESTs	---, 226552_at, ESTs	2
226573_at	DIRAS family, GTP-binding RAS-like 1	DIRAS1	3.31
226641_at	Homo sapiens cDNA FLJ11570 fis, clone HEMBA1003309.	Homo sapiens cDNA FLJ11570 fis, clone HEMBA1003309.	2.35
226676_at	early hematopoietic zinc finger	EHZF	3.83
226677_at	early hematopoietic zinc finger	EHZF	2.72
226683_at	Homo sapiens cDNA FLJ11997 fis, clone HEMBB1001458.	Homo sapiens cDNA FLJ11997 fis, clone HEMBB1001458.	2.32
226695_at	progesterone receptor membrane component 2	PGRMC2	2.58
226756_at	Homo sapiens cDNA FLJ11436 fis, clone HEMBA1001213.	Homo sapiens cDNA FLJ11436 fis, clone HEMBA1001213.	3.64
226757_at	interferon-induced protein with tetratricopeptide repeats 2	IFIT2	3.09
226785_at	hypothetical protein FLJ34233	FLJ34233	2.22
226865_at	Moderately similar to  hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	ESTs, Moderately similar to  hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	2.11
226899_at	transmembrane receptor Unc5H2	UNC5H2	2.87
226930_at	cathepsin B	CTSB	4.8
227314_at	Weakly similar to  neuronal thread protein [Homo sapiens] [H.sapiens]	ESTs, Weakly similar to  neuronal thread protein [Homo sapiens] [H.sapiens]	2.72
227361_at	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	HS3ST3B1	7.1
227461_at	stonin 2	STN2	2.63
227620_at	---, 227620_at, ESTs	---, 227620_at, ESTs	3.86
227697_at	suppressor of cytokine signaling 3	SOCS3	3.34
227752_at	Homo sapiens cDNA FLJ90790 fis, clone THYRO1001529, weakly similar to SERINE PALMITOYLTRANSFERASE 2 (EC 2.3.1.50).	Homo sapiens cDNA FLJ90790 fis, clone THYRO1001529, weakly similar to SERINE PALMITOYLTRANSFERASE 2 (EC 2.3.1.50).	2.62
227812_at	Homo sapiens full length insert cDNA clone ZD45C04	Homo sapiens full length insert cDNA clone ZD45C04	2.62
227889_at	ESTs	---, 227889_at, ESTs	2.03
228109_at	Homo sapiens cDNA FLJ34852 fis, clone NT2NE2012113.	Homo sapiens cDNA FLJ34852 fis, clone NT2NE2012113.	2.46
228121_at	Homo sapiens cDNA FLJ11812 fis, clone HEMBA1006364.	Homo sapiens cDNA FLJ11812 fis, clone HEMBA1006364.	2.25
228176_at	endothelial differentiation, sphingolipid G-protein-coupled receptor, 3	EDG3	2.28
228291_s_at	chromosome 20 open reading frame 19	C20orf19	2.22
228328_at	Homo sapiens cDNA FLJ33653 fis, clone BRAMY2024715.	Homo sapiens cDNA FLJ33653 fis, clone BRAMY2024715.	2.13
228340_at	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)	TLE3	3.35
228485_s_at	CDw92 antigen	CDW92	4.77
228486_at	CDw92 antigen	CDW92	3.65
228635_at	protocadherin 10	PCDH10	2.65
228640_at	Homo sapiens, clone IMAGE:4800096, mRNA	Homo sapiens, clone IMAGE:4800096, mRNA	2.9
228653_at	Weakly similar to  hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	ESTs, Weakly similar to  hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	2.34
228737_at	C20orf100, 228737_at, chromosome 20 open reading frame 100	C20orf100	2.79
228780_at	H.sapiens mRNA, clone ICRFp507B0451	H..sapiens mRNA, clone ICRFp507B0451	3.38
228915_at	dachshund homolog (Drosophila)	DACH	3.76
228988_at	zinc finger protein 6 (CMPX1)	ZNF6	3.71
229173_at	v-fos FBJ murine osteosarcoma viral oncogene homolog	FOS	2.26
229256_at	hypothetical protein FLJ32029	FLJ32029	2.68
229339_at	myocardin	MYCD	2.03
229450_at	Homo sapiens cig41 mRNA, partial sequence	Homo sapiens cig41 mRNA, partial sequence	2.14
229461_x_at	hypothetical protein MGC46680	MGC46680,	2.37
229513_at	Homo sapiens cDNA: FLJ21960 fis, clone HEP05517.	Homo sapiens cDNA: FLJ21960 fis, clone HEP05517.	2.02
229521_at	hypothetical protein FLJ36031	FLJ36031	2.54
229553_at	protein FLJ32029	FLJ32029	2.35
229802_at	Homo sapiens cDNA FLJ14388 fis, clone HEMBA1002716.	Homo sapiens cDNA FLJ14388 fis, clone HEMBA1002716.	4.29
230030_at	heparan sulfate 6-O-sulfotransferase 2	HS6ST	2.43
230338_x_at	homeobox protein GSH-2	GSH-2	2.11
230383_x_at	---, 230383_x_at, ESTs	---, 230383_x_at, ESTs	2.36
230661_at	Homo sapiens mRNA; cDNA DKFZp667P166 (from clone DKFZp667P166)	Homo sapiens mRNA; cDNA DKFZp667P166 (from clone DKFZp667P166)	2.02
231202_at	Homo sapiens cDNA FLJ36769 fis, clone ADIPS2000245.	Homo sapiens cDNA FLJ36769 fis, clone ADIPS2000245.	2.15
231240_at	deiodinase, iodothyronine, type II	DIO2	2.03
