Probe Set	Accession	Gene Symbol	FC:(Tduc/ normal ductal)	pfp	Increase	Decrease
206032_at	AI797281	DSC3	-6,27353	0,0028	0	4
216005_at	BF434846	TNC	-6,26959	0,0012	0	5
202768_at	NM_006732	FOSB	-6,21504	0,0024	0	5
214651_s_at	U41813	HOXA9	-6,15764	0,0031	0	4
219768_at	NM_024626	VTCN1	-6,14251	0,0016	0	4
206392_s_at	NM_002888	RARRES1	-6,13874	0,0032	0	5
205051_s_at	NM_000222	KIT	-6,13121	0,0031	0	4
227256_at	BG289456	USP31	-5,96659	0,003	0	4
225645_at	AI763378	EHF	-5,93824	0,0032	0	4
1566539_at	AL050129	LOC151877	-5,85823	0,0033	0	4
235075_at	AI813438	DSG3	-5,8309	0,0043	0	4
205380_at	NM_002614	PDZK1	-5,82751	0,0039	0	5
214823_at	AF033199	ZNF204	-5,66572	0,0032	0	4
201496_x_at	S67238	MYH11	-5,65611	0,0038	0	4
214063_s_at	AI073407	TF	-5,62114	0,0052	0	5
223623_at	AF325503	ECRG4	-5,60224	0,0028	0	4
206825_at	NM_000916	OXTR	-5,53097	0,0005	1	4
230791_at	AU146924	---	-5,49149	0,0037	1	4
239258_at	BE551407	RHOQ	-5,42594	0,0027	0	4
36711_at	AL021977	MAFF	-5,41419	0,0048	0	5
213032_at	AI186739	NFIB	-5,35906	0,0048	0	4
235521_at	AW137982	HOXA3	-5,30786	0,0062	0	4
214456_x_at	M23699	SAA1	-5,30504	0,0042	0	4
209170_s_at	AF016004	GPM6B	-5,24109	0,0038	0	5
208370_s_at	NM_004414	DSCR1	-5,16262	0,0044	0	4
241421_at	N92599	---	-5,1573	0,0046	0	5
202274_at	NM_001615	ACTG2	-5,15198	0,0048	0	5
209292_at	AL022726	ID4	-5,14933	0,0025	0	4
202018_s_at	NM_002343	LTF	-5,14403	0,0032	0	4
228748_at	AI653117	CD59	-5,14403	0,0061	0	4
213680_at	AI831452	KRT6B	-5,08906	0,0044	0	4
227444_at	AW519141	ARMCX4	-4,99251	0,0044	0	5
213816_s_at	AA005141	MET	-4,96771	0,0061	0	4
220625_s_at	AF115403	ELF5	-4,80077	0,006	1	4
228854_at	AI492388	---	-4,79157	0,0044	1	4
225540_at	BF342661	MAP2	-4,74834	0,006	0	4
203324_s_at	NM_001233	CAV2	-4,72144	0,0062	0	5
209270_at	L25541	LAMB3	-4,7081	0,006	1	4
213900_at	AA524029	C9orf61	-4,7081	0,0078	0	5
206552_s_at	NM_003182	TAC1	-4,69704	0,0062	0	4
203637_s_at	NM_000381	MID1	-4,68384	0,0057	0	4
202291_s_at	NM_000900	MGP	-4,66853	0,0058	0	5
232882_at	AA079839	FOXO1A	-4,64253	0,006	1	4
231149_s_at	AI828638	ULK4	-4,63607	0,0123	0	4
202035_s_at	AI332407	SFRP1	-4,60617	0,0121	0	4
224240_s_at	AF266504	CCL28	-4,59559	0,0119	0	5
214023_x_at	AL533838	TUBB-PARALOG	-4,55581	0,0055	1	4
202504_at	NM_012101	TRIM29	-4,54339	0,0088	0	4
214598_at	AL049977	CLDN8	-4,54339	0,0206	0	4
237981_at	AA195941	CMYA5	-4,54133	0,0122	0	4
1558828_s_at	AL703532	LOC401212	-4,53721	0,0076	0	5
228143_at	AI684991	---	-4,53721	0,0101	0	4
223916_s_at	AF317392	BCOR	-4,49438	0,013	0	4
239348_at	AI285970	USP31	-4,43262	0,0136	0	4
228885_at	AI862120	MAMDC2	-4,41306	0,0055	0	4
233520_s_at	AL359338	CMYA5	-4,36681	0,019	0	4
230815_at	AI684760	LOC389765	-4,3573	0,0141	0	5
236429_at	AI831874	ZNF83	-4,3535	0,0075	0	5
238481_at	AW512787	MGP	-4,3535	0,0114	0	4
209189_at	BC004490	FOS	-4,33276	0,0109	0	4
205016_at	NM_003236	TGFA	-4,31406	0,0175	0	4
221556_at	BF792631	CDC14B	-4,30663	0,0088	0	4
219492_at	NM_012110	CHIC2	-4,29738	0,0199	0	5
1556007_s_at	AI377389	---	-4,28633	0,0145	0	4
222529_at	BG251467	SLC25A37	-4,28633	0,0175	0	4
204846_at	NM_000096	CP	-4,25713	0,0201	0	4
212724_at	BG054844	RND3	-4,24088	0,0182	0	4
221530_s_at	BE857425	BHLHB3	-4,2337	0,006	1	4
208127_s_at	NM_014011	SOCS5	-4,21941	0,0189	0	4
205816_at	NM_002214	ITGB8	-4,18235	0,0164	0	4
204591_at	NM_006614	CHL1	-4,16146	0,0162	1	4
209648_x_at	AL136896	SOCS5	-4,16146	0,0223	0	4
242208_at	AI634543	---	-4,15628	0,0247	0	5
201510_at	AF017307	ELF3	-4,09668	0,0202	0	4
243140_at	AI917901	ACTA2	-4,07498	0,0145	0	4
239381_at	AU155415	KLK7	-4,0568	0,0277	0	4
204636_at	NM_000494	COL17A1	-4,01123	0,0253	0	5
239301_at	BE551451	RASA1	-3,98724	0,0207	0	4
210942_s_at	AB022918	ST3GAL6	-3,97141	0,0246	0	4
208607_s_at	NM_030754	SAA1 /// SAA2	-3,94945	0,0191	0	5
213029_at	BG478428	NFIB	-3,94633	0,02	0	5
209905_at	AI246769	HOXA9	-3,94322	0,0258	0	4
243016_at	AW271958	ENOSF1	-3,93236	0,0251	0	4
203687_at	NM_002996	CX3CL1	-3,90016	0,0272	0	5
226301_at	AV729072	C6orf192	-3,85951	0,0106	1	4
1556006_s_at	BQ025347	---	-3,84172	0,0082	1	4
204537_s_at	NM_004961	GABRE	-3,84025	0,0244	0	4
1555847_a_at	BU617052	LOC284454	-3,83142	0,0329	0	4
202342_s_at	NM_015271	TRIM2	-3,82555	0,0173	0	5
235497_at	AL079648	LOC284591	-3,82409	0,0256	0	4
213355_at	AI989567	ST3GAL6	-3,79651	0,0415	0	4
209621_s_at	AF002280	PDLIM3	-3,79363	0,0268	0	4
220230_s_at	NM_016229	CYB5R2	-3,77074	0,0384	0	5
227662_at	AA541622	SYNPO2	-3,76506	0,0165	1	4
228686_at	BE217923	---	-3,76364	0,0278	0	4
238584_at	W52934	IQCA	-3,75516	0,0199	1	4
202267_at	NM_005562	LAMC2	-3,73972	0,03	0	5
201161_s_at	NM_003651	CSDA	-3,72995	0,0255	0	4
225728_at	AI659533	---	-3,7092	0,0377	0	5
204041_at	NM_000898	MAOB	-3,69822	0,0231	0	4
202888_s_at	NM_001150	ANPEP	-3,69276	0,0149	1	4
214967_at	AU146983	---	-3,68053	0,0251	1	4
201160_s_at	AL556190	CSDA	-3,67918	0,0256	0	4
229170_s_at	AW024437	TTC18	-3,65364	0,0297	0	4
204607_at	NM_005518	HMGCS2	-3,62845	0,0155	0	5
227183_at	AI417267	LOC401212	-3,62713	0,0385	0	4
201693_s_at	AV733950	EGR1	-3,60101	0,0261	0	5
218706_s_at	AW575493	NS3TP2	-3,57398	0,0286	0	4
230661_at	AW451999	---	-3,52237	0,0328	0	4
206453_s_at	NM_016250	NDRG2	-3,51865	0,04	0	5
241991_at	AI629041	RP3-473B4.1	-3,50877	0,0379	0	4
226171_at	BF111925	FLJ20209	-3,50631	0,0385	0	4
244107_at	AW189097	---	-3,50385	0,0558	0	4
215992_s_at	AL117397	RAPGEF2	-3,49406	0,0451	0	4
236752_at	AA913146	PKP4	-3,4904	0,0477	0	4
228482_at	AV702789	NBLA10383	-3,48189	0,0375	0	4
201012_at	NM_000700	ANXA1	-3,47705	0,0324	0	4
204803_s_at	NM_004165	RRAD	-3,47584	0,0443	0	4
1563498_s_at	AK090434	LOC283130	-3,47102	0,0384	0	5
229357_at	BF060767	ADAMTS5	-3,46861	0,0441	0	4
203706_s_at	NM_003507	FZD7	-3,44947	0,0402	1	4
226179_at	N63920	SLC25A37	-3,44471	0,0474	0	5
226380_at	N21442	PTPN21	-3,43879	0,0474	0	4
226863_at	AI674565	---	-3,43761	0,0534	0	4
1555898_at	BQ003366	LOC150759	-3,43171	0,0584	0	4
229633_at	AA115512	C8orf35	-3,43053	0,0399	0	4
203256_at	NM_001793	CDH3	-3,42818	0,039	0	4
201681_s_at	AB011155	DLG5	-3,427	0,0536	0	5
215033_at	AI189753	TM4SF1	-3,42583	0,0422	1	4
1565162_s_at	D16947	MGST1	-3,42114	0,0328	1	4
224823_at	AA526844	MYLK	-3,41647	0,0363	1	4
229842_at	AA527180	ELF3	-3,4118	0,0563	0	5
238049_at	AW971198	NS3TP2	-3,4118	0,0468	0	4
212592_at	AV733266	IGJ	-3,40716	0,016	1	4
202083_s_at	AI017770	SEC14L1	-3,40136	0,0379	0	4
203180_at	NM_000693	ALDH1A3	-3,37268	0,044	0	4
1556666_a_at	BU680030	TTC6	-3,35008	0,0378	1	4
206391_at	NM_002888	RARRES1	-3,32779	0,0602	0	4
236635_at	AI332774	ZNF667	-3,32668	0,0548	0	5
207961_x_at	NM_022870	MYH11	-3,32447	0,0442	0	4
232584_at	AU147926	---	-3,30688	0,0428	1	4
1557051_s_at	CA448125	---	-3,29598	0,0448	0	4
239130_at	AA905821	---	-3,28839	0,0594	0	4
213526_s_at	BF215644	F25965	-3,27225	0,0451	0	4
230493_at	AW664964	TMEM46	-3,27225	0,0145	1	4
226848_at	AI571166	NR2C2	-3,25627	0,055	0	5
228335_at	AW264204	CLDN11	-3,25203	0,047	0	4
202833_s_at	NM_000295	SERPINA1	-3,23625	0,0557	1	4
1553111_a_at	NM_152903	KBTBD6	-3,23415	0,0632	0	4
209283_at	AF007162	CRYAB	-3,22997	0,0527	0	4
218736_s_at	NM_017734	PALMD	-3,22581	0,0565	0	5
203636_at	BE967532	MID1	-3,22373	0,0342	1	4
239250_at	BE966038	ZNF542	-3,20616	0,0603	0	4
209289_at	AI700518	NFIB	-3,2041	0,0571	0	4
226575_at	T89120	ZNF462	-3,20102	0,0646	0	4
203178_at	NM_001482	GATM	-3,19591	0,0515	1	4
221194_s_at	NM_016125	LOC51136	-3,19387	0,0736	0	4
218424_s_at	NM_018234	STEAP3	-3,17662	0,0746	0	4
1558922_at	CA776505	TIA1	-3,16256	0,0566	0	4
208399_s_at	NM_000114	EDN3	-3,15657	0,0256	0	4
233558_s_at	AK023390	FLJ12716	-3,14861	0,0518	0	4
228156_at	AW342078	---	-3,13972	0,062	0	4
232360_at	AA565141	EHF	-3,13578	0,0625	0	4
225344_at	AL035689	NCOA7	-3,1348	0,0663	0	4
1568780_at	BC030211	LOC497257	-3,12793	0,0593	0	4
235099_at	AW080832	CKLFSF8	-3,125	0,0784	1	4
209220_at	L47125	GPC3	-3,12207	0,0629	0	4
227272_at	BE673226	FLJ43339	-3,11721	0,0884	0	5
202555_s_at	NM_005965	MYLK	-3,11526	0,0619	0	4
232034_at	AL117607	LOC203274	-3,11526	0,0598	0	4
204288_s_at	NM_021069	SORBS2	-3,11236	0,0727	0	4
244521_at	BG236742	ZNF218	-3,10463	0,0621	0	4
203854_at	NM_000204	IF	-3,09981	0,0669	0	4
210172_at	D26121	SF1	-3,09023	0,0597	0	5
204990_s_at	NM_000213	ITGB4	-3,08833	0,0585	0	4
207836_s_at	NM_006867	RBPMS	-3,06654	0,0595	0	4
227148_at	AI913749	PLEKHH2	-3,0553	0,0692	0	4
240458_at	AI242023	ITPR2	-3,05344	0,0613	0	5
215223_s_at	W46388	SOD2	-3,04136	0,0786	0	4
209295_at	AF016266	TNFRSF10B	-3,03674	0,0668	0	4
222528_s_at	BG251467	SLC25A37	-3,03674	0,0778	0	4
209800_at	AF061812	KRT16	-3,02297	0,0884	0	4
203726_s_at	NM_000227	LAMA3	-3,02206	0,0779	0	5
201694_s_at	NM_001964	EGR1	-3,02024	0,0664	0	4
217022_s_at	S55735	IGHA1 /// IGHA2 /// MGC27165	-3,00391	0,0455	1	4
243030_at	AA211369	MAP3K1	-3,00391	0,069	0	4
205382_s_at	NM_001928	DF	-2,97619	0,0669	0	4
212715_s_at	AB020626	MICAL3	-2,95683	0,0746	0	4
210074_at	AF070448	CTSL2	-2,95247	0,0825	0	4
226837_at	BE967019	SPRED1	-2,93169	0,0966	0	4
205547_s_at	NM_003186	TAGLN	-2,92997	0,0788	0	4
226435_at	AU145309	PAPLN	-2,91971	0,0522	1	4
226607_at	AI498144	C20orf194	-2,9163	0,0894	0	4
208498_s_at	NM_004038	AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B	-2,9036	0,0783	0	4
225724_at	AW136120	FLJ31306	-2,89855	0,0703	1	4
211458_s_at	AF180519	GABARAPL1 /// GABARAPL3	-2,88767	0,0901	0	5
231987_at	AW081196	LOC401212	-2,88767	0,0938	0	4
218541_s_at	NM_020130	C8orf4	-2,87522	0,045	1	4
201525_at	NM_001647	APOD	-2,87109	0,0598	0	4
213238_at	AI478147	ATP10D	-2,86862	0,0468	1	4
212463_at	BE379006	CD59	-2,86697	0,0971	0	5
237180_at	T97717	PSME4	-2,85714	0,0823	0	4
232762_at	AU146385	KIAA1217	-2,85144	0,0938	0	4
209129_at	AF000974	TRIP6	-2,8401	0,0786	0	4
244297_at	AI806762	FLJ35740	-2,83849	0,0785	0	4
1555882_at	AJ271379	SPIN3	-2,8177	0,0635	1	4
226869_at	AI655611	EGFL3	-2,8177	0,0814	0	5
228653_at	AI700341	LOC389432	-2,8177	0,0785	0	4
219630_at	NM_005764	PDZK1IP1	-2,81373	0,0965	0	4
244845_at	BF725383	FOXP1	-2,80112	0,0787	1	4
202861_at	NM_002616	PER1	-2,79564	0,0787	0	4
201983_s_at	AW157070	EGFR	-2,79018	0,0679	1	4
235419_at	AW612461	ERRFI1	-2,76243	0,0697	1	4
241763_s_at	BF244402	---	-2,74952	0,0679	1	4
201041_s_at	NM_004417	DUSP1	-2,74348	0,0892	0	5
1555925_at	BE045368	---	-2,73598	0,0966	0	4
209183_s_at	AL136653	C10orf10	-2,71003	0,0871	0	5
218980_at	NM_025135	FHOD3	-2,68528	0,0863	1	4
235766_x_at	AA743462	EIF2C2	-2,64061	0,0903	1	4
236359_at	AW026241	SCN4B	-2,61233	0,0982	1	4
243241_at	AW341473	LOC400880 /// LOC440155 /// LOC440161	-2,0555	0,0381	1	4
1553622_a_at	NM_152597	FSIP1	2,8516	0,0802	4	0
229800_at	AI129626	DCAMKL1	2,9059	0,0557	4	1
219015_s_at	NM_018466	GLT28D1	2,9395	0,0996	4	0
238822_at	AI743753	MRPL3	2,9818	0,072	4	0
223243_s_at	BF439488	C1orf22	2,9855	0,0982	4	0
230165_at	N31731	SGOL2	3,009	0,0826	4	0
214764_at	AW029169	KIAA0507	3,0765	0,0989	4	1
206648_at	NM_016536	ZNF571	3,1047	0,0809	4	0
226899_at	AK022859	UNC5B	3,1314	0,076	4	0
204320_at	NM_001854	COL11A1	3,162	0,0492	4	0
211980_at	AI922605	COL4A1	3,1886	0,0686	4	0
203008_x_at	NM_005783	TXNDC9	3,258	0,0957	4	0
204170_s_at	NM_001827	CKS2	3,2825	0,0551	4	1
211758_x_at	BC005968	TXNDC9	3,2924	0,0912	4	0
236922_at	AA772352	---	3,319	0,0968	4	1
211161_s_at	AF130082	COL3A1	3,3245	0,0906	4	0
207828_s_at	NM_005196	CENPF	3,4218	0,0764	4	0
230893_at	AI223870	DNAJA5	3,5131	0,0486	4	0
223122_s_at	AF311912	SFRP2	3,5534	0,073	4	0
229479_at	AI739132	---	3,5763	0,02	4	0
240145_at	AW628059	---	3,589	0,0405	4	0
228316_at	AA905470	FLJ31438	3,7456	0,0198	4	0
212354_at	BE500977	SULF1	3,7993	0,0319	5	0
211421_s_at	M31213	RET	3,8028	0,006	4	0
201695_s_at	NM_000270	NP	3,9177	0,0288	4	0
211764_s_at	BC005980	UBE2D1	3,9307	0,0285	4	0
235476_at	AW182459	TRIM59	3,9432	0,0287	5	0
220146_at	NM_016562	TLR7	3,9976	0,0104	4	0
212353_at	AI479175	SULF1	4,0321	0,0082	4	0
1556499_s_at	BE221212	COL1A1	4,0681	0,0267	5	0
217735_s_at	AW007368	EIF2AK1	4,0825	0,015	4	0
225267_at	AI935246	KPNA4	4,1092	0,0256	5	0
201744_s_at	NM_002345	LUM	4,1172	0,0409	4	0
212344_at	AW043713	SULF1	4,2708	0,0149	5	0
239108_at	H16791	MLSTD1	4,3579	0,0126	4	0
221729_at	AL575735	COL5A2	4,3715	0,0097	4	0
211776_s_at	BC006141	EPB41L3	4,3877	0,0116	4	0
226760_at	BF666325	LOC203411	4,4856	0,0115	5	0
219087_at	NM_017680	ASPN	4,5494	0,019	4	0
218986_s_at	NM_017631	FLJ20035	4,5542	0,0212	4	0
218585_s_at	NM_016448	DTL	4,82	0,005	4	0
204620_s_at	NM_004385	CSPG2	4,8986	0,01	4	0
210495_x_at	AF130095	FN1	4,9833	0,0104	4	0
212464_s_at	X02761	FN1	5,0085	0,0108	4	0
202403_s_at	AA788711	COL1A2	5,0141	0,0104	4	0
202766_s_at	NM_000138	FBN1	5,0184	0,0104	4	0
210809_s_at	D13665	POSTN	5,06	0,0095	4	0
202310_s_at	K01228	COL1A1	5,1365	0,0057	5	0
216442_x_at	AK026737	FN1	5,2139	0,01	4	0
204619_s_at	BF590263	CSPG2	5,2272	0,0083	4	0
221731_x_at	BF218922	CSPG2	5,3351	0,0089	4	0
217523_at	AV700298	CD44	5,3921	0,0088	4	0
201291_s_at	AU159942	TOP2A	5,5987	0,0022	4	0
205941_s_at	AI376003	COL10A1	5,6492	0,0029	4	0
211719_x_at	BC005858	FN1	5,6992	0,0054	4	0
213909_at	AU147799	LRRC15	5,7103	0,0017	4	0
238681_at	R46180	GDPD1	5,8292	0,0025	4	1
202311_s_at	AI743621	COL1A1	6,0447	0,002	4	0
215646_s_at	R94644	CSPG2	6,7945	0	5	0
37892_at	J04177	COL11A1	7,783	0	5	0
1555778_a_at	AY140646	POSTN	9,8216	0	4	0
202404_s_at	NM_000089	COL1A2	10,053	0	5	0
