Gene symbol	Fold increase, resistant vs sensitive	Resistant, mean signal	Sensitive, mean signal	Probe set	Description
AI146812	2.4	92.2	37.7	230312_at
PARVB	2.4	165.5	68.7	216253_s_at	parvin, beta
SOX12	2.4	144	60.5	204432_at	SRY (sex determining region Y)-box 12
CRTAP	2.4	432.7	183.1	226656_at	cartilage associated protein
C19orf28	2.4	345.9	146.6	220178_at	chromosome 19 open reading frame 28
TBL1X	2.4	458.4	194.7	201869_s_at	transducin (beta)-like 1X-linked
PPIF	2.3	2153.9	917.5	201489_at	peptidylprolyl isomerase F (cyclophilin F)
CDK5RAP2	2.3	502.8	215.8	233540_s_at	CDK5 regulatory subunit associated protein 2
POLRMT	2.3	649	285.4	203782_s_at	polymerase (RNA) mitochondrial (DNA directed)
FBXO30	2.3	682.4	300.7	226541_at	F-box protein 30
PARVB	2.2	309.4	137.8	37966_at	parvin, beta
TBL1X	2.2	830	370.3	213400_s_at	transducin (beta)-like 1X-linked
PCGF6	2.2	377.3	168.9	224326_s_at	polycomb group ring finger 6
PDCD11	2.2	506.3	228.2	212422_at	programmed cell death 11
PEO1	2.2	381.9	173.1	218590_at	progressive external ophthalmoplegia 1
RHOQ	2.2	752.7	343.2	212117_at	ras homolog gene family, member Q
MCART1	2.2	244.8	112.2	214126_at	Mitochondrial carrier triple repeat 1
ACTR1A	2.2	855.3	394.7	200721_s_at	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
BE883167	2.2	87.4	40.4	243606_at	Transcribed locus, moderately similar to NP_055301.1 (AD7c-NTP)
MCART1	2.2	135.6	62.9	227665_at	Mitochondrial carrier triple repeat 1
MDM4	2.2	218.2	101.2	225740_x_at	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)
TTL	2.2	391.1	181.4	224908_s_at	tubulin tyrosine ligase
FLJ20244	2.1	540.1	254	210463_x_at	hypothetical protein FLJ20244
NSMAF	2.1	301.4	142.1	232149_s_at	neutral sphingomyelinase (N-SMase) activation associated factor
IDE	2.1	790.8	374.6	217496_s_at	insulin-degrading enzyme
C20orf27	2.1	787.3	375.4	50314_i_at	chromosome 20 open reading frame 27
RHOQ	2.1	1132	543.8	212120_at	ras homolog gene family, member Q
TRNT1	2.1	251.9	121.2	222754_at	tRNA nucleotidyl transferase, CCA-adding, 1
ALDH1B1	2.1	383.1	186.1	209645_s_at	aldehyde dehydrogenase 1 family, member B1
BMS1L	2.1	1512.2	735.9	203082_at	BMS1-like, ribosome assembly protein (yeast)
SUPV3L1	2	584.9	288.2	212894_at	suppressor of var1, 3-like 1 (S. cerevisiae)
FAM55C	2	263	130.4	243011_at	family with sequence similarity 55, member C
TIMM50	2	1689.3	837.6	224913_s_at	translocase of inner mitochondrial membrane 50 homolog (yeast)
LEPRE1	2	383.8	190.5	220750_s_at	leucine proline-enriched proteoglycan (leprecan) 1
SLC7A1	2	848	421	212290_at	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1
IDE	2	533.7	267.5	203327_at	insulin-degrading enzyme
ARD1	2	904.9	454.5	203025_at	ARD1 homolog, N-acetyltransferase (S. cerevisiae)
PDHA1	2	2479.1	1251.6	200980_s_at	pyruvate dehydrogenase (lipoamide) alpha 1
NOL8	2	674.2	345.1	218244_at	nucleolar protein 8
RAB9P40	1.9	895.7	463.6	203150_at	Rab9 effector p40
ARL3	1.9	765.9	408.4	202641_at	ADP-ribosylation factor-like 3
NAP1L1	1.9	5979.2	3210.7	213864_s_at	nucleosome assembly protein 1-like 1
ACTR1A	1.9	992.3	533.7	200720_s_at	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
NAP1L1	1.8	5611.5	3053.1	208752_x_at	nucleosome assembly protein 1-like 1
RAD50	1.8	726.9	401.1	208393_s_at	RAD50 homolog (S. cerevisiae)
GOT1	1.8	993.4	552.2	208813_at	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)
PDCD11	1.8	390.1	217.3	212424_at	programmed cell death 11
HSA272196	1.8	1317.7	748.8	225096_at	hypothetical protein, clone 2746033
C10orf76	1.8	99.8	56.8	55662_at	chromosome 10 open reading frame 76
UBE2M	1.8	1806.6	1030.3	203109_at	ubiquitin-conjugating enzyme E2M (UBC12 homolog, yeast)
CGI-30	1.7	61.4	35.1	222360_at	CGI-30 protein
COX15	1.7	348.6	199.5	221550_at	COX15 homolog, cytochrome c oxidase assembly protein (yeast)
MGC16471	1.7	231.3	132.8	226815_at	hypothetical protein BC015088
ARS2	1.7	341.2	196.3	201679_at	arsenate resistance protein ARS2
C19orf14	1.7	359.1	207.2	215218_s_at	chromosome 19 open reading frame 14
MLL4	1.7	435.2	258.8	203419_at	myeloid/lymphoid or mixed-lineage leukemia 4
MDM4	1.7	111	66.3	225742_at	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)
IARS	1.7	4588.8	2770.8	204744_s_at	isoleucine-tRNA synthetase
C18orf21	1.6	415.1	253	223526_at
PX19	1.6	680.2	420	224232_s_at	px19-like protein
UBA2	1.6	228.4	143	229587_at	SUMO-1 activating enzyme subunit 2
H07986	1.5	18.6	12.3	242586_at	Transcribed locus
GALNACT-2	1.5	172.7	116.4	239077_at	chondroitin sulfate GalNAcT-2
