Probe Set	Accession	Gene Symbol	FC:(D vs L)	pfp	Increase	Decrease
212338_at	AA621962	MYO1D	"2,011,263"	"0,0412"	6	1
225040_s_at	AV699857	RPE	"1,990,842"	"0,0982"	6	1
203625_x_at	BG105365	SKP2	"1,970,443"	"0,0916"	6	1
213056_at	AU145019	FRMD4B	"1,969,667"	"0,0229"	6	1
227025_at	BG284497	PPHLN1	"1,949,318"	"0,083"	7	3
216248_s_at	S77154	NR4A2	"194,439"	"0,0439"	6	1
237839_at	BF433975	ANK3	"194,439"	"0,0589"	6	1
823_at	U84487	CX3CL1	"1,925,298"	"0,0909"	9	0
222450_at	AL035541	TMEPAI	"1,905,125"	"0,065"	6	0
211686_s_at	AF251062	RBM13	"190,295"	"0,0981"	6	1
212277_at	AB014547	MTMR4	"1,893,581"	"0,0887"	6	1
226350_at	AU155565	CHML	"1,889,645"	"0,0614"	6	1
218963_s_at	NM_015515	KRT23	"1,849,112"	"0,0598"	7	0
235451_at	AI439752	SMAD5	"178,731"	"0,0805"	7	2
205044_at	NM_014211	GABRP	"177,841"	"0,0435"	6	1
49452_at	AI057637	ACACB	"1,765,537"	"0,0896"	8	0
232752_at	AK001164	LOXL1	"1,377,221"	"0,0959"	6	1
211896_s_at	AF138302	DCN	"-20,018"	"0,0947"	1	7
207117_at	NM_015852	H-plk	"-24,041"	"0,0885"	1	6
202975_s_at	N21138	RHOBTB3	"-24,576"	"0,0963"	1	7
203264_s_at	NM_015185	ARHGEF9	"-25,587"	"0,0907"	0	6
209890_at	AF065389	TSPAN5	"-25,798"	"0,0344"	0	7
212650_at	BF116032	EHBP1	"-26,373"	"0,0333"	0	6
226760_at	BF666325	LOC203411	"-30,264"	"0,02"	2	6
"FC, fold change for the specified comparison by rank products analysis; pfp, percentage of false positivities in rank products analysis; Increase – Decrease, count of changes more than 6 (out of 10) was used for pairwise comparisons of normal cells in between."						

Supplementary Table 2. Differentially expressed probe sets between ductal carcinoma (Tduc) and normal ductal (D) cells found by both rank products and pairwise analysis.						
						
Probe Set	Accession	Gene Symbol	FC:(Tduc/ normal ductal)	pfp	Increase	Decrease
209351_at	BC002690	KRT14	"-309,598"	0	0	5
205157_s_at	NM_000422	KRT17	"-213,675"	0	0	5
206378_at	NM_002411	SCGB2A2	"-189,753"	0	1	4
204455_at	NM_001723	DST	"-148,148"	0	1	4
212236_x_at	Z19574	KRT17	"-144,092"	0	0	5
204734_at	NM_002275	KRT15	"-131,926"	0	0	5
209016_s_at	BC002700	KRT7	"-128,041"	0	0	5
201820_at	NM_000424	KRT5	"-127,065"	0	0	4
205363_at	NM_003986	BBOX1	"-126,582"	0	0	4
211737_x_at	BC005916	PTN	"-12,5"	0	0	5
229201_at	AW044658	---	"-124,844"	0	0	5
206548_at	NM_024880	FLJ23556	"-111,732"	0	0	5
224027_at	AF110384	CCL28	"-110,742"	0	0	5
219857_at	NM_024889	C10orf81	"-108,932"	0	1	4
1553602_at	NM_058173	LOC118430	"-104,167"	0	0	4
212730_at	AK026420	DMN	"-10,395"	0	0	5
214087_s_at	BF593509	MYBPC1	"-999,001"	0	0	5
226147_s_at	AA838075	PIGR	"-995,025"	0	0	4
203296_s_at	NM_000702	ATP1A2	"-956,023"	0	0	4
209395_at	M80927	CHI3L1	"-949,668"	0	0	4
202037_s_at	NM_003012	SFRP1	"-877,193"	0	0	4
205044_at	NM_014211	GABRP	"-867,303"	0	0	4
206157_at	NM_002852	PTX3	"-852,515"	0	0	4
202036_s_at	AF017987	SFRP1	"-839,631"	0	1	4
823_at	U84487	CX3CL1	"-834,028"	0	0	5
209466_x_at	M57399	PTN	"-829,187"	"0,0003"	0	5
206799_at	NM_006551	SCGB1D2	"-78,064"	0	1	4
214451_at	NM_003221	TFAP2B	"-773,395"	0	0	4
202672_s_at	NM_001674	ATF3	"-768,049"	0	0	5
209278_s_at	L27624	TFPI2	"-768,049"	"0,0006"	0	5
208004_at	NM_021225	PROL1	"-759,301"	"0,0006"	0	5
229947_at	AI088609	PI15	"-747,943"	"0,0008"	0	5
202935_s_at	AI382146	SOX9	"-738,552"	"0,0007"	0	4
218963_s_at	NM_015515	KRT23	"-737,463"	"0,0009"	0	5
204259_at	NM_002423	MMP7	"-724,638"	"0,0007"	0	5
209291_at	AW157094	ID4	"-708,215"	"0,0006"	0	4
221872_at	AI669229	RARRES1	"-676,133"	"0,0009"	0	4
227702_at	AA557324	CYP4X1	"-671,592"	"0,0005"	1	4
203951_at	NM_001299	CNN1	"-658,762"	"0,0013"	0	5
235467_s_at	BF969982	KCNC4	"-650,618"	"0,0023"	0	5
203400_s_at	NM_001063	TF	"-643,501"	"0,0033"	0	4
226755_at	AI375939	---	"-632,911"	"0,0021"	0	4
222862_s_at	BG169832	AK5	"-630,517"	"0,0009"	0	4
206032_at	AI797281	DSC3	"-627,353"	"0,0028"	0	4
216005_at	BF434846	TNC	"-626,959"	"0,0012"	0	5
202768_at	NM_006732	FOSB	"-621,504"	"0,0024"	0	5
214651_s_at	U41813	HOXA9	"-615,764"	"0,0031"	0	4
219768_at	NM_024626	VTCN1	"-614,251"	"0,0016"	0	4
206392_s_at	NM_002888	RARRES1	"-613,874"	"0,0032"	0	5
205051_s_at	NM_000222	KIT	"-613,121"	"0,0031"	0	4
227256_at	BG289456	USP31	"-596,659"	"0,003"	0	4
225645_at	AI763378	EHF	"-593,824"	"0,0032"	0	4
1566539_at	AL050129	LOC151877	"-585,823"	"0,0033"	0	4
235075_at	AI813438	DSG3	"-58,309"	"0,0043"	0	4
205380_at	NM_002614	PDZK1	"-582,751"	"0,0039"	0	5
214823_at	AF033199	ZNF204	"-566,572"	"0,0032"	0	4
201496_x_at	S67238	MYH11	"-565,611"	"0,0038"	0	4
214063_s_at	AI073407	TF	"-562,114"	"0,0052"	0	5
223623_at	AF325503	ECRG4	"-560,224"	"0,0028"	0	4
206825_at	NM_000916	OXTR	"-553,097"	"0,0005"	1	4
230791_at	AU146924	---	"-549,149"	"0,0037"	1	4
239258_at	BE551407	RHOQ	"-542,594"	"0,0027"	0	4
36711_at	AL021977	MAFF	"-541,419"	"0,0048"	0	5
213032_at	AI186739	NFIB	"-535,906"	"0,0048"	0	4
235521_at	AW137982	HOXA3	"-530,786"	"0,0062"	0	4
214456_x_at	M23699	SAA1	"-530,504"	"0,0042"	0	4
209170_s_at	AF016004	GPM6B	"-524,109"	"0,0038"	0	5
208370_s_at	NM_004414	DSCR1	"-516,262"	"0,0044"	0	4
241421_at	N92599	---	"-51,573"	"0,0046"	0	5
202274_at	NM_001615	ACTG2	"-515,198"	"0,0048"	0	5
209292_at	AL022726	ID4	"-514,933"	"0,0025"	0	4
202018_s_at	NM_002343	LTF	"-514,403"	"0,0032"	0	4
228748_at	AI653117	CD59	"-514,403"	"0,0061"	0	4
213680_at	AI831452	KRT6B	"-508,906"	"0,0044"	0	4
227444_at	AW519141	ARMCX4	"-499,251"	"0,0044"	0	5
213816_s_at	AA005141	MET	"-496,771"	"0,0061"	0	4
220625_s_at	AF115403	ELF5	"-480,077"	"0,006"	1	4
228854_at	AI492388	---	"-479,157"	"0,0044"	1	4
225540_at	BF342661	MAP2	"-474,834"	"0,006"	0	4
203324_s_at	NM_001233	CAV2	"-472,144"	"0,0062"	0	5
209270_at	L25541	LAMB3	"-47,081"	"0,006"	1	4
213900_at	AA524029	C9orf61	"-47,081"	"0,0078"	0	5
206552_s_at	NM_003182	TAC1	"-469,704"	"0,0062"	0	4
203637_s_at	NM_000381	MID1	"-468,384"	"0,0057"	0	4
202291_s_at	NM_000900	MGP	"-466,853"	"0,0058"	0	5
232882_at	AA079839	FOXO1A	"-464,253"	"0,006"	1	4
231149_s_at	AI828638	ULK4	"-463,607"	"0,0123"	0	4
202035_s_at	AI332407	SFRP1	"-460,617"	"0,0121"	0	4
224240_s_at	AF266504	CCL28	"-459,559"	"0,0119"	0	5
214023_x_at	AL533838	TUBB-PARALOG	"-455,581"	"0,0055"	1	4
202504_at	NM_012101	TRIM29	"-454,339"	"0,0088"	0	4
214598_at	AL049977	CLDN8	"-454,339"	"0,0206"	0	4
237981_at	AA195941	CMYA5	"-454,133"	"0,0122"	0	4
1558828_s_at	AL703532	LOC401212	"-453,721"	"0,0076"	0	5
228143_at	AI684991	---	"-453,721"	"0,0101"	0	4
223916_s_at	AF317392	BCOR	"-449,438"	"0,013"	0	4
239348_at	AI285970	USP31	"-443,262"	"0,0136"	0	4
228885_at	AI862120	MAMDC2	"-441,306"	"0,0055"	0	4
233520_s_at	AL359338	CMYA5	"-436,681"	"0,019"	0	4
230815_at	AI684760	LOC389765	"-43,573"	"0,0141"	0	5
236429_at	AI831874	ZNF83	"-43,535"	"0,0075"	0	5
238481_at	AW512787	MGP	"-43,535"	"0,0114"	0	4
209189_at	BC004490	FOS	"-433,276"	"0,0109"	0	4
205016_at	NM_003236	TGFA	"-431,406"	"0,0175"	0	4
221556_at	BF792631	CDC14B	"-430,663"	"0,0088"	0	4
219492_at	NM_012110	CHIC2	"-429,738"	"0,0199"	0	5
1556007_s_at	AI377389	---	"-428,633"	"0,0145"	0	4
222529_at	BG251467	SLC25A37	"-428,633"	"0,0175"	0	4
204846_at	NM_000096	CP	"-425,713"	"0,0201"	0	4
212724_at	BG054844	RND3	"-424,088"	"0,0182"	0	4
221530_s_at	BE857425	BHLHB3	"-42,337"	"0,006"	1	4
208127_s_at	NM_014011	SOCS5	"-421,941"	"0,0189"	0	4
205816_at	NM_002214	ITGB8	"-418,235"	"0,0164"	0	4
204591_at	NM_006614	CHL1	"-416,146"	"0,0162"	1	4
209648_x_at	AL136896	SOCS5	"-416,146"	"0,0223"	0	4
242208_at	AI634543	---	"-415,628"	"0,0247"	0	5
201510_at	AF017307	ELF3	"-409,668"	"0,0202"	0	4
243140_at	AI917901	ACTA2	"-407,498"	"0,0145"	0	4
239381_at	AU155415	KLK7	"-40,568"	"0,0277"	0	4
204636_at	NM_000494	COL17A1	"-401,123"	"0,0253"	0	5
239301_at	BE551451	RASA1	"-398,724"	"0,0207"	0	4
210942_s_at	AB022918	ST3GAL6	"-397,141"	"0,0246"	0	4
208607_s_at	NM_030754	SAA1 /// SAA2	"-394,945"	"0,0191"	0	5
213029_at	BG478428	NFIB	"-394,633"	"0,02"	0	5
209905_at	AI246769	HOXA9	"-394,322"	"0,0258"	0	4
243016_at	AW271958	ENOSF1	"-393,236"	"0,0251"	0	4
203687_at	NM_002996	CX3CL1	"-390,016"	"0,0272"	0	5
226301_at	AV729072	C6orf192	"-385,951"	"0,0106"	1	4
1556006_s_at	BQ025347	---	"-384,172"	"0,0082"	1	4
204537_s_at	NM_004961	GABRE	"-384,025"	"0,0244"	0	4
1555847_a_at	BU617052	LOC284454	"-383,142"	"0,0329"	0	4
202342_s_at	NM_015271	TRIM2	"-382,555"	"0,0173"	0	5
235497_at	AL079648	LOC284591	"-382,409"	"0,0256"	0	4
213355_at	AI989567	ST3GAL6	"-379,651"	"0,0415"	0	4
209621_s_at	AF002280	PDLIM3	"-379,363"	"0,0268"	0	4
220230_s_at	NM_016229	CYB5R2	"-377,074"	"0,0384"	0	5
227662_at	AA541622	SYNPO2	"-376,506"	"0,0165"	1	4
228686_at	BE217923	---	"-376,364"	"0,0278"	0	4
238584_at	W52934	IQCA	"-375,516"	"0,0199"	1	4
202267_at	NM_005562	LAMC2	"-373,972"	"0,03"	0	5
201161_s_at	NM_003651	CSDA	"-372,995"	"0,0255"	0	4
225728_at	AI659533	---	"-37,092"	"0,0377"	0	5
204041_at	NM_000898	MAOB	"-369,822"	"0,0231"	0	4
202888_s_at	NM_001150	ANPEP	"-369,276"	"0,0149"	1	4
214967_at	AU146983	---	"-368,053"	"0,0251"	1	4
201160_s_at	AL556190	CSDA	"-367,918"	"0,0256"	0	4
229170_s_at	AW024437	TTC18	"-365,364"	"0,0297"	0	4
204607_at	NM_005518	HMGCS2	"-362,845"	"0,0155"	0	5
227183_at	AI417267	LOC401212	"-362,713"	"0,0385"	0	4
201693_s_at	AV733950	EGR1	"-360,101"	"0,0261"	0	5
218706_s_at	AW575493	NS3TP2	"-357,398"	"0,0286"	0	4
230661_at	AW451999	---	"-352,237"	"0,0328"	0	4
206453_s_at	NM_016250	NDRG2	"-351,865"	"0,04"	0	5
241991_at	AI629041	RP3-473B4.1	"-350,877"	"0,0379"	0	4
226171_at	BF111925	FLJ20209	"-350,631"	"0,0385"	0	4
244107_at	AW189097	---	"-350,385"	"0,0558"	0	4
215992_s_at	AL117397	RAPGEF2	"-349,406"	"0,0451"	0	4
236752_at	AA913146	PKP4	"-34,904"	"0,0477"	0	4
228482_at	AV702789	NBLA10383	"-348,189"	"0,0375"	0	4
201012_at	NM_000700	ANXA1	"-347,705"	"0,0324"	0	4
204803_s_at	NM_004165	RRAD	"-347,584"	"0,0443"	0	4
1563498_s_at	AK090434	LOC283130	"-347,102"	"0,0384"	0	5
229357_at	BF060767	ADAMTS5	"-346,861"	"0,0441"	0	4
203706_s_at	NM_003507	FZD7	"-344,947"	"0,0402"	1	4
226179_at	N63920	SLC25A37	"-344,471"	"0,0474"	0	5
226380_at	N21442	PTPN21	"-343,879"	"0,0474"	0	4
226863_at	AI674565	---	"-343,761"	"0,0534"	0	4
1555898_at	BQ003366	LOC150759	"-343,171"	"0,0584"	0	4
229633_at	AA115512	C8orf35	"-343,053"	"0,0399"	0	4
203256_at	NM_001793	CDH3	"-342,818"	"0,039"	0	4
201681_s_at	AB011155	DLG5	"-3,427"	"0,0536"	0	5
215033_at	AI189753	TM4SF1	"-342,583"	"0,0422"	1	4
1565162_s_at	D16947	MGST1	"-342,114"	"0,0328"	1	4
224823_at	AA526844	MYLK	"-341,647"	"0,0363"	1	4
229842_at	AA527180	ELF3	"-34,118"	"0,0563"	0	5
238049_at	AW971198	NS3TP2	"-34,118"	"0,0468"	0	4
212592_at	AV733266	IGJ	"-340,716"	"0,016"	1	4
202083_s_at	AI017770	SEC14L1	"-340,136"	"0,0379"	0	4
203180_at	NM_000693	ALDH1A3	"-337,268"	"0,044"	0	4
1556666_a_at	BU680030	TTC6	"-335,008"	"0,0378"	1	4
206391_at	NM_002888	RARRES1	"-332,779"	"0,0602"	0	4
236635_at	AI332774	ZNF667	"-332,668"	"0,0548"	0	5
207961_x_at	NM_022870	MYH11	"-332,447"	"0,0442"	0	4
232584_at	AU147926	---	"-330,688"	"0,0428"	1	4
1557051_s_at	CA448125	---	"-329,598"	"0,0448"	0	4
239130_at	AA905821	---	"-328,839"	"0,0594"	0	4
213526_s_at	BF215644	F25965	"-327,225"	"0,0451"	0	4
230493_at	AW664964	TMEM46	"-327,225"	"0,0145"	1	4
226848_at	AI571166	NR2C2	"-325,627"	"0,055"	0	5
228335_at	AW264204	CLDN11	"-325,203"	"0,047"	0	4
202833_s_at	NM_000295	SERPINA1	"-323,625"	"0,0557"	1	4
1553111_a_at	NM_152903	KBTBD6	"-323,415"	"0,0632"	0	4
209283_at	AF007162	CRYAB	"-322,997"	"0,0527"	0	4
218736_s_at	NM_017734	PALMD	"-322,581"	"0,0565"	0	5
203636_at	BE967532	MID1	"-322,373"	"0,0342"	1	4
239250_at	BE966038	ZNF542	"-320,616"	"0,0603"	0	4
209289_at	AI700518	NFIB	"-32,041"	"0,0571"	0	4
226575_at	T89120	ZNF462	"-320,102"	"0,0646"	0	4
203178_at	NM_001482	GATM	"-319,591"	"0,0515"	1	4
221194_s_at	NM_016125	LOC51136	"-319,387"	"0,0736"	0	4
218424_s_at	NM_018234	STEAP3	"-317,662"	"0,0746"	0	4
1558922_at	CA776505	TIA1	"-316,256"	"0,0566"	0	4
208399_s_at	NM_000114	EDN3	"-315,657"	"0,0256"	0	4
233558_s_at	AK023390	FLJ12716	"-314,861"	"0,0518"	0	4
228156_at	AW342078	---	"-313,972"	"0,062"	0	4
232360_at	AA565141	EHF	"-313,578"	"0,0625"	0	4
225344_at	AL035689	NCOA7	"-31,348"	"0,0663"	0	4
1568780_at	BC030211	LOC497257	"-312,793"	"0,0593"	0	4
235099_at	AW080832	CKLFSF8	"-3,125"	"0,0784"	1	4
209220_at	L47125	GPC3	"-312,207"	"0,0629"	0	4
227272_at	BE673226	FLJ43339	"-311,721"	"0,0884"	0	5
202555_s_at	NM_005965	MYLK	"-311,526"	"0,0619"	0	4
232034_at	AL117607	LOC203274	"-311,526"	"0,0598"	0	4
204288_s_at	NM_021069	SORBS2	"-311,236"	"0,0727"	0	4
244521_at	BG236742	ZNF218	"-310,463"	"0,0621"	0	4
203854_at	NM_000204	IF	"-309,981"	"0,0669"	0	4
210172_at	D26121	SF1	"-309,023"	"0,0597"	0	5
204990_s_at	NM_000213	ITGB4	"-308,833"	"0,0585"	0	4
207836_s_at	NM_006867	RBPMS	"-306,654"	"0,0595"	0	4
227148_at	AI913749	PLEKHH2	"-30,553"	"0,0692"	0	4
240458_at	AI242023	ITPR2	"-305,344"	"0,0613"	0	5
215223_s_at	W46388	SOD2	"-304,136"	"0,0786"	0	4
209295_at	AF016266	TNFRSF10B	"-303,674"	"0,0668"	0	4
222528_s_at	BG251467	SLC25A37	"-303,674"	"0,0778"	0	4
209800_at	AF061812	KRT16	"-302,297"	"0,0884"	0	4
203726_s_at	NM_000227	LAMA3	"-302,206"	"0,0779"	0	5
201694_s_at	NM_001964	EGR1	"-302,024"	"0,0664"	0	4
217022_s_at	S55735	IGHA1 /// IGHA2 /// MGC27165	"-300,391"	"0,0455"	1	4
243030_at	AA211369	MAP3K1	"-300,391"	"0,069"	0	4
205382_s_at	NM_001928	DF	"-297,619"	"0,0669"	0	4
212715_s_at	AB020626	MICAL3	"-295,683"	"0,0746"	0	4
210074_at	AF070448	CTSL2	"-295,247"	"0,0825"	0	4
226837_at	BE967019	SPRED1	"-293,169"	"0,0966"	0	4
205547_s_at	NM_003186	TAGLN	"-292,997"	"0,0788"	0	4
226435_at	AU145309	PAPLN	"-291,971"	"0,0522"	1	4
226607_at	AI498144	C20orf194	"-29,163"	"0,0894"	0	4
208498_s_at	NM_004038	AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B	"-29,036"	"0,0783"	0	4
225724_at	AW136120	FLJ31306	"-289,855"	"0,0703"	1	4
211458_s_at	AF180519	GABARAPL1 /// GABARAPL3	"-288,767"	"0,0901"	0	5
231987_at	AW081196	LOC401212	"-288,767"	"0,0938"	0	4
218541_s_at	NM_020130	C8orf4	"-287,522"	"0,045"	1	4
201525_at	NM_001647	APOD	"-287,109"	"0,0598"	0	4
213238_at	AI478147	ATP10D	"-286,862"	"0,0468"	1	4
212463_at	BE379006	CD59	"-286,697"	"0,0971"	0	5
237180_at	T97717	PSME4	"-285,714"	"0,0823"	0	4
232762_at	AU146385	KIAA1217	"-285,144"	"0,0938"	0	4
209129_at	AF000974	TRIP6	"-28,401"	"0,0786"	0	4
244297_at	AI806762	FLJ35740	"-283,849"	"0,0785"	0	4
1555882_at	AJ271379	SPIN3	"-28,177"	"0,0635"	1	4
226869_at	AI655611	EGFL3	"-28,177"	"0,0814"	0	5
228653_at	AI700341	LOC389432	"-28,177"	"0,0785"	0	4
219630_at	NM_005764	PDZK1IP1	"-281,373"	"0,0965"	0	4
244845_at	BF725383	FOXP1	"-280,112"	"0,0787"	1	4
202861_at	NM_002616	PER1	"-279,564"	"0,0787"	0	4
201983_s_at	AW157070	EGFR	"-279,018"	"0,0679"	1	4
235419_at	AW612461	ERRFI1	"-276,243"	"0,0697"	1	4
241763_s_at	BF244402	---	"-274,952"	"0,0679"	1	4
201041_s_at	NM_004417	DUSP1	"-274,348"	"0,0892"	0	5
1555925_at	BE045368	---	"-273,598"	"0,0966"	0	4
209183_s_at	AL136653	C10orf10	"-271,003"	"0,0871"	0	5
218980_at	NM_025135	FHOD3	"-268,528"	"0,0863"	1	4
235766_x_at	AA743462	EIF2C2	"-264,061"	"0,0903"	1	4
236359_at	AW026241	SCN4B	"-261,233"	"0,0982"	1	4
243241_at	AW341473	LOC400880 /// LOC440155 /// LOC440161	"-20,555"	"0,0381"	1	4
1553622_a_at	NM_152597	FSIP1	"28,516"	"0,0802"	4	0
229800_at	AI129626	DCAMKL1	"29,059"	"0,0557"	4	1
219015_s_at	NM_018466	GLT28D1	"29,395"	"0,0996"	4	0
238822_at	AI743753	MRPL3	"29,818"	"0,072"	4	0
223243_s_at	BF439488	C1orf22	"29,855"	"0,0982"	4	0
230165_at	N31731	SGOL2	"3,009"	"0,0826"	4	0
214764_at	AW029169	KIAA0507	"30,765"	"0,0989"	4	1
206648_at	NM_016536	ZNF571	"31,047"	"0,0809"	4	0
226899_at	AK022859	UNC5B	"31,314"	"0,076"	4	0
204320_at	NM_001854	COL11A1	"3,162"	"0,0492"	4	0
211980_at	AI922605	COL4A1	"31,886"	"0,0686"	4	0
203008_x_at	NM_005783	TXNDC9	"3,258"	"0,0957"	4	0
204170_s_at	NM_001827	CKS2	"32,825"	"0,0551"	4	1
211758_x_at	BC005968	TXNDC9	"32,924"	"0,0912"	4	0
236922_at	AA772352	---	"3,319"	"0,0968"	4	1
211161_s_at	AF130082	COL3A1	"33,245"	"0,0906"	4	0
207828_s_at	NM_005196	CENPF	"34,218"	"0,0764"	4	0
230893_at	AI223870	DNAJA5	"35,131"	"0,0486"	4	0
223122_s_at	AF311912	SFRP2	"35,534"	"0,073"	4	0
229479_at	AI739132	---	"35,763"	"0,02"	4	0
240145_at	AW628059	---	"3,589"	"0,0405"	4	0
228316_at	AA905470	FLJ31438	"37,456"	"0,0198"	4	0
212354_at	BE500977	SULF1	"37,993"	"0,0319"	5	0
211421_s_at	M31213	RET	"38,028"	"0,006"	4	0
201695_s_at	NM_000270	NP	"39,177"	"0,0288"	4	0
211764_s_at	BC005980	UBE2D1	"39,307"	"0,0285"	4	0
235476_at	AW182459	TRIM59	"39,432"	"0,0287"	5	0
220146_at	NM_016562	TLR7	"39,976"	"0,0104"	4	0
212353_at	AI479175	SULF1	"40,321"	"0,0082"	4	0
1556499_s_at	BE221212	COL1A1	"40,681"	"0,0267"	5	0
217735_s_at	AW007368	EIF2AK1	"40,825"	"0,015"	4	0
225267_at	AI935246	KPNA4	"41,092"	"0,0256"	5	0
201744_s_at	NM_002345	LUM	"41,172"	"0,0409"	4	0
212344_at	AW043713	SULF1	"42,708"	"0,0149"	5	0
239108_at	H16791	MLSTD1	"43,579"	"0,0126"	4	0
221729_at	AL575735	COL5A2	"43,715"	"0,0097"	4	0
211776_s_at	BC006141	EPB41L3	"43,877"	"0,0116"	4	0
226760_at	BF666325	LOC203411	"44,856"	"0,0115"	5	0
219087_at	NM_017680	ASPN	"45,494"	"0,019"	4	0
218986_s_at	NM_017631	FLJ20035	"45,542"	"0,0212"	4	0
218585_s_at	NM_016448	DTL	"4,82"	"0,005"	4	0
204620_s_at	NM_004385	CSPG2	"48,986"	"0,01"	4	0
210495_x_at	AF130095	FN1	"49,833"	"0,0104"	4	0
212464_s_at	X02761	FN1	"50,085"	"0,0108"	4	0
202403_s_at	AA788711	COL1A2	"50,141"	"0,0104"	4	0
202766_s_at	NM_000138	FBN1	"50,184"	"0,0104"	4	0
210809_s_at	D13665	POSTN	"5,06"	"0,0095"	4	0
202310_s_at	K01228	COL1A1	"51,365"	"0,0057"	5	0
216442_x_at	AK026737	FN1	"52,139"	"0,01"	4	0
204619_s_at	BF590263	CSPG2	"52,272"	"0,0083"	4	0
221731_x_at	BF218922	CSPG2	"53,351"	"0,0089"	4	0
217523_at	AV700298	CD44	"53,921"	"0,0088"	4	0
201291_s_at	AU159942	TOP2A	"55,987"	"0,0022"	4	0
