Gene name	Genesymbol	Foldchange	Upregulated in other studies	Gene Description
Bullous pemphigoid antigen 1, 230/240kDa	BPAG1	8.9	g	Cell proliferation
Tumor necrosis factor (ligand) superfamily, member 4	TNFSF4	5.12		Cell proliferation
Nuclear receptor interacting protein 1	NRIP1	8.99	i	Transcription
Single-stranded DNA binding protein 2	SSBP2	7.27	i, r	Transcription
Thyroid hormone receptor interactor 6	TRIP6	6.87		Transcription
KIAA1815	KIAA1815	6.22		Transcription
Hypothetical protein MGC4655	MGC4655	16.14		Biosynthesis
Guanylate cyclase 1, soluble, alpha 3	GUCY1A3	10.56	g	Biosynthesis
Heat shock 27kDa protein 1	HSPB1	8.8	g	Biosynthesis
Myoinositol 1-phosphate synthase A1	ISYNA1	7.24	i	Biosynthesis
IMP (inosine monophosphate) dehydrogenase 2	IMPDH2	5.1	i	Biosynthesis
Dimethylarginine dimethylaminohydrolase 2	DDAH2	5.05	r	Biosynthesis
Corticotropin releasing hormone binding protein	CRHBP	45.25	g	Signal transduction
Cytokine-like protein C17	C17	37.24		Signal transduction
Phospholipase C, beta 4	PLCB4	19.84		Signal transduction
Serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1	SERPING1	11.97	r	Signal transduction
Prominin 1	PROM1	177.14		Other
Selenoprotein P, plasma, 1	SEPP1	47.67		Other
RNA binding protein with multiple splicing	RBPMS	43.9	g, i	Other
Neuronal pentraxin II	NPTX2	32.28		Other
Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	PLOD2	32.14		Other
Tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	TFPI	24.6	g, i	Other
CD34 antigen	CD34	20.13	i	Other
H factor (complement)-like 1	HFL1	17.07		Other
Mesoderm specific transcript homologue (mouse)	MEST	12.66	i	Other
Immunoglobulin lambda-like polypeptide 1	IGLL1	12.07		Other
Hypothetical protein FLJ12428	DEPDC6	11.97		Other
Malic enzyme 3, NADP(+)-dependent, mitochondrial	ME3	11.61		Other
UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	B4GALT6	11.31		Other
Carboxypeptidase A3 (mast cell)	CPA3	9.81	i	Other
Desmoglein 2	DSG2	9.43	i	Other
Coagulation factor II (thrombin) receptor-like 1	F2RL1	7.79		Other
Neural proliferation, differentiation and control, 1	NPDC1	6.93		Other
DNA (cytosine-5-)-methyltransferase 3 beta	DNMT3B	6.17		Other
Fibrillin 1 (Marfan syndrome)	FBN1	5.91		Other
a disintegrin and metalloproteinase domain 28	ADAM28	5.86	g	Other
Interleukin 18 (interferon-gamma-inducing factor)	IL18	5.21	r	Other
Serine protease inhibitor, Kazal type, 2 (acrosin-trypsin inhibitor)	SPINK2	122.04	g	Unclassified
Hypothetical protein FLJ14054	FLJ14054	95.75	g	Unclassified
Chromosome 14 open reading frame 110	C14orf110	76.44	g	Unclassified
Brain and acute leukemia, cytoplasmic	BAALC	45.85		Unclassified
Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	GNAI1	44.09		Unclassified
Rho GTPase activating protein 2	ARHGAP22	33.56		Unclassified
KIAA0657 protein	KIAA0657	29.73		Unclassified
Lysosomal associated protein transmembrane 4 beta	LAPTM4B	29.18	i, r	Unclassified
KIAA0125	KIAA0125	24.46	g	Unclassified
Meis1, myeloid ecotropic viral integration site 1 homologue (mouse)	MEIS1	19.28	i	Unclassified
EGF-like domain, multiple 7	EGFL7	18.62		Unclassified
fms-related tyrosine kinase 3	FLT3	17.99	i, r	Unclassified
KIAA1102 protein	KIAA1102	17.15	g	Unclassified
PDZ domain containing 3	PDZK3;PDZD2	16.42		Unclassified
KDEL (Lys-Asp-Glu-Leu) containing 1	KDELC1	15.45		Unclassified
Plastin 3 (T isoform)	PLS3	15.06	g, i, r	Unclassified
Hypothetical protein FLJ13197	FLJ13197	14.42	g	Unclassified
Schwannomin interacting protein 1	SCHIP1	14.36		Unclassified
Thioredoxin reductase 3	TXNRD3	14.3		Unclassified
Exonuclease NEF-sp,exonuclease NEF-sp /// exonuclease NEF-sp	LOC81691	13.11	r	—
pp21 homologue	LOC51186	12.72	i, r	—
Developmental pluripotency associated 4	DPPA4	12.13		—
Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a	PTPLA	11.41		—
Proapoptotic caspase adaptor protein	PACAP	10.83		—
KIAA0379 protein	KIAA0379	10.56	r	—
Homo sapiens cDNA FLJ12149 fis, clone MAMMA1000421.	AK022211	10.37		—
Prostaglandin D2 synthase, hematopoietic	PGDS	10.33		—
ALEX1 protein	ALEX1	10.24		—
Hypothetical protein FLJ21174	FLJ21174	9.89		—
Zinc finger protein 6 (CMPX1)	ZNF6	9.55		—
B-box and SPRY domain containing	BSPRY	8.32		—
Myosin VC	MYO5C	8.32		—
EH-domain containing 2	EHD2	7.59		—
Crystallin, gamma D	CRYGD	7.56		—
Homo sapiens mRNA for CMP-N-acetylneuraminic acid hydroxylase,	CMAH	7.33		—
Chromosome 5 open reading frame 13	C5orf13	6.99		—
TAR (HIV) RNA binding protein 1	TARBP1	6.9	g	—
Phosphoinositol 3-phosphate-binding protein-2	PEPP2	6.82	i, r	—
Transforming growth factor beta-stimulated protein TSC-22	TSC22	6.82	i	—
Integral membrane protein 2C	ITM2C	6.73	r	—
Polycystic kidney disease 2 (autosomal dominant)	PKD2	6.64	g, r	—
Follistatin-like 1	FSTL1	6.61		—
Cytoplasmic linker 2	CYLN2	6.36		—
Nerve growth factor receptor (TNFRSF16) associated protein 1	NGFRAP1	6.36		—
ras homologue gene family, member C like 1	ARHCL1	6.33		—
Fanconi anemia, complementation group L	FANCL	6.17		—
PRKC, apoptosis, WT1, regulator	PAWR	5.81		—
BTB (POZ) domain containing 3	BTBD3	5.76	i	—
Thrombospondin, type I, domain 1	THSD1	5.71		—
DKFZp434A0131 protein	DKFZP434A0131	5.66		—
EF-hand domain (C-terminal) containing 1	EFHC1	5.66		—
Homo sapiens mRNA; cDNA DKFZp434G182 (from clone DKFZp434G182)	AV760769	5.54		—
Ankyrin repeat domain 6	ANKRD6	5.37		—
Protein predicted by clone 23733	HSU79274	5.28	i, r	—
Chromosome 21 open reading frame 25	C21orf25	5.19		—
Exostoses (multiple)-like 2	EXTL2	5.1		—
