ID	SYMBOL	DESCRIPTION	UNIGENE (189)	IMAGE ID	GENBANK	Fold Change	localfdr(%)
HSI018C10	YWHAE	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	Hs.513851	43093	R59710	0.66	0.00
HSI040G12	H1F0	H1 histone family, member 0	Hs.226117	209516	BX093093	0.66	0.00
HSI089G06	ATAD2	ATPase family, AAA domain containing 2	Hs.370834	1735742	CR740743	0.66	0.00
HSI073H05	C20orf98	Chromosome 20 open reading frame 98	Hs.416024	740205	BX093209	0.66	0.00
HSI044C06	SERPINA5	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	Hs.510334	240122	BX092258	0.66	0.00
HSI143F10	ADCY1	Adenylate cyclase 1 (brain)	Hs.192215	221675	BX095677	0.66	0.69
HSI023G01	SAMD1	Sterile alpha motif domain containing 1	Hs.140309	143756	BX118116	0.66	0.00
HSI159F09	C9orf75	Chromosome 9 open reading frame 75	Hs.323445	358936	BX108324	0.66	0.00
HSI073C05	FAM7A2	Family with sequence similarity 7, member A2	Hs.444306	1643101	BX119403	0.67	0.00
HSI048E04	SNRK	SNF related kinase	Hs.476052	268073	BX116690	0.67	0.00
HSI007H08	DTL	Denticleless homolog (Drosophila)	Hs.126774	126650	BX094174	0.67	0.00
HSI005A02	HOOK1	Hook homolog 1 (Drosophila)	Hs.378836	113403	BX118356	0.67	0.00
HSI055D09	C19orf22	Chromosome 19 open reading frame 22	Hs.557655	301014	BX094770	0.67	0.00
HSI066B10	ARFIP2	ADP-ribosylation factor interacting protein 2 (arfaptin 2)	Hs.75139	429547	BX094200	0.67	0.00
HSI075D04	PYCRL	Pyrroline-5-carboxylate reductase-like	Hs.165186	754617	BX090411	0.67	0.00
HSI030C08	DHCR7	7-dehydrocholesterol reductase	Hs.503134	46546	BX091206	0.67	0.00
HSI011F10	EST	Transcribed locus	Hs.589943	27471	CR745521	0.67	0.00
HSI044G12	SPBC25	Spindle pole body component 25 homolog (S. cerevisiae)	Hs.421956	245381	BX105588	0.67	0.00
HSI073G05	CREB1	CAMP responsive element binding protein 1	Hs.584750	743251	BX116954	0.67	0.00
HSI062A02	KCNK6	Potassium channel, subfamily K, member 6	Hs.240395	346511	BX096313	0.68	0.00
HSI009D02	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	Hs.524947	129381	BX117893	0.68	0.00
HSI056C08	GAMT	Guanidinoacetate N-methyltransferase	Hs.81131	307133	BX112038	0.68	0.00
HSI054C04	ASF1B	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	Hs.26516	295710	BX094742	0.68	0.00
HSI048G06	MLF2	Myeloid leukemia factor 2	Hs.524214	266329	BX096016	0.68	0.00
HSI098E11	KIFC1	Kinesin family member C1	Hs.436912	292933	BX101402	0.68	0.10
HSI064E07	SH3GLB2	SH3-domain GRB2-like endophilin B2	Hs.460238	365685	BX096394	0.68	0.00
HSI178G02	EST	Transcribed locus	Hs.167176	1838235	BX101454	0.68	0.00
HSI112G11	EST	Transcribed locus		24047		0.68	0.00
HSI005H12	EST	Transcribed locus	Hs.18343	122042	BX104901	0.68	0.00
HSI027A08	RP11-138L21.1	Similar to cell recognition molecule CASPR3	Hs.534689	1676792	BX098219	0.68	0.00
HSI009C02	SEZ6L2	Seizure related 6 homolog (mouse)-like 2	Hs.6314	128891	BX092022	0.68	0.00
HSI105G02	CCNB2	Cyclin B2	Hs.194698	501810	BX102366	0.68	0.00
HSI082B02	BPNT1	3(2), 5-bisphosphate nucleotidase 1	Hs.406134	824544	BX116536	0.68	0.00
HSI052F06	C20orf129	Chromosome 20 open reading frame 129	Hs.472716	292241	BX092172	0.68	0.00
HSI177A04	LOC387884	Hypothetical LOC387884	Hs.143843	1752482	BX107914	0.68	0.00
HSI113A12	FLJ39739	FLJ39739 protein	Hs.406990	109123	BX098029	0.68	0.00
HSI045A05	APH1A	Anterior pharynx defective 1 homolog A (C. elegans)	Hs.108408	244346	BX118726	0.68	0.14
HSI015G04	MGC2752	Hypothetical protein MGC2752	Hs.467409	38175	BX093738	0.68	0.00
HSI063E08	PDPK1	3-phosphoinositide dependent protein kinase-1	Hs.459691	362514	BX095508	0.68	0.00
HSI094E01	MED8	Mediator of RNA polymerase II transcription, subunit 8 homolog (yeast)	Hs.301756	2150134	BX116318	0.68	0.00
HSI048D12	CHCHD5	Coiled-coil-helix-coiled-coil-helix domain containing 5	Hs.375707	269219	BX115079	0.68	0.00
HSI096F06	C16orf50	Chromosome 16 open reading frame 50	Hs.513635	2357800	BX109691	0.69	0.00
HSI176D01	EST	Transcribed locus		1738055		0.69	0.00
HSI085D08	BRWD1	Bromodomain and WD repeat domain containing 1	Hs.190548	1541022	BX093695	0.69	0.00
HSI044D11	FAM40B	Family with sequence similarity 40, member B	Hs.489988	239692	BX098250	0.69	0.00
HSI140E12	CARKL	Carbohydrate kinase-like	Hs.268606	204114	BX117112	0.69	0.00
HSI181E04	EST	Transcribed locus	Hs.100691	1030476	AA555029	0.69	0.00
HSI006A02	JUNB	Jun B proto-oncogene	Hs.25292	122428	BX100858	0.69	0.00
HSI061G01	NPAL2	NIPA-like domain containing 2	Hs.309489	346418	BX119640	0.69	0.04
HSI053F12	EST	Transcribed locus		1654305		0.69	0.00
HSI073D06	HSPBP1	Hsp70-interacting protein	Hs.53066	743114	BX098188	0.69	0.00
HSI046C10	BMPR1A	Bone morphogenetic protein receptor, type IA	Hs.524477	1655628	BX100162	0.69	0.00
HSI070D06	ZWINT	ZW10 interactor antisense	Hs.42650	726332	BX105168	0.69	0.00
HSI081E01	SCNN1A	Sodium channel, nonvoltage-gated 1 alpha	Hs.130989	810873	BX104241	0.69	0.00
HSI032F06	RBBP8	Retinoblastoma binding protein 8	Hs.546282	51737	BX091124	0.69	0.00
HSI034C04	GNA11	Guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	Hs.515056	166531	BX110810	0.69	0.00
HSI007B12	DDB2	LIM homeobox 3	Hs.446564	124428	BX117885	0.69	0.00
HSI003H07	MKI67	Antigen identified by monoclonal antibody Ki-67	Hs.80976	108718	BX118911	0.69	0.00
HSI007H09	GATA1	GATA binding protein 1 (globin transcription factor 1)	Hs.765	126368	BX090462	0.69	0.00
HSI034G03	C9orf86	Chromosome 9 open reading frame 86	Hs.558729	175199	BX089670	0.69	0.00
HSI032B07	TETRAN	Tetracycline transporter-like protein	Hs.584848	49666	BX096027	0.69	0.00
HSI054B06	SMG1	PI-3-kinase-related kinase SMG-1	Hs.460179	296166	CR741867	0.69	0.00
HSI027A06	NCOA6IP	Nuclear receptor coactivator 6 interacting protein	Hs.335068	155079	BX103150	0.69	0.00
HSI069B01	THTPA	Thiamine triphosphatase	Hs.15098	711436	BX101363	0.69	0.00
HSI004H11	CEP27	Centrosomal protein 27kDa	Hs.14347	113451	BX110393	0.69	0.00
HSI053H01	LOC441149	Hypothetical gene supported by AF086309	Hs.556116	295618	BX092400	0.69	0.00
HSI059D10	SMPDL3B	Sphingomyelin phosphodiesterase, acid-like 3B	Hs.123659	321949	BX091309	0.69	0.00
HSI079B12	PRC1	Protein regulator of cytokinesis 1	Hs.567385	784720	BX102974	0.69	0.00
HSI064G10	EVPL	Envoplakin	Hs.500635	366834	BX114092	0.69	0.00
HSI030H05	MAN2B2	Mannosidase, alpha, class 2B, member 2	Hs.188464	47225	BX099991	0.70	0.00
HSI027F11	CKAP1	Cytoskeleton associated protein 1	Hs.31053	159467	BX094055	0.70	0.00
HSI061A04	DNAL4	Dynein, axonemal, light polypeptide 4	Hs.474848	343853	BX109838	0.70	0.00
HSI041H07	SLC25A22	Solute carrier family 25 (mitochondrial carrier: glutamate), member 22	Hs.99486	220302	BX106572	0.70	0.00
HSI048B10	NELF	Nasal embryonic LHRH factor	Hs.455336	266821	BX093123	0.70	0.00
HSI078B07	KIAA1377	KIAA1377	Hs.156352	784241	BX095711	0.70	0.00
HSI174B04	PCBP2	Poly(rC) binding protein 2	Hs.546271	1734308	BX109325	0.70	0.00
HSI117D01	EST	Transcribed locus	Hs.18857	122875	BX113869	0.70	0.00
HSI051C07	CA11	Carbonic anhydrase XI	Hs.428446	282587	BX093130	0.70	0.00
HSI071G11	LOC92689	Hypothetical protein BC001096	Hs.476517	730035	BX117651	0.70	0.00
HSI033C08	HMP19	HMP19 protein	Hs.559412	50307	BX102193	0.70	0.00
HSI014C04	CD151	CD151 antigen (Raph blood group)	Hs.512857	33871	BX100017	0.70	0.00
HSI070B10	WDR34	WD repeat domain 34	Hs.495240	714070	BX097489	0.70	0.00
HSI053D08	PEX26	Peroxisome biogenesis factor 26	Hs.517400	291749	BX102351	0.70	0.00
HSI041H05	INSR	Insulin receptor	Hs.465744	214921	BX100039	0.70	0.00
HSI071C02	C17orf49	Chromosome 17 open reading frame 49	Hs.511801	1642304	CR737132	0.70	0.00
HSI036G05	DKFZp762E1312	Hypothetical protein DKFZp762E1312	Hs.532968	194621	BX114945	0.70	0.00
HSI076G03	CIZ1	CDKN1A interacting zinc finger protein 1	Hs.212395	758643	BX100467	0.70	0.00
HSI048C03	MLANA	Melan-A	Hs.154069	269124	BX106334	0.70	0.00
HSI026F12	PTOV1	Prostate tumor overexpressed gene 1	Hs.515540	154200	BX102458	0.70	0.00
HSI178B09	PROSC	Proline synthetase co-transcribed homolog (bacterial)	Hs.304792	1760041	BX106152	0.70	0.00
HSI006B08	PPP2R2A	Protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform	Hs.146339	121794	BX117882	0.70	0.00
HSI070B11	TJP3	Tight junction protein 3 (zona occludens 3)	Hs.25527	725760	BX110112	0.70	0.00
HSI030G01	RFX1	Regulatory factor X, 1 (influences HLA class II expression)	Hs.73677	46831	BX117914	0.70	0.00
HSI180E05	ANKRD12	Ankyrin repeat domain 12	Hs.464585	1849750	BX107552	0.70	0.00
HSI020D12	GIPC1	GIPC PDZ domain containing family, member 1	Hs.6454	135843	BX097007	0.70	0.00
HSI051D07	TMPRSS5	Transmembrane protease, serine 5 (spinesin)	Hs.46720	280696	BX090051	0.70	0.00
HSI073A03	CTSL2	Cathepsin L2	Hs.87417	740418	BX097805	0.70	0.00
HSI052H08	MYO5A	Myosin VA (heavy polypeptide 12, myoxin)	Hs.21213	291287	BX094384	0.70	0.00
HSI017E03	THNSL1	Threonine synthase-like 1 (bacterial)	Hs.534486	40150	BX116415	0.70	0.00
HSI010E11	ETNK2	Ethanolamine kinase 2	Hs.497469	29797	BX091837	0.70	0.00
HSI082G03	LMLN	Leishmanolysin-like (metallopeptidase M8 family)	Hs.518540	910100	AA483603	0.70	0.00
HSI001C03	BAT2	HLA-B associated transcript 2	Hs.436093	22479	T73997	0.70	0.00
HSI076A04	SFXN2	Sideroflexin 2	Hs.44070	757192	BX090573	0.70	0.00
HSI017E05	MFSD4	Major facilitator superfamily domain containing 4	Hs.567714	39725	BX104245	0.70	0.00
HSI079D12	PTHLH	Parathyroid hormone-like hormone	Hs.89626	788192	BX104238	0.70	0.00
HSI039E09	Pfs2	DNA replication complex GINS protein PSF2	Hs.433180	205460	BX118899	0.70	0.00
HSI030D04	SULT4A1	Sulfotransferase family 4A, member 1	Hs.189810	46958	BX114505	0.70	0.00
HSI027D08	TAT	Tyrosine aminotransferase	Hs.161640	155619	BX100092	0.70	0.00
HSI051G01	PALM2-AKAP2	Paralemmin 2	Hs.259461	282108	BX112910	0.70	0.00
HSI150E06	LOC92312	Hypothetical protein LOC92312	Hs.406056	269968	BX117945	0.70	0.00
HSI049H08	CRIP1	Cysteine-rich protein 1 (intestinal)	Hs.70327	276798	N40545	0.70	0.00
HSI171D07	EST	Transcribed locus		1558664		0.71	0.00
HSI012A11	CLSTN1	Calsyntenin 1	Hs.29665	32097	BX093934	0.71	0.00
HSI002A03	AGTRAP	Angiotensin II receptor-associated protein	Hs.464438	21816	BX098744	0.71	0.00
HSI070D09	PPP1R16A	Protein phosphatase 1, regulatory (inhibitor) subunit 16A	Hs.521937	725212	BX089726	0.71	0.00
HSI079C12	GOLGB1	Golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1	Hs.213389	785092	BX096135	0.71	0.00
HSI055H05	VPS36	Vacuolar protein sorting 36 (yeast)	Hs.109520	303040	BX107681	0.71	0.00
HSI035G10	RANGAP1	Ran GTPase activating protein 1	Hs.183800	180780	BX101006	0.71	0.00
HSI055F04	POMGNT1	Chromosome 1 open reading frame 190	Hs.525134	302011	BX118302	0.71	0.00
HSI172D10	EST	Transcribed locus	Hs.572707	1558451	BX105280	0.71	0.00
HSI090A04	EST	Transcribed locus	Hs.569975	1743091	BX114065	0.71	0.00
HSI017E06	EST	Transcribed locus	Hs.449191	40880	BX106086	0.71	0.00
HSI044B02	TTC22	Tetratricopeptide repeat domain 22	Hs.16230	235070	BX101178	0.71	0.00
HSI014G01	PARD6A	Par-6 partitioning defective 6 homolog alpha (C.elegans)	Hs.112933	36707	BX116430	0.71	0.00
HSI017B08	APBA2BP	Amyloid beta (A4) precursor protein-binding, family A, member 2 binding protein	Hs.516986	39908	R52646	0.71	0.00
HSI017B06	ST6GALNAC5	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	Hs.303609	42035	BX116155	0.71	0.00
HSI065B11	KIAA1529	KIAA1529	Hs.435629	428527	BX115805	0.71	0.00
HSI033G02	BSCL2	Bernardinelli-Seip congenital lipodystrophy 2 (seipin)	Hs.533709	171661	CR739949	0.71	0.00
HSI027D10	C18orf8	Chromosome 18 open reading frame 8	Hs.529006	155933	BX102160	0.71	0.00
HSI171C07	PTGER3	Prostaglandin E receptor 3 (subtype EP3)	Hs.445000	1535449	BX095071	0.71	0.00
HSI067C03	HOM-TES-103	HOM-TES-103 tumor antigen-like	Hs.15243	486049	BX089461	0.71	0.00
HSI063H08	ZNF594	Zinc finger protein 594	Hs.458408	365955	BX102213	0.71	0.00
HSI056G06	MAST4	Microtubule associated serine/threonine kinase family member 4	Hs.133539	306997	BX111895	0.71	0.00
HSI006C05	HSPC111	Hypothetical protein HSPC111	Hs.529475	121755	BX098478	0.71	0.00
HSI027H03	POLR2E	Polymerase (RNA) II (DNA directed) polypeptide E, 25kDa	Hs.24301	156418	BX116715	0.71	0.00
HSI015G08	SPRYD3	SPRY domain containing 3	Hs.343334	38937	BX109036	0.71	0.00
HSI013D05	TAGLN2	Transgelin 2	Hs.517168	33386	BX089906	0.71	0.00
HSI016E10	CNTNAP2	Contactin associated protein-like 2	Hs.190621	39204	BX092078	0.71	0.00
HSI045E03	BAZ2B	Bromodomain adjacent to zinc finger domain, 2B	Hs.470369	247281	BX093469	0.71	0.00
HSI013B09	PPP1CA	Protein phosphatase 1, catalytic subunit, alpha isoform	Hs.183994	31988	BX106006	0.71	0.00
HSI081F10	LOC440600	Hypothetical gene supported by BC053344	Hs.559000	814376	BX101992	0.71	0.00
HSI054B02	BHMT2	Betaine-homocysteine methyltransferase 2	Hs.114172	295324	BX115089	0.71	0.00
HSI061H05	SELM	Selenoprotein M	Hs.55940	344245	BX111830	0.71	0.00
HSI037B04	ZAK	Sterile alpha motif and leucine zipper containing kinase AZK	Hs.444451	195110	CR741411	0.71	0.00
HSI012H09	NARFL	Nuclear prelamin A recognition factor-like	Hs.513247	31744	BX106385	0.71	0.00
HSI030C02	PCTK1	PCTAIRE protein kinase 1	Hs.496068	45889	BX094080	0.71	0.00
HSI137E07	HECTD1	HECT domain containing 1	Hs.210850	195333	BX095152	0.71	0.00
HSI017D11	SEPTIN11	Septin 11	Hs.128199	41144	BX115651	0.71	0.00
HSI047E12	CORO2A	Coronin, actin binding protein, 2A	Hs.113094	259335	BX095362	0.71	0.00
HSI027D09	FLJ13848	Hypothetical protein FLJ13848	Hs.523753	156326	BX116070	0.71	0.00
HSI057G06	DKK1	Dickkopf homolog 1 (Xenopus laevis)	Hs.40499	309678	BX102027	0.71	0.59
HSI075G03	REEP6	Receptor accessory protein 6	Hs.76277	757143	BX107670	0.71	0.00
HSI018C03	BAI2	Brain-specific angiogenesis inhibitor 2	Hs.524138	42870	BX106011	0.71	0.54
HSI046A03	RALY	RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse))	Hs.136947	246731	BX105074	0.71	0.00
HSI017F11	LFNG	Lunatic fringe homolog (Drosophila)	Hs.159142	40887	BX100485	0.71	0.00
HSI076C01	KIF4A	Kinesin family member 4A	Hs.279766	759940	BX102383	0.71	0.00
HSI058C10	TSTA3	Tissue specific transplantation antigen P35B	Hs.404119	309756	BX092406	0.71	0.00
HSI047A12	SYT7	Synaptotagmin VII	Hs.502730	252385	BX094140	0.71	0.00
HSI078C03	ZNF226	Zinc finger protein 226	Hs.145956	788692	AA449915	0.71	0.00
HSI031A01	ZNF264	Zinc finger protein 264	Hs.515634	47329	BX112672	0.71	0.00
HSI061F12	EST	Transcribed locus	Hs.563071	1648492	BX094509	0.71	0.00
HSI033H03	KCNC1	Potassium voltage-gated channel, Shaw-related subfamily, member 1	Hs.303870	172722	BX090988	0.72	0.00
HSI017D05	ATRX	Alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	Hs.533526	39819	BX093476	0.72	0.00
HSI065C07	CLTC	Clathrin, heavy polypeptide (Hc)	Hs.491351	418014	BX105483	0.72	0.00
HSI015H12	EST	Transcribed locus	Hs.269783	1691326	BX107805	0.72	0.00
HSI055E09	PABPN1	Poly(A) binding protein, nuclear 1	Hs.117176	300868	BX099284	0.72	0.00
HSI071B03	C14orf166B	Chromosome 14 open reading frame 166B	Hs.147276	728254	BX106373	0.72	0.00
HSI075D09	AP1M2	Adaptor-related protein complex 1, mu 2 subunit	Hs.18894	756621	BX097750	0.72	0.00
HSI054G07	B4GALT2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2	Hs.474083	300300	BX109217	0.72	0.00
HSI033H12	MAST3	Microtubule associated serine/threonine kinase 3	Hs.466184	167034	BX108363	0.72	0.00
HSI079F05	HMMR	Hyaluronan-mediated motility receptor (RHAMM)	Hs.72550	795932	AA460915	0.72	0.00
HSI053A08	GPLD1	Glycosylphosphatidylinositol specific phospholipase D1	Hs.512001	293696	BX105085	0.72	0.00
HSI040D09	LOC440606	Similar to dJ871G17.4 (novel 3-beta hydroxysteroid dehydrogenase/isomerase family member)	Hs.534955	209838	CR739132	0.72	0.00
HSI056B08	SLC22A17	Solute carrier family 22 (organic cation transporter), member 17	Hs.373498	306810	BX098469	0.72	0.00
HSI036H09	TADA2L	Transcriptional adaptor 2 (ADA2 homolog, yeast)-like	Hs.500066	193570	BX104996	0.72	0.00
HSI045A06	NAT8	N-acetyltransferase 8 (camello like)	Hs.14637	244348	BX090614	0.72	0.00
HSI033F01	EST	Transcribed locus	Hs.122434	1673485	BX095577	0.72	0.00
HSI071A03	TDRD4	Tudor domain containing 4	Hs.97464	727843	BX093151	0.72	0.00
HSI064A01	ERGIC2	ERGIC and golgi 2	Hs.339453	363556	CR740448	0.72	0.00
HSI019C04	APBA2BP	Amyloid beta (A4) precursor protein-binding, family A, member 2 binding protein	Hs.516986	42947	BX090970	0.72	0.00
HSI038F03	LIPC	Lipase, hepatic	Hs.188630	201995	BX094318	0.72	0.00
HSI057H02	CXorf34	Chromosome X open reading frame 34	Hs.496501	322652	BX091538	0.72	0.00
HSI162B03	EST	Transcribed locus	Hs.570560	743277	BX107377	0.72	0.00
HSI022F07	PPP4C	Protein phosphatase 4 (formerly X), catalytic subunit	Hs.534338	139213	BX114444	0.72	0.00
