Symbol	Name	Unigene ID	Function
KPNB1	Karyopherin (importin) . 1	532793	Transport
OSBPL1A	Oxysterol binding protein-like 1A	370725	Transport
ATP9A	ATPase, class II, type 9A	368002	Transport
COL5A1	Collagen, type V, alpha 1	210283	Transport
FLVCR	Feline leukemia virus subgroup C cellular receptor	7055	Transport
SYTL4	Synaptotagmin-like 4 (granuphilin-a)	522054	Transport
SFXN1	Sideroflexin 1	369440	Transport
SLC25A27	Solute carrier family 25, member 27	40510	Transport
SLC16A14	Solute carrier family 16 (monocarboxylic acid transporters), member 14	504317	Transport
UNQ9438	TIMM9	534663	Transport
MIPEP	Mitochondrial intermediate peptidase	507498	Transport
MAP7	Microtubule-associated protein 7	486548	Development
HLF	Hepatic leukemia factor	196952	Development
ADAM28	A disintegrin and metalloproteinase domain 28	528304	Development
WHSC1	Wolf-Hirschhorn syndrome candidate 1	113876	Development
HOXA9	Homeo box A9	127428	Development
TRO	Trophinin	434971	Development
HOXA10	Homeo box A10	110637	Development
GCNT2	Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	519884	Development
LMO2	LIM domain only 2 (rhombotin-like 1)	34560	Development
