GID	yorf	NAME	GWEIGHT	155 A	67 A	17 A	218 A	117 A	146 A	148 A	149 A	145 A	203 B	203 A	148 B	152 A	152 B	201 A	202 A	227 A	263 A	90 A	21 A	262 B	30 A	30 B	175 A	125 A	61 A	70 A	141 A	123 A	262 A	151 A	123 B	223 B	217 B	217 A	202 B	263 B	228 B	216 A	216 B	228 A	125 B	90 B	201 B	218 B	145 B	175 B	227 B	67 B	P3 B	61 B	138 A	138 B	39 B	39 A	64 A	64 B	P3 A	155 B	223 A	141 B	146 B	21 B	117 B	17 B	70 B	149 B	151 B
GENE319X	HSI079F05	HMMR		0.869	0.5677	-0.3406	1.351	-0.4488	1.255	-0.1584	-0.06255	0.2158	0.4935	1.864	0.07062	-0.1256	-0.4833	0.4802	1.049	2.006	-0.4077	0.3363	-1.292	-0.002356	0.7602	-1.272	0.3667	0.5801	0.3889	0.1648	0.756	-0.002459	-0.1198	-0.08333	-0.0309	-0.1725	2.304	0.8812	-0.461	-1.017	-0.5323	1.483	2.387	0.9105	-0.7343	-0.3525	-0.1029	-0.3024	0.3683	-1.121	-1.075	-1.262	-1.05	-1.208	-0.4233	-0.251	1.128	1.344	0.7857	1.358	-0.632	-2.505	-1.484	-0.8549	-0.9512	-0.7426	0.5689	-1.007	-1.313	-1.34	-1.367
GENE232X	HSI054A04	E2F8		-1.268	0.7837	-0.1362	0.6627	0.7342	1.354	1.12	0.7126	1.182	0.407	1.726	-0.5208	-0.08941	-1.274	1.272	1.295	0.4511	0.2978	-0.2441	-0.3739	-1.462	0.6323	-0.8938	0.0897	0.3788	0.9724	1.109	0.9506	-0.346	0.9818	1.02	0.4977	-0.09065	1.258	1.013	-0.3832	-0.1854	-0.3221	0.5772	1.423	-0.2042	0.03544	-0.5062	0.05145	0.2945	-0.9983	0.1039	-0.8046	-0.7317	-3.174	-2.656	0.4642	0.2661	0.479	1.043	0.4313	0.3657	-2.012	-1.925	0.1614	-0.7296	0.2385	-0.4329	-1.374	-1.163	-0.7665	-0.5868	-1.182
GENE64X	HSI007H08	DTL		-0.2229	0.5797	-0.04608	1.388	0.8458	1.335	0.3279	0.8742	1.422	0.1056	1.209	-0.1738	0.389	-0.9006	0.8563	1.913	1.862	0.2465	0.4348	-0.7976	-0.3315	-0.1933	-1.198	0.2424	0.04795	-0.1814	-0.1475	1.132	0.03367	0.054	0.4967	-0.7886	-0.8187	2.932	0.69	0.04069	-0.07638	0.374	0.7311	1.414	1.081	-0.9368	0.2948	-0.4289	-0.1371	0.2163	-0.6656	-0.8384	-0.9914	-0.8065	-1.452	-0.5365	-0.6673	0.08618	0.4902	0.7604	0.7607	-1.373	-2.318	-0.94	-1.422	-1.123	-0.9139	1.426	-1.209	-1.362	-1.53	-1.567
GENE144X	HSI007H09	GATA1		-0.7616	0.7719	-0.3025	1.31	0.8789	1.389	0.7739	0.7344	1.249	0.3662	1.412	0.05357	0.4602	-0.977	0.782	1.852	1.782	0.214	0.1802	-0.5216	-1.584	-0.2027	-1.358	0.3036	0.01466	0.01584	-0.1221	1.268	0.1969	-0.09226	0.1395	-0.3549	-0.5528	2.843	0.7069	0.3921	0.04748	0.09707	0.6659	1.327	1.034	-0.361	0.2023	-0.4425	-0.1009	0.3258	-0.3753	-0.6844	-0.7349	-1.314	-1.736	-0.8519	-0.1846	-0.3066	0.02098	0.7651	0.7056	-1.432	-2.482	-0.9318	-1.06	-0.9749	-0.9	1.487	-1.5	-1.098	-0.9641	-1.502
GENE52X	HSI021E01	KIAA0101		0.01663	0.6093	0.4852	1.163	-0.3647	1.095	1.052	1.244	0.8827	-0.9024	-0.484	-0.4467	0.5051	-0.4373	-0.214	1.507	1.34	-0.2841	0.5118	-0.5526	-2.469	0.6351	-0.7231	0.7615	0.8409	-0.5554	0.2403	0.1859	0.4407	-0.4269	0.334	-0.8173	-1.367	1.89	1.099	-0.1372	0.8348	0.4992	1.449	1.785	1.082	-0.01018	-0.2782	-1.535	0.5646	-0.151	-0.04574	0.3131	-1.299	-2.02	-1.474	-0.2731	-0.2428	0.4398	0.8529	1.494	1.223	-1.458	-0.01866	-0.5347	-1.51	0.6189	-0.6953	-0.7581	-0.7614	-1.39	-1.708	-1.652
GENE132X	HSI045G02	UBE2T		0.4167	0.896	-0.4512	1.015	0.9575	0.712	1.419	0.7408	0.1384	-0.09538	0.7925	-0.6967	0.4852	-0.9348	0.5337	0.5602	1.899	-0.6125	0.5597	0.1712	-0.7412	1.169	-0.4556	0.1786	0.8563	-0.5371	0.1759	-0.1162	0.3129	-1.347	-1.05	-1.071	-1.228	2.546	2.272	-0.2923	-0.1401	-0.1738	1.727	1.706	1.161	-1.726	-0.2392	-1.316	-0.1746	-0.09762	-1.183	-1.491	-1.261	-0.7927	-0.6851	-0.6464	-1.088	0.4368	0.6501	1.122	1.449	-0.3502	-0.02544	-1.637	-0.4998	1.026	-0.6835	-0.7683	-0.1082	-1.339	-1.016	-1.016
GENE399X	HSI070D12	RACGAP1		1.454	-0.05269	-0.9918	-0.2465	1.131	1.244	0.7689	0.8198	1.271	-1.68	1.078	1.129	0.2271	-0.005493	0.01662	1.761	1.516	-1.36	0.2122	-0.5995	-0.03351	0.4581	-0.7971	1.396	1.181	-0.6721	0.1754	-0.0858	0.7667	-0.9834	0.07267	-0.07403	-1.401	1.675	0.1321	-0.6415	-1.717	-1.46	0.5349	1.956	0.3866	1.144	0.1136	-2.289	-0.5846	-0.5159	-0.354	-1.546	-1.072	-1.121	-0.2567	0.5213	1.448	0.5489	0.7417	0.5322	0.8808	-0.615	-0.6766	-1.415	-0.8661	-1.247	-0.7878	0.4254	-0.5121	-0.3285	-1.192	0.4594
GENE388X	HSI053B12	CDKN3		-0.2518	0.9766	-0.9737	-0.2013	1.283	1.168	0.9588	0.3683	1.08	-0.9563	-0.2146	1.816	0.8246	-0.6158	-0.3814	-0.1055	0.8127	-1.366	0.3576	-0.8566	0.3964	0.9664	0.2441	1.236	1.19	1.289	1.049	-0.6856	0.6011	-0.4492	0.1503	-0.831	-1.299	1.385	0.3595	-1.298	-0.6983	-0.814	1.104	1.144	0.3861	-1.994	-1.156	-1.838	-1.202	0.2149	-0.6599	-1.428	-1.06	-0.5084	-0.9984	0.656	0.3599	0.8708	1.613	1.091	1.009	-0.06728	-2.44	-1.565	-0.5028	-0.6145	-0.4002	0.8794	-0.1389	-0.1386	-0.4305	1.3
GENE43X	HSI073D07	C10orf53		-0.5782	0.7038	-0.4509	0.2383	0.6213	0.852	0.5325	1.224	0.7099	-0.2951	0.5695	0.2225	0.7088	-0.1884	0.08152	0.5178	0.5898	-1.377	0.4913	0.04619	0.9248	0.5386	-0.3335	0.6795	0.54	0.09861	0.4158	0.08529	-0.005608	-1.032	0.7183	-0.9069	-1.386	0.6806	0.2058	-0.9393	-0.5523	0.7296	1.627	0.8363	0.001914	-0.6896	-0.2391	-1.208	-0.4467	-0.1605	-1.645	-0.7938	-0.7805	-0.8254	-1.25	-0.265	-0.03629	3.002	3.858	1.243	0.5234	-1.475	-1.391	-1.363	-1.213	-1.391	-0.7394	0.03731	-0.5113	-0.3194	-1.075	1.008
GENE7X	HSI069B01	THTPA		0.5447	0.8871	-1.27	1.05	1.385	0.8581	0.8074	0.3415	0.3194	-0.7309	-0.06532	0.2106	0.4704	-0.5855	-0.04233	0.6855	0.9001	-1.386	0.2653	0.7699	-0.3911	0.8967	0.04185	0.6086	1.685	1.053	0.9912	-0.416	0.3342	-0.5196	0.07407	-1.167	0.6394	1.526	0.1537	-0.7451	-1.332	-1.183	0.0364	0.2691	-0.09771	-1.746	-0.9762	-1.799	-0.7507	-0.1912	-1.798	-0.4139	-1.294	-0.3313	-0.8278	0.295	-0.04765	2.41	3.54	1.054	0.4026	-0.2601	0.511	-1.435	-0.4525	-0.8391	-1.135	-0.5783	0.3143	0.1433	-1.02	-0.6477
GENE304X	HSI098E11	KIFC1		0.4679	1.109	0.7023	1.436	1.653	0.4018	1.595	0.5503	0.6011	0.3731	1.363	-1.073	-0.09436	-0.5615	0.1438	1.384	-0.3437	-0.9334	0.3035	1.218	-0.6984	1.973	-0.363	0.2236	0.6473	-0.3126	1.338	0.8337	-0.1051	-0.7417	0.01129	-1.047	-1.016	-0.6024	-0.6084	-0.6646	0.9356	-0.6282	0.08052	0.005139	-0.2075	-1.326	-0.6568	-1.267	-0.9762	-0.887	-0.87	-0.5483	-0.912	-1.467	-1.361	-0.09554	0.2592	2.079	3.668	0.7685	0.2916	-0.3828	-0.4558	0.5438	0.04073	-1.39	-0.4904	-0.7641	-0.747	-0.7893	-0.4089	-1.206
GENE418X	HSI150E06	LOC92312		-1.211	0.738	-1.211	0.05595	0.03274	1.385	0.9635	0.9118	0.7027	0.0003341	0.4388	-0.4263	0.6507	-1.361	1.009	1.745	0.3586	-0.1831	-0.07598	-0.02319	-0.7109	0.4465	-0.7867	-0.3611	0.147	-0.3224	0.6868	-0.1729	0.165	0.1175	0.6457	-0.1254	-0.8917	-0.2516	-0.3102	0.3162	-0.8066	-0.7272	-0.3443	0.5348	-0.14	-0.1327	-0.4748	-0.2981	-0.7814	-1.25	-0.1954	-1.042	-1.065	0.1405	-0.9362	1.379	1.383	2.283	3.757	1.999	2.088	0.2589	-0.3624	-0.9908	-0.5553	-0.8765	-1.296	-1.947	-1.246	-0.6912	-0.2134	-0.5406
GENE110X	HSI053H02	UBE2C		0.3099	0.9633	0.1131	0.5717	1.801	0.2682	0.8522	0.3102	0.29	0.1453	1.123	-0.06747	0.8837	0.01329	-0.1185	0.7396	0.6533	-1.158	1.04	1.071	0.03636	2.703	0.52	0.2271	0.6984	0.3514	0.898	-0.5677	-0.1268	-1.1	-0.8098	-1.321	-1.072	1.013	1.159	-0.7322	-2.173	-0.02056	1.647	0.5429	-0.1544	-1.584	-0.06183	-1.363	-1.407	0.004397	-1.966	-0.4553	-0.5081	-0.7874	-0.5578	-0.4044	-0.04562	0.8667	2.089	1.442	1.303	-0.6904	-1.031	-1.608	-0.8774	-1.209	-0.6674	0.7348	-0.5526	-0.5282	-0.8969	-0.7632
GENE28X	HSI076C01	KIF4A		0.8685	0.5019	0.2803	0.7151	1.805	0.335	1.168	0.2699	-0.1769	-0.4256	0.6928	0.4397	0.8769	-0.5592	0.5698	1.3	1.248	-0.5669	0.716	0.01349	0.5779	1.437	-0.3914	0.522	0.2395	0.6209	0.9445	-0.4128	0.2106	-2.055	-0.5301	-1.573	-1.376	1.276	0.2565	-0.9823	-1.087	-0.441	1.013	0.7158	-0.3678	-1.6	0.1847	-1.379	-1.302	-0.227	-1.898	-1.496	-0.9582	-0.3011	-0.7122	-0.2205	0.411	0.9946	1.757	2.334	1.983	-0.1108	0.6982	-1.479	-0.6175	-0.7674	0.07472	0.02177	-0.6412	-1.121	-1.254	-1.043
GENE325X	HSI182B05	STK6		0.4623	0.491	-0.9177	0.4838	1.329	0.5159	0.6899	0.3868	0.7815	0.5369	0.9436	0.1793	1.219	0.3211	0.4796	0.4065	0.9748	-1.341	0.3361	-0.2348	-0.2926	2.95	0.1916	0.5339	1.239	-0.4163	-0.05331	-0.3301	-0.3589	-0.5052	-1.07	-1.382	-1.141	1.415	0.824	-1.033	-1.74	-1.097	1.614	1.557	-0.145	-0.4642	1.248	-1.408	-1.173	0.07727	-1.114	-1.448	-0.5149	0.01765	-0.7321	-0.8806	0.529	0.506	1.22	1.122	1.883	0.4905	-0.5835	-1.769	-0.05048	-1.467	-1.214	0.3204	-0.4942	-0.96	-1.051	-0.8913
GENE331X	HSI064G11	MYBL2		0.1848	0.6082	-0.4373	0.2861	0.6465	-1.435	0.05997	-0.4	0.5454	0.1677	1.559	-0.02618	1.615	0.7692	0.4213	0.7337	0.7015	-1.363	0.6288	1.478	-0.5549	2.346	0.5823	-0.1818	1.325	0.1939	1.218	-0.9339	-0.3969	-0.8241	-0.843	-1.308	-1.179	0.7125	-0.08028	-1.013	-0.7032	0.2442	0.7126	0.9052	0.01281	-0.9539	-0.7473	-2.118	-1.047	-0.3376	-1.05	-0.1056	-1.051	-0.806	-0.2662	0.1984	0.6408	1.49	2.11	1.962	2.229	-0.2519	0.2862	-1.308	-0.5725	-1.495	-0.09925	-0.3757	-0.4686	-0.6275	-1.13	-1.084
GENE349X	HSI052F06	C20orf129		-0.1981	0.5174	-0.6938	0.7262	1.125	-0.2513	0.3102	0.1019	0.3839	0.4717	1.415	-0.5139	1.094	-0.05442	0.2454	1.81	1.461	-0.6875	-0.01076	1.012	-0.05764	1.766	0.1286	-0.03014	1.42	0.3404	0.2903	-0.3679	0.03908	-0.8991	-0.1389	-1.046	-0.6941	1.471	0.7417	-0.9116	-0.3073	-0.3296	0.6728	1.484	0.196	-0.9822	0.4244	-1.111	-0.7345	-0.6681	-1.261	-0.5417	-1.259	-0.7986	-1.055	0.4329	0.2621	1.647	2.334	1.292	1.827	-0.5082	-2.124	-1.531	-1.021	-1.476	-0.721	0.07654	-0.2969	-1.518	-1.633	-1.087
GENE162X	HSI036G09	BRRN1		1.306	0.4734	-1.364	1.435	0.3084	0.2181	-0.1315	-0.4118	-0.0539	-0.3212	0.826	0.2366	0.4993	0.1265	0.5904	1.451	1.151	-0.5969	0.1783	0.4732	-0.3041	0.628	-0.8134	0.6306	0.9015	-0.204	-0.09914	-0.6722	-0.2472	-1.111	-0.3478	-1.256	-0.862	1.278	0.3006	-0.4358	-0.9618	-0.5428	1.105	1.642	0.1816	-0.9727	-0.2534	-0.9721	-0.1201	0.8034	-0.8612	-0.7952	-0.7641	-1.219	-0.8941	-0.3729	0.1366	1.961	2.594	2.404	2.772	-0.371	0.6504	-1.719	-1.107	-0.517	-0.8377	-0.7034	-0.6582	-0.8579	-1.332	-1.197
GENE65X	HSI009D02	CDC20		0.4906	0.09947	-0.06257	0.646	1.505	-0.03626	0.2491	-0.7879	-1.382	-0.1484	-0.3594	-0.6251	0.8332	0.08337	-0.6248	-0.8292	0.5432	-0.3781	1.131	0.8684	0.1309	1.253	0.4581	-0.1001	0.5972	-0.5542	1.058	-1.358	0.7221	0.00879	-1.075	-1.537	0.1027	1.153	0.9651	-0.4605	0.6678	0.4408	1.421	0.9211	0.4225	-0.7313	-0.8283	-1.853	-0.1774	-0.5046	-0.06114	0.6552	-0.8696	-0.6186	-0.5535	0.2988	-0.1042	2.349	3.407	1.306	1.668	-0.8354	-0.5089	-0.08069	-1.622	-1.204	-0.4302	-0.524	-0.1062	-1.178	-1.742	-1.602
GENE290X	HSI036G05	DKFZp762E1312		0.5513	1.037	0.8912	0.8035	0.9645	-0.2236	0.5872	0.05865	-0.3584	-0.4551	0.4675	-0.3031	1.082	0.2061	-0.4357	0.7253	0.4951	-0.476	0.9004	0.9565	-0.1903	1.419	-0.7777	0.7858	0.3024	0.5682	0.07123	0.1437	-0.07259	-0.3233	-0.5418	-1.132	-1.197	1.878	0.2552	-0.5956	1.041	0.05257	0.4759	0.4198	-0.1085	-1.785	-0.7885	-0.9584	-0.07653	-0.09042	-0.5943	0.04639	-1.771	-0.7208	-0.4597	0.07075	0.2476	2.51	3.379	1.005	1.692	-0.4381	-0.1613	-1.225	-1.304	-1.571	-1.122	-0.6856	-0.7515	-1.164	-2.075	-1.158
GENE246X	HSI183A10	E2F1		1.166	1.476	0.4833	0.9512	0.8941	0.0838	0.5897	0.07158	-0.0411	0.7076	0.5557	-1.023	0.5027	-0.6297	0.8782	0.2725	-0.9383	-1.625	0.239	1.706	-0.2439	1.776	-0.2134	-0.4362	-0.4833	0.5046	0.7042	-0.5668	-0.969	-0.2936	-0.9851	-1.773	-0.6993	1.612	1.588	-0.661	1.977	0.6297	1.128	-0.3528	-1.173	-1.572	-1.205	-0.7943	0.6131	-0.1297	0.1735	1.203	-1.332	-1.384	-0.9115	-0.4506	-0.09698	0.6159	2.403	1.318	0.5998	-0.7333	0.982	0.6495	-0.9565	-1.027	-0.8448	-0.9159	-0.5945	-1.178	-1.072	-0.7495
GENE233X	HSI054C04	ASF1B		1.578	1.388	0.6513	1.543	0.9104	0.2475	0.3894	-0.162	-0.07352	0.4041	1.001	-0.6871	1.139	0.4624	0.7751	0.6356	-0.7363	-0.3952	0.283	1.882	-0.3308	0.9712	-0.3768	-0.06556	-0.7012	0.4884	0.7249	-0.4113	-1.036	0.005634	-0.312	-1.486	-0.5547	0.5803	0.5426	-0.3346	1.513	1.083	0.7343	0.9477	-0.8782	-1.845	-0.9364	-0.9365	0.7507	-0.8825	-0.5459	1.378	-1.246	-1.658	-1.219	-0.5611	-1.073	0.7761	2.836	0.921	0.9638	-0.918	0.7441	-0.4057	-0.6715	-1.173	-0.8667	-0.9137	-1.308	-1.154	-0.8473	-1.548
GENE228X	HSI009E04	DNER		2.342	-0.1389	1.137	0.697	-0.385	-0.3969	-0.147	-0.3729	-0.3625	1.232	0.8424	-1.28	0.1696	-0.1065	0.05233	0.3876	0.2556	0.5662	-0.236	0.9462	-0.9674	0.2764	-0.6854	-0.5222	-0.3876	-0.5377	-0.3565	-0.8611	-0.4442	0.674	-0.4327	-0.655	0.5872	1.242	0.9688	0.6997	1.456	0.6411	0.8798	0.431	0.6139	-0.7675	-0.8229	0.03157	1.072	-0.5384	0.888	1.232	-0.9939	-1.933	-1.834	0.7557	-0.6191	1.518	2.505	-1.033	-1.242	-1.577	2.549	0.5739	-1.28	-1.204	-0.7489	-0.8757	-0.8089	-1.165	-0.9622	-0.5443
GENE261X	HSI154H10	SLC20A1		-0.2284	0.09005	0.3181	-0.5725	0.3635	0.09535	1.333	1.014	1.149	-0.03739	0.4313	0.1694	0.8735	-0.3732	0.2221	0.4842	-0.407	-0.4552	0.1197	0.4752	-0.7421	1.163	1.256	0.03046	1.092	1.263	1.45	0.1387	1.796	1.095	1.652	0.8607	1.853	-0.8319	-1.733	-1.14	-1.163	-1.291	-1.754	-1.184	-0.2227	-1.448	-1.962	-1.282	-1.657	-2.033	-0.3767	-0.7299	-1.095	-0.5425	-0.5551	2.204	-0.6877	0.2636	1.227	0.8997	-0.3485	-0.0489	-0.3816	-0.01706	-0.6119	-0.4973	0.3865	-0.4458	1.286	0.4498	-0.3324	-0.3178
GENE44X	HSI075F01	STK11IP		-0.01513	0.1016	0.1646	-0.02221	0.09111	-0.4559	1.147	-0.2787	0.2287	-0.1078	0.313	-0.6367	0.7299	0.03839	0.8148	0.2924	-0.4644	-0.2618	0.7567	0.3778	-0.6821	1.228	1.507	0.004876	1.075	1.575	2.097	0.4358	1.468	1.164	0.9633	0.5481	2.473	-1.181	-1.124	-1.161	-0.822	-0.8918	-1.664	-1.1	-0.6884	-1.832	-1.071	-1.018	-1.032	-1.852	-0.744	-0.5233	-0.5324	-0.7404	-0.2358	1.855	-3.047	0.3345	0.9785	0.2811	-0.04689	0.439	-0.05023	0.6725	0.2545	-0.7044	0.2713	-0.7935	0.5742	1.093	-0.177	-0.3944
GENE306X	HSI179E11	LOC55565		0.3374	0.9004	0.3988	-0.6195	0.6424	-0.1933	1.318	-0.2848	0.5339	-0.3706	0.3718	-0.4918	0.5994	-0.3494	0.5292	0.03896	-0.2877	-0.9799	0.1695	-0.2766	-0.6752	0.5261	1.868	0.4767	1.491	0.5276	1.604	0.175	2.134	0.1387	0.6607	-0.3199	1.445	-1.5	-2.046	-1.458	-1.551	-1.329	-1.266	-1.289	-0.1652	-1.557	-0.6828	-1.318	-1.434	-1.676	-1.116	-0.8474	-0.7345	0.1381	0.1289	2.827	-0.5458	1.044	1.326	-0.003342	-0.6086	0.3401	-0.2069	0.2945	0.3106	-0.5304	1.082	0.1227	1.396	0.6758	0.02618	0.1151
