Gene ID	Gene Name	Molecular Function/Biological Process	Status
38618_at	PAC clone DJ515N1 from 22q11.2-q22		UP REGULATED GENES
31950_at	poly(A)-binding protein, cytoplasmic 1	(L) RNA-binding	UP REGULATED GENES
37713_at	aminoacylase 1	amino acylase	UP REGULATED GENES
37193_at	uridine monophosphate kinase	(L) uridine kinase	UP REGULATED GENES
34608_at	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1		UP REGULATED GENES
41565_at	ataxin 2 related protein		UP REGULATED GENES
40891_f_at	DNA segment on chromosome X (unique) 9879 expressed sequence		UP REGULATED GENES
32787_at	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3	protein tyrosine kinase	UP REGULATED GENES
39798_at	ribosomal protein S28	structural protein of ribosome	UP REGULATED GENES
36761_at	putative zinc finger protein from EUROIMAGE 566589		UP REGULATED GENES
38221_at	connector enhancer of KSR-like (Drosophila kinase suppressor of ras)	protein binding	UP REGULATED GENES
1521_at	non-metastatic cells 1, protein (NM23A) expressed in	(L) nucleoside diphosphate kinase	UP REGULATED GENES
34593_g_at	ribosomal protein S17	structural protein of ribosome	UP REGULATED GENES
32569_at	platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit (45kD)	plasma protein	DOWN REGULATED GENES
41807_at	sin3-associated polypeptide, 18kD		DOWN REGULATED GENES
36792_at	tropomyosin 1 (alpha)	structural protein of muscle	DOWN REGULATED GENES
39370_at	Microtubule-associated proteins 1A and 1B, light chain 3		DOWN REGULATED GENES
41388_at	Meis (mouse) homolog 2	transcription factor	DOWN REGULATED GENES
1767_s_at	transforming growth factor, beta 3	tgf beta receptor ligand	DOWN REGULATED GENES
36790_at	tropomyosin 1 (alpha)	structural protein of muscle	DOWN REGULATED GENES
774_g_at	mRNA for smooth muscle myosin heavy chain		DOWN REGULATED GENES
36149_at	dihydropyrimidinase-like 3	dihydropyriminidase	DOWN REGULATED GENES
34320_at	Homo sapiens mRNA; cDNA DKFZp586L2123 (from clone DKFZp586L2123)		DOWN REGULATED GENES
40567_at	Tubulin, alpha, brain-specific	cytoskeleton protein	DOWN REGULATED GENES
41273_at	FK506 binding protein 12-rapamycin associated protein 1		DOWN REGULATED GENES
33412_at	lectin, galactoside-binding, soluble, 1 (galectin 1)		DOWN REGULATED GENES
36791_g_at	tropomyosin 1 (alpha)	structural protein of muscle	DOWN REGULATED GENES
32531_at	gap junction protein, alpha 1, 43kD (connexin 43)	ion transporter	DOWN REGULATED GENES
34407_at	retinoic acid receptor responder (tazarotene induced) 2	receptor	DOWN REGULATED GENES
41191_at	palladin		DOWN REGULATED GENES
41346_at	like-glycosyltransferase	acetylglucsoylaminyltransferase	DOWN REGULATED GENES
32747_at	aldehyde dehydrogenase 2, mitochondrial	aldehyde dehydrogenase	DOWN REGULATED GENES
34776_at	Cdc42 effector protein 4; binder of Rho GTPases 4		DOWN REGULATED GENES
773_at	mRNA for smooth muscle myosin heavy chain		DOWN REGULATED GENES
39329_at	actinin, alpha 1	cytoskeleton protein	DOWN REGULATED GENES
456_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	transcription coactivator	DOWN REGULATED GENES
41225_at	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	tyrosine dephosphatase	DOWN REGULATED GENES
33856_at	CAAX box 1		DOWN REGULATED GENES
39182_at	epithelial membrane protein 3	negative regulation of cell growth	DOWN REGULATED GENES
34163_g_at	RNA-binding protein gene with multiple splicing	RNA binding	DOWN REGULATED GENES
35747_at	stromal cell derived factor receptor 1	receptor activity	DOWN REGULATED GENES
32313_at	tropomyosin 2 (beta)	structural protein of muscle	DOWN REGULATED GENES
41528_at	translocase of inner mitochondrial membrane 9 (yeast) homolog		DOWN REGULATED GENES
34303_at	Homo sapiens mRNA; cDNA DKFZp564L0822 (from clone DKFZp564L0822)		DOWN REGULATED GENES
35330_at	filamin C, gamma (actin-binding protein-280)	actin binding	DOWN REGULATED GENES
31444_s_at	annexin A2 pseudogene 2	skeletal development	DOWN REGULATED GENES
36577_at	mitogen inducible 2	cell adhesion	DOWN REGULATED GENES
38700_at	cysteine and glycine-rich protein 1	zinc binding	DOWN REGULATED GENES
37542_at	lipoma HMGIC fusion partner-like 2		DOWN REGULATED GENES
41288_at	matrix Gla protein		DOWN REGULATED GENES
35177_at	KIAA0725 protein		DOWN REGULATED GENES
32314_g_at	tropomyosin 2 (beta)	structural protein of muscle	DOWN REGULATED GENES
38385_at	destrin (actin depolymerizing factor)	actin filament severing	DOWN REGULATED GENES
40841_at	transforming, acidic coiled-coil containing protein 1		DOWN REGULATED GENES
769_s_at	annexin A2	phospholipase inhibitor	DOWN REGULATED GENES
32166_at	KIAA1027 protein		DOWN REGULATED GENES
36894_at	dJ742C19.5 (novel Chromobox protein)		DOWN REGULATED GENES
37630_at	chordin-like		DOWN REGULATED GENES
33819_at	lactate dehydrogenase B	lactate dehydrogenase	DOWN REGULATED GENES
40771_at	moesin	cytoskeletal structural protein	DOWN REGULATED GENES
39691_at	CGI-61 protein	apoptosis	DOWN REGULATED GENES
39544_at	KIAA0353 protein		DOWN REGULATED GENES
36119_at	caveolin 1, caveolae protein, 22kD	structural protein, tumor suppressor	DOWN REGULATED GENES
35842_at	Homo sapiens mRNA; cDNA DKFZp564F053 (from clone DKFZp564F053)		DOWN REGULATED GENES
