Gene symbol	Fold increase, sensitive vs resistant	Resistant, mean signal	Sensitive, mean signal	Probe set	Description
LOC202451	2.7	45.2	123.1	228051_at	hypothetical protein LOC202451
AA675917	2.7	48.4	131.1	229599_at	Hypothetical gene supported by BC022385; BC035868; BC048326
PRRG4	2.7	88.8	239.4	207291_at	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)
DAPP1	2.7	65.9	175.9	222858_s_at	dual adaptor of phosphotyrosine and 3-phosphoinositides
EPS8L1	2.7	156	415.2	91826_at	EPS8-like 1
DKFZp761B107	2.6	48.9	129.5	226141_at	Hypothetical protein DKFZp761B107
LOC389389	2.6	64.9	169.4	238028_at	similar to AI661453 protein
B3GNT3	2.6	211.6	547.5	204856_at	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3
LOC339745	2.6	215.2	557	225658_at	hypothetical protein LOC339745
PTK6	2.5	40.7	103	206482_at	PTK6 protein tyrosine kinase 6
USP44	2.5	30.6	76.5	224048_at	ubiquitin specific protease 44
FLJ10156	2.4	42.4	103.4	230076_at	Hypothetical protein FLJ10156
CAPS	2.4	63.2	153.3	231728_at	calcyphosine
EPS8L1	2.4	145.8	353.2	221655_x_at	EPS8-like 1
AI797017	2.4	115.7	279.5	230388_s_at	LOC440441
AI830823	2.4	43.6	105.4	229440_at
TMEM40	2.4	68	164.4	222892_s_at	transmembrane protein 40
RASEF	2.4	11.4	27.3	243862_at	RAS and EF hand domain containing
SLC2A12	2.4	34.5	82.5	235050_at	solute carrier family 2 (facilitated glucose transporter), member 12
CAB39	2.4	444.9	1061.3	224311_s_at	calcium binding protein 39
LOC57228	2.4	343.9	814.3	209679_s_at	hypothetical protein from clone 643
BF433219	2.4	30.3	71.6	240861_at
TFCP2L4	2.4	47	111.2	232116_at	transcription factor CP2-like 4
LOC284307	2.4	48.3	113.8	235773_at	Hypothetical protein LOC284307
FLJ46385	2.4	46.3	108.9	238148_s_at	FLJ46385 protein
CAB39	2.3	623	1459.9	217873_at	calcium binding protein 39
TJP3	2.3	121.7	285.3	213412_at	tight junction protein 3 (zona occludens 3)
CLDN9	2.3	143.4	332.9	214635_at	claudin 9
KCNMB4	2.3	113.1	262.6	219287_at	potassium large conductance calcium-activated channel, subfamily M, beta member 4
CENTA1	2.3	150.3	345.4	219150_s_at	centaurin, alpha 1
OVOL1	2.3	165.7	380.7	229396_at	ovo-like 1(Drosophila)
PORIMIN	2.3	655.8	1504	211967_at	pro-oncosis receptor inducing membrane injury gene
BF224444	2.3	36	82.3	230527_at	Transcribed locus
ENPP4	2.3	23.3	53	204161_s_at	ectonucleotide pyrophosphatase/phosphodiesterase 4
PRSS22	2.3	160.8	363	205847_at	protease, serine, 22
CYP2J2	2.2	134.8	303.1	205073_at	cytochrome P450, family 2, subfamily J, polypeptide 2
BF445865	2.2	21.1	47.3	236358_at
RHOD	2.2	944.1	2113.2	31846_at	ras homolog gene family, member D
RAP2B	2.2	1111.2	2482.9	227897_at
LGALS9	2.2	183.1	407.4	203236_s_at	lectin, galactoside-binding, soluble, 9 (galectin 9)
FGD4	2.2	31.1	69	242445_at	FYVE, RhoGEF and PH domain containing 4
KIAA1946	2.2	95.2	209.2	227370_at	KIAA1946
AA573901	2.2	140.3	307.6	227783_at
AW302207	2.2	98.3	213.7	238742_x_at	Transcribed locus
CNKSR1	2.2	104	225.5	204740_at	connector enhancer of kinase suppressor of Ras 1
SLC35A3	2.2	121.7	263.3	226894_at	Solute carrier family 35, member A3
COBLL1	2.2	98.1	212	203641_s_at	COBL-like 1
LOC146439	2.2	112	241.2	235095_at	hypothetical LOC146439
FLJ12644	2.1	28.1	60.2	223616_at	hypothetical protein FLJ12644
MLF1IP	2.1	82.3	176	229305_at	MLF1 interacting protein
AIM1L	2.1	87.9	187.4	220289_s_at	absent in melanoma 1-like
RECQL5	2.1	54.1	114.9	229740_at	RecQ protein-like 5
DKFZp434C0328	2.1	42.8	90.6	219313_at	hypothetical protein DKFZp434C0328
MGC17330	2.1	122.9	258.7	221757_at	HGFL gene
WDFY1	2.1	264.6	556.5	224800_at	WD repeat and FYVE domain containing 1
SRCAP	2.1	160.3	336.8	213667_at	Snf2-related CBP activator protein
FLJ23091	2.1	217.5	455.3	221958_s_at	putative NFkB activating protein 373
GAB1	2.1	61.9	129.2	226002_at	GRB2-associated binding protein 1
PRKCD	2.1	149.7	308.3	202545_at	protein kinase C, delta
GAB1	2	21.2	43.3	229114_at	GRB2-associated binding protein 1
PRRG2	2	78	158.8	205617_at	proline rich Gla (G-carboxyglutamic acid) 2
MPP7	2	12.4	24.6	238451_at	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)
AI051046	2	135.1	267.6	229444_at	Transcribed locus, strongly similar to NP_005043.1 (Rac3)
PSD4	2	101	199.8	203317_at	pleckstrin and Sec7 domain containing 4
HS3ST1	2	81.7	159.6	205465_x_at	heparan sulfate (glucosamine) 3-O-sulfotransferase 1
ENPP5	1.9	14.5	28.2	237054_at	Ectonucleotide pyrophosphatase/phosphodiesterase 5
WFDC3	1.9	97.3	188.5	232602_at	WAP four-disulfide core domain 3
FTS	1.9	490.5	947.9	223894_s_at	fused toes homolog (mouse)
WEE1	1.9	482.1	932	212533_at	WEE1 homolog (S. pombe)
KIAA0040	1.9	85.1	163.6	203143_s_at	KIAA0040 gene product
RASGEF1B	1.9	80.4	154.7	230233_at	RasGEF domain family, member 1B
SRCAP	1.9	429.4	825.7	38766_at	Snf2-related CBP activator protein
MGC12981	1.9	332.4	635.6	224946_s_at	hypothetical protein MGC12981
SCAMP2	1.9	361.5	690.5	224921_at	secretory carrier membrane protein 2
ZNF313	1.9	396.1	750.6	211678_s_at	zinc finger protein 313
SLC35A3	1.9	161	303.5	206770_s_at	solute carrier family 35, member A3
AI916284	1.9	74.4	140.2	236616_at	CDNA FLJ41623 fis, clone CTONG3009227
ZNF506	1.9	7.4	13.9	238493_at	zinc finger protein 506
ACPP	1.9	57.1	107.1	237030_at	acid phosphatase, prostate
ADK	1.9	58.8	109.2	204120_s_at	adenosine kinase
LRG1	1.9	151.2	281.3	228648_at	leucine-rich alpha-2-glycoprotein 1
MLF1IP	1.8	157.3	289.7	229304_s_at	MLF1 interacting protein
LOC339745	1.8	220.7	406	225659_at	hypothetical protein LOC339745
TJP2	1.8	49.9	90.9	232017_at	tight junction protein 2 (zona occludens 2)
UNC13D	1.8	152.9	278.3	226678_at	unc-13 homolog D (C. elegans)
AW305300	1.8	10.1	18.3	238962_at	Full-length cDNA clone CS0DF003YC20 of Fetal brain of Homo sapiens (human)
C1orf21	1.8	66.9	121.2	223126_s_at	chromosome 1 open reading frame 21
ZNF258	1.8	29.9	53.4	227594_at	zinc finger protein 258
ATPIF1	1.8	181.4	323	223339_at	ATPase inhibitory factor 1
SPINK2	1.8	64.2	112.7	206310_at	serine protease inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)
RAB11FIP4	1.7	121.1	211.4	225739_at	RAB11 family interacting protein 4 (class II)
CDC42	1.7	1331	2319	226400_at
KIAA1833	1.7	123.5	212.7	227778_at	hypothetical protein KIAA1833
C20orf55	1.7	110.2	189	226584_s_at	chromosome 20 open reading frame 55
AIG1	1.7	57.3	95.7	232810_at	androgen-induced 1
HMGCL	1.7	608	1009.2	202772_at	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase
KLC2L	1.7	112	186.1	239853_at	kinesin light chain 2-like
REPS2	1.6	77.3	125.9	205645_at	RALBP1 associated Eps domain containing 2
GUK1	1.6	750.4	1216.8	200075_s_at	guanylate kinase 1
ZDHHC21	1.6	70.4	113.8	241946_at	zinc finger, DHHC domain containing 21
HSD17B7	1.6	425.4	683.2	220081_x_at	hydroxysteroid (17-beta) dehydrogenase 7
BG231548	1.6	10.7	16.6	238364_x_at
PDE5A	1.5	16	23.9	206757_at	phosphodiesterase 5A, cGMP-specific
TRAD	1.5	103.2	153.4	227750_at	serine/threonine kinase with Dbl- and pleckstrin homology domains
