Probe Set	Parametric p-value	Cox Hazard Ratio	Gene Symbol
202746_at	0.0011065	1.322	ITM2A
221511_x_at	0.001127	1.98	CCPG1
205080_at	0.0011329	2.915	RARB
203744_at	0.0011349	0.538	HMGB3
210970_s_at	0.0011758	1.949	IBTK
214487_s_at	0.0011827	0.297	RAP2A
205817_at	0.0012348	0.33	SIX1
219908_at	0.0012432	3.412	DKK2
214404_x_at	0.0012716	0.364	SPDEF
204817_at	0.0012873	0.391	ESPL1
204793_at	0.0012989	1.476	GPRASP1
202747_s_at	0.0013011	1.654	ITM2A
210240_s_at	0.001325	0.374	CDKN2D
206201_s_at	0.0013379	2.484	MEOX2
222242_s_at	0.0013642	0.728	KLK5
207629_s_at	0.0014068	0.302	ARHGEF2
209656_s_at	0.0014219	1.265	TMEM47
210817_s_at	0.0014255	2.204	CALCOCO2
205180_s_at	0.0014489	0.436	ADAM8
207083_s_at	0.0014676	0.143	CC2D1A
221851_at	0.0014695	0.369	LOC90379
216620_s_at	0.00147	2.128	ARHGEF10
214787_at	0.0014748	6.046	DENND4A
205771_s_at	0.0014782	3.092	AKAP7
208449_s_at	0.0014858	0.065	FGF8
214301_s_at	0.0014934	0.214	DPYSL4
209893_s_at	0.001498	4.253	FUT4
209242_at	0.0015082	1.214	PEG3
205990_s_at	0.0015098	1.552	WNT5A
38158_at	0.0015558	0.414	ESPL1
203501_at	0.0015581	1.926	PGCP
210095_s_at	0.0016106	1.463	IGFBP3
214493_s_at	0.0016113	0.136	INADL
210206_s_at	0.0016225	0.277	DDX11
211865_s_at	0.001654	0.25	FZR1
212741_at	0.0016723	1.817	MAOA
203599_s_at	0.0016788	3.109	WBP4
212729_at	0.0016849	0.274	DLG3
214260_at	0.001715	3.611	COPS8
221257_x_at	0.0017172	2.298	FBXO38
206012_at	0.0017186	1.784	LEFTY2
212097_at	0.0017457	1.342	CAV1
212936_at	0.0017666	1.992	C5orf21
214292_at	0.0017734	0.218	ITGB4
221919_at	0.0017835	0.298
218769_s_at	0.0017975	2.272	ANKRA2
208255_s_at	0.0018108	0.341	FKBP8
213397_x_at	0.0018174	1.42	RNASE4
203976_s_at	0.001883	0.328	CHAF1A
205179_s_at	0.0018872	0.259	ADAM8
201508_at	0.0018966	1.41	IGFBP4
202409_at	0.0019032	1.162	IGF2
221141_x_at	0.0019187	0.399	EPN1
218485_s_at	0.0019383	0.267	SLC35C1
208600_s_at	0.0019416	0.179	GPR39
203132_at	0.0019507	1.745	RB1
214780_s_at	0.0019508	0.31	MYO9B
210457_x_at	0.0019723	0.421	HMGA1
203576_at	0.0019757	0.363	BCAT2
218989_x_at	0.0019811	1.704	SLC30A5
216695_s_at	0.0019882	0.095	TNKS
217322_x_at	0.0020057	0.404
208546_x_at	0.0020391	0.579	HIST1H2BH
212899_at	0.0020398	1.705	CDC2L6
203903_s_at	0.002045	1.457	HEPH
217399_s_at	0.002064	0.185	FOXO3A
208947_s_at	0.0020839	0.282	UPF1
217350_at	0.0020866	0.214	LOC160313
208523_x_at	0.0020948	0.446	HIST1H2BI
216940_x_at	0.0021204	0.336
207667_s_at	0.0021694	0.276	MAP2K3
210234_at	0.0021873	0.246	GRM4
204719_at	0.00224	1.312	ABCA8
204388_s_at	0.0022661	4.436	MAOA
212239_at	0.0022689	1.74	PIK3R1
208605_s_at	0.002284	0.255	NTRK1
202677_at	0.0022925	1.965	RASA1
214658_at	0.0023345	2.062	TMED7
204291_at	0.0023547	1.855	ZNF518
213817_at	0.0023758	4.481
210415_s_at	0.0023903	0.323	ODF2
203055_s_at	0.002398	0.306	ARHGEF1
208396_s_at	0.0024218	1.42	PDE1A
203131_at	0.0024307	1.282	PDGFRA
213000_at	0.0024519	2.612	MORC3
207071_s_at	0.0024649	2.577	ACO1
204487_s_at	0.0024727	0.246	KCNQ1
218346_s_at	0.0024739	1.863	SESN1
215474_at	0.0024851	0.172	C8orf36
207631_at	0.0024869	0.347	NBR2
208823_s_at	0.0024927	0.474	PCTK1
217199_s_at	0.0024963	0.218	STAT2
217707_x_at	0.0025075	1.493	SMARCA2
201380_at	0.0025088	2.131	CRTAP
200982_s_at	0.0025093	1.685	ANXA6
209873_s_at	0.0025133	0.582	PKP3
206219_s_at	0.0025215	0.151	VAV1
208541_x_at	0.002533	0.381	TFAM
206267_s_at	0.0025437	0.375	MATK
209501_at	0.0025492	2.22	CDR2
203562_at	0.00255	1.771	FEZ1
208111_at	0.0025667	0.308	AVPR2
201045_s_at	0.0025863	0.392	RAB6A
202048_s_at	0.0026019	2.337	CBX6
212824_at	0.002615	2.113	FUBP3
221785_at	0.0026181	0.297	WIZ
209335_at	0.0026248	1.28	DCN
201613_s_at	0.0026639	0.56	AP1G2
222234_s_at	0.0026762	0.243	DBNDD1
215747_s_at	0.0026922	0.287	RCC1
218475_at	0.0027131	0.267	HTF9C
220174_at	0.0027253	0.241	LRRC8E
203323_at	0.0027399	1.544	CAV2
203799_at	0.0027449	1.446	CD302
221758_at	0.0028062	0.378	ARMC6
218744_s_at	0.0028124	0.436	PACSIN3
212128_s_at	0.0028167	0.336	DAG1
203317_at	0.0028361	0.413	PSD4
208873_s_at	0.0028434	1.621	REEP5
218075_at	0.0029016	0.19	AAAS
201534_s_at	0.0029095	1.706	UBL3
208917_x_at	0.002917	0.281	NADK
219513_s_at	0.0029198	0.4	SH2D3A
205309_at	0.0029455	0.606	SMPDL3B
221657_s_at	0.002986	0.295	ASB6
205400_at	0.0030037	0.311	WAS
213961_s_at	0.003006	0.226
221709_s_at	0.0030068	0.399	C14orf131
202334_s_at	0.0030153	2.036	UBE2B
205937_at	0.003052	0.259	CGREF1
203525_s_at	0.0030615	3.948	APC
207405_s_at	0.003077	2.538	RAD17
207935_s_at	0.0030777	1.748	KRT13
204036_at	0.0031003	1.956	EDG2
211901_s_at	0.0031184	0.441	PDE4A
211249_at	0.0031222	0.18	GPR68
212343_at	0.0031245	2.792	YIPF6
217497_at	0.0031309	0.34	ECGF1
213545_x_at	0.0031372	1.757	SNX3
208527_x_at	0.0031437	0.621	HIST1H2BE
202787_s_at	0.0031521	0.352	MAPKAPK3
65086_at	0.0031707	0.277	YIPF2
204225_at	0.0031788	1.954	HDAC4
205042_at	0.0031895	2.097	GNE
212813_at	0.0031925	1.572	JAM3
214398_s_at	0.0031955	0.233	IKBKE
212915_at	0.0031964	1.423	PDZRN3
211097_s_at	0.0032501	0.243	PBX2
204405_x_at	0.0032863	1.751	DIMT1L
201420_s_at	0.0032967	0.431	WDR77
210491_at	0.0032998	0.145
211841_s_at	0.0033019	0.431	TNFRSF25
213470_s_at	0.0033037	0.403	HNRPH1
205905_s_at	0.0033075	0.267	MICA
219504_s_at	0.0033264	0.296	C1orf82
203060_s_at	0.0033408	1.531	PAPSS2
218651_s_at	0.0033481	2.3	LARP6
212345_s_at	0.0033593	1.63	CREB3L2
221960_s_at	0.0033606	2.181	RAB2
203376_at	0.0033921	2.203	CDC40
209528_s_at	0.0034102	0.339	KIAA0683
214793_at	0.0034156	0.149	DUSP7
201750_s_at	0.0034174	0.337	ECE1
209392_at	0.0034787	1.393	ENPP2
222108_at	0.003489	1.407	AMIGO2
202639_s_at	0.0034944	0.337	RANBP3
213933_at	0.0034945	1.593	PTGER3
221478_at	0.0035046	1.455	BNIP3L
204604_at	0.0035206	1.571	PFTK1
216405_at	0.0035224	0.229	LGALS1
218275_at	0.0035455	0.446	SLC25A10
217469_at	0.0035653	0.118	IGHG1
219548_at	0.0035987	0.372	ZNF16
216685_s_at	0.0036047	0.318	MTAP
203373_at	0.0036285	1.679	SOCS2
204564_at	0.0036349	0.243	PCGF3
216805_at	0.0036541	0.126	DDEF1
209005_at	0.0036632	2.018	FBXL5
221293_s_at	0.0037196	0.24	DEF6
218169_at	0.0037511	0.367	VAC14
213974_at	0.0037535	2.495	ADAMTSL3
205312_at	0.0037542	0.439	SPI1
212000_at	0.0037666	0.373	SFRS14
205656_at	0.0037754	1.853	PCDH17
208824_x_at	0.0037777	0.632	PCTK1
209576_at	0.003779	1.866	GNAI1
212105_s_at	0.0037903	0.175	DHX9
211027_s_at	0.0038014	0.183	IKBKB
215004_s_at	0.003807	0.483	SF4
203651_at	0.0038121	1.485	ZFYVE16
202786_at	0.0038185	2.369	STK39
207006_s_at	0.0038276	0.253	CCDC106
219583_s_at	0.0038624	6.733	SPATA7
205715_at	0.003941	2.174	BST1
202044_at	0.0039475	0.295	GRLF1
212912_at	0.0039603	1.529	RPS6KA2
221543_s_at	0.0039743	1.591	SPFH2
202304_at	0.0039929	1.684	FNDC3A
214797_s_at	0.0040586	0.422	PCTK3
203500_at	0.0040685	0.441	GCDH
219213_at	0.0040809	1.769	JAM2
201427_s_at	0.0040879	1.464	SEPP1
221507_at	0.0041332	0.442	TNPO2
214935_at	0.0041382	0.305	NUP62
221156_x_at	0.0041781	4.27	CCPG1
209683_at	0.00423	3.399	FAM49A
212230_at	0.0042434	1.381	PPAP2B
207732_s_at	0.0042507	0.339	DLG3
201621_at	0.0042973	1.439	NBL1
202480_s_at	0.0043206	0.233	DEDD
204189_at	0.0043304	0.355	RARG
201133_s_at	0.0043305	1.408	PJA2
214800_x_at	0.0044197	1.676	BTF3
207105_s_at	0.0044336	0.314	PIK3R2
218063_s_at	0.0044412	0.366	CDC42EP4
219056_at	0.0044479	2.495	RNASEH2B
203939_at	0.0044686	1.725	NT5E
217462_at	0.0044879	0.254	C11orf9
209120_at	0.0045776	1.298	NR2F2
218043_s_at	0.0045897	3.265	AZI2
212179_at	0.0046493	1.577	C6orf111
202976_s_at	0.0046745	1.531	RHOBTB3
218305_at	0.0046814	0.553	IPO4
212886_at	0.0047115	2.091	CCDC69
204786_s_at	0.0047137	0.383	IFNAR2
212466_at	0.0047272	0.242	SPRED2
204686_at	0.0047483	1.552	IRS1
215401_at	0.0047799	0.28	SLC7A1
202908_at	0.0047977	1.695	WFS1
201660_at	0.004834	1.841	ACSL3
218798_at	0.0048346	0.419	FLJ12949
219353_at	0.0048631	2.513	NHLRC2
212648_at	0.0048731	1.756	DHX29
204017_at	0.0048809	1.524	KDELR3
208277_at	0.0048888	0.307	PITX3
209872_s_at	0.0048913	0.405	PKP3
218780_at	0.0049057	0.554	HOOK2
203837_at	0.0049564	1.533	MAP3K5
203989_x_at	0.0049699	2.343	F2R
208490_x_at	0.0050198	0.608	HIST1H2BF
217518_at	0.0050228	0.378	FER1L3
214043_at	0.0050391	1.631	PTPRD
210585_s_at	0.0051025	0.204	TNPO2
216212_s_at	0.0051116	0.496	DKC1
209651_at	0.0051206	1.336	TGFB1I1
218648_at	0.0051292	1.862	CRTC3
211513_s_at	0.0051481	0.412	OGFR
208667_s_at	0.0051501	1.522	ST13
218309_at	0.0051671	1.536	CAMK2N1
201710_at	0.0051775	0.501	MYBL2
209379_s_at	0.0051837	2.103	KIAA1128
208239_at	0.0051927	0.172	FOXE1
206516_at	0.0052084	0.259	AMH
212769_at	0.0052602	0.385	TLE3
221849_s_at	0.0052806	0.553	LOC90379
218382_s_at	0.0052909	0.312	U2AF2
220946_s_at	0.005302	0.114	SETD2
222222_s_at	0.0053279	0.4	HOMER3
218913_s_at	0.0053366	0.385	GMIP
204726_at	0.0053403	3.581	CDH13
220967_s_at	0.0053565	0.415	ZNF696
220812_s_at	0.0053704	0.175	HHLA2
220926_s_at	0.0054355	5.005	EDEM3
212145_at	0.0054472	1.74	MRPS27
212325_at	0.005466	2.26	DKFZP686A01247
202618_s_at	0.005494	0.353	MECP2
212195_at	0.0054994	1.335	IL6ST
208405_s_at	0.0055084	1.482	CD164
64371_at	0.0055477	0.399	SFRS14
211958_at	0.0055515	1.345	IGFBP5
204041_at	0.0055551	1.448	MAOB
204374_s_at	0.0055749	0.29	GALK1
213139_at	0.0056069	1.416	SNAI2
209001_s_at	0.0056184	1.948	ANAPC13
220416_at	0.0056284	3.008	ATP8B4
214620_x_at	0.0056501	1.983	PAM
207923_x_at	0.0056695	0.594	PAX8
201246_s_at	0.005674	0.451	OTUB1
211867_s_at	0.0056801	0.399	PCDHA10
212500_at	0.0057018	2.475	C10orf22
213258_at	0.0057545	1.432	TFPI
219500_at	0.0057555	0.419	CLCF1
212254_s_at	0.0057608	1.371	DST
215699_x_at	0.0057906	0.388	SFI1
218259_at	0.005803	1.54	MKL2
202873_at	0.0058146	0.266	ATP6V1C1
218871_x_at	0.0058187	2.678	GALNACT-2
209176_at	0.0058208	7.008
217451_at	0.0058237	0.095	COX5A
211403_x_at	0.0058386	0.305	VCY
216389_s_at	0.0058836	0.382	WDR23
206964_at	0.0059422	0.224	CML2
200067_x_at	0.005961	1.661	SNX3
220350_at	0.0059912	2.82	ZNF235
203178_at	0.0060062	1.713	GATM
214037_s_at	0.0060123	0.363	CCDC22
206602_s_at	0.0060204	0.295	HOXD3
213191_at	0.0060326	0.397	TICAM1
215329_s_at	0.0060702	0.394	CDC2L1
201806_s_at	0.006093	0.383	ATXN2L
221872_at	0.0061133	1.227	RARRES1
214806_at	0.0061277	0.444	BICD1
222381_at	0.0061517	0.282	PDCD6
220610_s_at	0.0061948	0.343	LRRFIP2
207188_at	0.0062042	0.427	CDK3
217076_s_at	0.006214	0.19
207192_at	0.0062238	0.31	DNASE1L2
213053_at	0.0062728	0.416	KIAA0841
218707_at	0.0062779	0.392	ZNF444
212950_at	0.0062792	1.646	GPR116
202425_x_at	0.0063057	2.223	PPP3CA
208096_s_at	0.0063131	1.828	COL21A1
213946_s_at	0.0063491	2.335	OBSL1
205006_s_at	0.0063683	2.005	NMT2
52741_at	0.0063907	0.284	C14orf172
202959_at	0.0063935	1.844	MUT
201639_s_at	0.0064188	0.677	CPSF1
202114_at	0.006421	2.133	SNX2
221800_s_at	0.0064757	0.53	C17orf70
203193_at	0.006487	0.464	ESRRA
222111_at	0.0064895	1.911
208476_s_at	0.0064996	0.412	FRMD4A
220074_at	0.0065117	0.22	MUCDHL
214386_at	0.006561	0.22	HMX1
221935_s_at	0.0066011	1.92	C3orf64
210537_s_at	0.0066156	0.179	TADA2L
212419_at	0.0067063	1.488	C10orf56
212549_at	0.0067084	1.874	STAT5B
210980_s_at	0.0067134	1.634	ASAH1
217069_at	0.0067443	0.358	MLL4
219596_at	0.0068232	1.946	THAP10
212158_at	0.0068271	1.345	SDC2
212243_at	0.0068401	2.967	GRINL1A
204742_s_at	0.0068704	1.688	APRIN
218323_at	0.0068807	1.839	RHOT1
210320_s_at	0.006899	2.463	DDX52
205756_s_at	0.0069172	2.178	F8
203422_at	0.0069278	0.44	POLD1
221510_s_at	0.0069308	1.708	GLS
209679_s_at	0.0069365	2.025	LOC57228
205357_s_at	0.0069591	1.777	AGTR1
211808_s_at	0.0069679	0.273	CREBBP
214802_at	0.0070054	0.521	EXOC7
219390_at	0.0070619	2.038	FKBP14
214992_s_at	0.0070994	0.469	DNASE2
217552_x_at	0.0070999	5.632	CR1
209735_at	0.0071093	1.897	ABCG2
218261_at	0.0071196	0.592	AP1M2
220935_s_at	0.0071949	0.276	CDK5RAP2
209730_at	0.0071997	0.547	SEMA3F
215488_at	0.0072366	0.4	VMD2
210620_s_at	0.0072436	0.331	GTF3C2
202007_at	0.007245	1.406	NID1
213045_at	0.0072622	0.29	MAST3
210823_s_at	0.0073098	0.35	PTPRS
204543_at	0.0073207	0.33	RAPGEF1
201712_s_at	0.0073282	2.062	RANBP2
217007_s_at	0.0073302	0.416	ADAM15
205802_at	0.0073487	1.694	TRPC1
37005_at	0.0073564	1.407	NBL1
209741_x_at	0.0073605	3.675	ZNF291
213013_at	0.0073668	0.393	MAPK8IP1
204202_at	0.0073828	2.062	IQCE
219608_s_at	0.0073878	0.236	FBXO38
208789_at	0.0073886	1.439	PTRF
205836_s_at	0.0073982	4.542	YTHDC2
204525_at	0.0074038	9.701	PHF14
221406_s_at	0.0074249	0.286	MSH5
222196_at	0.0074458	0.211	LOC286434
216602_s_at	0.0074496	0.584	FARSLA
210056_at	0.0074683	0.259	RND1
207832_at	0.0074712	0.411	BAIAP2
202540_s_at	0.0074761	1.633	HMGCR
203487_s_at	0.0075545	2.422	ARMC8
57588_at	0.0075707	1.87	SLC24A3
204464_s_at	0.0076299	1.337	EDNRA
206383_s_at	0.0076861	0.263	G3BP2
206734_at	0.0077026	1.924	JRKL
219525_at	0.0077696	2.315	FLJ10847
209401_s_at	0.0077723	0.275	SLC12A4
219307_at	0.0077754	2.133	PDSS2
34260_at	0.0078111	0.413	KIAA0683
209496_at	0.0078128	1.35	RARRES2
216926_s_at	0.007819	0.14	KIAA0892
219491_at	0.0078655	0.564	LRFN4
212526_at	0.0078706	1.741	SPG20
206393_at	0.0078739	0.33	TNNI2
219970_at	0.0079721	2.553	GIPC2
203099_s_at	0.0080213	0.401	CDYL
222289_at	0.0080382	0.3	KCNC2
220312_at	0.0080508	0.365	FAM83E
207239_s_at	0.0080592	0.694	PCTK1
216234_s_at	0.0080601	0.168	PRKACA
203029_s_at	0.0080778	2.655	PTPRN2
209269_s_at	0.008085	0.32	SYK
203766_s_at	0.0080858	1.268	LMOD1
210711_at	0.0081239	0.431	MGC5457
204095_s_at	0.008126	0.272	ELL
210463_x_at	0.0081664	0.653	TRMT1
200795_at	0.0081724	1.266	SPARCL1
203018_s_at	0.0082185	5.204	SSX2IP
213702_x_at	0.0082446	1.548	ASAH1
211490_at	0.0082645	0.13	ADRA1A
204164_at	0.0082878	0.523	SIPA1
212416_at	0.008289	1.906	SCAMP1
211913_s_at	0.0082973	0.327	MERTK
207306_at	0.0083137	0.528	TCF15
214253_s_at	0.0083583	0.366	DTNB
203477_at	0.0083686	1.293	COL15A1
219511_s_at	0.0083772	1.636	SNCAIP
207023_x_at	0.008396	1.583	KRT10
218758_s_at	0.0084056	0.476	D21S2056E
206659_at	0.0084081	0.497	FLJ14082
213206_at	0.0084464	4.353	GOSR2
218767_at	0.0084831	0.341	REXO4
220593_s_at	0.0084869	0.469	CCDC40
209414_at	0.0084947	0.346	FZR1
220705_s_at	0.008503	0.476	ADAMTS7
220448_at	0.0085355	0.17	KCNK12
205045_at	0.0085443	0.238	AKAP10
222101_s_at	0.0085803	1.54	DCHS1
217034_at	0.0085853	0.344
204093_at	0.0085913	1.59	CCNH
204135_at	0.0086141	1.275	DOC1
202609_at	0.0086179	1.379	EPS8
221349_at	0.0086327	0.099	VPREB1
203789_s_at	0.008647	1.29	SEMA3C
206409_at	0.0086542	0.298	TIAM1
209505_at	0.0086742	1.338	NR2F1
211839_s_at	0.0086849	0.319	CSF1
213510_x_at	0.0086873	1.57	LOC220594
214366_s_at	0.0087346	0.367	ALOX5
213653_at	0.0087656	0.405	METTL3
218696_at	0.0087711	1.764	EIF2AK3
202992_at	0.0087761	1.219	C7
213287_s_at	0.008777	1.498	KRT10
221636_s_at	0.0087817	2.328	MOSC2
203810_at	0.0088127	1.64	DNAJB4
206101_at	0.0088174	1.462	ECM2
204049_s_at	0.0088379	1.757	PHACTR2
207451_at	0.0088418	0.322	NKX2-8
214520_at	0.0088487	0.254	FOXC2
203612_at	0.0088505	0.358	BYSL
218962_s_at	0.0088541	1.919	TMEM168
214310_s_at	0.0088829	0.407	ZFPL1
212389_at	0.0089038	0.372	SBF1
202009_at	0.0089358	0.437	PTK9L
204872_at	0.0089799	1.467	TLE4
205105_at	0.0089977	1.609	MAN2A1
211085_s_at	0.0090209	0.096	STK4
219304_s_at	0.0090274	1.381	PDGFD
201610_at	0.0090347	0.17	ICMT
213883_s_at	0.0090604	1.532	TM2D1
213177_at	0.0090687	0.483	MAPK8IP3
205537_s_at	0.0090893	0.298	VAV2
207965_at	0.0090912	0.249	NEUROG3
209550_at	0.0091036	1.361	NDN
217912_at	0.0091065	0.596	DUS1L
201886_at	0.0091217	0.42	WDR23
212681_at	0.0091328	2.133	EPB41L3
202842_s_at	0.0091619	1.356	DNAJB9
207613_s_at	0.0091634	0.283	CAMK2A
208258_s_at	0.0091811	0.293	GAS2L1
203304_at	0.0091863	1.426	BAMBI
214105_at	0.0091918	0.396	SOCS3
203065_s_at	0.0092361	1.343	CAV1
217326_x_at	0.009243	0.266	PRSS1
218797_s_at	0.0092452	0.504	SIRT7
206227_at	0.0092681	1.542	CILP
207342_at	0.0092711	0.179	CNGB1
212328_at	0.0093212	1.573	DKFZP686A01247
211809_x_at	0.0093223	0.398	COL13A1
209200_at	0.0093358	1.504	MEF2C
218613_at	0.0093662	1.991	LOC653754
202456_s_at	0.0093705	0.335	ZYG11BL
212443_at	0.009375	0.541	NBEAL2
201060_x_at	0.0094309	1.606	STOM
222042_x_at	0.0094407	0.395	RKHD1
208315_x_at	0.0094485	0.314	TRAF3
209817_at	0.0094543	1.611	PPP3CB
206421_s_at	0.0094954	2.494	SERPINB7
219275_at	0.0095237	0.655	PDCD5
204558_at	0.0095492	0.478	RAD54L
202160_at	0.0095499	1.605	CREBBP
219075_at	0.009588	0.578	YIPF2
211804_s_at	0.0096356	0.444	CDK2
215159_s_at	0.009651	0.427	NADK
209447_at	0.0096554	1.503	SYNE1
221797_at	0.0096705	0.569	LOC339229
217132_at	0.0096769	3.969	LOC644963
202363_at	0.0096821	1.923	SPOCK1
221065_s_at	0.0097119	0.387	CHST8
202052_s_at	0.0097275	1.455	RAI14
203934_at	0.00973	2.337	KDR
208927_at	0.0097357	1.806	SPOP
207891_s_at	0.0097691	0.369	UIP1
213151_s_at	0.0097773	1.61	7-Sep
207921_x_at	0.0097854	0.564	PAX8
203845_at	0.0098209	1.884	PCAF
209367_at	0.0098238	0.595	STXBP2
200603_at	0.0098389	1.515	PRKAR1A
217545_at	0.009874	0.341	MYH14
205457_at	0.009882	0.279	C6orf106
205752_s_at	0.0098842	1.469	GSTM5
220676_at	0.0099043	0.17	ADAMTS8
213149_at	0.0099168	1.642	DLAT
216641_s_at	0.0099278	0.495	LAD1
218396_at	0.009956	1.667	VPS13C
212635_at	0.0099765	1.902	TNPO1
