P_SET	TITLE	SYMBOL	DOWNFOLD
210286_s_at	solute carrier family 4, sodium bicarbonate cotransporter, member 7	SLC4A7	3.55
218899_s_at	brain and acute leukemia, cytoplasmic	BAALC	3.54
209267_s_at	BCG-induced gene in monocytes, clone 103	BIGM103	3.53
212174_at	adenylate kinase 2	AK2	3.52
206343_s_at	neuregulin 1	NRG1	3.47
203324_s_at	caveolin 2	CAV2	3.46
203323_at	Homo sapiens cDNA: FLJ20860 fis, clone ADKA01632.	Homo sapiens cDNA: FLJ20860 fis, clone ADKA01632.	3.41
213424_at	KIAA0895 protein	KIAA0895	3.41
213943_at	twist homolog (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)	TWIST	3.4
209656_s_at	brain cell membrane protein 1	BCMP1	3.37
204422_s_at	fibroblast growth factor 2 (basic)	FGF2	3.36
201739_at	serum/glucocorticoid regulated kinase	SGK	3.35
214974_x_at	chemokine (C-X-C motif) ligand 5	CXCL5	3.3
207852_at	chemokine (C-X-C motif) ligand 5	CXCL5	3.27
204421_s_at	fibroblast growth factor 2 (basic)	FGF2	3.24
219869_s_at	BCG-induced gene in monocytes, clone 103	BIGM103	3.16
205715_at	bone marrow stromal cell antigen 1	BST1	3.12
218506_x_at	uncharacterized bone marrow protein BM045	BM045	3.1
204994_at	myxovirus (influenza virus) resistance 2 (mouse)	MX2	3.09
214612_x_at	---, 214612_x_at, ---	---, 214612_x_at, ---	3.09
214930_at	KIAA0918 protein	KIAA0918,	3.07
203939_at	5-nucleotidase, ecto (CD73)	NT5E	3.06
208892_s_at	dual specificity phosphatase 6	DUSP6	3.02
209774_x_at	chemokine (C-X-C motif) ligand 2	CXCL2	2.97
203637_s_at	midline 1 (Opitz/BBB syndrome)	MID1	2.96
210138_at	egulator of G-protein signalling 20	RGS20	2.94
201849_at	BCL2/adenovirus E1B 19kDa interacting protein 3	BNIP3	2.9
204086_at	preferentially expressed antigen in melanoma	PRAME	2.9
219872_at	hypothetical protein DKFZp434L142	DKFZp434L142	2.9
218313_s_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)	GALNT7	2.87
37170_at	BMP-2 inducible kinase	BIKE	2.86
219582_at	hypothetical protein FLJ21079	FLJ21079	2.85
214716_at	BMP-2 inducible kinase	BIKE	2.83
221896_s_at	likely ortholog of mouse hypoxia induced gene 1	HIG1	2.83
210663_s_at	kynureninase (L-kynurenine hydrolase)	KYNU	2.8
204256_at	long-chain fatty-acyl elongase	LCE	2.79
210372_s_at	tumor protein D52-like 1	TPD52L1	2.76
205596_s_at	E3 ubiquitin ligase SMURF2	SMURF2	2.74
207501_s_at	fibroblast growth factor 12	FGF12	2.74
206336_at	chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	CXCL6	2.73
208657_s_at	MLL septin-like fusion	MSF	2.72
217329_x_at	---, 217329_x_at, ---	---, 217329_x_at, ---	2.72
205777_at	dual specificity phosphatase 9	DUSP9	2.69
218435_at	DNAJ domain-containing	MCJ	2.67
219973_at	hypothetical protein FLJ23548	FLJ23548,	2.67
209277_at	tissue factor pathway inhibitor 2	TFPI2	2.65
219271_at	UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase T10	GalNac-T10	2.65
203786_s_at	tumor protein D52-like 1	TPD52L1	2.64
203789_s_at	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	SEMA3C	2.62
209258_s_at	chondroitin sulfate proteoglycan 6 (bamacan)	CSPG6	2.62
209040_s_at	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)	PSMB8	2.61
218400_at	2-5-oligoadenylate synthetase 3, 100kDa	OAS3	2.61
219522_at	four jointed box 1 (Drosophila)	FJX1	2.61
202086_at	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	MX1	2.6
204872_at	BCE-1 protein	BCE-1	2.6
222309_at	---, 222309_at, ESTs	---, 222309_at, ESTs	2.6
210305_at	similar to rat myomegalin	LOC64182	2.59
216870_x_at	deleted in lymphocytic leukemia, 2	DLEU2	2.59
207943_x_at	pleiomorphic adenoma gene-like 1	PLAGL1	2.58
208116_s_at	mannosidase, alpha, class 1A, member 1	MAN1A1	2.58
218662_s_at	chromosome condensation protein G	HCAP-G	2.58
202115_s_at	DKFZP564C186 protein	DKFZP564C186	2.57
206653_at	Homo sapiens cDNA: FLJ21837 fis, clone HEP01664.	Homo sapiens cDNA: FLJ21837 fis, clone HEP01664.	2.57
218663_at	chromosome condensation protein G	HCAP-G	2.57
205466_s_at	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	HS3ST1	2.56
208891_at	dual specificity phosphatase 6	DUSP6	2.55
209884_s_at	solute carrier family 4, sodium bicarbonate cotransporter, member 7	SLC4A7	2.55
213906_at	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	MYBL1,	2.55
202241_at	phosphoprotein regulated by mitogenic pathways	C8FW	2.53
213581_at	programmed cell death 2	PDCD2	2.53
204769_s_at	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	TAP2	2.52
205870_at	bradykinin receptor B2	BDKRB2	2.52
217845_x_at	likely ortholog of mouse hypoxia induced gene 1	HIG1	2.52
201432_at	catalase	CAT	2.5
204279_at	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)	PSMB9	2.5
219650_at	hypothetical protein FLJ20105	FLJ20105,	2.5
208118_x_at	LAT1-3TM protein	LAT1-3TM	2.49
209278_s_at	tissue factor pathway inhibitor 2	TFPI2	2.49
209836_x_at	hypothetical protein MGC5178	MGC5178	2.49
210691_s_at	Siah-interacting protein	SIP	2.49
201016_at	eukaryotic translation initiation factor 1A	EIF1A	2.48
204435_at	nucleoporin like 1	NUPL1	2.48
215629_s_at	BCMS upstream neighbor-like	BCMSUNL	2.47
218171_at	vacuolar protein sorting 4B (yeast)	VPS4B	2.47
222162_s_at	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	ADAMTS1	2.47
201387_s_at	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	UCHL1	2.46
206074_s_at	high mobility group AT-hook 1	HMGA1	2.46
221885_at	KIAA1277 protein	KIAA1277	2.46
204462_s_at	solute carrier family 16 (monocarboxylic acid transporters), member 2 (putative transporter)	SLC16A2	2.45
201848_s_at	BCL2/adenovirus E1B 19kDa interacting protein 3	BNIP3	2.44
202934_at	hexokinase 2	HK2	2.44
219403_s_at	heparanase	HPSE	2.44
220789_s_at	cell cycle progression 2 protein	CPR2,	2.44
201042_at	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	TGM2	2.43
203845_at	p300/CBP-associated factor	PCAF	2.43
205981_s_at	inhibitor of growth family, member 1-like	ING1L	2.43
211911_x_at	major histocompatibility complex, class I, B	HLA-B	2.43
211922_s_at	catalase	CAT	2.43
213790_at	Homo sapiens cDNA FLJ31066 fis, clone HSYRA2001153.	Homo sapiens cDNA FLJ31066 fis, clone HSYRA2001153.	2.43
203258_at	DR1-associated protein 1 (negative cofactor 2 alpha)	DRAP1	2.42
206467_x_at	tumor necrosis factor receptor superfamily, member 6b, decoy	TNFRSF6B	2.42
211379_x_at	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3	B3GALT3	2.42
218738_s_at	STRIN protein	STRIN	2.42
204035_at	secretogranin II (chromogranin C)	SCG2	2.41
214240_at	galanin	GAL	2.41
218611_at	immediate early response 5	IER5	2.41
201487_at	cathepsin C	CTSC	2.4
202307_s_at	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	TAP1	2.4
203007_x_at	lysophospholipase I	LYPLA1	2.4
204916_at	receptor (calcitonin) activity modifying protein 1	RAMP1	2.4
221802_s_at	KIAA1598 protein	KIAA1598,	2.4
201939_at	serum-inducible kinase	SNK	2.39
203499_at	EphA2	EPHA2	2.39
218543_s_at	hypothetical protein FLJ22693	FLJ22693	2.39
201541_s_at	putative cyclin G1 interacting protein	CG1I	2.38
201619_at	peroxiredoxin 3	PRDX3	2.38
215034_s_at	transmembrane 4 superfamily member 1	TM4SF1	2.38
206510_at	sine oculis homeobox homolog 2 (Drosophila)	SIX2	2.37
221452_s_at	hypothetical protein MGC1223	MGC1223	2.37
202458_at	protease, serine, 23	SPUVE	2.36
202675_at	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	SDHB	2.36
203386_at	TBC1 domain family, member 4	TBC1D4	2.36
213149_at	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	DLAT	2.36
213262_at	spastic ataxia of Charlevoix-Saguenay (sacsin)	SACS	2.36
219646_at	hypothetical protein FLJ20186	FLJ20186	2.36
207335_x_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit e	ATP5I	2.35
210662_at	kynureninase (L-kynurenine hydrolase)	KYNU	2.35
211799_x_at	major histocompatibility complex, class I, C	HLA-C	2.35
203544_s_at	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	STAM	2.34
204337_at	Homo sapiens cDNA FLJ38885 fis, clone MESAN2017417, moderately similar to REGULATOR OF G-PROTEIN SIGNALING 4.	Homo sapiens cDNA FLJ38885 fis, clone MESAN2017417, moderately similar to REGULATOR OF G-PROTEIN SIGNALING 4.	2.34
214642_x_at	melanoma antigen, family A, 5	MAGEA5	2.34
201436_at	eukaryotic translation initiation factor 4E	EIF4E	2.33
207325_x_at	melanoma antigen, family A, 1 (directs expression of antigen MZ2-E)	MAGEA1	2.33
218538_s_at	MRS2-like, magnesium homeostasis factor (S. cerevisiae)	MRS2L,	2.33
221808_at	RAB9A, member RAS oncogene family	RAB9A	2.32
202069_s_at	socitrate dehydrogenase 3 (NAD+) alpha	IDH3A,	2.31
217317_s_at	D15F37 (pseudogene)	MN7	2.31
201802_at	solute carrier family 29 (nucleoside transporters), member 1	SLC29A1	2.3
201872_s_at	ATP-binding cassette, sub-family E (OABP), member 1	ABCE1	2.3
206766_at	integrin, alpha 10	ITGA10	2.3
207980_s_at	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	CITED2	2.3
209177_at	DKFZP564J0123 protein	DKFZP564J0123	2.3
213984_at	KIAA0648 protein	KIAA0648	2.3
220014_at	mesenchymal stem cell protein DSC54	LOC51334	2.3
201435_s_at	eukaryotic translation initiation factor 4E	EIF4E	2.29
202406_s_at	TIA1 cytotoxic granule-associated RNA binding protein-like 1	TIAL1	2.29
207604_s_at	solute carrier family 4, sodium bicarbonate cotransporter, member 7	SLC4A7	2.29
219520_s_at	KIAA1280 protein	KIAA1280	2.29
201194_at	selenoprotein W, 1	SEPW1	2.28
221029_s_at	wingless-type MMTV integration site family, member 5B	WNT5B	2.28
202077_at	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa	NDUFAB1	2.27
203663_s_at	cytochrome c oxidase subunit Va	COX5A	2.27
213017_at	abhydrolase domain containing 3	ABHD3	2.27
221760_at	mannosidase, alpha, class 1A, member 1	MAN1A1	2.27
202043_s_at	spermine synthase	SMS	2.26
209096_at	ubiquitin-conjugating enzyme E2 variant 2	UBE2V2	2.26
212568_s_at	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	DLAT	2.26
213007_at	hypothetical protein FLJ10719	FLJ10719	2.26
217933_s_at	leucine aminopeptidase 3	LAP33	2.26
202396_at	transcription elongation regulator 1 (CA150)	TCERG1	2.25
202541_at	small inducible cytokine subfamily E, member 1 (endothelial monocyte-activating)	SCYE1	2.25
203259_s_at	CGI-130 protein	CGI-130	2.25
203960_s_at	HSPCO34 protein	LOC51668	2.25
207510_at	bradykinin receptor B1	BDKRB1	2.25
219654_at	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a	PTPLA	2.25
219742_at	hypothetical protein MGC10772	MGC10772	2.25
221540_x_at	general transcription factor IIH, polypeptide 2, 44kDa	GTF2H2	2.25
200980_s_at	pyruvate dehydrogenase (lipoamide) alpha 1	PDHA1	2.24
205191_at	retinitis pigmentosa 2 (X-linked recessive)	RP2	2.24
207922_s_at	macrophage erythroblast attacher	MAEA	2.24
208456_s_at	related RAS viral (r-ras) oncogene homolog 2	RRAS2	2.24
211376_s_at	hypothetical protein FLJ20003	FLJ20003i	2.24
201983_s_at	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	EGFR	2.23
203819_s_at	IGF-II mRNA-binding protein 3	KOC1	2.23
206117_at	tropomyosin 1 (alpha)	TPM1	2.23
218067_s_at	hypothetical protein FLJ10154	FLJ10154	2.23
219161_s_at	chemokine-like factor	CKLF	2.23
200923_at	lectin, galactoside-binding, soluble, 3 binding protein	LGALS3BP	2.22
203304_at	putative transmembrane protein	NMA	2.22
206055_s_at	small nuclear ribonucleoprotein polypeptide A	SNRPA1	2.22
209140_x_at	major histocompatibility complex, class I, B	HLA-B	2.22
210396_s_at	DC49 [Homo sapiens], mRNA sequence	DC49 [Homo sapiens], mRNA sequence	2.22
211812_s_at	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3	B3GALT3	2.22
216215_s_at	RNA binding motif protein 9	RBM9,	2.22
219933_at	glutaredoxin 2	GLRX2	2.22
200731_s_at	protein tyrosine phosphatase type IVA, member 1	PTP4A1	2.21
202289_s_at	transforming, acidic coiled-coil containing protein 2	TACC2	2.21
203570_at	lysyl oxidase-like 1	LOXL1	2.21
213346_at	hypothetical protein BC015148	LOC93081	2.21
216526_x_at	major histocompatibility complex, class I, C	HLA-C	2.21
201272_at	aldo-keto reductase family 1, member B1 (aldose reductase)	AKR1B1	2.2
203403_s_at	ring finger protein (C3H2C3 type) 6	RNF6	2.2
203746_s_at	holocytochrome c synthase (cytochrome c heme-lyase)	HCCS	2.2
210868_s_at	Long-chain fatty-acyl elongase	LCE	2.2
218793_s_at	sex comb on midleg-like 1 (Drosophila)	SCML	2.2
221012_s_at	tripartite motif-containing 8	TRIM8	2.2
39729_at	peroxiredoxin 2	PRDX2	2.2
202735_at	emopamil binding protein (sterol isomerase)	EBP	2.19
203242_s_at	LIM protein (similar to rat protein kinase C-binding enigma)	LIM	2.19
204162_at	highly expressed in cancer, rich in leucine heptad repeats	HEC	2.19
206953_s_at	latrophilin 1	LPHH1	2.19
207002_s_at	pleiomorphic adenoma gene-like 1	PLAGL1	2.19
219067_s_at	hypothetical protein FLJ20003	FLJ20003	2.19
201688_s_at	tumor protein D52	TPD52	2.18
208059_at	chemokine (C-C motif) receptor 8	CCR8	2.18
208814_at	Homo sapiens cDNA FLJ32453 fis, clone SKMUS2001703.	Homo sapiens cDNA FLJ32453 fis, clone SKMUS2001703.	2.18
212412_at	Homo sapiens mRNA; cDNA DKFZp564A072 (from clone DKFZp564A072)	Homo sapiens mRNA; cDNA DKFZp564A072 (from clone DKFZp564A072)	2.18
213220_at	programmed cell death 4 (neoplastic transformation inhibitor)	PDCD4	2.18
214011_s_at	hypothetical protein HSPC111	HSPC111	2.18
218736_s_at	palmdelphin	PALMD	2.18
219110_at	nucleolar protein family A, member 1 (H/ACA small nucleolar RNPs)	NOLA1	2.18
219778_at	zinc finger protein, multitype 2	ZFPM2	2.18
202437_s_at	cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1	2.17
202904_s_at	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)	LSM5	2.17
202941_at	NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa	NDUFV2	2.17
203820_s_at	IGF-II mRNA-binding protein 3	KOC1	2.17
209123_at	quinoid dihydropteridine reductase	QDPR	2.17
212036_s_at	pinin, desmosome associated protein	PNN	2.17
213979_s_at	C-terminal binding protein 1	CTBP1	2.17
215136_s_at	Opa-interacting protein 2	OIP2	2.17
218392_x_at	sideroflexin 1	SFXN1	2.17
221058_s_at	chemokine-like factor	CKLF	2.17
201201_at	cystatin B (stefin B)	CSTB	2.16
201873_s_at	ATP-binding cassette, sub-family E (OABP), member 1	ABCE1	2.16
206769_at	thymosin, beta 4, Y chromosome	TMSB4Y	2.16
211015_s_at	heat shock 70kDa protein 4	HSPA4	2.16
212535_at	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	MEF2A	2.16
218424_s_at	dudulin 2	TSAP6	2.16
204521_at	protein predicted by clone 23733	HSU79274	2.15
204956_at	methylthioadenosine phosphorylase	MTAP	2.15
205006_s_at	N-myristoyltransferase 2	NMT2	2.15
205034_at	cyclin E2	CCNE2	2.15
205130_at	renal tumor antigen	RAGE	2.15
205543_at	heat shock protein (hsp110 family)	APG-1	2.15
206508_at	tumor necrosis factor (ligand) superfamily, member 7	TNFSF7	2.15
207603_at	solute carrier family 4, sodium bicarbonate cotransporter, member 7	SLC4A7	2.15
209655_s_at	brain cell membrane protein 1	BCMP1	2.15
210766_s_at	CSE1 chromosome segregation 1-like (yeast)	CSE1L	2.15
202288_at	FK506 binding protein 12-rapamycin associated protein 1	FRAP1	2.14
203636_at	midline 1 (Opitz/BBB syndrome)	MID1	2.14
203745_at	holocytochrome c synthase (cytochrome c heme-lyase)	HCCS	2.14
207541_s_at	polymyositis/scleroderma autoantigen 2, 100kDa	PMSCL2	2.14
208744_x_at	heat shock 105kDa/110kDa protein 1	HSPH1	2.14
208860_s_at	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	ATRX	2.14
210346_s_at	CLK4 [Homo sapiens], mRNA sequence	CLK4 [Homo sapiens], mRNA sequence	2.14
213848_at	Homo sapiens mRNA; cDNA DKFZp586F2224 (from clone DKFZp586F2224)	Homo sapiens mRNA; cDNA DKFZp586F2224 (from clone DKFZp586F2224)	2.14
214581_x_at	tumor necrosis factor receptor superfamily, member 21	TNFRSF21	2.14
215716_s_at	ATPase, Ca++ transporting, plasma membrane 1	ATP2B1	2.14
219275_at	programmed cell death 5	PDCD5	2.14
222163_s_at	hypothetical protein MGC5347	MGC5347	2.14
201607_at	nuclear phosphoprotein similar to S. cerevisiae PWP1	PWP1	2.13
204897_at	prostaglandin E receptor 4 (subtype EP4)	PTGER4	2.13
207181_s_at	caspase 7, apoptosis-related cysteine protease	CASP7	2.13
216977_x_at	small nuclear ribonucleoprotein polypeptide A	SNRPA1	2.13
218136_s_at	mitochondrial solute carrier protein	MSCP	2.13
201005_at	CD9 antigen (p24)	CD9	2.12
211658_at	peroxiredoxin 2	PRDX2	2.12
211724_x_at	hypothetical protein FLJ20323	FLJ20323	2.12
212177_at	ESTs, Moderately similar to  SR rich protein [Homo sapiens] [H.sapiens]	ESTs, Moderately similar to  SR rich protein [Homo sapiens] [H.sapiens]	2.12
214214_s_at	complement component 1, q subcomponent binding protein	C1QBP	2.12
214480_at	ets variant gene 3	ETV3	2.12
218147_s_at	glycosyltransferase AD-017	AD-017	2.12
203243_s_at	LIM protein (similar to rat protein kinase C-binding enigma)	LIM,	2.11
203438_at	stanniocalcin 2	STC2	2.11
204015_s_at	dual specificity phosphatase 4	DUSP4	2.11
204301_at	KIAA0711 gene product	KIAA0711	2.11
206052_s_at	stem-loop (histone) binding protein	SLBP	2.11
209432_s_at	cAMP responsive element binding protein 3 (luman)	CREB3	2.11
209536_s_at	EH-domain containing 4	EHD4	2.11
217979_at	transmembrane 4 superfamily member tetraspan NET-6	NET-6	2.11
200690_at	heat shock 70kDa protein 9B (mortalin-2)	HSPA9B	2.1
201489_at	peptidylprolyl isomerase F (cyclophilin F)	PPIF	2.1
202836_s_at	similar to S. pombe dim1+	DIM1	2.1
203032_s_at	fumarate hydratase	FH	2.1
203439_s_at	stanniocalcin 2	STC2	2.1
204115_at	guanine nucleotide binding protein (G protein), gamma 11	GNG11	2.1
211814_s_at	cyclin E2	CCNE2	2.1
217956_s_at	E-1 enzyme	MASA	2.1
218680_x_at	Huntingtin interacting protein K	HYPK	2.1
201437_s_at	eukaryotic translation initiation factor 4E	EIF4E	2.09
202070_s_at	isocitrate dehydrogenase 3 (NAD+) alpha	IDH3A	2.09
203023_at	hypothetical protein HSPC111	HSPC111	2.09
203065_s_at	caveolin 1, caveolae protein, 22kDa	CAV1	2.09
207304_at	zinc finger protein 45 (a Kruppel-associated box (KRAB) domain polypeptide)	ZNF45	2.09
208798_x_at	golgin-67	GOLGIN-67	2.09
212985_at	Homo sapiens mRNA; cDNA DKFZp434E033 (from clone DKFZp434E033)	Homo sapiens mRNA; cDNA DKFZp434E033 (from clone DKFZp434E033)	2.09
214954_at	KIAA0527, 214954_at, KIAA0527 protein	KIAA0527	2.09
216804_s_at	Homo sapiens cDNA: FLJ23564 fis, clone LNG10773.	Homo sapiens cDNA: FLJ23564 fis, clone LNG10773.	2.09
218094_s_at	chromosome 20 open reading frame 35	C20orf35	2.09
218698_at	likely ortholog of mouse monocyte macrophage 19	MMRP19	2.09
220083_x_at	ubiquitin carboxyl-terminal hydrolase L5	UCHL5	2.09
221007_s_at	FIP1 like 1 (S. cerevisiae)	FIP1L1	2.09
221586_s_at	E2F transcription factor 5, p130-binding	E2F5	2.09
53991_at	KIAA1277 protein	KIAA1277	2.09
201490_s_at	peptidylprolyl isomerase F (cyclophilin F)	PPIF	2.08
202678_at	general transcription factor IIA, 2, 12kDa	GTF2A2	2.08
202797_at	SAC1 suppressor of actin mutations 1-like (yeast)	SACM1L	2.08
205087_at	DKFZP566K023 protein	DKFZP566K023	2.08
210621_s_at	RAS p21 protein activator (GTPase activating protein) 1	RASA1	2.08
211996_s_at	Homo sapiens, clone MGC:9515 IMAGE:3903371, mRNA, complete cds	Homo sapiens, clone MGC:9515 IMAGE:3903371, mRNA, complete cds	2.08
217850_at	nucleostemin	NS	2.08
218503_at	hypothetical protein FLJ20375	FLJ203755	2.08
219032_x_at	opsin 3 (encephalopsin, panopsin)	OPN3	2.08
219363_s_at	CGI-12 protein	CGI-12	2.08
220117_at	hypothetical protein FLJ22419	FLJ22419	2.08
221620_s_at	hypothetical protein MGC4825	MGC4825	2.08
204268_at	S100 calcium binding protein A2	S100A2	2.07
205122_at	transmembrane protein with EGF-like and two follistatin-like domains 1	TMEFF1	2.07
206382_s_at	brain-derived neurotrophic factor	BDNF	2.07
208728_s_at	cell division cycle 42 (GTP binding protein, 25kDa)	CDC42	2.07
219158_s_at	transcriptional coactivator tubedown-100	TBDN100	2.07
200692_s_at	heat shock 70kDa protein 9B (mortalin-2)	HSPA9B	2.06
200799_at	heat shock 70kDa protein 1A	HSPA1A	2.06
201690_s_at	tumor protein D52	TPD52	2.06
202581_at	heat shock 70kDa protein 1B	HSPA1B	2.06
203230_at	dishevelled, dsh homolog 1 (Drosophila)	DVL1	2.06
203362_s_at	MAD2 mitotic arrest deficient-like 1 (yeast)	MAD2L1	2.06
203896_s_at	phospholipase C, beta 4	PLCB4	2.06
209259_s_at	chondroitin sulfate proteoglycan 6 (bamacan)	CSPG6	2.06
209318_x_at	pleiomorphic adenoma gene-like 1	PLAGL1	2.06
209330_s_at	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	HNRPD	2.06
218602_s_at	hypothetical protein FLJ20060	FLJ20060	2.06
218982_s_at	mitochondrial ribosomal protein S17	MRPS17	2.06
219174_at	capillary morphogenesis protein 1	CMG1	2.06
221641_s_at	likely ortholog of mouse acyl-Coenzyme A thioesterase 2, mitochondrial	ACATE2	2.06
221742_at	Homo sapiens cDNA FLJ32454 fis, clone SKNMC1000007.	Homo sapiens cDNA FLJ32454 fis, clone SKNMC1000007.	2.06
200612_s_at	adaptor-related protein complex 2, beta 1 subunit	AP2B1	2.05
201634_s_at	cytochrome b5 outer mitochondrial membrane precursor	CYB5-M	2.05
201795_at	lamin B receptor	LBR	2.05
205266_at	leukemia inhibitory factor (cholinergic differentiation factor)	LIF	2.05
208378_x_at	fibroblast growth factor 5	FGF5	2.05
209080_x_at	thioredoxin-like 2	TXNL2	2.05
210574_s_at	nuclear distribution gene C homolog (A. nidulans)	NUDC	2.05
214430_at	galactosidase, alpha	GLA	2.05
218438_s_at	endothelial-derived gene 1	EG1	2.05
201516_at	spermidine synthase	SRM	2.04
202930_s_at	succinate-CoA ligase, ADP-forming, beta subunit	SUCLA2	2.04
203856_at	vaccinia related kinase 1	VRK1	2.04
204695_at	cell division cycle 25A	CDC25A	2.04
215223_s_at	superoxide dismutase 2, mitochondrial	SOD2	2.04
220741_s_at	norganic pyrophosphatase 2	SID6-306	2.04
202303_x_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	SMARCA5	2.03
202613_at	CTP synthase	CTPS	2.03
203852_s_at	survival of motor neuron 1, telomeric	SMN1	2.03
208079_s_at	serine/threonine kinase 6	STK6	2.03
210310_s_at	fibroblast growth factor 5	FGF5	2.03
211382_s_at	transforming, acidic coiled-coil containing protein 2	TACC2	2.03
212330_at	transcription factor Dp-1	TFDP1	2.03
217499_x_at	Homo sapiens, similar to olfactory receptor MOR145-2, clone IMAGE:5313643, mRNA	Homo sapiens, similar to olfactory receptor MOR145-2, clone IMAGE:5313643, mRNA	2.03
218196_at	HSPC019 protein	HSPC019	2.03
218646_at	hypothetical protein FLJ20534	FLJ20534	2.03
219148_at	T-LAK cell-originated protein kinase	TOPK	2.03
219982_s_at	small EDRK-rich factor 1A (telomeric)	SERF1A	2.03
221264_s_at	hypothetical protein AF311304	AF311304	2.03
221637_s_at	hypothetical protein MGC2477	MGC247	2.03
202200_s_at	SFRS protein kinase 1	SRPK1	2.02
202218_s_at	fatty acid desaturase 2	FADS2	2.02
207168_s_at	H2A histone family, member Y	H2AFY	2.02
