Pair Rank	Probe Set	Gene Symbol	Gene Title
21, 27	211881_x_at	IGLJ3	immunoglobulin lambda joining 3
22	202602_s_at	HTATSF1	HIV-1 Tat specific factor 1
22	218143_s_at	SCAMP2	secretory carrier membrane protein 2
23	212911_at	DNAJC16	DnaJ (Hsp40) homolog, subfamily C, member 16
23	204817_at	ESPL1	extra spindle poles like 1 (S. cerevisiae)
24	215783_s_at	ALPL	alkaline phosphatase, liver/bone/kidney
25, 38, 39, 44, 52, 71	204825_at	MELK	maternal embryonic leucine zipper kinase
25	213689_x_at	RPL5	Ribosomal protein L5
26	206545_at	CD28	CD28 molecule
27	206364_at	KIF14	kinesin family member 14
28, 60, 61	208079_s_at	AURKA	aurora kinase A
28	214955_at	TMPRSS6	transmembrane protease, serine 6
29	210966_x_at	LARP1	La ribonucleoprotein domain family, member 1
29	218830_at	RPL26L1	ribosomal protein L26-like 1
30	204498_s_at	ADCY9	adenylate cyclase 9
31	206211_at	SELE	selectin E (endothelial adhesion molecule 1)
32, 34, 69	201890_at	RRM2	ribonucleotide reductase M2 polypeptide
32	219298_at	ECHDC3	enoyl Coenzyme A hydratase domain containing 3
33	204847_at	ZBTB11	zinc finger and BTB domain containing 11
35, 62	203214_x_at	CDC2	cell division cycle 2, G1 to S and G2 to M
36	204605_at	CGRRF1	cell growth regulator with ring finger domain 1
36	211251_x_at	NFYC	nuclear transcription factor Y, gamma
37, 65	213008_at	KIAA1794	KIAA1794
37, 73	210042_s_at	CTSZ	cathepsin Z
38	203595_s_at	IFIT5	interferon-induced protein with tetratricopeptide repeats 5
40	221529_s_at	PLVAP	plasmalemma vesicle associated protein
40	202114_at	SNX2	sorting nexin 2
41	211779_x_at	AP2A2	adaptor-related protein complex 2, alpha 2 subunit
41, 63	202324_s_at	ACBD3	acyl-Coenzyme A binding domain containing 3
42, 57	201821_s_at	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)
42	201551_s_at	LAMP1	lysosomal-associated membrane protein 1
43	48808_at	DHFR	dihydrofolate reductase
44	211643_x_at	LOC651961	Myosin-reactive immunoglobulin light chain variable region
45	210396_s_at	LOC440354	PI-3-kinase-related kinase SMG-1 pseudogene
45	201070_x_at	SF3B1	splicing factor 3b, subunit 1, 155kDa
46	207391_s_at	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase, type I, alpha
47	200800_s_at	HSPA1A	heat shock 70 kDa protein 1A
47	201009_s_at	TXNIP	thioredoxin interacting protein
48	203530_s_at	STX4	syntaxin 4
48, 50	218085_at	CHMP5	chromatin modifying protein 5
49, 68, 70	219555_s_at	C16orf60	chromosome 16 open reading frame 60
49	210419_at	BARX2	BarH-like homeobox 2
50	214119_s_at	FKBP1A	FK506 binding protein 1A, 12 kDa
51, 58	203362_s_at	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)
52	218910_at	TMEM16K	transmembrane protein 16K
53	208838_at	KIAA0829	KIAA0829 protein
53	212081_x_at	BAT2	HLA-B associated transcript 2
54	202115_s_at	NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)
55	209714_s_at	CDKN3	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
56	205701_at	IPO8	importin 8
56	205063_at	SIP1	survival of motor neuron protein interacting protein 1
57	200918_s_at	SRPR	signal recognition particle receptor (docking protein)
58	212527_at	D15Wsu75e	DNA segment, Chr 15, Wayne State University 75, expressed
59	204244_s_at	DBF4	DBF4 homolog (S. cerevisiae)
60	214508_x_at	CREM	cAMP responsive element modulator
63	200787_s_at	PEA15	phosphoprotein enriched in astrocytes 15
64	203764_at	DLG7	discs, large homolog 7 (Drosophila)
64	205877_s_at	ZC3H7B	zinc finger CCCH-type containing 7B
66	200848_at	AHCYL1	S-adenosylhomocysteine hydrolase-like 1
66	201091_s_at	CBX3	chromobox homolog 3 (HP1 gamma homolog, Drosophila)
67	64064_at	GIMAP5	GTPase, IMAP family member 5
68	211649_x_at	IGHG1	Immunoglobulin heavy constant gamma 1 (G1m marker)
69	204398_s_at	EML2	echinoderm microtubule associated protein like 2
70	220433_at	PRRG3	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)
71	219169_s_at	TFB1M	transcription factor B1, mitochondrial
72	34689_at	TREX1	three prime repair exonuclease 1
74	212604_at	MRPS31	mitochondrial ribosomal protein S31
75	213907_at	EEF1E1	Eukaryotic translation elongation factor 1 epsilon 1
75	209622_at	STK16	serine/threonine kinase 16
76	209716_at	CSF1	colony stimulating factor 1 (macrophage)
76	219575_s_at	PDF	peptide deformylase (mitochondrial)
77	219328_at	DDX31	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31
77	213121_at	SNRP70	small nuclear ribonucleoprotein 70 kDa polypeptide (RNP antigen)
78	218870_at	ARHGAP15	Rho GTPase activating protein 15
78	219105_x_at	ORC6L	origin recognition complex, subunit 6 like (yeast)
79	216510_x_at	IGHA1	immunoglobulin heavy constant alpha 1
79	215207_x_at	YDD19	YDD19 protein
80	219918_s_at	ASPM	asp (abnormal spindle)-like, microcephaly associated (Drosophila)
