Gene	Kurtosis	Clusters	pval
ATP1B1	-0.46	2	1
NFKBIA	-0.46	2	0.7733
PIB5PA	-0.46	2	0.2668
THBS2	-0.46	2	0.3369
CDK2	-0.45	2	0.4911
ARMCX2	-0.45	2	0.7036
GMNN	-0.45	1	NA
RPS2	-0.45	2	0.6512
RPL22	-0.45	2	0.5521
PIP	-0.45	2	0.541
PROM1	-0.45	2	0.4499
GP1BB	-0.45	2	1
PDCD8	-0.45	2	0.7644
RPS17	-0.45	2	0.6516
SDCCAG1	-0.44	2	0.4889
SFRS8	-0.44	2	1
RARRES1	-0.43	2	0.0313
PRKCI	-0.43	2	0.7975
NHP2L1	-0.43	2	0.3411
RRS1	-0.43	2	0.5505
RPS15	-0.42	2	0.4042
HDAC2	-0.42	2	0.2936
SIAHBP1	-0.42	2	0.6294
DGCR6	-0.42	2	1
PYCARD	-0.42	2	0.2405
GPRC5C	-0.42	2	0.1641
RNF103	-0.41	2	0.4472
SCAP1	-0.41	2	0.1518
LOC51760	-0.41	2	0.1786
KIAA1598	-0.41	2	1
ACTG2	-0.41	2	0.6523
EBP	-0.41	2	0.0274
GALNT10	-0.41	1	NA
NFE2L3	-0.41	1	NA
IGBP1	-0.41	2	0.6189
HNRPH1	-0.4	1	NA
FLJ10326	-0.4	2	0.2225
ZNF302	-0.4	2	0.6454
COX6A1	-0.4	2	0.5693
WBP5	-0.4	2	0.4462
SPP1	-0.4	2	0.0334
GLB1	-0.4	1	NA
VAV3	-0.4	1	NA
CSRP2	-0.4	2	0.359
FADS2	-0.4	2	0.8519
GSN	-0.4	2	0.1701
IRX4	-0.4	2	0.4318
PRKR	-0.4	2	0.5445
STAT1	-0.39	1	NA
ZFR	-0.39	2	0.137
CLCA2	-0.39	2	1
RFC4	-0.39	2	0.8806
ZNHIT1	-0.39	2	0.0144
S100A7	-0.39	2	0.8722
DPP3	-0.39	2	1
ASF1A	-0.39	1	NA
KIFC1	-0.39	2	0.2596
IGLL1	-0.39	2	0.0698
HLA-DRB5	-0.39	1	NA
GPX4	-0.39	2	1
EPLIN	-0.39	2	0.4545
SERPINA3	-0.39	2	0.4522
ADAM12	-0.39	1	NA
FGF13	-0.38	2	0.7599
DNALI1	-0.38	2	1
DNCLI2	-0.38	1	NA
OLFM1	-0.38	2	0.8683
ARPC1B	-0.38	2	0.1307
TPI1	-0.38	2	0.0223
HSBP1	-0.38	2	0.8373
KRT23	-0.37	1	NA
GSTP1	-0.37	2	0.178
RPA3	-0.37	2	0.3542
SFRP1	-0.37	2	0.8808
GZMB	-0.37	2	0.021
TXNL4B	-0.37	2	0.3207
PREB	-0.37	1	NA
TUBB4	-0.37	2	0.1903
RANBP2	-0.37	2	0.7975
KIAA0251	-0.37	2	0.6536
ORMDL2	-0.37	2	0.2903
PSMD1	-0.37	2	0.5029
RTCD1	-0.36	2	0.5887
ADK	-0.36	2	0.1658
HLA-DPA1	-0.36	1	NA
STMN1	-0.36	2	0.0679
DDX42	-0.36	2	0.7619
KLF2	-0.36	2	0.8782
NCBP2	-0.36	2	1
SMS	-0.36	1	NA
SPARC	-0.36	2	0.4449
DGCR2	-0.36	2	0.2952
PSMB10	-0.35	2	0.7573
PAK1IP1	-0.35	2	0.7643
HLA-B	-0.35	2	0.2489
RNPS1	-0.35	2	1
PMM2	-0.35	2	1
GOLGB1	-0.35	1	NA
SNRPF	-0.35	2	0.8806
CD2	-0.35	1	NA
ENPP1	-0.35	2	0.643
HMOX2	-0.34	2	0.6652
BF	-0.34	2	0.8478
GNA11	-0.34	2	0.0527
CYC1	-0.34	2	0.7822
IFITM1	-0.34	1	NA
MPHOSPH6	-0.34	2	0.3609
CTDSPL	-0.34	2	0.4397
NUDT1	-0.34	1	NA
FLJ22390	-0.34	1	NA
NP	-0.34	1	NA
NID2	-0.33	2	0.421
RPL4	-0.33	2	1
CTSC	-0.33	2	0.0803
ABLIM3	-0.33	2	1
ARNT2	-0.33	2	0.8806
APOL3	-0.33	2	0.0759
KLHDC2	-0.33	2	0.1089
UBE1C	-0.33	2	1
TM4SF13	-0.33	1	NA
STRN4	-0.33	1	NA
NDN	-0.33	2	0.229
BM039	-0.33	2	0.1409
LGALS3	-0.33	2	0.3059
EEF1D	-0.33	2	0.4544
PRKACA	-0.33	2	1
RPL36	-0.33	2	1
TPM4	-0.33	1	NA
GGH	-0.33	2	0.3681
PDLIM3	-0.32	2	1
IL10RA	-0.32	2	0.1788
FRG1	-0.32	1	NA
GLI3	-0.32	2	0.7322
SOD3	-0.32	2	0.6486
MYO5C	-0.32	2	1
AP3S1	-0.32	1	NA
MYB	-0.32	2	0.4066
ABL1	-0.32	2	0.6486
LRP10	-0.32	2	1
DAAM1	-0.32	2	0.7307
PDCD10	-0.32	1	NA
ZRF1	-0.32	1	NA
GSR	-0.32	2	0.6652
DHFR	-0.32	2	0.8802
ATP5D	-0.32	1	NA
AIF1	-0.32	2	0.8325
PTPRC	-0.32	2	0.0769
HSPA5BP1	-0.31	2	0.7395
COPB2	-0.31	2	0.2609
NDUFA1	-0.31	2	0.8251
LOC51035	-0.31	1	NA
CD69	-0.31	1	NA
TBCE	-0.31	2	0.2911
AGTPBP1	-0.31	1	NA
TERF1	-0.31	2	0.2881
DKC1	-0.31	2	0.6591
FOXD1	-0.31	1	NA
TM4SF1	-0.31	1	NA
IF	-0.31	2	0.5171
C1QA	-0.31	2	0.0275
HCFC1R1	-0.3	2	0.0625
BLVRA	-0.3	2	0.6044
LOC400451	-0.3	2	0.7633
MMP11	-0.3	2	0.6294
POLR2L	-0.3	1	NA
CBR3	-0.3	1	NA
CALD1	-0.3	2	0.5251
SURF2	-0.3	2	0.0096
COX5B	-0.3	1	NA
PDE6B	-0.3	2	0.5753
DDX39	-0.3	2	0.8801
PDGFRL	-0.3	1	NA
USP7	-0.3	2	0.749
S100P	-0.3	2	0.6365
FXR1	-0.29	1	NA
LRRN5	-0.29	2	0.1133
SSR4	-0.29	1	NA
NUDT11	-0.29	2	1
D2S448	-0.29	2	0.6677
TNFRSF17	-0.29	2	0.016
PPAP2B	-0.29	1	NA
FLJ10156	-0.29	2	0.2892
CEBPD	-0.29	2	0.8757
SASH1	-0.28	2	0.8747
CXCL13	-0.28	1	NA
UROD	-0.28	2	0.7852
ZNF593	-0.28	1	NA
PSCD1	-0.28	2	0.5229
FZD7	-0.28	2	0.2409
INHBB	-0.28	1	NA
NDUFS5	-0.28	2	0.0462
DNMT3B	-0.28	2	0.7538
RBMX2	-0.27	2	0.8639
APLP2	-0.27	2	0.8757
NQO1	-0.27	2	0.2871
CGI-12	-0.27	1	NA
IFIT1	-0.27	1	NA
PCNA	-0.27	2	0.6476
FBXO28	-0.27	2	0.1758
PLS3	-0.27	2	0.2211
ARPC3	-0.27	2	0.314
SLC9A3R1	-0.27	1	NA
MCM2	-0.27	1	NA
CTSH	-0.27	2	0.0769
NET1	-0.27	1	NA
GUK1	-0.27	2	0.6446
KIAA1036	-0.27	1	NA
AARS	-0.27	1	NA
NFIA	-0.27	1	NA
NNMT	-0.26	2	1
PPP1R1A	-0.26	2	0.1758
NANS	-0.26	2	0.5478
KRTHB1	-0.26	2	0.881
FLJ12806	-0.26	2	0.3043
MRPL33	-0.26	2	0.1642
CD3G	-0.26	2	0.1236
STARD7	-0.26	1	NA
TRAP1	-0.26	2	1
KCNN4	-0.26	2	0.3664
CD164	-0.26	2	0.4098
PSMD4	-0.26	2	0.8037
MT2A	-0.26	1	NA
DHX9	-0.26	2	0.4151
CKS2	-0.26	2	1
DHX29	-0.25	2	0.4897
DAP3	-0.25	2	0.4512
ADAMTS2	-0.25	1	NA
UQCRC2	-0.25	1	NA
CST3	-0.25	2	0.6346
PTMA	-0.25	1	NA
WDR1	-0.25	2	0.7608
AKR1A1	-0.25	1	NA
SERPINB5	-0.25	1	NA
TOM1L2	-0.25	1	NA
CCL4	-0.25	2	0.3116
MTCBP-1	-0.25	2	0.3654
MEA	-0.25	2	0.7733
NUCB2	-0.25	2	0.4502
HLA-A	-0.25	2	0.6113
TFG	-0.25	1	NA
TUBB	-0.24	2	0.8472
RGS2	-0.24	2	0.3609
LYN	-0.24	1	NA
IFNGR1	-0.24	1	NA
LGALS1	-0.24	2	0.636
GLRB	-0.24	1	NA
CKMT1	-0.24	2	0.367
TUSC3	-0.24	2	0.0825
SEPHS1	-0.24	2	0.6113
IGFBP2	-0.24	2	0.1473
LARS2	-0.24	2	1
BAZ1A	-0.24	2	0.6131
ACTG1	-0.24	1	NA
CKLF	-0.23	1	NA
FLJ20035	-0.23	2	0.2749
YAP	-0.23	1	NA
HNRPAB	-0.23	2	0.2211
KIAA1012	-0.23	1	NA
HIST2H2AA	-0.23	1	NA
MMRP19	-0.23	2	0.6971
SCRIB	-0.23	2	0.157
RUNX3	-0.23	2	0.2899
PFDN2	-0.23	2	0.1172
STXBP3	-0.23	1	NA
YWHAZ	-0.23	2	0.2092
CHAF1A	-0.23	1	NA
APEX1	-0.23	1	NA
KIAA0672	-0.23	1	NA
FER1L3	-0.23	1	NA
IVNS1ABP	-0.23	2	0.4779
SEC61A1	-0.22	2	0.2986
COPG2	-0.22	1	NA
HDGF	-0.22	1	NA
REPIN1	-0.22	2	0.1741
SRP9	-0.22	1	NA
LILRB2	-0.22	1	NA
UQCRB	-0.22	1	NA
NMI	-0.22	1	NA
WDR41	-0.22	2	0.5444
PRPF31	-0.22	1	NA
MGLL	-0.22	1	NA
PHF3	-0.22	1	NA
PLAU	-0.22	2	1
FLJ10300	-0.22	2	0.5638
RPS3	-0.22	2	0.843
BZW2	-0.21	2	0.5135
MVP	-0.21	2	0.2074
HMGN1	-0.21	1	NA
POLR3E	-0.21	2	0.7635
UBE2V2	-0.21	1	NA
LOC58486	-0.21	2	0.643
BACH	-0.21	2	0.7644
TIMM9	-0.21	1	NA
HLA-DRB1	-0.21	1	NA
NDUFV1	-0.21	2	0.0935
CGI-116	-0.21	1	NA
AP2A2	-0.21	1	NA
HSPC176	-0.21	1	NA
GATA3	-0.21	2	0.5538
GMPR2	-0.21	2	0.6131
PAICS	-0.21	2	0.1039
ZNF146	-0.21	1	NA
RNASEH2A	-0.21	1	NA
SDC1	-0.21	2	1
TCF7L2	-0.21	2	0.3186
UBE2L6	-0.21	2	0.2921
SCFD1	-0.2	2	0.7527
DUSP1	-0.2	1	NA
SNRPE	-0.2	2	0.4502
GPR171	-0.2	1	NA
RNASET2	-0.2	2	0.5068
CNN2	-0.2	2	0.8577
XRCC5	-0.2	1	NA
MLSTD1	-0.2	1	NA
NASP	-0.2	2	1
SSB	-0.2	2	0.2911
CTNNBIP1	-0.2	1	NA
PTPLB	-0.19	2	0.024
EDG2	-0.19	1	NA
DDIT4	-0.19	2	0.0237
CDC25B	-0.19	1	NA
SMYD2	-0.19	1	NA
HYPK	-0.19	1	NA
SSRP1	-0.19	1	NA
MCP	-0.19	2	0.0977
ICA1	-0.19	1	NA
LIMS2	-0.19	1	NA
EIF5B	-0.19	1	NA
GAPD	-0.19	1	NA
ADAMDEC1	-0.19	1	NA
ECHDC1	-0.19	2	0.6365
LCP1	-0.19	2	0.65
LIMK1	-0.19	2	0.4544
FHOD1	-0.19	2	0.1874
SLCO2A1	-0.19	1	NA
RPL35A	-0.19	1	NA
SYNCRIP	-0.19	2	0.4889
CALM1	-0.19	2	1
PLA2G4A	-0.19	2	0.1874
EIF4G1	-0.18	1	NA
EIF2B2	-0.18	2	0.8766
GSTM3	-0.18	2	0.6537
POLR2F	-0.18	2	0.0534
CSTF3	-0.18	2	0.0072
ALDH9A1	-0.18	1	NA
HIST1H2BJ	-0.18	2	0.6838
NRIP1	-0.18	1	NA
MRPS27	-0.18	2	1
KRT5	-0.18	2	0.4512
NAV1	-0.18	2	1
NDUFA5	-0.18	1	NA
CALM3	-0.18	1	NA
COL5A1	-0.18	2	0.8183
CDK2AP1	-0.18	2	1
DKFZP564B167	-0.18	2	0.356
ALOX5	-0.17	1	NA
ACTA2	-0.17	2	0.156
COPB	-0.17	1	NA
FLJ10597	-0.17	1	NA
PLEK	-0.17	2	0.0094
PSME2	-0.17	1	NA
SNRPC	-0.17	2	0.3423
GFOD1	-0.17	2	0.8234
FLJ10579	-0.17	2	0.6446
FLJ20195	-0.17	1	NA
ZHX3	-0.17	1	NA
EN1	-0.17	2	1
CYB561D2	-0.17	1	NA
OPRS1	-0.17	2	0.0896
WSB2	-0.17	1	NA
RAB35	-0.17	2	0.3537
SH3YL1	-0.16	1	NA
LDHB	-0.16	2	0.8748
COMMD8	-0.16	2	0.8766
COL5A2	-0.16	1	NA
ICMT	-0.16	2	0.4885
MGC26885	-0.16	2	1
HNRPU	-0.16	2	0.8734
RBM30	-0.16	2	0.3858
TCEB1	-0.16	2	0.2757
GMPS	-0.16	2	0.3703
PLOD	-0.16	1	NA
NARS	-0.16	1	NA
TRIF	-0.16	1	NA
PPYR1	-0.16	1	NA
EPAS1	-0.16	1	NA
PTK6	-0.16	2	1
SEMA3C	-0.16	2	0.1261
SLCO3A1	-0.16	1	NA
AHCY	-0.16	1	NA
UBP1	-0.16	2	0.7822
MRPS17	-0.16	2	0.084
RGS5	-0.16	1	NA
ARF4L	-0.16	2	0.8629
PHIP	-0.15	2	1
PTPRM	-0.15	1	NA
RNF11	-0.15	2	0.7375
FLJ20366	-0.15	1	NA
CKS1B	-0.15	2	1
QP-C	-0.15	2	0.4461
VPS28	-0.15	1	NA
ODF2	-0.15	2	0.3464
LACTB2	-0.15	2	0.5122
P2RY2	-0.15	2	0.2861
PLSCR1	-0.15	2	0.4032
NDRG1	-0.15	2	0.0645
AXL	-0.15	2	0.4553
FBXO21	-0.15	1	NA
TNFRSF14	-0.15	2	0.5136
LAMB3	-0.15	1	NA
SNRPD3	-0.15	2	0.42
MID1IP1	-0.15	1	NA
PET112L	-0.15	2	0.5251
UBE2S	-0.15	2	0.6903
TXN	-0.14	2	1
BZW1	-0.14	1	NA
RAD51	-0.14	1	NA
ALDH4A1	-0.14	2	0.7852
AFTIPHILIN	-0.14	1	NA
MAOB	-0.14	2	0.7638
SLC35D1	-0.14	1	NA
SIAT4C	-0.14	2	0.6483
FHL2	-0.14	2	0.3015
RGS20	-0.14	1	NA
IL1RAP	-0.14	1	NA
RFXANK	-0.14	1	NA
SLC16A3	-0.14	1	NA
TOMM20	-0.14	2	1
NME4	-0.14	2	1
KRT17	-0.14	2	0.1463
HGS	-0.14	2	0.3646
TFF3	-0.14	2	0.3661
ACTB	-0.14	1	NA
HBXIP	-0.14	2	0.6677
DAP	-0.14	1	NA
HSPCB	-0.14	1	NA
MRPS31	-0.14	1	NA
PSPH	-0.14	1	NA
PR48	-0.14	2	0.857
H3F3A	-0.14	1	NA
MMP7	-0.14	2	0.6276
GSS	-0.13	1	NA
BNIP3L	-0.13	2	0.3684
GTF2H2	-0.13	2	1
HIPK1	-0.13	1	NA
VPS13A	-0.13	2	0.6455
RPS29	-0.13	1	NA
ACVR1	-0.13	2	1
SEPW1	-0.13	2	0.625
DOCK1	-0.13	2	0.2749
PACAP	-0.13	1	NA
ZNF198	-0.13	2	0.0274
XCL2	-0.13	2	0.0179
CRY2	-0.13	2	1
MBD4	-0.13	1	NA
HK1	-0.13	1	NA
SEPHS2	-0.13	2	0.6677
IMPACT	-0.13	2	0.4025
PIP5K2A	-0.13	2	0.6971
CDC23	-0.13	2	0.4032
RGS1	-0.13	1	NA
CRAT	-0.12	2	0.2637
ZNF207	-0.12	2	0.7585
FCGBP	-0.12	2	0.8789
SC5DL	-0.12	2	0.2881
KYNU	-0.12	2	0.3269
GAMT	-0.12	2	1
ADAM8	-0.12	1	NA
PLK2	-0.12	1	NA
EXOSC4	-0.12	2	0.4046
LY9	-0.12	2	0.024
PSMB1	-0.12	2	0.4411
MAEA	-0.12	2	1
JUNB	-0.12	2	0.6071
HSF1	-0.12	2	0.8789
TCFL5	-0.12	1	NA
ILF2	-0.12	1	NA
DEFB1	-0.12	2	0.2276
NDUFB8	-0.12	2	0.6301
TM4SF15	-0.12	1	NA
COL6A1	-0.12	1	NA
KNTC2	-0.12	1	NA
NME1	-0.11	2	0.362
PLAC8	-0.11	2	0.6528
CDH11	-0.11	1	NA
DDB1	-0.11	1	NA
CIB2	-0.11	1	NA
ANK3	-0.11	1	NA
ZDHHC7	-0.11	2	0.4463
COL3A1	-0.11	2	0.6903
NR3C1	-0.11	1	NA
ITPR3	-0.11	1	NA
FLJ11196	-0.11	2	0.137
PRKX	-0.11	1	NA
ING4	-0.11	1	NA
TBX2	-0.11	1	NA
KTN1	-0.11	1	NA
EIF4A2	-0.11	2	0.1493
GALNT7	-0.11	2	0.8629
LEPROTL1	-0.11	1	NA
APG4B	-0.11	2	0.5136
PDGFC	-0.1	1	NA
ADH1B	-0.1	1	NA
KLK6	-0.1	2	0.3611
KIAA0907	-0.1	1	NA
CD59	-0.1	2	0.5285
GAS1	-0.1	2	0.5064
CGI-121	-0.1	2	1
ZAP128	-0.1	1	NA
ACTL6A	-0.1	2	0.4553
PARG1	-0.1	1	NA
NESG1	-0.1	2	0.3542
LAMB1	-0.1	1	NA
CKB	-0.1	2	1
MCCC1	-0.1	2	1
DPP8	-0.1	1	NA
DERP6	-0.1	2	0.2081
GPI	-0.09	1	NA
MCM3	-0.09	2	0.225
HSA9761	-0.09	1	NA
SLC7A7	-0.09	2	0.4744
ATP6V1G1	-0.09	2	0.4017
RREB1	-0.09	1	NA
CGI-115	-0.09	1	NA
PURA	-0.09	1	NA
RPL37	-0.09	1	NA
ZNF239	-0.09	2	0.7616
PHKB	-0.09	1	NA
FLJ20436	-0.09	2	0.2946
UCHL5	-0.09	1	NA
PYCR1	-0.09	2	0.4098
ERH	-0.09	1	NA
VRK2	-0.09	2	0.314
CTGF	-0.09	1	NA
ITGB2	-0.08	1	NA
KIAA0644	-0.08	1	NA
BCAP31	-0.08	1	NA
HNMT	-0.08	2	1
MYLIP	-0.08	2	1
MRPL3	-0.08	1	NA
TCTE1L	-0.08	1	NA
PPP2R2D	-0.08	2	0.5638
CD28	-0.08	1	NA
PRSS15	-0.08	1	NA
CLN3	-0.08	2	0.3614
PON2	-0.08	1	NA
SLIT3	-0.08	2	0.1944
FLJ10292	-0.08	2	0.1223
EMP1	-0.08	2	1
LTF	-0.08	2	0.5646
PAXIP1L	-0.08	1	NA
RELB	-0.08	2	1
ZNF200	-0.07	2	0.4017
DDT	-0.07	1	NA
DDEF1	-0.07	1	NA
CKLFSF6	-0.07	2	1
GCLM	-0.07	1	NA
CLIPR-59	-0.07	2	0.2587
ARHE	-0.07	1	NA
LSM5	-0.07	2	0.5025
CAT	-0.07	2	0.5029
MARK2	-0.07	2	0.6477
DHRS7	-0.07	2	0.1666
FABP7	-0.07	2	0.269
ZNF226	-0.07	1	NA
SLC1A4	-0.07	2	0.7633
POLR2E	-0.07	1	NA
SP110	-0.07	1	NA
DC13	-0.07	1	NA
BFAR	-0.07	1	NA
CHSY1	-0.07	1	NA
KIF11	-0.07	1	NA
CDCA8	-0.07	2	0.0988
KIAA0433	-0.07	1	NA
OVOL1	-0.07	1	NA
DIAPH2	-0.06	2	0.5629
IRF7	-0.06	1	NA
RNF5	-0.06	1	NA
UBE2Q	-0.06	1	NA
CLMN	-0.06	2	0.1409
CLIC2	-0.06	1	NA
KLF8	-0.06	2	0.5734
KIAA0284	-0.06	1	NA
UNG	-0.06	2	0.5136
EIF5A2	-0.06	2	0.4409
HMGCR	-0.06	2	1
MBC2	-0.06	2	0.7199
EDIL3	-0.06	1	NA
SAMSN1	-0.06	1	NA
TPT1	-0.06	2	0.7307
CD63	-0.06	1	NA
ISGF3G	-0.06	1	NA
AQR	-0.06	1	NA
MGAT4A	-0.06	2	0.295
ESRRA	-0.05	2	1
NUP133	-0.05	2	0.7529
MAP7	-0.05	1	NA
NDUFB5	-0.05	2	0.702
HSPD1	-0.05	1	NA
FLJ13868	-0.05	1	NA
GART	-0.05	2	0.551
ZBTB5	-0.05	1	NA
DHRS4	-0.05	2	0.6971
FLJ10357	-0.05	1	NA
RAD21	-0.05	1	NA
SMTN	-0.05	1	NA
FTSJ3	-0.05	2	0.5384
TRO	-0.05	2	0.4689
MYCBP	-0.05	2	0.5258
DAPP1	-0.05	2	0.4904
SYNE2	-0.05	2	0.7173
SLC2A1	-0.05	2	0.286
HTATIP2	-0.05	1	NA
TTC9	-0.05	1	NA
HMGB2	-0.05	1	NA
NMB	-0.05	2	0.6157
IFI30	-0.04	1	NA
PRAME	-0.04	1	NA
DDX26	-0.04	2	0.7638
KPNA2	-0.04	2	1
KIAA0663	-0.04	1	NA
IFITM2	-0.04	2	0.6189
HEBP2	-0.04	1	NA
RARRES3	-0.04	2	1
HSPA9B	-0.04	2	0.5298
SH2BP1	-0.04	2	0.8757
TBK1	-0.04	2	0.094
KIAA0143	-0.04	1	NA
BTF3	-0.04	1	NA
CHI3L2	-0.03	2	1
CAMLG	-0.03	1	NA
TGFBR1	-0.03	1	NA
S100A14	-0.03	1	NA
PDHA1	-0.03	2	0.6483
MRPL23	-0.03	2	0.8251
DRAP1	-0.03	2	0.223
HIST1H3J	-0.03	2	0.23
DRD1IP	-0.03	2	1
KIAA1068	-0.03	2	0.7331
RRM2	-0.03	1	NA
H1F0	-0.03	1	NA
CFL1	-0.03	2	0.0527
GLRX	-0.03	1	NA
GALNT1	-0.03	1	NA
WISP2	-0.03	2	0.6454
GDI2	-0.03	1	NA
MID1	-0.03	1	NA
SRP54	-0.03	2	0.3963
MAP4K5	-0.03	1	NA
DNASE2	-0.03	1	NA
PGM3	-0.03	1	NA
MYST1	-0.03	1	NA
DVL1	-0.02	2	0.1847
CGI-128	-0.02	2	0.2475
MAFB	-0.02	1	NA
SNRPA1	-0.02	2	1
MSN	-0.02	2	0.337
ARHGDIB	-0.02	2	0.4911
CTPS	-0.02	1	NA
PAPD1	-0.02	2	0.0486
PER1	-0.02	2	1
DDX48	-0.02	1	NA
RPL36AL	-0.02	2	0.8772
BCKDK	-0.02	1	NA
HNRPF	-0.02	1	NA
PPP1R7	-0.02	1	NA
FAM3C	-0.02	1	NA
PCK2	-0.02	1	NA
AXOT	-0.02	2	0.3269
WBSCR1	-0.02	2	0.702
SOD2	-0.02	2	0.1546
IFI16	-0.02	1	NA
PABPC1	-0.02	2	0.8751
LYPLA1	-0.02	1	NA
AP1S2	-0.02	2	0.1471
JARID1B	-0.02	2	0.4048
RDBP	-0.02	2	0.3214
C6ORF18	-0.02	1	NA
WDHD1	-0.01	2	0.1945
EI24	-0.01	2	0.5958
ARHGEF10	-0.01	1	NA
HSRTSBETA	-0.01	2	0.7291
CYHR1	-0.01	2	0.6652
TLR2	-0.01	1	NA
LTBP1	-0.01	1	NA
ARL6IP4	-0.01	1	NA
STUB1	-0.01	1	NA
CTSZ	-0.01	1	NA
ATR	-0.01	1	NA
RAB31	-0.01	1	NA
NPDC1	-0.01	1	NA
LOC54499	-0.01	1	NA
SRPK1	-0.01	1	NA
CENTA2	-0.01	1	NA
NMU	-0.01	2	0.4123
CXX1	0	1	NA
ZFP36	0	2	0.4449
QARS	0	2	0.4104
HIST1H2BD	0	1	NA
CCDC6	0	2	0.8747
PAPSS1	0	2	0.4069
TINP1	0	2	1
GTPBP4	0	1	NA
IPO7	0	1	NA
MT1G	0	1	NA
