Gene Symbol	Gene Name	Ref Seq	SAM score	Average Ratio (MCB/DCB)
BCAT1	Branched chain aminotransferase 1, cytosolic	NM_005504	1.96	3.2
EYA1	Eyes absent homolog 1 (Drosophila)	NM_000503	1.93	3.1
PRNP	Prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	NM_000311	1.9	3.1
CGI-141	CGI-141 protein	NM_016072	1.89	3.1
GNAI1	Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	NM_002069	2	3.1
FLJ11196	FLJ11196	NM_018357	2	3
FAD158	Hypothetical protein AD158	NM_032270	2.05	3
C9orf88	MEG3	AF151783	1.9	2.9
ANKH	Ankylosis, progressive homolog (mouse)	NM_054027	2.11	2.9
CSDA	Cold shock domain protein A	NM_003651	2.02	2.8
MSN	Moesin	NM_002444	1.89	2.8
CALU	Calumenin	NM_001219	1.96	2.8
KIF14	KIAA0042	D26361	1.89	2.8
BCMP11	Breast cancer membrane protein 11	NM_176813	-2.56	0.03
TFF3	Trefoil factor 3	NM_003226	-3.36	0.04
TFF3	Trefoil factor 3	NM_003226	-3.54	0.04
PIP	Prolactin-induced protein	NM_002652	-2.75	0.04
ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	NM_033151	-2.86	0.05
AGR2	Anterior gradient 2 homolog (Xenopus laevis)	NM_006408	-3.17	0.05
CYP4Z1	Cytochrome P450 4Z1	NM_178134	-1.73	0.06
FOXA1	Forkhead box A1	NM_004496	-4.77	0.07
SCGB2A1	Secretoglobin, family 2A, member 1	NM_002407	-1.94	0.09
FSIP1	Hypothetical protein FLJ35989	NM_152597	-2.09	0.09
HRASLS2	HRAS-like suppressor 2	NM_017878	-2.64	0.09
ACOX2	Acyl-Coenzyme A oxidase 2, branched chain	NM_003500	-2.07	0.09
ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	NM_004448	-1.91	0.09
LOC118430	Small breast epithelial mucin	NM_058173	-2.26	0.09
TSGA2	Testes specific A2 homolog (mouse)	NM_080860	-3.28	0.09
A_23_P139166	Unknown	A_23_P139166	-1.78	0.1
THRSP	Thyroid hormone responsive (SPOT14 homolog, rat)	NM_003251	-1.73	0.11
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	NM_005375	-2.66	0.11
DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12	NM_021800	-2.13	0.11
SCGB1D2	Secretoglobin, family 1D, member 2	NM_006551	-2.12	0.11
ESR1	Estrogen receptor 1	NM_000125	-1.98	0.11
RET	Ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)	NM_020630	-1.86	0.12
NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)	NM_000662	-1.94	0.12
LOC124220	Similar to common salivary protein 1	NM_145252	-3.62	0.12
ABAT	4-aminobutyrate aminotransferase (ABAT), nuclear gene encoding mitochondrial protein	NM_020686	-1.9	0.14
CEACAM6	Carcinoembryonic antigen-related cell adhesion molecule 6	NM_002483	-1.78	0.14
DNCL2B	Dynein, cytoplasmic, light polypeptide 2B	NM_130897	-2.27	0.14
KIAA0882	mRNA for KIAA0882 protein	AB020689	-1.95	0.14
KIAA1324	Homo sapiens maba1 (KIAA1324)	NM_020775	-3.51	0.15
A_23_P106814	Unknown	A_23_P106814	-2.38	0.15
ZNF552	Zinc finger protein 552	NM_024762	-2.36	0.15
NME5	Non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	NM_003551	-1.81	0.16
A_23_P129665	Unknown	A_23_P129665	-1.84	0.16
SCGB2A2	Secretoglobin, family 2A, member 2	NM_002411	-2.73	0.16
SPDEF	SAM pointed domain containing ets transcription factor	NM_012391	-2.94	0.16
AZGP1	Alpha-2-glycoprotein 1, zinc	NM_001185	-2.68	0.16
C20orf114	Chromosome 20 open reading frame 114	NM_033197	-1.7	0.17
EPN3	Epsin 3	NM_017957	-1.88	0.17
ZDHHC11	Zinc finger, DHHC domain containing 11	NM_024786	-2.43	0.17
TMEM25	Transmembrane protein 25	NM_032780	-3.01	0.17
IL20RA	Interleukin 20 receptor, alpha	NM_014432	-1.69	0.17
COX6C	Cytochrome c oxidase subunit VIc	NM_004374	-1.87	0.18
VAV3	vav 3 oncogene	NM_006113	-2.49	0.18
CREB3L4	cAMP responsive element binding protein 3-like 4	NM_130898	-2.92	0.18
TPD52	Tumor protein D52	NM_005079	-2.67	0.19
DNALI1	Dynein, axonemal, light intermediate polypeptide 1	NM_003462	-2.03	0.19
CA12	cDNA FLJ20151 fis, clone COL08412	AK000158	-1.77	0.19
PLEKHA6	Phosphoinositol 3-phosphate-binding protein-3	NM_014935	-2.45	0.19
AR	Androgen receptor	NM_000044	-2.76	0.2
DACH1	Dachshund homolog 1 (Drosophila)	NM_080759	-1.96	0.2
XBP1	Homo sapiens X-box binding protein 1 (XBP1), mRNA [NM_005080]	NM_005080	-3.26	0.2
MGC14839	Homo sapiens similar to RIKEN cDNA 2310030G06 gene (MGC14839), mRNA [NM_080659]	NM_080659	-2.64	0.21
EPPK1	EPPK1 mRNA for epiplakin 1	AB051895	-2.13	0.21
LRRC17	Leucine rich repeat containing 17	NM_005824	-1.86	0.21
MTL5	Metallothionein-like 5, testis-specific (tesmin)	NM_004923	-2.21	0.21
FBXL16	Hypothetical protein MGC33974	NM_153350	-1.84	0.21
GPR81	G protein-coupled receptor 81 (GPR81), mRNA [NM_032554]	NM_032554	-1.86	0.21
MGC11242	Hypothetical protein MGC11242	NM_024320	-2.87	0.21
HRASLS3	HRAS-like suppressor 3	NM_007069	-2.14	0.22
ELF4	E74-like factor 4 (ets domain transcription factor)	NM_001421	-2.14	0.22
KRT19	Keratin 19	NM_002276	-2.25	0.23
PIB5PA	Phosphatidylinositol (4,5) bisphosphate 5-phosphatase, A	NM_014422	-2.34	0.24
C1orf34	Chromosome 1 open reading frame 34	BC004399	-2.31	0.24
AP1M2	Adaptor-related protein complex 1, mu 2 subunit	NM_005498	-2.44	0.24
GSTM3	Glutathione S-transferase M3 (brain)	NM_000849	-2.13	0.25
THC1858993	G82454 biphenyl-2,3-diol 1,2-dioxygenase III-related protein VCA0463 VCA0328 VCA0341 [imported] - Vibrio cholerae (strain N16961 serogroup O1), partial (55%)	THC1858993	-1.74	0.25
C20orf103	Chromosome 20 open reading frame 103	NM_012261	-2.26	0.26
SCGB1D1	Secretoglobin, family 1D, member 1	NM_006552	-2.16	0.26
FLJ10980	mRNA for KIAA1370 protein	AB037791	-1.91	0.26
FLJ40504	Hypothetical protein FLJ40504	NM_173624	-1.95	0.26
EPPK1	EPPK1 mRNA for epiplakin 1	AB051895	-1.78	0.27
TFCP2L3	Transcription factor CP2-like 3	NM_024915	-2.45	0.27
SLC25A4	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	NM_001151	-2.43	0.27
MYO5C	Myosin VC	NM_018728	-2.1	0.27
A_23_P122650	Unknown	A_23_P122650	-2.16	0.29
KRT18	Keratin 18	NM_000224	-2.24	0.29
BIK	BCL2-interacting killer (apoptosis-inducing)	NM_001197	-1.87	0.29
MGC17299	Hypothetical protein MGC17299	NM_144626	-2.53	0.29
A_23_P21882	Unknown	A_23_P21882	-1.7	0.3
ARSD	Arylsulfatase D	NM_009589	-1.76	0.3
TRPS1	Trichorhinophalangeal syndrome I	NM_014112	-1.94	0.3
C17orf28	Chromosome 17 open reading frame 28	NM_030630	-1.74	0.31
GATA3	GATA binding protein 3	NM_002051	-1.75	0.31
KARCA1	Hypothetical protein MGC33338	NM_152366	-2.26	0.31
C19orf32	Polyposis locus protein 1-like 1	NM_138393	-1.82	0.31
C1orf29	Chromosome 1 open reading frame 29	NM_006820	-1.85	0.32
IGJ	Immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	NM_144646	-1.7	0.32
P2RY2	Purinergic receptor P2Y, G-protein coupled, 2	NM_176072	-1.85	0.32
F11R	Junctional adhesion molecule 1, JAM1	BC001699	-2.41	0.32
PTE2B	Peroxisomal acyl-CoA thioesterase 2B	NM_152331	-1.78	0.32
SLC9A3R1	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1	BC053350	-1.94	0.33
RTN4RL1	cDNA DKFZp547J144	AL834409	-1.9	0.34
KENAE	Kenae	NM_176816	-2.08	0.35
TOM1L1	Target of myb1-like 1 (chicken)	NM_005486	-1.91	0.35
FXYD3	FXYD domain containing ion transport regulator 3	NM_005971	-2.13	0.36
DHCR24	24-dehydrocholesterol reductase	NM_014762	-1.75	0.36
MGC22679	cDNA clone MGC:22679	BC022324	-1.74	0.36
C5orf18	Polyposis locus protein 1 (DP1)	NM_005669	-1.85	0.37
SLC9A3R1	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1	NM_004252	-1.72	0.38
ARHGAP8	Rho GTPase activating protein 8	NM_181334	-1.87	0.39
PTGER3	Prostaglandin E receptor 3 (subtype EP3)	NM_198720	-1.86	0.39
ZFP62	Zinc finger protein 62 homolog (mouse)	NM_152283	-1.85	0.39
CST6	Cystatin E/M	NM_001323	-1.82	0.4
MMEL2	Membrane metallo-endopeptidase-like 2	NM_033467	-1.76	0.4
ZNF435	Zinc finger protein 435	NM_025231	-1.85	0.4
STK16	Serine/threonine kinase 16	BC053998	-1.78	0.41
ELL3	Elongation factor RNA polymerase II-like 3	NM_025165	-1.88	0.43
NPDC1	Neural proliferation, differentiation and control, 1	NM_015392	-2	0.44
AF026246	Homo sapiens mRNA containing human endogenous retrovirus H and human endogenous retrovirus E sequences	AF026246	-1.81	0.44
ZNF339	Zinc finger protein 339	NM_021220	-1.96	0.44
FLJ31434	Hypothetical protein FLJ31434	NM_152496	-1.74	0.44
EFHD1	EF hand domain containing 1	NM_025202	-1.72	0.47
MB	Myoglobin	NM_005368	-1.83	0.49
C10orf116	Adipose specific 2	NM_006829	-1.95	0.49
CRB3	Crumbs homolog 3 (Drosophila)	NM_174882	-1.92	0.51
FLJ34633	Hypothetical protein FLJ34633	NM_152365	-1.83	0.51
SPINT2	Serine protease inhibitor, Kunitz type, 2	NM_021102	-1.71	0.52
SERTAD4	SERTA domain containing 4	NM_019605	-1.7	0.53
CDH1	Cadherin 1, type 1, E-cadherin (epithelial)	NM_004360	-1.78	0.55
FLJ34633	Hypothetical protein FLJ34633	NM_152365	-1.7	0.55
CLDN7	Claudin 7	NM_001307	-1.88	0.55
FRP-4	Secreted frizzled-related protein 4. [ENST00000223214]	ENST00000223214	-1.92	0.6
MAL2	Mal, T-cell differentiation protein 2	NM_052886	-1.87	0.61
FRZB	Frizzled-related protein	NM_001463	-1.99	0.69
FRZB	Frizzled-related protein	NM_001463	-1.96	0.7
TACSTD1	Tumor-associated calcium signal transducer 1	NM_002354	-2.51	1.14
