Rank	Fold difference of geom means (control/transfected cell lines)	Probe set	Gene symbol	Description
35	6.5	1456319_at	X83313	EST X83313
36	6.167	1449005_at	Slc16a3	solute carrier family 16 (monocarboxylic acid transporters), member 3
37	6.085	1423702_at	H1f0	H1 histone family, member 0
38	6.061	1428984_a_at	1700012B09Rik	RIKEN cDNA 1700012B09 gene
39	5.991	1458382_a_at
40	5.797	1437867_at		PREDICTED: Mus musculus similar to protease (LOC434722), mRNA
41	5.747	1419703_at	Col5a3	procollagen, type V, alpha 3
42	5.601	1442947_x_at		13 days embryo heart cDNA, RIKEN full-length enriched library, clone:D330042P15 product:unclassifiable, full insert sequence
43	5.477	1426060_at	Cul4a	Cullin 4A
44	5.312	1430261_at	1700024J04Rik	RIKEN cDNA 1700024J04 gene
45	5.067	1450522_a_at	H1f0	H1 histone family, member 0
46	5.057	1420804_s_at	Clec4d	C-type lectin domain family 4, member d
47	4.995	1415806_at	Plat	plasminogen activator, tissue
48	4.865	1449133_at	Sprr1a	small proline-rich protein 1A
49	4.84	1438530_at	Tfpi	tissue factor pathway inhibitor
50	4.783	1455795_at	Sart2	squamous cell carcinoma antigen recognized by T cells 2
51	4.721	1449682_s_at	2410129E14Rik	RIKEN cDNA 2410129E14 gene
52	4.717	1424890_at	Bnc1	basonuclin 1
53	4.498	1435410_at	Tcam1	testicular cell adhesion molecule 1
54	4.449	1447886_at	0610040B09Rik	RIKEN cDNA 0610040B09 gene
55	4.432	1437648_at	Pcyt1b	phosphate cytidylyltransferase 1, choline, beta isoform
56	4.306	1456144_at	Nav3	neuron navigator 3
57	4.268	1438577_at		Transcribed locus
58	4.118	1427341_at	E130103I17Rik	RIKEN cDNA E130103I17 gene
59	3.996	1449378_at	Krt1-c29	keratin complex-1, acidic, gene C29
60	3.844	1424608_a_at	Multiple Gene Symbols	similar to novel protein /// similar to hypothetical protein MGC37588 /// similar to novel protein /// similar to novel protein /// similar to novel protein /// similar to novel protein /// similar to novel protein /// similar to hypothetical protein MGC37588 /// similar to novel protein /// similar to hypothetical protein /// similar to novel protein /// similar to novel protein /// similar to novel protein /// hypothetical LOC433042 /// similar to hypothetical protein MGC37588 /// similar to novel protein /// similar to novel protein /// similar to novel protein /// similar to hypothetical protein MGC37588 /// hypothetical LOC433663 /// similar to novel protein /// similar to hypothetical protein /// hypothetical LOC433808 /// similar to novel protein /// similar to hypothetical protein MGC37588 /// similar to hypothetical protein MGC37588 /// hypothetical LOC434287 /// similar to nove
61	3.821	1453345_at	3830408G10Rik	RIKEN cDNA 3830408G10 gene
62	3.756	1420550_at	1110055J05Rik	RIKEN cDNA 1110055J05 gene
63	3.726	1418126_at	Ccl5	chemokine (C-C motif) ligand 5
64	3.66	1435998_at		Gene model 288, (NCBI)
65	3.633	1418879_at	9030611O19Rik	RIKEN cDNA 9030611O19 gene
66	3.619	1449424_at	Plek2	pleckstrin 2
67	3.594	1455970_at		Transcribed locus
68	3.59	1450791_at	Nppb	natriuretic peptide precursor type B
69	3.517	1434083_a_at	4831417L10	Hypothetical protein 4831417L10
70	3.382	1449740_s_at	Dsg2	desmoglein 2
71	3.359	1430111_a_at	Bcat1	branched chain aminotransferase 1, cytosolic
72	3.295	1441275_at		T-cell activation kelch repeat protein
73	3.289	1428799_at	4930431B11Rik	RIKEN cDNA 4930431B11 gene
74	3.288	1449088_at	Fbp2	fructose bisphosphatase 2
75	3.27	1424470_a_at	Rapgef3	Rap guanine nucleotide exchange factor (GEF) 3
76	3.246	1421679_a_at	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)
77	3.192	1433536_at	Lrp11	low density lipoprotein receptor-related protein 11
78	3.187	1437270_a_at	Bsf3	Cardiotrophin-like cytokine factor 1
79	3.158	1455843_at	Fut4	fucosyltransferase 4
80	3.147	1435669_at	Zfp532	zinc finger protein 532
81	3.139	1431176_at	2310010I16Rik	RIKEN cDNA 2310010I16 gene
82	3.118	1460550_at	Mtmr11	myotubularin related protein 11
83	3.031	1435342_at	Kcnk6	potassium inwardly-rectifying channel, subfamily K, member 6
84	3.031	1425619_s_at	Dsg2	desmoglein 2
85	3.027	1451483_s_at	1700054N08Rik	RIKEN cDNA 1700054N08 gene
86	3.016	1454136_a_at	4921524J17Rik	RIKEN cDNA 4921524J17 gene
87	3.011	1430999_a_at	Scoc	short coiled-coil protein
88	2.994	1452858_at	Elavl1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)
89	2.983	1457823_at	Cyr61	cysteine rich protein 61
90	2.983	1442340_x_at	Cyr61	cysteine rich protein 61
91	2.976	1457145_at	Plekhg4	pleckstrin homology domain containing, family G (with RhoGef domain) member 4
92	2.946	1431182_at	Hspa8 /// LOC432432 /// LOC432883 /// LOC434047	heat shock protein 8 /// similar to heat shock protein 8 /// similar to heat shock protein 8 /// similar to Heat shock cognate 71 kDa protein
93	2.944	1434261_at	Sipa1l2	signal-induced proliferation-associated 1 like 2
94	2.916	1421540_at	Tcam1	testicular cell adhesion molecule 1
95	2.9	1420008_s_at	BC037006	cDNA sequence BC037006
96	2.89	1424796_at	1700054N08Rik	RIKEN cDNA 1700054N08 gene
97	2.885	1439758_at	Als2cr12	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 12 (human)
98	2.877	1434279_at
99	2.861	1427518_at	D10627	cDNA sequence D10627
100	2.847	1422140_at	Sp100-rs	similar to component of Sp100-rs
101	2.839	1426153_a_at	Dsg2	desmoglein 2
102	2.835	1435379_at
103	2.83	1449252_at	9030611O19Rik	RIKEN cDNA 9030611O19 gene
104	2.811	1433902_at		T-cell activation kelch repeat protein
105	2.797	1424291_at	Nup93	nucleoporin 93
106	2.786	1438307_at
107	2.782	1420437_at	Indo	indoleamine-pyrrole 2,3 dioxygenase
108	2.764	1437671_x_at	Prss23	protease, serine, 23
109	2.756	1420741_x_at	2310069N01Rik	RIKEN cDNA 2310069N01 gene
110	2.753	1422550_a_at	Mtap6	microtubule-associated protein 6
111	2.749	1439476_at	Dsg2	desmoglein 2
112	2.717	1448942_at	Gng11	guanine nucleotide binding protein (G protein), gamma 11
113	2.701	1422273_at	Mmp1b	matrix metalloproteinase 1b (interstitial collagenase)
114	2.696	1439840_at	A430088C08Rik	RIKEN cDNA A430088C08 gene
115	2.687	1457774_at	2310079N02Rik	RIKEN cDNA 2310079N02 gene
116	2.685	1422804_at	Serpinb6b	serine (or cysteine) proteinase inhibitor, clade B, member 6b
117	2.677	1455262_at	0610010D24Rik	RIKEN cDNA 0610010D24 gene
118	2.673	1422967_a_at	Tfrc	transferrin receptor
119	2.664	1433730_at	Elmod2	ELMO domain containing 2
120	2.657	1455435_s_at
121	2.638	AFFX-TransRecMur/X57349_5_at	Tfrc	transferrin receptor
122	2.637	1418415_at	Hoxb5	homeo box B5
123	2.621	1425118_at	Spire2	spire homolog 2 (Drosophila)
124	2.619	1441891_x_at	Elovl7	ELOVL family member 7, elongation of long chain fatty acids (yeast)
125	2.604	1417178_at	Gipc2	GIPC PDZ domain containing family, member 2
126	2.581	1434280_at
127	2.576	1434003_a_at	Dhps	deoxyhypusine synthase
128	2.572	1422168_a_at	Bdnf	brain derived neurotrophic factor
129	2.572	1455249_at		Hypothetical gene supported by AK029001
130	2.555	1429161_at	Arv1	ARV1 homolog (yeast)
131	2.555	1437108_at	Lsm6	LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)
132	2.55	1460053_at	Smyd4	SET and MYND domain containing 4
133	2.516	1416014_at	Abce1	ATP-binding cassette, sub-family E (OABP), member 1
134	2.511	1432431_s_at	1110033L15Rik	RIKEN cDNA 1110033L15 gene
135	2.498	1437250_at		whn-dependent transcript 2
136	2.473	1427483_at	Slc25a24	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24
137	2.473	1454904_at	Mtm1	X-linked myotubular myopathy gene 1
138	2.469	1426436_at	8430420C20Rik	RIKEN cDNA 8430420C20 gene
139	2.468	1416267_at	Scoc	short coiled-coil protein
140	2.468	1429310_at	Flrt3	fibronectin leucine rich transmembrane protein 3
141	2.459	1434278_at	Mtm1	X-linked myotubular myopathy gene 1
142	2.445	1434097_at	D10627	CDNA sequence D10627
143	2.44	1435315_s_at	2900034E22Rik	RIKEN cDNA 2900034E22 gene
144	2.435	1416041_at	Sgk	serum/glucocorticoid regulated kinase
145	2.42	1422618_x_at
146	2.408	1448947_at	0610039J04Rik	RIKEN cDNA 0610039J04 gene
147	2.386	1436816_at	Nup133	Nucleoporin 133
148	2.386	1455796_x_at	Olfm1	olfactomedin 1
149	2.382	1422169_a_at	Bdnf	brain derived neurotrophic factor
150	2.381	1423586_at	Axl	AXL receptor tyrosine kinase
151	2.373	1455197_at	Rnd1	Rho family GTPase 1
152	2.362	1436281_at
153	2.359	1434296_at	LOC234413	similar to hypothetical protein FLJ38281
154	2.353	1424097_at	Elovl7	ELOVL family member 7, elongation of long chain fatty acids (yeast)
155	2.352	1425733_a_at	Eps8	epidermal growth factor receptor pathway substrate 8
156	2.349	1424537_at	1700017G21Rik /// LOC434724 /// LOC434725 /// LOC546185 /// LOC546187 /// LOC546199 /// LOC546203 /// LOC546204 /// LOC546259	RIKEN cDNA 1700017G21 gene /// similar to RIKEN cDNA 1700017G21 /// similar to Type 3 /// similar to mgclh /// similar to Type 3 /// similar to Type 3 /// similar to Type 3 /// similar to mgclh /// similar to Type 3
157	2.346	1418349_at	Hbegf	heparin-binding EGF-like growth factor
158	2.344	1453252_at	Dus4l	dihydrouridine synthase 4-like (S. cerevisiae)
159	2.324	1424638_at	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)
160	2.323	1444584_at	LOC238535 /// 4921509E05Rik	piggyBac transposable element derived 1 (Pgbd1) pseudogene /// RIKEN cDNA 4921509E05 gene
161	2.319	1454090_at	Tprt	trans-prenyltransferase
162	2.317	1460397_at	Armc6	armadillo repeat containing 6
163	2.306	1437079_at	Slc18a2	solute carrier family 18 (vesicular monoamine), member 2
164	2.298	1416015_s_at	Abce1	ATP-binding cassette, sub-family E (OABP), member 1
165	2.297	1433789_at	Rnu17d	RNA, U17d small nucleolar
166	2.296	1434004_at	Dhps	deoxyhypusine synthase
167	2.286	1452656_at	Zdhhc2	zinc finger, DHHC domain containing 2
168	2.286	AFFX-TransRecMur/X57349_3_at	Tfrc	transferrin receptor
169	2.284	1423081_a_at	Tomm20 /// LOC546321	translocase of outer mitochondrial membrane 20 homolog (yeast) /// similar to translocase of outer mitochondrial membrane 20 homolog
170	2.284	AFFX-TransRecMur/X57349_M_at	Tfrc	transferrin receptor
171	2.281	1436595_at	Rbm34	RNA binding motif protein 34
172	2.271	1448844_at	1810044O22Rik	RIKEN cDNA 1810044O22 gene
173	2.27	1416067_at	Ifrd1	interferon-related developmental regulator 1
174	2.269	1456037_x_at	Preb	prolactin regulatory element binding
175	2.268	1424590_at	Ddx19b	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19b
176	2.263	1436585_at	BB182297	expressed sequence BB182297
177	2.259	1422824_s_at	Eps8	epidermal growth factor receptor pathway substrate 8
178	2.255	1421495_a_at	1700052N19Rik	RIKEN cDNA 1700052N19 gene
179	2.252	1438076_at	Rpl30	ribosomal protein L30
180	2.25	1423787_at	Nup133	nucleoporin 133
181	2.244	1434958_at	Sacs	sacsin
182	2.241	1449557_at	1600012F09Rik	RIKEN cDNA 1600012F09 gene
183	2.239	1451254_at	Ikbkap	inhibitor of kappa light polypeptide enhancer in B-cells, kinase complex-associated protein
184	2.239	1436808_x_at	Mcm5	minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)
185	2.239	1449048_s_at	Rab4a	RAB4A, member RAS oncogene family
186	2.235	1420774_a_at	4930583H14Rik	RIKEN cDNA 4930583H14 gene
187	2.233	1430030_at	5330426P16Rik	RIKEN cDNA 5330426P16 gene
188	2.229	1422526_at	Acsl1	acyl-CoA synthetase long-chain family member 1
189	2.222	1459888_at	LOC545261	hypothetical protein LOC545261
190	2.221	1429848_at	Pvr	poliovirus receptor
191	2.219	1423421_at		globin inducing factor, fetal
192	2.216	1454684_at	Bbs7	Bardet-Biedl syndrome 7
193	2.215	1436765_at	Pard3	par-3 (partitioning defective 3) homolog (C. elegans)
194	2.215	1432249_a_at	Ercc8	excision repaiross-complementing rodent repair deficiency, complementation group 8
195	2.211	1423010_at	Sacs	sacsin
196	2.21	1452687_at	Dus2l	dihydrouridine synthase 2-like (SMM1, S. cerevisiae)
197	2.21	1451175_at	Spcs3	signal peptidase complex subunit 3 homolog (S. cerevisiae)
198	2.21	1436538_at	Lrp2bp	Lrp2 binding protein
199	2.204	1428797_at	0610039J04Rik	RIKEN cDNA 0610039J04 gene
200	2.201	1436348_at		Transcribed locus
201	2.19	1452654_at	Zdhhc2	zinc finger, DHHC domain containing 2
202	2.187	1460036_at	Ap1s2	adaptor-related protein complex 1, sigma 2 subunit
203	2.187	1460483_at	2610034E01Rik	RIKEN cDNA 2610034E01 gene
204	2.177	1423883_at	Acsl1	Acyl-CoA synthetase long-chain family member 1
205	2.174	1416403_at	Abcb10	ATP-binding cassette, sub-family B (MDR/TAP), member 10
206	2.172	1445521_at	Elavl1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)
207	2.171	1460500_at	5033421C21Rik	RIKEN cDNA 5033421C21 gene
208	2.17	1427127_x_at	Hspa1b	heat shock protein 1B
209	2.161	1451532_s_at	Steap	six transmembrane epithelial antigen of the prostate
210	2.16	1426871_at	Fbxo33	F-box only protein 33
211	2.16	1423602_at	Traf1	Tnf receptor-associated factor 1
212	2.159	1451384_at	3110005O21Rik	RIKEN cDNA 3110005O21 gene
213	2.159	1428105_at	Tpx2	TPX2, microtubule-associated protein homolog (Xenopus laevis)
214	2.159	1421534_at
215	2.148	1434044_at	Repin1	replication initiator 1
216	2.148	1443869_at	E430028B21Rik	RIKEN cDNA E430028B21 gene
217	2.147	1429587_at	Rbm34	RNA binding motif protein 34
218	2.136	1435697_a_at	Pscdbp	pleckstrin homology, Sec7 and coiled-coil domains, binding protein
219	2.134	1439263_at	Fin15	fibroblast growth factor inducible 15
220	2.134	1440221_at	AA408650	expressed sequence AA408650
221	2.125	1448884_at	Gtf2e2	general transcription factor II E, polypeptide 2 (beta subunit)
222	2.123	1429216_at	Paqr3	progestin and adipoQ receptor family member III
223	2.123	1442753_at		Transcribed locus
224	2.119	1429149_at	2700085M18Rik	RIKEN cDNA 2700085M18 gene
225	2.119	1434229_a_at	Polb	polymerase (DNA directed), beta
226	2.119	1451343_at	2210415M20Rik	RIKEN cDNA 2210415M20 gene
227	2.115	1455118_at	D9Ertd402e	DNA segment, Chr 9, ERATO Doi 402, expressed
228	2.114	1425206_a_at	Tsc22d4	TSC22 domain family 4
229	2.112	1418227_at	Orc2l	origin recognition complex, subunit 2-like (S. cerevisiae)
230	2.107	1428903_at	3110037I16Rik	RIKEN cDNA 3110037I16 gene
231	2.107	1453050_at	2700085M18Rik	RIKEN cDNA 2700085M18 gene
232	2.104	1450076_at	4933411K20Rik	RIKEN cDNA 4933411K20 gene
233	2.102	1436706_at	Tmem32	transmembrane protein 32
234	2.095	1420991_at	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)
235	2.095	1422966_a_at	Tfrc	transferrin receptor
236	2.093	1425581_s_at	Galnt7	UDP-N-acetyl-alpha-D-galactosamine: polypeptide N-acetylgalactosaminyltransferase 7
237	2.091	1438757_at	C130069I09Rik	RIKEN cDNA C130069I09 gene
238	2.09	1453836_a_at	Mgll	monoglyceride lipase
239	2.088	1426229_s_at	Kras	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog
240	2.088	1419935_s_at	Csnk2a2	casein kinase II, alpha 2, polypeptide
241	2.086	1428760_at	Snapc3	small nuclear RNA activating complex, polypeptide 3
242	2.085	1439976_at	AI849156	expressed sequence AI849156
243	2.078	1430571_s_at	Armc6	armadillo repeat containing 6
244	2.075	1446417_at	Serpinb6a	Receptor (TNFRSF)-interacting serine-threonine kinase 1
245	2.071	1439920_at
246	2.069	1436976_a_at	9930028C20Rik	RIKEN cDNA 9930028C20 gene
247	2.066	1418226_at	Orc2l	origin recognition complex, subunit 2-like (S. cerevisiae)
248	2.066	1450295_s_at	Pvr	poliovirus receptor
249	2.063	1426785_s_at	Mgll	monoglyceride lipase
250	2.059	1415830_at	Orc5l	origin recognition complex, subunit 5-like (S. cerevisiae)
251	2.058	1428798_s_at	0610039J04Rik	RIKEN cDNA 0610039J04 gene
252	2.058	1452605_at	Thnsl1	threonine synthase-like 1 (bacterial)
253	2.053	1453025_at	1110033L15Rik	RIKEN cDNA 1110033L15 gene
254	2.052	1456590_x_at	Akr1b3 /// LOC432549	aldo-keto reductase family 1, member B3 (aldose reductase) /// similar to Aldo-keto reductase family 1, member B3 (aldose reductase)
255	2.049	1439516_at	2610201A13Rik	RIKEN cDNA 2610201A13 gene
256	2.046	1434355_at	Zfp617	Similar to hypothetical protein FLJ38281
257	2.044	1423643_at	Ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
258	2.043	1452744_at	2210016F16Rik	RIKEN cDNA 2210016F16 gene
259	2.041	1417767_at	1810044O22Rik	RIKEN cDNA 1810044O22 gene
260	2.041	1438631_x_at	Ttc13	tetratricopeptide repeat domain 13
261	2.039	1434350_at	Axud1	AXIN1 up-regulated 1
262	2.035	1433467_at	Slc7a6	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6
263	2.034	1417456_at	Gnpat	glyceronephosphate O-acyltransferase
264	2.033	1451351_at	Ttc13	tetratricopeptide repeat domain 13
265	2.033	1460380_at	Dsg2	desmoglein 2
266	2.032	1423685_at	Aars	alanyl-tRNA synthetase
267	2.032	1423848_at	Mphosph6	M phase phosphoprotein 6
268	2.031	1448145_at	Wwp2	WW domain containing E3 ubiquitin protein ligase 2
269	2.031	1434140_at	Mcf2l	mcf.2 transforming sequence-like
270	2.031	1424697_at	Dtwd1	DTW domain containing 1
271	2.029	1450262_at	Clcf1	cardiotrophin-like cytokine factor 1
272	2.029	1451273_x_at	BC025546	cDNA sequence BC025546
273	2.028	1423044_at	Prosc	proline synthetase co-transcribed
274	2.028	1437709_x_at	Ttc13	tetratricopeptide repeat domain 13
275	2.027	1440995_at	6430531B16Rik	RIKEN cDNA 6430531B16 gene
276	2.023	1429061_at	1810063B05Rik	RIKEN cDNA 1810063B05 gene
277	2.023	1453100_at	Csnk2a2	casein kinase II, alpha 2, polypeptide
278	2.022	1433487_at	Clcn3	chloride channel 3
279	2.015	1450037_at	Usp9x	ubiquitin specific protease 9, X chromosome
280	2.011	1448944_at	Nrp1	neuropilin 1
281	2.011	1444052_at	Flt4	FMS-like tyrosine kinase 4
282	2.008	1426737_at
283	2.006	1447934_at	9630033F20Rik	RIKEN cDNA 9630033F20 gene
284	2.005	1453077_a_at	Snapc3	small nuclear RNA activating complex, polypeptide 3
285	2	1437012_x_at	Rapgef3	Rap guanine nucleotide exchange factor (GEF) 3
286	2	1458667_at	4930519N13Rik	RIKEN cDNA 4930519N13 gene
287	2	1447275_at	Gm1805	gene model 1805, (NCBI)
288	2	1456259_at
289	1.999	1434200_at	BC010981	cDNA sequence BC010981
290	1.996	1419470_at	Gnb4	guanine nucleotide binding protein, beta 4
291	1.995	1449546_a_at	Zfp617	zinc finger protein 617
292	1.995	1436071_at	Ankrd26	ankyrin repeat domain 26
293	1.99	1440421_at	2700085M18Rik	RIKEN cDNA 2700085M18 gene
294	1.987	1418225_at	Orc2l	origin recognition complex, subunit 2-like (S. cerevisiae)
295	1.987	1433640_at
296	1.985	1434230_at	Polb /// A430088C08Rik	polymerase (DNA directed), beta /// RIKEN cDNA A430088C08 gene
297	1.983	1424232_a_at	BC025546	cDNA sequence BC025546
298	1.983	1429363_at	D8Ertd531e	DNA segment, Chr 8, ERATO Doi 531, expressed
299	1.982	1441376_at	Gabarapl2	gamma-aminobutyric acid (GABA-A) receptor-associated protein-like 2
300	1.979	1420992_at	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)
301	1.978	1455637_x_at
302	1.978	1451323_at	Zfp7	zinc finger protein 7
303	1.976	1450391_a_at	Mgll	monoglyceride lipase
304	1.974	1417511_at	Lyar	Ly1 antibody reactive clone
305	1.971	1417719_at	Sap30	sin3 associated polypeptide
306	1.971	1454018_at	Tlk2	tousled-like kinase 2 (Arabidopsis)
307	1.97	1451065_a_at	Ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
308	1.969	1431086_s_at	Pcmt1	Protein-L-isoaspartate (D-aspartate) O-methyltransferase 1
309	1.968	1451095_at	Asns	asparagine synthetase
310	1.967	1418820_s_at	Zcchc10	zinc finger, CCHC domain containing 10
311	1.966	1434369_a_at	Cryab	crystallin, alpha B
312	1.965	1452717_at	Slc25a24	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24
313	1.965	1433383_at	1500002K03Rik	RIKEN cDNA 1500002K03 gene
314	1.963	1451216_at	Zfp330	zinc finger protein 330
315	1.963	1436434_at	9230110J10	hypothetical protein 9230110J10
316	1.963	1438490_at	Slc39a14	solute carrier family 39 (zinc transporter), member 14
317	1.96	1423395_at	Tsnax	translin-associated factor X
318	1.959	1439050_at	AI649393	expressed sequence AI649393
319	1.959	1460474_at	2610028L16Rik	RIKEN cDNA 2610028L16 gene
320	1.955	1416860_s_at	Ing1	inhibitor of growth family, member 1
321	1.949	1454947_a_at	BC002236	cDNA sequence BC002236
322	1.947	1420936_s_at	Cpsf2	cleavage and polyadenylation specific factor 2
323	1.945	1454659_at	Dctd	dCMP deaminase
324	1.945	1418350_at	Hbegf	heparin-binding EGF-like growth factor
325	1.942	1415788_at	BC002236	cDNA sequence BC002236
326	1.942	1440989_at
327	1.941	1418308_at	Hus1	Hus1 homolog (S. pombe)
328	1.939	1450980_at	Gtpbp3	GTP binding protein 3
329	1.936	1453577_at	2610018I03Rik	RIKEN cDNA 2610018I03 gene
330	1.935	1426426_at	Rbm13	RNA binding motif protein 13
331	1.932	1460447_at	3000003F02Rik	RIKEN cDNA 3000003F02 gene
332	1.932	1429596_at	2400002F02Rik	RIKEN cDNA 2400002F02 gene
333	1.931	1418553_at	Arhgef18	rho/rac guanine nucleotide exchange factor (GEF) 18
334	1.931	1415868_at	Cct4	chaperonin subunit 4 (delta)
335	1.93	1431893_a_at	Tprt	trans-prenyltransferase
336	1.925	1416755_at	Dnajb1	DnaJ (Hsp40) homolog, subfamily B, member 1
337	1.924	1455814_x_at	Ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
338	1.924	1438168_x_at	Ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
339	1.924	1439387_x_at	2310061F22Rik	RIKEN cDNA 2310061F22 gene
340	1.92	1450389_s_at	Pip5k1a	phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha
341	1.916	1457316_at	Mtap6	microtubule-associated protein 6
342	1.915	1450909_at	Eif4e	eukaryotic translation initiation factor 4E
343	1.915	1426908_at	Galnt7	UDP-N-acetyl-alpha-D-galactosamine: polypeptide N-acetylgalactosaminyltransferase 7
344	1.914	1422767_at	Bysl	bystin-like
345	1.914	1417266_at	Ccl6	chemokine (C-C motif) ligand 6
346	1.912	1432103_a_at	Sh3gl3	SH3-domain GRB2-like 3
347	1.911	1424186_at	2610001E17Rik	RIKEN cDNA 2610001E17 gene
348	1.908	1428566_at	Hspbap1	Hspb associated protein 1
349	1.904	1420138_at	Slc19a1	solute carrier family 19 (sodium/hydrogen exchanger), member 1
350	1.904	1438527_at	Rpl3 /// LOC244512 /// LOC433745 /// LOC544982 /// LOC545543 /// LOC545545 /// LOC545864 /// LOC547402
351	1.903	1451206_s_at	Pscdbp	pleckstrin homology, Sec7 and coiled-coil domains, binding protein
352	1.9	1437271_at	Bsf3	Cardiotrophin-like cytokine factor 1
353	1.9	1460561_x_at	Sepw1	selenoprotein W, muscle 1
354	1.897	1436979_x_at	Rbm14	RNA binding motif protein 14
355	1.891	1419253_at	Mthfd2	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase
356	1.888	1424142_at	Ikbkap	inhibitor of kappa light polypeptide enhancer in B-cells, kinase complex-associated protein
357	1.887	1437133_x_at	Akr1b3 /// LOC432549	aldo-keto reductase family 1, member B3 (aldose reductase) /// similar to Aldo-keto reductase family 1, member B3 (aldose reductase)
358	1.884	1451248_at	BC006705	cDNA sequence BC006705
359	1.883	1441788_s_at	BC068171	cDNA sequence BC068171
360	1.883	1420537_at	Kctd4	potassium channel tetramerisation domain containing 4
361	1.882	1422141_s_at	Csprs	component of Sp100-rs
362	1.877	1437067_at	Phtf2	putative homeodomain transcription factor 2
363	1.876	1424327_at	3200002M19Rik	RIKEN cDNA 3200002M19 gene
364	1.876	1453036_at	5430439M09Rik	RIKEN cDNA 5430439M09 gene
365	1.871	1432164_a_at	Gcsh	glycine cleavage system protein H (aminomethyl carrier)
366	1.871	1451166_a_at	1700023O11Rik	RIKEN cDNA 1700023O11 gene
367	1.871	1437077_at	AW495713	expressed sequence AW495713
368	1.865	1418884_x_at	Tuba1	tubulin, alpha 1
369	1.864	1438360_x_at	Slc25a5	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5
