ProbeID	CLID	NAME
AGI_HUM1_OLIGO_A_23_P166246	Hs.282326	Down syndrome critical region gene 1
AGI_HUM1_OLIGO_A_23_P121095	Hs.282346	topoisomerase (DNA) II beta 180kDa
AGI_HUM1_OLIGO_A_23_P69084	Hs.282557	ceruloplasmin (ferroxidase)
AGI_HUM1_OLIGO_A_23_P54663	Hs.282975	carboxylesterase 2 (intestine, liver)
AGI_HUM1_OLIGO_A_23_P259413	Hs.283690	hypothetical protein H41
AGI_HUM1_OLIGO_A_23_P206441	Hs.284153	Fanconi anemia, complementation group A
AGI_HUM1_OLIGO_A_23_P137196	Hs.285115	interleukin 13 receptor, alpha 1
AGI_HUM1_OLIGO_A_23_P201083	Hs.286221	ADP-ribosylation factor 1
AGI_HUM1_OLIGO_A_23_P124417	Hs.287472	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
AGI_HUM1_OLIGO_A_23_P201459	Hs.287721	interferon, alpha-inducible protein (clone IFI-6-16)
AGI_HUM1_OLIGO_A_23_P49499	Hs.288215	sialyltransferase
AGI_HUM1_OLIGO_A_23_P86959	Hs.289107	baculoviral IAP repeat-containing 2
AGI_HUM1_OLIGO_A_23_P20980	Hs.289271	cytochrome c-1
AGI_HUM1_OLIGO_A_23_P32384	Hs.289271	cytochrome c-1
AGI_HUM1_OLIGO_A_23_P9548	Hs.289271	cytochrome c-1
AGI_HUM1_OLIGO_A_23_P19219	Hs.292316	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)
AGI_HUM1_OLIGO_A_23_P151075	Hs.292738	Rho GDP dissociation inhibitor (GDI) beta
AGI_HUM1_OLIGO_A_23_P82361	Hs.293885	glycyl-tRNA synthetase
AGI_HUM1_OLIGO_A_23_P200404	Hs.294008	adenylate kinase 2
AGI_HUM1_OLIGO_A_23_P141005	Hs.295137	autocrine motility factor receptor
AGI_HUM1_OLIGO_A_23_P141484	Hs.295909	hypothetical protein FLJ10700
AGI_HUM1_OLIGO_A_23_P139704	Hs.298654	dual specificity phosphatase 6
AGI_HUM1_OLIGO_A_23_P145904	Hs.301005	histone H2A.F/Z variant
AGI_HUM1_OLIGO_A_23_P216448	Hs.302690	nuclear factor I/B
AGI_HUM1_OLIGO_A_23_P126660	Hs.30743	preferentially expressed antigen in melanoma
AGI_HUM1_OLIGO_A_23_P166360	Hs.30743	preferentially expressed antigen in melanoma
AGI_HUM1_OLIGO_A_23_P86072	Hs.30743	preferentially expressed antigen in melanoma
AGI_HUM1_OLIGO_A_23_P206680	Hs.315485	Nedd-4-like ubiquitin-protein ligase
AGI_HUM1_OLIGO_A_23_P42664	Hs.333495	split hand/foot malformation (ectrodactyly) type 1
AGI_HUM1_OLIGO_A_23_P116202	Hs.334360	hypothetical protein FLJ21827
AGI_HUM1_OLIGO_A_23_P138507	Hs.334562	cell division cycle 2, G1 to S and G2 to M
AGI_HUM1_OLIGO_A_23_P122304	Hs.3352	histone deacetylase 2
AGI_HUM1_OLIGO_A_23_P200780	Hs.342874	transforming growth factor, beta receptor III (betaglycan, 300kDa)
AGI_HUM1_OLIGO_A_23_P169553	Hs.343809	fibroblast growth factor 12
AGI_HUM1_OLIGO_A_23_P211727	Hs.343809	fibroblast growth factor 12
AGI_HUM1_OLIGO_A_23_P117882	Hs.346950	cellular retinoic acid binding protein 1
AGI_HUM1_OLIGO_A_23_P82950	Hs.348501	pericentriolar material 1
AGI_HUM1_OLIGO_A_23_P390504	Hs.348883	forkhead box C1
AGI_HUM1_OLIGO_A_23_P100653	Hs.35096	KAISO-like zinc finger protein 1
AGI_HUM1_OLIGO_A_23_P7636	Hs.350966	pituitary tumor-transforming 1
AGI_HUM1_OLIGO_A_23_P18196	Hs.35120	replication factor C (activator 1) 4, 37kDa
AGI_HUM1_OLIGO_A_23_P211661	Hs.356523	mitogen-activated protein kinase 8 interacting protein 2
AGI_HUM1_OLIGO_A_23_P82176	Hs.357901	SRY (sex determining region Y)-box 4
AGI_HUM1_OLIGO_A_23_P151970	Hs.362733	fem-1 homolog b (C. elegans)
AGI_HUM1_OLIGO_A_23_P171249	Hs.3631	immunoglobulin (CD79A) binding protein 1
AGI_HUM1_OLIGO_A_23_P83438	Hs.369120	hypothetical protein FLJ13855
AGI_HUM1_OLIGO_A_23_P130824	Hs.369279	NACHT, LRR and PYD containing protein 2
AGI_HUM1_OLIGO_A_23_P40025	Hs.369761	DAZ associated protein 2
AGI_HUM1_OLIGO_A_23_P67708	Hs.371282	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)
AGI_HUM1_OLIGO_A_23_P211550	Hs.373992	ring-box 1
AGI_HUM1_OLIGO_A_23_P201400	Hs.376314	protoporphyrinogen oxidase
AGI_HUM1_OLIGO_A_23_P202104	Hs.381072	peptidylprolyl isomerase F (cyclophilin F)
AGI_HUM1_OLIGO_A_23_P137672	Hs.382202	chitinase 3-like 1 (cartilage glycoprotein-39)
AGI_HUM1_OLIGO_A_23_P134176	Hs.384944	superoxide dismutase 2, mitochondrial
AGI_HUM1_OLIGO_A_23_P62605	Hs.388664	ribosomal protein L11
AGI_HUM1_OLIGO_A_23_P1021	Hs.389137	microfibrillar-associated protein 2
AGI_HUM1_OLIGO_A_23_P78158	Hs.390163	rabaptin, RAB GTPase binding effector protein 1
AGI_HUM1_OLIGO_A_23_P31503	Hs.390667	glutathione S-transferase subunit 13 homolog
AGI_HUM1_OLIGO_A_23_P59375	Hs.391392	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein
AGI_HUM1_OLIGO_A_23_P152593	Hs.396783	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1
AGI_HUM1_OLIGO_A_23_P124200	Hs.397465	homeodomain interacting protein kinase 2
AGI_HUM1_OLIGO_A_23_P169756	Hs.397465	homeodomain interacting protein kinase 2
AGI_HUM1_OLIGO_A_23_P169766	Hs.397465	homeodomain interacting protein kinase 2
AGI_HUM1_OLIGO_A_23_P60829	Hs.397465	homeodomain interacting protein kinase 2
AGI_HUM1_OLIGO_A_23_P44586	Hs.401903	cytochrome c oxidase subunit Va
AGI_HUM1_OLIGO_A_23_P84259	Hs.401903	cytochrome c oxidase subunit Va
AGI_HUM1_OLIGO_A_23_P49972	Hs.405958	CDC6 cell division cycle 6 homolog (S. cerevisiae)
AGI_HUM1_OLIGO_A_23_P122650	Hs.406013	keratin 18
AGI_HUM1_OLIGO_A_23_P85604	Hs.406339	WD repeat domain 26
AGI_HUM1_OLIGO_A_23_P254441	Hs.407782	hypothetical protein LOC155060
AGI_HUM1_OLIGO_A_23_P31073	Hs.407830	v-myb myeloblastosis viral oncogene homolog (avian)
AGI_HUM1_OLIGO_A_23_P259172	Hs.409223	signal sequence receptor, delta (translocon-associated protein delta)
AGI_HUM1_OLIGO_A_23_P200222	Hs.410784	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor
AGI_HUM1_OLIGO_A_23_P201110	Hs.4113	S-adenosylhomocysteine hydrolase-like 1
AGI_HUM1_OLIGO_A_23_P202658	Hs.411509	glutathione S-transferase pi
AGI_HUM1_OLIGO_A_23_P150035	Hs.412842	chromosome 10 open reading frame 7
AGI_HUM1_OLIGO_A_23_P211528	Hs.414343	synaptogyrin 1
AGI_HUM1_OLIGO_A_23_P48585	Hs.416358	sal-like 2 (Drosophila)
AGI_HUM1_OLIGO_A_23_P134935	Hs.417962	dual specificity phosphatase 4
AGI_HUM1_OLIGO_A_23_P202316	Hs.418533	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)
AGI_HUM1_OLIGO_A_23_P145541	Hs.419998	Sac domain-containing inositol phosphatase 3
AGI_HUM1_OLIGO_A_23_P18325	Hs.424619	programmed cell death 10
AGI_HUM1_OLIGO_A_23_P20384	Hs.425311	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)
AGI_HUM1_OLIGO_A_23_P129786	Hs.426528	sterol regulatory element binding transcription factor 1
AGI_HUM1_OLIGO_A_23_P122001	Hs.42674	mutS homolog 3 (E. coli)
AGI_HUM1_OLIGO_A_23_P169117	Hs.432330	Ras-related GTP binding A
AGI_HUM1_OLIGO_A_23_P119943	Hs.433326	insulin-like growth factor binding protein 2, 36kDa
AGI_HUM1_OLIGO_A_23_P141405	Hs.433416	non-metastatic cells 2, protein (NM23B) expressed in
AGI_HUM1_OLIGO_A_23_P20193	Hs.433506	actin related protein 2/3 complex, subunit 1B, 41kDa
AGI_HUM1_OLIGO_A_23_P49928	Hs.433871	keratin 13
AGI_HUM1_OLIGO_A_23_P157371	Hs.434053	family with sequence similarity 3, member C
AGI_HUM1_OLIGO_A_23_P89941	Hs.435051	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)
AGI_HUM1_OLIGO_A_23_P3221	Hs.435468	sulfide quinone reductase-like (yeast)
AGI_HUM1_OLIGO_A_23_P71148	Hs.435726	biliverdin reductase A
AGI_HUM1_OLIGO_A_23_P117494	Hs.435974	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
AGI_HUM1_OLIGO_A_23_P130347	Hs.436348	hypothetical protein MGC2628
AGI_HUM1_OLIGO_A_23_P78873	Hs.436348	hypothetical protein MGC2628
AGI_HUM1_OLIGO_A_23_P215051	Hs.437091	uncharacterized hypothalamus protein HCDASE
AGI_HUM1_OLIGO_A_23_P252371	Hs.437224	retinoblastoma binding protein 8
AGI_HUM1_OLIGO_A_23_P79842	Hs.437388	phosphatidyl inositol glycan class T
AGI_HUM1_OLIGO_A_23_P120845	Hs.437638	X-box binding protein 1
AGI_HUM1_OLIGO_A_23_P116371	Hs.438040	membrane-spanning 4-domains, subfamily A, member 1
AGI_HUM1_OLIGO_A_23_P109143	Hs.438582	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)
AGI_HUM1_OLIGO_A_23_P25121	Hs.438695	FK506 binding protein 11, 19 kDa
AGI_HUM1_OLIGO_A_23_P147845	Hs.439211	KIAA0251 protein
AGI_HUM1_OLIGO_A_23_P87899	Hs.439530	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4
AGI_HUM1_OLIGO_A_23_P44139	Hs.440603	primase, polypeptide 2A, 58kDa
AGI_HUM1_OLIGO_A_23_P61009	Hs.440603	primase, polypeptide 2A, 58kDa
AGI_HUM1_OLIGO_A_23_P130020	Hs.441503	CGI-48 protein
AGI_HUM1_OLIGO_A_23_P50608	Hs.443831	programmed cell death 5
AGI_HUM1_OLIGO_A_23_P20683	Hs.443866	minor histocompatibility antigen HA-8
AGI_HUM1_OLIGO_A_23_P59426	Hs.443881	PAX transcription activation domain interacting protein 1 like
AGI_HUM1_OLIGO_A_23_P151106	Hs.444499	repressor of estrogen receptor activity
AGI_HUM1_OLIGO_A_23_P75839	Hs.444556	tumor susceptibility gene 101
AGI_HUM1_OLIGO_A_23_P12523	Hs.44585	tumor protein p53 binding protein, 2
AGI_HUM1_OLIGO_A_23_P89249	Hs.446352	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
AGI_HUM1_OLIGO_A_23_P47226	Hs.446445	Yip1 interacting factor homolog (S. cerevisiae)
AGI_HUM1_OLIGO_A_23_P32294	Hs.446534	chromosome 9 open reading frame 10
AGI_HUM1_OLIGO_A_23_P213458	Hs.446567	basic transcription factor 3
AGI_HUM1_OLIGO_A_23_P19938	Hs.446645	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
AGI_HUM1_OLIGO_A_23_P51397	Hs.446693	enabled homolog (Drosophila)
AGI_HUM1_OLIGO_A_23_P112159	Hs.449415	eukaryotic translation initiation factor 2C, 2
AGI_HUM1_OLIGO_A_23_P208961	Hs.454758	melanoma ubiquitous mutated protein
AGI_HUM1_OLIGO_A_23_P72737	Hs.458414	interferon induced transmembrane protein 1 (9-27)
AGI_HUM1_OLIGO_A_23_P811	Hs.458485	interferon, alpha-inducible protein (clone IFI-15K)
AGI_HUM1_OLIGO_A_23_P43095	Hs.458973	zinc finger homeodomain 4
AGI_HUM1_OLIGO_A_23_P60296	Hs.47011	osteoclast stimulating factor 1
AGI_HUM1_OLIGO_A_23_P36408	Hs.487883	ring finger protein 10
AGI_HUM1_OLIGO_A_23_P18392	Hs.496511	protein kinase C, iota
AGI_HUM1_OLIGO_A_23_P252335	Hs.49932	chromosome 21 open reading frame 45
AGI_HUM1_OLIGO_A_23_P92794	Hs.508741	chromosome 5 open reading frame 13
AGI_HUM1_OLIGO_A_23_P161439	Hs.511763	adipose specific 2
AGI_HUM1_OLIGO_A_23_P30338	Hs.514	cyclin H
AGI_HUM1_OLIGO_A_23_P129204	Hs.5337	isocitrate dehydrogenase 2 (NADP+), mitochondrial
AGI_HUM1_OLIGO_A_23_P19944	Hs.5372	claudin 4
AGI_HUM1_OLIGO_A_23_P154235	Hs.54483	N-myc (and STAT) interactor
AGI_HUM1_OLIGO_A_23_P161446	Hs.56845	GDP dissociation inhibitor 2
AGI_HUM1_OLIGO_A_23_P50081	Hs.5753	inositol(myo)-1(or 4)-monophosphatase 2
AGI_HUM1_OLIGO_A_23_P11543	Hs.576	fucosidase, alpha-L- 1, tissue
AGI_HUM1_OLIGO_A_23_P112784	Hs.6111	aryl-hydrocarbon receptor nuclear translocator 2
AGI_HUM1_OLIGO_A_23_P83579	Hs.6111	aryl-hydrocarbon receptor nuclear translocator 2
AGI_HUM1_OLIGO_A_23_P250462	Hs.6551	ATPase, H+ transporting, lysosomal accessory protein 1
AGI_HUM1_OLIGO_A_23_P156687	Hs.69771	B-factor, properdin
AGI_HUM1_OLIGO_A_23_P10121	Hs.7306	secreted frizzled-related protein 1
AGI_HUM1_OLIGO_A_23_P53176	Hs.73769	folate receptor 1 (adult)
AGI_HUM1_OLIGO_A_23_P113221	Hs.74624	protein tyrosine phosphatase, receptor type, N polypeptide 2
AGI_HUM1_OLIGO_A_23_P137525	Hs.75093	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI)
AGI_HUM1_OLIGO_A_23_P200989	Hs.75216	protein tyrosine phosphatase, receptor type, F
AGI_HUM1_OLIGO_A_23_P57306	Hs.75238	chromatin assembly factor 1, subunit B (p60)
AGI_HUM1_OLIGO_A_23_P118142	Hs.75249	ADP-ribosylation factor-like 6 interacting protein
AGI_HUM1_OLIGO_A_23_P13183	Hs.75334	exostoses (multiple) 2
AGI_HUM1_OLIGO_A_23_P129064	Hs.75335	glycine amidinotransferase (L-arginine:glycine amidinotransferase)
AGI_HUM1_OLIGO_A_23_P253524	Hs.75573	centromere protein E, 312kDa
AGI_HUM1_OLIGO_A_23_P138308	Hs.75626	CD58 antigen, (lymphocyte function-associated antigen 3)
AGI_HUM1_OLIGO_A_23_P160148	Hs.76057	galactose-4-epimerase, UDP-
AGI_HUM1_OLIGO_A_23_P132956	Hs.76118	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
AGI_HUM1_OLIGO_A_23_P204406	Hs.76272	retinoblastoma binding protein 2
AGI_HUM1_OLIGO_A_23_P401	Hs.77204	centromere protein F, 350/400ka (mitosin)
AGI_HUM1_OLIGO_A_23_P18452	Hs.77367	chemokine (C-X-C motif) ligand 9
AGI_HUM1_OLIGO_A_23_P152020	Hs.77793	c-src tyrosine kinase
AGI_HUM1_OLIGO_A_23_P163929	Hs.78921	A kinase (PRKA) anchor protein 1
AGI_HUM1_OLIGO_A_23_P206510	Hs.78979	golgi apparatus protein 1
AGI_HUM1_OLIGO_A_23_P28886	Hs.78996	proliferating cell nuclear antigen
AGI_HUM1_OLIGO_A_23_P92441	Hs.79078	MAD2 mitotic arrest deficient-like 1 (yeast)
AGI_HUM1_OLIGO_A_23_P50167	Hs.79136	solute carrier family 39 (metal ion transporter), member 6
AGI_HUM1_OLIGO_A_23_P137057	Hs.79172	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5
AGI_HUM1_OLIGO_A_23_P37727	Hs.80420	chemokine (C-X3-C motif) ligand 1
AGI_HUM1_OLIGO_A_23_P49117	Hs.80420	chemokine (C-X3-C motif) ligand 1
AGI_HUM1_OLIGO_A_23_P147431	Hs.80887	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
AGI_HUM1_OLIGO_A_23_P164235	Hs.80986	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 1
AGI_HUM1_OLIGO_A_23_P143657	Hs.8128	phosphatidylserine decarboxylase
AGI_HUM1_OLIGO_A_23_P110253	Hs.81665	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
AGI_HUM1_OLIGO_A_23_P117852	Hs.81892	KIAA0101 gene product
AGI_HUM1_OLIGO_A_23_P16944	Hs.82109	syndecan 1
AGI_HUM1_OLIGO_A_23_P132718	Hs.82222	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B
AGI_HUM1_OLIGO_A_23_P139134	Hs.82240	syntaxin 3A
AGI_HUM1_OLIGO_A_23_P80098	Hs.82285	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
