Gene symbol	Gene name	Clone ID	Fold change	Gene Specific Factor
C1S	Complement component 1, s subcomponent	85634	3,14	3x3.5Gy, 2hrs
CCNA2	Cyclin A2	814270	0,55	3x3.5Gy, 2hrs
CCND2	Cyclin D2	249688	0,32	3x3.5Gy, 2hrs
CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	204214	0,43	3x3.5Gy, 2hrs
CDCA5	Cell division cycle associated 5	296155	0,59	3x3.5Gy, 2hrs
CDON	Cdon homolog (mouse)	357037	3,30	3x3.5Gy, 2hrs
CGRRF1	Cell growth regulator with ring finger domain 1	455025	1,54	3x3.5Gy, 2hrs
CIR	CBF1 interacting corepressor	154093	1,61	3x3.5Gy, 2hrs
CLIPR-59	CLIP-170-related protein	877638	1,53	3x3.5Gy, 2hrs
CLU	Clusterin	725877	1,67	3x3.5Gy, 2hrs
CNTN1	Contactin 1	51640	1,76	3x3.5Gy, 2hrs
COMT	Catechol-O-methyltransferase	50413	0,59	3x3.5Gy, 2hrs
COTL1	Coactosin-like 1 (Dictyostelium)	325370	0,29	3x3.5Gy, 2hrs
CRYAB	Crystallin, alpha B	839736	2,17	3x3.5Gy, 2hrs
CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	1435624	1,55	3x3.5Gy, 2hrs
CXCL12	Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	784337	3,58	3x3.5Gy, 2hrs
CXCL12	Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	2028984	2,07	3x3.5Gy, 2hrs
DAB2	Disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	203240	1,61	3x3.5Gy, 2hrs
DCBLD2	Discoidin, CUB and LCCL domain containing 2	263200	0,27	3x3.5Gy, 2hrs
DCBLD2	Discoidin, CUB and LCCL domain containing 2	265494	0,34	3x3.5Gy, 2hrs
DEGS1	Degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)	324891	0,31	3x3.5Gy, 2hrs
DEPDC7	DEP domain containing 7	279302	1,51	3x3.5Gy, 2hrs
DIP2C	DIP2 disco-interacting protein 2 homolog C (Drosophila)	454926	1,54	3x3.5Gy, 2hrs
DNMBP	Dynamin binding protein	795379	1,61	3x3.5Gy, 2hrs
DNMT1	DNA (cytosine-5-)-methyltransferase 1	796127	1,65	3x3.5Gy, 2hrs
DOC1	Downregulated in ovarian cancer 1	344139	1,62	3x3.5Gy, 2hrs
EGFR	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	428192	1,60	3x3.5Gy, 2hrs
EMILIN3	Elastin microfibril interfacer 3	342399	1,65	3x3.5Gy, 2hrs
EMP2	Epithelial membrane protein 2	109863	1,65	3x3.5Gy, 2hrs
EPB41L1	Erythrocyte membrane protein band 4.1-like 1	155575	0,42	3x3.5Gy, 2hrs
EZH2	Enhancer of zeste homolog 2 (Drosophila)	770992	0,56	3x3.5Gy, 2hrs
F10	Coagulation factor X	310519	2,24	3x3.5Gy, 2hrs
FABP3	Fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	491559	2,16	3x3.5Gy, 2hrs
FARP2	FERM, RhoGEF and pleckstrin domain protein 2	263906	1,61	3x3.5Gy, 2hrs
FAT4	FAT tumor suppressor homolog 4 (Drosophila)	49465	2,02	3x3.5Gy, 2hrs
FBLN2	Fibulin 2	789012	2,31	3x3.5Gy, 2hrs
FBN1	Fibrillin 1	276523	2,61	3x3.5Gy, 2hrs
FCGRT	Fc fragment of IgG, receptor, transporter, alpha	770394	1,58	3x3.5Gy, 2hrs
FEZ1	Fasciculation and elongation protein zeta 1 (zygin I)	51543	1,73	3x3.5Gy, 2hrs
FHL1	Four and a half LIM domains 1	813266	2,31	3x3.5Gy, 2hrs
FRAS1	Fraser syndrome 1	129320	0,62	3x3.5Gy, 2hrs
GABRE	Gamma-aminobutyric acid (GABA) A receptor, epsilon	209137	1,51	3x3.5Gy, 2hrs
GAS1	Growth arrest-specific 1	365826	1,59	3x3.5Gy, 2hrs
GLI3	GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)	1409764	1,64	3x3.5Gy, 2hrs
GNPAT	Glyceronephosphate O-acyltransferase	841287	1,57	3x3.5Gy, 2hrs
GPR176	G protein-coupled receptor 176	309929	1,70	3x3.5Gy, 2hrs
GSTA2	Glutathione S-transferase A2	82710	1,62	3x3.5Gy, 2hrs
GSTA3	Glutathione S-transferase A3	256907	2,23	3x3.5Gy, 2hrs
GSTM5	Glutathione S-transferase M5	277507	2,53	3x3.5Gy, 2hrs
HAL	Histidine ammonia-lyase	416803	0,55	3x3.5Gy, 2hrs
HIC2	Hypermethylated in cancer 2	66898	1,66	3x3.5Gy, 2hrs
HS3ST3B1	Heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	208027	1,61	3x3.5Gy, 2hrs
IGFBP5	Insulin-like growth factor binding protein 5	45542	0,54	3x3.5Gy, 2hrs
IGFBP5	Insulin-like growth factor binding protein 5	4150826	0,39	3x3.5Gy, 2hrs
IL8	Interleukin 8	549933	2,91	3x3.5Gy, 2hrs
IQCK	IQ motif containing K	1602927	1,86	3x3.5Gy, 2hrs
IQCK	IQ motif containing K	33603	1,55	3x3.5Gy, 2hrs
IRX3	Iroquois homeobox protein 3	154654	1,68	3x3.5Gy, 2hrs
KITLG	KIT ligand	4398209	0,56	3x3.5Gy, 2hrs
KIAA0711	Kelch repeat and BTB (POZ) domain containing 11	384088	1,61	3x3.5Gy, 2hrs
KLF12	Kruppel-like factor 12	34367	0,59	3x3.5Gy, 2hrs
KRR1	KRR1, small subunit (SSU) processome component, homolog (yeast)	325365	0,44	3x3.5Gy, 2hrs
LAMA2	Laminin, alpha 2 (merosin, congenital muscular dystrophy)	471642	2,03	3x3.5Gy, 2hrs
LATS2	LATS, large tumor suppressor, homolog 2 (Drosophila)	782193	1,54	3x3.5Gy, 2hrs
LGMN	Legumain	760298	0,61	3x3.5Gy, 2hrs
LPIN1	Lipin 1	783698	1,87	3x3.5Gy, 2hrs
LRIG3	Leucine-rich repeats and immunoglobulin-like domains 3	293500	2,16	3x3.5Gy, 2hrs
LRRFIP2	Leucine rich repeat (in FLII) interacting protein 2	66390	1,53	3x3.5Gy, 2hrs
LUM	Lumican	813823	4,77	3x3.5Gy, 2hrs
MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	814701	0,47	3x3.5Gy, 2hrs
MAFB	V-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	77193	2,08	3x3.5Gy, 2hrs
MAPK7	Mitogen-activated protein kinase 7	175123	1,72	3x3.5Gy, 2hrs
MFAP4	Microfibrillar-associated protein 4	759163	2,71	3x3.5Gy, 2hrs
MGC17791	Tumor necrosis factor, alpha-induced protein 8-like 1	377641	0,61	3x3.5Gy, 2hrs
MGC33894	Transcript expressed during hematopoiesis 2	196148	1,94	3x3.5Gy, 2hrs
MSC	Musculin (activated B-cell factor-1)	730405	1,52	3x3.5Gy, 2hrs
MT1F	Metallothionein 1F (functional)	245990	0,41	3x3.5Gy, 2hrs
MT1G	Metallothionein 1G	202535	0,42	3x3.5Gy, 2hrs
MT1H	Metallothionein 1H	214162	0,41	3x3.5Gy, 2hrs
MT1M	Metallothionein 1M	129585	0,37	3x3.5Gy, 2hrs
MT1X	Metallothionein 1X	297392	0,42	3x3.5Gy, 2hrs
MTHFD2	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	814615	1,52	3x3.5Gy, 2hrs
MXRA5	Matrix-remodelling associated 5	810224	6,27	3x3.5Gy, 2hrs
NET1	Neuroepithelial cell transforming gene 1	131867	0,49	3x3.5Gy, 2hrs
NF1	Neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	269246	2,57	3x3.5Gy, 2hrs
NFKB1	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	789357	1,87	3x3.5Gy, 2hrs
NNMT	Nicotinamide N-methyltransferase	85840	1,77	3x3.5Gy, 2hrs
NP	Nucleoside phosphorylase	769890	0,45	3x3.5Gy, 2hrs
NR4A3	Nuclear receptor subfamily 4, group A, member 3	190468	1,52	3x3.5Gy, 2hrs
NSE1	Family with sequence similarity 84, member A	283190	1,77	3x3.5Gy, 2hrs
P2RX4	Purinergic receptor P2X, ligand-gated ion channel, 4	42118	1,69	3x3.5Gy, 2hrs
P8	P8 protein (candidate of metastasis 1)	80484	1,60	3x3.5Gy, 2hrs
PAPPA	Pregnancy-associated plasma protein A, pappalysin 1	129112	1,64	3x3.5Gy, 2hrs
PAPPA	Pregnancy-associated plasma protein A, pappalysin 1	123087	1,94	3x3.5Gy, 2hrs
PAPPA	Pregnancy-associated plasma protein A, pappalysin 1	140337	1,62	3x3.5Gy, 2hrs
PBX1	Pre-B-cell leukemia transcription factor 1	137793	1,54	3x3.5Gy, 2hrs
PCDH18	Protocadherin 18	450962	1,64	3x3.5Gy, 2hrs
PCDHB15	Protocadherin beta 15	50403	0,55	3x3.5Gy, 2hrs
PDHX	Pyruvate dehydrogenase complex, component X	279665	1,93	3x3.5Gy, 2hrs
PDIR	Protein disulfide isomerase family A, member 5	772220	1,51	3x3.5Gy, 2hrs
PHGDHL1	Phosphoglycerate dehydrogenase like 1	122150	1,52	3x3.5Gy, 2hrs
PHYH	Phytanoyl-CoA hydroxylase (Refsum disease)	293104	1,60	3x3.5Gy, 2hrs
PIK3R1	Phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	206683	1,51	3x3.5Gy, 2hrs
PLAGL1	Pleiomorphic adenoma gene-like 1	796904	2,50	3x3.5Gy, 2hrs
PLAUR	Plasminogen activator, urokinase receptor	810017	0,54	3x3.5Gy, 2hrs
PLCD1	Phospholipase C, delta 1	154600	2,10	3x3.5Gy, 2hrs
PLEKHQ1	Pleckstrin homology domain containing, family Q member 1	450926	2,09	3x3.5Gy, 2hrs
PPAP2B	Phosphatidic acid phosphatase type 2B	85394	2,17	3x3.5Gy, 2hrs
PPHLN1	Periphilin 1	85206	1,65	3x3.5Gy, 2hrs
PPM1D	Protein phosphatase 1D magnesium-dependent, delta isoform	243882	1,52	3x3.5Gy, 2hrs
PPP1R1A	Protein phosphatase 1, regulatory (inhibitor) subunit 1A	796268	0,43	3x3.5Gy, 2hrs
PRDM2	PR domain containing 2, with ZNF domain	345348	1,54	3x3.5Gy, 2hrs
PRKCBP1	Protein kinase C binding protein 1	814595	0,61	3x3.5Gy, 2hrs
PRKG1	Protein kinase, cGMP-dependent, type I	854401	1,83	3x3.5Gy, 2hrs
PRR5	Proline rich 5 (renal)	142134	1,77	3x3.5Gy, 2hrs
