Affymetrix Gene ID	Entrez Gene Name	Full Gene Name	Contrast Analysis	2 Month A	2 Month B	6 Month A	6 Month B	12 Month A	12 Month B	21 Month A	21 Month B
1451185_at	1110005L13Rik	RIKEN cDNA 1110005L13 gene	15.41	7.44	7.13	7.22	7.09	5.07	6.71	4.24	4.46
1424040_at	BC019977	cDNA sequence BC019977	15.36	6.51	6.92	6.98	6.49	5.79	5.74	5.33	5.31
1429247_at	Anxa6	annexin A6	15.31	8.97	8.88	7.76	8.18	6.63	7.85	4.59	4.99
1423690_s_at	Gpsm1	G-protein signalling modulator 1 (AGS3-like, C. elegans)	15.3	6.28	6.23	5.63	5.68	4.12	5.23	4.01	4.26
1424745_at	2900006B13Rik	RIKEN cDNA 2900006B13 gene	15.22	7.66	7.64	7.25	7.29	6.78	7.32	6.38	6.29
1455198_a_at	Ppp2r3a	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha	15.11	7.01	7.14	6.56	6.53	5.83	6.8	5.51	5.6
1438058_s_at	Ptov1	prostate tumor over expressed gene 1	15.01	9.37	10.22	9.66	9.35	8.77	8.68	7.93	7.85
1448511_at	Ptprcap	protein tyrosine phosphatase, receptor type, C polypeptide-associated protein	15	8.81	8.87	8.52	8.56	8.08	8.02	7.89	7.51
1453725_a_at	Mrps7	mitchondrial ribosomal protein S7	14.92	9.13	9.21	8.98	8.84	7.98	8.44	7.53	7.66
1423616_at	Tarbp2	TAR (HIV) RNA binding protein 2	14.9	9.13	9.16	8.98	8.99	8.28	8.3	7.61	7.72
1439269_x_at	Mcm7	minichromosome maintenance deficient 7 (S. cerevisiae)	14.89	9.51	9.33	9.26	9.11	7.99	8.86	7.48	7.45
1459908_at	9130415E20Rik	RIKEN cDNA 9130415E20 gene	14.85	9.49	9.33	9.1	9.29	6.97	8.8	7.46	7.37
1448472_at	Vars2	valyl-tRNA synthetase 2	14.83	7.71	7.94	7.62	7.26	7.04	7.26	6.12	6.16
1448618_at	Mvp	major vault protein	14.72	6.74	7.47	6.99	6.38	5.32	5.58	4.93	4.94
1449934_at	Pura	purine rich element binding protein A	14.69	11.29	11.61	11.1	10.88	9.46	10.41	8.44	8.7
1417230_at	4921528G01Rik	RIKEN cDNA 4921528G01 gene	14.61	5.68	5.8	5.02	5.69	4.65	4.62	4.67	4.66
1450862_at	Rad54l	RAD54 like (S. cerevisiae)	14.59	8.01	7.97	6.94	7.53	6.92	6.95	6.86	6.42
1425736_at	Cd37	CD37 antigen	14.48	7.13	6.98	6.42	6.02	4.9	5.54	4.13	4.34
1415681_at	Mrpl43	mitochondrial ribosomal protein L43	14.45	8.65	8.7	8	7.62	7.1	7.07	6.51	7.07
1417718_at	Eif3s4	eukaryotic translation initiation factor 3, subunit 4 (delta)	14.42	12.51	12.66	12.44	12.37	10.74	11.62	10.45	10.25
1437013_x_at	Atp6v0b	ATPase, H+ transporting, V0 subunit B	14.39	10.93	10.85	10.3	10.45	9.92	10.61	9.73	9.73
1430164_a_at	Grb10	growth factor receptor bound protein 10	14.38	8.31	8.21	7.72	7.53	5.52	8.11	5.74	5.89
1424311_at	2810407E01Rik	RIKEN cDNA 2810407E01 gene	14.22	9.91	10.4	10.11	9.71	8.57	9.08	8.18	8.06
1451128_s_at	Kif22	kinesin family member 22	14.21	8.33	8.47	8.42	8.23	7.22	7.93	6.08	5.82
1427013_at	Car9	carbonic anhydrase 9	14.15	6.42	6.42	5.5	6.49	5.71	5.78	4.95	4.7
1418721_at	Cops7b	COP9 (constitutive photomorphogenic) homolog, subunit 7b (Arabidopsis thaliana)	14.1	11.04	11.07	10.01	10.28	8.71	10.39	8.46	8.25
1452169_a_at	Dgkz	diacylglycerol kinase zeta	14.09	12.19	12.17	11.95	11.87	11.36	12.44	10.38	10.54
1427006_at	Rapgef1	Rap guanine nucleotide exchange factor (GEF) 1	14.08	8.97	8.91	8.63	8.66	8.86	8.59	7.2	7.25
1452730_at	1110033J19Rik	RIKEN cDNA 1110033J19 gene	14.07	2.91	3.96	3.91	3.4	2.81	2.93	2.21	2.11
1419287_at	1700006C06Rik	RIKEN cDNA 1700006C06 gene	14.04	10.53	10.59	10.2	10.29	8.9	9.54	8.85	8.62
1448801_a_at	Timm44	translocator of inner mitochondrial membrane 44	13.99	9.59	9.57	9.44	9.68	8.62	9.26	8.08	7.99
1439371_x_at	Timm44	translocator of inner mitochondrial membrane 44	13.91	8.17	8.03	8.34	8.53	7.37	8.24	6.94	6.88
1451700_a_at	1110007L15Rik	RIKEN cDNA 1110007L15 gene	13.88	8.61	8.58	8.31	8.13	7.14	7.98	6.69	6.54
1416843_at	Pde6d	phosphodiesterase 6D, cGMP-specific, rod, delta	13.85	5.69	6.22	5.75	7.04	4.66	5.09	4.76	4.74
1435613_x_at	Cox5b	cytochrome c oxidase, subunit Vb	13.82	12	11.92	11.51	11.32	9.7	11.97	9.85	9.74
1457675_at	2510002D24Rik	RIKEN cDNA 2510002D24 gene	13.75	8.12	8.05	7.89	7.46	6.33	7.07	6.45	6.43
1416007_at	Satb1	special AT-rich sequence binding protein 1	13.75	6.87	6.84	6.13	6.61	7.14	6.28	5.75	5.81
1436494_x_at	D8Ertd812e	DNA segment, Chr 8, ERATO Doi 812, expressed	13.6	10.19	10.19	9.85	9.44	9.67	10.05	9.03	8.98
1448874_a_at	Sh2bpsm1	SH2-B PH domain containing signaling mediator 1	13.57	8.87	8.92	8.49	8.48	7.55	8.83	7.5	7.4
1452313_at	5930416I19Rik	RIKEN cDNA 5930416I19 gene	13.55	9.9	10	9.49	9.34	8.3	9.58	8.16	8.04
1427895_at	2310004N24Rik	RIKEN cDNA 2310004N24 gene	13.49	6.75	6.36	7	6.34	5.98	5.99	5.6	5.53
1419573_a_at	Lgals1	lectin, galactose binding, soluble 1	13.42	9.78	9.49	8.06	7.62	5.78	8.08	6.06	6.15
1454738_x_at	Pex6	peroxisomal biogenesis factor 6	13.38	9.39	9	8.75	8.55	8.2	8.99	7.32	7.17
1423813_at	Kif22	kinesin family member 22	13.35	6.08	7.18	6.33	6.55	5.19	4.13	4.27	3.99
1416831_at	Neu1	neuraminidase 1	13.34	4.81	5.97	5.06	5.71	4.39	4.48	3.79	3.83
1430417_s_at	BC023037	cDNA sequence BC023037	13.33	8.27	8.14	7.35	7.82	7.3	7.46	5.53	5.85
1437432_a_at	Trim12	tripartite motif protein 12	13.26	8.83	8.9	9.37	8.81	8.38	8.68	7.65	7.62
1417039_a_at	2510004L20Rik	RIKEN cDNA 2510004L20 gene	13.25	8.45	8.88	8.08	8.13	7.58	8.01	6.8	6.66
1428122_s_at	2610528K11Rik	RIKEN cDNA 2610528K11 gene	13.24	8.16	7.94	7.76	7.86	7.22	7.8	6.41	6.37
1453307_a_at	Anapc5	anaphase-promoting complex subunit 5	13.15	9.2	9.28	8.98	9.05	7.2	8.2	6.42	7.27
1436172_at	9530028C05	hypothetical protein 9530028C05	13.14	11.28	11.2	11.02	10.79	10.35	10.59	9.84	9.88
1460709_a_at	Bat5	HLA-B associated transcript 5	13.11	9.88	9.91	9.71	9.64	8.49	9.83	8.55	8.49
1425098_at	Zfp106	zinc finger protein 106	13.04	6.64	7.11	5.96	5.64	5.44	6.78	4.76	4.78
1455439_a_at	Lgals1	lectin, galactose binding, soluble 1	13.01	11.24	11.23	9.78	9.33	7.78	10.26	8.19	7.93
1449618_s_at	2900092E17Rik	RIKEN cDNA 2900092E17 gene	12.99	9.49	9.56	9.06	9.25	8.1	9.06	7.89	7.84
1438802_at	Foxp1	forkhead box P1	12.85	10.9	10.57	10.19	9.82	9.24	11.09	8.02	8.28
1433684_at	na	similar to hypothetical protein FLJ11749	12.82	7.02	7.18	6.48	6.73	5.58	6.46	5.07	5.01
1416788_a_at	Idh3g	isocitrate dehydrogenase 3 (NAD+), gamma	12.71	12.27	12.36	12.06	12.4	11.73	11.79	11.17	10.97
1416218_x_at	Rpl37a	ribosomal protein L37a	12.62	9.1	9.16	8.86	8.76	6.77	8.98	7.52	7.39
1423370_a_at	AI463719	expressed sequence AI463719	12.58	8.35	8.94	8.54	8.39	8.02	8.07	7.36	7.3
1416999_at	Smpd2	sphingomyelin phosphodiesterase 2, neutral	12.56	9.19	8.98	8.78	8.84	7.94	8.51	7.5	7.61
1427803_at	Y17678	NA	12.55	5.34	5.73	4.21	4.4	3.24	3.5	3.53	3.51
1426407_at	1600010O03Rik	RIKEN cDNA 1600010O03 gene	12.54	12.57	12.69	12.49	12.24	10.26	12.51	10.35	10.42
1423998_at	Gtf3c5	general transcription factor IIIC, polypeptide 5	12.51	7.75	7.76	7.66	8.15	6.18	7.58	6.17	6.09
1431832_x_at	Pmscl2	polymyositis/scleroderma autoantigen 2	12.5	8.26	8.2	7.94	7.53	6.6	7.12	5.73	6.01
1423302_a_at	Paxip1	PAX interacting (with transcription-activation domain) protein 1	12.5	8.59	8.76	7.92	7.96	7.34	8.8	7.41	7.4
1417516_at	Ddit3	DNA-damage inducible transcript 3	12.49	9.5	9.61	9.91	9.21	7.67	9	7.55	7.43
1449116_a_at	Dtymk	deoxythymidylate kinase	12.46	7.87	7.82	7.43	7.34	6.66	6.94	6.8	6.7
1416616_s_at	Clpp	caseinolytic protease, ATP-dependent, proteolytic subunit homolog (E. coli)	12.44	9.29	9.66	9.68	9.25	8.4	8.67	7.76	7.53
1420404_at	Cd86	CD86 antigen	12.42	9.29	8.03	8.22	8.45	7.83	7.99	6.03	5.76
1438416_at	Thrap5	thyroid hormone receptor associated protein 5	12.38	8.32	8.05	7.65	7.23	6.94	7.88	6.4	6.53
1427720_a_at	Nnp1	novel nuclear protein 1	12.38	9.96	10.48	10.48	10.66	10.25	9.66	9.22	9.29
1425760_a_at	Pitpnm	phosphatidylinositol membrane-associated	12.38	8.2	8.48	7.93	7.26	6.86	8.52	5.68	5.73
1421971_a_at	Mrps34	mitochondrial ribosomal protein S34	12.36	8.23	8.2	7.96	8.02	7.42	7.71	6.89	6.6
1418521_a_at	Mtx1	metaxin 1	12.24	9.68	9.61	9.53	9.26	8.48	9.03	8.27	8.19
1425684_at	2310005E10Rik	RIKEN cDNA 2310005E10 gene	12.23	11.1	10.82	10.43	10.83	9.51	10.09	8.66	8.55
1433890_a_at	Bat3	HLA-B-associated transcript 3	12.19	8.2	8.26	8.03	8.27	7.55	8	6.79	6.83
1448351_at	Coro1b	coronin, actin binding protein 1B	12.18	8.55	8.38	8.37	8.53	7.99	8.03	7.23	6.91
1451234_at	BC021381	cDNA sequence BC021381	12.18	9.17	9.48	8.62	8.6	7.97	9.12	6.77	6.97
1421800_at	Phxr1	per-hexamer repeat gene 1	12.16	8.42	8.45	8.65	8.54	6.83	8.51	7	7.15
1438857_x_at	Irak1	interleukin-1 receptor-associated kinase 1	12.15	11.51	11.29	10.5	10.18	9.89	11.59	9.15	9.03
1434363_x_at	Paxip1	PAX interacting (with transcription-activation domain) protein 1	12.1	8.63	8.38	8.1	8.01	7.35	8.31	6.82	6.93
1423507_a_at	Sirt2	sirtuin 2 (silent mating type information regulation 2, homolog) 2 (S. cerevisiae)	12.07	8.59	8.66	8.45	7.9	7.99	8.55	7.48	7.47
1452359_at	AA536743	expressed sequence AA536743	12	9.74	10	9.07	9.57	9.23	9.47	8.75	8.69
1438318_x_at	1500001L15Rik	RIKEN cDNA 1500001L15 gene	12	13.18	13.18	12.93	12.89	11.93	12.74	11.99	11.85
1449947_s_at	Atbf1	AT motif binding factor 1	11.98	8.59	8.39	8.09	8.01	6.03	8.37	6.07	6.27
1424313_a_at	Ndufs7	NADH dehydrogenase (ubiquinone) Fe-S protein 7	11.93	11.67	11.59	11.14	11.07	10.6	11.3	10.39	10.28
1419281_a_at	Zfp259	zinc finger protein 259	11.92	9.2	9.17	9.25	9.38	8.2	8.87	8.19	8.22
1418233_a_at	Trappc5	trafficking protein particle complex 5	11.89	7.39	7.11	7.06	6.75	6.13	6.35	5.79	5.75
1416834_x_at	Ndufb2	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2	11.86	8.72	8.37	7.84	7.56	7.24	8.26	7.02	6.89
1451338_at	Nisch	nischarin	11.82	7.15	6.86	6.04	6.79	6.42	6.85	5.71	5.74
1416708_a_at	D7Bwg0611e	DNA segment, Chr 7, Brigham & Womens Genetics 0611 expressed	11.81	11	11.15	10.73	10.19	10.08	10.64	9.27	9.46
1434648_a_at	Ccm2	cerebral cavernous malformation 2 homolog (human)	11.8	11.09	11.26	10.64	10.73	9.63	11.15	9.63	9.55
1448010_at	A430104N18Rik	RIKEN cDNA A430104N18 gene	11.79	10.92	10.77	10.59	11.25	8.78	9.58	8.57	8.38
1417474_at	1500035H01Rik	RIKEN cDNA 1500035H01 gene	11.78	8.97	8.9	8.76	8.46	7.87	8.75	7.28	7.23
1449738_s_at	2310032N20Rik	RIKEN cDNA 2310032N20 gene	11.76	10.3	10.22	10.17	10.04	9.33	10.79	8.32	8.55
1429302_at	Csnk2a2	casein kinase II, alpha 2, polypeptide	11.75	10.44	10.43	10.32	10.08	8.61	9.8	8.76	8.55
1438320_s_at	Mcm7	minichromosome maintenance deficient 7 (S. cerevisiae)	11.73	12.97	12.9	12.62	12.53	11.72	12.76	11.25	10.96
1436097_x_at	AU043488	expressed sequence AU043488	11.71	10.12	10.07	9.74	10.79	9.39	9.46	9.05	8.78
1437519_x_at	Hagh	hydroxyacyl glutathione hydrolase	11.71	8.44	8.49	8.44	8.28	6.96	8.27	7.05	7.12
1428182_at	5730409F23Rik	RIKEN cDNA 5730409F23 gene	11.7	11.19	11.4	11.37	11.24	9.72	10.67	9.74	9.84
1451866_a_at	Hgf	hepatocyte growth factor	11.66	7.13	7.13	6.49	6.38	6.13	6.45	6.09	6.02
1434518_at	Phka2	phosphorylase kinase alpha 2	11.66	9.4	9.32	9.29	9.35	8.2	9.7	7.01	7.36
1426022_a_at	Villp	villin-like protein	11.63	7.91	7.97	7.65	7.83	6.44	7.12	6.25	5.92
1438206_a_at	2610042O14Rik	RIKEN cDNA 2610042O14 gene	11.63	9.11	9.26	9.26	8.73	7.7	8.42	7.43	7.5
1451483_s_at	1700054N08Rik	RIKEN cDNA 1700054N08 gene	11.62	5.37	5.07	4.4	4.47	3.93	4.55	3.97	3.87
1451554_a_at	6530402N02Rik	RIKEN cDNA 6530402N02 gene	11.56	9.11	9.2	8.19	8.1	7.42	8.15	6.88	7.19
1427150_at	Mll3	myeloid/lymphoid or mixed-lineage leukemia 3	11.54	10.15	10.34	10.21	10.11	7.49	10.7	8.15	8.31
1435734_x_at	1110032N12Rik	RIKEN cDNA 1110032N12 gene	11.53	10.01	10.12	9.83	9.53	8.89	9.98	8.26	8.29
1416945_at	Ptov1	prostate tumor over expressed gene 1	11.52	9.87	10.26	9.57	9.31	8.36	9.14	7.47	7.51
1419701_s_at	2700067D09Rik	RIKEN cDNA 2700067D09 gene	11.46	8.66	8.74	8.3	7.99	7.54	8.72	7.23	7.08
1448685_at	2900010M23Rik	RIKEN cDNA 2900010M23 gene	11.46	8.13	7.97	7.49	7.4	6.09	8.44	6.26	6.09
1418594_a_at	Ncoa1	nuclear receptor coactivator 1	11.44	8.89	8.85	8.76	8.34	8.08	9.08	7.16	7.3
1417097_at	Nrbf1	nuclear receptor binding factor 1	11.43	7.04	7.15	7.29	6.81	5.67	6.68	5.12	5.07
1424285_s_at	Arl6ip4	ADP-ribosylation factor-like 6 interacting protein 4	11.42	10.72	10.95	10.79	10.74	10.19	9.81	9.44	9.32
1424492_at	Trpc2	transient receptor potential cation channel, subfamily C, member 2	11.4	8.39	8.32	8.24	8.08	7.6	8.11	7.06	7.15
1424555_at	9430015G10Rik	RIKEN cDNA 9430015G10 gene	11.38	6.78	6.77	6.8	6.92	6.44	6.38	5.82	5.66
1428787_at	4930568P13Rik	RIKEN cDNA 4930568P13 gene	11.35	6.9	7.07	6.29	6.8	6.45	6.34	5.9	5.78
1429800_at	9130221H12Rik	RIKEN cDNA 9130221H12 gene	11.31	7.05	6.89	7.24	6.29	6.2	6.57	5.01	5.02
1426874_at	BC022641	cDNA sequence BC022641	11.3	9.14	9.22	8.9	8.67	7.68	9.22	7.2	6.99
1423938_at	Llglh2	lethal giant larvae homolog 2	11.29	5.15	5.6	4.75	4.66	4.39	5.64	3.95	3.99
1434148_at	Tcf4	transcription factor 4	11.26	10.68	10.69	10.32	10.39	8.26	11.14	9.48	9.43
1451139_at	Slc39a4	solute carrier family 39 (zinc transporter), member 4	11.25	6.55	6.85	6.11	6.59	5.96	5.83	5.15	5.06
1417698_at	C76800	expressed sequence C76800	11.25	10.77	11.35	11.43	10.82	9.06	10.31	9.08	9.03
1452350_at	4432404P07Rik	RIKEN cDNA 4432404P07 gene	11.25	9.26	9.33	9.47	9.1	7.57	8.94	8.14	8.11
1416016_at	Tap1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	11.23	9.48	9.48	9.16	9.47	8.92	8.95	8.55	7.78
1424646_at	Urkl1	uridine kinase-like 1	11.22	8.3	7.88	8.14	8.68	7.74	7.39	7.2	7.16
1422486_a_at	Madh4	MAD homolog 4 (Drosophila)	11.22	13.07	12.85	12.5	12.55	11.13	12.55	11.39	11.44
1426028_a_at	Cit	citron	11.21	6.47	6.92	5.27	5.43	4.65	5.59	4.01	4.18
1437716_x_at	Kif22	kinesin family member 22	11.19	10.69	10.93	10.55	10.55	9.24	10.66	8.79	8.94
1451178_at	Mrpl53	mitochondrial ribosomal protein L53	11.15	8.68	8.54	8.2	8.12	7.12	7.49	7.22	6.55
1416863_at	Abhd8	abhydrolase domain containing 8	11.15	4.71	4.83	4.73	4.57	4.53	4.61	3.61	3.74
1417931_at	Ndst2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	11.14	8.65	8.86	8.51	8.65	7.93	8.93	6.91	7.12
1455694_at	BC042396	cDNA sequence BC042396	11.14	8.71	8.66	7.97	8.43	6.92	8.9	5.91	6.08
1417452_a_at	Fau	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived)	11.11	12.58	12.78	12.57	11.84	12.29	12.89	11.63	11.57
1426738_at	Dgkz	diacylglycerol kinase zeta	11.11	8.03	7.93	7.93	8.06	7.81	8.11	6.77	6.89
1424806_s_at	1110039B18Rik	RIKEN cDNA 1110039B18 gene	11.09	7.3	7.36	6.81	6.65	6.51	7.57	6.19	6.17
1424656_s_at	Usp19	ubiquitin specific protease 19	11.08	10.4	10.04	9.77	9.99	9.65	9.74	8.87	8.97
1448921_a_at	Mrps9	mitochondrial ribosomal protein S9	11.01	10.07	9.94	9.56	9.72	9.29	9.83	9.01	8.94
1417252_at	Nt5c	5,3-nucleotidase, cytosolic	11.01	10.02	10.02	9.66	9.11	8.3	9.44	7.86	7.83
1427146_at	AI790298	expressed sequence AI790298	10.93	8.47	8.48	8.29	8.32	7.88	8.22	6.72	7.17
1416008_at	Satb1	special AT-rich sequence binding protein 1	10.88	9.91	10.42	9.58	10.33	8.18	8.96	7.84	7.77
1422788_at	Slc43a3	solute carrier family 43, member 3	10.86	8.33	8.45	7.59	8.25	7.74	8.49	6.83	6.62
1425616_a_at	2410005K17Rik	RIKEN cDNA 2410005K17 gene	10.86	9	9.17	8.32	8.21	7.4	8.23	7.58	7.37
1422849_a_at	Pabpn1	poly(A) binding protein, nuclear 1	10.84	14.74	14.72	14.24	14.64	14.11	14.76	13.55	13.6
1425201_a_at	6430559E15Rik	RIKEN cDNA 6430559E15 gene	10.83	8.79	8.34	8.38	8.7	7.33	7.63	7.28	7.25
1424802_a_at	3300001P08Rik	RIKEN cDNA 3300001P08 gene	10.81	13.62	13.61	13.42	13.34	12.44	13.38	12.39	12.49
1424991_s_at	Tyms	thymidylate synthase	10.81	7.54	7.47	7.18	7.6	6.89	6.78	7.03	6.19
1426804_at	Smarca4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	10.8	9.67	10.21	9.87	9.85	9.02	9.56	8.32	8.38
1453473_a_at	Tctex1	t-complex testis expressed 1	10.79	11.02	10.99	10.44	10.42	9.2	10.22	9.13	8.63
1434119_at	D2Wsu81e	DNA segment, Chr 2, Wayne State University 81, expressed	10.77	6.07	6	6.01	6.4	5.98	6.22	4.54	4.71
1423960_at	Grcc3f	gene rich cluster, C3f gene	10.76	8.56	8.68	7.99	8.35	7.68	7.8	7.38	7.56
1423907_a_at	Ndufs8	NADH dehydrogenase (ubiquinone) Fe-S protein 8	10.75	11.62	11.6	11.92	11.16	9.45	10.94	9.04	8.77
1419803_s_at	2700094L05Rik	RIKEN cDNA 2700094L05 gene	10.72	10.67	10.65	10.2	10.18	8.88	10.03	9.02	8.62
1448811_at	Mrpl2	mitochondrial ribosomal protein L2	10.69	8.86	8.9	8.9	8.82	8.32	8.33	8	7.63
1437423_a_at	Sra1	steroid receptor RNA activator 1	10.69	8.55	8.57	8.65	8.13	7.54	7.68	7.48	7.68
1449221_a_at	Rrbp1	ribosome binding protein 1	10.68	9.77	9.86	9.67	9.61	7.93	9.81	8.64	8.65
1454732_at	6430517J16Rik	RIKEN cDNA 6430517J16 gene	10.68	7.97	8.1	7.44	7.15	7.05	7.68	6.43	6.32
1426515_a_at	Dyt1	dystonia 1	10.67	8.88	9.29	8.67	8.67	7.21	8.39	7.25	7.21
