UniqueID	Acc	UGCluster	Name	Symbol	0_A	Transplanted tumors_Average	fold diff 0/Tr
AGI_MM_OLIGO_A_51_P228765	NM_011409	Mm.290922	Schlafen 3	Slfn3	1.18	5.61	0.21
AGI_MM_OLIGO_A_51_P358700	NM_146902	Mm.330377	Olfactory receptor 1221	Olfr1221	2.94	13.42	0.22
AGI_MM_OLIGO_A_51_P509264	NM_010455	Mm.294826	Homeo box A7	Hoxa7	0.11	0.51	0.22
AGI_MM_OLIGO_A_51_P466709	NM_010642	Mm.5193	Kallikrein 1-related petidase b26	Klk1b26	0.42	1.90	0.22
AGI_MM_OLIGO_A_51_P445683	NM_133732	Mm.261842	RIKEN cDNA 4931406C07 gene	4931406C07Rik	1.75	7.88	0.22
AGI_MM_OLIGO_A_51_P506356	NM_026316	Mm.109341	Aldehyde dehydrogenase 3 family, member B1	Aldh3b1	0.56	2.51	0.22
AGI_MM_OLIGO_A_51_P280455	ENSMUST00000006171	Data not found			0.48	2.12	0.22
AGI_MM_OLIGO_A_51_P374376	NM_146283	Mm.377411	Olfactory receptor 1366	Olfr1366	1.32	5.83	0.23
AGI_MM_OLIGO_A_51_P301007	NM_029299	Mm.45824	Spermatogenesis associated 19	Spata19	1.00	4.35	0.23
AGI_MM_OLIGO_A_51_P516006	AK018789	Mm.130054	Neurotrophic tyrosine kinase, receptor, type 2	Ntrk2	0.50	2.11	0.24
AGI_MM_OLIGO_A_51_P371377	NM_133772	Mm.6667	Single stranded DNA binding protein 4	Ssbp4	0.36	1.47	0.24
AGI_MM_OLIGO_A_51_P268068	X80339	Mm.4645	Sine oculis-related homeobox 1 homolog (Drosophila)	Six1	0.15	0.62	0.25
AGI_MM_OLIGO_A_51_P262401	BC024571	Mm.225096	Integrin alpha 6	Itga6	0.65	2.64	0.25
AGI_MM_OLIGO_A_51_P326439	NM_009802	Mm.232523	Carbonic anhydrase 6	Car6	0.12	0.47	0.25
AGI_MM_OLIGO_A_51_P241101					1.09	4.39	0.25
AGI_MM_OLIGO_A_51_P458568					0.46	1.86	0.25
AGI_MM_OLIGO_A_51_P222153	NM_009419	Mm.250631	Protein-tyrosine sulfotransferase 2	Tpst2	1.16	4.67	0.25
AGI_MM_OLIGO_A_51_P210510	NM_010097	Mm.29027	SPARC-like 1 (mast9, hevin)	Sparcl1	0.10	0.40	0.25
AGI_MM_OLIGO_A_51_P156108	NM_018827	Mm.335584	Cytokine receptor-like factor 1	Crlf1	1.04	4.13	0.25
AGI_MM_OLIGO_A_51_P321126	NM_007988	Mm.236443	Fatty acid synthase	Fasn	0.21	0.82	0.26
AGI_MM_OLIGO_A_51_P212420	NM_010681	Mm.258065	Laminin, alpha 4	Lama4	0.20	0.75	0.26
AGI_MM_OLIGO_A_51_P220681	NM_009657	Mm.7729	Aldolase 3, C isoform	Aldoc	2.18	8.34	0.26
AGI_MM_OLIGO_A_51_P222353	NM_133918	Mm.286375	Elastin microfibril interfacer 1	Emilin1	0.27	1.03	0.26
AGI_MM_OLIGO_A_51_P263983	NM_146908	Mm.389381	Olfactory receptor 1280	Olfr1280	1.23	4.64	0.26
AGI_MM_OLIGO_A_51_P103237	NM_015755	Mm.125874	Hormonally upregulated Neu-associated kinase	Hunk	0.76	2.82	0.27
AGI_MM_OLIGO_A_51_P270834	M63650	Mm.3280	Twist gene homolog 1 (Drosophila)	Twist1	0.18	0.66	0.27
AGI_MM_OLIGO_A_51_P126998	NM_009621	Mm.1421	A disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	Adamts1	0.85	3.05	0.28
AGI_MM_OLIGO_A_51_P393426	NM_011173	Mm.127156	Protein S (alpha)	Pros1	1.56	5.44	0.29
AGI_MM_OLIGO_A_51_P451377	NM_023125	Mm.2160	Kininogen 1	Kng1	0.02	0.08	0.29
AGI_MM_OLIGO_A_51_P381047	BC026581	Mm.196580	Ubiquitin-conjugating enzyme E2M (UBC12 homolog, yeast)	Ube2m	0.70	2.40	0.29
AGI_MM_OLIGO_A_51_P490137	NM_011896	Mm.330986	Sprouty homolog 1 (Drosophila)	Spry1	0.52	1.77	0.29
AGI_MM_OLIGO_A_51_P235945	NM_017370	Mm.26730	Haptoglobin	Hp	0.18	0.62	0.29
AGI_MM_OLIGO_A_51_P485318	BC058589	Mm.389334	Damage specific DNA binding protein 2	Ddb2	1.80	6.11	0.29
AGI_MM_OLIGO_A_51_P223143	AF100425	Mm.426080	Adducin 3 (gamma)	Add3	0.75	2.55	0.30
AGI_MM_OLIGO_A_51_P202911	NM_026820	Mm.175661	Interferon induced transmembrane protein 1	Ifitm1	0.21	0.70	0.30
AGI_MM_OLIGO_A_51_P390239	NM_032396	Mm.209989	Kringle containing transmembrane protein 1	Kremen1	1.58	5.24	0.30
AGI_MM_OLIGO_A_51_P439248	NM_008625	Mm.2019	Mannose receptor, C type 1	Mrc1	0.14	0.47	0.30
AGI_MM_OLIGO_A_51_P454008	NM_008489	Mm.218846	Lipopolysaccharide binding protein	Lbp	1.20	3.94	0.31
AGI_MM_OLIGO_A_51_P493987	NM_021509	Mm.285934	Monooxygenase, DBH-like 1	Moxd1	2.12	6.93	0.31
AGI_MM_OLIGO_A_51_P119760	NM_010378	Mm.235338	Histocompatibility 2, class II antigen A, alpha	H2-Aa	1.00	3.24	0.31
AGI_MM_OLIGO_A_51_P508902					0.66	2.10	0.31
AGI_MM_OLIGO_A_51_P267278	NM_021301	Mm.281804	Solute carrier family 15 (H+/peptide transporter), member 2	Slc15a2	1.00	3.17	0.31
AGI_MM_OLIGO_A_51_P243463	AK020023	Mm.361880	RIKEN cDNA 5830471E12 gene	5830471E12Rik	0.33	1.02	0.32
AGI_MM_OLIGO_A_51_P495000	NM_025872	Mm.3676	Golgi transport 1 homolog B (S. cerevisiae)	Golt1b	0.68	2.07	0.33
AGI_MM_OLIGO_A_51_P499201	NM_008723	Mm.1406	Nucleoplasmin 3	Npm3	1.24	3.76	0.33
AGI_MM_OLIGO_A_51_P416749	AB041804	Mm.389786	Coiled-coil domain containing 106	Ccdc106	2.17	6.56	0.33
AGI_MM_OLIGO_A_51_P343689	NM_028122	Mm.33832	Solute carrier family 14 (urea transporter), member 1	Slc14a1	0.36	1.08	0.34
AGI_MM_OLIGO_A_51_P262759	NM_007631	Mm.273049	Cyclin D1	Ccnd1	0.48	1.41	0.34
AGI_MM_OLIGO_A_51_P347312	BC019747	Mm.28013	Opioid growth factor receptor-like 1	Ogfrl1	2.64	7.73	0.34
AGI_MM_OLIGO_A_51_P372172	NM_009384	Mm.124100	T-cell lymphoma invasion and metastasis 1	Tiam1	0.57	1.67	0.34
AGI_MM_OLIGO_A_51_P479029	NM_022413	Mm.296889	Transient receptor potential cation channel, subfamily V, member 6	Trpv6	1.00	2.89	0.35
AGI_MM_OLIGO_A_51_P258620	NM_029391	Mm.262447	RAB4B, member RAS oncogene family	Rab4b	1.75	5.03	0.35
AGI_MM_OLIGO_A_51_P110643	NM_010640	Mm.5193	Kallikrein 1-related petidase b26	Klk1b26	0.70	1.98	0.35
AGI_MM_OLIGO_A_51_P212956	NM_020576	Mm.34201	Psoriasis susceptibility 1 candidate 2 (human)	Psors1c2	1.74	4.92	0.35
AGI_MM_OLIGO_A_51_P371279	NM_017480	Mm.42044	Inducible T-cell co-stimulator	Icos	1.47	4.11	0.36
AGI_MM_OLIGO_A_51_P182131	NM_001033304	Mm.316890	RIKEN cDNA 5330417C22 gene	5330417C22Rik	1.13	3.14	0.36
AGI_MM_OLIGO_A_51_P369338	NM_146868	Mm.377728	Olfactory receptor 894	Olfr894	5.33	14.72	0.36
AGI_MM_OLIGO_A_51_P485405	AK005675	Mm.325325	RIKEN cDNA 1700006H03 gene	1700006H03Rik	2.76	7.61	0.36
AGI_MM_OLIGO_A_51_P426677	NM_025403	Mm.272346	Nucleolar protein family A, member 3	Nola3	0.50	1.35	0.37
AGI_MM_OLIGO_A_51_P195958	NM_010929	Mm.173813	Notch gene homolog 4 (Drosophila)	Notch4	3.34	9.00	0.37
AGI_MM_OLIGO_A_51_P377526	NM_009293	Mm.423011	Steroid sulfatase	Sts	0.41	1.09	0.37
AGI_MM_OLIGO_A_51_P279100	NM_008969	Mm.275434	Prostaglandin-endoperoxide synthase 1	Ptgs1	1.05	2.80	0.37
AGI_MM_OLIGO_A_51_P207601	NM_009701	Mm.45580	Aquaporin 5	Aqp5	5.42	14.42	0.38
AGI_MM_OLIGO_A_51_P450839	NM_027307	Mm.171335	Golgi phosphoprotein 2	Golph2	1.28	3.40	0.38
AGI_MM_OLIGO_A_51_P256827	NM_013650	Mm.21567	S100 calcium binding protein A8 (calgranulin A)	S100a8	0.67	1.78	0.38
AGI_MM_OLIGO_A_51_P126959	NM_053219	Mm.377143	Vomeronasal 1 receptor, A4	V1ra4	1.34	3.54	0.38
AGI_MM_OLIGO_A_51_P304397	BC100404	Mm.339332	Carboxypeptidase M	Cpm	0.27	0.70	0.38
AGI_MM_OLIGO_A_51_P374707	NM_173007	Mm.21950	Tetraspanin 12	Tspan12	0.26	0.67	0.38
AGI_MM_OLIGO_A_51_P332005	AK003146	Mm.84941	Asteroid homolog 1 (Drosophila)	Aste1	2.10	5.47	0.38
AGI_MM_OLIGO_A_51_P459477	NM_007729	Mm.209715	Procollagen, type XI, alpha 1	Col11a1	0.09	0.23	0.38
AGI_MM_OLIGO_A_51_P488283					0.91	2.37	0.39
AGI_MM_OLIGO_A_51_P417788	NM_008936	Mm.1386	Paired like homeodomain factor 1	Prop1	0.92	2.38	0.39
AGI_MM_OLIGO_A_51_P331570	NM_144554	Data not found			3.35	8.60	0.39
AGI_MM_OLIGO_A_51_P442402					0.24	0.62	0.39
AGI_MM_OLIGO_A_51_P366811	NM_007470	Mm.2082	Apolipoprotein D	Apod	0.42	1.06	0.39
AGI_MM_OLIGO_A_51_P318830	NM_018803	Mm.261601	Synaptotagmin X	Syt10	1.06	2.64	0.40
AGI_MM_OLIGO_A_51_P173971	NM_146746	Mm.223174	Olfactory receptor 935	Olfr935	4.96	12.30	0.40
AGI_MM_OLIGO_A_51_P144264	NM_008452	Mm.26938	Kruppel-like factor 2 (lung)	Klf2	0.15	0.37	0.40
AGI_MM_OLIGO_A_51_P344770	AK051922	Mm.131328	Trinucleotide repeat containing 6b	Tnrc6b	3.44	8.50	0.40
AGI_MM_OLIGO_A_51_P147034	NM_027407	Mm.17834	Islet cell autoantigen 1-like	Ica1l	5.69	13.55	0.42
AGI_MM_OLIGO_A_51_P107315	NM_145423	Mm.77381	Solute carrier family 5 (iodide transporter), member 8	Slc5a8	1.00	2.36	0.42
AGI_MM_OLIGO_A_51_P517423					0.52	1.22	0.42
AGI_MM_OLIGO_A_51_P295315	NM_020033	Mm.143737	Ankyrin repeat domain 2 (stretch responsive muscle)	Ankrd2	0.39	0.91	0.43
AGI_MM_OLIGO_A_51_P258150	NM_007408	Mm.381	Adipose differentiation related protein	Adfp	0.51	1.19	0.43
AGI_MM_OLIGO_A_51_P313703	NM_008639	Mm.5133	Melatonin receptor 1A	Mtnr1a	4.12	9.41	0.44
AGI_MM_OLIGO_A_51_P262202	A_51_P262202	Data not found			1.72	3.90	0.44
AGI_MM_OLIGO_A_51_P387764	NM_010634	Mm.741	Fatty acid binding protein 5, epidermal	Fabp5	1.59	3.57	0.44
AGI_MM_OLIGO_A_51_P119659	NM_008059	Mm.3283	G0/G1 switch gene 2	G0s2	0.39	0.87	0.45
AGI_MM_OLIGO_A_51_P182303	NM_007743	Mm.277792	Procollagen, type I, alpha 2	Col1a2	0.06	0.13	0.45
AGI_MM_OLIGO_A_51_P336019	NM_026374	Mm.227258	Interleukin enhancer binding factor 2	Ilf2	2.36	5.28	0.45
AGI_MM_OLIGO_A_51_P399305	NM_013869	Mm.281356	Tumor necrosis factor receptor superfamily, member 19	Tnfrsf19	0.37	0.81	0.46
AGI_MM_OLIGO_A_51_P224865	AK015480	Mm.158744	RIKEN cDNA 4930456L15 gene	4930456L15Rik	2.31	5.01	0.46
AGI_MM_OLIGO_A_51_P183261	NM_007474	Mm.273175	Aquaporin 8	Aqp8	0.14	0.30	0.46
AGI_MM_OLIGO_A_51_P376658	AK004090	Mm.284114	RIKEN cDNA 1110034G24 gene	1110034G24Rik	2.34	5.06	0.46
AGI_MM_OLIGO_A_51_P425962	NM_010158	Mm.17964	KH domain containing, RNA binding, signal transduction associated 3	Khdrbs3	2.07	4.39	0.47
AGI_MM_OLIGO_A_51_P181097	ENSMUST00000021282	Data not found			9.62	20.35	0.47
AGI_MM_OLIGO_A_51_P222033	NM_178070	Mm.322870	Vacuolar protein sorting 33B (yeast)	Vps33b	0.75	1.56	0.48
AGI_MM_OLIGO_A_51_P163034	NM_148933	Mm.133687	Solute carrier organic anion transporter family, member 4a1	Slco4a1	0.63	1.32	0.48
AGI_MM_OLIGO_A_51_P292097					0.82	1.71	0.48
AGI_MM_OLIGO_A_51_P193490	NM_145564	Mm.21912	F-box protein 21	Fbxo21	0.16	0.33	0.48
AGI_MM_OLIGO_A_51_P419439	NM_010321	Mm.29395	Glycine N-methyltransferase	Gnmt	0.27	0.55	0.49
AGI_MM_OLIGO_A_51_P183915	NM_016671	Mm.38386	Interleukin 27 receptor, alpha	Il27ra	0.90	1.83	0.49
AGI_MM_OLIGO_A_51_P147445	AK050154	Mm.31247	Leucine rich repeat containing 28	Lrrc28	0.96	1.94	0.49
AGI_MM_OLIGO_A_51_P312482	NM_026613	Mm.181767	Coiled-coil domain containing 34	Ccdc34	0.91	1.83	0.50
AGI_MM_OLIGO_A_51_P404463	NM_024283	Mm.50109	RIKEN cDNA 1500015O10 gene	1500015O10Rik	1.10	2.21	0.50
AGI_MM_OLIGO_A_51_P215237	NM_207105	Mm.254067	Histocompatibility 2, class II antigen A, beta 1	H2-Ab1	1.00	2.01	0.50
AGI_MM_OLIGO_A_51_P286780	BC028808	Mm.394295	Mus musculus, clone IMAGE:1244192, mRNA		6.16	12.25	0.50
AGI_MM_OLIGO_A_51_P394552	NM_011645	Mm.425318	Protease, serine, 3	Prss3	1.46	2.88	0.51
AGI_MM_OLIGO_A_51_P515605	NM_009930	Mm.249555	Procollagen, type III, alpha 1	Col3a1	0.06	0.11	0.51
AGI_MM_OLIGO_A_51_P183815	NM_011410	Mm.38192	Schlafen 4	Slfn4	4.73	9.24	0.51
AGI_MM_OLIGO_A_51_P134452	NM_022983	Mm.155520	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor 7	Edg7	1.00	1.94	0.52
AGI_MM_OLIGO_A_51_P393224	NM_010382	Mm.22564	Histocompatibility 2, class II antigen E beta	H2-Eb1	1.63	3.12	0.52
AGI_MM_OLIGO_A_51_P478722	NM_011579	Mm.15793	Proteasome (prosome, macropain) 28 subunit, beta	Psme2	0.42	0.79	0.52
AGI_MM_OLIGO_A_51_P181517	NM_144559	Mm.251254	Fc fragment of IgG, low affinity IIIa, receptor	Fcgr3a	1.43	2.69	0.53
AGI_MM_OLIGO_A_51_P501457	NM_022430	Mm.34460	Membrane-spanning 4-domains, subfamily A, member 8A	Ms4a8a	5.48	10.31	0.53
AGI_MM_OLIGO_A_51_P128463	XM_485455	Mm.100168	Glycine/arginine rich protein 1	Grrp1	2.24	4.18	0.54
AGI_MM_OLIGO_A_51_P206405	XM_888896	Mm.41639	Protein tyrosine phosphatase, receptor type Z, polypeptide 1	Ptprz1	0.40	0.72	0.55
AGI_MM_OLIGO_A_51_P413866	NM_008198	Mm.653	Complement factor B	Cfb	0.26	0.47	0.55
AGI_MM_OLIGO_A_51_P316673	NM_144544	Mm.58038	RIKEN cDNA 2210407C18 gene	2210407C18Rik	0.98	1.72	0.57
AGI_MM_OLIGO_A_51_P493570	NM_146505	Mm.377537	Olfactory receptor 148	Olfr148	1.17	2.05	0.57
AGI_MM_OLIGO_A_51_P324037	BG294955	Data not found			2.23	3.88	0.57
AGI_MM_OLIGO_A_51_P493649	NM_023135	Mm.89655	Sulfotransferase family 1E, member 1	Sult1e1	1.00	1.74	0.57
AGI_MM_OLIGO_A_51_P176154	AK054545	Mm.425126	Signal-regulatory protein beta 1	Sirpb1	3.11	5.33	0.58
AGI_MM_OLIGO_A_51_P186172	NM_181681	Mm.29678	Polypyrimidine tract binding protein 1	Ptbp1	0.94	1.58	0.60
AGI_MM_OLIGO_A_51_P478605	NM_010906	Mm.9394	Nuclear factor I/X	Nfix	0.44	0.74	0.60
AGI_MM_OLIGO_A_51_P146164	TC1430646	Data not found			0.16	0.26	0.60
AGI_MM_OLIGO_A_51_P382880	NM_010151	Mm.14297	Nuclear receptor subfamily 2, group F, member 1	Nr2f1	0.09	0.14	0.60
AGI_MM_OLIGO_A_51_P498640	NM_172134	Data not found			0.68	1.13	0.61
AGI_MM_OLIGO_A_51_P375558	NM_010865	Mm.10694	Myocilin	Myoc	0.49	0.79	0.62
AGI_MM_OLIGO_A_51_P410687	NM_018826	Mm.101153	Iroquois related homeobox 5 (Drosophila)	Irx5	1.13	1.81	0.62
AGI_MM_OLIGO_A_51_P402943	NM_009114	Mm.2128	S100 calcium binding protein A9 (calgranulin B)	S100a9	0.54	0.86	0.62
AGI_MM_OLIGO_A_51_P305628	NM_015803	Mm.319599	ATPase, aminophospholipid transporter-like, class I, type 8A, member 2	Atp8a2	0.44	0.70	0.62
AGI_MM_OLIGO_A_51_P279552	NM_016900	Mm.396075	Caveolin 2	Cav2	19.71	31.43	0.63
AGI_MM_OLIGO_A_51_P244287	NM_008482	Mm.172674	Laminin B1 subunit 1	Lamb1-1	0.35	0.56	0.63
AGI_MM_OLIGO_A_51_P185611	NM_028597	Mm.292487	THO complex 3	Thoc3	0.98	1.54	0.63
AGI_MM_OLIGO_A_51_P441426	NM_019932	Mm.332490	Chemokine (C-X-C motif) ligand 4	Cxcl4	0.11	0.17	0.63
AGI_MM_OLIGO_A_51_P408382	NM_001005608	Mm.213873	Integrin beta 4	Itgb4	2.18	3.42	0.64
AGI_MM_OLIGO_A_51_P334104	NM_007833	Mm.56769	Decorin	Dcn	0.05	0.07	0.64
AGI_MM_OLIGO_A_51_P392277	AF218265	Mm.214599	Mucin 4	Muc4	5.59	8.71	0.64
AGI_MM_OLIGO_A_51_P301435	NM_033149	Mm.154783	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5	B3galt5	2.62	4.07	0.64
AGI_MM_OLIGO_A_51_P436977	AK079781	Mm.358846	Dual oxidase 2	Duox2	0.53	0.82	0.65
AGI_MM_OLIGO_A_51_P108190	NM_022891	Data not found			1.22	1.87	0.65
AGI_MM_OLIGO_A_51_P186703					0.37	0.56	0.65
AGI_MM_OLIGO_A_51_P424338	NM_008706	Mm.252	NAD(P)H dehydrogenase, quinone 1	Nqo1	3.52	5.40	0.65
AGI_MM_OLIGO_A_51_P321886					0.89	1.35	0.66
AGI_MM_OLIGO_A_51_P104608	NM_030098	Mm.103835	Ribonuclease, RNase A family, 6	Rnase6	1.00	1.50	0.67
AGI_MM_OLIGO_A_51_P110301	NM_009778	Mm.19131	Complement component 3	C3	0.14	0.20	0.67
AGI_MM_OLIGO_A_51_P364479	NM_009396	Mm.255332	Tumor necrosis factor, alpha-induced protein 2	Tnfaip2	2.18	3.17	0.69
AGI_MM_OLIGO_A_51_P424221					0.64	0.92	0.69
AGI_MM_OLIGO_A_51_P238722					0.20	0.30	0.69
AGI_MM_OLIGO_A_51_P196569	NM_009344	Mm.3117	Pleckstrin homology-like domain, family A, member 1	Phlda1	1.17	1.69	0.69
AGI_MM_OLIGO_A_51_P146956	NM_133229	Mm.42604	Down syndrome critical region homolog 6 (human)	Dscr6	0.76	1.09	0.70
AGI_MM_OLIGO_A_51_P167292	NM_009892	Mm.387173	Chitinase 3-like 3	Chi3l3	7.29	10.35	0.70
AGI_MM_OLIGO_A_51_P494430	NM_031166	Mm.283273	Inhibitor of DNA binding 4	Id4	0.28	0.39	0.71
AGI_MM_OLIGO_A_51_P210956	NM_011693	Mm.76649	Vascular cell adhesion molecule 1	Vcam1	0.59	0.83	0.71
AGI_MM_OLIGO_A_51_P103929	NM_008591	Mm.86844	Met proto-oncogene	Met	2.54	3.58	0.71
AGI_MM_OLIGO_A_51_P354642	AK004981	Mm.358706	ERO1-like beta (S. cerevisiae)	Ero1lb	0.49	0.69	0.72
AGI_MM_OLIGO_A_51_P321158	NM_017372	Mm.45436	Lysozyme	Lyzs	0.88	1.21	0.73
AGI_MM_OLIGO_A_51_P427742	NM_133829	Mm.269793	RIKEN cDNA 2210010L05 gene	2210010L05Rik	2.35	3.22	0.73
AGI_MM_OLIGO_A_51_P383293	AK014261	Mm.7310	RIKEN cDNA 3110079O15 gene	3110079O15Rik	1.01	1.38	0.74
AGI_MM_OLIGO_A_51_P333680	NM_030683	Mm.44158	Solute carrier family 14 (urea transporter), member 2	Slc14a2	0.47	0.63	0.74
AGI_MM_OLIGO_A_51_P368394	NM_019964	Mm.272871	DnaJ (Hsp40) homolog, subfamily B, member 8	Dnajb8	0.40	0.53	0.75
AGI_MM_OLIGO_A_51_P443857	NM_145823	Mm.340968	Phosphatidylinositol transfer protein, cytoplasmic 1	Pitpnc1	1.06	1.41	0.75
AGI_MM_OLIGO_A_51_P213725	XM_989061	Data not found			1.00	1.33	0.75
AGI_MM_OLIGO_A_51_P235816	AF024519	Mm.22216	TSC22 domain family 3	Tsc22d3	0.32	0.42	0.76
AGI_MM_OLIGO_A_51_P306287	AK031425	Mm.358876	Solute carrier family 30 (zinc transporter), member 2	Slc30a2	1.82	2.39	0.76
AGI_MM_OLIGO_A_51_P252725					0.91	1.18	0.77
AGI_MM_OLIGO_A_51_P267303	NM_029362	Mm.262480	Chromatin modifying protein 4B	Chmp4b	0.96	1.21	0.79
AGI_MM_OLIGO_A_51_P150555	NM_053197	Mm.36169	Sideroflexin 3	Sfxn3	2.53	3.18	0.80
AGI_MM_OLIGO_A_51_P341336	NM_025778	Mm.434335	Bcl2-like 14 (apoptosis facilitator)	Bcl2l14	0.69	0.86	0.80
AGI_MM_OLIGO_A_51_P192085	NM_178788	Mm.121549	DCMP deaminase	Dctd	1.00	1.22	0.82
AGI_MM_OLIGO_A_51_P517318	NM_194065	Mm.159750	Williams-Beuren syndrome chromosome region 28 (human)	Wbscr28	2.93	3.52	0.83
AGI_MM_OLIGO_A_51_P412926	NM_010666	Mm.268173	Keratin 26	Krt26	0.28	0.33	0.84
AGI_MM_OLIGO_A_51_P408653	NM_145463	Mm.275409	Transmembrane protein 46	Tmem46	1.21	1.42	0.86
AGI_MM_OLIGO_A_51_P309283	NM_009153	Mm.4083	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	Sema3b	2.85	3.32	0.86
AGI_MM_OLIGO_A_51_P229280	X17373	Mm.2238	Eukaryotic translation initiation factor 3, subunit 10 (theta)	Eif3s10	1.59	1.81	0.88
AGI_MM_OLIGO_A_51_P174943	NM_008485	Mm.329272	Laminin, gamma 2	Lamc2	2.70	3.05	0.89
AGI_MM_OLIGO_A_51_P153053	NM_020561	Mm.2379	Sphingomyelin phosphodiesterase, acid-like 3A	Smpdl3a	0.23	0.25	0.89
AGI_MM_OLIGO_A_51_P352303	NM_011983	Mm.228	Homer homolog 2 (Drosophila)	Homer2	0.85	0.94	0.91
AGI_MM_OLIGO_A_51_P253547					0.43	0.46	0.92
AGI_MM_OLIGO_A_51_P108226	NM_183249	Mm.902	RIKEN cDNA 1100001G20 gene	1100001G20Rik	1.15	1.21	0.95
AGI_MM_OLIGO_A_51_P494241	NM_007534	Mm.435513	B-cell leukemia/lymphoma 2 related protein A1b	Bcl2a1b	3.21	3.33	0.96
