Rank	Fold difference of geom means (Transfected/Control cell lines)	Probe set	Gene symbol	Description
81	0.206	1453282_at	Cxadr	coxsackievirus and adenovirus receptor
82	0.207	1418359_at	Wbscr27	Williams Beuren syndrome chromosome region 27 (human)
83	0.208	1429012_at	Arhgef6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6
84	0.209	1418174_at	Dbp	D site albumin promoter binding protein
85	0.214	1451290_at	Map1lc3a	microtubule-associated protein 1 light chain 3 alpha
86	0.216	1417009_at	C1r	complement component 1, r subcomponent
87	0.217	1424770_at	Cald1	caldesmon 1
88	0.221	1416188_at	Gm2a	GM2 ganglioside activator protein
89	0.222	1448471_a_at	Ctla2a	cytotoxic T lymphocyte-associated protein 2 alpha
90	0.223	1426743_at		Dip3 beta
91	0.224	1418099_at	Tnfrsf1b	tumor necrosis factor receptor superfamily, member 1b
92	0.228	1429028_at	Dock11	dedicator of cytokinesis 11
93	0.228	1438684_at	Nuak1	ZNUAK family, SNF1-like kinase, 1
94	0.23	1418569_at	Fblim1	filamin binding LIM protein 1
95	0.233	1442005_at	AW987390	expressed sequence AW987390
96	0.234	1418663_at	Mpdz	multiple PDZ domain protein
97	0.235	1454800_at		protein containing single MORN motif in testis
98	0.236	1416811_s_at	Ctla2a /// Ctla2b	cytotoxic T lymphocyte-associated protein 2 alpha /// cytotoxic T lymphocyte-associated protein 2 beta
99	0.237	1447602_x_at	Sulf2	sulfatase 2
100	0.237	1436067_at	Zbtb10	zinc finger and BTB domain containing 10
101	0.238	1417294_at	Akr7a5	aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)
102	0.239	1455048_at	Igsf3	immunoglobulin superfamily, member 3
103	0.24	1435043_at	Plcb1	phospholipase C, beta 1
104	0.241	1434089_at	Synpo	synaptopodin
105	0.241	1448494_at	Gas1	growth arrest specific 1
106	0.244	1453313_at	Sesn3	sestrin 3
107	0.246	1439087_a_at	1500004A08Rik	RIKEN cDNA 1500004A08 gene
108	0.246	1428547_at	Nt5e	5 nucleotidase, ecto
109	0.247	1417600_at	Slc15a2	solute carrier family 15 (H+/peptide transporter), member 2
110	0.249	1422645_at	Hfe	hemochromatosis
111	0.251	1417849_at		glucocorticoid induced gene 1
112	0.252	1436320_at		CDNA clone IMAGE:1328649
113	0.258	1426272_at	Lmbr1	limb region 1
114	0.259	1418346_at	Insl6	insulin-like 6
115	0.263	1427165_at	Il13ra1	interleukin 13 receptor, alpha 1
116	0.263	1417305_at	Apeg1	aortic preferentially expressed gene 1
117	0.264	1423680_at	Fads1	fatty acid desaturase 1
118	0.267	1449141_at	Fblim1	filamin binding LIM protein 1
119	0.269	1416411_at	Gstm2	glutathione S-transferase, mu 2
120	0.272	1451148_at	Pink1	PTEN induced putative kinase 1
121	0.273	1418710_at	Cd59a	CD59a antigen
122	0.273	1450696_at	Psmb9	proteosome (prosome, macropain) subunit, beta type 9 (large multifunctional protease 2)
123	0.274	1425895_a_at	Id1	inhibitor of DNA binding 1
124	0.275	1451775_s_at	Il13ra1	interleukin 13 receptor, alpha 1
125	0.276	1427164_at	Il13ra1	interleukin 13 receptor, alpha 1
126	0.278	1418981_at	Casp12	caspase 12
127	0.278	1433575_at	Sox4	SRY-box containing gene 4
128	0.278	1434172_at	Cnr1	cannabinoid receptor 1 (brain)
129	0.278	1432410_a_at	Bmp7	bone morphogenetic protein 7
130	0.278	1428343_at	Rcor3	REST corepressor 3
131	0.281	1454783_at	Il13ra1	interleukin 13 receptor, alpha 1
132	0.282	1452789_at	Snn	stannin
133	0.282	1428446_at		dynein 2 light intermediate chain
134	0.283	1424392_at	Adhfe1	alcohol dehydrogenase, iron containing, 1
135	0.284	1455582_at	C1qtnf1	C1q and tumor necrosis factor related protein 1
136	0.284	1419584_at	AI428795	expressed sequence AI428795
137	0.285	1447864_s_at	Pogk	pogo transposable element with KRAB domain
138	0.286	1452646_at	Trp53inp2	tumor protein p53 inducible nuclear protein 2
139	0.286	1429001_at	Pir	pirin
140	0.286	1449168_a_at	Akap2	A kinase (PRKA) anchor protein 2
141	0.288	1423753_at	Bambi	BMP and activin membrane-bound inhibitor, homolog (Xenopus laevis)
142	0.288	1436736_x_at	D0H4S114	DNA segment, human D4S114
143	0.289	1423298_at	Add3	adducin 3 (gamma)
144	0.29	1426574_a_at	Add3	adducin 3 (gamma)
145	0.291	1451450_at	2010011I20Rik	RIKEN cDNA 2010011I20 gene
146	0.291	1416441_at		plasma glutamate carboxypeptidase
147	0.292	1448241_at	Gm2a	GM2 ganglioside activator protein
148	0.292	1421791_at	Ang3	angiogenin, ribonuclease A family, member 3
149	0.293	1460617_s_at	Rab6b	RAB6B, member RAS oncogene family
150	0.293	1419978_s_at	D10Ertd610e	DNA segment, Chr 10, ERATO Doi 610, expressed
151	0.293	1419323_at	Padi1	peptidyl arginine deiminase, type I
152	0.294	1452352_at	Ctla2b	cytotoxic T lymphocyte-associated protein 2 beta
153	0.299	1435893_at	Vldlr	very low density lipoprotein receptor
154	0.299	1425225_at	Fcgr3a	Fc fragment of IgG, low affinity IIIa, receptor
155	0.3	1452330_a_at	Mxra8	matrix-remodelling associated 8
156	0.3	1428332_at	1500004A08Rik	RIKEN cDNA 1500004A08 gene
157	0.302	1448104_at	Aldh6a1	aldehyde dehydrogenase family 6, subfamily A1
158	0.303	1447883_x_at	Map1lc3a	microtubule-associated protein 1 light chain 3 alpha
159	0.303	1456133_x_at	Itgb5	integrin beta 5
160	0.305	1454685_at		Transcribed locus
161	0.305	1428695_at	9130227C08Rik	RIKEN cDNA 9130227C08 gene
162	0.305	1418243_at	Fcna	ficolin A
163	0.306	1455242_at	Foxp1	Forkhead box P1
164	0.307	1448664_a_at	Apeg1	aortic preferentially expressed gene 1
165	0.307	1435456_at	AI428795	expressed sequence AI428795
166	0.308	1453289_at	Eif2c4	eukaryotic translation initiation factor 2C, 4
167	0.311	1435222_at	Foxp1	forkhead box P1
168	0.311	1447260_at	H2-Bl /// LOC547349	histocompatibility 2, blastocyst /// similar to MHC class I antigen precursor
169	0.312	1419495_at	Immp2l	inner mitochondrial membrane peptidase 2-like (S. cerevisiae)
170	0.312	1429104_at	0610025L06Rik	RIKEN cDNA 0610025L06 gene
171	0.313	1448143_at	Aldh2	aldehyde dehydrogenase 2, mitochondrial
172	0.314	1435078_at	3526402J09Rik	RIKEN cDNA 3526402J09 gene
173	0.315	1436614_at	AI843639	expressed sequence AI843639
174	0.315	1417533_a_at	Itgb5	integrin beta 5
175	0.316	1418192_at	Mnt	max binding protein
176	0.318	1431429_a_at	Arl4	ADP-ribosylation factor-like 4
177	0.321	1454967_at	A930001N09Rik	RIKEN cDNA A930001N09 gene
178	0.322	1433804_at	Jak1	Janus kinase 1
179	0.323	1429053_at	1110012J17Rik	RIKEN cDNA 1110012J17 gene
180	0.325	1422178_a_at	Rab17	RAB17, member RAS oncogene family
181	0.327	1428758_at	1810054O13Rik	RIKEN cDNA 1810054O13 gene
182	0.327	1421840_at	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1
183	0.328	1460273_a_at	Birc1b	baculoviral IAP repeat-containing 1b
184	0.33	1435776_at	LOC545365	similar to novel protein
185	0.33	1436515_at	E030004N02Rik	RIKEN cDNA E030004N02 gene
186	0.331	1450106_a_at	Evl	Ena-vasodilator stimulated phosphoprotein
187	0.331	1456005_a_at	Bcl2l11	BCL2-like 11 (apoptosis facilitator)
188	0.332	1428651_at	4930429H24Rik	RIKEN cDNA 4930429H24 gene
189	0.333	1449526_a_at	Gdpd3	glycerophosphodiester phosphodiesterase domain containing 3
190	0.333	1438081_at		Transcribed locus
191	0.334	1424988_at	Mylip	myosin regulatory light chain interacting protein
192	0.334	1423495_at	Decr2	2-4-dienoyl-Coenzyme A reductase 2, peroxisomal
193	0.335	1449271_a_at	Hebp2	heme binding protein 2
194	0.336	1423584_at	Igfbp7	insulin-like growth factor binding protein 7
195	0.336	1418072_at	Hist1h2bc	histone 1, H2bc
196	0.337	1422504_at	Glrb	glycine receptor, beta subunit
197	0.338	1417018_at	Efemp2	epidermal growth factor-containing fibulin-like extracellular matrix protein 2
198	0.339	1449454_at	Bst1	bone marrow stromal cell antigen 1
199	0.339	1423297_at	Add3	adducin 3 (gamma)
200	0.341	1430526_a_at	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
201	0.342	1428207_at	Bcl7a	B-cell CLL/lymphoma 7A
202	0.342	1417534_at	Itgb5	integrin beta 5
203	0.343	1450626_at	Manba	mannosidase, beta A, lysosomal
204	0.343	1418412_at	Tpd52l1	tumor protein D52-like 1
205	0.343	1429387_at	Grap	GRB2-related adaptor protein
206	0.344	1441259_s_at	Wdr10	WD repeat domain 10
207	0.347	1421938_at	Serhl	serine hydrolase-like
208	0.347	1427692_a_at	Cask	calcium/calmodulin-dependent serine protein kinase (MAGUK family)
209	0.348	1439341_at	AK220484	cDNA sequence AK220484
210	0.348	1441937_s_at	Pink1	PTEN induced putative kinase 1
211	0.349	1418925_at	Celsr1	cadherin EGF LAG seven-pass G-type receptor 1
212	0.349	1425605_a_at	Lmbr1	limb region 1
213	0.35	1417010_at	Zfp238	zinc finger protein 238
214	0.351	1425534_at	Stau2	staufen (RNA binding protein) homolog 2 (Drosophila)
215	0.351	1449949_a_at	Cxadr	coxsackievirus and adenovirus receptor
216	0.352	1420772_a_at	Tsc22d3	TSC22 domain family 3
217	0.352	1449556_at	H2-T23	histocompatibility 2, T region locus 23
218	0.352	1417962_s_at	Ghr	growth hormone receptor
219	0.353	1449453_at	Bst1	bone marrow stromal cell antigen 1
220	0.354	1419402_at	Mns1	meiosis-specific nuclear structural protein 1
221	0.355	1431322_at	Igsf3	immunoglobulin superfamily, member 3
222	0.355	1435169_at	A930001N09Rik	RIKEN cDNA A930001N09 gene
223	0.355	1427050_at	5730420B22Rik	RIKEN cDNA 5730420B22 gene
224	0.356	1456393_at	2310002J21Rik	RIKEN cDNA 2310002J21 gene
225	0.356	1424413_at	Ogfrl1	opioid growth factor receptor-like 1
226	0.358	1423959_at	Ropn1l	ropporin 1-like
227	0.358	1455793_at	BC035537	cDNA sequence BC035537
228	0.358	1435092_at	Arl4	ADP-ribosylation factor-like 4
229	0.359	1456377_x_at	0610025L06Rik	RIKEN cDNA 0610025L06 gene
230	0.359	1417500_a_at	Tgm2	transglutaminase 2, C polypeptide
231	0.36	1428021_at	Mccc2	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)
232	0.362	1423894_a_at	Dalrd3	DALR anticodon binding domain containing 3
233	0.362	1417706_at	Naglu	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)
234	0.363	1451322_at	2310016A09Rik	RIKEN cDNA 2310016A09 gene
235	0.366	1454931_at	Cri2	CREBBP/EP300 inhibitory protein 2
236	0.367	1438183_x_at	Sdh1	sorbitol dehydrogenase 1
237	0.367	1455936_a_at	Rbpms	RNA binding protein gene with multiple splicing
238	0.367	1428513_at	Calcoco1	calcium binding and coiled coil domain 1
239	0.368	1435836_at	Pdk1	Pyruvate dehydrogenase kinase, isoenzyme 1
240	0.369	1455087_at	D7Ertd715e	DNA segment, Chr 7, ERATO Doi 715, expressed
241	0.369	1434002_at	Ches1	checkpoint supressor 1
242	0.369	1422184_a_at	Ak1	adenylate kinase 1
243	0.369	1424420_at	Ccpg1	cell cycle progression 1
244	0.371	1424768_at	Cald1	caldesmon 1
245	0.372	1421899_a_at	Mr1	major histocompatibility complex, class I-related
246	0.372	1416401_at	Kai1	kangai 1 (suppression of tumorigenicity 6, prostate)
247	0.372	1449442_at	Pex11a	peroxisomal biogenesis factor 11a
248	0.372	1449297_at	Casp12	caspase 12
249	0.373	1433837_at	8430408G22Rik	RIKEN cDNA 8430408G22 gene
250	0.373	1445574_at		Transcribed locus
251	0.374	1416289_at	Plod1	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1
252	0.374	1438477_a_at	Mcee	methylmalonyl CoA epimerase
253	0.374	1450784_at	Reck	reversion-inducing-cysteine-rich protein with kazal motifs
254	0.375	1435260_at	Sdccag8	Serologically defined colon cancer antigen 8
255	0.376	1433805_at	Jak1	Janus kinase 1
256	0.376	1436617_at	Cetn4	centrin 4
257	0.376	1455467_at		Similar to CG14142-PA
258	0.378	1421011_at	Dhrs8	dehydrogenase/reductase (SDR family) member 8
259	0.38	1435448_at	Bcl2l11	BCL2-like 11 (apoptosis facilitator)
260	0.381	1416522_a_at	Grcc10	gene rich cluster, C10 gene
261	0.381	1452416_at	Il6ra	interleukin 6 receptor, alpha
262	0.381	1445275_at		Transcribed locus
263	0.381	1423475_at	Cnnm2	cyclin M2
264	0.384	1418176_at	Vdr	vitamin D receptor
265	0.384	1429514_at	Ppap2b	phosphatidic acid phosphatase type 2B
266	0.384	1428115_a_at	Rab2b	RAB2B, member RAS oncogene family
267	0.386	1456412_a_at		putative phosphatase
268	0.387	1424168_a_at
269	0.387	1453960_a_at	Capzb	capping protein (actin filament) muscle Z-line, beta
270	0.387	1421140_a_at	Foxp1	forkhead box P1
271	0.388	1426624_a_at	Ypel3	yippee-like 3 (Drosophila)
272	0.388	1422438_at	Ephx1	epoxide hydrolase 1, microsomal
273	0.389	1425586_a_at	Mlph	melanophilin
274	0.389	1418962_at	1110005F07Rik	RIKEN cDNA 1110005F07 gene
275	0.389	1437829_s_at	Eef2k	eukaryotic elongation factor-2 kinase
276	0.39	1449520_at	AI428795	expressed sequence AI428795
277	0.39	1416002_x_at	Cotl1	coactosin-like 1 (Dictyostelium)
278	0.392	1432276_at	4930519F16Rik	RIKEN cDNA 4930519F16 gene
279	0.394	1424242_at	Bphl	biphenyl hydrolase-like (serine hydrolase, breast epithelial mucin-associated antigen)
280	0.394	1416630_at	Id3	inhibitor of DNA binding 3
281	0.395	1422965_at	Agtrap	angiotensin II, type I receptor-associated protein
282	0.395	1441944_s_at		Transcribed locus
283	0.396	1417259_a_at	Capzb	capping protein (actin filament) muscle Z-line, beta
284	0.396	1460623_at	Scap2	Src family associated phosphoprotein 2
285	0.397	1433819_s_at	Agpat3	1-acylglycerol-3-phosphate O-acyltransferase 3
286	0.397	1434642_at	Dhrs8	dehydrogenase/reductase (SDR family) member 8
287	0.398	1455049_at	Igsf3	immunoglobulin superfamily, member 3
288	0.398	1416354_at	Rbmx	RNA binding motif protein, X chromosome
289	0.399	1419767_at	Padi3	peptidyl arginine deiminase, type III
290	0.399	1454840_at	Mccc2	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)
291	0.399	1448095_at		Transcribed locus
292	0.4	1448477_at	Chst12	carbohydrate sulfotransferase 12
293	0.401	1451364_at	Polr3gl	polymerase (RNA) III (DNA directed) polypeptide G like
294	0.401	1452527_a_at	P2rx4	purinergic receptor P2X, ligand-gated ion channel 4
295	0.401	1418175_at	Vdr	vitamin D receptor
296	0.403	1424354_at	1110007F12Rik	RIKEN cDNA 1110007F12 gene
297	0.403	1451361_a_at	BC027342	cDNA sequence BC027342
298	0.404	1416795_at	Cryl1	crystallin, lamda 1
299	0.404	1426734_at	BC022623	cDNA sequence BC022623
300	0.406	1416612_at	Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1
301	0.406	1427357_at	Cda	cytidine deaminase
302	0.406	1438294_at	Sca1	spinocerebellar ataxia 1 homolog (human)
303	0.406	1417635_at	Spa17	sperm autoantigenic protein 17
304	0.408	1449383_at	Adssl1	adenylosuccinate synthetase like 1
305	0.408	1429816_at	Armc3	armadillo repeat containing 3
306	0.408	1459850_x_at	Glrb	glycine receptor, beta subunit
307	0.408	1427321_s_at	Cxadr	coxsackievirus and adenovirus receptor
308	0.409	1417211_a_at	1110032A03Rik	RIKEN cDNA 1110032A03 gene
309	0.41	1424922_a_at	Brd4	bromodomain containing 4
310	0.41	1452024_a_at	Ldb1	LIM domain binding 1
311	0.41	1459896_at	Pogk	pogo transposable element with KRAB domain
312	0.411	1425525_a_at	P2rx4	purinergic receptor P2X, ligand-gated ion channel 4
313	0.412	1425533_a_at	Stau2	staufen (RNA binding protein) homolog 2 (Drosophila)
314	0.412	1437537_at	Casp9	caspase 9
315	0.413	1417501_at	Fbxo6b	F-box only protein 6b
316	0.414	1418840_at	Pdcd4	programmed cell death 4
317	0.414	1433571_at	A130038L21Rik	RIKEN cDNA A130038L21 gene
318	0.414	1417066_at	Cabc1	chaperone, ABC1 activity of bc1 complex like (S. pombe)
319	0.415	1424866_at	Usp43	ubiquitin specific protease 43
320	0.415	1435221_at	Foxp1	Forkhead box P1
321	0.417	1417879_at	Nenf	neuron derived neurotrophic factor
322	0.417	1451803_a_at	Vegfb	vascular endothelial growth factor B
323	0.418	1455558_at	Gm114	gene model 114, (NCBI)
324	0.418	1430421_a_at	BC010787	cDNA sequence BC010787
325	0.418	1458324_x_at		16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130051K14 product:unknown EST, full insert sequence
326	0.419	1421027_a_at	Mef2c	myocyte enhancer factor 2C
327	0.42	1434784_s_at	D15Ertd405e	DNA segment, Chr 15, ERATO Doi 405, expressed
328	0.42	1421141_a_at	Foxp1	forkhead box P1
329	0.42	1439108_at	Mll5	myeloid/lymphoid or mixed-lineage leukemia 5
330	0.421	1425523_at	2600011C06Rik	RIKEN cDNA 2600011C06 gene
331	0.421	1450611_at	Orm3	orosomucoid 3
332	0.421	1418025_at	Bhlhb2	basic helix-loop-helix domain containing, class B2
333	0.421	1435485_at	C230096C10Rik	RIKEN cDNA C230096C10 gene
334	0.422	1426146_a_at	Chpt1	choline phosphotransferase 1
335	0.422	1454658_at	Ilvbl	ilvB (bacterial acetolactate synthase)-like
336	0.422	1456316_a_at	Acbd3	acyl-Coenzyme A binding domain containing 3
337	0.424	1452817_at	Smyd3	SET and MYND domain containing 3
338	0.424	1434034_at	Cerk	ceramide kinase
339	0.425	1426280_at	AV249152	expressed sequence AV249152
340	0.425	1435155_at	Cgn	cingulin
341	0.426	1425281_a_at	Tsc22d3	TSC22 domain family 3
342	0.426	1453913_a_at	Tap2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)
343	0.427	1422293_a_at	Kctd1	potassium channel tetramerisation domain containing 1
344	0.427	1434783_at	D15Ertd405e	DNA segment, Chr 15, ERATO Doi 405, expressed
345	0.429	1434387_at	AI429612	expressed sequence AI429612
346	0.43	1435280_at	AI452195	expressed sequence AI452195
347	0.43	1452540_a_at	Hist1h2bc /// Hist1h2be /// Hist1h2bl /// Hist1h2bm /// Hist1h2bp	histone 1, H2bc /// histone 1, H2be /// histone 1, H2bl /// histone 1, H2bm /// histone 1, H2bp
348	0.431	1451912_a_at	Fgfrl1	fibroblast growth factor receptor-like 1
349	0.431	1429390_at	Acpl2	acid phosphatase-like 2
350	0.432	1416493_at	Ddost	dolichyl-di-phosphooligosaccharide-protein glycotransferase
351	0.432	1460328_at	Brd3	bromodomain containing 3
352	0.432	1453573_at	Hist1h3d	histone1, H3d
353	0.432	1439613_at		soluble adenylyl cyclase
354	0.432	1425801_x_at	Cotl1	coactosin-like 1 (Dictyostelium)
355	0.433	1433803_at	Jak1	Janus kinase 1
356	0.434	1436591_at	BC023744	cDNA sequence BC023744
357	0.434	1448410_at	Ube4b	ubiquitination factor E4B, UFD2 homolog (S. cerevisiae)
358	0.434	1416926_at	Trp53inp1	transformation related protein 53 inducible nuclear protein 1
359	0.435	1435142_at	SFT2 domain containing 2	SFT2 domain containing 2
360	0.435	1424694_at	2010011I20Rik	RIKEN cDNA 2010011I20 gene
361	0.435	1456026_at	8030451K01Rik	RIKEN cDNA 8030451K01 gene
362	0.436	1431339_a_at	Efhd2	EF hand domain containing 2
363	0.436	1455642_a_at	Tspan17	tetraspanin 17
364	0.437	1435141_at	SFT2 domain containing 2	SFT2 domain containing 2
365	0.437	1451574_at	Bcl9	B-cell CLL/lymphoma 9
366	0.438	1432472_a_at	Mccc2	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)
367	0.438	1421571_a_at	Ly6c	lymphocyte antigen 6 complex, locus C
368	0.438	1434145_s_at	Serhl	serine hydrolase-like
369	0.44	1435994_at		Adult male corpus striatum cDNA, RIKEN full-length enriched library, clone:C030012J07 product:unknown EST, full insert sequence
370	0.441	1423963_at	Wdr26	WD repeat domain 26
371	0.441	1426584_a_at	Sdh1	sorbitol dehydrogenase 1
372	0.441	1427564_at	Diap2	diaphanous homolog 2 (Drosophila)
373	0.442	1417468_at	Nit1	nitrilase 1
374	0.442	1449013_at	Eef2k	eukaryotic elongation factor-2 kinase
375	0.442	1435716_x_at	Snrpn	small nuclear ribonucleoprotein N
376	0.442	1428372_at	St5	suppression of tumorigenicity 5
377	0.442	1450637_a_at	Aebp1	AE binding protein 1
378	0.443	1448605_at	Rhoc	ras homolog gene family, member C
379	0.443	1417034_at	Trappc6a	trafficking protein particle complex 6A
380	0.444	1447278_at	BC027092	cDNA sequence BC027092
381	0.444	1428326_s_at	Hrsp12	heat-responsive protein 12
382	0.445	1437403_at	E130306M17Rik	RIKEN cDNA E130306M17 gene
383	0.446	1424175_at	Tef	thyrotroph embryonic factor
384	0.447	1438255_at	Ches1	checkpoint supressor 1
385	0.447	1428791_at	Ube2h	ubiquitin-conjugating enzyme E2H
386	0.447	1422774_at	1700088E04Rik	RIKEN cDNA 1700088E04 gene
387	0.447	1417603_at	Per2	period homolog 2 (Drosophila)
388	0.447	1416572_at	Mmp14	matrix metalloproteinase 14 (membrane-inserted)
389	0.448	1418365_at	Ctsh	cathepsin H
390	0.448	1416958_at	Nr1d2	nuclear receptor subfamily 1, group D, member 2
391	0.448	1452668_x_at	Rab2b	RAB2B, member RAS oncogene family
392	0.451	1428692_at	1110033O09Rik	RIKEN cDNA 1110033O09 gene
393	0.452	1443897_at	Ddit3	DNA-damage inducible transcript 3
394	0.452	1429174_at	Wdr34	WD repeat domain 34
395	0.453	1448665_at	Dmd	dystrophin, muscular dystrophy
