Gene ID	Gene name	Symbol	Parous	Nulliparous	P-value	Gene Specific Factor
H18668	Vesicle transport through interaction with t-SNAREs homolog 1A (yeast)	VTI1A	1.51±0.02	0.66±0.17	0.0009	Gene transcripts related to transport and cell trafficking
AI341839	Solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)	SLC4A2	1.53±0.21	0.52±0.2	0.0036	Gene transcripts related to transport and cell trafficking
AI343847	Solute carrier family 26, member 7	SLC26A7	2.42±0.22	0.3±0.17	0.0002	Gene transcripts related to transport and cell trafficking
AI280106	Transient receptor potential cation channel, subfamily C, member 5	TRPC5	1.00±0.2	1.52±0.2	0.034	Gene transcripts related to transport and cell trafficking
AA931725	Secreted modular calcium-binding protein 2		0.85±0.23	1.52±0.28	0.033	Gene transcripts related to transport and cell trafficking
AA401349	Myosin VB		0.57±0.22	1.58±0.26	0.007	Gene transcripts related to transport and cell trafficking
AA864323	Component of oligomeric golgi complex 8		-0.11±0.3	1.57±0.41	0.0047	Gene transcripts related to transport and cell trafficking
AI247494	HIV-1 Rev binding protein-like	HRBL	1.64±0.15	0.80±0.32	0.014	Gene transcripts related to transport and cell trafficking
AI203953	Similar to MAP/microtubule affinity-regulating kinase 1		1.60±0.31	0.89±0.48	0.1	Gene transcripts related to cell proliferation and differentiation
AI080392	Calcyphosphine 2	CAPS2	1.60±0.26	0.98±0.42	0.095	Gene transcripts related to cell proliferation and differentiation
AI208908	Fatty acid binding protein 6, ileal (gastrotropin)	FABP6	1.60±0.09	0.95±0.22	0.0091	Gene transcripts related to cell proliferation and differentiation
AI359037	Fatty acid binding protein 5 (psoriasis-associated)	STX3A	1.55±0.24	0.77±0.06	0.0612	Gene transcripts related to cell proliferation and differentiation
AA464566	Low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	LRP1	1.64±0.48	0.89±0.24	0.074	Gene transcripts related to cell proliferation and differentiation
AA935809	Male sterility domain containing 1	MLSTD1	1.67±0.1	0.71±0.11	0.1474	Gene transcripts related to cell proliferation and differentiation
AI159884	Neuroligin 3	NLGN3	1.95±0.3	0.76±0.29	0.0766	Gene transcripts related to cell proliferation and differentiation
300-301	Ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	UBE2D3	1.55±0.22	0.98±0.34	0.069	Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
AI248214						Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
AI269774	Phytanoyl-CoA hydroxylase (Refsum disease)		1.55±0.11	0.86±0.49	0.076	Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
AI434448	Galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)		1.57±0.06	0.64±0.15	0.0006	Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
AI146457	3-phosphoadenosine 5-phosphosulfate synthase 1	PAPSS1	1.53±0.29	0.61±0.41	0.035	Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
AI077645	Glutathione S-transferase omega 2	GSTO2	1.56±0.12	0.59±0.15	0.001	Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
W69460	Phosphatidylserine decarboxylase		0.89±0.48	2.15±0.46	0.031	Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
AA401477	Glucosidase, beta (bile acid) 2		0.78±0.48	2.24±0.47	0.02	Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
AA401349	Myosin VB		0.57±0.22	1.58±0.26	0.007	Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
AA887547-	Carbohydrate (chondroitin 4) sulfotransferase 13		-0.91±0.14	1.56±0.06	0.0001	Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
AA999850	Kidney-specific membrane protein Transmembrane protein 27	TMEM27	1.67±0.33	0.81±0.18	0.017	Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
AA774044	Thrombospondin 3	THBS3	1.53±0.16	-0.43±0.47	0.0024	Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
R99314	Amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 3	ALS2CR3	2.33±0.31	-0.09±0.45	0.0015	Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
AI251734	Salivary proline-rich protein 5	PROL3	1.86±0.18	0.82±0.15	0.0015	Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
AI147738	Fucosyltransferase 10 alpha (1,3) fucosyltransferase	FUT10	1.77±0.26	0.73±0.0	0.0796	Gene transcripts related to protein synthesis and degradation, uptake, and cell metabolism
