Probe Set	Parametric p-value	Cox Hazard Ratio	Gene Symbol
210249_s_at	0.0016209	4.382	NCOA1
203458_at	0.0016536	0.309	SPR
213073_at	0.0017173	3.539	ZFYVE26
206561_s_at	0.001728	1.753	AKR1B10
203371_s_at	0.0017734	0.569	NDUFB3
215260_s_at	0.001825	5.358	TCF3
216086_at	0.0018262	3.104	SV2C
202976_s_at	0.0018752	1.644	RHOBTB3
213262_at	0.0018946	3.168	SACS
202546_at	0.0019638	0.709	VAMP8
211712_s_at	0.0021187	2.413	ANXA9
216239_at	0.002134	5.826	PTHB1
221613_s_at	0.0021502	0.618	ZFAND6
212942_s_at	0.0022185	2.278	KIAA1199
209681_at	0.0022503	1.717	SLC19A2
222310_at	0.0022692	3.59	SFRS15
215175_at	0.0022776	3.687	PCNX
221877_at	0.0022807	5.024
203438_at	0.0022877	2.062	STC2
201851_at	0.0023237	4.027	SH3GL1
213216_at	0.0023382	2.687	OTUD3
207327_at	0.0023719	2.957	EYA4
202096_s_at	0.0023762	0.557	TSPO
201143_s_at	0.0024439	5.611	EIF2S1
202567_at	0.0024758	0.513	SNRPD3
214844_s_at	0.0024996	0.628	DOK5
205696_s_at	0.0025243	5.034	GFRA1
36019_at	0.0025762	0.243	STK19
218201_at	0.0026317	0.558	NDUFB2
222303_at	0.0028608	2.023
209569_x_at	0.0028963	0.589	D4S234E
217504_at	0.0029152	3.827	ABCA6
205683_x_at	0.0029443	2.025	TPSAB1
205799_s_at	0.0029506	2.041	SLC3A1
217945_at	0.0029719	0.542	BTBD1
200696_s_at	0.0030456	0.635	GSN
208966_x_at	0.0030644	0.705	IFI16
219321_at	0.0030881	4.379	MPP5
204434_at	0.0030965	3.564	SPATA2
214967_at	0.0032237	4.629	SAMD4A
202298_at	0.0032358	0.693	NDUFA1
59375_at	0.0032747	3.272	MYO15B
57163_at	0.003289	0.381	ELOVL1
220122_at	0.0033942	3.59	MCTP1
204949_at	0.0034813	0.525	ICAM3
207002_s_at	0.0034871	1.407	PLAGL1
203474_at	0.003541	1.838	IQGAP2
221894_at	0.003558	0.139	ADCK2
219686_at	0.0036237	2.767	STK32B
215068_s_at	0.0036655	2.533	FBXL18
212394_at	0.0036726	4.135	KIAA0090
207219_at	0.0037731	2.619	ZNF643
210496_at	0.0038002	7.835	NAG18
210085_s_at	0.0038155	2.843	ANXA9
219084_at	0.0038623	3.252	NSD1
221939_at	0.0038941	0.341	YIPF2
201953_at	0.0039062	0.634	CIB1
200791_s_at	0.0039068	0.608	IQGAP1
210365_at	0.0039225	2.566	RUNX1
213302_at	0.0040299	2.186	PFAS
221702_s_at	0.0040636	0.566	TM2D3
210218_s_at	0.004209	0.302	SP100
212056_at	0.0042192	1.991	KIAA0182
215307_at	0.0042924	3.489	ZNF529
205471_s_at	0.0043	1.879	DACH1
221030_s_at	0.0043313	2.634	ARHGAP24
204846_at	0.0044381	0.692	CP
200863_s_at	0.0044556	0.61	RAB11A
203606_at	0.0044751	0.581	NDUFS6
206528_at	0.0044761	6.241	TRPC6
219164_s_at	0.0045074	4.641	C14orf103
202266_at	0.0045227	0.643	TTRAP
213146_at	0.004652	2.541	JMJD3
204698_at	0.0047036	0.533	ISG20
216048_s_at	0.0047052	2.872	RHOBTB3
206663_at	0.0047193	2.405	SP4
218031_s_at	0.0047408	1.856	CHES1
212985_at	0.0048077	2.211
204913_s_at	0.0048332	1.51	SOX11
209119_x_at	0.0049101	1.755	NR2F2
205328_at	0.0049248	0.675	CLDN10
218676_s_at	0.0049997	0.488	PCTP
201012_at	0.0049998	0.727	ANXA1
207831_x_at	0.0050083	0.364	DHPS
213992_at	0.0050645	1.976	COL4A6
207134_x_at	0.0050883	2.043	TPSAB1
209107_x_at	0.0050918	3.512	NCOA1
212838_at	0.0051031	2.927	DNMBP
210880_s_at	0.0051577	2.951	EFS
215493_x_at	0.005248	0.265	BTN2A1
214961_at	0.0052645	7.004	KIAA0774
210676_x_at	0.0053073	2.212	RGPD5
213771_at	0.0053594	3.91	IRF2BP1
218327_s_at	0.0053606	0.382	SNAP29
215668_s_at	0.0053904	3.476	PLXNB1
213020_at	0.0054039	2.977	GOSR1
206605_at	0.005405	2.305	P11
219914_at	0.0055895	2.897	ECEL1
212486_s_at	0.0055992	2.822	FYN
206012_at	0.0056231	1.812	LEFTY2
214743_at	0.0056327	2.045	CUTL1
219173_at	0.0056862	2.595	MYO15B
212695_at	0.0057257	2.651	CRY2
209298_s_at	0.0057666	2.842	ITSN1
221474_at	0.005897	0.612	MRLC2
203999_at	0.0059285	1.85
204070_at	0.0059886	0.745	RARRES3
219902_at	0.006	3.624	BHMT2
218455_at	0.0060779	3.882	NFS1
203354_s_at	0.0060894	2.946	PSD3
213379_at	0.0061403	0.493	COQ2
221504_s_at	0.0062225	0.598	ATP6V1H
204290_s_at	0.0062778	2.45	ALDH6A1
202357_s_at	0.0063379	0.772	CFB
206558_at	0.0063981	2.311	SIM2
34697_at	0.006408	4.471	LRP6
213538_at	0.0064752	2.557	SON
220049_s_at	0.0065214	3.349	PDCD1LG2
220581_at	0.0066052	2.741	C6orf97
208696_at	0.0066392	0.605	CCT5
208574_at	0.0066595	0.081	SOX14
202074_s_at	0.0066794	0.614	OPTN
203094_at	0.0068017	0.406	MAD2L1BP
215915_at	0.0068076	2.628	GULP1
215757_at	0.0068123	4.76	PRKDC
216198_at	0.0069644	4.438	ATF7IP
214829_at	0.006975	4.85	AASS
209111_at	0.0069835	0.565	RNF5
202812_at	0.0070095	0.538	GAA
210157_at	0.0070154	3	C19orf2
219450_at	0.0070175	2.588	C4orf19
202263_at	0.0070522	0.524	CYB5R1
211706_s_at	0.0070617	4.937	CDC2L6
203854_at	0.0070656	0.681	CFI
208837_at	0.0070694	0.609	TMED3
220351_at	0.0070868	4.104	CCRL1
204893_s_at	0.0071004	2.82	ZFYVE9
204431_at	0.007126	2.421	TLE2
215162_at	0.0072014	4.729	GARNL1
200633_at	0.0072877	0.744	UBB
207839_s_at	0.0073276	0.283	C9orf127
39248_at	0.0073434	0.653	AQP3
212213_x_at	0.0073623	2.385	OPA1
210592_s_at	0.0074089	0.699	SAT1
215704_at	0.007411	4.329	FLG
208915_s_at	0.0074249	3.31	GGA2
202387_at	0.0074738	0.459	BAG1
201700_at	0.0074921	0.45	CCND3
214082_at	0.0075004	2.957	CA5B
218338_at	0.0075007	2.356	PHC1
216370_s_at	0.0075193	1.42	TKTL1
219185_at	0.0075305	0.485	SIRT5
205151_s_at	0.0075942	2.443	KIAA0644
221560_at	0.0076066	2.837	MARK4
55616_at	0.0076503	2.82	PERLD1
207988_s_at	0.0077371	0.665	ARPC2
203133_at	0.0078007	0.61	SEC61B
202847_at	0.0078303	0.412	PCK2
215211_at	0.0078329	2.474
215077_at	0.0078411	8.41
212664_at	0.0078602	2.308	TUBB4
209919_x_at	0.00788	2.975	GGT1
218200_s_at	0.0079461	0.684	NDUFB2
209412_at	0.0080444	2.31	TMEM1
40837_at	0.0080697	3.211	TLE2
203455_s_at	0.0080891	0.7	SAT1
204565_at	0.0082235	0.563	THEM2
221913_at	0.0082299	3.376	SIRT3
219615_s_at	0.0082347	0.295	KCNK5
215183_at	0.0082905	3.683
207645_s_at	0.008409	3.966	CHD1L
218163_at	0.0084258	0.671	MCTS1
41386_i_at	0.008427	2.52	JMJD3
215233_at	0.0084552	3.116	PTDSR
217191_x_at	0.0084628	0.116
205856_at	0.0085749	5.465	SLC14A1
210168_at	0.0086019	2.228	C6
38290_at	0.0086439	0.078	RGS14
221208_s_at	0.0086539	1.686	C11orf61
220112_at	0.0086719	2.78	ANKRD55
210282_at	0.0086938	12.3	ZMYM2
218802_at	0.0087618	0.508	CCDC109B
221058_s_at	0.0087776	0.523	CKLF
210828_s_at	0.0088009	3.77	ARNT
200960_x_at	0.008827	0.616	CLTA
204799_at	0.0088285	5.027	ZBED4
201526_at	0.0088382	0.53	ARF5
221903_s_at	0.0089047	0.512	CYLD
214306_at	0.0089286	1.897	OPA1
206713_at	0.0089833	2.388	NTNG1
217592_at	0.0090451	2.455	ZSWIM1
209387_s_at	0.0090701	0.711	TM4SF1
201840_at	0.0090996	0.553	NEDD8
203128_at	0.0091212	2.845	SPTLC2
212573_at	0.0092408	0.608	ENDOD1
44696_at	0.009293	3.347	TBC1D13
221260_s_at	0.009334	2.932	C12orf22
209905_at	0.009344	2.344	HOXA9
222147_s_at	0.0094988	4.773	ACTR5
206195_x_at	0.0095114	2.907	GH2
208600_s_at	0.0096059	0.31	GPR39
212711_at	0.0096437	2.487	CAMSAP1
219187_at	0.0096534	0.374	FKBPL
214899_at	0.0096669	7.703	ZNF780B
205427_at	0.0096815	2.965	ZNF354A
206904_at	0.0096939	2.572	MATN1
202446_s_at	0.0097125	0.692	PLSCR1
212891_s_at	0.0097214	0.607	GADD45GIP1
209997_x_at	0.0097889	2.991	PCM1
214582_at	0.0098226	3.041	PDE3B
204406_at	0.0098349	5.874	FLT1
217780_at	0.0099403	0.621	C19orf56
220173_at	0.0099551	2.529	C14orf45
209273_s_at	0.0099616	0.531	HBLD2
203857_s_at	0.0099952	0.6	PDIA5
