Probe set	UG	Symbol	Title	Fold Increase	P-value	Adj. P-value
98427_s_at	Mm.256765	Nfkb1	Nuclear factor of kappa light chain gene enhancer in B-cells 1, p105	5.13	0.0205	0.405
92594_at	Mm.238879	Ap1g2	Adaptor protein complex AP-1, gamma 2 subunit	4.97	0.0489	0.789
160309_at	Mm.193041	Map3k7ip2	Mitogen-activated protein kinase kinase kinase 7 interacting protein 2	4.71	0.0496	0.896
96647_at	Mm.27293	4833420K19Rik	RIKEN cDNA 4833420K19 gene	4.66	0.0212	0.789
103222_at	Mm.235346	Eps8	Epidermal growth factor receptor pathway substrate 8	4.40	0.0084	0.218
160558_at	Mm.177194	Akt2	Thymoma viral proto-oncogene 2	4.31	0.0383	0.743
102786_at	Mm.259751	Clcn3	Chloride channel 3	4.22	0.0437	0.664
93257_at	Mm.251255	Ddx1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	4.21	0.0006	0.310
160846_at	Mm.370230	Nek6	NIMA (never in mitosis gene a)-related expressed kinase 6	4.17	0.0347	0.537
98927_at	Mm.28650	Rab6	RAB6, member RAS oncogene family	3.95	0.0098	0.789
94913_at	Mm.290530	E430034L04Rik	RIKEN cDNA E430034L04 gene	3.92	0.0217	0.537
95924_at	Mm.309774	1700012B15Rik	RIKEN cDNA 1700012B15 gene	3.85	0.0161	0.420
103567_at	Unknown	2010313D22Rik	RIKEN cDNA 2010313D22 gene	3.78	0.0006	0.028
95135_at	Mm.29429	Mid1ip1	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))	3.64	0.0200	0.383
96176_at	Mm.290447	Arih2	Ariadne homolog 2 (Drosophila)	3.50	0.0402	0.579
96806_at	Mm.227924	Lpin2	Lipin 2	3.47	0.0230	0.420
92870_at	Mm.250605	Sel1h	Sel1 (suppressor of lin-12) 1 homolog (C. elegans)	3.41	0.0004	0.896
99970_at	Mm.4420	Ptpn21	Protein tyrosine phosphatase, non-receptor type 21	3.33	0.0125	0.572
101002_at	Mm.250214	Oazin	Ornithine decarboxylase antizyme inhibitor	3.10	0.0358	0.743
93025_at	Mm.102496	Ndfip1	Nedd4 family interacting protein 1	3.02	0.0058	0.208
101442_f_at	Mm.7800	Itpr5	Inositol 1,4,5-triphosphate receptor 5	2.95	0.0142	0.448
94918_at	Mm.24174	Aars	Alanyl-tRNA synthetase	2.94	0.0252	0.572
97339_at	Mm.290182	Git1	G protein-coupled receptor kinase-interactor 1	2.93	0.0308	0.752
94831_at	Mm.236553	Ctsb	Cathepsin B	2.83	0.0195	0.448
97097_at	Mm.249545	4732465J09Rik	RIKEN cDNA 4732465J09 gene	2.82	0.0475	0.692
94298_at	Mm.22596	Tsta3	Tissue specific transplantation antigen P35B	2.80	0.0443	0.743
101919_at	Mm.919	Zfx	Zinc finger protein X-linked	2.80	0.0195	0.896
97357_at	Mm.24001	Mef2c	Myocyte enhancer factor 2C	2.78	0.0406	0.995
99537_at	Mm.42195	Ruvbl1	RuvB-like protein 1	2.77	0.0340	0.622
160966_at	Mm.235360	Unknown	Similar to zinc finger protein 187	2.76	0.0255	0.431
98504_at	Mm.276024	Rock2	Rho-associated coiled-coil forming kinase 2	2.73	0.0384	0.572
101007_at	Mm.42126	Mknk2	MAP kinase-interacting serine/threonine kinase 2	2.69	0.0431	0.743
104741_at	Mm.207367	Zdhhc9	Zinc finger, DHHC domain containing 9	2.68	0.0206	0.537
104105_at	Mm.235663	Xpo6	Exportin 6	2.68	0.0368	0.896
94531_at	Mm.169234	2310005O14Rik	RIKEN cDNA 2310005O14 gene	2.63	0.0097	0.326
98977_at	Mm.280717	Tinf2	Terf1 (TRF1)-interacting nuclear factor 2	2.58	0.0067	0.439
104611_at	Unknown	Unknown	Unknown	2.46	0.0358	0.572
102884_at	Mm.15105	Inpp5d	Inositol polyphosphate-5-phosphatase D	2.43	0.0008	0.383
103422_at	Mm.1894	Cd1d1	CD1d1 antigen	2.38	0.0137	0.977
94361_at	Mm.25264	Ddx21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	2.28	0.0186	0.896
96935_at	Mm.30181	MGI:1914432	Membrane-associated protein 17	2.28	0.0317	0.579
98952_at	Mm.178818	D8Ertd325e	DNA segment, Chr 8, ERATO Doi 325, expressed	2.26	0.0164	0.371
99478_at	Mm.329686	Ptprcap	Protein tyrosine phosphatase, receptor type, C polypeptide-associated protein	2.18	0.0484	0.752
99586_at	Mm.4263	Cst3	Cystatin C	2.17	0.0218	0.633
103556_at	Mm.274249	Ralgps1	Ral GEF with PH domain and SH3 binding motif 1	2.15	0.0218	0.537
103462_at	Mm.217288	Dock2	Dedicator of cyto-kinesis 2	2.15	0.0016	0.995
96759_r_at	Mm.253922	Sec14l2	SEC14-like 2 (S. cerevisiae)	2.08	0.0488	0.743
99162_at	Mm.313687	Smndc1	Survival motor neuron domain containing 1	2.07	0.0327	0.995
160811_at	Mm.320432	AU022870	Expressed sequence AU022870	2.07	0.0385	0.778
99101_at	Mm.3955	Eif3s7	Eukaryotic translation initiation factor 3, subunit 7 (zeta)	2.04	0.0056	0.290
93011_at	Mm.14638	Gabarapl1	Gamma-aminobutyric acid (GABA(A)) receptor-associated protein-like 1	2.02	0.0013	0.096
160212_at	Mm.25806	Ttc4	Tetratricopeptide repeat domain 4	1.98	0.0218	0.995
160887_at	Mm.327031	Hes1	Hairy and enhancer of split 1 (Drosophila)	1.93	0.0486	0.789
95701_at	Mm.94560	Cxxc5	CXXC finger 5	1.86	0.0437	0.995
97845_at	Mm.28265	Wdr5	WD repeat domain 5	1.85	0.0481	0.778
102862_at	Mm.355450	AI449533	Expressed sequence AI449533	1.85	0.0391	0.743
94403_at	Mm.347359	Tbc1d14	TBC1 domain family, member 14	1.82	0.0294	0.980
101104_at	Mm.7472	Dscr3	Down syndrome critical region gene 3	1.75	0.0487	0.995
92547_at	Mm.319512	Hip2	Huntingtin interacting protein 2	1.71	0.0075	0.504
102425_at	Mm.371587	Tle1	Transducin-like enhancer of split 1, homolog of Drosophila E(spl)	1.70	0.0435	0.789
103424_at	Mm.341747	6330442E10Rik	RIKEN cDNA 6330442E10 gene	1.66	0.0425	0.977
97226_at	Mm.370185	Gna12	Guanine nucleotide binding protein, alpha 12	1.63	0.0020	0.290
102032_at	Mm.10153	Twsg1	Twisted gastrulation homolog 1 (Drosophila)	1.60	0.0168	0.743
95437_at	Unknown	Rfwd2	Ring finger and WD repeat domain 2	1.59	0.0152	0.977
93826_at	Mm.205569	Ppp2r5a	Protein phosphatase 2, regulatory subunit B (B56), alpha isoform	1.59	0.0413	0.808
102399_at	Mm.323997	Rbpms	RNA binding protein gene with multiple splicing	1.55	0.0490	0.789
103085_at	Mm.247996	Hebp1	Heme binding protein 1	1.52	0.0049	0.405
94504_at	Mm.28955	4930570C03Rik	RIKEN cDNA 4930570C03 gene	1.52	0.0172	0.995
92489_at	Mm.252599	Gimap1	GTPase, IMAP family member 1	1.51	0.0218	0.808
92292_at	Mm.269857	Slc2a3	Solute carrier family 2 (facilitated glucose transporter), member 3	1.50	0.0225	0.572
98019_at	Mm.3248	Tgfb1i1	Transforming growth factor beta 1 induced transcript 1	1.50	0.0038	0.995
101525_at	Mm.1129	Ndufb10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10	1.49	0.0240	0.778
97984_i_at	Mm.278357	Kns2	Kinesin 2	1.48	0.0208	0.752
100122_at	Mm.17604	Gnb5	Guanine nucleotide binding protein, beta 5	1.44	0.0048	0.579
96148_at	Mm.28232	Senp6	SUMO/sentrin specific protease 6	1.41	0.0021	0.409
97116_at	Mm.373611	MGC27770	Hypothetical protein MGC27770	1.40	0.0414	0.896
103855_at	Mm.234912	Plec1	Plectin 1	1.39	0.0145	0.896
98291_at	Mm.347395	B3galt6	UDP-Gal:betaGal beta 1,3-galactosyltransferase, polypeptide 6	1.39	0.0213	0.977
98065_at	Mm.180546	Ormdl3	ORM1-like 3 (S. cerevisiae)	1.37	0.0232	0.939
100954_at	Mm.6461	Hrb	HIV-1 Rev binding protein	1.36	0.0080	0.995
101689_at	Unknown	Unknown	Unknown	1.36	0.0189	0.743
160941_at	Mm.322891	Pde8a	Phosphodiesterase 8A	1.34	0.0180	0.778
104401_at	Mm.349546	6430526N21Rik	RIKEN cDNA 6430526N21 gene	1.32	0.0057	0.502
96624_r_at	Unknown	Unknown	Unknown	1.32	0.0029	0.752
103564_at	Mm.323072	Uvrag	UV radiation resistance associated gene	1.32	0.0026	0.765
93454_at	Mm.681	C1qr1	Complement component 1, q subcomponent, receptor 1	1.31	0.0472	1.000
93660_at	Mm.131530	Camk2a	Calcium/calmodulin-dependent protein kinase II alpha	1.29	0.0221	0.918
93741_at	Mm.21062	Nmd3	NMD3 homolog (S. cerevisiae)	1.28	0.0075	0.743
94692_at	Mm.1332	Gpx5	Glutathione peroxidase 5	1.28	0.0491	0.995
102063_at	Mm.10504	Pdpk1	3-phosphoinositide dependent protein kinase-1	1.28	0.0192	0.995
99239_at	Mm.71710	Axin2	Axin2	1.27	0.0247	0.896
99886_at	Mm.7977	Oprk1	Opioid receptor, kappa 1	1.26	0.0312	0.994
101706_at	Mm.214224	Cnga3	Cyclic nucleotide gated channel alpha 3	1.26	0.0114	0.939
100618_f_at	Mm.337107	Slc25a5	Solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5	1.24	0.0063	0.980
98319_at	Mm.345891	Dsg2	Desmoglein 2	1.24	0.0248	0.995
98503_at	Mm.35796	Evi5	Ecotropic viral integration site 5	1.24	0.0473	0.977
162288_f_at	Mm.1845	Pcx	Pyruvate carboxylase	1.24	0.0180	0.995
94508_at	Mm.28963	1810020E01Rik	RIKEN cDNA 1810020E01 gene	1.23	0.0464	1.000
92915_s_at	Mm.196037	Hoxb7	Homeo box B7	1.22	0.0053	0.977
103070_at	Unknown	Unknown	Unknown	1.22	0.0479	0.995
94240_i_at	Mm.296790	LOC240367	Similar to ribosomal protein	1.22	0.0057	0.977
104420_at	Mm.2893	Nos2	Nitric oxide synthase 2, inducible, macrophage	1.22	0.0218	0.977
101746_i_at	Mm.240437	Igh-VJ558	Immunoglobulin heavy chain (J558 family)	1.21	0.0164	0.896
92894_s_at	Mm.31274	Nfia	Nuclear factor I/A	1.21	0.0099	0.896
93142_at	Mm.5183	Bach1	BTB and CNC homology 1	1.21	0.0467	0.997
97683_at	Mm.244187	Tnfrsf9	Tumor necrosis factor receptor superfamily, member 9	1.21	0.0241	0.977
92251_f_at	Mm.227595	AI607873	Expressed sequence AI607873	1.21	0.0251	0.995
103507_at	Mm.2254	Emr1	EGF-like module containing, mucin-like, hormone receptor-like sequence 1	1.21	0.0406	0.977
93136_at	Mm.148886	Dspg3	Dermatan sulphate proteoglycan 3	1.20	0.0484	0.995
99029_at	Mm.306663	Pias1	Protein inhibitor of activated STAT 1	1.20	0.0401	0.995
98970_at	Mm.148039	Ggps1	Geranylgeranyl diphosphate synthase 1	1.20	0.0039	0.995
95057_at	Mm.29151	Herpud1	Homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	1.20	0.0176	0.995
102771_at	Mm.181661	Setdb1	SET domain, bifurcated 1	1.20	0.0497	0.995
104522_at	Mm.40546	Itsn1	Intersectin 1 (SH3 domain protein 1A)	1.20	0.0103	0.977
96101_at	Mm.295230	Spint2	Serine protease inhibitor, Kunitz type 2	1.19	0.0048	0.896
100929_at	Mm.6128	Mtmr9	Myotubularin related protein 9	1.19	0.0032	0.896
161276_i_at	Mm.372452	Unknown	Transcribed locus	1.19	0.0067	0.995
162480_f_at	Mm.87078	Lefty1	Left right determination factor 1	1.19	0.0326	0.995
101173_at	Mm.5062	Pctp	Phosphatidylcholine transfer protein	1.18	0.0238	0.977
100338_s_at	Mm.337729	Cacna1e	Calcium channel, voltage-dependent, R type, alpha 1E subunit	1.18	0.0091	0.995
100494_at	Mm.241282	Fgf1	Fibroblast growth factor 1	1.18	0.0402	0.995
104495_f_at	Mm.347454	Klk5	Kallikrein 5	1.18	0.0134	0.995
101537_at	Mm.88078	Es1	Esterase 1	1.18	0.0447	0.995
101068_at	Unknown	Unknown	Unknown	1.18	0.0490	0.995
97327_at	Mm.2952	Fen1	Flap structure specific endonuclease 1	1.18	0.0067	0.977
101121_at	Mm.272472	Hat1	Histone aminotransferase 1	1.17	0.0165	0.995
160950_at	Mm.1729	Gapds	Glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	1.17	0.0447	0.995
98832_at	Mm.4991	Tpo	Thyroid peroxidase	1.17	0.0253	0.995
103986_at	Mm.2594	Inhbc	Inhibin beta-C	1.17	0.0035	0.995
96348_at	Mm.29998	Pnpla2	Patatin-like phospholipase domain containing 2	1.17	0.0417	0.997
160576_at	Unknown	Unknown	Unknown	1.16	0.0399	0.995
94633_at	Mm.45494	Gcg	Glucagon	1.16	0.0066	0.995
100428_at	Mm.329272	Lamc2	Laminin, gamma 2	1.16	<0.0001	0.977
102900_at	Unknown	Unknown	Unknown	1.16	0.0397	0.995
96980_at	Mm.218233	Myh10	Myosin, heavy polypeptide 10, non-muscle	1.16	0.0309	0.995
160796_at	Mm.137134	Tiam2	T-cell lymphoma invasion and metastasis 2	1.16	0.0467	0.995
103995_at	Mm.46053	Fgfbp1	Fibroblast growth factor binding protein 1	1.16	0.0477	0.995
102788_s_at	Mm.370196	Pitx2	Paired-like homeodomain transcription factor 2	1.16	0.0264	0.995
97705_at	Mm.271985	Snapc3	Small nuclear RNA activating complex, polypeptide 3	1.15	0.0182	0.995
96567_at	Mm.2965	Rho	Rhodopsin	1.15	0.0432	0.995
102693_f_at	Mm.193443	Klk26	Kallikrein 26	1.15	0.0023	0.995
160763_at	Mm.27970	Mapk13	Mitogen activated protein kinase 13	1.15	0.0109	0.995
100609_at	Mm.653	H2-Bf	Histocompatibility 2, complement component factor B	1.15	0.0029	0.995
160859_s_at	Mm.373534	Nfib	Nuclear factor I/B	1.15	0.0067	0.995
102395_at	Mm.1237	Pmp22	Peripheral myelin protein	1.15	0.0303	0.995
103972_at	Mm.153837	Kcnj1	Potassium inwardly-rectifying channel, subfamily J, member 1	1.14	0.0062	0.995
162155_f_at	Mm.343101	Msh3	MutS homolog 3 (E. coli)	1.14	0.0230	0.995
92556_at	Mm.196666	Akr1c6	Aldo-keto reductase family 1, member C6	1.14	0.0398	0.995
103434_at	Mm.281003	Pscd3	Pleckstrin homology, Sec7 and coiled-coil domains 3	1.14	0.0426	0.995
93891_at	Mm.247752	Kifc2	Kinesin family member C2	1.14	0.0341	0.995
96078_g_at	Mm.2656	Slc17a1	Solute carrier family 17 (sodium phosphate), member 1	1.14	0.0037	0.995
161167_r_at	Mm.2559	Uck1	Uridine-cytidine kinase 1	1.14	0.0384	0.995
162209_r_at	Mm.336316	Ptprr	Protein tyrosine phosphatase, receptor type, R	1.14	0.0378	0.995
100441_s_at	Mm.334444	Ank1	Ankyrin 1, erythroid	1.13	0.0207	0.995
98788_at	Mm.355440	Pit1	Pituitary specific transcription factor 1	1.13	0.0290	0.995
99515_at	Mm.39053	Ap2b1	Adaptor-related protein complex 2, beta 1 subunit	1.12	0.0394	0.995
104580_at	Mm.23963	Plcd1	Phospholipase C, delta 1	1.12	0.0287	0.995
94049_at	Mm.329582	Bhmt	Betaine-homocysteine methyltransferase	1.12	0.0091	0.995
101629_s_at	Mm.40343	Stx1b2	Syntaxin 1B2	1.12	0.0477	0.995
101661_r_at	Unknown	Unknown	Unknown	1.12	0.0047	0.995
100484_at	Mm.5022	Mmp13	Matrix metalloproteinase 13	1.12	0.0100	0.995
103224_at	Mm.2015	Rab33a	RAB33A, member of RAS oncogene family	1.12	0.0122	0.995
94799_at	Mm.1805	F8	Coagulation factor VIII	1.12	0.0484	0.995
100749_at	Mm.296127	Zbtb37	Zinc finger and BTB domain containing 37	1.11	0.0471	0.995
101688_at	Unknown	Unknown	Unknown	1.11	0.0119	0.995
162052_i_at	Mm.21414	Ccs	Copper chaperone for superoxide dismutase	1.11	0.0144	0.995
97888_at	Mm.302013	MGI:2385286	FGF receptor activating protein 1	1.11	0.0259	1.000
AFFX-MurIL4_at	Mm.276360	Il4	Interleukin 4	1.11	0.0482	0.995
94423_at	Mm.26282	BC004728	CDNA sequence BC004728	1.11	<0.0001	0.995
101431_at	Mm.358629	Rdh5	Retinol dehydrogenase 5	1.11	0.0333	0.995
162264_s_at	Mm.2185	Bub1	Budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae)	1.11	0.0200	0.995
99062_at	Mm.328072	Pvrl3	Poliovirus receptor-related 3	1.10	0.0060	0.995
104658_at	Mm.149720	Lifr	Leukemia inhibitory factor receptor	1.10	0.0388	0.995
162270_r_at	Mm.247037	Bag2	Bcl2-associated athanogene 2	1.09	0.0370	0.995
94431_at	Mm.149029	St6gal1	Beta galactoside alpha 2,6 sialyltransferase 1	1.09	0.0187	0.995
98328_at	Mm.173847	Tshr	Thyroid stimulating hormone receptor	1.08	0.0215	0.995
96076_at	Mm.153061	Stx5a	Syntaxin 5A	1.08	0.0186	1.000
92453_at	Mm.332128	Eya4	Eyes absent 4 homolog (Drosophila)	1.08	0.0097	0.995
104745_at	Mm.175403	Arl6ip2	ADP-ribosylation factor-like 6 interacting protein 2	1.08	0.0159	0.995
94332_at	Mm.292415	Ets1	E26 avian leukemia oncogene 1, 5 domain	1.06	0.0176	0.995
93000_g_at	Mm.249575	Six4	Sine oculis-related homeobox 4 homolog (Drosophila)	1.04	0.0427	1.000
