Gene symbol	Treated/Untreated ratio	Parametric p-value	Description
KLF4	3.22	2.36E-04	Kruppel-like factor 4 (gut)
LARP2	2.15	8.97E-04	La ribonucleoprotein domain family, member 2
MBIP	1.93	6.35E-04	MAP3K12 binding inhibitory protein 1
MED8	1.98	4.31E-05	Mediator complex subunit 8
MEF2A	2.81	8.90E-05	Myocyte enhancer factor 2A
MGAT1	1.71	5.79E-04	Mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
MIER2	1.61	9.30E-04	mesoderm induction early response 1, family member 2
MIS12	2.43	5.31E-05	MIS12, MIND kinetochore complex component, homolog (yeast)
MOBKL2C	4.28	7.34E-05	MOB1, Mps One Binder kinase activator-like 2C (yeast)
MTMR3	2.29	6.88E-04	Myotubularin related protein 3
NFIL3	2.5	1.15E-05	Nuclear factor, interleukin 3 regulated
NRBF2	2.08	2.97E-04	Nuclear receptor binding factor 2
NSUN3	2.6	4.19E-05	NOL1/NOP2/Sun domain family, member 3
NT5DC2	0.55	7.10E-04	5-nucleotidase domain containing 2
NUP50	1.62	9.31E-04	Nucleoporin 50kDa
OTUD1	2.75	1.52E-05	OTU domain containing 1
PIM2	1.95	1.25E-04	Pim-2 oncogene
PNPLA8	2.55	3.27E-04	Patatin-like phospholipase domain containing 8
POLR3E	1.77	9.92E-04	Polymerase (RNA) III (DNA directed) polypeptide E (80kD)
PPP1R15A	4.35	3.16E-04	Protein phosphatase 1, regulatory (inhibitor) subunit 15A
PTPN21	3.68	6.79E-05	Protein tyrosine phosphatase, non-receptor type 21
PUM1	1.83	5.02E-04	Pumilio homolog 1 (Drosophila)
RGMB	2.13	5.27E-04	RGM domain family, member B
RIT1	2.18	2.92E-04	Ras-like without CAAX 1
RNF44	2.07	2.48E-04	Ring finger protein 44
SAV1	2.07	1.55E-04	Salvador homolog 1 (Drosophila)
SERPINB8	2.4	2.16E-04	Serpin peptidase inhibitor, clade B (ovalbumin), member 8
SESN2	3.55	1.96E-04	Sestrin 2
SETX	2.73	7.79E-04	Senataxin
SFRS17A	2.42	8.67E-04	splicing factor, arginine/serine-rich 17A
SIN3A	2	6.65E-05	SIN3 homolog A, transcription regulator (yeast)
SNRK	2.28	6.41E-04	SNF related kinase
SSR2	2.28	6.14E-04	Signal sequence receptor, beta (translocon-associated protein beta)
STX5A	1.91	3.82E-04	Syntaxin 5
TFIP11	1.7	8.53E-04	Tuftelin interacting protein 11
TICAM1	2	9.40E-05	Toll-like receptor adaptor molecule 1
TICAM2	3.93	1.08E-04	Toll-like receptor adaptor molecule 2
TMEM39A	1.93	2.04E-04	Transmembrane protein 39A
TRAF6	2.41	6.29E-04	TNF receptor-associated factor 6
TRIB1	3.13	8.00E-04	Tribbles homolog 1 (Drosophila)
TRIM11	1.74	7.54E-04	Tripartite motif-containing 11
TSC22D1	1.7	4.47E-04	TSC22 domain family, member 1
UBAP1	1.98	6.59E-04	Ubiquitin associated protein 1
UBTD2	1.64	4.41E-04	Ubiquitin domain containing 2
USP30	1.86	7.25E-04	Ubiquitin specific peptidase 30
VPRBP	1.73	7.34E-04	Vpr (HIV-1) binding protein
WSB1	2.38	1.14E-04	WD repeat and SOCS box-containing 1
WTAP	1.69	9.41E-04	Wilms tumor 1 associated protein
ZNF140	2.21	1.82E-04	Zinc finger protein 140
ZNF746	1.63	8.43E-04	zinc finger protein 746
