Probe Set	Accession	Gene Symbol	FC:(Tlob/ normal ductal)	pfp	Increase	Decrease
238750_at	AW083576	CCL28	-5,06842	0,026	0	4
215300_s_at	AK022172	FMO5	-5,04541	0,0337	0	4
219343_at	NM_017913	CDC37L1	-5	0,0318	0	5
213680_at	AI831452	KRT6B	-4,99251	0,0183	0	4
203881_s_at	NM_004010	DMD	-4,93583	0,032	0	4
1559739_at	AK025141	CHPT1	-4,92126	0,042	0	4
227764_at	AA227842	MGC52057	-4,87567	0,0254	0	5
222035_s_at	AI984479	PAPOLA	-4,84262	0,0417	1	4
227702_at	AA557324	CYP4X1	-4,81928	0,018	1	4
823_at	U84487	CX3CL1	-4,80769	0,0422	0	4
203373_at	NM_003877	SOCS2	-4,76872	0,0513	1	4
1557543_at	AL832672	NOTCH2	-4,58295	0,0481	0	4
239250_at	BE966038	ZNF542	-4,55581	0,0455	0	4
207938_at	NM_015886	PI15	-4,51264	0,0323	0	5
224189_x_at	AF124438	EHF	-4,46229	0,0422	0	5
203439_s_at	BC000658	STC2	-4,45236	0,0253	1	4
209292_at	AL022726	ID4	-4,45038	0,0185	1	4
221958_s_at	AA775681	C1orf139	-4,44444	0,0588	0	4
225207_at	AV707102	PDK4	-4,44247	0,0464	1	4
221872_at	AI669229	RARRES1	-4,4287	0,0171	1	4
203438_at	AI435828	STC2	-4,42674	0,0276	0	4
219115_s_at	NM_014432	IL20RA	-4,26985	0,0455	0	5
202746_at	AL021786	ITM2A	-4,26076	0,0536	0	4
217014_s_at	AC_004522	AZGP1	-4,24628	0,0451	0	5
221796_at	AA707199	NTRK2	-4,24628	0,0161	1	4
205898_at	U20350	CX3CR1	-4,24268	0,0435	0	4
220230_s_at	NM_016229	CYB5R2	-4,23012	0,051	0	4
223099_s_at	BC004234	LONPL	-4,2123	0,0723	0	4
224361_s_at	AF250309	IL17RB	-4,19815	0,0459	1	4
225645_at	AI763378	EHF	-4,18585	0,0423	0	5
1557240_a_at	BU689085	BBX	-4,1684	0,048	1	4
225297_at	AV715391	CCDC5	-4,1632	0,0539	0	5
209270_at	L25541	LAMB3	-4,14766	0,0467	1	4
227253_at	AI922198	CP	-4,14079	0,0309	1	4
1557239_at	BU689085	BBX	-4,12201	0,0433	1	4
235182_at	AI816793	C20orf82	-4,12031	0,0551	0	4
227017_at	BE644894	ERICH1	-4,10341	0,0745	0	4
227312_at	AI694536	---	-4,05351	0,0455	0	4
243140_at	AI917901	ACTA2	-4,03063	0,018	1	4
222829_s_at	BE219979	IL20RA	-3,98406	0,0669	0	4
212560_at	AV728268	C11orf32	-3,97931	0,0666	0	5
235513_at	AW131450	---	-3,96511	0,0673	0	4
208703_s_at	BG427393	APLP2	-3,92311	0,0962	0	4
224873_s_at	AK024433	MRPS25	-3,91389	0,0784	0	4
230763_at	AA905508	LOC128153	-3,85208	0,0824	0	4
58916_at	AI672101	KCTD14	-3,81388	0,0823	0	4
209309_at	D90427	AZGP1	-3,80228	0,0734	0	5
219255_x_at	NM_018725	IL17RB	-3,75094	0,0677	1	4
224156_x_at	AF208111	IL17RB	-3,74532	0,0705	1	4
238481_at	AW512787	MGP	-3,72717	0,059	1	4
206392_s_at	NM_002888	RARRES1	-3,67918	0,0631	0	4
232361_s_at	AA565141	EHF	-3,66435	0,083	0	5
230986_at	AI821447	KLF8	-3,6483	0,0789	0	4
1560850_at	BC016831	---	-3,61925	0,0798	0	4
204259_at	NM_002423	MMP7	-3,60881	0,0701	1	4
202719_s_at	BC001451	TES	-3,58295	0,0904	0	5
225386_s_at	AI559701	HNRPLL	-3,57526	0,0417	0	4
205509_at	NM_001871	CPB1	-3,57398	0,048	1	4
1556666_a_at	BU680030	TTC6	-3,56761	0,0215	0	4
218963_s_at	NM_015515	KRT23	-3,49284	0,0792	0	5
216918_s_at	AL096710	DST	-3,49284	0,0981	0	5
204897_at	AA897516	PTGER4	-3,49162	0,0944	1	4
237839_at	BF433975	ANK3	-3,46981	0,0979	0	4
202504_at	NM_012101	TRIM29	-3,45304	0,0789	0	4
207144_s_at	NM_004143	CITED1	-3,44828	0,0901	1	4
206825_at	NM_000916	OXTR	-3,36927	0,067	1	4
224240_s_at	AF266504	CCL28	-3,34784	0,0725	0	5
225792_at	AA618420	HOOK1	-3,26584	0,0744	0	4
212741_at	AA923354	MAOA	-3,01296	0,0902	0	4
214456_x_at	M23699	SAA1	-2,93686	0,0993	0	4
215446_s_at	L16895	LOX	3,2337	0,0997	4	1
202988_s_at	NM_002922	RGS1	3,3251	0,089	4	1
212353_at	AI479175	SULF1	3,3382	0,0896	4	0
209795_at	L07555	CD69	3,3992	0,0989	4	0
213869_x_at	AA218868	THY1	3,5095	0,0938	5	0
213790_at	W46291	ADAM12	3,5356	0,0802	4	1
232458_at	AU146808	---	3,541	0,0867	4	1
228141_at	AA173223	NUDT4	3,5543	0,0756	4	0
1558747_at	AA336502	SMCHD1	3,5712	0,0723	4	0
210511_s_at	M13436	INHBA	3,5953	0,0962	4	1
212488_at	N30339	COL5A1	3,6056	0,0703	4	0
204844_at	L12468	ENPEP	3,6736	0,0441	4	0
204468_s_at	NM_005424	TIE1	3,7066	0,0413	4	0
212764_at	AI806174	---	3,7517	0,0502	4	0
225664_at	AA788946	COL12A1	3,7751	0,0901	5	0
217028_at	AJ224869	CXCR4	3,7885	0,0961	4	0
219158_s_at	NM_025085	NARG1	3,8403	0,0443	4	1
206227_at	NM_003613	CILP	3,8874	0,0774	4	0
1555971_s_at	AU154086	FBXO28	3,9212	0,0904	5	0
200890_s_at	AW006345	SSR1	3,9423	0,0952	4	0
218009_s_at	NM_003981	PRC1	3,9455	0,0855	4	0
216050_at	AK024584	---	3,9605	0,0676	4	0
213418_at	NM_002155	HSPA6	4,058	0,0778	5	0
202664_at	AW058622	WASPIP	4,0941	0,0764	5	0
243496_at	AW367507	---	4,0999	0,062	5	0
212468_at	AK023512	SPAG9	4,1003	0,0861	4	1
226695_at	AA775472	PRRX1	4,2042	0,0508	5	0
214453_s_at	NM_006417	IFI44	4,2169	0,078	5	0
225583_at	AL573637	UXS1	4,2905	0,0481	5	0
224827_at	AK022894	DC-UbP	4,2987	0,0708	4	0
211651_s_at	M20206	LAMB1	4,3766	0,0257	4	0
229723_at	BF591040	TAGAP	4,3856	0,0505	5	0
201792_at	NM_001129	AEBP1	4,4789	0,0319	4	0
224724_at	AL133001	SULF2	4,4928	0,0423	5	0
204500_s_at	NM_015239	AGTPBP1	4,5273	0,0593	4	0
224791_at	AW513835	DDEF1	4,5643	0,0223	4	0
207117_at	NM_015852	H-plk	4,6229	0,0111	4	0
209596_at	AF245505	MXRA5	4,6759	0,0397	4	0
241709_s_at	AA599017	DOCK1	4,7087	0,0406	4	0
220088_at	NM_001736	C5R1	4,8611	0,0188	4	0
200665_s_at	NM_003118	SPARC	4,9385	0,0331	4	0
227539_at	AW298099	GNA13	4,9461	0,0292	4	0
219675_s_at	NM_025076	UXS1	4,9467	0,0289	4	0
212473_s_at	BE965029	MICAL2	4,9712	0,021	5	0
201261_x_at	BC002416	BGN	4,9788	0,0167	4	0
219700_at	NM_020405	PLXDC1	4,9835	0,04	4	1
1561760_s_at	AF085995	LOC441038	5,1342	0,0204	4	1
210809_s_at	D13665	POSTN	5,1745	0,0206	5	0
213241_at	AF035307	PLXNC1	5,1967	0,0113	4	1
1556499_s_at	BE221212	COL1A1	5,2833	0,0172	4	0
1556474_a_at	AK095698	FLJ38379	5,3124	0,0075	4	0
226777_at	AA147933	ADAM12	5,3188	0,0204	5	0
1555778_a_at	AY140646	POSTN	5,4705	0,0097	5	0
218668_s_at	NM_021183	RAP2C	5,5643	0,0117	4	0
204620_s_at	NM_004385	CSPG2	5,8082	0,0089	5	0
37892_at	J04177	COL11A1	5,8644	0,0093	4	0
226237_at	AL359062	COL8A1	5,8754	0,01	4	0
204463_s_at	AU118882	EDNRA	5,9081	0,0037	4	1
235318_at	AW955612	FBN1	5,9684	0,0095	4	1
221731_x_at	BF218922	CSPG2	6,1199	0,0073	5	0
203083_at	NM_003247	THBS2	6,4687	0,0079	4	0
209541_at	AI972496	IGF1	6,5395	0,0041	4	1
202403_s_at	AA788711	COL1A2	7,0173	0,0038	4	0
226930_at	AI345957	FNDC1	7,0557	0,0037	4	0
223122_s_at	AF311912	SFRP2	7,1332	0,0036	4	1
213905_x_at	AA845258	BGN /// SDCCAG33	7,2009	0,0013	5	0
213975_s_at	AV711904	LYZ /// LILRB1	7,3459	0,0016	5	0
223121_s_at	AW003584	SFRP2	7,3872	0,0038	4	0
201438_at	NM_004369	COL6A3	7,737	0,0015	5	0
205713_s_at	NM_000095	COMP	8,1414	0,0014	4	0
221730_at	NM_000393	COL5A2	8,3603	0,0011	5	0
229218_at	AA628535	COL1A2	8,4169	0,0013	5	0
216442_x_at	AK026737	FN1	9,6642	0,0006	5	0
210495_x_at	AF130095	FN1	9,895	0,0006	5	0
212464_s_at	X02761	FN1	10,5108	0	5	0
202310_s_at	K01228	COL1A1	10,8295	0	4	0
204619_s_at	BF590263	CSPG2	11,0285	0	4	0
221729_at	AL575735	COL5A2	11,2716	0	5	0
213909_at	AU147799	LRRC15	11,7882	0	4	0
229802_at	AA147884	WISP1	12,3532	0	4	0
211719_x_at	BC005858	FN1	12,5355	0	5	0
202311_s_at	AI743621	COL1A1	12,951	0	5	0
201852_x_at	AI813758	COL3A1	13,7334	0	4	0
215076_s_at	AU144167	COL3A1	13,8233	0	5	0
211161_s_at	AF130082	COL3A1	14,933	0	5	0
202404_s_at	NM_000089	COL1A2	18,3294	0	5	0
225681_at	AA584310	CTHRC1	18,4965	0	5	0
219087_at	NM_017680	ASPN	23,2815	0	5	0
