RefSeq Transcript ID	Symbol	Gene Name	Cell line Fold change	Tissue Fold change	Chr
XM_166164	LOC219854	Hypothetical protein LOC219854	-1.18	-1.42	11q24
NM_019843	EIF4ENIF1	Eukaryotic translation initiation factor 4E nuclear import factor 1	-1.19	-2.14	22q12
NM_001457	FLNB	Filamin B, beta (actin binding protein 278)	-1.23	-2.04	3p14
NM_002998	SDC2	Syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	-1.23	-1.95	8q22
NM_001390	DTNA	Dystrobrevin, alpha	-1.24	-8.25	18q12
NM_005194	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	-1.25	-1.81	20q13
NM_001014842	TM9SF1	Transmembrane 9 superfamily member 1	-1.25	-1.5	14q11
NM_031866	FZD8	Frizzled homolog 8 (Drosophila)	-1.29	-0.8	10p1
NM_001015881	TSC22D3	TSC22 domain family, member 3	-1.29	-4.6	Xq22
NM_004853	STX8	Syntaxin 8	-1.31	-2.34	17p13
NM_018434	RNF130	Ring finger protein 130	-1.41	-8.53	5q35
NM_025155	WDR71	WD repeat domain 71	-1.41	-2.13	11q13
NM_005407	SALL2	Sal-like 2 (Drosophila)	-1.45	-3.98	14q11
NM_014767	SPOCK2	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	-1.49	-3.23	10q22
NM_032314	MGC4767	Hypothetical protein MGC4767	-1.5	-1.45	12q24
NM_005769	CHST4	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4	-1.53	-0.31	16q22
NM_022138	SMOC2	SPARC related modular calcium binding 2	-1.59	-4.48	6q27
