Affymetrix Gene ID	Entrez Gene Name	Full Gene Name	Contrast Analysis	2 Month A	2 Month B	6 Month A	6 Month B	12 Month A	12 Month B	21 Month A	21 Month B
1417129_a_at	Mrg1	myeloid ecotropic viral integration site-related gene 1	-19.45	3.23	3.15	3.17	3.15	4.41	3.64	4.88	5.6
1421880_at	Mtmr1	myotubularin related protein 1	-19.41	5.64	5.65	5.99	6.08	6.38	5.8	7.14	7.17
1448688_at	Podxl	podocalyxin-like	-19.28	6.32	7.13	6.91	7.05	7.96	7.93	8.21	8.28
1437155_a_at	2310058J06Rik	RIKEN cDNA 2310058J06 gene	-19.26	3.69	3.81	5.31	5.25	4.66	7.09	6.33	6.22
1428359_s_at	1810010M01Rik	RIKEN cDNA 1810010M01 gene	-19.12	3.38	3.48	3.55	3.29	4.78	5.32	6.52	6.59
1423597_at	Atp8a1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	-18.91	4.51	4.22	5.32	4.69	5.32	5.19	6.37	6.46
1415889_a_at	Tra1	tumor rejection antigen gp96	-18.91	9.17	9.04	9.98	9.83	10.54	9.25	10.72	10.68
1415881_at	Ghitm	growth hormone inducible transmembrane protein	-18.6	8.46	8.43	8.58	8.45	10.28	8.78	10.24	10.22
1424621_at	AA792894	EST AA792894	-18.46	4.33	4.7	5.62	6.1	6.39	5.2	6.77	6.74
1460319_at	Fut8	fucosyltransferase 8	-18.32	9.53	8.9	10.06	10.36	10.77	9.38	11.43	11.53
1438736_at	D130005M13	hypothetical protein D130005M13	-18.09	8.23	8.08	8.96	9.31	10.12	8.98	10.78	10.64
1427253_s_at	D11Ertd530e	DNA segment, Chr 11, ERATO Doi 530, expressed	-17.99	3.38	3.35	3.48	3.69	3.41	3.81	6.07	6.24
1450963_at	4833420I20Rik	RIKEN cDNA 4833420I20 gene	-17.84	8.19	8.11	9.2	9.38	10.81	7.53	10.53	10.6
1455281_at	1110001N06Rik	RIKEN cDNA 1110001N06 gene	-17.74	5.39	5.07	5.1	4.98	6.71	5.47	6.54	6.54
1415711_at	D130059B05Rik	RIKEN cDNA D130059B05 gene	-17.73	7.97	8.2	8.12	8.09	9.25	8.57	9.95	9.86
1454610_at	7-Sep	septin 7	-17.66	9.54	9.41	9.84	9.83	10.38	9.46	10.93	10.91
1449512_a_at	Zfx	zinc finger protein X-linked	-17.66	4.84	4.9	4.99	5.08	6.21	5.27	7.51	7.8
1434605_at	BC018347	cDNA sequence BC018347	-17.49	3.8	3.84	4.1	4.39	4.64	2.54	6.17	5.98
1416861_at	Stam	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	-17.24	6.61	6.65	6.52	6.46	6.76	6.86	7.87	7.8
1418641_at	Lcp2	lymphocyte cytosolic protein 2	-17.23	6.96	6.65	7.57	7.42	8.47	8.32	9.18	8.98
1448958_at	Ifrg15	interferon alpha responsive gene	-17.2	5.87	5.53	5.53	5.77	8.02	6.49	8.13	7.97
1416411_at	Gstm2	glutathione S-transferase, mu 2	-17.17	4.93	4.77	5.51	5.85	8.08	5.53	8.77	8.72
1449324_at	Ero1l	ERO1-like (S. cerevisiae)	-17.04	7.92	8.37	8.4	8.29	9.67	9.01	9.9	10.01
1422455_s_at	Nsf	N-ethylmaleimide sensitive fusion protein	-16.92	4.98	4.67	5.81	5.51	6.33	4.82	7.66	7.88
1448399_at	Tax1bp1	Tax1 (human T-cell leukemia virus type I) binding protein 1	-16.75	9.77	9.89	10.06	10.09	11.78	9.65	11.91	11.84
1424343_a_at	Eif1a	eukaryotic translation initiation factor 1A	-16.65	8.39	8.37	9.4	8.98	9.92	9.26	10.32	10.45
1448623_at	2310075C12Rik	RIKEN cDNA 2310075C12 gene	-16.56	9.24	9.34	9.87	10.11	10.67	9.21	11.03	11.08
1435634_at	A030012M09Rik	RIKEN cDNA A030012M09 gene	-16.48	6.98	6.77	7.66	7.59	8.44	7.57	9.15	9.34
1419169_at	Mapk6	mitogen-activated protein kinase 6	-16.24	7.23	6.9	7.2	7.28	9.84	7.69	10.7	10.98
1418322_at	Crem	cAMP responsive element modulator	-16.19	9.9	9.85	11.01	10.54	11.23	10.2	11.15	11.18
1421819_a_at	na	similar to protein phosphatase 2A inhibitor-2 I-2PP2A	-16.07	7.1	7.37	7.72	8.97	8.45	7.56	9.91	9.7
1423073_at	0610011D08Rik	RIKEN cDNA 0610011D08 gene	-16.01	10.14	10.2	10.7	10.83	11.96	10.41	12.15	12.25
1428905_at	Rraga	Ras-related GTP binding A	-15.9	3.78	3.63	3.66	4.9	4.05	3.76	6.8	6.52
1417622_at	Slc12a2	solute carrier family 12, member 2	-15.83	7.67	8.6	8.14	8	8.66	8.57	9.08	9.07
1418025_at	Bhlhb2	basic helix-loop-helix domain containing, class B2	-15.8	8.7	8.31	9.48	9.64	10.13	10.29	10.85	11.07
1429296_at	Rab10	RAB10, member RAS oncogene family	-15.73	6.71	6.75	7.78	8.19	8.7	6.8	9.74	9.44
1423956_at	Smap1	stromal membrane-associated protein 1	-15.64	7.7	8.29	8.15	8.36	8.96	9.09	9.27	9.36
1451276_at	NA	NA	-15.6	7.54	7.56	7.62	7.72	8.63	7.55	9.34	9.45
1449906_at	Selp	selectin, platelet	-15.58	4.64	4.41	8.07	7.22	9.05	10.05	10.16	10.94
1416458_at	Arf2	ADP-ribosylation factor 2	-15.51	7.21	7.11	7.38	7.3	8.76	7.19	9.37	9.57
1426678_at	3110006P09Rik	RIKEN cDNA 3110006P09 gene	-15.51	9.54	9.48	9.98	9.89	11.38	9.21	11.38	11.5
1420671_x_at	Ms4a4c	membrane-spanning 4-domains, subfamily A, member 4C	-15.44	4.29	4.1	3.79	3.99	4.24	4.28	5.93	6.36
1451177_at	2010306G19Rik	RIKEN cDNA 2010306G19 gene	-15.44	9.21	9.2	10.02	9.74	10.19	9.17	10.62	10.7
1420497_a_at	Cebpa-rs1	CCAAT/enhancer binding protein alpha (C/EBP), related sequence 1	-15.39	8.11	7.55	9.57	8.96	9.82	8.36	10.38	10.22
1452117_a_at	Fyb	FYN binding protein	-15.34	8.21	8.15	8.73	8.87	9.39	9.28	9.35	9.35
1450400_at	Ncoa6ip	nuclear receptor coactivator 6 interacting protein	-15.33	3.91	4.17	4.65	5.76	6.16	3.95	8.01	7.71
1419645_at	Cstf2	cleavage stimulation factor, 3 pre-RNA subunit 2	-15.21	9.2	9.2	9.28	9.14	10.67	9.57	10.5	10.39
1425494_s_at	Bmpr1a	bone morphogenetic protein receptor, type 1A	-15.2	4.19	3.97	4.4	3.45	6.48	4.86	6.53	6.68
1418488_s_at	Ankrd3	ankyrin repeat domain 3	-15.08	5.6	4.85	7.12	5.33	8.66	8.47	9.66	9.95
1424368_s_at	Ubqln1	ubiquilin 1	-15.08	10	9.98	10.01	10.09	11.59	9.54	11.58	11.55
1423318_at	Rad18	RAD18 homolog (S. cerevisiae)	-15.01	3.83	4.01	4.02	4.31	4.53	4.34	5.43	5.53
1427229_at	Hmgcr	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	-15.01	6.82	6.8	7.2	7.16	8.58	7.85	8.46	8.83
1417768_at	1200006O19Rik	RIKEN cDNA 1200006O19 gene	-14.81	8.3	8.3	8.68	8.52	9.38	9.23	9.47	9.6
1421904_at	Ncoa6ip	nuclear receptor coactivator 6 interacting protein	-14.74	8.82	9.09	10.11	9.76	10.31	9.46	10.68	10.71
1418101_a_at	Rtn3	reticulon 3	-14.68	9.23	9.2	9.31	9.32	10.67	9.54	10.6	10.48
1448873_at	Ocln	occludin	-14.59	4.09	4.03	4.35	3.73	4.86	4.76	5.41	5.67
1450941_at	Sdcbp	syndecan binding protein	-14.56	9.6	9.76	9.77	9.84	11.27	9.91	11.62	11.75
1423773_at	1700034P14Rik	RIKEN cDNA 1700034P14 gene	-14.38	10.17	9.97	10.54	10.55	12.04	10.68	12.27	12.16
1454849_x_at	Clu	clusterin	-14.27	7.41	7.84	8.84	7.64	10.42	10.47	11.05	11.64
1422901_at	Mgea5	meningioma expressed antigen 5 (hyaluronidase)	-14.15	5.5	5.51	5.43	5.36	6.69	5.49	6.71	6.71
1434137_x_at	1810010M01Rik	RIKEN cDNA 1810010M01 gene	-14.12	5.37	5.58	5.56	4.73	6.43	6.34	8.24	7.91
1449519_at	Gadd45a	growth arrest and DNA-damage-inducible 45 alpha	-14.12	6.22	6.44	6.86	6.83	8.28	6.54	8.52	8.63
1427102_at	Slfn4	schlafen 4	-14.1	2.99	2.91	2.93	2.86	3.5	4.22	5.77	6.7
1437457_a_at	Mtpn	myotrophin	-14.06	11.89	11.67	12.51	12.33	13.04	11.77	13.44	13.55
1420901_a_at	Hk1	hexokinase 1	-14.03	2.45	2.36	2.36	2.35	4.72	2.74	4.41	3.36
1448374_at	1500003D12Rik	RIKEN cDNA 1500003D12 gene	-13.98	4.77	4.74	5.42	5.44	5.75	5.7	6.61	6.71
1433613_at	Pank3	pantothenate kinase 3	-13.92	6.79	6.92	6.84	6.87	6.79	7.09	8.02	8.06
1416121_at	Lox	lysyl oxidase	-13.92	5.06	5.79	6.92	6.37	7.44	7.73	8.72	8.96
1421193_a_at	Pbx3	pre B-cell leukemia transcription factor 3	-13.91	6.21	6.15	6.17	6.4	8	6.21	8.23	8.31
1451122_at	Idi1	isopentenyl-diphosphate delta isomerase	-13.88	7.98	7.88	9.09	8.49	9.26	8.53	9.49	9.48
1416029_at	Tieg1	TGFB inducible early growth response 1	-13.86	8.75	8.67	9.98	9.06	9.66	9.85	10.18	10.09
1450958_at	Tm4sf1	transmembrane 4 superfamily member 1	-13.72	8.59	9.03	10.55	9.92	11.78	11.09	12.59	12.96
1429568_x_at	2510010F15Rik	RIKEN cDNA 2510010F15 gene	-13.71	8.34	8.45	9.25	9.08	9.96	8.31	10.17	10.02
1426501_a_at	T2bp	Traf2 binding protein	-13.63	4.43	4.39	4.56	5.09	7.18	5.33	7.76	7.63
1417487_at	Fosl1	fos-like antigen 1	-13.6	4.52	4.41	4.62	4.38	5.2	5.39	5.83	5.8
1419069_at	Rabgef1	RAB guanine nucleotide exchange factor (GEF) 1	-13.59	4.95	5.18	5.54	5.58	5.93	5.17	6.33	6.37
1419360_a_at	Ss18	synovial sarcoma translocation, Chromosome 18	-13.59	11.14	10.92	11.1	10.99	12.71	11.51	12.84	12.67
1418501_a_at	Oxr1	oxidation resistance 1	-13.56	10.16	10.29	10.7	9.43	11.23	11.14	11.68	11.89
1418505_at	Nudt4	nudix (nucleoside diphosphate linked moiety X)-type motif 4	-13.53	6.65	6.65	7.48	7.83	9.35	7.58	9.3	9.42
1420558_at	Selp	selectin, platelet	-13.49	5.47	5.53	8.36	7.24	9.1	10.16	10.3	10.68
1416660_at	Eif3s10	eukaryotic translation initiation factor 3, subunit 10 (theta)	-13.47	6.11	6.22	6.66	6.93	7.74	5.89	9.02	8.74
1419089_at	Timp3	tissue inhibitor of metalloproteinase 3	-13.45	6.47	6.54	6.73	6.7	7.27	6.66	7.83	7.74
1415834_at	Dusp6	dual specificity phosphatase 6	-13.4	8.51	8.2	9.08	8.7	10.44	9.62	11.11	11.18
1460213_at	Golga4	golgi autoantigen, golgin subfamily a, 4	-13.36	5.63	5.25	6.1	6.04	7.45	5.36	7.96	8.02
1415860_at	Kpna2	karyopherin (importin) alpha 2	-13.35	7.97	7.86	8.4	8.4	9.41	7.68	9.39	9.45
1453156_s_at	NA	NA	-13.33	4.78	4.49	4.72	4.82	5.62	5.18	5.77	5.83
1437458_x_at	Clu	clusterin	-13.33	6.25	6.98	8.43	6.9	10.63	10.32	10.94	11.53
1416950_at	Tnfaip8	tumor necrosis factor, alpha-induced protein 8	-13.32	10.82	10.82	11.64	11.93	13.17	10.8	13.21	13.37
1418970_a_at	Bcl10	B-cell leukemia/lymphoma 10	-13.31	9.95	9.95	10.04	9.98	10.95	9.24	11.37	11.31
1450903_at	Rad23b	RAD23b homolog (S. cerevisiae)	-13.29	5.47	5.84	6.29	6.13	7.85	6.94	8.27	8.32
1416468_at	Aldh1a1	aldehyde dehydrogenase family 1, subfamily A1	-13.26	8.42	8.76	10.79	10.7	12.29	11.33	12.43	12.82
1426307_at	Ncb5or	NADPH cytochrome B5 oxidoreductase	-13.23	8.26	8.36	8.71	8.8	9.39	7.98	9.59	9.64
1419184_a_at	Fhl2	four and a half LIM domains 2	-13.19	6.37	7.16	7.04	6.75	7.47	7.52	7.94	7.99
1423513_at	Neo1	neogenin	-13.14	7.31	7.36	7.21	7.06	9.36	7.93	9.31	9.45
1429839_a_at	Yaf2	YY1 associated factor 2	-13.13	10.32	10.86	10.82	10.8	11.22	11.33	11.74	11.64
1460203_at	Itpr1	inositol 1,4,5-triphosphate receptor 1	-13.11	8.96	8.79	9.05	8.95	9.91	9.77	10.46	10.57
1456728_x_at	Aco1	aconitase 1	-13.06	7.57	7.86	7.88	8.31	8.98	8.85	8.58	8.61
1428368_at	5530401C11Rik	RIKEN cDNA 5530401C11 gene	-13.05	5.11	5.21	5.06	5.32	7.28	6.7	7.4	7.43
1449199_at	Muc1	mucin 1, transmembrane	-13.03	6.12	5.83	6.64	6.82	8.43	7.91	8.36	9.86
1419642_at	Purb	purine rich element binding protein B	-13.03	8.54	8.48	8.48	8.95	9.36	8.62	10.82	10.67
1417853_at	Clca1	chloride channel calcium activated 1	-12.98	3.26	2.97	4.73	3.26	6	6.38	6.99	7.93
1455653_at	D430039C20Rik	RIKEN cDNA D430039C20 gene	-12.95	6.35	6.44	6.55	6.33	6.74	6.97	8.42	8.15
1433502_s_at	Srr	serine racemase	-12.89	4.99	4.69	5.47	5.58	6.63	4.91	6.97	7.02
1416389_a_at	Chc1l	chromosome condensation 1-like	-12.89	6.88	7.71	8.6	8.6	9.4	7.26	9.14	9.14
1416912_at	6330407G11Rik	RIKEN cDNA 6330407G11 gene	-12.89	9.03	9.04	9.03	9.16	10.44	9.09	10.91	11.11
1420840_at	Plekha3	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3	-12.84	6.9	5.97	6.88	7.16	7.35	7.14	8.47	8.38
1417816_s_at	Tde1	tumor differentially expressed 1	-12.83	5.09	4.87	5.37	5.33	7.26	5.78	7.81	7.45
1423389_at	Madh7	MAD homolog 7 (Drosophila)	-12.77	8.65	8.69	8.56	8.62	9.95	9.21	10.11	10.05
1418116_at	A130072J07	hypothetical protein A130072J07	-12.77	9.28	9.28	9.24	9.41	10.94	9.51	10.92	11.09
1448545_at	Sdc2	syndecan 2	-12.71	5.32	6.15	7.02	6.66	7.28	5.67	8.16	7.99
1415904_at	Lpl	lipoprotein lipase	-12.71	8.38	8.7	9.32	9.59	10.81	10.36	11.09	10.89
1421027_a_at	Mef2c	myocyte enhancer factor 2C	-12.7	9.42	9.31	8.99	9.05	10.11	9.42	10.86	10.95
1428081_at	1810045K06Rik	RIKEN cDNA 1810045K06 gene	-12.67	7.75	7.87	7.73	7.7	8.82	7.85	8.97	8.91
1418823_at	Arf6	ADP-ribosylation factor 6	-12.65	3.73	3.58	4.14	3.95	7.55	4.84	7.75	7.19
1450291_s_at	Ms4a4c	membrane-spanning 4-domains, subfamily A, member 4C	-12.63	3.74	3.5	3.55	3.4	3.5	3.94	6.85	7.62
1436092_at	BB336256	NA	-12.63	4.3	4.91	4.66	4.69	5	5.12	5.48	5.53
1438650_x_at	Gja1	gap junction membrane channel protein alpha 1	-12.58	8.26	8.16	8.8	8.43	9.5	9.07	10.05	9.99
1434784_s_at	BC046621	cDNA sequence BC046621	-12.51	5.94	5.84	5.82	5.78	8.3	6.31	8.36	7.17
1448720_at	2610040E16Rik	RIKEN cDNA 2610040E16 gene	-12.51	7.92	8.1	8.05	8.27	9.39	8.83	9.61	9.8
1425272_at	Emp2	epithelial membrane protein 2	-12.44	2.77	2.58	2.73	3.05	3.22	3.42	4.47	5.22
1422880_at	Sypl	synaptophysin-like protein	-12.41	11.41	11.39	11.58	11.74	12.16	11.29	12.69	12.62
1416271_at	Perp	PERP, TP53 apoptosis effector	-12.37	7.36	7.3	8.93	7.73	9.27	8.75	9.59	9.64
1431890_a_at	Mllt3	myeloid/lymphoid or mixed lineage-leukemia translocation to 3 homolog (Drosophila)	-12.35	7.29	7.28	7.76	7.89	9.02	7.62	9.32	9.6
1424207_at	Smarca5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	-12.3	6.13	5.97	9.19	8.14	8	6.46	10.58	10.71
1416778_at	Sdpr	serum deprivation response	-12.29	7.63	8.04	9.74	8.73	11.53	10.73	12.14	12.17
1452211_at	Psme4	proteasome (prosome, macropain) activator subunit 4	-12.28	8.39	8.47	8.15	8.69	9.62	9.09	9.7	9.84
1450909_at	Eif4e	eukaryotic translation initiation factor 4E	-12.26	6.42	5.95	6.05	5.76	6.73	6.34	7.05	7
1425383_a_at	Pbx1	pre B-cell leukemia transcription factor 1	-12.15	7.08	5.63	7.28	7.47	7.5	7.63	8.46	8.61
1452051_at	Actr3	ARP3 actin-related protein 3 homolog (yeast)	-12.13	9.46	9.39	10.19	10.46	12.11	10.23	12.17	11.92
1415813_at	Api5	apoptosis inhibitor 5	-12.02	8.27	8.42	8.38	8.51	9.32	8.41	9.89	9.98
1423653_at	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	-12	7.24	7.04	7.17	7.32	7.33	7.47	8.28	8.21
1456174_x_at	Ndr1	N-myc downstream regulated 1	-11.91	10.82	10.77	11.57	11.91	12.06	11.77	11.94	11.9
1437974_a_at	Hk1	hexokinase 1	-11.91	9.55	9.35	9.48	9.68	11.16	10.23	10.72	10.83
1422702_at	Oazin	ornithine decarboxylase antizyme inhibitor	-11.84	7.64	7.51	8.01	7.59	8.1	7.79	8.98	9
1423307_s_at	Tgoln1	trans-golgi network protein	-11.83	7.33	7.32	7.88	8.23	8.26	7.01	8.69	8.58
1422912_at	Bmp4	bone morphogenetic protein 4	-11.8	4.67	4.18	6.7	5.35	6.79	7.06	7.22	7.29
1450008_a_at	Catnb	catenin beta	-11.79	3.6	3.92	3.54	4.02	6.23	3.6	7.51	7.57
1420249_s_at	AV084904	NA	-11.77	3.9	3.75	3.09	3.72	4.44	4.21	5.11	5.11
1435330_at	AI447904	expressed sequence AI447904	-11.77	2.75	2.67	2.61	2.62	2.55	2.79	3.79	4.54
1424206_at	Smarca5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	-11.76	9.09	9.34	10.16	9.92	10.7	9.89	10.95	10.78
1448405_a_at	Cri1	CREBBP/EP300 inhibitory protein 1	-11.73	10.55	10	9.85	10.19	12.04	10.95	12.05	11.99
1418255_s_at	Srf	serum response factor	-11.72	6.73	6.74	7.09	7.5	7.85	7.51	8.13	8.26
1416579_a_at	Tacstd1	tumor-associated calcium signal transducer 1	-11.64	5.53	5.64	6.66	4.8	7.09	6.95	7.62	8.1
1454696_at	Gnb1	guanine nucleotide binding protein, beta 1	-11.63	9.27	9.12	9.43	9.46	10.69	8.72	10.68	10.63
1417240_at	Zyx	zyxin	-11.62	8.65	8.59	8.71	8.65	10.23	9.11	9.62	9.66
1450071_at	Ash1l	ash1 (absent, small, or homeotic)-like (Drosophila)	-11.57	6.59	6.14	6.65	7.33	7.26	7.44	8.57	8.32
1422601_at	Serpinb9	serine (or cysteine) proteinase inhibitor, clade B, member 9	-11.56	5.27	5.37	6.37	6.37	8.86	4.18	8.46	8.02
1426301_at	Alcam	activated leukocyte cell adhesion molecule	-11.56	8.94	8.99	9.61	9.39	9.54	10.31	11.23	11.53
1418626_a_at	Clu	clusterin	-11.54	6.1	6	6.56	5.96	8.83	8.3	9.62	10.15
1417552_at	Fap	fibroblast activation protein	-11.51	6.09	5.82	5.78	6.27	7.75	8.1	8.88	8.74
1419537_at	Tcfec	transcription factor EC	-11.44	4.28	5	6.03	5.73	6.51	5.83	6.7	6.55
1426435_at	2810439K08Rik	RIKEN cDNA 2810439K08 gene	-11.43	4.35	4.14	4.43	4.77	6.79	4.4	6.88	7.04
1452769_at	3732413I11Rik	RIKEN cDNA 3732413I11 gene	-11.43	7.75	8.1	7.27	8.16	9.89	8.49	10.44	10.36
1417235_at	Ehd3	EH-domain containing 3	-11.39	7.39	7.9	8.16	8.54	9.93	8.83	10.75	11.09
1453260_a_at	Ppp2r2a	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform	-11.38	6.02	5.68	6.76	7.05	8.39	6.51	8.55	8.51
1423517_at	Cct6a	chaperonin subunit 6a (zeta)	-11.37	9.32	9.22	9.58	9.67	10.91	8.67	10.68	10.65
1428762_at	4921526G09Rik	RIKEN cDNA 4921526G09 gene	-11.37	8.95	9.18	9.49	8.95	9.7	9.62	10.33	10.29
1453208_at	na	similar to RIKEN cDNA 6330419J24 gene	-11.36	7	6.96	8	7.47	7.82	7.9	8.39	8.74
1434503_s_at	Lamp2	lysosomal membrane glycoprotein 2	-11.36	11.85	11.49	12.17	12.18	12.72	12.42	13.07	13.18
1425742_a_at	Tgfb1i4	transforming growth factor beta 1 induced transcript 4	-11.32	12.43	12.53	13.07	13.34	14.05	13.13	14.06	14.02
1419655_at	Tle3	transducin-like enhancer of split 3, homolog of Drosophila E(spl)	-11.31	8.22	8.03	7.9	8.11	9.44	8.23	9.71	9.87
1434403_at	Spred2	sprouty protein with EVH-1 domain 2, related sequence	-11.29	8.13	8.47	8.01	9.39	9.05	9.22	10.23	10.12
1455285_at	Slc31a1	solute carrier family 31, member 1	-11.26	3.61	3.9	3.74	3.98	4.46	3.9	5.85	5.97
1426952_at	Arhgap18	Rho GTPase activating protein 18	-11.24	6.14	6.23	6.67	6.77	7.61	6.63	7.44	7.44
1423126_at	Atp1b3	ATPase, Na+/K+ transporting, beta 3 polypeptide	-11.19	9.61	9.71	9.86	10.05	11.13	9.14	11.5	11.68
1434694_at	Lrrc8	leucine-rich repeat-containing 8	-11.18	8.64	8.14	8.1	8.09	9.63	8.3	9.67	9.57
1419452_at	Uchl5	ubiquitin carboxyl-terminal esterase L5	-11.18	8.77	8.73	9.88	9.65	10.48	8.3	10.99	10.65
1417872_at	Fhl1	four and a half LIM domains 1	-11.17	9.11	9.08	10.01	9.34	11.41	10.59	11.06	11.34
1417490_at	Ctsb	cathepsin B	-11.16	8.65	8.6	8.82	9.13	10.29	8.65	10.48	10.5
1450908_at	Eif4e	eukaryotic translation initiation factor 4E	-11.15	7.96	8.3	8.78	9.34	9.71	7.76	10.26	10.19
1448786_at	1100001H23Rik	RIKEN cDNA 1100001H23 gene	-11.13	5.3	5.53	5.21	5.05	6.03	5.54	6.83	7.03
1416484_at	Ttc3	tetratricopeptide repeat domain 3	-11.12	6.53	6.25	6.62	6.66	7.26	6.57	8.79	9.15
1417111_at	Man1a	mannosidase 1, alpha	-11.11	9.76	10.04	9.84	10.12	10.99	10.61	10.84	10.89
1452913_at	1500036F01Rik	RIKEN cDNA 1500036F01 gene	-11.11	5	4.85	8.47	7.11	7.39	4.99	8.52	8.62
1419759_at	AI481214	expressed sequence AI481214	-11.06	5.46	6.4	6.46	6.7	7.45	7.29	7.57	7.44
1448748_at	Plek	pleckstrin	-11.05	12.56	12.62	13.35	13.41	14.21	12.69	13.93	13.75
1455349_at	Rap1b	RAS related protein 1b	-11.05	9.12	9.33	9.58	9.83	10.75	9.57	11.29	11.13
1433486_at	Clcn3	chloride channel 3	-11.03	8.53	8.62	9.3	9.04	10.47	9.16	10.31	10.35
1423041_a_at	Bzw1	basic leucine zipper and W2 domains 1	-11.03	5.31	5.19	6.83	6.28	7.21	6.36	8.49	8.01
1417606_a_at	Calr	calreticulin	-11.03	11.17	11.14	11.39	11.43	12.17	11.83	12.57	12.19
1423780_at	Hibadh	3-hydroxyisobutyrate dehydrogenase	-11.03	7.68	7.69	8.11	9.03	8.76	7.7	9.01	8.89
1423824_at	5031439A09Rik	RIKEN cDNA 5031439A09 gene	-11.03	7.97	7.9	8.98	8.28	8.84	8.57	9.07	9.22
1428362_at	Eif4g2	eukaryotic translation initiation factor 4, gamma 2	-11.01	10.03	10.21	10.64	10.47	11.56	10.79	11.66	11.72
1416094_at	Adam9	a disintegrin and metalloproteinase domain 9 (meltrin gamma)	-11.01	10.78	11.1	10.93	11.12	11.62	11.68	12.01	12.17
1454905_at	5430411K16Rik	RIKEN cDNA 5430411K16 gene	-10.97	7.17	7.28	7.2	7.28	9.38	7.9	9.14	9.48
1440831_at	6230421P05Rik	RIKEN cDNA 6230421P05 gene	-10.92	10.37	10.53	10.61	10.73	11.54	10.51	11.94	11.9
1423954_at	C3	complement component 3	-10.9	3.27	3.16	3.23	3.02	3.09	3.36	4.5	4.68
1452545_a_at	Itgb1	integrin beta 1 (fibronectin receptor beta)	-10.89	5.82	6.15	6.34	6.49	7.73	5.97	8.28	8.13
