Clone ID	UniGene	Gene symbol	Gene description	M	STD M	M ctrl/ctrl	STD M	t	P value
H3087E05	Mm.27609	Chaf1a	chromatin assembly factor 1, subunit A (p150)	0.799	0.215	0.057	0.141	6.586	1.729E-04
H3135G11	Mm.22119	Fcgr2b	Fc receptor, IgG, low affinity IIb	2.620	0.534	-0.025	0.539	7.627	1.756E-04
H3136A08	Mm.7386	Mfap2	microfibrillar-associated protein 2	1.590	0.395	0.129	0.076	8.813	1.813E-04
H3080A02	Mm.2018	Cbfb	core binding factor beta	1.543	0.533	-0.176	0.288	6.584	1.893E-04
H3030E10	Mm.236553	Ctsb	cathepsin B	2.117	0.619	0.180	0.260	6.812	2.254E-04
H3055G02	Mm.180056	Ctsc	cathepsin C	2.216	0.786	-0.240	0.437	6.329	2.397E-04
H3045H04	Mm.29677	Myh9	myosin heavy chain IX	1.921	0.414	-0.063	0.429	7.265	2.564E-04
H3054F05	Mm.45436	Lyzs	lysozyme	3.091	1.009	-0.164	0.649	6.205	2.583E-04
T330	Mm.3468	Socs3	suppressor of cytokine signaling 3	2.625	0.780	0.153	0.489	6.154	2.728E-04
H3111C12	Mm.24105	Nde1	nuclear distribution gene E homolog 1 (A nidulans)	0.706	0.188	-0.125	0.184	6.948	2.732E-04
H3120C07	Mm.40298	A530090O15Rik	RIKEN cDNA A530090O15 gene	0.826	0.248	0.045	0.154	6.137	2.783E-04
H3100F07	Mm.27836	Tacc3	transforming, acidic coiled-coil containing protein 3	1.629	0.512	-0.065	0.356	6.167	2.791E-04
H3016F08	Mm.41751	Esam1	endothelial cell-specific adhesion molecule	1.426	0.460	-0.059	0.121	7.534	2.876E-04
H3113D11	Mm.214932	Rnf144	ring finger protein 144	1.288	0.354	-0.189	0.331	6.713	2.902E-04
H3026G06	Mm.87773	Tra1	tumor rejection antigen gp96	0.992	0.305	0.039	0.189	6.092	2.925E-04
H3140C02	Mm.4146	Pdgfrb	platelet derived growth factor receptor, beta polypeptide	1.089	0.191	0.027	0.228	7.701	3.186E-04
P921	Mm.143719	Dll4	delta-like 4 (Drosophila)	1.390	0.226	-0.162	0.312	8.574	3.258E-04
H3139A05	Mm.4237	Top2a	topoisomerase (DNA) II alpha	2.185	0.622	0.251	0.402	5.976	3.330E-04
H3158D11	Mm.29564	Mmp2	matrix metalloproteinase 2	2.506	0.754	0.150	0.200	7.281	3.417E-04
H3028G09	Mm.290207	Ets2	E26 avian leukemia oncogene 2, 3 domain	0.720	0.209	-0.012	0.166	6.136	3.430E-04
P661	Mm.30357	Ftl1	ferritin light chain 1	1.633	0.600	-0.119	0.314	6.024	3.534E-04
H3117C08	Mm.254588	Cltc	clathrin, heavy polypeptide (Hc)	0.776	0.275	-0.026	0.116	6.341	3.538E-04
H3077H11	Mm.26188		Mus musculus 0 day neonate lung cDNA, RIKEN full-length enriched library, clone:E030010K14 product:unknown EST, full insert sequence	1.292	0.454	-0.039	0.172	6.503	3.629E-04
H3130A03			EST	0.509	0.254	-0.225	0.110	6.254	3.641E-04
H3131H01	Mm.30016	Arhgdia	Rho GDP dissociation inhibitor (GDI) alpha	0.891	0.252	0.104	0.060	7.351	3.706E-04
H3124H10	Mm.249555	Col3a1	procollagen, type III, alpha 1	2.505	0.788	0.009	0.556	5.872	3.904E-04
H3034F05	Mm.24920	Clecsf8	C-type (calcium dependent, carbohydrate recognition domain) lectin, superfamily member 8	2.300	0.824	-0.156	0.246	6.856	4.012E-04
H3068A06	Mm.284649	BC005662	cDNA sequence BC005662	0.741	0.259	-0.115	0.198	5.919	4.059E-04
H3117H10			EST	1.270	0.436	0.028	0.175	6.270	4.094E-04
H3035F10	Mm.275766	1110001F24Rik	RIKEN cDNA 1110001F24 gene	0.782	0.292	-0.096	0.190	5.765	4.227E-04
H3092F03	Mm.5356	6030411F23Rik	RIKEN cDNA 6030411F23 gene	1.069	0.330	0.064	0.221	5.771	4.235E-04
H3017E04	Mm.271709	Ctsz	cathepsin Z	1.485	0.451	0.022	0.338	5.855	4.236E-04
H3074B08	Mm.283406	2810433K01Rik	RIKEN cDNA 2810433K01 gene	1.548	0.480	0.160	0.286	5.725	4.463E-04
H3107F02	Mm.35650	2700085A14Rik	RIKEN cDNA 2700085A14 gene	0.837	0.301	-0.015	0.172	5.680	4.810E-04
H3004A07	Mm.40620	9130415E20Rik	RIKEN cDNA 9130415E20 gene	0.787	0.315	-0.082	0.145	5.891	4.814E-04
P570	Mm.15691	Abcg1	ATP-binding cassette, sub-family G (WHITE), member 1	2.410	0.676	-0.086	0.612	6.061	4.934E-04
H3111F12	Mm.247113	A230103N10Rik	RIKEN cDNA A230103N10 gene	0.680	0.277	-0.084	0.113	6.051	4.942E-04
H3114H12	Mm.249555	Col3a1	procollagen, type III, alpha 1	2.560	0.720	-0.033	0.638	5.978	5.100E-04
H3108A03	Mm.3333	Apobec1	apolipoprotein B editing complex 1	1.251	0.420	0.100	0.168	6.028	5.238E-04
H3016D11	Mm.142253	Panx1	pannexin 1	1.007	0.304	-0.145	0.286	6.085	5.323E-04
H3011F11	Mm.21841	Sfrs2	splicing factor, arginine/serine-rich 2 (SC-35)	0.653	0.333	-0.250	0.159	5.731	5.472E-04
H3089F12	Mm.240627	Sox4	SRY-box containing gene 4	1.278	0.442	-0.169	0.356	5.707	5.567E-04
H3020A01	Mm.309417		Mus musculus transcribed sequence with strong similarity to protein pir:S12632 (H.sapiens) S12632 cofilin - human	0.557	0.240	-0.097	0.134	5.520	5.877E-04
H3079C04	Mm.1894	Cd1d1	CD1d1 antigen	0.937	0.325	-0.104	0.258	5.634	5.884E-04
H3113D09	Mm.30059	Marcks	myristoylated alanine rich protein kinase C substrate	2.032	0.257	-0.238	0.458	9.011	6.104E-04
H3096H04	Mm.286753	Rgs3	regulator of G-protein signaling 3	0.677	0.232	-0.186	0.220	5.953	6.162E-04
H3034H08	Mm.27343	0610012K22Rik	RIKEN cDNA 0610012K22 gene	1.822	0.735	-0.152	0.267	6.012	6.183E-04
H3144F06	Mm.381	Adfp	adipose differentiation related protein	1.806	0.729	-0.155	0.261	6.032	6.222E-04
H3034A10	Mm.1359	Plaur	urokinase plasminogen activator receptor	0.904	0.342	-0.053	0.216	5.413	6.361E-04
H3113F08	Mm.11780	Tm7sf1	transmembrane 7 superfamily member 1	1.171	0.528	-0.269	0.315	5.392	6.589E-04
H3023H12	Mm.29324	Ldh1	lactate dehydrogenase 1, A chain	1.286	0.468	-0.030	0.308	5.356	6.841E-04
H3125A05	Mm.1948	Tctex1	t-complex testis expressed 1	1.501	0.551	0.066	0.232	5.671	6.981E-04
H3072H10	Mm.203747	Arrb2	arrestin, beta 2	1.183	0.409	0.119	0.160	5.744	7.209E-04
H3019F08	Mm.158801	Rod1	ROD1 regulator of differentiation 1 (S. pombe)	0.914	0.297	-0.116	0.269	5.686	7.236E-04
H3022F10	Mm.21873	Ris2	retroviral integration site 2	1.192	0.584	-0.318	0.275	5.485	7.288E-04
H3078D07	Mm.12246	Ier5	immediate early response 5	0.971	0.444	-0.186	0.230	5.392	7.297E-04
H3109A02	Mm.316414		Mus musculus transcribed sequence with moderate similarity to protein pir:A35241 (H.sapiens) A35241 IgE Fc receptor gamma chain precursor - human	1.973	0.752	0.005	0.269	5.870	7.301E-04
H3007D07	Mm.103522	Pwp2h	PWP2 (periodic tryptophan protein) homolog, yeast	0.700	0.303	-0.160	0.209	5.306	7.407E-04
H3143A02	Mm.142729	Tmsb4x	thymosin, beta 4, X chromosome	0.858	0.396	-0.181	0.220	5.313	7.512E-04
H3005F11	Mm.200859	Pafah1b2	platelet-activating factor acetylhydrolase, isoform 1b, alpha2 subunit	0.699	0.238	-0.054	0.195	5.465	7.522E-04
H3006G06	Mm.271709	Ctsz	cathepsin Z	1.402	0.561	-0.093	0.334	5.271	7.620E-04
H3102C12	Mm.29924	Arl6ip1	ADP-ribosylation factor-like 6 interacting protein 1	0.989	0.368	-0.006	0.230	5.259	7.659E-04
T350	Mm.29324	Ldh1	lactate dehydrogenase 1, A chain	1.142	0.515	-0.187	0.265	5.352	7.689E-04
H3029C09	Mm.87312	Gmfb	glia maturation factor, beta	0.827	0.389	-0.193	0.121	6.006	7.855E-04
H3063A08	Mm.17185	Lgmn	legumain	2.156	0.944	-0.294	0.535	5.224	8.260E-04
H3159A08	Mm.34408	Gp49b	glycoprotein 49 B	1.648	0.674	-0.162	0.159	6.320	8.367E-04
H3017D09	Mm.29646	0610010E05Rik	RIKEN cDNA 0610010E05 gene	1.073	0.504	-0.220	0.271	5.243	8.384E-04
H3131A02	Mm.277094	Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	0.954	0.408	-0.080	0.210	5.256	8.569E-04
H3028E03	Mm.253125	9030221M09Rik	RIKEN cDNA 9030221M09 gene	0.662	0.291	-0.123	0.060	6.394	8.878E-04
H3015G06	Mm.204670	Txndc1	thioredoxin domain containing 1	0.709	0.359	-0.190	0.140	5.542	8.896E-04
H3094A06	Mm.209990		Mus musculus, Similar to hypothetical protein FLJ90036, clone IMAGE:6333379, mRNA	0.580	0.300	-0.170	0.113	5.568	9.190E-04
H3149A06	Mm.327788	1700001N19Rik	RIKEN cDNA 1700001N19 gene	1.155	0.470	-0.041	0.146	5.831	9.276E-04
H3037F12	Mm.180056	Ctsc	cathepsin C	2.458	0.733	-0.225	0.732	5.674	9.350E-04
H3086G08	Mm.218846	Lbp	lipopolysaccharide binding protein	1.520	0.755	-0.365	0.273	5.590	9.448E-04
H3024C07	Mm.2284	Hexa	hexosaminidase A	1.904	0.544	-0.037	0.531	5.605	9.459E-04
H3152D07	Mm.227110	C1qtnf5	C1q and tumor necrosis factor related protein 5	2.151	0.688	0.237	0.493	5.122	9.492E-04
H3023H09	Mm.30357	Ftl1	ferritin light chain 1	1.710	0.697	-0.016	0.343	5.191	9.706E-04
P163	Mm.83817	Villp	villin-like protein	0.596	0.352	-0.280	0.184	5.135	9.763E-04
H3138H09	Mm.231395	Ctsd	cathepsin D	1.710	0.702	-0.076	0.412	5.062	9.902E-04
T462	Mm.19073	Map4k4	mitogen-activated protein kinase kinase kinase kinase 4	1.118	0.558	-0.256	0.276	5.160	9.993E-04
H3006B03	Mm.24208	Il13ra1	interleukin 13 receptor, alpha 1	1.492	0.617	-0.039	0.325	5.105	1.007E-03
P866	Mm.281691	Sfrp1	secreted frizzled-related sequence protein 1	2.122	0.722	0.261	0.446	5.032	1.013E-03
T425	Mm.4078	Mki67	antigen identified by monoclonal antibody Ki 67	2.161	0.949	-0.165	0.462	5.157	1.024E-03
H3013H11	Mm.3752	Ranbp1	RAN binding protein 1	0.497	0.294	-0.228	0.155	5.080	1.038E-03
H3127D03	Mm.2608	Bgn	biglycan	1.876	0.499	-0.243	0.578	5.994	1.064E-03
H3112C01	Mm.738	Col4a1	procollagen, type IV, alpha 1	1.569	0.471	0.053	0.425	5.292	1.094E-03
H3024E04	Mm.281367	Cdc2a	cell division cycle 2 homolog A (S. pombe)	1.434	0.563	0.066	0.203	5.446	1.101E-03
H3124D03	Mm.284042		Mus musculus similar to RIKEN cDNA 9030221M09 gene (LOC272701), mRNA	0.825	0.280	0.137	0.089	5.613	1.112E-03
H3006B07	Mm.3752	Ranbp1	RAN binding protein 1	0.458	0.265	-0.181	0.106	5.301	1.112E-03
H3155A10			EST	2.507	0.502	0.135	0.639	6.252	1.139E-03
P735	Mm.243921	Furin	furin (paired basic amino acid cleaving enzyme)	0.447	0.197	-0.056	0.125	4.930	1.150E-03
H3101G11			EST	0.860	0.457	-0.233	0.212	5.096	1.158E-03
H3108H09	Mm.275610	Zswim6	zinc finger, SWIM domain containing 6	1.219	0.377	0.121	0.305	5.068	1.163E-03
P816			EST	1.306	0.519	0.001	0.124	5.902	1.169E-03
H3013B11	Mm.131150	Dek	DEK oncogene (DNA binding)	0.566	0.204	-0.065	0.179	5.173	1.179E-03
H3143C11	Mm.203125	2700050F09Rik	RIKEN cDNA 2700050F09 gene	0.354	0.143	0.012	0.070	5.023	1.194E-03
H3138G06	Mm.132778	BC037112	cDNA sequence BC037112	0.418	0.160	0.007	0.105	4.904	1.194E-03
H3025D01	Mm.14768	Rex3	reduced expression 3	2.353	0.827	0.336	0.235	5.639	1.233E-03
P624	Mm.180056	Ctsc	cathepsin C	2.526	1.005	-0.436	0.837	5.055	1.234E-03
H3020B08	Mm.30357	Ftl1	ferritin light chain 1	1.427	0.580	0.053	0.237	5.185	1.234E-03
H3012B07			EST	1.673	0.668	-0.060	0.454	4.885	1.234E-03
H3034F06	Mm.288460	MGC7717	hypothetical protein MGC7717	1.687	0.621	0.097	0.411	4.871	1.245E-03
H3116G07	Mm.46701	Tm4sf6	transmembrane 4 superfamily member 6	1.587	0.715	-0.100	0.328	5.039	1.260E-03
H3007E05	Mm.1408	Adm	adrenomedullin	1.820	0.805	-0.181	0.181	5.870	1.272E-03
H3019D04	Mm.285849	Pfpl	pore forming protein-like	0.617	0.274	-0.037	0.090	5.419	1.279E-03
H3153H06	Mm.46367	1110002J19Rik	RIKEN cDNA 1110002J19 gene	2.356	0.878	0.100	0.127	6.198	1.284E-03
H3014E09	Mm.27182	BC017643	cDNA sequence BC017643	0.458	0.227	-0.097	0.055	5.751	1.305E-03
H3122G06	Mm.271745	Nrp	neuropilin	2.088	0.760	0.153	0.511	4.815	1.343E-03
T296	Mm.259282	Lepr	leptin receptor	0.416	0.223	-0.149	0.149	4.807	1.353E-03
H3053G10	Mm.236553	Ctsb	cathepsin B	1.260	0.565	-0.056	0.281	4.871	1.410E-03
H3061H06	Mm.292470	AA545217	expressed sequence AA545217	1.159	0.450	0.120	0.176	5.100	1.429E-03
H3142D06	Mm.6856	Pttg1	pituitary tumor-transforming 1	0.893	0.461	-0.319	0.337	4.797	1.443E-03
H3138H10	Mm.231395	Ctsd	cathepsin D	1.728	0.780	-0.108	0.230	5.425	1.452E-03
N809	Mm.29564	Mmp2	matrix metalloproteinase 2	2.559	0.346	1.130	0.414	5.703	1.488E-03
H3024B10	Mm.281490	Bmp2k	BMP2 inducible kinase	1.053	0.420	-0.109	0.336	4.844	1.495E-03
H3011G06	Mm.30357	Ftl1	ferritin light chain 1	1.707	0.628	-0.144	0.545	4.948	1.497E-03
H3101G06	Mm.151315	Cdca1	cell division cycle associated 1	1.056	0.464	-0.038	0.127	5.480	1.499E-03
H3020G02	Mm.9550	Lass5	longevity assurance homolog 5 (S. cerevisiae)	0.596	0.197	-0.090	0.204	5.284	1.515E-03
H3058D09	Mm.27307	Gng3	guanine nucleotide binding protein (G protein), gamma 3 subunit	1.301	0.631	-0.167	0.190	5.348	1.525E-03
H3038F04	Mm.29043	Wbp3	WW domain binding protein 3	1.140	0.448	-0.065	0.346	4.786	1.538E-03
H3095B05	Mm.220821	Stab1	stabilin 1	2.448	0.580	0.095	0.688	5.638	1.542E-03
H3152F04	Mm.22699	Sepp1	selenoprotein P, plasma, 1	2.234	1.001	-0.123	0.578	4.710	1.553E-03
H3029F08	Mm.29924	Arl6ip1	ADP-ribosylation factor-like 6 interacting protein 1	0.623	0.281	-0.021	0.142	4.778	1.561E-03
H3053A01	Mm.28835	Tnfsf13b	tumor necrosis factor (ligand) superfamily, member 13b	1.074	0.485	-0.069	0.285	4.688	1.586E-03
H3098B01			EST	1.912	0.735	0.001	0.542	4.726	1.586E-03
H3031F09	Mm.294783	2610102K23Rik	RIKEN cDNA 2610102K23 gene	0.433	0.203	-0.051	0.125	4.670	1.606E-03
H3064H06	Mm.126694	Whsc1	Wolf-Hirschhorn syndrome candidate 1 (human)	0.646	0.234	0.080	0.150	4.667	1.609E-03
H3154G07	Mm.29254	Igfbp3	insulin-like growth factor binding protein 3	2.833	1.264	-0.127	0.745	4.652	1.660E-03
H3145H09	Mm.247542	Prdx4	peroxiredoxin 4	1.215	0.347	0.006	0.365	5.230	1.667E-03
H3070C02	Mm.11982		Mus musculus hypothetical LOC237436 (LOC237436), mRNA	1.218	0.398	0.070	0.346	4.838	1.702E-03
H3116A11	Mm.222823	2610524G07Rik	RIKEN cDNA 2610524G07 gene	0.358	0.480	-0.771	0.101	5.582	1.722E-03
H3112G10	Mm.240830	Dab2	disabled homolog 2 (Drosophila)	2.219	1.126	-0.418	0.681	4.609	1.744E-03
H3116H02	Mm.274399	39692	septin 8	0.921	0.401	-0.037	0.064	5.756	1.747E-03
H3080C11	Mm.271868	Laptm5	lysosomal-associated protein transmembrane 5	1.424	0.672	-0.081	0.238	5.032	1.749E-03
H3086F01	Mm.28683	Trfr	transferrin receptor	0.740	0.355	-0.068	0.103	5.256	1.750E-03
H3092H01	Mm.217787	Atp6v1a1	ATPase, H+ transporting, V1 subunit A, isoform 1	0.755	0.405	-0.167	0.115	5.275	1.756E-03
T228	Mm.273090	Cebpg	CCAAT/enhancer binding protein (C/EBP), gamma	0.697	0.269	-0.047	0.223	4.749	1.762E-03
H3062G11	Mm.292470	AA545217	expressed sequence AA545217	1.101	0.145	-0.088	0.296	7.453	1.781E-03
H3118B02			EST	1.338	0.572	0.069	0.217	4.926	1.801E-03
H3137G10			EST	0.916	0.404	-0.019	0.087	5.488	1.834E-03
H3043F09	Mm.285723	Cdca3	cell division cycle associated 3	1.578	0.750	-0.086	0.361	4.681	1.838E-03
H3052F06	Mm.276652	Pecam	platelet/endothelial cell adhesion molecule	1.739	0.803	-0.038	0.287	4.964	1.865E-03
H3007C07	Mm.46354	Acp5	acid phosphatase 5, tartrate resistant	1.769	0.778	0.053	0.288	4.923	1.867E-03
H3062E02	Mm.37879	Vps33b	vacuolar protein sorting 33B (yeast)	0.637	0.350	-0.143	0.180	4.617	1.883E-03
H3124B04	Mm.4024	Cfl1	cofilin 1, non-muscle	0.727	0.192	0.032	0.215	5.228	1.926E-03
P752	Mm.3752	Ranbp1	RAN binding protein 1	0.609	0.338	-0.191	0.221	4.524	1.945E-03
H3025G03	Mm.86833	2500002L14Rik	RIKEN cDNA 2500002L14 gene	0.197	0.136	-0.226	0.132	4.900	1.971E-03
H3078A03	Mm.24877	D7Ertd764e	DNA segment, Chr 7, ERATO Doi 764, expressed	0.992	0.395	0.106	0.220	4.531	1.990E-03
H3007E06	Mm.1408	Adm	adrenomedullin	1.685	0.820	-0.268	0.068	5.801	2.002E-03
H3027E05	Mm.4610	Upp1	uridine phosphorylase 1	1.641	0.774	-0.247	0.547	4.517	2.016E-03
H3016E03	Mm.21767	Cdh5	cadherin 5	1.812	0.776	0.082	0.205	5.196	2.032E-03
H3022E09	Mm.23156	Adamts4	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 4	2.120	0.934	-0.129	0.648	4.495	2.059E-03
H3052C10	Mm.152941	Usp16	ubiquitin specific protease 16	0.832	0.408	-0.093	0.246	4.469	2.097E-03
P715	Mm.4993	Mmp3	matrix metalloproteinase 3	2.461	1.153	-0.047	0.372	4.955	2.111E-03
P154	Mm.37214	Trf	transferrin	1.930	0.907	-0.302	0.662	4.493	2.125E-03
H3031F11	Mm.993	Dhx15	DEAH (Asp-Glu-Ala-His) box polypeptide 15	0.504	0.306	-0.160	0.101	4.923	2.133E-03
T316	Mm.298220	Nes	nestin	1.837	0.928	-0.201	0.258	5.093	2.143E-03
H3095H02			EST	2.103	0.867	0.136	0.530	4.446	2.155E-03
H3021F05	Mm.327628		Mus musculus transcribed sequence with strong similarity to protein sp:P52292 (H.sapiens) IMA2_HUMAN Importin alpha-2 subunit (Karyopherin alpha-2 subunit) (SRP1-alpha) (RAG cohort protein 1)	1.421	0.787	-0.266	0.310	4.730	2.156E-03
H3008H06	Mm.231395	Ctsd	cathepsin D	1.608	0.646	-0.389	0.637	4.830	2.191E-03
P311	Mm.292711	Cx3cl1	chemokine (C-X3-C motif) ligand 1	1.313	0.663	-0.104	0.317	4.517	2.273E-03
H3084A08	Mm.276415	4921517N04Rik	RIKEN cDNA 4921517N04 gene	0.449	0.204	-0.042	0.147	4.428	2.291E-03
H3034E06	Mm.287178	Prps1	phosphoribosyl pyrophosphate synthetase 1	0.538	0.193	-0.055	0.191	4.793	2.306E-03
H3100F11	Mm.24887	Npl	N-acetylneuraminate pyruvate lyase	2.364	1.100	-0.056	0.245	5.199	2.330E-03
H3044A03	Mm.20904	Crtap	cartilage associated protein	1.338	0.565	0.041	0.371	4.382	2.349E-03
H3003H12	Mm.23987	Tirap	toll-interleukin 1 receptor (TIR) domain-containing adaptor protein	0.578	0.336	-0.133	0.150	4.547	2.350E-03
H3125B05	Mm.75856	Hsf2bp	heat shock transcription factor 2 binding protein	1.081	0.402	0.233	0.175	4.560	2.366E-03
P032	Mm.1870	Fxyd5	FXYD domain-containing ion transport regulator 5	1.558	0.807	-0.145	0.300	4.706	2.371E-03
P284	Mm.16110	Ccne1	cyclin E1	0.891	0.270	0.175	0.227	4.528	2.372E-03
T346	Mm.6375	Gyg1	glycogenin 1	0.515	0.285	-0.170	0.208	4.395	2.422E-03
T144	Mm.2271	Ccl9	chemokine (C-C motif) ligand 9	3.149	1.521	-0.042	0.644	4.561	2.435E-03
H3073G11	Mm.324309		Mus musculus transcribed sequences	0.320	0.221	-0.207	0.159	4.376	2.452E-03
H3138B11	Mm.2044	Serpinf1	serine (or cysteine) proteinase inhibitor, clade F), member 1	1.944	0.852	0.037	0.535	4.345	2.462E-03
H3052E06	Mm.276257	Onecut1	one cut domain, family member 1	1.344	0.484	0.239	0.320	4.343	2.480E-03
H3031A10	Mm.295124		Mus musculus 7 days embryo whole body cDNA, RIKEN full-length enriched library, clone:C430002D13 product:TROPOMYOSIN 4 homolog [Homo sapiens], full insert sequence	0.952	0.498	-0.090	0.224	4.491	2.490E-03
H3034G06	Mm.255044	Pank3	pantothenate kinase 3	1.194	0.558	0.023	0.188	4.752	2.502E-03
P373	Mm.149235	Mfng	manic fringe homolog (Drosophila)	1.822	0.387	0.114	0.532	5.520	2.504E-03
H3028H10	Mm.4587	Ppic	peptidylprolyl isomerase C	1.385	0.760	-0.305	0.473	4.331	2.512E-03
H3017H10	Mm.271967	Lasp1	LIM and SH3 protein 1	0.829	0.542	-0.315	0.162	4.854	2.553E-03
H3045D07	Mm.7060	Naalad2	N-acetylated alpha-linked acidic dipeptidase 2	1.055	0.511	-0.046	0.289	4.335	2.560E-03
H3007A07	Mm.1514	Lpl	lipoprotein lipase	2.174	1.023	-0.014	0.253	5.014	2.566E-03
H3126H08			EST	0.927	0.489	-0.113	0.262	4.354	2.570E-03
H3121G10	Mm.197518	Laptm4b	lysosomal-associated protein transmembrane 4B	0.019	0.289	-0.580	0.122	4.510	2.599E-03
H3068A11	Mm.291555		Mus musculus transcribed sequence with moderate similarity to protein sp:P02792 (H.sapiens) FRIL_HUMAN Ferritin light chain (Ferritin L subunit)	1.161	0.576	-0.035	0.259	4.454	2.611E-03
H3136F06	Mm.290338	Prkx	putative serine/threonine kinase	0.587	0.363	-0.168	0.176	4.385	2.657E-03
H3135E11	Mm.31672		Mus musculus 9 days embryo whole body cDNA, RIKEN full-length enriched library, clone:D030050E20 product:unclassifiable, full insert sequence	1.307	0.376	-0.075	0.451	5.064	2.673E-03
H3120B05	Mm.28394	Apoc2	apolipoprotein C-II	1.551	0.837	-0.237	0.476	4.295	2.695E-03
H3125B07	Mm.159684	Tmpo	thymopoietin	0.919	0.402	-0.004	0.278	4.283	2.724E-03
H3122C07	Mm.28479		Mus musculus transcribed sequence with strong similarity to protein pir:A40936 (H.sapiens) A40936 stathmin - human	2.708	1.294	0.046	0.475	4.597	2.726E-03
H3132G05	Mm.206841	Smc4l1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	0.835	0.346	0.036	0.244	4.286	2.740E-03
H3013H04	Mm.1408	Adm	adrenomedullin	1.213	0.564	-0.141	0.426	4.319	2.744E-03
H3126F01	Mm.33582	Plxna2	plexin A2	0.725	0.380	-0.386	0.370	4.606	2.752E-03
H3044F08	Mm.246408	Tpt1h	tRNA splicing 2 phosphotransferase 1 homolog (S. cerevisiae)	1.408	0.664	0.046	0.282	4.456	2.758E-03
H3043A09	Mm.12508	Kpna2	karyopherin (importin) alpha 2	1.418	0.663	-0.158	0.494	4.303	2.770E-03
H3146G02	Mm.8655	Cfh	complement component factor h	1.950	0.813	-0.011	0.620	4.317	2.770E-03
T209	Mm.1514	Lpl	lipoprotein lipase	2.656	1.220	0.115	0.342	4.827	2.784E-03
P596	Mm.3460	Cd14	CD14 antigen	2.148	1.023	0.048	0.361	4.614	2.786E-03
H3108E12	Mm.1639	Mcl1	myeloid cell leukemia sequence 1	0.971	0.543	-0.227	0.348	4.252	2.792E-03
H3016F12	Mm.273241		Mus musculus, clone IMAGE:5345295, mRNA	0.843	0.344	0.009	0.266	4.316	2.805E-03
P285	Mm.281367	Cdc2a	cell division cycle 2 homolog A (S. pombe)	1.849	1.021	-0.236	0.444	4.417	2.830E-03
H3141H05			EST	0.739	0.326	0.037	0.198	4.242	2.840E-03
H3114D08	Mm.275942	Arpc3	actin related protein 2/3 complex, subunit 3	0.935	0.245	-0.072	0.326	5.262	2.855E-03
H3116F09	Mm.234700	Ywhae	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	0.759	0.369	0.007	0.135	4.554	2.877E-03
