Name	Mus musculus Probe set	Mus musculus Genbank accession no.	Homo sapiens Probe set	Homo sapiens Genbank accession no.	Gene description	Log2 ratios (compared with controls) Mus musculus MTf-/- knockout	Log2 ratios (compared with controls) Mus musculus LMTK-hyper-expression	Log2 ratios (compared with controls) Homo sapiens SK-Mel-28 down-regulation	Log2 ratios (compared with controls) Homo sapiens SK-N-MC hyper-expression
Mef2c	1439946_at	BM221121	209199_s_at	N22468	Mads box transcription enhancer factor 2, polypeptide c (myocyte enhancer factor 2c)	0.38	-1.35	-1.5	0.6
MTf	1419755_at	NM_013900.1	220043_s_at	NM_005929.2	Antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	-0.21	2.55	-0.7	6.7
Pclo	1452423_at	AW493746	210650_s_at	BC001304.1	Piccolo (presynaptic cytomatrix protein)	-0.03	3	1.85	-0.6
Pde4b	1447237_at	BE950979	215671_at	AU144792	Phosphodiesterase 4b, camp-specific (phosphodiesterase e4 dunce homolog, Drosophila)	0.26	-3.68	-1.1	2.5
Ptpdc1			229517_at	BE046919	Protein tyrosine phosphatase domain containing 1			-0.3	3.3
Rgs2	1447830_s_at	BB034265	202388_at	NM_002923.1	Regulator of g-protein signalling 2, 24 kDa	-0.03	1.75	-3.15	0.4
Rhoj	1444982_at	BB380551	1555233_at	BC025770.1	Ras homolog gene family, member j	2.68	-0.8	1.35	-0.2
Slc6a2	1442449_at	BM248235	215715_at	BC000563.1	Solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2	1.3	-0.53	1.4	-3.6
Smad7	1440952_at	BM123777	204790_at	NM_005904.1	Smad, mothers against dpp homolog 7 (Drosophila)	0.34	-1.93	1.4	-0.2
Snap25	1447763_at	AV160090	202508_s_at	NM_003081.1	Synaptosomal-associated protein, 25 kDa	0.41	-2.1	-2.65	1
Tbx3	1439567_at	BF466144	219682_s_at	NM_016569.1	T-box 3 (ulnar mammary syndrome)	1.4	-0.15	1.05	-2.5
Tcf4	1458201_at	BB663592	222146_s_at	AK026674.1	Transcription factor 4	0.33	-0.33	3.85	0
Thtpa	1428003_s_at	BI082282	218540_at	NM_024328.1	Thiamine triphosphatase	0.26	0.13	0.5	-0.1
Tmod2	1435060_at	BB667124	226186_at	AW207699	Tropomodulin 2 (neuronal)	-0.05	2.58	4.55	-0.5
Tnfrsf12a	1418571_at	NM_013749.1	218368_s_at	NM_016639.1	Tumor necrosis factor receptor superfamily, member 12a	-2.13	0	-2.6	0.4
Tnik	1430579_at	AW045551	213107_at	R59093	Traf2 and nck-interacting kinase	-0.06	2.7	-1.3	1
Trim62	1452650_at	AK018173.1	58308_at	R71157	Tripartite motif containing 62	-0.78	1.83	0.45	-1.4
Vdr	1418175_at	BC006716.1	204253_s_at	AA454701	Vitamin d (1,25-dihydroxyvitamin d3) receptor	-1.31	0.25	1.95	-0.35
Zfp64	1451696_at	BC004695.1	219536_s_at	NM_022088.1	Zinc finger protein 64 homolog (mouse)	0.36	-2.3	0.9	-1.3
