Probe set	Gene Symbol	Description	Fold-change: Lower/Upper	P-value
204326_x_at	MT1X	metallothionein 1X	1.9	0.0001117
220793_at	SAGE1	sarcoma antigen 1	1.9	0.0001162
1555968_a_at		CDNA FLJ30424 fis, clone BRACE2008881, weakly similar to ZINC FINGER PROTEIN 195	1.9	0.0007085
203052_at	C2	complement component 2	1.9	0.0001409
208523_x_at	HIST1H2BI	histone cluster 1, H2bi	1.9	0.000905
208527_x_at	HIST1H2BE	histone cluster 1, H2be	1.8	0.000452
208546_x_at	HIST1H2BH	histone cluster 1, H2bh	1.8	0.0007613
224952_at	TANC2	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2	1.8	1.57E-05
209701_at	ARTS1	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	1.8	0.000115
230645_at	FRMD3	FERM domain containing 3	1.8	7.19E-05
214866_at	PLAUR	plasminogen activator, urokinase receptor	1.8	0.0005849
231858_x_at	DKFZp761E198	DKFZp761E198 protein	1.8	0.0001359
216417_x_at	HOXB9	homeobox B9	1.8	0.0002922
208579_x_at	HIST1H2BK	histone cluster 1, H2bk	1.8	0.0003809
226461_at	HOXB9	homeobox B9	1.8	0.000212
1555561_a_at	UGCGL2	UDP-glucose ceramide glucosyltransferase-like 2	1.8	0.0006624
203304_at	BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	1.8	0.0007521
241497_at			1.8	0.0009036
218865_at	MOSC1	MOCO sulphurase C-terminal domain containing 1	1.8	4.28E-05
227755_at		CDNA clone IMAGE:4077090	1.7	0.0004289
222222_s_at	HOMER3	homer homolog 3 (Drosophila)	1.7	0.0004167
214540_at	HIST1H2BO	histone cluster 1, H2bo	1.7	0.0007966
213622_at	COL9A2	collagen, type IX, alpha 2	1.7	7.53E-05
201940_at	CPD	carboxypeptidase D	1.7	0.0008614
222757_s_at	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	1.7	0.0008547
205601_s_at	HOXB5	homeobox B5	1.7	0.0001332
204778_x_at	HOXB7	homeobox B7	1.7	1.99E-05
225597_at	SLC45A4	solute carrier family 45, member 4	1.6	0.0002546
209806_at	HIST1H2BK	histone cluster 1, H2bk	1.6	0.0002383
201858_s_at	PRG1	proteoglycan 1, secretory granule	1.6	0.0006023
205251_at	PER2	period homolog 2 (Drosophila)	1.6	0.0002626
1568954_s_at	C16orf72	chromosome 16 open reading frame 72	1.6	0.0008652
201543_s_at	SAR1A	SAR1 gene homolog A (S. cerevisiae)	1.6	0.0007119
1558467_a_at	UGCGL2	UDP-glucose ceramide glucosyltransferase-like 2	1.6	0.0002257
1554322_a_at	HDAC4	histone deacetylase 4	1.6	1.33E-05
221572_s_at	SLC26A6	solute carrier family 26, member 6	1.6	2.95E-05
229534_at	ACOT4	acyl-CoA thioesterase 4	1.6	0.0004542
213805_at	ABHD5	abhydrolase domain containing 5	1.6	0.0004801
216360_x_at	RRP12	ribosomal RNA processing 12 homolog (S. cerevisiae)	1.6	0.0004454
203021_at	SLPI	secretory leukocyte peptidase inhibitor	1.6	3.32E-05
235197_s_at	OSTM1	osteopetrosis associated transmembrane protein 1	1.6	0.0008173
91816_f_at	RKHD1	ring finger and KH domain containing 1	1.6	9.80E-05
235033_at	NPEPL1	Aminopeptidase-like 1	1.6	0.000369
208103_s_at	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E /// acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	1.6	0.0002787
213476_x_at	TUBB3	tubulin, beta 3	1.6	0.0005067
226698_at	FCHSD1	FCH and double SH3 domains 1	1.5	0.0002166
218739_at	ABHD5	abhydrolase domain containing 5	1.5	0.0005495
220798_x_at	PRG2	plasticity-related gene 2	1.5	0.000929
201412_at	LRP10	low density lipoprotein receptor-related protein 10	1.5	0.0001008
224461_s_at	AIFM2	apoptosis-inducing factor, mitochondrion-associated, 2 /// apoptosis-inducing factor, mitochondrion-associated, 2	1.5	3.80E-06
203520_s_at	ZNF318	zinc finger protein 318	1.5	0.0004462
213793_s_at	HOMER1	homer homolog 1 (Drosophila)	1.5	0.0003502
217948_at			1.5	0.0002047
225097_at	HIPK2	Homeodomain interacting protein kinase 2	1.5	0.0007588
239457_at	ATP8B3	ATPase, Class I, type 8B, member 3	1.5	0.0002735
225591_at	FBXO25	F-box protein 25	1.5	1.80E-05
215774_s_at			1.5	0.000559
202807_s_at	TOM1	target of myb1 (chicken)	1.5	0.0004161
207046_at	HIST2H4A, HIST2H4B	histone cluster 2, H4a /// histone cluster 2, H4b	1.5	0.0005771
241353_s_at	KIAA0773	KIAA0773 gene product	1.5	0.0001267
228412_at	LOC643072	hypothetical LOC643072	1.5	0.0009667
204157_s_at	KIAA0999	KIAA0999 protein	1.5	9.02E-05
204443_at	ARSA	arylsulfatase A	1.4	0.000248
204043_at	TCN2	transcobalamin II; macrocytic anemia	1.4	0.0007882
203041_s_at	LAMP2	lysosomal-associated membrane protein 2	1.4	0.0007893
208425_s_at	TANC2	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2	1.4	8.20E-05
225115_at	HIPK2	Homeodomain interacting protein kinase 2	1.4	0.0004526
228061_at	CCDC126	coiled-coil domain containing 126	1.4	0.0008307
226129_at	FAM83H	family with sequence similarity 83, member H	1.4	0.0005508
1558761_a_at	FAM120AOS	family with sequence similarity 120A opposite strand	1.4	0.0007726
1557112_a_at	VPS53	Vacuolar protein sorting 53 (S. cerevisiae)	1.4	0.0008364
1559705_s_at	PHKA2	phosphorylase kinase, alpha 2 (liver)	1.4	1.00E-05
225284_at	LOC144871	hypothetical protein LOC144871	1.4	0.0006209
224572_s_at	IRF2BP2	interferon regulatory factor 2 binding protein 2	1.4	0.0006438
223145_s_at	C6orf166	chromosome 6 open reading frame 166	1.4	0.0008783
224762_at	SERINC2	serine incorporator 2	1.4	0.0009341
222755_s_at	CHD7	chromodomain helicase DNA binding protein 7	1.4	0.0005007
201583_s_at	SEC23B	Sec23 homolog B (S. cerevisiae)	1.4	0.0009161
224162_s_at	FBXO31	F-box protein 31	1.4	0.0005646
231914_at	NUDT14	nudix (nucleoside diphosphate linked moiety X)-type motif 14	1.4	0.0009407
226627_at	8-Sep	septin 8	1.4	0.0007133
1555971_s_at	FBXO28	F-box protein 28	1.4	0.0008652
1558466_at	UGCGL2	UDP-glucose ceramide glucosyltransferase-like 2	1.3	0.0001192
222537_s_at	CDC42SE1	CDC42 small effector 1	1.3	0.0008196
229893_at	FRMD3	FERM domain containing 3	1.3	8.94E-05
1554153_a_at	PHF21A	PHD finger protein 21A	1.3	0.0001537
214343_s_at	ATXN7L1, ATXN7L4	ataxin 7-like 1 /// ataxin 7-like 4	1.3	0.0005657
206482_at	PTK6	PTK6 protein tyrosine kinase 6	1.3	0.0006816
218833_at	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	1.3	0.0005325
208031_s_at	RFX2	regulatory factor X, 2 (influences HLA class II expression)	1.3	0.000926
242600_at	FRMD3	FERM domain containing 3	1.3	0.0002153
207147_at	DLX2	distal-less homeobox 2	1.3	0.0004595
1554704_at	ATP8B3	ATPase, Class I, type 8B, member 3	1.3	0.0004387
214266_s_at	PDLIM7	PDZ and LIM domain 7 (enigma)	1.2	0.0007604
231402_at	KIAA0773	KIAA0773 gene product	1.2	0.0009904
