Category	Probe set	Gene symbol	Description	Fold change^a (Ad5-GFP infected vs. uninfected) 24 h^b	Fold change^a (Ad5-GFP infected vs. uninfected) 24 h	Fold change^a (Ad5-GFP infected vs. uninfected) 72 h	Fold change^a (Ad5-GFP infected vs. uninfected) 72 h
Cell organisation and biogenesis	214500_at	H2AFY	H2A histone family, member Y	–1.04	–1.76	–2.24	–2.14
Cell organisation and biogenesis	213240_s_at	KRT4	Keratin 4	–	–	–4.83	–4.00
Nucleotide metabolism	221589_s_at	ALDH6A1	Aldehyde dehydrogenase 6 family, member A1	–1.12	1.13	–2.90	–4.50
Nucleotide metabolism	205066_s_at	ENPP1	Ectonucleotide pyrophosphatase/phosphodiesterase 1	–1.04	1.14	–2.28	–2.86
Carboxylic acid metabolism	218455_at	NFS1	NFS1 nitrogen fixation 1 (S. cerevisiae)	1.21	–1.04	–2.22	–2.38
Amino acid and derivative metabolism	206793_at	PNMT	Phenylethanolamine N-methyltransferase	1.56	1.11	–2.09	–2.58
Cell mobility	201668_x_at	MARCKS	Myristoylated alanine-rich protein kinase C substrate	–2.02	–2.53	–1.18	–1.08
Organogenesis	205547_s_at	TAGLN	Transgelin	–2.54	–2.49	1.96	1.89
Epidermal differentiation	207935_s_at	KRT13	Keratin 13	1.96	1.61	–2.50	–2.02
Miscellaneous	209015_s_at	DNAJB6	DnaJ (Hsp40) homolog, subfamily B, member 6	–1.98	–2.02	1.19	1.69
Miscellaneous	211619_s_at	ALPP	Alkaline phosphatase, placental (Regan isozyme)	2.23	1.59	–3.73	–3.77
Miscellaneous	204664_at	ALPP	Alkaline phosphatase, placental (Regan isozyme)	1.74	1.63	–3.04	–3.12
Miscellaneous	216377_x_at	ALPPL2	Alkaline-phosphatase-like gene	1.13	1.32	–2.81	–2.25
Miscellaneous	208669_s_at	CRI1	CREBBP/EP300 inhibitory protein 1	1.42	–1.57	–2.26	–2.17
Miscellaneous	216060_s_at	DAAM1	Dishevelled associated activator of morphogenesis 1	–1.33	–1.14	–3.07	–3.72
Miscellaneous	203638_s_at	FGFR2	Fibroblast growth factor receptor 2	–1.53	–1.50	–2.33	–2.46
Miscellaneous	203639_s_at	FGFR2	Fibroblast growth factor receptor 2	–	–	–2.49	–3.79
Miscellaneous	203640_at	MBNL2	Muscleblind-like protein MBLL39	–1.70	–	–2.20	–3.57
Miscellaneous	214440_at	NAT1	N-Acetyltransferase 1 (arylamine N-acetyltransferase)	1.01	1.24	–2.61	–4.17
Miscellaneous	212092_at	PEG10	Paternally expressed 10	1.1	–1.72	–2.19	–2.29
Miscellaneous	212094_at	PEG10	Paternally expressed 10	–1.19	1.1	–2.38	–2.22
Miscellaneous	205112_at	PLCE1	Phospholipase C, epsilon1	–	–	–2.11	–2.17
Miscellaneous	203303_at	TCTE1L	H1 histone family, member X	–1.61	–1.74	–2.12	–2.02
Miscellaneous	201534_s_at	UBL3	Ubiquitin-like 3	1.02	–1.18	–2.30	–2.55
Unknown/EST	220578_at	FLJ13544	Hypothetical protein FLJ13544	–1.07	–1.68	–2.14	–3.22
Unknown/EST	202832_at	GCC185	KIAA0336 gene product	1.08	1.01	–2.07	–2.02
Unknown/EST	202386_s_at	LKAP	Hypothetical protein A-362G6.1 (Homo sapiens), mRNA sequence	1.24	–1.09	–3.00	–2.99
Unknown/EST	201906_s_at	C3orf8	HYA22 protein	–1.19	–1.42	–2.63	–2.34
