Gene ID	Gene Name	Molecular Function/Biological Process	Status
279_at	nuclear receptor subfamily 4, group A, member 1	nuclear receptor	UP REGULATED GENES
37764_at	holocarboxylase synthetase (biotin-[proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase)	biotin--[propionyl-CoA-carboxylase (ATP-hydrolyzing)]  ligase	UP REGULATED GENES
36328_at	sex hormone-binding globulin	androgen binding, plasma glycoprotein	UP REGULATED GENES
41243_at	KIAA0447 gene product		UP REGULATED GENES
37863_at	early growth response 2 (Krox-20 (Drosophila) homolog)	transcriptional activators	UP REGULATED GENES
37199_at	CGI-60 protein		UP REGULATED GENES
1768_s_at	c-src tyrosine kinase	protein tyrosine kinase	UP REGULATED GENES
36674_at	small inducible cytokine A4 (homologous to mouse Mip-1b)	chemokine	UP REGULATED GENES
1237_at	immediate early response 3	apoptosis inhibitor	UP REGULATED GENES
33737_f_at	Homo sapiens cervical cancer suppressor-1 mRNA, complete cds		UP REGULATED GENES
37308_at	KIAA1624 protein		UP REGULATED GENES
287_at	activating transcription factor 3	transcription factor	UP REGULATED GENES
32140_at	sortilin-related receptor, L(DLR class) A repeats-containing	transmembrane receptor	UP REGULATED GENES
37623_at	nuclear receptor subfamily 4, group A, member 2	transcription activating factor	UP REGULATED GENES
40791_at	polymerase (RNA) II (DNA directed) polypeptide A (220kD)	DNA binding, DNA directed RNA polymerase 11	UP REGULATED GENES
41440_at	FabG (beta-ketoacyl-[acyl-carrier-protein] reductase, E coli) like	(L) 3-ketoacyl-acyl carrier protein reductase	UP REGULATED GENES
41231_f_at	high-mobility group (nonhistone chromosomal) protein 17	(L) chromatin component	UP REGULATED GENES
1177_at	HG2465-HT4871 Dna-Binding Protein Ap-2, Alt. Splice 3	(L) transcription factor	UP REGULATED GENES
32154_at	transcription factor AP-2 alpha (activating enhancer-binding protein 2 alpha)	transcription factor	UP REGULATED GENES
41858_at	FGF receptor activating protein 1	tumor suppressor	UP REGULATED GENES
34304_s_at	spermidine/spermine N1-acetyltransferase	diamine N-acetyltransferase	UP REGULATED GENES
34327_at	H.sapiens HLTF	adenosinetriphosphatase, DNA binding	UP REGULATED GENES
33439_at	transcription factor 8 (represses interleukin 2 expression)	transcription factor	UP REGULATED GENES
41179_at	KIAA1100 protein		UP REGULATED GENES
33146_at	myeloid cell leukemia sequence 1 (BCL2-related)	(L) transcription factor (?)	UP REGULATED GENES
36398_at	ESTs, Moderately similar to	adenosinetriphosphatase, DNA binding	UP REGULATED GENES
33295_at	Duffy blood group	transmembrane receptor	DOWN REGULATED GENES
41745_at	interferon induced transmembrane protein 3 (1-8U)	immune response	DOWN REGULATED GENES
676_g_at	interferon induced transmembrane protein 1 (9-27)	immune respoonse, signal transduction	DOWN REGULATED GENES
770_at	glutathione peroxidase 3 (plasma)	enzyme, electron transporter	DOWN REGULATED GENES
411_i_at	interferon induced transmembrane protein 2 (1-8D)	immune response	DOWN REGULATED GENES
941_at	proteasome (prosome, macropain) subunit, beta type, 6	protein biosynthesis	DOWN REGULATED GENES
40515_at	eukaryotic translation initiation factor 2B, subunit 2 (beta, 39kD)		DOWN REGULATED GENES
1563_s_at	tumor necrosis factor receptor superfamily, member 1A	signal transduction	DOWN REGULATED GENES
36156_at	aquaporin 1 (channel-forming integral protein, 28kD)	water transport, excretion	DOWN REGULATED GENES
31593_at	U5 snRNP-specific protein, 200 kDa (DEXH RNA helicase family)		DOWN REGULATED GENES
32340_s_at	nuclease sensitive element binding protein 1	phospholipase inhibitor	DOWN REGULATED GENES
31438_s_at	CD163 antigen	scavenger reporter	DOWN REGULATED GENES
37176_at	hyaluronoglucosaminidase 1	carbohydrate metabolism	DOWN REGULATED GENES
AFFX-HUMGAPDH/M33197_5_at	glyceraldehyde-3-phosphate dehydrogenase	oxidoreductase	DOWN REGULATED GENES
607_s_at	von Willebrand factor	cell adhesion	DOWN REGULATED GENES
32117_at	apoptosis antagonizing transcription factor	transcription factor	DOWN REGULATED GENES
41485_at	lactate dehydrogenase A	lactate dehydrogenase	DOWN REGULATED GENES
684_at	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 8	serine protease inhibitor	DOWN REGULATED GENES
40417_at	mRNA for KIAA0098		DOWN REGULATED GENES
32848_at	proteasome (prosome, macropain) 26S subunit, ATPase, 4	proteosome ATPase	DOWN REGULATED GENES
37399_at	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	aldo-keto reducatase	DOWN REGULATED GENES
39800_s_at	HS1 binding protein		DOWN REGULATED GENES
33790_at	small inducible cytokine subfamily A (Cys-Cys), member 14	signal transduction	DOWN REGULATED GENES
32805_at	hepatic dihydrodiol dehydrogenase	transporter	DOWN REGULATED GENES
34305_at	poly(rC)-binding protein 1	RNA binding	DOWN REGULATED GENES
268_at	platelet/endothelial cell adhesion molecule-1 (PECAM-1)	cell adhesion	DOWN REGULATED GENES
32562_at	endoglin (Osler-Rendu-Weber syndrome 1)	protein binding	DOWN REGULATED GENES
AFFX-HUMGAPDH/M33197_M_at	glyceraldehyde-3-phosphate dehydrogenase	oxidoreductase	DOWN REGULATED GENES
559_s_at	homeo box 11 (T-cell lymphoma 3-associated breakpoint)	oncogenesis	DOWN REGULATED GENES
37326_at	A4 differentiation-dependent protein (A4), triple LIM domain protein (LMO6), and synaptophysin (SYP)	ion transporter	DOWN REGULATED GENES
32643_at	glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)		DOWN REGULATED GENES
34922_at	cadherin 19, type 2	homophilic cell adhsion	DOWN REGULATED GENES
38977_at	tyrosyl-tRNA synthetase	tyrosine tRNA ligase	DOWN REGULATED GENES
33770_at	conserved helix-loop-helix ubiquitous kinase	kinase	DOWN REGULATED GENES
32171_at	eukaryotic translation initiation factor 5	protein metabolism (translation)	DOWN REGULATED GENES
39781_at	insulin-like growth factor-binding protein 4	receptor binding protein	DOWN REGULATED GENES
1737_s_at	insulin-like growth factor-binding protein 4	receptor binding protein	DOWN REGULATED GENES
35152_at	receptor (calcitonin) activity modifying protein 3	protein transporter activity	DOWN REGULATED GENES
31684_at	Human lipocortin (LIP) 2 pseudogene mRNA, complete cds-like region		DOWN REGULATED GENES
41235_at	dJ1104E15.2 (activating transcription factor 4 (tax-responsive enhancer element B67))	transcription factor	DOWN REGULATED GENES
38995_at	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)		DOWN REGULATED GENES
37003_at	CD63 antigen (melanoma 1 antigen)	blood clotting	DOWN REGULATED GENES
31858_at	nuclear transport factor 2 (placental protein 15)	transporter	DOWN REGULATED GENES
41158_at	proteolipid protein (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)	signal transduction	DOWN REGULATED GENES
1241_at	protein tyrosine phosphatase type IVA, member 2	phosphatase	DOWN REGULATED GENES
35818_at	cytochrome c	apoptosis	DOWN REGULATED GENES
34378_at	adipose differentiation-related protein		DOWN REGULATED GENES
36292_at	purinergic receptor P2Y, G-protein coupled, 2	receptor	DOWN REGULATED GENES
36661_s_at	CD14 antigen	blood clotting	DOWN REGULATED GENES
41037_at	TEA domain family member 4	transcription factor	DOWN REGULATED GENES
244_at	heat shock transcription factor 1	transcription factor	DOWN REGULATED GENES
