Gene Symbol	p-Value	%CV Support	Hazard Ratio	Description	Weight Rank	Gene Id Suppl Table	Loading matrix Component1	Loading matrix Component2	Loading matrix Component3	Loading matrix Component4	Loading matrix Component5	Correlation Component1	Correlation Component2	Correlation Component3	Correlation Component4	Correlation Component5	Gene Weights
DDB2	0.000937	40	0.64	Damage-specificDNAbindingprotein2,48kDa	81	DDB2	-0.002523	0.000427	0.004196	-0.014809	-0.013324	-0.262453	0.021303	0.118656	-0.403462	-0.25617	-0.043004
FEZ1	0.000451	50	2.2	Fasciculationandelongationproteinzeta1(zygini)	50	FEZ1	0.002	-0.004965	-0.003567	-0.00399	0.005644	0.333006	-0.396843	-0.161477	-0.17397	0.173673	0.015295
FGFBP1	0.000525	50	0.73	Fibroblastgrowthfactorbindingprotein1	54	FGFBP1	-0.006594	0.006098	0.015302	-0.051874	0.005662	-0.391765	0.17389	0.247147	-0.807106	0.062168	-0.214211
FGFR1OP2	0.000428	50	1.77	FGFR1oncogenepartner2	44	FGFR1OP2	0.003797	0.005376	-0.006839	-0.001486	0.000247	0.453597	0.308243	-0.222076	-0.04649	0.005455	0.037995
FKBP7	0.000042	100	2.9	FK506bindingprotein7	1	FKBP7	0.003593	-0.002045	-0.003838	-0.009202	0.006932	0.561325	-0.153331	-0.162969	-0.376429	0.200115	0.016723
GCM1	0.000638	40	0.41	Glialcellsmissinghomolog1(drosophila)	60	GCM1	-0.002766	-0.001832	0.002746	0.004878	0.005775	-0.552238	-0.1756	0.149042	0.255038	0.21309	-0.030149
GNAZ	0.000256	70	0.32	Guaninenucleotidebindingprotein(Gprotein),alphazpolypeptide	25	GNAZ	-0.002236	-0.002402	0.002593	0.002639	0.008071	-0.479358	-0.247152	0.151125	0.148187	0.319804	-0.031503
HIPK1	0.00044	70	0.2	Homeodomaininteractingproteinkinase1	47	HIPK1	-0.001448	-7.00E-04	0.002095	0.002199	0.000707	-0.435602	-0.100992	0.171275	0.173209	0.0393	-0.01377
ITGB7	0.000023	100	0.39	Integrin,beta7	5	ITGB7	-0.003412	-0.002788	-0.005652	-0.001043	-0.009441	-0.557791	-0.2188	-0.25117	-0.044641	-0.285209	-0.018025
JAK2	0.000811	60	0.41	Januskinase2(aproteintyrosinekinase)	72	JAK2	-0.002583	-0.00155	-0.007656	-0.002817	0.000925	-0.505871	-0.145671	-0.407524	-0.14447	0.033459	-0.028708
KDELR2	0.000566	40	1.73	KDEL(Lys-Asp-Glu-Leu)endoplasmicreticulumproteinretentionreceptor2	55	KDELR2	0.004275	0.001598	-0.006722	-0.005692	-0.000483	0.477895	0.085734	-0.20428	-0.166631	-0.009981	0.040873
KIAA0141	0.000283	60	0.51	KIAA0141	32	KIAA0141	-0.002413	-0.003325	0.003774	-0.003236	-0.001809	-0.33086	-0.218859	0.140683	-0.116186	-0.04585	-0.030009
KLF12	0.00045	50	2.71	Kruppel-likefactor12	49	KLF12	0.001595	-0.002828	0.005231	0.003387	0.000261	0.327485	-0.278798	0.292021	0.182141	0.009889	0.024693
KLHL7	0.000842	40	2.49	Kelch-like7(drosophila)	77	KLHL7	0.002136	0.00362	-0.003505	-0.002711	0.001699	0.425299	0.346015	-0.18976	-0.141396	0.062525	0.013869
KRT10	0.000802	40	1.8	Keratin10(epidermolytichyperkeratosis;keratosispalmarisetplantaris)	71	KRT10	0.00431	0.001816	-0.000957	-0.009604	0.000723	0.560155	0.113289	-0.033802	-0.326835	0.017362	0.02624
KYNU	0.000342	80	0.49	Kynureninase(L-kynureninehydrolase)	36	KYNU	-0.001922	0.000419	-0.010931	-0.006536	-0.000214	-0.261869	0.027378	-0.404793	-0.233135	-0.005389	-0.027275
LIN28	0.000089	100	2.12	Lin-28homolog(C.elegans)	11	LIN28	0.001373	0.001532	0.002838	-0.000769	0.003324	0.176097	0.094357	0.098983	-0.025839	0.078807	0.004479
LRRC17	0.000691	40	1.51	Leucine-richrepeatcontaining17	64	LRRC17	0.005756	-0.006424	0.003195	-0.003719	0.020521	0.528191	-0.282957	0.079714	-0.089377	0.34803	0.032034
LRSAM1	0.000397	60	0.38	Leucine-richrepeatandsterilealphamotifcontaining1	39	LRSAM1	-0.00321	-0.002465	0.000851	0.004442	-0.000358	-0.652452	-0.240522	0.047032	0.23646	-0.01345	-0.024104
METTL4	0.000828	40	0.46	Methyltransferaselike4	74	METTL4	-0.002374	-0.00261	0.00148	0.000992	0.007658	-0.365841	-0.19308	0.061985	0.040024	0.218081	-0.034728
MFAP2	0.000198	80	1.77	Microfibrillar-associatedprotein2	21	MFAP2	0.0055	-0.00364	0.002089	-0.000884	0.015032	0.60375	-0.191794	0.062332	-0.02542	0.304918	0.040772
MUTYH	0.000619	40	0.34	MutYhomolog(E.coli)	57	MUTYH	-0.001643	-0.000216	0.005325	0.003462	-0.000213	-0.334752	-0.021133	0.294964	0.184718	-0.008015	-0.015135
MXD1	0.000057	100	0.4	MAXdimerizationprotein1	10	MXD1	-0.003709	-0.001267	-0.001207	0.004283	0.010649	-0.550847	-0.09029	-0.04872	0.166546	0.292243	-0.047501
NANOS1	0.000275	70	1.8	Nanoshomolog1(drosophila)	29	NANOS1	0.004202	0.002893	0.003624	-0.001532	0.011105	0.49157	0.162417	0.115244	-0.046945	0.240058	0.020503
NCR2	0.000425	80	0.35	Naturalcytotoxicitytriggeringreceptor2	42	NCR2	-0.002235	-0.004203	-0.000707	0.003152	-0.000622	-0.500364	-0.451714	-0.043037	0.184837	-0.025725	-0.011604
ODF4	0.000094	80	0.43	Outerdensefiberofspermtails4	13	ODF4	-0.00376	-0.002961	-0.004536	0.003488	0.013961	-0.591616	-0.223634	-0.19402	0.143737	0.405992	-0.049973
OR10A3	0.000023	90	0.49	Olfactoryreceptor,family10,subfamilyA,member3	4	OR10A3	-0.004395	-0.004742	0.006134	-0.007347	-0.004681	-0.518396	-0.268437	0.196662	-0.226933	-0.102039	-0.056761
OR2AG1	0.000435	60	0.41	Olfactoryreceptor,family2,subfamilyag,member1	46	OR2AG1	-0.003638	-0.002515	-0.001569	0.004562	0.012622	-0.611124	-0.202793	-0.071651	0.200656	0.391824	-0.047197
OR4C15	0.000931	40	0.4	Olfactoryreceptor,family4,subfamilyc,member15	80	OR4C15	-0.002616	-0.002229	0.002841	0.002813	0.012035	-0.479983	-0.196285	0.141693	0.135115	0.408006	-0.042174
OR51B5	0.00062	40	0.47	Olfactoryreceptor,family51,subfamilyB,member5	58	OR51B5	-0.002831	0.002067	-0.009554	-0.001212	0.013158	-0.426689	0.149484	-0.391424	-0.047839	0.366474	-0.050902
OR51I1	0.000042	100	0.63	Olfactoryreceptor,family51,subfamilyI,member1	7	OR51I1	-0.00787	-0.010991	-0.01297	-0.001764	-0.014048	-0.676008	-0.453134	-0.302868	-0.03968	-0.222999	-0.046162
OR6F1	0.000866	30	0.4	Olfactoryreceptor,family6,subfamilyF,member1	78	OR6F1	-0.001885	-0.000202	-0.001939	-0.001546	-0.000288	-0.345967	-0.017828	-0.096744	-0.074309	-0.00976	-0.022555
OR9G9	0.000512	40	0.45	Olfactoryreceptor,family9,subfamilyG,member9	53	OR9G9	-0.00243	0.002154	0.001972	0.003441	0.01053	-0.385933	0.164197	0.085159	0.14315	0.309117	-0.04169
OSGEPL1	0.000443	50	2.05	O-sialoglycoproteinendopeptidase-like1	48	OSGEPL1	0.002932	0.002535	-0.005502	0.001369	-0.000348	0.432294	0.179438	-0.22054	0.052854	-0.009497	0.037881
OSM	0.000645	40	0.62	OncostatinM	62	OSM	-0.002439	-0.007488	-0.001765	0.001722	-0.008299	-0.249833	-0.368184	-0.049161	0.046179	-0.157112	0.000511
PKHD1	0.000882	20	0.32	Polycystickidneyandhepaticdisease1(autosomalrecessive)	79	PKHD1	-0.001548	-1.00E-05	-0.000122	-0.001225	0.000747	-0.395144	-0.001236	-0.008439	-0.081897	0.035218	-0.021366
PPAP2B	0.000695	40	1.39	Phosphatidicacidphosphatasetype2B	65	PPAP2B	0.006712	-0.006177	0.027721	0.002847	-0.017729	0.490729	-0.216764	0.550962	0.054518	-0.239557	0.097121
PPCDC	0.000021	100	0.34	Phosphopantothenoylcysteinedecarboxylase	3	PPCDC	-0.003006	-0.00069	0.001503	-0.00135	0.006045	-0.540074	-0.059489	0.073425	-0.063511	0.200753	-0.047012
PRELP	0.00043	50	1.34	Proline/arginine-richendleucine-richrepeatprotein	45	PRELP	0.00408	-0.028508	0.013141	-0.00292	-0.009847	0.243963	-0.818177	0.213607	-0.045725	-0.108817	0.084866
PTCH2	0.0002	80	0.43	Patchedhomolog2(drosophila)	22	PTCH2	-0.002569	-0.000182	0.000771	0.001997	0.006581	-0.406517	-0.0138	0.033179	0.082751	0.192464	-0.035928
PTPRN2	0.000265	60	0.43	Proteintyrosinephosphatase,receptortype,Npolypeptide2	28	PTPRN2	-0.003362	0.000881	0.002926	0.00013	0.002864	-0.546847	0.068785	0.129358	0.005529	0.086081	-0.04627
RIN1	0.000285	70	0.44	RasandRabinteractor1	33	RIN1	-0.003635	-0.003695	0.003644	-0.003381	-0.004307	-0.571541	-0.278897	0.155768	-0.139244	-0.125149	-0.039753
RIT1	0.000282	70	1.91	Ras-likewithoutCAAX1	31	RIT1	0.004355	0.005748	-0.010358	-0.004094	0.002829	0.551287	0.34926	-0.356457	-0.135737	0.066198	0.037112
SCO2	0.000263	70	0.46	SCOcytochromeoxidasedeficienthomolog2(yeast)	27	SCO2	-0.003336	0.001705	-0.008187	-0.005669	-0.00204	-0.484828	0.118945	-0.323508	-0.215768	-0.054809	-0.042711
SEPN1	0.000093	100	0.4	SelenoproteinN,1	12	SEPN1	-0.003756	-0.004502	0.003671	0.00378	0.00793	-0.608463	-0.350101	0.161698	0.160378	0.237433	-0.044241
SIGLEC8	0.000838	20	0.48	SialicacidbindingIg-likelectin8	75	SIGLEC8	-0.002659	-0.001858	-0.0044	-0.005882	0.002925	-0.454771	-0.152535	-0.204626	-0.263477	0.092465	-0.041343
SMPD2	0.000049	90	0.47	Sphingomyelinphosphodiesterase2,neutralmembrane (neutralsphingomyelinase)	8	SMPD2	-0.003891	0.001872	0.007724	-0.003101	-0.006294	-0.490844	0.113343	0.26486	-0.102436	-0.146731	-0.049899
SPATA13	0.000631	50	0.46	Spermatogenesisassociated13	59	SPATA13	-0.003584	-0.000663	0.003259	0.003909	0.00926	-0.59438	-0.05274	0.146923	0.169747	0.283776	-0.049069
SPATA18	0.000139	80	0.38	Spermatogenesisassociated18homolog(rat)	18	SPATA18	-0.003421	-0.002258	0.001744	0.000717	0.004806	-0.641764	-0.203316	0.088944	0.035222	0.166585	-0.043498
SYT11	0.000838	40	1.69	SynaptotagminXI	76	SYT11	0.004115	-0.001002	-0.000206	0.005953	0.012218	0.495798	-0.057929	-0.006764	0.187835	0.272055	0.041934
TMEM150	0.000425	40	0.3	Transmembraneprotein150	43	TMEM150	-0.001666	0.001116	0.002456	0.000649	0.005418	-0.420871	0.135349	0.168655	0.042905	0.252885	-0.029738
TMEM45A	0.000288	70	1.49	Transmembraneprotein45A	34	TMEM45A	0.007611	-0.005441	-0.008707	-0.013584	0.024353	0.627077	-0.215155	-0.195011	-0.293089	0.370816	0.034613
TRO	0.000051	100	2.17	Trophinin	9	TRO	0.00343	-0.000439	0.00161	0.000399	0.005307	0.496784	-0.03049	0.063375	0.015134	0.142037	0.031061
TRPV4	0.000999	10	0.53	Transientreceptorpotentialcationchannel,subfamilyV,member4	86	TRPV4	-0.001993	0.002388	0.00305	-0.00634	-0.000189	-0.286459	0.164727	0.119164	-0.238618	-0.005028	-0.041587
TUBB4	0.00071	30	0.43	Tubulin,beta4	67	TUBB4	-0.003357	-0.004548	-0.000975	0.002334	0.010648	-0.55852	-0.363171	-0.044118	0.101685	0.327387	-0.04323
WDR7	0.000086	100	0.26	WDrepeatdomain7	2	WDR7	-0.002675	-0.002584	0.001728	0.003175	0.004196	-0.570766	-0.264665	0.100209	0.177423	0.165448	-0.028356
WNT16	0.000828	30	0.48	Wingless-typeMMTVintegrationsitefamily,member16	73	WNT16	-0.002775	-0.001245	0.001262	-0.001395	-0.002306	-0.454535	-0.097877	0.056206	-0.059823	-0.069781	-0.030362
ZBTB8	0.000324	80	2.26	ZincfingerandBTBdomaincontaining8	35	ZBTB8	0.003806	0.002364	-0.001354	0.000227	-1.00E-06	0.631692	0.188309	-0.061071	0.009871	-4.10E-05	0.041863
ZNF12	0.000588	30	2.05	Zincfingerprotein12	56	ZNF12	0.002605	0.000265	0.001797	0.001135	-0.007459	0.378632	0.018461	0.071012	0.043184	-0.200344	0.042151
ZNF521	0.000281	70	1.5	Zincfingerprotein521	30	ZNF521	0.005776	-0.017689	0.00306	-0.007294	0.005201	0.441891	-0.649568	0.063644	-0.146137	0.073527	0.064506
ZNF569	0.000197	80	2.49	Zincfingerprotein569	20	ZNF569	0.001263	0.002144	0.000263	0.002612	0.00324	0.23667	0.192806	0.013374	0.128157	0.112188	0.011689
