Gene name	Symbol	Fold change BBP/Control	Gene ID	Time	Function	up/downregulated
Integrin alpha 5	Itga5	1.94	CB546515	21 days	Cell organization	Up-regulated genes
Myoglobin	Mb	2.13	AA964911	21 days	Cell organization	Up-regulated genes
Synaptotagmin 1	Syt1	2.14	AW141251	21 days	Cell organization	Up-regulated genes
Trans-golgi network protein 1	Tgoln2	1.93	NM_138840	21 days	Cell organization	Up-regulated genes
Alpha-1-B glycoprotein	A1bg	1.84	NM_022258	21 days	Other	Up-regulated genes
Aortic preferentially expressed gene 1	Apeg1	2.53	CB547339	21 days	Other	Up-regulated genes
Arfaptin 1	LOC60382	2	NM_021763	21 days	Other	Up-regulated genes
CDC91 cell division cycle 91-like 1 (S.cerevisiae)	Cdc91l1	2.57	BQ193826	21 days	Other	Up-regulated genes
Delta-like 1 homolog (Drosophila)	Dlk1	2.3	NM_053744	21 days	Other	Up-regulated genes
Glycoprotein, synaptic 2	Gpsn2	1.87		21 days	Other	Up-regulated genes
Guanylate cyclase activator 2A	Guca2a	2.43	NM_013118	21 days	Other	Up-regulated genes
Heparan sulfate proteoglycan, perlecan domain I	Cd44	2.2	U56859.1	21 days	Other	Up-regulated genes
Heat-responsive protein 12	Hrsp12	1.92	NM_031714	21 days	Other	Up-regulated genes
Insulin-like 6	Insl6	1.95	NM_022583	21 days	Other	Up-regulated genes
Kinesin-related protein KRP5	KRP5	1.99	AF035954.1	21 days	Other	Up-regulated genes
Luteinizing hormone beta	Lhb	1.99	U25802	21 days	Other	Up-regulated genes
Ly6-C antigen	Ly6c	2.02	NM_020103	21 days	Other	Up-regulated genes
Mitochondrial capsule selenoprotein	Mcsp	2.46	NM_031536	21 days	Other	Up-regulated genes
Neural visinin-like Ca2+-binding protein type 2	Nvjp2	1.95	NM_017357	21 days	Other	Up-regulated genes
NIMA related kinase 2	Nek2	1.86	AF352021.1	21 days	Other	Up-regulated genes
Nuclear GTPase PIKE	PIKE	1.84	NM_023026	21 days	Other	Up-regulated genes
Nucleoporin 98	Nup98	2.18	NM_031074	21 days	Other	Up-regulated genes
Oxytocin receptor	Oxtr	2.11	AF380129.1	21 days	Other	Up-regulated genes
Olfactory-specific cytochrome P-450	P-450olf1	2.03	M33296.1	21 days	Other	Up-regulated genes
Potassium channel tetramerisation domain containing 13	Kctd13	2.33	AI045333	21 days	Other	Up-regulated genes
Proline-rich protein 15	Prp15	2.24	NM_012632	21 days	Other	Up-regulated genes
RAB8A, member RAS oncogene family	Mel	2.12	BC087584	21 days	Other	Up-regulated genes
Regucalcin gene promotor region related protein	Rgpr	2.05	AB060653	21 days	Other	Up-regulated genes
Ribonuclease L (2,5-oligoisoadenylate synthetase-dependent)	Rnasel	2.05	CB546885	21 days	Other	Up-regulated genes
Ring finger protein 38	Oip1	1.85	NM_134467	21 days	Other	Up-regulated genes
Serine protease inhibitor	Spin2b	2.67	NM_012657	21 days	Other	Up-regulated genes
Signal recognition particle 54 kDa	Srp54	1.97	BC079117	21 days	Other	Up-regulated genes
Sodium-cotransporter rkST1	rkST1	1.95	U47673.1	21 days	Other	Up-regulated genes
Synaptosomal-associated protein, 91 kDa homolog (mouse)	Snap91	2.23	NM_031728	21 days	Other	Up-regulated genes
Telomerase catalytic subunit		2.61	AF247818.1	21 days	Other	Up-regulated genes
Titin	Ttn	1.88	AF059344.1	21 days	Other	Up-regulated genes
Ubiquitin specific protease 11	Usp11	2.51	CB546595	21 days	Other	Up-regulated genes
Zinc finger protein 14 (DZF14)	DZF14	1.87	U78142.1	21 days	Other	Up-regulated genes
Zinc finger, DHHC domain containing 7	Zdhhc7	1.83	AY040615	21 days	Other	Up-regulated genes
Glutamate decarboxylase 1	Gad1	-3.65	NM_017007	21 days	Other	Down-regulated genes
Glutamate decarboxylase 1	Gad1	-2.69	NM_017007	35 days
Carboxylesterase 1	Ces1	1.79	NM_031565	50 days		Up-regulated genes
Carboxypeptidase A1 (pancreatic)	Cpa1	1.74	NM_016998	50 days		Up-regulated genes
Corticotropin releasing hormone 1	Crhr1	1.79	NM_030999	50 days		Up-regulated genes
Ectonucleotide pyrophosphatase/phosphodiesterase 5	Enpp5	2	CB544850	50 days		Up-regulated genes
Glucagon receptor, transcript variant 2	Gcgr	1.74	NM_172091	50 days		Up-regulated genes
Glycoprotein 2 (zymogen granule membrane)	Gp2	1.8	NM_134418	50 days		Up-regulated genes
Malic enzyme 1	Me1	1.74	NM_012600	50 days		Up-regulated genes
Nuclear receptor subfamily 4, group A, member 1	Nr4a1	2.06	NM_024388	50 days		Up-regulated genes
Transcription elongation factor A2	Tcea2	1.75	NM_057098	50 days		Up-regulated genes
Tryptophan hydroxylase	Tph	1.93	X53501.1	50 days		Up-regulated genes
Actinin alpha 3	Actn3	-2.76	NM_133424	50 days		Down-regulated genes
Creatine kinase, muscle form	Ckm	-3.64	NM_012530	50 days		Down-regulated genes
Glutamate decarboxylase 1	Gad1	-2.69	NM_017007	50 days		Down-regulated genes
Myosin, light polypeptide 2	Myl2	-4.9	NM_012605	50 days		Down-regulated genes
Parvalbumin (calcium binding protein)	Pvalb	-2.38	NM_022499	50 days		Down-regulated genes
Titin	Ttn	-2.51	AF059344.1	50 days		Down-regulated genes
Troponin I, skeletal, fast 2	Tnni2	-2.46	NM_017185	50 days		Down-regulated genes
Troponin-c	Tnnc2	-4.77	AI639532	50 days		Down-regulated genes
Translin	Tsn	2.4	NM_021762	100 days
Whey acidic protein	Wap	2.87	NM_053751	100 days
