Probe ID	Gene Symbol	Overall FC	FC_P1	FC_P2	FC_P3	FC_P4	Function
52140_at	PGM5	-25	-23.87	-26.5	-44.27	-17.72	Cell Adhesion
47231_at	DLG1	3.57	3.4	4.77	6.22	5.7	Cell cycle
45574_g_at	TPX2	3.49	11.09	2.57	3.24	8.6	Cell cycle
54219_at	7-Sep	3.23	3.3	2.79	2.17	3.27	Cell cycle
53998_at	CLASP2	3.09	2.67	2.84	4.18	4.13	Cell cycle
37933_at	RBBP6	3.08	2.27	5.42	7.52	8.79	Cell cycle
53568_at	7-Sep	2.97	3.94	2.4	3.53	2.49	Cell cycle
51815_at	TERF1	2.54	2.11	4.78	5.1	3.51	Cell cycle
1797_at	CDKN2D	2.41	3.65	2.76	2.46	2.47	Cell cycle
50084_at	DNCH1	2.29	2.42	2.15	2.11	2.29	Cell cycle
66955_at	EML4	2.13	2.22	3.3	6.8	5.09	Cell cycle
1833_at	CDK2	2.12	3.14	2.56	2.05	2.45	Cell cycle
52744_at	HRPT2	2.07	2.73	2.62	3.4	3.36	Cell cycle
60568_at	BCL2	2.07	2.18	3.27	3.35	3.75	Cell cycle
41632_at	E2F3	2.05	2.34	2.04	2.2	2.15	Cell cycle
59821_at	BCL2	1.87	2.89	3.13	3.58	3.86	Cell cycle
36101_s_at	VEGF	1.53	2.5	2.38	2.53	3.06	Cell cycle
63158_at	GRLF1	1.27	3.55	2.63	2.3	3.45	Cell cycle
65908_at	CHES1	-2.1	-3.3	-2.11	-2.34	-5.51	Cell cycle
46664_at	PYCARD	-2.14	-2.36	-2.06	-2.94	-2.08	Cell cycle
48980_at	ZAK	-2.25	-2.02	-4.8	-2.06	-2.07	Cell cycle
36838_at	KLK10	-2.38	-3.38	-2.94	-2.07	-6.13	Cell cycle
50199_s_at	RGC32	-2.73	-2.49	-3.64	-5.45	-4.17	Cell cycle
39780_at	PPP3CB	-2.74	-3.82	-2.36	-3.06	-2.85	Cell cycle
33864_at	ZMYND11	-2.78	-4.77	-2.85	-3.79	-3.79	Cell cycle
49504_r_at	MCC	-3.45	-5.9	-5.71	-5.08	-5.84	Cell cycle
37005_at	NBL1	-3.83	-3.34	-4.27	-4.31	-6.36	Cell cycle
234_s_at	PTN	-3.86	-2.92	-5.02	-2.15	-3.33	Cell cycle
37283_at	MN1	-4.63	-4.47	-7.36	-5.55	-7.48	Cell cycle
45217_at	PDGFC	-4.82	-4.32	-7.53	-8.81	-3.97	Cell cycle
1005_at	DUSP1	-6.16	-6.53	-16.66	-3.02	-3.19	Cell cycle
36669_at	FOSB	-7.85	-8.81	-6.27	-7.6	-8.39	Cell cycle
34820_at	PTN	-12.55	-11.62	-31.95	-10.24	-27.11	Cell cycle
37430_at	ALOX15B	-21	-12.47	-12.41	-14.17	-9.1	Cell cycle
1577_at	AR	10	14.35	12.97	12.24	14.78	Transcription
65001_r_at	TBL1XR1	7	3.53	12.3	4.06	7.19	Transcription
1578_g_at	AR	6.18	7.56	4.86	5.32	6.37	Transcription
42733_i_at	FOXP1	5.6	2.61	5.92	14.54	14.09	Transcription
52769_at	POLR2A	5.1	2.93	4.04	12.61	11.14	Transcription
54342_at	ZNF605	4.55	2.75	6.89	4.85	4.04	Transcription
65083_at	RNPC2	4.1	3.18	3.96	6.01	9.19	Transcription
42734_r_at	FOXP1	3.5	2.01	4.49	7.53	8.6	Transcription
48423_at	ZNF621	3.4	2.11	8.51	3.74	7.33	Transcription
51543_at	ZNF395	3.32	2.99	5.52	6.73	6.51	Transcription
44546_at	ZNF148	3	3.32	2.59	4.72	4.18	Transcription
49633_at	HES6	3	5.76	2.26	2.34	6.72	Transcription
51842_at	CBX4	3	3.32	2.61	5.21	3.08	Transcription
54981_r_at	SFPQ	3	2.27	4.87	4.9	5.33	Transcription
60076_at	SOX4	3	3.32	3.77	2.09	2.72	Transcription
43580_at	MORF4L2	2.93	2.42	3.49	3.38	6.52	Transcription
34715_at	FOXM1	2.84	6.82	2.17	2.9	2.99	Transcription
40674_s_at	HOXC6	2.81	3.09	2.48	6.67	4.56	Transcription
56981_at	ZKSCAN1	2.77	2.65	2.4	2.6	4.04	Transcription
55293_at	ADNP	2.73	2.44	3.6	3.98	3.9	Transcription
43545_at	ZNF281	2.7	2.17	3.21	3.05	4.19	Transcription
32653_at	BRD8	2.56	2.11	3.73	3.22	4.45	Transcription
53846_at	FLJ21616	2.55	3.1	2.96	5.41	5.92	Transcription
45953_at	NCOA1	2.42	6.53	4.13	3.58	6.06	Transcription
46006_at	ERCC8	2.35	2.35	2.7	3.36	5.84	Transcription
50911_at	RLF	2.35	2.18	2.38	4.07	4.92	Transcription
58641_at	MAML3	2.33	2.86	2.31	5.61	5.44	Transcription
42571_at	MORF4L2	2.32	2.21	3.7	3.99	3.48	Transcription
43120_at	MLL3	2.32	2.55	2.48	2.14	2.74	Transcription
31437_r_at	ESR2	2.3	2.06	3.06	3.13	4.09	Transcription
50532_at	JARID1A	2.3	3.22	3.32	3.54	4.12	Transcription
44939_at	MLL3	2.22	2.55	2.48	2.14	2.74	Transcription
55502_at	FOXO3A	2.21	2.44	3.6	3.98	3.9	Transcription
52328_at	SP3	2.2	2.13	2.62	3.38	3.11	Transcription
54220_r_at	NLK	2.16	2.39	4.23	3.94	4.41	Transcription
41632_at	E2F3	2.04	2.34	2.04	2.2	2.15	Transcription
66313_at	HIPK1	2	2.09	2.85	2.95	3.98	Transcription
42193_r_at	---	1.9	2.16	2.04	2.66	3.29	Transcription
39540_at	ZBTB7A	1.89	2.42	3.27	3.03	2.61	Transcription
63158_at	GRLF1	1.79	3.55	2.63	2.3	3.45	Transcription
65908_at	CHES1	-2.13	-3.3	-2.11	-2.34	-5.51	Transcription
36770_at	STAT2	-2.17	-2.3	-3.47	-2.82	-3.75	Transcription
64963_at	EYA4	-2.17	-3.06	-3.31	-2.55	-5.01	Transcription
65945_at	PNRC2	-2.17	-2.08	-2.26	-2.61	-2.24	Transcription
1454_at	SMAD3	-2.27	-2.17	-2.51	-2.02	-2.07	Transcription
54658_at	PSPC1	-2.33	-3.18	-2.22	-3.63	-13.16	Transcription
44596_at	TWIST2	-2.5	-2.7	-2.12	-2.94	-2.35	Transcription
46704_at	KLF3	-2.63	-2.38	-2.29	-2.19	-3.33	Transcription
51253_at	ZBTB4	-2.63	-2.92	-3.18	-2.63	-3.93	Transcription
287_at	ATF3	-2.78	-2.11	-2.33	-2.63	-3.3	Transcription
33864_at	ZMYND11	-2.78	-4.77	-2.85	-3.79	-3.79	Transcription
63526_f_at	KLF6	-2.78	-3.21	-2.48	-2.71	-3.33	Transcription
64932_at	VPS36	-2.86	-4.56	-2.88	-2.48	-2.27	Transcription
45680_at	ZNF537	-2.94	-2.77	-3.37	-2.78	-3.74	Transcription
43431_at	SOX2	-3.03	-2.09	-3.8	-7.43	-7.34	Transcription
47620_at	XAB2	-3.33	-2.7	-8.25	-7.6	-8.49	Transcription
465_at	HTATIP	-3.45	-2.52	-2.37	-4.49	-2.47	Transcription
37863_at	EGR2	-4.55	-7.7	-5.52	-7.23	-15.41	Transcription
48587_at	KLF4	-4.76	-3.77	-3.62	-4.57	-12.5	Transcription
36634_at	BTG2	-5.26	-6.99	-3.13	-9.25	-5.22	Transcription
279_at	NR4A1	-6.25	-5.31	-8.04	-5.11	-8.48	Transcription
280_g_at	NR4A1	-7.14	-8.68	-13.49	-5.82	-8.58	Transcription
40375_at	EGR3	-8.33	-9.89	-7.71	-8.49	-6.44	Transcription
53766_at	PER3	-9.09	-15.43	-6.79	-5.56	-6.29	Transcription
1562_g_at	DUSP8	5.8	2.42	5.01	16.6	5.86	MAP Kinase Pathway
1104_s_at	HSPA1A/HSPA1B	4.1	7.81	2.77	2.81	5.02	MAP Kinase Pathway
51474_at	MAP4K4	3.57	4.86	4.32	8.7	8.52	MAP Kinase Pathway
60658_at	---	3.5	-3	-2.96	-3.6	-3.73	MAP Kinase Pathway
50375_at	SOS1	3	2.97	4.08	4.57	3.79	MAP Kinase Pathway
33855_at	GRB2	2.55	2.29	2.61	3.85	2.1	MAP Kinase Pathway
42838_f_at	MAP3K8	2.3	2.25	3.4	2.78	2.08	MAP Kinase Pathway
54220_r_at	NLK	2.16	2.39	4.23	3.94	4.41	MAP Kinase Pathway
790_at	NGFB	1.86	2.08	2.35	3.37	2.9	MAP Kinase Pathway
48980_at	ZAK	-2.27	-2.02	-4.8	-2.06	-2.07	MAP Kinase Pathway
43053_g_at	PAK1	-2.7	-6.31	-2.46	-2.83	-2.11	MAP Kinase Pathway
39780_at	PPP3CB	-2.78	-3.82	-2.36	-3.06	-2.85	MAP Kinase Pathway
468_at	FGF13	-2.78	-4.35	-4.35	-2.11	-2.56	MAP Kinase Pathway
65904_at	---	-2.94	-2.05	-3.48	-4.18	-3.43	MAP Kinase Pathway
1292_at	DUSP2	-3.13	-3.72	-3.66	-3.17	-2.19	MAP Kinase Pathway
57299_s_at	RRAS	-3.23	-3	-2.96	-3.6	-3.73	MAP Kinase Pathway
1970_s_at	FGFR2	-5.56	-2.55	-13.13	-8.88	-4.92	MAP Kinase Pathway
1005_at	DUSP1	-6.25	-6.53	-16.66	-3.02	-3.19	MAP Kinase Pathway
279_at	NR4A1	-6.25	-5.31	-8.04	-5.11	-8.48	MAP Kinase Pathway
280_g_at	NR4A1	-7.14	-8.68	-13.49	-5.82	-8.58	MAP Kinase Pathway
1916_s_at	FOS	-7.69	-7.58	-21.81	-6.93	-11.58	MAP Kinase Pathway
1915_s_at	FOS	-9.09	-7.59	-26.38	-11.03	-12.11	MAP Kinase Pathway
2094_s_at	FOS	-16.67	-10.72	-25.75	-13.72	-16.45	MAP Kinase Pathway
