Probe ID	SYM	FDR	FC.WD.NF	Map
202655_at	ARMET	0.007536496	1.93766465	3p21.1
221483_s_at	ARPP-19	6.82E-05	-1.668442182	15q21.2
212819_at	ASB1	0.009858346	1.878176866	2q37
219918_s_at	ASPM	5.11E-07	9.776573413	1q31
204998_s_at	ATF5	0.001603522	2.98390149	19q13.3
204999_s_at	ATF5	0.000284403	2.899144825	19q13.3
216197_at	ATF7IP	0.002789834	2.131207921	12p13.1
212672_at	ATM	0.00355021	2.25725773	11q22-q23
214132_at	ATP5C1	0.009961053	1.990598407	10p15.1
213995_at	ATP5S	0.002955365	-2.016940829	14q22.1
205198_s_at	ATP7A	0.006949763	1.524996031	Xq13.2-q13.3
212062_at	ATP9A	0.009580576	-4.906522181	20q13.2
204092_s_at	AURKA	1.50E-05	4.341918924	20q13.2-q13.3
210507_s_at	AVIL	8.15E-05	11.86021073	12q14.1
205539_at	AVIL	4.52E-05	4.54630513	12q14.1
218631_at	AVPI1	0.009443151	-1.563454493	10q24.2
209309_at	AZGP1	0.00031556	-5.202093805	7q22.1
211379_x_at	B3GALNT1	0.001448501	2.249485299	3q25
211475_s_at	BAG1	0.002958135	-1.672403959	9p12
217911_s_at	BAG3	6.87E-05	-2.395293435	10q25.2-q26.2
205345_at	BARD1	9.23E-05	4.708748616	2q34-q35
202518_at	BCL7B	0.000167839	-1.876413	7q11.23
202095_s_at	BIRC5	0.001505205	3.856971225	17q25
220451_s_at	BIRC7	0.001029783	2.232287009	20q13.3
207655_s_at	BLNK	0.002385282	3.150022764	10q23.2-q23.33
205290_s_at	BMP2	0.006767736	-2.408233587	20p12
219546_at	BMP2K	0.00235094	3.46445444	4q21.21
59644_at	BMP2K	0.000996409	2.373410178	4q21.21
37170_at	BMP2K	0.003178264	1.901486279	4q21.21
216259_at	BMPER	0.000143281	3.63951144	7p14.3
221479_s_at	BNIP3L	0.003857015	-2.142854493	8p21
214727_at	BRCA2	0.005559917	2.101550306	13q12.3
202227_s_at	BRD8	0.008081894	1.539306593	5q31
209430_at	BTAF1	0.00902737	1.606201312	10q22-q23
209770_at	BTN3A1	0.008197354	1.869165342	6p22.1
209642_at	BUB1	0.002978332	2.759195987	2q14
203755_at	BUB1B	0.000282205	3.133588927	15q15
209182_s_at	C10orf10	0.000141614	-4.119876659	10q11.21
52164_at	C11orf24	0.001509388	1.785791861	11q13
204521_at	C12orf24	0.007870494	2.078179384	12q24.11
221067_s_at	C12orf39	0.004785861	-1.799616224	12p12.1
64432_at	C12orf47	0.004849685	2.313326847	12q24.12
219817_at	C12orf47	0.004484619	1.58249339	12q24.12
220060_s_at	C12orf48	3.59E-05	3.21141539	12q23.2
219972_s_at	C14orf135	0.002429946	2.132558264	14q23.1
218300_at	C16orf53	0.000200025	2.312232962	16p11.2
205781_at	C16orf7	0.003619514	1.772259135	16q24
219146_at	C17orf42	0.009623499	1.610049759	NA
217640_x_at	C18orf24	0.004849685	3.869088191	18q21.1
222266_at	C19orf2	0.00286263	2.264345529	19q12
220840_s_at	C1orf112	0.005670713	2.947952072	1q24.2
218546_at	C1orf115	0.00635521	-2.045499784	1q41
221648_s_at	C1orf121	0.001213891	2.049732607	1q44
213528_at	C1orf156	0.006668626	1.915471862	1q24.2
222000_at	C1orf174	0.008197354	1.474333553	1p36.32
209007_s_at	C1orf63	0.005018192	2.204358376	1p36.13-p35.1
202560_s_at	C1orf77	0.0021441	1.680493861	1q21.3
203429_s_at	C1orf9	0.009741058	2.016913883	1q24
220477_s_at	C20orf30	0.008667633	-1.720519204	20p12.3
212875_s_at	C21orf25	1.28E-05	-2.931286528	21q22.3
219004_s_at	C21orf45	0.000761625	1.78866363	21q22.11
214428_x_at	C4A	0.003857015	4.739474496	6p21.3
220495_s_at	C5orf14	0.008443222	1.993069945	5q31.1
203024_s_at	C5orf15	0.000124843	1.84986441	5q31.1
210168_at	C6	0.006668626	-2.931071169	5p13
212177_at	C6orf111	0.000124843	2.768203336	6q16.3
215380_s_at	C7orf24	0.008524983	-1.873370225	7p15-p14
204508_s_at	CA12	3.40E-05	8.805980913	15q22
203963_at	CA12	0.002569634	4.069000653	15q22
215867_x_at	CA12	0.001340862	3.090280539	15q22
214164_x_at	CA12	0.004827768	2.967236446	15q22
210735_s_at	CA12	0.006352644	2.147653837	15q22
219928_s_at	CABYR	0.003650455	1.688827386	18q11.2
201382_at	CACYBP	0.004495419	2.2405172	1q24-q25
205428_s_at	CALB2	1.52E-06	-4.796238052	16q22.2
209563_x_at	CALM1	0.009532102	-1.850744648	14q24-q31
211985_s_at	CALM1	0.006827261	-2.214168487	14q24-q31
200623_s_at	CALM3	0.005543697	2.196285464	19q13.2-q13.3
202965_s_at	CAPN6	0.00899731	17.56348979	Xq23
201432_at	CAT	0.005231137	-2.302115596	11p13
211922_s_at	CAT	3.39E-06	-3.69911618	11p13
203418_at	CCNA2	0.001438527	2.939057398	4q25-q31
213226_at	CCNA2	0.007974366	2.122123846	4q25-q31
200953_s_at	CCND2	0.00265464	3.018855135	12p13
213743_at	CCNT2	0.000761625	2.03360093	2q21.3
205271_s_at	CCRK	0.002122697	1.88573037	9q22.1
201946_s_at	CCT2	0.000264221	5.39421088	12q15
201947_s_at	CCT2	0.000170207	4.705727112	12q15
38521_at	CD22	0.000345048	2.486853139	19q13.1
206545_at	CD28	0.002791812	2.080432765	2q33
203799_at	CD302	0.008103482	-1.940424425	2q24.2
213856_at	CD47	0.008797183	4.582177703	3q13.1-q13.2
203213_at	CDC2	0.000462555	5.181971	10q21.1
203214_x_at	CDC2	0.009973004	2.085814448	10q21.1
202892_at	CDC23	0.001621025	1.693419032	5q31
201853_s_at	CDC25B	0.007180108	1.928310779	20p13
203968_s_at	CDC6	0.004323157	1.79821861	17q21.3
203468_at	CDK10	0.009082756	2.943907089	16q24
202246_s_at	CDK4	1.11E-16	11.33735418	12q14
207039_at	CDKN2A	4.37E-07	8.405106855	9p21
209644_x_at	CDKN2A	0.001844973	5.819742439	9p21
209832_s_at	CDT1	0.000306383	3.369735695	16q24.3
213554_s_at	CDV3	0.009954975	-1.708433012	3q22.1
213548_s_at	CDV3	0.000528068	-2.812826726	3q22.1
209172_s_at	CENPF	0.007641306	2.561093325	1q32-q41
207828_s_at	CENPF	0.008216946	2.364388352	1q32-q41
219294_at	CENPQ	0.004484619	1.842873042	6p12.3
212476_at	CENTB2	0.00285531	1.824327954	3q29
218542_at	CEP55	4.18E-05	5.456910466	10q23.33
203493_s_at	CEP57	8.08E-05	2.252192025	11q21
208485_x_at	CFLAR	0.003075402	-1.790429396	2q33-q34
211862_x_at	CFLAR	0.00265464	-1.895804191	2q33-q34
205393_s_at	CHEK1	1.10E-05	4.677897398	11q24-q24
214665_s_at	CHP	0.002475826	-1.995455023	15q13.3
202175_at	CHPF	0.007474199	2.057416037	2q35
221295_at	CIDEA	8.96E-05	-6.510390207	18p11.21
219398_at	CIDEC	0.000317669	-4.474711851	3p25.3
212801_at	CIT	0.008840073	1.720625667	12q24
218252_at	CKAP2	0.002337819	2.436551467	13q14
202712_s_at	CKMT1B	0.002378777	2.675833296	15q15
206165_s_at	CLCA2	0.006646626	3.008531646	1p31-p22
219947_at	CLEC4A	0.001106545	2.484581349	12p13
205830_at	CLGN	0.000797264	6.390062377	4q28.3-q31.1
203229_s_at	CLK2	0.003888496	1.874745353	1q21
210659_at	CMKLR1	0.001890631	2.305580364	12q24.1
219301_s_at	CNTNAP2	0.001876359	5.043522407	7q35-q36
211343_s_at	COL13A1	0.005566766	6.413716119	10q22
202311_s_at	COL1A1	9.28E-05	8.563771117	17q21.33
202310_s_at	COL1A1	0.000247316	7.527492393	17q21.33
211161_s_at	COL3A1	5.01E-10	4.690655288	2q31
215076_s_at	COL3A1	7.10E-07	3.258426948	2q31
201852_x_at	COL3A1	4.43E-06	3.059212478	2q31
213110_s_at	COL4A5	0.005983246	4.357713774	Xq22
212489_at	COL5A1	0.00039935	4.47330174	9q34.2-q34.3
212488_at	COL5A1	0.000672823	4.072002566	9q34.2-q34.3
203325_s_at	COL5A1	0.006822684	3.430550219	9q34.2-q34.3
221729_at	COL5A2	0.000230463	2.444806242	2q14-q32
201358_s_at	COPB1	0.003148586	1.579887424	11p15.2
210182_at	CORT	0.007161628	1.936895189	1p36
217542_at	CPM	9.62E-07	7.322037761	12q14.3
202470_s_at	CPSF6	0.004827768	2.939960256	12q15
202979_s_at	CREBZF	0.009623499	2.069629985	11q14
202226_s_at	CRK	4.26E-06	-2.5476426	17p13.3
203804_s_at	CROP	0.009172192	1.953108214	17q21.33
202611_s_at	CRSP2	0.003845101	1.871023977	Xp11.4-p11.2
201161_s_at	CSDA	9.50E-05	-2.442425462	12p13.1
219939_s_at	CSDE1	0.005808575	-1.694075023	1p22
207442_at	CSF3	0.000158904	-7.306678884	17q11.2-q12
203591_s_at	CSF3R	0.002337819	-4.601232896	1p35-p34.3
221799_at	CSGlcA-T	0.000111889	2.46784667	7q36.1
55093_at	CSGlcA-T	0.000120948	1.863149791	7q36.1
208350_at	CSN1S1	0.003845101	-4.682347319	4q21.1
208735_s_at	CTDSP2	6.59E-07	3.363854934	12q13-q15
203445_s_at	CTDSP2	8.19E-06	3.218269242	12q13-q15
202468_s_at	CTNNAL1	0.000290125	-1.924223026	9q31.2
202060_at	CTR9	0.005030252	1.870235433	11p15.3
36084_at	CUL7	0.004139228	1.701229578	6p21.1
823_at	CX3CL1	0.005693054	-2.048822888	16q13
205242_at	CXCL13	0.00078225	22.44083565	4q21
209774_x_at	CXCL2	0.001572898	-8.179886121	4q21
220252_x_at	CXorf21	0.005559917	1.864170152	Xp21.2
215726_s_at	CYB5A	0.00061884	-2.782612486	18q23
209366_x_at	CYB5A	1.47E-06	-3.872199419	18q23
207843_x_at	CYB5A	9.62E-07	-4.051783159	18q23
205676_at	CYP27B1	0.000129435	4.275861094	12q13.1-q13.3
1431_at	CYP2E1	0.004522851	2.336276202	10q24.3-qter
219290_x_at	DAPP1	0.008443222	1.811131106	4q25-q27
203302_at	DCK	0.00191581	2.005889849	4q13.3-q21.1
222233_s_at	DCLRE1C	0.007762254	2.223154403	10p13
212919_at	DCP2	8.96E-05	2.301140174	5q22.2
208674_x_at	DDOST	0.001348301	1.695556879	1p36.1
210749_x_at	DDR1	0.002635233	-1.617016105	6p21.3
1007_s_at	DDR1	0.002955365	-1.799252043	6p21.3
207169_x_at	DDR1	0.002955365	-2.754526573	6p21.3
201440_at	DDX23	0.004405253	-3.33341885	12q13.12
202462_s_at	DDX46	0.007864857	1.510997011	5q31.1
210811_s_at	DDX49	0.001198337	2.262697238	19p12
206752_s_at	DFFB	0.007360704	2.625522669	1p36.3
214198_s_at	DGCR2	0.007641306	1.802714531	22q11.21
204800_s_at	DHRS12	0.002829533	-1.86326719	13q14.3
36552_at	DKFZP586P0123	0.007050683	1.503351782	11q13.4
212325_at	DKFZP686A01247	0.001893229	-2.605020109	4p13
212327_at	DKFZP686A01247	0.009623499	-2.937554082	4p13
212328_at	DKFZP686A01247	0.003397311	-3.396647301	4p13
218726_at	DKFZp762E1312	4.54E-06	6.234587755	2q37.1
210762_s_at	DLC1	0.003214512	-2.348058343	8p22
216870_x_at	DLEU2	4.38E-05	3.647892836	13q14.3
209560_s_at	DLK1	0.001335041	25.248321	14q32
200666_s_at	DNAJB1	0.007843099	-1.867624908	19p13.2
200664_s_at	DNAJB1	0.003867897	-2.291579465	19p13.2
212911_at	DNAJC16	0.005559917	1.574118643	1p36.1
213088_s_at	DNAJC9	0.000162411	1.770095962	10q22.2
220668_s_at	DNMT3B	0.008073776	1.876704313	20q11.2
219279_at	DOCK10	0.007966329	3.724916192	2q36.2
217901_at	DSG2	0.008611006	-3.188057997	18q12.1
219512_at	DSN1	0.001521869	2.322277481	20q11.23
218585_s_at	DTL	1.83E-08	9.349593776	1q32.1-q32.2
215732_s_at	DTX2	0.007643486	1.721168713	7q11.23
215501_s_at	DUSP10	0.00089072	2.478513996	1q41
221563_at	DUSP10	0.001235298	2.218599459	1q41
57532_at	DVL2	0.003966042	1.576961753	17p13.2
204557_s_at	DZIP1	0.000285186	2.968490493	13q32.1
219990_at	E2F8	0.000445591	5.97803592	11p15.1
219298_at	ECHDC3	1.56E-06	-7.806199121	10p14
205107_s_at	EFNA4	0.0001042	3.875135548	1q21-q22
204400_at	EFS	0.005597819	2.415349191	14q11.2-q12
212130_x_at	EIF1	0.000541413	-1.727923703	17q21.2
202021_x_at	EIF1	0.000516564	-1.73937258	17q21.2
212227_x_at	EIF1	0.000285186	-1.82638725	17q21.2
218696_at	EIF2AK3	0.006900165	2.098380309	2p12
201142_at	EIF2S1	0.001547538	-1.663078498	14q23.3
221528_s_at	ELMO2	0.008155335	1.789167884	20q13
200878_at	EPAS1	0.00403705	-2.581470068	2p21-p16
200879_s_at	EPAS1	0.002789834	-3.099460124	2p21-p16
220161_s_at	EPB41L4B	0.008524983	-3.061171613	9q31-q32
204505_s_at	EPB49	0.00821854	-1.66422484	8p21.1
204600_at	EPHB3	0.001588716	2.962969019	3q21-qter
202909_at	EPM2AIP1	0.000483729	2.089039258	3p22.1
201216_at	ERP29	0.003867897	1.825714368	12q24.13
215095_at	ESD	0.000881587	2.599663397	13q14.1-q14.2
201573_s_at	ETF1	0.004058734	-1.654239643	5q31.1
201329_s_at	ETS2	0.002526491	-2.440024049	21q22.3
222303_at	ETS2	0.003920012	-2.47564675	21q22.3
201328_at	ETS2	0.005359049	-2.551240968	21q22.3
217838_s_at	EVL	0.007759545	1.790867381	14q32.2
209537_at	EXTL2	0.00549811	1.590644577	1p21
214608_s_at	EYA1	0.0069567	5.571289681	8q13.3
203358_s_at	EZH2	0.000111967	5.020162029	7q35-q36
205030_at	FABP7	0.003302278	1.642316277	6q22-q23
204257_at	FADS3	0.001982102	-2.254110691	11q12-q13.1
216080_s_at	FADS3	0.006919914	-2.573608215	11q12-q13.1
202862_at	FAH	0.004827768	-2.892883249	15q23-q25
212400_at	FAM102A	0.002791812	2.789501586	9q34.11
213861_s_at	FAM119B	4.43E-08	6.338381245	12q14.1
203206_at	FAM53B	0.001621025	1.856422238	10q26.13
204780_s_at	FAS	0.00196988	2.27838269	10q24.1
208988_at	FBXL11	0.007385151	1.814100405	11q13.1
215854_at	FBXO22	0.002955365	1.700223441	15q24.2
215567_at	FCF1	0.000541471	2.189803037	14q24.3
204767_s_at	FEN1	0.000996409	2.255223738	11q12
222245_s_at	FER1L4	0.003006834	2.434589902	20q11.22
210299_s_at	FHL1	0.006621421	-3.199935203	Xq26
214505_s_at	FHL1	5.81E-05	-5.203401774	Xq26
201539_s_at	FHL1	1.76E-05	-5.816060007	Xq26
210298_x_at	FHL1	5.81E-05	-6.379912713	Xq26
221007_s_at	FIP1L1	0.004986651	1.781867884	4q12
219249_s_at	FKBP10	0.006108953	4.760952817	17q21.2
52731_at	FLJ20294	0.009539557	1.612613711	11p11.2
218842_at	FLJ21908	0.008524983	2.244072742	12q13.11
202935_s_at	FLJ37644	0.004619789	2.860481245	17q24.3
215245_x_at	FMR1	0.004827768	1.759888924	Xq27.3
205860_x_at	FOLH1	0.001758829	4.001985532	11p11.2
215363_x_at	FOLH1	0.001890631	2.710334186	11p11.2
217487_x_at	FOLH1	0.004762972	1.92531236	11p11.2
218881_s_at	FOSL2	0.00326376	-2.400637971	2p23.3
206307_s_at	FOXD1	1.07E-07	13.27749188	5q12-q13
210655_s_at	FOXO3A	0.007151278	-3.205494916	6q21
205140_at	FPGT	0.005463316	1.945983374	1p31.1
221308_at	FRS2	0.001901178	7.885675415	12q15
218356_at	FTSJ2	0.005144599	1.898313439	7p22
210220_at	FZD2	0.000611562	3.480962998	17q21.1
203706_s_at	FZD7	0.004349072	2.464814536	2q33
208868_s_at	GABARAPL1	0.001928418	-2.032640336	12p13.2
204417_at	GALC	0.002172775	1.773087597	14q31
202528_at	GALE	0.002852072	1.989685134	1p36-p35
210589_s_at	GBA	0.00407465	4.831267452	1q21
201439_at	GBF1	0.002141787	1.688536211	10q24
202923_s_at	GCLC	0.002789834	-2.563120358	6p12
203925_at	GCLM	0.003013182	-2.765850583	1p22.1
216860_s_at	GDF11	0.003267529	3.449504072	12q13.2
203986_at	GENX-3414	0.006764063	-3.474876339	4q24-q25
45572_s_at	GGA1	0.001534144	1.495293491	22q13.31
208913_at	GGA2	0.003214512	1.808811381	16p12
221521_s_at	GINS2	0.003490892	6.658744654	16q24.1
207153_s_at	GLMN	0.003075402	2.183980433	1p22.1
218147_s_at	GLT8D1	0.000450071	2.337718604	3p21.1
217202_s_at	GLUL	0.000400436	-3.381412363	1q31
200648_s_at	GLUL	0.000200077	-5.089413769	1q31
206930_at	GLYAT	0.000226495	-2.665231303	11q12.1
222083_at	GLYAT	9.62E-07	-8.54728653	11q12.1
218350_s_at	GMNN	0.001560768	1.868035696	6p22.2
209576_at	GNAI1	0.001846065	-2.809777029	7q21
204762_s_at	GNAO1	0.002228404	1.810817338	16q13
206896_s_at	GNG7	0.002978332	2.300453886	19p13.3
215893_x_at	GPC5	0.002674014	1.93836654	13q32
212510_at	GPD1L	0.006767736	-2.145524331	3p22.3
211979_at	GPR107	0.008644387	1.956216431	9q34.11
205220_at	GPR109B	0.000449205	-6.006647051	12q24.31
212950_at	GPR116	0.002955365	-2.702206589	6p12.3
212070_at	GPR56	6.88E-05	-4.952178115	16q12.2-q21
222140_s_at	GPR89A	8.96E-05	2.224304989	1p36.13-q31.3
220642_x_at	GPR89A	0.004654022	1.669560132	1p36.13-q31.3
201106_at	GPX4	0.000284003	-2.214599447	19p13.3
213170_at	GPX7	0.006051443	2.08459707	1p32
210412_at	GRIN2B	0.004284382	1.754802834	12p12
212432_at	GRPEL1	0.004849685	-1.633130521	4p16
214040_s_at	GSN	0.003060028	-5.05960581	9q33
214850_at	GUSBP1	0.00857849	2.604568705	5q13.2
210964_s_at	GYG2	0.002789834	-4.110417875	Xp22.3
210963_s_at	GYG2	0.001235298	-4.465146977	Xp22.3
215695_s_at	GYG2	0.005916127	-4.701096083	Xp22.3
211999_at	H3F3B	0.003498713	-1.592720047	17q25
209069_s_at	H3F3B	0.000798489	-1.75587945	17q25
211997_x_at	H3F3B	0.000285186	-1.823554768	17q25
211998_at	H3F3B	0.001835713	-2.673162887	17q25
201035_s_at	HADH	0.000226495	-2.219899653	4q22-q26
201036_s_at	HADH	0.000762313	-3.002531437	4q22-q26
211569_s_at	HADH	8.78E-05	-3.180821499	4q22-q26
209458_x_at	HBA1	0.009443151	-5.54419487	16p13.3
211696_x_at	HBB	0.005725741	-5.904534275	11p15.5
217232_x_at	HBB	0.00355021	-6.710228775	11p15.5
209116_x_at	HBB	0.004537513	-9.236232089	11p15.5
213515_x_at	HBG2	0.00606873	-2.578859901	11p15.5
203430_at	HEBP2	0.000971644	-3.39523449	6q24
52159_at	HEMK1	0.009561009	1.64353877	3p21.3
221896_s_at	HIGD1A	0.007641612	-1.994659927	3p22.1
203253_s_at	HISPPD1	0.002637013	1.949352688	5q21.1
218152_at	HMG20A	0.006316079	1.792801847	15q24
203744_at	HMGB3	0.00432152	1.827566971	Xq28
200944_s_at	HMGN1	0.000939153	1.82614789	21q22.3
207165_at	HMMR	4.02E-05	5.141844903	5q33.2-qter
209709_s_at	HMMR	6.49E-05	2.957715933	5q33.2-qter
221919_at	HNRPA1	0.006558407	2.557858808	12q13.1
211929_at	HNRPA3	0.003148015	1.935175836	2q31.2
206194_at	HOXC4	0.009436818	2.304086143	12q13.3
218794_s_at	HP	0.008862134	1.45086831	16q22.1
209581_at	HRASLS3	0.000762313	-4.756864398	11q12.3-q13.1
203790_s_at	HRSP12	0.000540469	-2.29683871	8q22
203285_s_at	HS2ST1	0.005979646	1.705463836	1p31.1-p22.1
218934_s_at	HSPB7	0.000509306	-3.512533275	1p36.23-p34.3
207135_at	HTR2A	0.008196083	2.160828934	13q14-q21
215485_s_at	ICAM1	0.009903057	-2.478348807	19p13.3-p13.2
208937_s_at	ID1	0.001621025	-4.861310055	20q11
209293_x_at	ID4	0.000779835	-2.424738513	6p22-p21
201642_at	IFNGR2	0.004849685	-1.529307585	21q22.11
215118_s_at	IGHA1	0.005724993	2.631333941	14q32.33
211647_x_at	IGHG1	0.001170234	4.527551947	14q32.33
217369_at	IGHG1	0.000347252	3.247953838	14q32.33
216560_x_at		0.001198337	29.2776634	22q11.1-q11.2
211027_s_at	IKBKB	0.002991468	-3.563112742	8p11.2
204773_at	IL11RA	7.79E-05	3.232458381	9p13
202948_at	IL1R1	0.007284883	-2.987226894	2q12
205207_at	IL6	0.000357881	-6.599886062	7p21
212196_at	IL6ST	0.009764983	-1.762216827	5q11
214950_at	IL9R	0.001982102	3.108146852	Xq28
218783_at	INTS7	9.89E-05	6.214509722	1p36.13-q42.3
218905_at	INTS8	0.000971644	2.058213648	8q22.1
216135_at	IQCK	0.000449205	5.337838562	16p12.3
209184_s_at	IRS2	0.005008657	-2.552577723	13q34
207403_at	IRS4	0.008424546	2.010511303	Xq22.3
203336_s_at	ITGB1BP1	0.006103524	-2.143608021	2p25.2
203337_x_at	ITGB1BP1	0.000792578	-3.700682798	2p25.2
221004_s_at	ITM2C	0.005181185	2.98930081	2q37
213076_at	ITPKC	0.004532077	-1.740820924	19q13.1
35776_at	ITSN1	0.000779835	-2.334037818	21q22.1-q22.2
209298_s_at	ITSN1	0.006226482	-2.585613072	21q22.1-q22.2
209297_at	ITSN1	2.02E-06	-3.195313547	21q22.1-q22.2
201473_at	JUNB	0.001808962	-3.363875852	19p13.2
217511_at	KAZALD1	0.00100532	2.742682581	10q24.31
218474_s_at	KCTD5	0.005467797	1.541422415	16p13.3
213474_at	KCTD7	0.005724993	2.935225954	7q11.21
219479_at	KDELC1	0.005725741	2.03643338	13q33
202503_s_at	KIAA0101	3.59E-05	4.781924725	15q22.31
212523_s_at	KIAA0146	0.000859284	2.397154198	8q11.21
212837_at	KIAA0157	0.006767736	1.522755744	10q26.13
212621_at	KIAA0286	0.003325692	3.602891597	12q13.3
212428_at	KIAA0368	0.000528068	-1.665016477	9q31.3
212553_at	KIAA0460	0.002926735	2.318054013	1q21.2
212633_at	KIAA0776	0.003423617	1.814724624	6q16.1
213053_at	KIAA0841	2.84E-06	4.627819256	19q13.12
202220_at	KIAA0907	0.000290125	3.068840513	1q22
213008_at	KIAA1794	1.21E-05	7.918219651	15q25-q26
213007_at	KIAA1794	0.000134876	2.682861512	15q25-q26
204444_at	KIF11	6.00E-05	5.78657275	10q24.1
218755_at	KIF20A	1.14E-07	8.984953418	5q31
204709_s_at	KIF23	4.07E-05	7.829876493	15q23
209408_at	KIF2C	0.0069567	2.126961454	1p34.1
218486_at	KLF11	0.003001637	-2.217112169	2p25
220266_s_at	KLF4	0.008093747	-4.596028381	9q31
208961_s_at	KLF6	0.007635566	-2.007937083	10p15
208960_s_at	KLF6	0.00899731	-2.543927212	10p15
206316_s_at	KNTC1	0.000574666	2.887860671	12q24.31
204162_at	KNTC2	4.80E-05	11.17388041	18p11.32
213573_at	KPNB1	0.003060464	1.640745863	17q21.32
219061_s_at	LAGE3	0.007799933	1.656916416	Xq28
200821_at	LAMP2	0.00039935	2.106139603	Xq24
207734_at	LAX1	0.002035528	2.639002801	1q32.1
213261_at	LBA1	0.007896256	1.682191375	3p22.2
217173_s_at	LDLR	0.002691505	-2.480733311	19p13.3
202068_s_at	LDLR	0.007759545	-2.733497511	19p13.3
202067_s_at	LDLR	0.002789834	-10.97632919	19p13.3
207092_at	LEP	0.003171466	-11.58124387	7q31.3
208949_s_at	LGALS3	0.000763192	-2.927784117	14q21-q22
202726_at	LIG1	0.000437995	2.31612288	19q13.2-q13.3
213855_s_at	LIPE	0.005559917	-3.059067895	19q13.2
218574_s_at	LMCD1	6.00E-05	-2.978547492	3p26-p24
216497_at	LOC120364	0.00068273	2.087446485	11q23.1
221973_at	LOC150759	0.005830632	2.64614972	2q11.2
213248_at	LOC221362	0.000158904	3.13931166	6p12.3
217336_at	LOC376693	0.000624541	2.071973936	1q32.1
213237_at	LOC400506	0.006894703	1.872876689	16p12.3
221992_at	LOC440348	0.00622307	2.129331848	16q22.3
215755_at	LOC51149	0.002531306	1.586413325	5q35.3
221849_s_at	LOC90379	0.00569927	2.26668798	19p13.12
220244_at	LOH3CR2A	0.00068273	-2.469968212	3p25.3
205282_at	LRP8	0.008623823	2.291893659	1p34
202903_at	LSM5	0.000111967	2.786219842	7p14.3
212449_s_at	LYPLA1	0.006725559	1.657403741	8q11.23
203362_s_at	MAD2L1	0.000202242	3.355446245	4q27
205193_at	MAFF	0.003605205	-2.329968138	22q13.1
36711_at	MAFF	0.009010807	-3.74808595	22q13.1
221261_x_at	MAGED4	0.006984788	3.17933375	NA
218176_at	MAGEF1	0.000716594	1.940271572	3q13
218636_s_at	MAN1B1	0.000547049	3.72634909	9q34
219003_s_at	MANEA	0.0069567	3.124169658	6q16.1
204389_at	MAOA	0.000406313	-6.268888046	Xp11.3
204388_s_at	MAOA	0.000380273	-7.661265753	Xp11.3
204041_at	MAOB	0.0001042	-9.914850694	Xp11.23
205699_at	MAP2K6	0.005724993	2.556904705	17q24.3
217943_s_at	MAP7D1	4.18E-05	-2.17847212	1p34.3
210075_at	MARCH2	0.00370202	-2.187477314	19p13.2
