Gene ID	Gene Name	Molecular Function/Biological Process	Status
280_g_at	nuclear receptor subfamily 4, group A, member 1	nuclear receptor	UP REGULATED GENES
36136_at	p53-induced protein	negative regulation of cell proliferation	UP REGULATED GENES
37386_i_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	KDEL receptor	UP REGULATED GENES
34299_at	zinc finger protein 278	regulation of transcription	UP REGULATED GENES
33448_at	serine protease inhibitor, Kunitz type 1	protease inhibitor	UP REGULATED GENES
35232_f_at	centrin, EF-hand protein, 3 (CDC31 yeast homolog)	(L) centriole protein	UP REGULATED GENES
35597_at	phosphoprotein regulated by mitogenic pathways	protein kinase	UP REGULATED GENES
33122_at	regulator of G-protein signalling 10	binding to Galpha subunit	UP REGULATED GENES
37760_at	BAI1-associated protein 2	cell-adhesion	UP REGULATED GENES
32767_at	TAL1 (SCL) interrupting locus	(L) transcription factor	UP REGULATED GENES
610_at	adrenergic, beta-2-, receptor, surface	beta-adrenergic receptor	UP REGULATED GENES
40448_at	zinc finger protein homologous to Zfp-36 in mouse	single-stranded RnA binding	UP REGULATED GENES
36328_at	sex hormone-binding globulin	androgen binding, steroid binding	UP REGULATED GENES
35147_at	MCF.2 cell line derived transforming sequence-like		UP REGULATED GENES
279_at	nuclear receptor subfamily 4, group A, member 1	nuclear receptor	UP REGULATED GENES
41745_at	interferon induced transmembrane protein 3 (1-8U)	immune response	DOWN REGULATED GENES
1563_s_at	tumor necrosis factor receptor superfamily, member 1A	signal transduction	DOWN REGULATED GENES
676_g_at	interferon induced transmembrane protein 1 (9-27)	immune respoonse, signal transduction	DOWN REGULATED GENES
33295_at	Duffy blood group	transmembrane receptor	DOWN REGULATED GENES
770_at	glutathione peroxidase 3 (plasma)	enzyme, electron transporter	DOWN REGULATED GENES
607_s_at	von Willebrand factor	cell adhesion	DOWN REGULATED GENES
32340_s_at	nuclease sensitive element binding protein 1	transcription factor	DOWN REGULATED GENES
757_at	mRNA for annexin II, 5 UTR (sequence from the 5 cap to the start codon).	phospholipase inhibitor	DOWN REGULATED GENES
38004_at	chondroitin sulfate proteoglycan 4 (melanoma-associated)	proteoglycan, cell adhesion	DOWN REGULATED GENES
37003_at	CD63 antigen (melanoma 1 antigen)	blood clotting	DOWN REGULATED GENES
411_i_at	interferon induced transmembrane protein 2 (1-8D)	immune response	DOWN REGULATED GENES
425_at	interferon, alpha-inducible protein 27	immune response	DOWN REGULATED GENES
1241_at	protein tyrosine phosphatase type IVA, member 2	phosphatase	DOWN REGULATED GENES
40771_at	moesin	cytoskeletal structural protein	DOWN REGULATED GENES
32569_at	platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit (45kD)	plasma protein	DOWN REGULATED GENES
32171_at	eukaryotic translation initiation factor 5	protein metabolism (translation)	DOWN REGULATED GENES
38995_at	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)	structural molecule activity	DOWN REGULATED GENES
1737_s_at	insulin-like growth factor-binding protein 4	receptor binding protein	DOWN REGULATED GENES
36156_at	aquaporin 1 (channel-forming integral protein, 28kD)	water transport, excretion	DOWN REGULATED GENES
39781_at	insulin-like growth factor-binding protein 4	receptor binding protein	DOWN REGULATED GENES
31684_at	Human lipocortin (LIP) 2 pseudogene mRNA, complete cds-like region		DOWN REGULATED GENES
38118_at	SHC (Src homology 2 domain-containing) transforming protein 1	activation of MAP kinase	DOWN REGULATED GENES
31444_s_at	annexin A2 pseudogene 2	skeletal development	DOWN REGULATED GENES
1814_at	transforming growth factor, beta receptor II (70-80kD)	growth factor receptor	DOWN REGULATED GENES
38119_at	glycophorin C (Gerbich blood group)	blood group antigen	DOWN REGULATED GENES
32818_at	hexabrachion (tenascin C, cytotactin)	ligand binding	DOWN REGULATED GENES
661_at	growth arrest-specific 1	inhibitor or repressor	DOWN REGULATED GENES
1192_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12		DOWN REGULATED GENES
1818_at	HG1879-HT1919 Ras-Like Protein Tc10		DOWN REGULATED GENES
36292_at	purinergic receptor P2Y, G-protein coupled, 2	receptor	DOWN REGULATED GENES
38415_at	protein tyrosine phosphatase type IVA, member 2	phosphatase	DOWN REGULATED GENES
39070_at	singed (Drosophila)-like (sea urchin fascin homolog like)	actin bundling	DOWN REGULATED GENES
38797_at	KIAA0062 protein		DOWN REGULATED GENES
33867_s_at	RNA binding motif, single stranded interacting protein 1	DNA -associated	DOWN REGULATED GENES
33819_at	lactate dehydrogenase B	lactate dehydrogenase	DOWN REGULATED GENES
769_s_at	annexin A2	phospholipase inhibitor	DOWN REGULATED GENES
38908_s_at	REV3 (yeast homolog)-like, catalytic subunit of DNA polymerase zeta	DNA polymerase	DOWN REGULATED GENES
AFFX-HUMGAPDH/M33197_5_at	glyceraldehyde-3-phosphate dehydrogenase	oxidoreductase	DOWN REGULATED GENES
39370_at	Microtubule-associated proteins 1A and 1B, light chain 3		DOWN REGULATED GENES
33505_at	retinoic acid receptor responder (tazarotene induced) 1	receptor	DOWN REGULATED GENES
31672_g_at	RNA binding motif, single stranded interacting protein 1	DNA associated	DOWN REGULATED GENES
39182_at	epithelial membrane protein 3	cell proliferation	DOWN REGULATED GENES
32531_at	gap junction protein, alpha 1, 43kD (connexin 43)	ion transporter	DOWN REGULATED GENES
41449_at	sarcoglycan, epsilon	muscle development, matrix adhesion	DOWN REGULATED GENES
1042_at	retinoic acid receptor responder (tazarotene induced) 1	receptor	DOWN REGULATED GENES
32533_s_at	vesicle-associated membrane protein 5 (myobrevin)	vesicle transport	DOWN REGULATED GENES
37326_at	A4 differentiation-dependent protein (A4), triple LIM domain protein (LMO6), and synaptophysin (SYP)	ion transporter	DOWN REGULATED GENES
39333_at	alpha-1 collagen type IV	collagen	DOWN REGULATED GENES
33412_at	lectin, galactoside-binding, soluble, 1 (galectin 1)	apoptosis	DOWN REGULATED GENES
38736_at	WD repeat domain 1	protein binding	DOWN REGULATED GENES
39691_at	CGI-61 protein	apoptosis	DOWN REGULATED GENES
