Affymetrix probe ID	Gene ID	Gene symbol	Gene name	MSI vs. MSS
204014_at	NM_001394	DUSP4	dual specificity phosphatase 4	Up
204015_s_at	BC002671	DUSP4	dual specificity phosphatase 4	Up
204205_at	NM_021822	APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	Up
204279_at	NM_002800	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	Up
204346_s_at	NM_007182	RASSF1	Ras association (RalGDS/AF-6) domain family 1	Up
204415_at	NM_022873	IFI6	interferon, alpha-inducible protein 6	Up
204416_x_at	NM_001645	APOC1	apolipoprotein C-I	Up
204430_s_at	NM_003039	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	Up
204502_at	NM_015474	SAMHD1	SAM domain and HD domain 1	Up
204519_s_at	NM_015993	PLLP	plasma membrane proteolipid (plasmolipin)	Up
204533_at	NM_001565	CXCL10	chemokine (C-X-C motif) ligand 10	Up
204542_at	NM_006456	ST6GALNAC2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	Up
204544_at	NM_007216	HPS5	Hermansky-Pudlak syndrome 5	Up
204653_at	BF343007	TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	Up
204655_at	NM_002985	CCL5	chemokine (C-C motif) ligand 5	Up
204693_at	NM_007061	CDC42EP1	CDC42 effector protein (Rho GTPase binding) 1	Up
204780_s_at	AA164751	FAS	Fas (TNF receptor superfamily, member 6)	Up
204821_at	NM_006994	BTN3A3	butyrophilin, subfamily 3, member A3	Up
204900_x_at	NM_003864	SAP30	Sin3A-associated protein, 30kDa	Up
205003_at	NM_014705	DOCK4	dedicator of cytokinesis 4	Up
205044_at	NM_014211	GABRP	gamma-aminobutyric acid (GABA) A receptor, pi	Up
205061_s_at	NM_005033	EXOSC9	exosome component 9	Up
205081_at	NM_001311	CRIP1	cysteine-rich protein 1 (intestinal)	Up
205098_at	AI421071	CCR1	chemokine (C-C motif) receptor 1	Up
205100_at	NM_005110	GFPT2	glutamine-fructose-6-phosphate transaminase 2	Up
205120_s_at	U29586	SGCB	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	Up
205164_at	NM_014291	GCAT	glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)	Up
205269_at	AI123251	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	Up
205356_at	NM_003940	USP13	ubiquitin specific peptidase 13 (isopeptidase T-3)	Up
205488_at	NM_006144	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	Up
205495_s_at	NM_006433	GNLY	granulysin	Up
205519_at	NM_024908	WDR76	WD repeat domain 76	Up
205543_at	NM_014278	HSPA4L	heat shock 70kDa protein 4-like	Up
205565_s_at	NM_000144	FXN	frataxin	Up
205667_at	NM_000553	WRN	Werner syndrome	Up
205692_s_at	NM_001775	CD38	CD38 molecule	Up
205758_at	AW006735	CD8A	CD8a molecule	Up
205774_at	NM_000505	F12	coagulation factor XII (Hageman factor)	Up
205875_s_at	NM_016381	TREX1	three prime repair exonuclease 1	Up
205988_at	NM_003874	CD84	CD84 molecule	Up
205992_s_at	NM_000585	IL15	interleukin 15	Up
206108_s_at	NM_006275	SFRS6	splicing factor, arginine/serine-rich 6	Up
206133_at	NM_017523	XAF1	XIAP associated factor-1	Up
206271_at	NM_003265	TLR3	toll-like receptor 3	Up
206307_s_at	NM_004472	FOXD1	forkhead box D1	Up
206392_s_at	NM_002888	RARRES1	retinoic acid receptor responder (tazarotene induced) 1	Up
206669_at	NM_013445	GAD1	glutamate decarboxylase 1 (brain, 67kDa)	Up
206715_at	NM_012252	TFEC	transcription factor EC	Up
206858_s_at	NM_004503	HOXC6	homeobox C6	Up
206907_at	NM_003811	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	Up
207030_s_at	NM_001321	CSRP2	cysteine and glycine-rich protein 2	Up
207037_at	NM_003839	TNFRSF11A	tumor necrosis factor receptor superfamily, member 11a, NFKB activator	Up
207265_s_at	NM_016657	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	Up
207509_s_at	NM_002288	LAIR2	leukocyte-associated immunoglobulin-like receptor 2	Up
207543_s_at	NM_000917	P4HA1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	Up
207585_s_at	NM_001001	RPL36AL	ribosomal protein L36a-like	Up
208050_s_at	NM_001224	CASP2	caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)	Up
208103_s_at	NM_030920	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	Up
208361_s_at	NM_001722	POLR3D	polymerase (RNA) III (DNA directed) polypeptide D, 44kDa	Up
208708_x_at	AL080102	EIF5	eukaryotic translation initiation factor 5	Up
208803_s_at	AF069765	SRP72	signal recognition particle 72kDa	Up
208890_s_at	BC004542	PLXNB2	plexin B2	Up
208894_at	M60334	HLA-DRA	major histocompatibility complex, class II, DR alpha	Up
208933_s_at	AI659005	NA	NA	Up
208936_x_at	AF074000	LGALS8	lectin, galactoside-binding, soluble, 8 (galectin 8)	Up
209016_s_at	BC002700	KRT7	keratin 7	Up
209173_at	AF088867	AGR2	anterior gradient homolog 2 (Xenopus laevis)	Up
209205_s_at	BC003600	LMO4	LIM domain only 4	Up
209312_x_at	U65585	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	Up
209357_at	AF109161	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	Up
209397_at	BC000147	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial	Up
209404_s_at	AF151867	TMED7	transmembrane emp24 protein transport domain containing 7	Up
209582_s_at	H23979	CD200	CD200 molecule	Up
209619_at	K01144	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	Up
209671_x_at	M12423		T cell receptor alpha locus	Up
209759_s_at	BC002746	DCI	dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase)	Up
209813_x_at	M16768	TRGV9	T cell receptor gamma variable 9	Up
209823_x_at	M17955	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	Up
209969_s_at	BC002704	STAT1	signal transducer and activator of transcription 1, 91kDa	Up
210021_s_at	BC004877	CCNO	cyclin O	Up
210029_at	M34455	INDO	indoleamine-pyrrole 2,3 dioxygenase	Up
210041_s_at	BC001258	PGM3	phosphoglucomutase 3	Up
210321_at	M36118	GZMH	granzyme H (cathepsin G-like 2, protein h-CCPX)	Up
210385_s_at	AF106037	ARTS-1	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	Up
210644_s_at	AF109683	LAIR1	leukocyte-associated immunoglobulin-like receptor 1	Up
210758_at	AF098482	PSIP1	PC4 and SFRS1 interacting protein 1	Up
210896_s_at	AF306765	ASPH	aspartate beta-hydroxylase	Up
210982_s_at	M60333	HLA-DRA	major histocompatibility complex, class II, DR alpha	Up
211012_s_at	BC000080	PML	promyelocytic leukemia	Up
211339_s_at	D13720	ITK	IL2-inducible T-cell kinase	Up
211991_s_at	M27487	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	Up
212055_at	BF689173	C18orf10	chromosome 18 open reading frame 10	Up
212173_at	AU154985	AK2	adenylate kinase 2	Up
212276_at	D80010	LPIN1	lipin 1	Up
212313_at	BC004344	CHMP7	CHMP family, member 7	Up
212395_s_at	BF197122	KIAA0090	KIAA0090	Up
212432_at	AL542571	GRPEL1	GrpE-like 1, mitochondrial (E. coli)	Up
212462_at	AU144267	MYST4	MYST histone acetyltransferase (monocytic leukemia) 4	Up
212612_at	D31888	RCOR1	REST corepressor 1	Up
212671_s_at	BG397856	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	Up
212694_s_at	NM_000532	PCCB	propionyl Coenzyme A carboxylase, beta polypeptide	Up
212749_s_at	AI096477	RCHY1	ring finger and CHY zinc finger domain containing 1	Up
212820_at	AB020663	DMXL2	Dmx-like 2	Up
212851_at	AA194584	DCUN1D4	DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)	Up
212877_at	AA284075	KLC1	kinesin light chain 1	Up
212880_at	AB011113	WDR7	WD repeat domain 7	Up
213038_at	AL031602	RNF19B	ring finger protein 19B	Up
213094_at	AL033377	GPR126	G protein-coupled receptor 126	Up
213095_x_at	AF299327	AIF1	allograft inflammatory factor 1	Up
213135_at	U90902	TIAM1	T-cell lymphoma invasion and metastasis 1	Up
213179_at	BG289914	NA	NA	Up
213238_at	AI478147	ATP10D	ATPase, Class V, type 10D	Up
213293_s_at	AA083478	TRIM22	tripartite motif-containing 22	Up
213329_at	AA742261	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	Up
213537_at	AI128225	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	Up
213568_at	AI811298	OSR2	odd-skipped related 2 (Drosophila)	Up
213716_s_at	BF939675	SECTM1	secreted and transmembrane 1	Up
213738_s_at	AI587323	ATP5A1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle	Up
213753_x_at	BF541557	EIF5AL3	eukaryotic translation initiation factor 5A-like 3	Up
213913_s_at	AW134976	KIAA0984	KIAA0984 protein	Up
213947_s_at	AI867102	NUP210	nucleoporin 210kDa	Up
214038_at	AI984980	CCL8	chemokine (C-C motif) ligand 8	Up
214086_s_at	AK001980	PARP2	poly (ADP-ribose) polymerase family, member 2	Up
214126_at	N39314	MCART1	mitochondrial carrier triple repeat 1	Up
214239_x_at	AI560455	CISD3	CDGSH iron sulfur domain 3	Up
214358_at	AW188201	ACACA	acetyl-Coenzyme A carboxylase alpha	Up
214385_s_at	AI521646	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming	Up
214511_x_at	L03419	FCGR1B	Fc fragment of IgG, high affinity Ib, receptor (CD64)	Up
214531_s_at	AF065484	SNX1	sorting nexin 1	Up
214617_at	AI445650	PRF1	perforin 1 (pore forming protein)	Up
214889_at	AL080065	DKFZP564J102	DKFZP564J102 protein	Up
214937_x_at	AI924817	PCM1	pericentriolar material 1	Up
215054_at	H16758	EPOR	erythropoietin receptor	Up
215346_at	BF664114	CD40	CD40 molecule, TNF receptor superfamily member 5	Up
215505_s_at	AF243424	STRN3	striatin, calmodulin binding protein 3	Up
215806_x_at	M13231	TRGC2	T cell receptor gamma constant 2	Up
215855_s_at	AK021741	TMF1	TATA element modulatory factor 1	Up
216237_s_at	AA807529	MCM5	minichromosome maintenance complex component 5	Up
216920_s_at	M27331	TARP	TCR gamma alternate reading frame protein	Up
217150_s_at	S73854	NF2	neurofibromin 2 (bilateral acoustic neuroma)	Up
217478_s_at	X76775	HLA-DMA	major histocompatibility complex, class II, DM alpha	Up
217786_at	NM_006109	PRMT5	protein arginine methyltransferase 5	Up
217933_s_at	NM_015907	LAP3	leucine aminopeptidase 3	Up
218007_s_at	NM_015920	RPS27L	ribosomal protein S27-like	Up
218051_s_at	NM_022908	NT5DC2	5-nucleotidase domain containing 2	Up
218108_at	NM_018108	C14orf130	chromosome 14 open reading frame 130	Up
218143_s_at	NM_005697	SCAMP2	secretory carrier membrane protein 2	Up
218156_s_at	NM_018128	TSR1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	Up
218224_at	NM_006029	PNMA1	paraneoplastic antigen MA1	Up
218231_at	NM_017567	NAGK	N-acetylglucosamine kinase	Up
218392_x_at	NM_022754	SFXN1	sideroflexin 1	Up
218517_at	NM_024900	PHF17	PHD finger protein 17	Up
218543_s_at	NM_022750	PARP12	poly (ADP-ribose) polymerase family, member 12	Up
218627_at	NM_018370	DRAM	damage-regulated autophagy modulator	Up
218646_at	NM_017867	C4orf27	chromosome 4 open reading frame 27	Up
218650_at	NM_022775	DGCR8	DiGeorge syndrome critical region gene 8	Up
218720_x_at	NM_012410	SEZ6L2	seizure related 6 homolog (mouse)-like 2	Up
218738_s_at	NM_016271	RNF138	ring finger protein 138	Up
218771_at	NM_018216	PANK4	pantothenate kinase 4	Up
218802_at	NM_017918	CCDC109B	coiled-coil domain containing 109B	Up
218805_at	NM_018384	GIMAP5	GTPase, IMAP family member 5	Up
218898_at	NM_024792	FAM57A	family with sequence similarity 57, member A	Up
218986_s_at	NM_017631	FLJ20035	hypothetical protein FLJ20035	Up
219081_at	NM_024668	ANKHD1	ankyrin repeat and KH domain containing 1	Up
219148_at	NM_018492	PBK	PDZ binding kinase	Up
219210_s_at	NM_016530	RAB8B	RAB8B, member RAS oncogene family	Up
219211_at	NM_017414	USP18	ubiquitin specific peptidase 18	Up
219375_at	NM_006090	CEPT1	choline/ethanolamine phosphotransferase 1	Up
219403_s_at	NM_006665	HPSE	heparanase	Up
219434_at	NM_018643	TREM1	triggering receptor expressed on myeloid cells 1	Up
219550_at	NM_022370	ROBO3	roundabout, axon guidance receptor, homolog 3 (Drosophila)	Up
219563_at	NM_024633	C14orf139	chromosome 14 open reading frame 139	Up
219572_at	NM_017954	CADPS2	Ca2+-dependent activator protein for secretion 2	Up
219607_s_at	NM_024021	MS4A4A	membrane-spanning 4-domains, subfamily A, member 4	Up
219666_at	NM_022349	MS4A6A	membrane-spanning 4-domains, subfamily A, member 6A	Up
219698_s_at	NM_022840	METTL4	methyltransferase like 4	Up
219716_at	NM_030641	APOL6	apolipoprotein L, 6	Up
219749_at	NM_022071	SH2D4A	SH2 domain containing 4A	Up
220941_s_at	NM_017447	C21orf91	chromosome 21 open reading frame 91	Up
221087_s_at	NM_014349	APOL3	apolipoprotein L, 3	Up
221482_s_at	BC003418	ARPP-19	cyclic AMP phosphoprotein, 19 kD	Up
221505_at	AW612574	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	Up
221766_s_at	AW246673	FAM46A	family with sequence similarity 46, member A	Up
221788_at	AV727934	PGM3	phosphoglucomutase 3	Up
221872_at	AI669229	RARRES1	retinoic acid receptor responder (tazarotene induced) 1	Up
221967_at	AI933199	NXPH4	neurexophilin 4	Up
222041_at	BG235929	DPH1	DPH1 homolog (S. cerevisiae)	Up
222163_s_at	BE890973	SPATA5L1	spermatogenesis associated 5-like 1	Up
222498_at	AI809206	AZI2	5-azacytidine induced 2	Up
222525_s_at	AU160632	CCDC25	coiled-coil domain containing 25	Up
222532_at	BF983948	SRPRB	signal recognition particle receptor, B subunit	Up
222573_s_at	AI679398	SAV1	salvador homolog 1 (Drosophila)	Up
222601_at	AI457479	UBE1L2	ubiquitin-activating enzyme E1-like 2	Up
222606_at	AA824298	ZWILCH	Zwilch, kinetochore associated, homolog (Drosophila)	Up
222610_s_at	T81452	S100PBP	S100P binding protein	Up
222624_s_at	AA224199	ZNF639	zinc finger protein 639	Up
222778_s_at	AW024870	WHSC1	Wolf-Hirschhorn syndrome candidate 1	Up
222779_s_at	AA706815	C17orf85	chromosome 17 open reading frame 85	Up
222805_at	AI587307	MANEA	mannosidase, endo-alpha	Up
222817_at	BC004929	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta-and steroid delta-isomerase 7	Up
222868_s_at	AI521549	IL18BP	interleukin 18 binding protein	Up
222879_s_at	AF158185	POLH	polymerase (DNA directed), eta	Up
222881_at	AF155510	HPSE	heparanase	Up
222958_s_at	AK000490	DEPDC1	DEP domain containing 1	Up
223071_at	AL136667	IER3IP1	immediate early response 3 interacting protein 1	Up
223155_at	AL136681	HDHD2	haloacid dehalogenase-like hydrolase domain containing 2	Up
223160_s_at	AK024297	SMEK1	SMEK homolog 1, suppressor of mek1 (Dictyostelium)	Up
223180_s_at	BC000892	C18orf55	chromosome 18 open reading frame 55	Up
223240_at	AF201932	FBXO8	F-box protein 8	Up
223270_at	AF161543	CTDSPL2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2	Up
223447_at	AY007243	REG4	regenerating islet-derived family, member 4	Up
223465_at	BE967275	COL4A3BP	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	Up
223501_at	AW151360	NA	NA	Up
223502_s_at	AF134715	TNFSF13B	tumor necrosis factor (ligand) superfamily, member 13b	Up
223526_at	AF277189	C18orf21	chromosome 18 open reading frame 21	Up
223528_s_at	AF321002	METT11D1	methyltransferase 11 domain containing 1	Up
223547_at	AL038769	C14orf100	chromosome 14 open reading frame 100	Up
223636_at	AL136858	ZMYND12	zinc finger, MYND-type containing 12	Up
223642_at	AF193855	ZIC2	Zic family member 2 (odd-paired homolog, Drosophila)	Up
223694_at	AF220032	TRIM7	tripartite motif-containing 7	Up
223949_at	AB038160	TMPRSS3	transmembrane protease, serine 3	Up
224204_x_at	AF231339	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	Up
224330_s_at	AB049647	MRPL27	mitochondrial ribosomal protein L27	Up
224444_s_at	BC005997	C1orf97	chromosome 1 open reading frame 97	Up
224454_at	BC006111	ETNK1	ethanolamine kinase 1	Up
224604_at	AL571684	LOC401152	HCV F-transactivated protein 1	Up
224679_at	BE963495	MESDC2	mesoderm development candidate 2	Up
224928_at	AK024846	SETD7	SET domain containing (lysine methyltransferase) 7	Up
224957_at	AL572206	C18orf32	chromosome 18 open reading frame 32	Up
225014_at	BF508958	LOC389203	hypothetical gene supported by BC032431	Up
225049_at	BF382281	BLOC1S2	biogenesis of lysosome-related organelles complex-1, subunit 2	Up
225053_at	W94952	CNOT7	CCR4-NOT transcription complex, subunit 7	Up
225064_at	R60018	RABEP1	rabaptin, RAB GTPase binding effector protein 1	Up
225148_at	BE907429	RPS19BP1	ribosomal protein S19 binding protein 1	Up
225182_at	AL355685	TMEM50B	transmembrane protein 50B	Up
225246_at	T97323	STIM2	stromal interaction molecule 2	Up
225297_at	AV715391	CCDC5	coiled-coil domain containing 5 (spindle associated)	Up
225353_s_at	AI184968	C1QC	complement component 1, q subcomponent, C chain	Up
225367_at	BF512139	PGM2	phosphoglucomutase 2	Up
225392_at	BF967912	GFM2	G elongation factor, mitochondrial 2	Up
225396_at	AI928212	ZBTB8OS	zinc finger and BTB domain containing 8 opposite strand	Up
225441_x_at	AA828224	LSMD1	LSM domain containing 1	Up
225460_at	BG432489	SEC22C	SEC22 vesicle trafficking protein homolog C (S. cerevisiae)	Up
225506_at	AA523958	KIAA1468	KIAA1468	Up
225541_at	BE274422	RPL22L1	ribosomal protein L22-like 1	Up
225625_at	AI865555	ALKBH2	alkB, alkylation repair homolog 2 (E. coli)	Up
225663_at	AL047650	ACBD5	acyl-Coenzyme A binding domain containing 5	Up
225669_at	AA133989	IFNAR1	interferon (alpha, beta and omega) receptor 1	Up
225793_at	AW500180	LIX1L	Lix1 homolog (mouse)-like	Up
225898_at	AK023015	WDR54	WD repeat domain 54	Up
225981_at	AW139549	C17orf28	chromosome 17 open reading frame 28	Up
226034_at	BE222344	NA	NA	Up
226117_at	AA195074	TIFA	TRAF-interacting protein with a forkhead-associated domain	Up
226145_s_at	AL157471	FRAS1	Fraser syndrome 1	Up
226299_at	NM_013355	PKN3	protein kinase N3	Up
226301_at	AV729072	C6orf192	chromosome 6 open reading frame 192	Up
226331_at	BF508813	NA	NA	Up
226348_at	AK026764	NA	NA	Up
226406_at	AI823360	C18orf25	chromosome 18 open reading frame 25	Up
226459_at	AW575754	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	Up
226545_at	AL110152	CD109	CD109 molecule	Up
226568_at	AI478747	FAM102B	family with sequence similarity 102, member B	Up
226590_at	AA910497	ZNF618	zinc finger protein 618	Up
226603_at	BE966604	SAMD9L	sterile alpha motif domain containing 9-like	Up
226661_at	T90295	CDCA2	cell division cycle associated 2	Up
226730_s_at	BF789968	USP37	ubiquitin specific peptidase 37	Up
226735_at	AI239899	TAPT1	transmembrane anterior posterior transformation 1	Up
226748_at	AI674731	LYSMD2	LysM, putative peptidoglycan-binding, domain containing 2	Up
226773_at	AW290940	NA	NA	Up
226833_at	AI921877	CYB5D1	cytochrome b5 domain containing 1	Up
226866_at	BF211488	ESCO1	establishment of cohesion 1 homolog 1 (S. cerevisiae)	Up
226919_at	AA447709	LYRM2	LYR motif containing 2	Up
226958_s_at	AL531790	MED11	mediator complex subunit 11	Up
227014_at	BE550881	ASPHD2	aspartate beta-hydroxylase domain containing 2	Up
227015_at	Z99714	ASPHD2	aspartate beta-hydroxylase domain containing 2	Up
227077_at	BF432238	ZNF286A	zinc finger protein 286A	Up
227157_at	AV758242	CCDC111	coiled-coil domain containing 111	Up
227180_at	AW138767	ELOVL7	ELOVL family member 7, elongation of long chain fatty acids (yeast)	Up
227228_s_at	AB040942	CCDC88C	coiled-coil domain containing 88C	Up
227263_at	AL519427	C8orf58	chromosome 8 open reading frame 58	Up
227326_at	BE966768	MXRA7	matrix-remodelling associated 7	Up
227458_at	AI608902	NA	NA	Up
227486_at	AI086864	NT5E	5-nucleotidase, ecto (CD73)	Up
227542_at	AU157543	SOCS6	suppressor of cytokine signaling 6	Up
227575_s_at	AI653729	C14orf102	chromosome 14 open reading frame 102	Up
227615_at	BG231758		similar to SRR1-like protein	Up
227617_at	BF315093		hypothetical protein LOC199953	Up
227638_at	AI393091	KIAA1632	KIAA1632	Up
227641_at	AI613010	FBXL16	F-box and leucine-rich repeat protein 16	Up
227862_at	AA037766	LOC388610	hypothetical LOC388610	Up
227868_at	AI928764	LOC154761	hypothetical protein LOC154761	Up
227984_at	BE464483	LOC650392	hypothetical protein LOC650392	Up
228029_at	AW513477	ZNF721	zinc finger protein 721	Up
228142_at	BE208777	UCRC	ubiquinol-cytochrome c reductase complex (7.2 kD)	Up
228183_s_at	BF342428	RPAIN	RPA interacting protein	Up
228323_at	BF248364	CASC5	cancer susceptibility candidate 5	Up
228427_at	BF196856	FBXO16	F-box protein 16	Up
228566_at	AA778694	P15RS	hypothetical protein FLJ10656	Up
228607_at	AI651594	OAS2	2-5-oligoadenylate synthetase 2, 69/71kDa	Up
228708_at	BF438386	GPER	G protein-coupled estrogen receptor 1	Up
228867_at	BE541548	TATDN3	TatD DNase domain containing 3	Up
228969_at	AI922323	AGR2	anterior gradient homolog 2 (Xenopus laevis)	Up
229120_s_at	BG150636	C1orf56	chromosome 1 open reading frame 56	Up
229437_at	BG231961	BIC	BIC transcript	Up
229450_at	AI075407	IFIT3	interferon-induced protein with tetratricopeptide repeats 3	Up
229625_at	BG545653	GBP5	guanylate binding protein 5	Up
229630_s_at	AU147416	WTAP	Wilms tumor 1 associated protein	Up
229632_s_at	AA115512	INTS10	integrator complex subunit 10	Up
229638_at	AI681917	IRX3	iroquois homeobox 3	Up
