rank	Probe set	Gene symbol	Overexpressed in subtype
99	210024_s_at	UBE2E3	basal-like
100	221510_s_at	GLS	basal-like
101	823_at	CX3CL1	basal-like
102	202991_at	STARD3	erbb2+
103	201388_at	PSMD3	erbb2+
104	208978_at	CRIP2	erbb2+
105	209366_x_at	CYB5	luminal
106	201826_s_at	CGI-49	luminal
107	222275_at	MRPS30	luminal
108	219415_at	TTYH1	basal-like
109	208287_at	HCG9	luminal
110	220540_at	KCNK15	luminal
111	221765_at	UGCG	luminal
112	204497_at	ADCY9	luminal
113	201508_at	IGFBP4	luminal
114	209460_at	ABAT	luminal
115	202600_s_at	NRIP1	luminal
116	200804_at	TEGT	luminal
117	218640_s_at	PLEKHF2	luminal
118	207030_s_at	CSRP2	basal-like
119	221577_x_at	GDF15	erbb2+
120	211235_s_at	ESR1	luminal
121	219051_x_at	C16orf23	luminal
122	208966_x_at	IFI16	basal-like
123	209291_at	ID4	basal-like
124	212057_at	KIAA0182	erbb2+
125	219795_at	SLC6A14	basal-like
126	204792_s_at	KIAA0590	luminal
127	219570_at	C20orf23	luminal
128	208873_s_at	DP1	luminal
129	212508_at	MOAP1	luminal
130	201170_s_at	BHLHB2	luminal
131	208763_s_at	DSIPI	normal-breast like
132	218963_s_at	KRT23	basal-like
133	209318_x_at	PLAGL1	basal-like
134	218313_s_at	GALNT7	erbb2+
135	201300_s_at	PRNP	basal-like
136	209610_s_at	SLC1A4	luminal
137	218813_s_at	SH3GLB2	luminal
138	206157_at	PTX3	basal-like
139	208651_x_at	CD24	erbb2+
140	208760_at	UBE2I	luminal
141	209008_x_at	KRT8	erbb2+
142	209290_s_at	NFIB	basal-like
143	202454_s_at	ERBB3	luminal
144	209016_s_at	KRT7	erbb2+
145	203108_at	RAI3	erbb2+
146	212276_at	LPIN1	basal-like
147	210145_at	PLA2G4A	basal-like
148	204351_at	S100P	erbb2+
149	209170_s_at	GPM6B	basal-like
150	202263_at	CYB5R1	NA
151	203789_s_at	SEMA3C	NA
152	204540_at	EEF1A2	NA
153	204045_at	TCEAL1	NA
154	204798_at	MYB	NA
155	202133_at	TAZ	NA
156	211122_s_at	CXCL11	NA
157	218692_at	FLJ20366	NA
158	214428_x_at	C4A	NA
159	212256_at	GALNT10	NA
160	217894_at	KCTD3	NA
161	206754_s_at	CYP2B6	NA
162	201426_s_at	VIM	NA
163	204825_at	MELK	NA
164	213338_at	RIS1	NA
165	212181_s_at	NUDT4	NA
166	201525_at	APOD	NA
167	217000_at	Human DNA sequence from clone 84D21	NA
168	212985_at	FLJ14001	NA
169	219956_at	GALNT6	NA
170	219872_at	DKFZp434L142	NA
171	201568_at	QP-C	NA
172	208623_s_at	VIL2	NA
173	219648_at	FLJ10116	NA
174	212736_at	BC008967	NA
175	205380_at	PDZK1	NA
176	203287_at	LAD1	NA
177	203710_at	ITPR1	NA
178	212115_at	C16orf34	NA
179	219010_at	FLJ10901	NA
180	221589_s_at	ALDH6A1	NA
181	209114_at	TSPAN-1	NA
182	204533_at	CXCL10	NA
183	46323_at	ENTPD8	NA
184	203637_s_at	MID1	NA
185	205009_at	TFF1	NA
186	210683_at	NRTN	NA
187	204379_s_at	FGFR3	NA
188	35666_at	SEMA3F	NA
189	211621_at	AR	NA
190	208614_s_at	FLNB	NA
191	204913_s_at	SOX11	NA
192	216594_x_at	AKR1C1	NA
193	201841_s_at	HSPB1	NA
194	209524_at	HDGFRP3	NA
195	207038_at	SLC16A6	NA
196	218319_at	PELI1	NA
197	219572_at	CADPS2	NA
198	201360_at	CST3	NA
199	202269_x_at	GBP1	NA
200	209204_at	LMO4	NA
201	203705_s_at	FZD7	NA
202	213557_at	CRK7	NA
203	215001_s_at	GLUL	NA
204	202121_s_at	BC-2	NA
205	205363_at	BBOX1	NA
206	201579_at	FAT	NA
207	207076_s_at	ASS	NA
208	204029_at	CELSR2	NA
209	202887_s_at	DDIT4	NA
210	211548_s_at	HPGD	NA
211	201400_at	PSMB3	NA
212	218025_s_at	PECI	NA
213	202912_at	ADM	NA
214	200765_x_at	CTNNA1	NA
215	200659_s_at	PHB	NA
216	218164_at	FLJ21347	NA
217	209911_x_at	HIST1H2BD	NA
218	210085_s_at	ANXA9	NA
219	202489_s_at	FXYD3	NA
220	204364_s_at	C2orf23	NA
221	201397_at	PHGDH	NA
222	210942_s_at	SIAT10	NA
223	222258_s_at	SH3BP4	NA
224	212462_at	MYST4	NA
225	39248_at	AQP3	NA
226	202554_s_at	GSTM3	NA
227	205066_s_at	ENPP1	NA
228	204863_s_at	IL6ST	NA
229	208788_at	ELOVL5	NA
230	213134_x_at	BTG3	NA
231	209339_at	SIAH2	NA
232	213245_at	ADCY1	NA
233	217897_at	FXYD6	NA
234	219768_at	B7-H4	NA
235	200824_at	GSTP1	NA
236	203999_at	SYT1	NA
237	204855_at	SERPINB5	NA
238	215034_s_at	TM4SF1	NA
239	205830_at	CLGN	NA
240	202704_at	TOB1	NA
241	205890_s_at	UBD	NA
242	200618_at	LASP1	NA
243	206091_at	MATN3	NA
244	210095_s_at	IGFBP3	NA
245	209900_s_at	SLC16A1	NA
246	211695_x_at	MUC1	NA
247	212236_x_at	KRT17	NA
248	214243_s_at	SERHL	NA
249	210147_at	ART3	NA
250	211596_s_at	LRIG1	NA
251	220414_at	CALML5	NA
252	213043_s_at	THRAP4	NA
253	210605_s_at	MFGE8	NA
254	203476_at	TPBG	NA
255	209163_at	CYB561	NA
256	205509_at	CPB1	NA
257	208103_s_at	ANP32E	NA
258	201884_at	CEACAM5	NA
259	204994_at	MX2	NA
260	218804_at	TMEM16A	NA
261	201952_at	ALCAM	NA
262	217973_at	DCXR	NA
263	202345_s_at	FABP5	NA
264	205453_at	HOXB2	NA
265	209122_at	ADFP	NA
266	209443_at	SERPINA5	NA
267	202626_s_at	LYN	NA
268	202308_at	SREBF1	NA
269	219786_at	MTL5	NA
270	209004_s_at	FBXL5	NA
271	221139_s_at	CSAD	NA
272	202119_s_at	CPNE3	NA
273	203780_at	EVA1	NA
274	216598_s_at	CCL2	NA
275	208747_s_at	C1S	NA
276	221751_at	PANK3	NA
277	203408_s_at	SATB1	NA
278	201468_s_at	NQO1	NA
279	202431_s_at	MYC	NA
280	202870_s_at	CDC20	NA
281	219806_s_at	FN5	NA
282	221261_x_at	MAGED4	NA
283	213711_at	KRTHB1	NA
284	213680_at	KRT6B	NA
285	200658_s_at	ZNF607	NA
286	215071_s_at	HIST1H2AC	NA
287	218450_at	HEBP1	NA
288	206262_at	ADH1C	NA
289	204541_at	SEC14L2	NA
290	201983_s_at	EGFR	NA
291	212708_at	LOC339287	NA
292	221542_s_at	C8orf2	NA
293	201037_at	PFKP	NA
294	204537_s_at	GABRE	NA
295	201941_at	CPD	NA
296	210980_s_at	ASAH1	NA
297	212077_at	CALD1	NA
298	203343_at	UGDH	NA
