Symbol	UniGene	GenBank	Gene description	Cluster d	Function
UMPK	Hs.75939	AA468735	Uridine monophosphate kinase	7	Purine and pyrimidine metabolism
DTYMK	Hs.79006	L16991	Deoxythymidylate kinase (thymidylate kinase)	8	Purine and pyrimidine metabolism
DUT	Hs.367676	R77436	DUTP pyrophosphatase	8	Purine and pyrimidine metabolism
MRPL3	Hs.79086	X06323	Mitochondrial ribosomal protein L3	7	Ribosome biogenesis
HSU53209	Hs.24937	U53209	Transformer-2 alpha (htra-2 alpha)	7	RNA splicing
SFRS10	Hs.30035	U61267	Splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	7	RNA splicing
ABCE1	Hs.12013	X76388	ATP-binding cassette, sub-family E (OABP), member 1	6	RNAse L inhibitor
ADCY3	Hs.8402	AB011083	Adenylate cyclase 3	7	Signal transduction
MTM1	Hs.75302	AF020676	Myotubular myopathy 1	7	Signal transduction
CEACAM6	Hs.73848	AI677998	Carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	1	Signal transduction
RAP1A	Hs.865	AL049557	RAP1A, member of RAS oncogene family	8	Signal transduction
IGFBP5	Hs.180324	L27560	Insulin-like growth factor binding protein 5	2	Signal transduction
IGFBP4	Hs.1516	M62403	Insulin-like growth factor binding protein 4	5	Signal transduction
NMA	Hs.78776	U23070	Putative transmembrane protein	2	Signal transduction
CITED2	Hs.82071	AF109161	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	2	Transcription
GTF3A	Hs.75113	AI686944	General transcription factor IIIA	7	Transcription
ZNF33A	Hs.70617	D31763	Zinc finger protein 33a (KOX 31)	1	Transcription
ISGF3G	Hs.1706	M87503	Interferon-stimulated transcription factor 3, gamma (48 kDa)	2	Transcription
MYB	Hs.1334	U22376	V-myb myeloblastosis viral oncogene homolog (avian)	7	Transcription
SLC3A2	Hs.79748	AB018010	Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	7	Transporters
ABCG1	Hs.10237	AF038175	ATP-binding cassette, sub-family G (WHITE), member 1	7	Transporters
LTF	Hs.105938	M73700	Lactotransferrin	7	Transporters
COPA	Hs.75887	U24105	Coatomer protein complex, subunit alpha	1	Transporters
SLC12A2	Hs.110736	U30246	Solute carrier family 12 (sodium/potassium/chloride transporters), member 2	1	Transporters
ATP2A3	Hs.5541	Z69881	ATPase, Ca++ transporting, ubiquitous	1	Transporters
RNF3	Hs.8834	AA403225	Ring finger protein 3	7	Unknown
PWP2H	Hs.79380	AB001517	PWP2 periodic tryptophan protein homolog (yeast)	7	Unknown
MESDC2	Hs.78871	D42039	Mesoderm development candidate 2	8	Unknown
PMAIP1	Hs.96	D90070	Phorbol-12-myristate-13-acetate-induced protein 1	7	Unknown
HSU15552	Hs.85769	U15552	Acidic 82 kDa protein mRNA	3	Unknown
G1P3	Hs.265827	U22970	Interferon, alpha-inducible protein (clone IFI-6-16)	3	Unknown
FLJ20811	Hs.83530	AA015605	FLJ20811 Hypothetical protein	7	Unnamed
FLJ13187	Hs.29724	AA713516	FLJ13187 Phafin 2	1	Unnamed
C5orf8	Hs.75864	AI954986	Chromosome 5 open reading frame 8	8	Unnamed
KIAA0102	Hs.77665	AL047241	KIAA0102 gene product	8	Unnamed
KIAA0007	Hs.90315	D26488	KIAA0007 protein	7	Unnamed
