Gene	Gene name	Function
BAD	BCL2-antagonist of cell death	Positive regulation of apoptosis
BAX	BCL2-associated X protein	Positive regulation of apoptosis
CD2	T-lymphocyte surface CD2 antigen	Positive regulation of apoptosis
CD38	CD38 antigen	Positive regulation of apoptosis
CIDEB	cell death-inducing DFFA-like effector B	Positive regulation of apoptosis
FASTK	FAST-kinase	Positive regulation of apoptosis
INHBA	inhibin, beta A	Positive regulation of apoptosis
KNG	kininogen 1	Positive regulation of apoptosis
NUDT2	nudix motif 2	Positive regulation of apoptosis
SIPA1	signal-induced proliferation-associated gene 1	Positive regulation of apoptosis
CD2	T-lymphocyte surface CD2 antigen	Cell adhesion
CD22	CD22 antigen (sialic acid-binding IG-like lectin 2; SIGLEC2)	Cell adhesion
CD84	CD84 antigen	Cell adhesion
CDH13	cahderin 13	Cell adhesion
DSC2	desmocollin 2	Cell adhesion
GMDS	GDP-mannose 4,6-dehydratase	Cell adhesion
ICAM2	intracellular adhesion molecule 2	Cell adhesion
ICAM3	intracellular adhesion molecule 3	Cell adhesion
ITGB2	integrin, beta 2	Cell adhesion
JAM2	junctional adhesion molecule 2	Cell adhesion
LGALS4	lectin, galactoside binding, soluble (galectin 4) 4	Cell adhesion
LMAN2L	lectin, mannose-binding 2-like	Cell adhesion
MPZ	myelin protein zero	Cell adhesion
NPHP4	nephronophthitis	Cell adhesion
PCDH1	protocadherin 1	Cell adhesion
RET	ret proto-oncogene	Cell adhesion
SELE	selectin E	Cell adhesion
SELL	selectin L	Cell adhesion
SELP	selectin P	Cell adhesion
SIGLEC7	sialic acid-binding immunoglobulin-like lectin 7	Cell adhesion
TNA	tetranectin	Cell adhesion
ARVCF	armadillo repeat gene deleted in VCSF	Cell adhesion
CCL5	chemokine (C-C motif) ligand 5	Cell adhesion
CHST4	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4	Cell adhesion
CNTN1	contactin 1	Cell adhesion
COL16A1	collagen, type XVI, alpha 1	Cell adhesion
CX3CR1	chemokine (C-X3-C motif) receptor 1	Cell adhesion
CYR61	cysteine-rich angiogenic inducer 61 (IGFBP10)	Cell adhesion
IGSF1	immunoglobilin superfamily, member 1	Cell adhesion
L1CAM	L1 cell adhesion molecule	Cell adhesion
PLXNC1	plexin C1	Cell adhesion
SCARB1	scavenger receptor class B, member 1	Cell adhesion
SYMPK	symplekin	Cell adhesion
TLN2	talin 2	Cell adhesion
TMEM8	transmembrane protein 8	Cell adhesion
VWF	von Willebrand factor	Cell adhesion
ITGA5	integrin, alpha 5	Cell-matrix adhesion
ITGB2	integrin, beta 2	Cell-matrix adhesion
ITGB4	integrin, beta 4	Cell-matrix adhesion
XLKD1	extracellular link domain containing	Cell-matrix adhesion
ARHGDIB	rho GDP-dissociation inhbitor beta	Regulation of cell adhesion
KNG	kininogen 1	Regulation of cell adhesion
SIPA1	signal-induced proliferation-associated gene	Regulation of cell adhesion
ADM	adrenomedullin	Cell-Cell signalling
BMP10	bone morphogenetic protein 10	Cell-Cell signalling
CALCA	calsitonin/calsitonin-related polypeptide, alpha	Cell-Cell signalling
CCL15	chemokine (C-C motif) ligand 15	Cell-Cell signalling
CCL5	chemokine (C-C motif) ligand 5	Cell-Cell signalling
CD86	CD86 antigen	Cell-Cell signalling
CHST4	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4	Cell-Cell signalling
ECE2	endothelin converting enzyme 2	Cell-Cell signalling
ECGF1	endothelial cell growth factor 1	Cell-Cell signalling
EFNA4	ephrin A4	Cell-Cell signalling
EFNB2	ephrin B2	Cell-Cell signalling
EFNB3	ephrin B3	Cell-Cell signalling
FUR	furin	Cell-Cell signalling
IFNA7	interferon, alpha 7	Cell-Cell signalling
LTB	lymphotoxin beta	Cell-Cell signalling
NMB	neuromedin B	Cell-Cell signalling
NUDT3	nudix-motif 3	Cell-Cell signalling
PCDH1	protocadherin 1	Cell-Cell signalling
TUSC2	tumor suppressor cadidate 2 (FUS1 GENE)	Cell-Cell signalling
PHEMX	pan-hematopoietic expression gene	Cell-Cell signalling
SEMA3B	semaphorin 3B	Cell-Cell signalling
TFAP2C	transcr. factor AP-2 gamma (estrogen receptor factor 1; ERF1)	Cell-Cell signalling
