Ac.NUM.	Leydigvs.Serous	Leydigvs.Normal	Gene	Gene function
H47080	0.14	0.14	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c(subunit 9) isoform 3
AA431433	2.28	3.18	ATP5I	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit e
AA504465	2.82	2.87	ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6
AA877194	0.31	0.34	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B, isoform 2
R01669	2.1	2.97	ATP6V1C2	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C isoform 2
AA453176	0.4	0.42	ATR	ataxia telangiectasia and Rad3 related
N55457	3.92	3.95	AURKB	aurora kinase B
AA702350	0.25	0.24	AUTS2	autism susceptibility candidate 2
AA454969	0.46	0.42	AXOT	axotrophin
AA670408	0.37	0.28	B2M	beta-2-microglobulin
N54338	0.39	0.18	B7H3	B7 homolog 3
AA621184	2.59	2.41	BBS4	Bardet-Biedl syndrome 4
W69134	3.06	3.22	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)
R77227;R77226	0.2	0.16	BGN	biglycan
W89187	0.19	0.32	BIG1	brefeldin A-inhibited guanine nucleotide-exchange protein 1
R39111	2.11	3.73	BIN3	bridging integrator 3
R44417	0.3	0.47	BIRC2	baculoviral IAP repeat-containing 2
H48533	0.43	0.24	BIRC3	baculoviral IAP repeat-containing 3
N47240	5.15	14.04	BIRC4	baculoviral IAP repeat-containing 4
AA463225	2.33	2.51	BMP4	bone morphogenetic protein 4
N62514	0.31	0.31	BNIP2	BCL2/adenovirus E1B 19kDa interacting protein 2
H90415	5.18	13.51	BRCA1	breast cancer 1, early onset
N66053	0.44	0.25	BTN3A1	butyrophilin, subfamily 3, member A1
AA427778	2.32	5.25	C1RL	complement component 1, r subcomponent-like
AA464711	0.35	0.24	C3AR1	complement component 3a receptor 1
H73777	0.44	0.17	CABC1	chaperone, ABC1 activity of bc1 complex like (S. pombe)
H30055	0.43	0.38	CABP5	calcium binding protein 5
N52765	0.41	0.45	CACNA1I	calcium channel, voltage-dependent, alpha 1I subunit
AA131299	2.89	2.14	CaMKIINalpha	calcium/calmodulin-dependent protein kinase II
N30157	2.72	3.78	CANX	calnexin
AA974801	0.25	0.16	CAPZA1	capping protein (actin filament) muscle Z-line, alpha 1
W45165	2.21	2.85	CAPZB	capping protein (actin filament) muscle Z-line, beta
AA281152	0.4	0.45	CASP9	caspase 9, apoptosis-related cysteine protease
AA862999	0.38	0.29	CASR	calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatalhyperparathyroidism)
AA933773	2.97	2.85	CBX3	chromobox homolog 3 (HP1 gamma homolog, Drosophila)
AA284338	3.45	3.38	CBX5	chromobox homolog 5 (HP1 alpha homolog, Drosophila)
AA608568	2.4	3.03	CCNA2	cyclin A2
N30404	0.42	0.43	CCS	copper chaperone for superoxide dismutase
AA630016	2.44	2.2	CCT8	chaperonin containing TCP1, subunit 8 (theta)
AA398902	0.47	0.45	PRO1580	Hypothetical protein PRO1580
AA425211	0.49	0.45	NDUFA2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa
AA701476	2.23	2.22	CD14	CD14 antigen
AA598561	0.35	0.27	CD164	CD164 antigen, sialomucin
AA398285	0.39	0.28	CD2AP	CD2-associated protein
H72113	2.42	2.53	CD34	CD34 antigen
H69049	4.72	4.34	CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor)
H00660	0.22	0.3	CD47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)
R72079	2.29	2.43	CD79B	CD79B antigen (immunoglobulin-associated beta)
AA490911	0.43	0.24	CD99L2	CD99 antigen-like 2
AA668681	2.4	5.04	CDC42	cell division cycle 42 (GTP binding protein, 25kDa)
H59204	2.2	2.91	CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)
H97778	0.15	0.15	CDH1	cadherin 1, type 1, E-cadherin (epithelial)
H73724	2.29	2.61	CDK6	cyclin-dependent kinase 6
AA130584	2.63	3.85	CEACAM5	carcinoembryonic antigen-related cell adhesion molecule 5
AI057599	3.29	3.16	CEBPZ	CCAAT/enhancer binding protein zeta
AA449750	0.39	0.22	CECR5	cat eye syndrome chromosome region, candidate 5
AA193671	0.44	0.45	CENTD1	centaurin, delta 1
AA015850	0.17	0.41	CENTG3	centaurin, gamma 3
N72193	0.5	0.44	CETN2	centrin, EF-hand protein, 2
AA682613	2.39	2.43	CFDP1	craniofacial development protein 1
N94588	3.2	3.43	CFLAR	CASP8 and FADD-like apoptosis regulator
R40400	0.48	0.14	CHL1	CHK1 checkpoint homolog (S. pombe)
N71634	0.43	0.44	CHRFAM7A	CHRNA7 (cholinergic receptor, nicotinic, alpha polypeptide 7, exons5-10) and FAM7A (family with sequence similarity 7A, exons A-E) fusion
AA417921	0.49	0.39	CLECSF2	C-type (calcium dependent, carbohydrate-recognition domain) lectin,superfamily member 2 (activation-induced)
H82536	0.37	0.33	CNGB1	cyclic nucleotide gated channel beta 1
AA284856	0.4	0.28	CNN2	calponin 2
AA490172	0.49	0.22	COL1A2	collagen, type I, alpha 2
AA430540	0.32	0.32	COL4A2	collagen, type IV, alpha 2
AA461090	2.48	3.72	COL4A3BP	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein
AI680557	3.16	3.03	COL4A6	collagen, type IV, alpha 6
AA126947	4.07	2.55	CORO1C	coronin, actin binding protein, 1C
N92783	2.3	2.42	CORO2B	coronin, actin binding protein, 2B
R10896	2.6	2.2	COX7A2L	cytochrome c oxidase subunit VIIa polypeptide 2 like
AA625653	0.43	0.38	CP110	CP110 protein
N54494	2.96	5.14	CPB2	carboxypeptidase B2 (plasma, carboxypeptidase U)
N69466	2.14	3.02	CPSF2	cleavage and polyadenylation specific factor 2, 100kDa
N92705	2.03	2.2	CREB3L2	cAMP responsive element binding protein 3-like 2
AA490255	0.42	0.49	CRK7	CDC2-related protein kinase 7
H95633	0.39	0.38	CRYAA	crystallin, alpha A
AI335933	0.43	0.47	CRYZL1	crystallin, zeta (quinone reductase)-like 1
N67639	2.49	4.49	CS	citrate synthase
AA079775	0.13	0.22	CSK	c-src tyrosine kinase
AI002588	0.44	0.43	CSNK1D	casein kinase 1, delta
AA682583	2.6	4	CSNK1G1	casein kinase 1, gamma 1
AA599177	5.01	9.89	CST3	cystatin C (amyloid angiopathy and cerebral hemorrhage)
AA398027	0.37	0.19	CTDP1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A)phosphatase, subunit 1
AA404264	0.39	0.22	CTDSP2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) smallphosphatase 2
AA676957	3.73	3.73	CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa
R60044	0.32	0.3	CTNNB1	Catenin (cadherin-associated protein), beta 1, 88kDa
AA442092	3.73	2.02	CTNNB1	Catenin (cadherin-associated protein), beta 1, 88kDa
W73346	2.09	2.11	CTNNBIP1	catenin, beta interacting protein 1
AA486790	0.45	0.4	CUL1	cullin 1
R02323	2.65	3.41	CUL4A	cullin 4A
AA857851	2.99	2.79	CUL5	cullin 5
AA878880	0.18	0.33	CXCL10	chemokine (C-X-C motif) ligand 10
AA454950	0.43	0.28	CYB561D2	cytochrome b-561 domain containing 2
AA457501	0.3	0.13	CYBRD1	cytochrome b reductase 1
AA025408	2.25	3.06	CYGB	cytoglobin
H13181	0.46	0.34	CYP19A1	cytochrome P450, family 19, subfamily A, polypeptide 1
AA449325	0.38	0.45	CYP2R1	cytochrome P450, family 2, subfamily R, polypeptide 1
N72878	0.23	0.2	DDEF1	development and differentiation enhancing factor 1
AA425806	0.46	0.43	DEAF1	deformed epidermal autoregulatory factor 1 (Drosophila)
H72937	0.24	0.2	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial
AA598861	0.43	0.29	DGCR2	DiGeorge syndrome critical region gene 2
N65985	0.2	0.2	DHRS6	dehydrogenase/reductase (SDR family) member 6
N79745	0.48	0.46	DHRS8	dehydrogenase/reductase (SDR family) member 8
AA009773	2.62	5.15	DHTKD1	dehydrogenase E1 and transketolase domain containing 1
AA465387	7.62	8.36	DHX8	DEAH (Asp-Glu-Ala-His) box polypeptide 8
AA425947	0.37	0.25	DKK3	dickkopf homolog 3 (Xenopus laevis)
R51514	2.03	2.83	DLGAP2	discs, large (Drosophila) homolog-associated protein 2
AA431203	0.44	0.34	DNAJB6	DnaJ (Hsp40) homolog, subfamily B, member 6
AA644679	3.46	4.12	DNCL1	dynein, cytoplasmic, light polypeptide 1
AA004759	2.86	2.18	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit
AA075299	0.23	0.33	DSC2	desmocollin 2
R21725	0.48	0.45	DSCR4	Down syndrome critical region gene 4
H90899	3.06	6.43	DSP	desmoplakin
W84790	2.66	2.35	DVL3	dishevelled, dsh homolog 3 (Drosophila)
AA454867	0.22	0.13	DZIP3	zinc finger DAZ interacting protein 3
AA193405	3.19	2.2	EDG2	endothelial differentiation, lysophosphatidic acid G-protein-coupledreceptor, 2
N66043	2.76	2.67	EEA1	early endosome antigen 1, 162kD
AA489523	0.46	0.31	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
N91962	2.33	2.37	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1
AA875933	0.49	0.24	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1
AA485665	0.45	0.45	EFNB3	ephrin-B3
H56028	0.27	0.33	EGLN1	egl nine homolog 1 (C. elegans)
AA047039	2.49	2.6	EIF1AY	eukaryotic translation initiation factor 1A, Y-linked
N73898	2.95	3.17	EIF2B1	eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa
AA668703	2.18	2.42	EIF3S4	eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa
N52912	4.4	5.67	ELAC1	elaC homolog 1 (E. coli)
AA434373	0.42	2.15	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
N49585	0.49	0.38	ELYS	ELYS transcription factor-like protein TMBS62
N64731	2.07	2.25	EML4	echinoderm microtubule associated protein like 4
R85090	2.87	3.6	ENC1	ectodermal-neural cortex (with BTB-like domain)
AA446108	2.18	27.32	ENG	endoglin (Osler-Rendu-Weber syndrome 1)
T69450	2.32	2.62	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1
AA046043	0.41	0.46	ENSA	endosulfine alpha
W88572	0.18	0.06	EPB41L2	erythrocyte membrane protein band 4.1-like 2
AA449738	0.34	0.18	EPB41L2	erythrocyte membrane protein band 4.1-like 2
AA143726	2.28	2.72	EPS8L2	EPS8-like 2
AA134985	2.74	2.79	EPS8L3	EPS8-like 3
AA071075	0.42	0.35	ERCC1	excision repair cross-complementing rodent repair deficiency,complementation group 1 (includes overlapping antisense sequence)
AA186804	2.74	3.63	ERO1L	ERO1-like (S. cerevisiae)
N59626	2.25	2.15	ERP70	protein disulfide isomerase related protein (calcium-binding protein,intestinal-related)
AA088837	0.31	0.26	AA088837	strongly similar to NP_032973.1 protease (prosome, macropain) 26S subunit, ATPase 1
N54946	0.35	0.12	EWSR1	Ewing sarcoma breakpoint region 1
N98524	2.51	2.81	F10	coagulation factor X
AA680136	2.65	3.16	F5	coagulation factor V (proaccelerin, labile factor)
R43114	0.4	0.17	FAM11A	family with sequence similarity 11, member A
R19406	2.52	5.09	FAM11B	family with sequence similarity 11, member B
R87497	3.37	2.19	FAM3A	family with sequence similarity 3, member A
W96450	2.16	2.21	FARSLA	phenylalanine-tRNA synthetase-like, alpha subunit
H50323	2.46	3.28	FASN	fatty acid synthase
AA679352	4.18	2.16	FDFT1	farnesyl-diphosphate farnesyltransferase 1
AA043280	0.36	0.42	FEZ2	fasciculation and elongation protein zeta 2 (zygin II)
AA011414	2.2	5	FGA	fibrinogen, A alpha polypeptide
AA865712	3.03	2.95	FGFR1OP	FGFR1 oncogene partner, 124
AA419620	2.93	3.04	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)
R10347	2.03	6.65	FGL1	fibroblast growth factor receptor-like 1
AA455925	0.5	0.18	FHL1	fibrinogen-like 1
R93089	0.41	0.28	FLJ11806	Nuclear protein UKp68
R62612	2.42	4.49	FN1	fibronectin 1
N26285	2.81	6.96	FN1	fibronectin 1
N93193	2.21	2.5	FNBP3	formin binding protein 3
N34799	0.23	0.37	FOSL2	FOS-like antigen 2
N62648	0.41	0.37	FOSL2	FOS-like antigen 2
W57731	0.47	0.24	FOXD3	forkhead box D3
N74650	2.15	2.36	FTCD	formiminotransferase cyclodeaminase
AA424504	0.46	0.36	FTHFSDC1	formyltetrahydrofolate synthetase domain containing 1
AA487297	2.12	3.26	FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
N27437	0.4	0.24	FXC1	fracture callus 1 homolog (rat)
H57136	4.43	4.68	FXYD1	FXYD domain containing ion transport regulator 1 (phospholemman)
AA448478	0.24	0.32	G1P3	interferon, alpha-inducible protein (clone IFI-6-16)
AA151214	3.16	4.68	G3BP2	Ras-GTPase activating protein SH3 domain-binding protein 2
T48293	2.3	3.8	GAB1	GRB2-associated binding protein 1
AA487488	2.3	2.31	GABARAP	GABA(A) receptor-associated protein
AA084323	0.28	0.25	GAN	giant axonal neuropathy (gigaxonin)
AA598487	2.56	3.1	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamidesynthetase, phosphoribosylaminoimidazole synthetase
R16095	5.77	7.74	GAS2	growth arrest-specific 2
H72875	5.41	4.09	GATA3	GATA binding protein 3
H77652	0.47	0.46	GATA6	GATA binding protein 6
N26311	2	2.01	GDF15	growth differentiation factor 15
AA450062	4.88	8.24	GDF15	growth differentiation factor 15
AA041254	0.4	0.29	GEMIN4	gem (nuclear organelle) associated protein 4
AA418008	0.27	0.11	GFI1	growth factor independent 1
AA478571	0.47	0.41	GFPT1	glutamine-fructose-6-phosphate transaminase 1
AA456621	2.46	2.77	GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
AA136710	0.33	0.19	GLO1	glyoxalase I
AA291163	2.65	2.64	GLRX	glutaredoxin (thioltransferase)
AA455528	2.33	5.08	GLS2	glutaredoxin 2
N68424	2.45	8.24	GLUD1	glutamate dehydrogenase 1
H22653	0.48	0.49	GMFB	glia maturation factor, beta
W46769	2.29	3.25	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activitypolypeptide 1
AA479952	5.29	5.69	GNAL	guanine nucleotide binding protein (G protein), alpha activating activitypolypeptide, olfactory type
N68166	2.08	2.81	GNB2	guanine nucleotide binding protein (G protein), beta polypeptide 2
AA460286	0.38	0.48	GNG10	guanine nucleotide binding protein (G protein), gamma 10
N54947	2.25	2.23	GOLGA2	golgi autoantigen, golgin subfamily a, 2
AA454597	0.29	0.19	GOLPH2	golgi phosphoprotein 2
W47327	3.36	4.84	GOSR1	golgi SNAP receptor complex member 1
AA775872	3.61	3.56	GPC3	glypican 3
AA456147	0.44	0.34	GPC6	glypican 6
H89293	0.16	0.4	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)
N58443	0.44	0.43	GPR55	G protein-coupled receptor 55
AA135152	4.11	5.91	GPX2	glutathione peroxidase 2 (gastrointestinal)
N72276	0.38	0.29	GRLF1	glucocorticoid receptor DNA binding factor 1
AA598831	0.35	0.2	GRPEL2	GrpE-like 2, mitochondrial (E. coli)
AA495996	0.33	0.36	GSK3B	glycogen synthase kinase 3 beta
AA027161	6.73	7.22	GSPT2	G1 to S phase transition 2
AA133566	2.83	2.82	GTF2E2	general transcription factor IIE, polypeptide 2, beta 34kDa
AA456659	0.46	0.4	GUCY1A2	guanylate cyclase 1, soluble, alpha 2
AA490902	0.2	0.33	GUK1	guanylate kinase 1
W69399	2.24	4.73	H1F0	H1 histone family, member 0
H57830	2.91	5.74	H1F0	H1 histone family, member 0
T80846	0.49	0.44	HAAO	3-hydroxyanthranilate 3,4-dioxygenase
AA916323	0.22	0.14	HADHA	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme Athiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit
N48717	2.05	2.12	HADHA	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme Athiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit
AA425749	2.71	4	HAPLN1	huntingtin-associated protein interacting protein (duo)
N79037	0.28	0.19	HBLD2	HESB like domain containing 2
H69528	0.36	0.17	HBLD2	HESB like domain containing 2
R16760	0.43	0.47	HBXAP	hepatitis B virus x associated protein
R69885	2.39	3.46	HCFC1	host cell factor C1 (VP16-accessory protein)
AA465353	0.33	0.29	HDAC1	histone deacetylase 1
AA127093	3.38	5.45	HDAC2	histone deacetylase 2
AA282253	2.55	2.36	HERC3	hect domain and RLD 3
AI675465	0.43	0.27	HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible,ubiquitin-like domain member 1
AA101833	0.22	0.31	HEXB	hexosaminidase B (beta polypeptide)
AA876054	0.46	0.46	HFE	hemochromatosis
AA700937	0.48	0.38	HIAT1	hippocampus abundant transcript 1
AA677077	2.31	2.31	HINT2	histidine triad nucleotide binding protein 2
H53038	2.92	3.46	HIP2	huntingtin interacting protein 2
AA704764	0.41	0.46	HIRA	HIR histone cell cycle regulation defective homolog A (S. cerevisiae), 162
AA923120	2.04	3.36	HIRIP3	HIRA interacting protein 3
N21081	0.32	0.33	HIS1	HMBA-inducible
AA452933	2.51	6.19	HIST1H2AC	histone 1, H2ac
H42728	0.25	0.33	HLADMA	major histocompatibility complex, class II, DM alpha
AA486532	0.21	0.08	HLADPB1	major histocompatibility complex, class II, DP beta 1
T63324	0.34	0.27	HLADQA2	major histocompatibility complex, class II, DQ alpha 2
AA458472	0.43	0.35	HLADQB1	major histocompatibility complex, class II, DQ beta 1
AA019203	0.12	0.35	HMGB2	high-mobility group box 2
T56013	2.32	2.67	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
H93087	0.41	0.35	HMGN2	high-mobility group nucleosomal binding domain 2
N63807	0.41	0.43	HNRPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1
AA479962	2.08	2.1	HNRPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)
AA455111	2.1	2.12	HNRPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)
AA598578	0.21	0.13	HNRPDL	heterogeneous nuclear ribonucleoprotein D-like
R11019	3.35	2.88	HNRPH1	heterogeneous nuclear ribonucleoprotein H1 (H)
R02069	0.18	0.28	HNRPH3	heterogeneous nuclear ribonucleoprotein H3 (2H9)
AA937108	0.4	0.24	HNRPL	heterogeneous nuclear ribonucleoprotein L
AA454823	2.03	2.65	HNRPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
AA857101	0.49	0.4	HOXB7	homeo box B7
AA775223	0.46	0.41	HPGD	4-hydroxyphenylpyruvate dioxygenase
N68512	0.4	0.29	HPS4	Hermansky-Pudlak syndrome 4
AA778346	0.48	0.46	HRMT1L1	HMT1 hnRNP methyltransferase-like 1 (S. cerevisiae)
AA054722	3.64	3.91	HSMPP8	M-phase phosphoprotein, mpp8
H17513	3.59	4.4	HSPA1L	heat shock 70kDa protein 1-like
H64147	0.22	0.12	HSPA8	heat shock 70kDa protein 8
AA629567	2.94	7.73	HSPA8	heat shock 70kDa protein 8
AA460432	0.39	0.46	HSPC150	HSPC150 protein similar to ubiquitin-conjugating enzyme
AA456635	4.92	6.12	PRUNE	Prune homolog (Drosophila)
AA464196	2.25	3.75	HYAL1	hyaluronoglucosaminidase 1
AA453401	0.35	0.45	HYAL2	hyaluronoglucosaminidase 2
AA609955	3.55	3.2	HYPE	Huntingtin interacting protein E
AA482119	2.23	8.8	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
AA464856	0.2	0.16	ID4	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein
AA679907	2.25	3.43	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial
AA448251	0.43	0.48	IFNAR1	interferon (alpha, beta and omega) receptor 1
H11482	2.3	3.38	IFNGR1	interferon gamma receptor 1
N54596	2.96	10.42	IGF2	insulin-like growth factor 2 (somatomedin A)
T62547	3.53	3.84	IGF2R	insulin-like growth factor 2 receptor
