Clone ID	UniGene	Gene symbol	Gene description	M	STD M	M ctrl/ctrl	STD M	t	P value
T336	Mm.251322	Eno3	enolase 3, beta muscle	-2.127	0.824	-0.116	0.456	-4.946	1.178E-03
H3131F10	Mm.24806	1810013B01Rik	RIKEN cDNA 1810013B01 gene	-0.654	0.342	0.226	0.226	-4.903	1.196E-03
H3153B10	Mm.277713	D3Jfr1	DNA segment, Chr 3, MJeffers 1	-0.606	0.121	0.103	0.182	-6.855	1.198E-03
H3058E05	Mm.215110	Actr8	ARP8 actin-related protein 8 homolog (S. cerevisiae)	-0.526	0.168	0.026	0.158	-5.272	1.212E-03
H3079H09			EST	-0.134	0.186	0.305	0.092	-4.939	1.306E-03
H3002G01	Mm.4339	Lama5	laminin, alpha 5	-0.634	0.418	0.348	0.153	-5.256	1.322E-03
H3149G11	Mm.206250	AI504298	expressed sequence AI504298	-0.699	0.394	0.295	0.258	-4.817	1.330E-03
H3154D04	Mm.301853		Mus musculus transcribed sequences	-0.415	0.199	0.047	0.069	-5.228	1.441E-03
H3125C06			EST	-0.230	0.182	0.256	0.137	-4.809	1.451E-03
H3053F02			EST	-0.572	0.366	0.279	0.122	-5.271	1.469E-03
H3126D08	Mm.209349	3110005P07Rik	RIKEN cDNA 3110005P07 gene	-0.413	0.165	0.023	0.123	-4.779	1.505E-03
H3146A02	Mm.286353	Tbc1d1	TBC1 domain family, member 1	-1.127	0.368	-0.060	0.317	-4.881	1.600E-03
H3036E06	Mm.245948	D2Ertd97e	DNA segment, Chr 2, ERATO Doi 97, expressed	-0.652	0.235	0.134	0.239	-5.125	1.707E-03
H3128G04	Mm.9745	Ldh2	lactate dehydrogenase 2, B chain	-0.979	0.330	-0.057	0.276	-4.780	1.716E-03
H3112D07	Mm.240885	Dusp14	dual specificity phosphatase 14	-0.387	0.249	0.317	0.212	-4.800	1.725E-03
H3045B03	Mm.275188	Cyp2s1	cytochrome P450, family 2, subfamily s, polypeptide 1	-0.175	0.187	0.401	0.176	-4.945	1.739E-03
H3054E06	Mm.202358	Kpna6	karyopherin (importin) alpha 6	-0.304	0.168	0.152	0.135	-4.722	1.746E-03
H3151G06			EST	-0.544	0.313	0.172	0.173	-4.636	1.746E-03
H3089C12	Mm.4615	Dlgh3	discs, large homolog 3 (Drosophila)	-0.783	0.475	0.276	0.226	-4.722	1.765E-03
H3039F05	Mm.117296	Oat	ornithine aminotransferase	-1.517	0.345	-0.273	0.380	-5.262	1.801E-03
H3158E04			EST	-1.063	0.479	0.005	0.160	-5.060	1.818E-03
T349	Mm.293373	Slc2a4	solute carrier family 2 (facilitated glucose transporter), member 4	-2.189	0.950	-0.039	0.519	-4.608	1.823E-03
H3007E10	Mm.16831	Ckb	creatine kinase, brain	-0.763	0.401	0.138	0.121	-5.157	1.849E-03
H3158E05	Mm.287648	1810044A24Rik	RIKEN cDNA 1810044A24 gene	-0.250	0.205	0.201	0.096	-4.689	1.870E-03
H3130B04	Mm.10407	Nicn1	nicolin 1	-0.767	0.322	0.140	0.279	-4.729	1.939E-03
H3085C12	Mm.25311	1810015C04Rik	RIKEN cDNA 1810015C04 gene	-0.556	0.255	0.037	0.161	-4.511	1.972E-03
H3151D10	Mm.196045	4930467B06Rik	RIKEN cDNA 4930467B06 gene	-0.558	0.194	-0.135	0.072	-4.869	1.982E-03
H3156A06	Mm.268925	1110013B16Rik	RIKEN cDNA 1110013B16 gene	-0.482	0.170	-0.097	0.099	-4.515	1.992E-03
H3013B01	Mm.86343	Taf3	TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor	-0.321	0.124	-0.042	0.071	-4.510	2.016E-03
P465	Mm.210196	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial	-1.046	0.460	-0.030	0.244	-4.541	2.028E-03
H3122E05	Mm.293373	Slc2a4	solute carrier family 2 (facilitated glucose transporter), member 4	-1.777	0.629	-0.143	0.495	-4.581	2.033E-03
P751	Mm.27806	Pygm	muscle glycogen phosphorylase	-1.564	0.643	-0.160	0.204	-4.988	2.081E-03
H3003H11	Mm.247824	1110033G07Rik	RIKEN cDNA 1110033G07 gene	-0.507	0.188	-0.088	0.105	-4.493	2.088E-03
H3002E01	Mm.28212	Sepr	selenoprotein R	-1.271	0.584	0.002	0.295	-4.542	2.099E-03
T168	Mm.260521	Pik3ca	phosphatidylinositol 3-kinase, catalytic, alpha polypeptide	-0.721	0.275	0.010	0.225	-4.593	2.100E-03
H3135G05	Mm.33376	Shoc2	soc-2 (suppressor of clear) homolog (C. elegans)	-0.293	0.111	0.179	0.144	-5.554	2.109E-03
H3002H02	Mm.294640		Mus musculus transcribed sequence with strong similarity to protein sp:P51830 (M.musculus) CYA9_MOUSE Adenylate cyclase, type IX (ATP pyrophosphate-lyase) (Adenylyl cyclase) (Adenylyl cyclase type 10) (ACTP10)	-0.851	0.304	0.130	0.311	-4.926	2.142E-03
H3027B12	Mm.48795	2410018I08Rik	RIKEN cDNA 2410018I08 gene	-0.519	0.247	0.039	0.149	-4.448	2.156E-03
H3053G11	Mm.287279	D14Ertd436e	DNA segment, Chr 14, ERATO Doi 436, expressed	-0.309	0.270	0.275	0.086	-4.943	2.161E-03
H3015C11	Mm.200383	2310016N05Rik	RIKEN cDNA 2310016N05 gene	-0.394	0.207	0.050	0.080	-4.746	2.175E-03
H3094B09	Mm.185518	BC014795	cDNA sequence BC014795	-0.691	0.317	-0.013	0.135	-4.643	2.186E-03
T344	Mm.27806	Pygm	muscle glycogen phosphorylase	-1.274	0.669	0.183	0.359	-4.461	2.232E-03
H3117G06	Mm.222584	Pygb	brain glycogen phosphorylase	-1.504	0.437	0.016	0.484	-5.054	2.240E-03
H3123B02	Mm.28121	1110061A19Rik	RIKEN cDNA 1110061A19 gene	-0.989	0.337	-0.032	0.304	-4.664	2.243E-03
H3036E12	Mm.259795	Arhg	ras homolog gene family, member G	-0.706	0.222	0.126	0.263	-5.206	2.272E-03
H3145A11	Mm.25335	A530086E13Rik	RIKEN cDNA A530086E13 gene	-0.291	0.133	0.131	0.136	-4.853	2.308E-03
H3121H04	Mm.28659	Pes1	pescadillo homolog 1, containing BRCT domain (zebrafish)	-0.746	0.319	0.153	0.289	-4.623	2.352E-03
H3120H11	Mm.274734	2410003M04Rik	RIKEN cDNA 2410003M04 gene	-0.259	0.240	0.254	0.074	-4.893	2.355E-03
H3005B05	Mm.254974	5730472N09Rik	RIKEN cDNA 5730472N09 gene	-0.836	0.391	0.074	0.265	-4.386	2.357E-03
H3117F06	Mm.270186	Rbbp7	retinoblastoma binding protein 7	-0.726	0.307	-0.081	0.128	-4.583	2.412E-03
P672			EST	-1.648	0.542	0.023	0.543	-4.770	2.418E-03
H3105E02	Mm.35764	1110003E08Rik	RIKEN cDNA 1110003E08 gene	-0.990	0.397	-0.098	0.249	-4.358	2.419E-03
H3041A02	Mm.248778	Ndufa10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10	-0.496	0.261	0.062	0.138	-4.400	2.434E-03
H3006D04	Mm.1401	Cxcr4	chemokine (C-X-C motif) receptor 4	-0.599	0.331	0.099	0.155	-4.476	2.439E-03
P429	Mm.5027	Ezh1	enhancer of zeste homolog 1 (Drosophila)	-0.743	0.199	0.087	0.261	-5.405	2.460E-03
H3144A02	Mm.26614	Mrpl30	mitochondrial ribosomal protein L30	-0.490	0.207	-0.040	0.046	-5.139	2.482E-03
H3059F04	Mm.303345		Mus musculus transcribed sequences	-0.269	0.198	0.189	0.136	-4.336	2.531E-03
H3106C06	Mm.297304	Gnai1	guanine nucleotide binding protein, alpha inhibiting 1	-1.295	0.441	0.025	0.434	-4.689	2.555E-03
H3110G03	Mm.18539	Pink1	PTEN induced putative kinase 1	-0.929	0.365	-0.108	0.237	-4.311	2.581E-03
H3043B09	Mm.26885	Cul4b	cullin 4B	-0.559	0.245	0.102	0.216	-4.499	2.620E-03
H3012F03	Mm.261984	Glo1	glyoxalase 1	-0.752	0.237	-0.058	0.230	-4.631	2.659E-03
H3109C04			EST	-0.085	0.228	0.464	0.174	-4.317	2.775E-03
H3009E03	Mm.277812	Vil2	villin 2	-1.605	0.608	-0.096	0.486	-4.346	2.795E-03
T011	Mm.29768	Pdk2	pyruvate dehydrogenase kinase, isoenzyme 2	-0.951	0.537	0.157	0.260	-4.345	2.796E-03
H3141C07	Mm.18561	Cyhr1	cysteine and histidine rich 1	-0.688	0.345	0.012	0.146	-4.416	2.918E-03
H3147B07			EST	-0.351	0.285	0.233	0.144	-4.276	2.960E-03
H3068E04	Mm.202561	Styx	phosphoserine/threonine/tyrosine interaction protein	-0.096	0.277	0.482	0.155	-4.216	3.022E-03
H3017C11	Mm.143774	2400006H24Rik	RIKEN cDNA 2400006H24 gene	-0.753	0.326	-0.038	0.214	-4.189	3.051E-03
H3132D09	Mm.38976	Usp3	ubiquitin specific protease 3	-0.649	0.246	-0.013	0.214	-4.344	3.112E-03
H3117B07	Mm.42249	Neo1	neogenin	-1.011	0.572	0.158	0.298	-4.219	3.128E-03
H3111A09	Mm.251303	BC006583	cDNA sequence BC006583	-1.718	0.806	0.213	0.630	-4.240	3.136E-03
P305	Mm.193096	Scd2	stearoyl-Coenzyme A desaturase 2	-0.757	0.412	0.096	0.231	-4.186	3.139E-03
H3092F02			EST	-0.549	0.344	0.150	0.098	-4.696	3.150E-03
H3141H08	Mm.214574	1300001I01Rik	RIKEN cDNA 1300001I01 gene	-0.607	0.234	-0.001	0.204	-4.335	3.159E-03
T020	Mm.14825	Idh3g	isocitrate dehydrogenase 3 (NAD+), gamma	-0.588	0.260	-0.055	0.065	-4.795	3.160E-03
H3126E10	Mm.140661		Mus musculus 10 day old male pancreas cDNA, RIKEN full-length enriched library, clone:1810037G11 product:unknown EST, full insert sequence	-0.663	0.313	0.014	0.202	-4.162	3.161E-03
H3132E12	Mm.292704	Sec15l2	SEC15-like 2 (S. cerevisiae)	-0.334	0.408	0.480	0.155	-4.428	3.197E-03
H3106B12	Mm.323309		Mus musculus transcribed sequences	-0.604	0.374	0.283	0.289	-4.217	3.203E-03
H3079C10	Mm.22524	AI481750	expressed sequence AI481750	-0.731	0.390	0.087	0.058	-5.057	3.263E-03
H3008A06	Mm.2252	1200008D14Rik	RIKEN cDNA 1200008D14 gene	-2.205	0.863	-0.125	0.688	-4.224	3.265E-03
T078			EST	-1.145	0.509	-0.113	0.132	-4.734	3.282E-03
H3140D01	Mm.255822	Camk2d	calcium/calmodulin-dependent protein kinase II, delta	-0.487	0.289	0.106	0.064	-4.839	3.307E-03
H3123F02	Mm.224354	Tsc1	tuberous sclerosis 1	-0.409	0.179	0.024	0.144	-4.223	3.313E-03
H3096A11	Mm.26722	Ndr2	N-myc downstream regulated 2	-0.994	0.511	0.061	0.293	-4.140	3.314E-03
H3052F03	Mm.227104	5730496E24Rik	RIKEN cDNA 5730496E24 gene	-0.889	0.382	-0.015	0.281	-4.161	3.318E-03
H3053C04	Mm.2969	Akap1	A kinase (PRKA) anchor protein 1	-0.885	0.356	-0.020	0.289	-4.225	3.329E-03
H3157A07	Mm.38330	Cabc1	chaperone, ABC1 activity of bc1 complex like (S. pombe)	-0.320	0.257	0.238	0.172	-4.112	3.404E-03
H3079D02	Mm.52809	1810059A23Rik	RIKEN cDNA 1810059A23 gene	-0.192	0.206	0.257	0.139	-4.106	3.438E-03
T212	Mm.9221	Rab4a	RAB4A, member RAS oncogene family	-1.043	0.552	0.092	0.090	-4.943	3.500E-03
H3098A08	Mm.28712	Ndufs7	NADH dehydrogenase (ubiquinone) Fe-S protein 7	-0.930	0.273	-0.037	0.311	-4.670	3.533E-03
H3122E03	Mm.28919	Dstn	destrin	-1.243	0.491	0.057	0.451	-4.306	3.548E-03
